Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridisch adviesopdrachten;3160 - Uitbesteden accountancy en financien;3-Uitbesteden
Stichting Topconsortium Kennis en Innovatie Solar Energy;;;2;;;2
Stichting Unipartners;;;1;;;1
Stichting Urgenda;;;3;;;3
Stichting Veldwerk Nederland;;;2;;;2
Stichting VIBA-Expo;;;2;;;2
Stichting Voeding Leeft;;;4;;;4
Stichting wAarde;;;1;;;1
Stichting WaterWatch;;;2;;;2
Stichting What Design Can Do;;;2;;;2
Stig Consult;;;1;;;1
Stimulans;;;2;;;2
Storm Wageningen;;;2;;;2
STOWA Stichting Toegepast Onderzoek Waterbeheer;;;2;;;2
Straight Lines B.V.;2;;;;;2
Strandhotel Seeduyn Vlieland;;;2;;;2
Stratcom;;;2;;;2
Stratix Consulting;;;4;;;4
Stroom Rotterdam;;;1;;;1
Studentenfonds Koninklijk Conservatorium;;;1;;;1
Studievereniging I.D.;;;1;;;1
Studio Fonkel;;;2;;;2
Studio Lammert Jonkman;;;2;;;2
Studio Mosgroen;;;1;;;1
Studio Tint;;;1;;;1
Studiodet Grafische Vormgeving;;;1;;;1
Superserver;;;2;;;2
Surfnet;;;1;;;1
Sustainability Challenge Foundation;;;3;;;3
Sustainable Agrochains;;;1;;;1
Sustainablemotion VOF;;;3;;;3
Suzanne Derksen;;;2;;;2
Swakes Holding B.V.;;;1;;;1
Swartvast;;;1;;;1
Sylt Communicatie;;;1;;;1
Synergos Communicatie;;;2;;;2
Synergy Health (incl. Lips Gezondheidszorg, Textielservice);;;1;;;1
Synther Consultancy;;;1;;;1
Sysqa;;;2;;;2
'T Carillon Restaurant;;;1;;;1
't Paviljoen Vogeleiland;;;1;;;1
'T Voorhuis Hotel-Restaurant-Grandcafe;;;1;;;1
T.A. Stoelinga;;;1;;;1
T.M.C. Asser Instituut;;;4;;;4
Taat & De Regt;;;2;;;2
Tabula Rasa;;;2;;;2
Tangelo Software (vh Cumquat Information Technology);1;;;;;1
Tanteloes;;;1;;;1
TassenBol;;;3;;;3
Tasty Green Lifestyle Experience;;;1;;;1
Tauw;;;5;;;5
Te Pas Media;;;2;;;2
Team Amstelstreek;;;1;;;1
Teampro;;;1;;;1
Technolab Leiden Stg;;;2;;;2
Technopolis;;;4;;;4
Tekst in stijl;;;1;;;1
Tel tot tien;;;2;;;2
Ten Kroode & van Zee;;;2;;;2
Terra Incognita;;;2;;;2
Tethys : aquatic ecosystem advice;;;3;;;3
Texel Catering Service;;;1;;;1
TFM Total Facility Management;;;4;;;4
The Choice;;;2;;;2
The Clarks;;;1;;;1
The Friesian Agro Consultancy;;;4;;;4
The Hague Academy for Local Governance;;;5;;;5
The Hub Amsterdam;;;1;;;1
The Institute of Protocol The Hague;;;4;;;4
The Power Factory;;;1;;;1
The Read Shop;;;1;;;1
The Square Mile;;;1;;;1
The Student Hotel Rotterdam;;;2;;;2
Theater Hotel Almelo;;;1;;;1
Thema Project & Advies;;;3;;;3
Theo Imhoff;;;1;;;1
Theorit Consultancy;;;3;;;3
TheRockGroup Holding;;;1;;;1
Thomas Thor Associates B.V.;;;4;;;4
THSA The Holland Safety & Security Association;;;1;;;1
TI Pharma/Top Institute Pharma;;;3;;;3
Tias Nimbas Business School Utrecht;;;1;;;1
Tigges Strategie Concept Ontwerp, Consultancy en Management;;;2;;;2
TNO;;2;6;;;6
TNS-NIPO;;;3;;;3
To Improve;;;2;;;2
To Realize Concepts;;;2;;;2
Tomato World;;;1;;;1
Tomeij Beheer;;;2;;;2
Ton Holtkamp Advies;;;1;;;1
Ton Persoon;;;1;;;1
TOP innosense B.V.;;;2;;;2
Topjob Coaching & Facilitation;;;1;;;1
Tornado Insider Services B.V.;;;1;;;1
Toscani B.V.;;;1;;;1
Total Identity, Total Public;;1;1;;;1
Tower Leisure (Haagse Toren);;;1;;;1
Traffic Support;;;1;;;1
Transport Service Terschelling;;;1;;;1
Traxxys;;;2;;;2
TRC Advocaten;;;2;;;2
Triarii;;;3;;;3
Trimension;;;2;;;2
Trinergie B.V.;;;1;;;1
Trion Partners;;;2;;;2
Triple A - Risk Finance;;;2;;;2
Tsong Management B.V.;;;1;;;1
Tuinbouw Techniek Ontwikkeling;;;3;;;3
Tungsten;;;1;;;1
Turkije Instituut;;;1;;;1
Turner Interim Management;;;3;;;3
TUV Nederland;;;2;;;2
TuV Rheinland;;;1;;;1
Tuvalu Media;;;2;;;2
Tvdproducties;;;1;;;1
Twee Ons Communicatie;;;1;;;1
Tweede Golf;;;1;;;1
Twitter;;;1;;;1
Twynstra Gudde (incl. Adviestalent, The Bridge Business Innovators);;4;2;;;4
Uitstekend geregeld!;;;2;;;2
Unesco IHE;;;2;;;2
Uneto VNI;;;1;;;1
Unicon Reproservice;;;1;;;1
Unipas;;;2;;;2
Unisys Nederland;1;;;;;1
Unita Beheer B.V.;;;1;;;1
Up Learning (vh Stoas);;;1;;;1
Urban Connectors;;;1;;;1
UrbanLab;;;2;;;2
USG (incl. Innotiv, Start People, Utrechtse Juristen Groep);7;;1;;;7
Ushi Enschede;;;1;;;1
V.O.F. M. & A & G. de Vries;;;1;;;1
Vabi Vereniging voor Automatisering in de Bouw en Installatietechniek;;;2;;;2
Valsplat Usability Onderzoek;;;2;;;2
Van Baerle International;;;1;;;1
Van Beek Ingenieurs;;;1;;;1
Van Beek Water Delft;;;1;;;1
Van den Biesen Kloostra Advocaten;;;;1;;1
Van der Valk Hotels;;;1;;;1
Van der Werf Administratie & Advies;;;1;;;1
Van Ditmars Wijnkoperij;;;1;;;1
van Ginkel interim finance;;;2;;;2
Van Hall Instituut;;;3;;;3
Van Ham Organisatie & Advies;;;2;;;2
Van Heekeren & Frima Management Consultants;;;2;;;2
Van Kempen Onderzoek en Advies;;;3;;;3
Van Koningsveld B.V.;;;3;;;3
Van Liefland Milieuadvies;;;1;;;1
Van Marwijk Advies;;;2;;;2
Van Rijn Advies;;;3;;;3
Van Tiggelen Tekst & Communicatie;;;1;;;1
Van Wendel de Joode Management & Advies;;;1;;;1
Van Zutphen Economisch Advies;;;1;;;1
Vanberkel & Verwei;2;;;;;2
Vanrutte Advisory;;;4;;;4
Vapro Vakopleiding Procesindustrie;;;2;;;2
Vastgoed Journaal;;;1;;;1
VBDO Vereniging van Beleggers voor Duurzame Ontwikkeling;;;3;;;3
VCK Groep, Travel & Logistics;;;5;;;5
VDS A'Campo BV;;;2;;;2
Veelzijdig Boerenland;;;1;;;1
Veenkoloniaal Museum;;;1;;;1
VeiligheidNL (vh Stg Consument en Veiligheid);;;5;;;5
Veilingmeester;;;1;;;1
Vektis;;;2;;;2
Velders-IMC;;2;2;;;2
Ver. Amerik. Kamer v. Kooph. in Nederland;;;1;;;1
Ver. v. Vrij en Verantw. Varen op de Wadden;;;2;;;2
Verbos Business Development (Verstegen & Van den Bos);;;2;;;2
Vereniging Doet;;;1;;;1
Vereniging Energie-Nederland;;;3;;;3
Vereniging Fme-Cwm;;;5;;;5
Vereniging tot Behartiging van de Belangen van Nederlandse Lucht- en;;;1;;;1
Vereniging Tot Behoud van Natuurmonumenten;;;1;;;1
Vereniging van Bos en Natuurterreineigenaren;;;2;;;2
Vereniging van De Nederlandse Chemische Industrie - Vnci;;;4;;;4
Vereniging VNO-NCW;;;2;;;2
Verheijden Concepten B.V.;;;2;;;2
Verhoef Adviesbureau;;;1;;;1
Vestigia;;;1;;;1
Veterinair Centrum;;;1;;;1
Veterinair Centrum Someren BV;;;1;;;1
Vetrifot;;;1;;;1
Vewi Techniek B.V.;;;2;;;2
Viadesk;;;3;;;3
Viatore;;;2;;;2
Vietnam Consult & Trading;;;4;;;4
Villa Jongerius;;;1;;;1
VIML International Business Research Group;;;2;;;2
Vintage Wijnen;;;1;;;1
VKA Verdonck Klooster & Associates;;;4;;;4
Vleugel Stand en Interieurbouw;;;1;;;1
Vliegerprojecten;;;1;;;1
VMC Organisatie en Communicatie;;;1;;;1
Voc Uitgevers;;;1;;;1
Vollering Maatschap;;;1;;;1
Voorberg Bouwkunde;;;3;;;3
Voss Beheer B.V.;3;;;;;3
Voxx Communicatie-Adviseurs;;;3;;;3
Vrian Projects;;;2;;;2
Vrijling Consultancy;;;1;;;1
VU en VUMC Technology Transfer Office;;;3;;;3
VVV Nederland;;;2;;;2
VWR International (incl. Omnilabo);;;1;;;1
VX Company;6;;;;;6
W.G. Dasselaar;;;1;;;1
W.H.M. Zuijderwijk;;;2;;;2
W/E Adviseurs Duurzaam Bouwen;;;3;;;3
Waardenburg Bureau;;;3;;;3
Waddenvereniging;;;4;;;4
Wanningen Water Consult;;;3;;;3
Warmolt Lameris ICT Services;;;1;;;1
Water Governance Centre;;;1;;;1
Water Partner Foundation;;;2;;;2
Water.nl;;;4;;;4
Water=essential;;;2;;;2
Watermediair;;;3;;;3
Waterwys;;;2;;;2
Wavin Diensten B.V.;;;2;;;2
Webhand Redactie en Advies;;;2;;;2
Webhelp Nederland;;;6;;;6
Wedu;;;1;;;1
Wegener Nieuws Media (incl. De Gelderlander, De stentor);;;1;;;1
Wellness Innovations B.V.;;;1;;;1
Westrom;;;1;;;1
Westwoude Management;;;2;;;2
Wetlands International;;;1;;;1
Wetsus;;;2;;;2
Wiesweb Application Development;;;2;;;2
Wijnkoperij Henri Bloem;;;1;;;1
Wikibase Solutions;;;1;;;1
Willem Wansink;;;1;;;1
Windunie Trading;;;2;;;2
Wing Process Consultancy;;;6;;;6
Winkelman van Hessen;;;2;;;2
Wissing B.V.;;;2;;;2
Wittebol Wijn;;;1;;;1
Witteveen+Bos Raadgevende Ingenieurs;;;6;;;6
Wolfpack;;;2;;;2
Wolters Kluwer (incl. Kluwer);;;1;;;1
Woonbron Stg;;;1;;;1
Woonvereniging De Middelhorst;;;1;;;1
World Forum Convention Center;;;7;;;7
Wouters Café;;;1;;;1
Wtch;;;1;;;1
Xillio;;;1;;;1
XS4ALL Internet;;;1;;;1
Yacht;5;;3;;;5
Yente Stg;;;1;;;1
YES!Delft B.V.;;;1;;;1
Yogiemonk Videoproducties;;;1;;;1
Young Works;;;2;;;2
Your Point;;;1;;;1
Youwe Creative (incl. OOiP20);;;1;;;1
Zandacademie;;;2;;;2
ZCN Totaalvervoer (incl. Zorgvervoercentrale Nederland);;;1;;;1
Zeeinzicht Stg;;;1;;;1
Zeezicht Hotel-Café-Restaurant;;;1;;;1
Zetadec;;;2;;;2
Zon Energie Ontwikkelingsbedrijf;;;2;;;2
Zuidkoop Natural Projects;;;3;;;3
Zuivere Speeltijd;;;3;;;3
Zus en Zo Eetkado;;;1;;;1
Eindtotaal;11;5;11;5;2;12
