Leverancier;1000 - Personele exploitatie overig;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Rovae opleiding en advies;;;;1;;;;1
ROVC Technische Opleidingen B.V.;;;;2;;;;2
Rozemond Tentoonstellingen;;;1;;;;;1
Rozenpaviljoen;;1;;;;;;1
RPJ Haarlem B.V.;;1;;;;;;1
Ruijter in Company;;;1;;;;;1
Rumi Kunst Instituut;;1;;;;;;1
Runningstar;;;;1;;;;1
Ruparo B.V.;;1;;;;;;1
S. Dinçer h.o.d.n. Jamin;;1;;;;;;1
S.B.I. Zonheuvel B.V.;;1;;;;;1;1
S.O.V.A.;;1;;;;;;1
Sabel Communicatie B.V.;;;;1;;;;1
Sabine Events;;;;1;;;;1
Salamander 2;;1;;;;;;1
Salentein Wines B.V.;;1;;;;;;1
Sallands Eethuis;;;;;;;1;1
Salsaparilla 4all B.V.;;;;1;;;;1
Samaya B.V.;;;;;;;1;1
Samenspraak in de Zorg;;;;1;;;;1
Samurai at work;;;;1;;;;1
Sanders Gifts;;2;;;;;;2
Sapori d'Italia B.V.;;1;;;;;;1
Sas Institute B.V.;;;;2;;;;2
Sas Sankofa;;;;1;;;;1
Savant Learning Partners B.V.;;;;3;;;;3
SayKnowMore;1;;;;;;;1
SBI Formaat Opleiding en Advies B.V.;;;;1;;;;1
SBI Training en Advies/FNV Formaat B.V.;;;;1;;;;1
SBS Veerdiensten Produktiemiddelen B.V.;;;;;;;1;1
sbv anderetaal;;1;;;;;;1
SCCT B.V.;;;;1;;;;1
Schellekens/Partners Train. Coaching Adv. BV;;;;1;;;;1
Schenkerij Landwinkel De Kastanjeboom;;1;;;;;;1
Schiphol Nederland B.V.;;;;1;;;2;2
Schippershuus;;;;1;;;;1
SchoolvoorCoaching B.V.;;;;2;;;;2
Schoudee Horeca B.V.;;1;;;;;;1
Schouten & Nelissen Nederland B.V.;;;;3;;;;3
Schuttevaer B.V.;;1;;;;;;1
SCIA Nederland;;;;1;;;;1
ScienceWorks B.V.;;;;1;;;;1
SCK CEN;1;;;1;;;;1
Scorpio Recruitment;;;2;;;;;2
Scrum Academy B.V.;;;;1;;;;1
SCS Training & Consultancy B.V.;;;;1;;;;1
SCS Training & Consultancy Rotterdam B.V.;;;;1;;;;1
Sdu Uitgevers B.V.;;1;;1;;;;1
Sealove Experience B.V.;;1;;;;;;1
SEC Catering;;1;;;;;;1
Secumar Benelux B.V.;1;;;;;;;1
Senda Loopbaancoaching;;;;1;;;;1
Sendiri;;;;1;;;;1
Sense Organisatie & Coaching B.V.;;;;1;;;;1
Sensus;;;;1;;;;1
SERIS Security B.V.;;;;1;;;;1
Settels Sustainable Workconditions;1;;;;;;;1
Sfeer lunch&diner;;1;;;;;;1
SGS Nederland B.V.;;;;1;;;;1
Shared Business B.V.;;;;1;;;;1
SHIP AHOY;;1;;;;;;1
Shuttel B.V.;;;;;;;8;8
SI B.V.;;;;2;;;;2
Siemens Nederland N.V.;;;;1;;;;1
SignOn B.V.;;;;1;;;;1
Simon Peter Been;1;;;1;;;;1
Simonis Oude Visafslag B.V.;;1;;;;;;1
Simply Colors Nederland B.V.;;1;;;;;;1
Simwave B.V.;;;;2;;;;2
SINGH medical care;;;1;;;;;1
SintAnna;;;;1;;;;1
Sjappo Events;;1;;;;;;1
Sjoer Advocatuur B.V.;;;;1;;;;1
SKB;2;;;;;;;2
Skilltrade B.V.;;;;1;;;;1
Skill-up;1;;;;;;;1
Skils B.V.;1;;2;1;;;;2
Skoledo B.V.;;;;1;;;;1
SkyNed;;;;1;;;;1
Slaapschepen B.V.;;2;;;;;;2
Slaapschepen Catering B.V.;;2;;;;;;2
Slabbers De Lange Office Support B.V.;;;;1;;;;1
Slagerij Hamans;;1;;;;;;1
Slagerij Pouw;;1;;;;;;1
Slagerij Rob Keller;;1;;;;;;1
Slagerij Versluis V.O.F.;;1;;;;;;1
Slagerij Wisse;;1;;;;;;1
Sligro;1;1;;;;;;1
Slot Oostende B.V.;;1;;;;;;1
Smaak & Stijl;;1;;;;;;1
SMAAKenmeer;;1;;;;;;1
SmartFocus Netherlands N.V.;;;;;;;1;1
Smeets Business Services Landgraaf;;;;1;;;;1
Snellius;;;1;;;;;1
SNR Schouten & Nelissen Recovery B.V.;1;;;4;;;;4
So Delicious VOF;;1;;;;;;1
SOBA Security Academy B.V.;;;;2;;;;2
Social Impact Factory Utrecht B.V.;1;;;;;;;1
Sociëteit aan de Maas B.V.;;1;;;;;;1
SOIA B.V.;;1;;;;;;1
SolBeach B.V.;;1;;;;;;1
Solexverhuur Dinkelland;;1;;;;;;1
Solid Sense B.V.;1;;2;2;;;;2
Soluso B.V.;;;;1;;;;1
Solux apartments;;;;;;;1;1
SOMA Exploitatie B.V.;;;;1;;;;1
Soomers;;1;;;;;;1
Spa Opleidingen B.V.;;;;1;;;;1
Space Crafters;;;1;;;;;1
Spaces Rode Olifant B.V.;;1;;;;;;1
Sparkling People B.V.;;1;;;;;;1
Speakers Academy®;;;;1;;;;1
Speech Republic B.V.;;;;1;;;;1
Speechless;;;;2;;;;2
Speelboerderij Klok'uus;;1;;;;;;1
Spellenrijk B.V.;;1;;;;;;1
Spido B.V.;;1;;;;;;1
Spiegelhart;2;;;1;;;;2
Spijkers-Heemskerk;;1;;;;;;1
Spirit of the age;;;;1;;;;1
SPITZ congres & event B.V.;;;;3;;;;3
Sportcafe Pathmos;;1;;;;;;1
Sportfondsen Welzijn Delft B.V.;;1;;;;;;1
Sports & Businesscampus Vechtsebanen Horeca;;1;;;;;;1
Spraakmakend Studio voor Spreekkunst;;;;1;;;;1
Sprankel & Co;;1;;;;;;1
Spreek B.V.;;;;1;;;;1
Sprekershuys B.V.;;1;;;;;;1
Sprengers Advocaten;;1;;;;;;1
SRA;;;;1;;;;1
SRM Communicatie B.V.;;;;1;;;;1
SRS Consulting B.V.;;;;1;;;;1
ST Groep B.V.;;;;1;;;;1
St. Expl. Sportcomplex Wegatletiek Zoetermeer;;1;;;;;;1
St. tot Expl. Waayestein en Zuylestein;;1;;;;;;1
Stad Munster 2018 B.V.;;1;;;;;;1
Stadsarrangement.nl;;1;;;;;;1
Stadsavonturen;1;;;;;;;1
Stadscafe De Waag B.V.;;1;;1;;;;1
Stadsherberg 't Pumpke B.V.;;1;;;;;;1
Stads-Koffyhuis;;1;;;;;;1
Stania State;;1;;;;;;1
Stante Pede;;;1;;;;;1
State Budget of the Republic of Cro;;;;;;;1;1
Statisfact B.V.;;;;1;;;;1
Stavoor B.V.;;;;2;;;;2
STC Training & Consultancy;;;;2;;;;2
STC-Group Assistance Development Fund;;;;2;;;;2
STC-KNRM B.V.;;;;2;;;;2
Steakhouse 'Steak van de Keizer';;1;;;;;;1
Stecher & Partners B.V.;;;;2;;;;2
Steenoven Catering B.V.;;1;;;;;;1
Steenstraat B.V.;;1;;1;;;;1
Stegman Groothandel B.V.;;6;;;;;;6
Steinbuch in Motion B.V.;;;;1;;;;1
Sterck Film;;1;;;;;;1
STERKADO;;1;;;;;;1
Sterre Arend B.V.;;1;;;;;;1
Stg. Crow, kennisplatf. infrastruct., verkeer;;;;1;;;;1
Stg. Cursussen Wetenschapscorrespondentie;;;;1;;;;1
Stg. DACE (Dutch Associat. of Cost Engineers);;;;1;;;;1
Stg. Nat. Lucht- en Ruimtevaartlaboratorium;;;;1;;;;1
Stg. Nat. Nautische Verkeersdienst Opleiding;;;;7;;;;7
Stg. Ned. Inst. voor Int. Betr. 'Clingend.';;;;2;;;;2
Stg. Nederlands Instituut voor Kenn.overdr.;;;;1;;;;1
Stg. Opleidingsk. / Found. for Corp. Educ.;;;;1;;;;1
Stg. PostAcademisch Onderw. Techniek en Man.;;;;3;;;;3
Stg. ProDemos - Huis voor dem. en rechtsstaat;;1;;;;;;1
Stg. RIONED, Platf. Buitenriolering Nederland;;;;1;;;;1
Stg. Rivas Zorggroep;1;;;;;;;1
Stg. Sioo, Int.univ. Centr. Veranderkunde;;;;2;;;;2
Stg. United Build.&Struct. Engineering Assoc.;;;1;;;;;1
Stg. Wet. Ond. Verkeersveiligh. Swov;2;;;2;;;;2
Sticht. Post Hoger Onderwijs Veiligheidskunde;;;;1;;;;1
Stichting 0.0;;2;;;;;;2
Stichting Accessibility;;;;1;;;;1
Stichting Adelante Zorg;;;;1;;;;1
Stichting ARIS - Gebruikers Nederland;;;;1;;;;1
Stichting Arminius;;1;;;;;;1
Stichting Bedrijvendagen Twente;;;1;;;;;1
Stichting Beeckestijn Management Educatie;;;;1;;;;1
Stichting Beheer Derdengeld. v. Kaam Advocat.;1;;;;;;;1
Stichting Beheer Diergaarde Blijdorp;;1;;;;;;1
Stichting Beheer JAA Training Organisation;1;;;3;;;;3
Stichting Bestuursbureau Noorderlink;;;1;;;;;1
Stichting Bibliotheek Rotterdam;;;;1;;;;1
Stichting Bouwreflectie;;;;1;;;;1
Stichting Careander;;;;1;;;;1
Stichting Chocolate Lovers;;1;;;;;;1
Stichting Colloquium Vervoerspl.Speurwerk;1;;;1;;;;1
Stichting Communicatie;;;1;2;;;;2
Stichting Constructeursregister;;;;1;;;;1
Stichting Culturele Ambassade;;1;;;;;1;1
Stichting De Delftse Bedrijvendagen;;;1;;;;;1
Stichting de Leidsche Rederij';1;;;;;;;1
Stichting De Schrijverscentrale;;1;;;;;;1
Stichting De Verkeersgedragdag;;;;1;;;;1
Stichting deelnemersgelden congresbureau;;;;1;;;;1
Stichting Deltares;;;;1;;;;1
Stichting Digitaal Erfgoed Nederlan;;;;1;;;;1
Stichting Energie en Samenleving;1;;;;;;;1
