Leveranciersnaam;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Het Gegeven Paard B.V.;;;;1;;;;;;1
HET GOUDE HOOFT EXPLOITATIE;;;;2;;;;;;2
HET HEDEN;;;;1;;;;;;1
Het Kabinet, Eten en Drinken;;;;1;;;;;;1
Het Kantoor van Nu;;;;1;;;;;;1
Het Klooster van Dalfsen;;;;1;;;;;;1
HET KOOKPLEIN;;;;2;;;;;;2
Het Kookstation;;;;;;;1;;;1
Het NIC B.V.;;;;;;2;;;;2
Het Nutshuis, Stichting;;;;;;;;;1;1
Het Oranje Kruis;;;1;;;;;;;1
HET PAROOL;;;;;;1;;;;1
Het Pleidooi;;;;1;;;;;;1
Het Tiende Huis;;;;;;3;;;;3
HET TRAININGSBUREAU COÃ?PERATIEF;;;;;;1;;;;1
HFCC Racing;;;;1;;;;;;1
HGN EUROPE;;;;1;;;;;1;1
High Five Health Promotion B.V.;;;4;;;;;;;4
Historische Verzameling Koninklijke Militaire Academie Stichting;;;;1;;;;;;1
HKH Nederland;;;;1;;;;;;1
HMSHOST NEDERLAND B.V.;;;;1;;;;;;1
HOC Opleiding & Training B.V.;;;;;;1;;;;1
Hodac B.V.;;;;;;1;;;;1
Hoegen Fietsverhuur;;;;1;;;;;;1
Hoender en Hop;;;;;;;;;1;1
Hoesenie Naushad;;;;1;;;;;;1
Hof Catering BV;;;;1;;;;;;1
Hofje van Pauw;;;;;;1;;;;1
Hofje van Pauw: praktijk voor haptonomie;;;;;;1;;;;1
HOFSTAD EVENTS;;;;1;;;;;;1
Hogesch. voor Toegepaste Filosofie (HTF) B.V.;;;;;;1;;;;1
Hogeschool Schoevers;;;;;;3;;;;3
HOGESCHOOL UTRECHT;;;;;;1;;;;1
Hogeschool van Amsterdam;;;;;;1;;;;1
HolacracyOne LLC;;;;;;1;;;;1
Holding Beheermaatschappij Ropeni B.V.;;;;2;;;1;;;2
HOLLAND CONSULTING GROUP;;;;;;1;;;;1
Hollandse Hoogte;;;;1;;;;;;1
Holle Bolle Gijs;;;;1;;;;;;1
Hoogland & Co B.V;;;;;;2;;;;2
HOP & STORK DEN HAAG;;;;1;;;;;;1
HORECA EXPLOITATIE MAATSCHAPPIJ FRANZEN;;;;1;;;;;;1
Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;;;;;;;;;1;1
Hotel Boschhuis;;;;1;;;;;;1
HOTEL CAFE RESTAURANT CENTRAAL;;;;1;;;;;;1
Hotel Campanile Amersfoort;;;;;;;;;1;1
Hotel Contact B.V.;;;;;;1;;;3;3
HOTEL CORENA;;;;;;;;;1;1
Hotel de Gouden Leeuw;;;;;;;;;1;1
Hotel De Jonge Exploitatie B.V.;;;;1;;;;;;1
Hotel Den Haag-Nootdorp;;;;;;;;;1;1
HOTEL DES INDES;;;;1;;;;;;1
Hotel Des Indes B.V.;;;;1;;;;;;1
Hotel Drachten B.V.;;;;;;;;;1;1
Hotel Het Wapen van Delden B.V.;;;;;;;;;1;1
Hotel Leeuwarden Centre B.V.;;;;;;;;;1;1
HOTEL LUMEN;;;;;;;;;1;1
HOTEL LUMIERE B.V.;;;;;;;;;1;1
HOTEL MERCURE CENTRAL DEN HAAG;;;;1;;;;;1;1
HOTEL MERCURE NIJMEGEN CENTRE;;;;;;;;;1;1
Hotel New York B.V.;;;;1;;;;;;1
Hotel Restaurant Abrona;;;;1;;;;;;1
Hotel Room;;;;1;;;;;;1
Hotel Silken Berlaymont;;;;;;;;;1;1
Hotel Tiel;;;;1;;;;;;1
Hotel Van der Valk Groningen/Westerbroek;;;;;;;;;1;1
Hotel-CafÃƒÂ©-Restaurant Haarhuis;;;;;;;;;1;1
Hotel-Cafe-Restaurant Haarhuis;;;;;;;;;1;1
HOTEL-CAFE-RESTAURANT ZWOLLE B.V.;;;;;;;;;1;1
Houden van Klanten;;;;1;;;;;;1
HOUSE OF LORDS;;;;1;;;;;;1
HOUTSCHILD INT BOEKHANDEL;;;;;;1;;;;1
HOWARDSHOME;;;;;;2;;;;2
HRcommunity;;;;;;1;;;;1
HRD Group;;;;1;;3;;;;3
HSK Groep;;;2;;;;;;;2
HSK INTERVENTIE;;;1;1;;1;;;;1
HSK Interventie B.V.;;;1;;1;1;;;;1
HTM SPECIALS;;;;;;;;;1;1
HTMC;;;;;;;;;1;1
Hudson Danzig B.V.;;;;1;;1;;;;1
Huijbregts-Breitkopf Simone;;;;1;;;;;;1
HUIS TEN HAGHE;;;;1;;;;;;1
Huisartsenpraktijk Danhof;;;1;;;;;;;1
HUMAN CAPITAL CARE B.V.;;;1;;;;;;;1
Human Mobility B.V.;;;;;;1;;;;1
Human Quality Management;;;;;;1;;;;1
HumanAbility Arbeidsdeskundig Advies B.V.;;;;;;1;;;;1
HUMANITY HOUSE;;;;;;;;;1;1
HUMPHREYS DEN HAAG B.V.;;;;1;;;;;;1
Humphrey's Den Haag B.V.;;;;1;;;;;;1
HUSZÃ?R;;;;1;;;;;;1
HV Advies en Opleidingen;;;;;;2;;;;2
Hypsotech Management Consultancy B.V.;;;;;;1;;;;1
IBABS;;;;;;1;;;;1
Ibis Den Haag City Centre;;;;;;;;;2;2
ICM ADMINISTRATIE;;;;;;2;;;;2
ICM Administratie B.V.;;;;;;1;;;;1
ICM Holding B.V.;;;;;;1;;;;1
ICM Opleiding & Trainingen;;;;;;1;;;;1
ICM OPLEIDINGEN & TRAININGEN;;;;;;1;;;;1
ICM Opleidingen & Trainingen B.V.;;;;;;2;;;;2
ICN Solutions B.V.;;;;;;1;;;;1
ICT Kompas;;;;;;;1;;;1
Id Network Nederland;;;;;;1;;;;1
IDCARDPLAZA B.V.;;;;1;;;;;;1
Idemia The Netherlands BV;;;;;;3;;;;3
IFC COACHING;;;1;;;;;;;1
IGLUU;;;;1;;;;;;1
Igo-Post B.V.;;;;1;;;;;;1
Igor Design B.V.;;;;1;;;;;;1
IInstituut van Internal Auditors Ned;;;;;;1;;;;1
IJsprinses;;;;1;;;;;;1
IKOS CONSULT;;;;;;2;;;;2
IMPERO ROMANO;;;;1;;;;;;1
Improven B.V.;;;;;;3;;;;3
Impulsus Personal Quality & Results;;;;;;2;;;;2
Impulsus Personal Quality and Results;;;;;;1;;;;1
IN DEN STALLEN;;;;1;;;;;;1
IN TOUCH WOMEN RESOURCE MANAGEMENT;;;;;;1;;;;1
InContext Consultancy B.V.;;;;;;1;;;;1
Indigo B.V;;;;1;;;;;;1
Indisch Restaurant Garoeda;;;;1;;;;;;1
INDISCHE GENEALOGISCHE VERENIGING;;;;;;1;;;;1
Indische Toko Kediri;;;;1;;;;;1;1
Indonesisch Restaurant Poentjak;;;;1;;;;;;1
Indonesisch Restaurant Soeboer;;;;1;;;;;;1
Indonesische Restaurant Srikandi;;;;1;;;;;;1
Indosnacks.nl;;;;1;;;;;;1
Info Support B.V.;;;;;;1;;;;1
Infopact Netwerkdiensten B.V.;;;;;;1;;;;1
Infotopics B.V.;;;;;;1;;;;1
Inftopics B.V.;;;;;;1;;;;1
ING BANK;;;;;;1;;;;1
Ingeborg Herdingh The Human Effect;;;;;;1;;;;1
Ingeburgerd Zwolle B.V.;;;;1;;;;;;1
INGEZICHT;;;;;;1;;;;1
Inkesta B.V.;;;;;;1;;;;1
Innerself;;;;;;2;;;;2
Innjoy;;;;1;;;;;;1
Innova;;;;;;1;;;;1
Innovero Software Solutions B.V.;;;;1;;;;;;1
Inrush B.V.;;;;;;1;;;;1
INSIDESTORY;;;;;;1;;;;1
INSIGHTSWORLD;;;;;;1;;;;1
InsightsWorld B.V.;;;;;;4;;;;4
Inspearit;;;;;;2;;;;2
INSPIRATIE OP LOCATIE B.V.;;;;1;;;;;;1
Install.werk Z-Holland Opleidingsbedrijf B.V.;;;;;;1;;;;1
INSTITUUT CLINGENDAEL;;;;;;1;;;;1
Instituut HR Bedrijfskunde;;;;;;1;;;;1
INSTITUUT MENTORIS HOLDING B.V.;;;;;;1;;;;1
Instituut SMO B.V.;;;;;;1;;;;1
Instituut voor Agrarisch Recht;;;;;;2;;;;2
Instituut voor Examens B.V.;;;;;;1;;;;1
Instituut voor Interventiekunde;;;;;;1;;;;1
INSTITUUT VOOR JURIDISCHE OPLEIDINGEN;;;;;;1;;;;1
Instituut voor Psychotrauma;;;1;;;1;;;;2
INSTITUUT VOOR PUBLIEKE WAARDEN;;;;;;1;;;;1
Instituut voor Wijsbegeerte B.V.;;;;;;3;;;1;3
INSTOCK AMSTERDAM;;;;1;;;;;;1
Instock Den Haag;;;;;;;;;1;1
INT CCL FOR INFO TECH IN GOVT ADMIN;;;;;;1;;;;1
Integrated Facility Services B.V.;;;;1;;;;;;1
Integrated Systems Events B.V.;;;;;;1;;;;1
Intelligence Group B.V.;;;;;;1;;;;1
InterArbeid Mediation;;;1;;;;;;;1
InterCityHotel Enschede;;;;1;;;;;;1
Interdepartementaal Trainee Overleg;;;;;;4;;;;4
INTEREXCELLENT;;;;;1;;;;;1
Intermenso;;;1;;;1;;;;1
INTERNATIONAL KNOWLEDGE & NETWORKING;;;;;;1;;;;1
Internet Society Nederland;;;;;;1;;;;1
INTEROFFICE KANTOORINRICHTING B.V.;;;;1;;;;;;1
Intertoys;;;;1;;;;;;1
INTOP ZORGSECTOR;;;;;;1;;;;1
Intrum Justitia Nederland B.V.;;;;;;1;;;;1
INZICHT;;;;;;1;;;;1
Inzicht Bureau voor Coaching en Communicatie;;;;;;1;;;;1
IPD Opleidingen;;;;;;1;;;;1
IPMA Certificering B.V.;;;;;;1;;;;1
Irodion;;;;1;;;;;;1
ISALA THEATER B.V.;;;;1;;;;;;1
ISBW;;;;;;1;;;;1
Istana Restaurant;;;;1;;;;;;1
IT Govemance Limited;;;;;;1;;;;1
IT Management Group;;;;;;3;;;;3
IT Management Group B.V.;;;;;;1;;;;1
ItaQ;;;;;;2;;;;2
IT-Councelor B.V.;;;;;;2;;;;2
It-Staffing;;;;;;;;;1;1
J&S WEBSHOPS B.V.;;;;1;;;;;;1
J.P. van Deene Holding B.V.;;;;;;1;;;;1
Jaarbeurs B.V.;;;;;;1;;;;1
JAARBEURS UTRECHT;;;;;;1;;;;1
JA-MAAR;;;;;;1;;;;1
Ja-maarÃ‚Â® B.V.;;;;1;;1;;;;1
Jamey Bennet Kitchen & Bar;;;;;;;;;1;1
Jamie's Italian Den Haag;;;;1;;1;;;;1
Japans restaurant Sumo Den Haag B.V.;;;;1;;;;;;1
JE Consultancy B.V.;;;;;;1;;;;1
Je team voor elkaar;;;;;;1;;;;1
Jeff's Eetcafe B.V.;;;;1;;;;;;1
Jennix Talent Management;;;1;;;;;;;1
Jobdigger B.V.;;;;;;1;;;;1
Jobmassage B.V.;;;1;;;;;;;1
JoJo Management B.V.;;;;;;1;;;;1
JONGBLOED NL;;;;;;1;;;;1
Jongens van de Tekeningen;;;;1;;;;;;1
Jongerius-Seghwaert B.V.;;;;1;;;;;;1
JR Horeca Company B.V.;;;;1;;;1;;;1
JR Zuure Photography;;;;1;;;;;;1
JR's Cuisine;;1;;1;;;;;;1
Juliana Bloemen;;;;1;;;;;;1
JuRo Horeca;;;;;;1;;;;1
Just Connecting;;;;1;;;;;;1
Kaap Doorn B.V.;;;;;;1;;;;1
KAAP DOORN CONFERENTIECENTRUM;;;;;;1;;;;1
Kalteren Advies;;;1;;;;;;;1
Kamphuis, N;;;;;1;;;;;1
KANNEGIETER ELECTRONICA B.V.;;;;;;1;;;;1
Kasteel De Essenburgh training & vorming;;;;;;1;;;;1
KASTEEL OUD-POELGEEST;;;;;;1;;;;1
Kasteel Oud-Poelgeest B.V.;;;;1;;1;;;1;1
KB consult;;;2;;;;;;;2
KC Catering;;;;1;;;;;;1
KDK CONFERENTIEHOTEL STICHTING;;;;;;;;;1;1
Kenniscentrum Projectadvisering/Educatie B.V.;;;;;;2;;;;2
Kernwasser Wunderland Freizeitpark GmbH;;;;1;;;;;;1
KERSTPAKKETTENKIEZER;;;;1;;;;;;1
KESSELS & SMIT;;;;;;4;;;;4
Kessels & Smit Leertrajecten B.V.;;;;;;1;;;;1
Kessels & Smit, the Learning Company B.V.;;;;;;1;;;;1
Keurselect;;;;1;;;;;;1
Keus, R (Sinterklaas-Verhuur.nl);;;;1;;;;;;1
Key Result B.V.;;;;;;1;;;;1
Kickerprofs;;;;1;;;;;;1
Kickstart Taaltraining;;;;;;1;;;;1
KI-Coach;;;1;;;;;;;1
KiFlow Mariette de Kroon;;;;;;1;;;;1
Kingdom Hotel Supplies B.V.;;1;;;;;;;;1
Kings Shop;;;;1;;;;;;1
Kiwa Training B.V.;;;;;;1;;;;1
Kjenning Opleidingen;;;;;;2;;;;2
Klantenservice Federatie;;;;;;1;;;;1
Kloosterhof Neer B.V.;;;;;;1;;;;1
KOAC.NPC;;;;;;2;;;;2
Koekiejar;;;;1;;;;;;1
Koetsenruijter Conflictmanagement en Bemid.;;;;;;2;;;;2
KOKEN OP MAAT;;;;1;;;;;;1
Koken-op-maat;;;;1;;;;;;1
Kolibrie Organisatie advies;;;;;;1;;;;1
Kompaan Craft Brewers;;;;1;;;;;;1
KON VER VAN ARCHIVARISSEN NEDERLAND;;;;;;1;;;;1
Koninklijk Instituut van Ingenieurs;;;;1;;1;;;;1
KONINKLIJK STALDEPARTEMENT;;;;;;;;;1;1
KONINKLIJKE SCHOUWBURG HORECA;;;;1;;;;;;1
Koninklijke Stichting Defensiemusea;;;;1;;;;;;1
Kooijenga;;;;;;;;;1;1
Kook en Proefstudio Den Haag;;;;1;;;;;;1
Kookmeesters B.V.;;;;1;;;;;;1
Korte Poten 1-3 B.V.;;;;2;;;;;;2
Kostuumhuis Kalf;;;;1;;;;;;1
KOUDIJS JT HOLDING;;;1;;;;;;;1
Krancher2;;;1;;;1;;;;1
Krancher2 t.h.o.d.n. iQ Coaches Den Haag West;;;;;;1;;;;1
Krav Maga Instituut;;;;;;1;;;;1
Krenn Coaching;;;;;;1;;;;1
KROL REIZEN;;;;;;;;;1;1
KRONENBURG PROMOTIE & BEGELEIDING B.V.;;;;1;;;;;;1
KSG B.V.;;;;;;4;;;;4
KSG INCOMPANY;;;;;;1;;;;1
KSG Incompany/ Trainers & Consultants;;;;;;1;;;;1
KU Leuven;;;;;;1;;;;1
Kuijpers h.o.d.n. Run2Day;;;;1;;;;;;1
Kuijpers t.h.o.d.n. Run2Day Den Haag;;;;1;;;;;;1
Kuva Opleidingen;;;;;;1;;;;1
Kuyt Gerechtsdeurwaarder & Incasso Lisse;1;;;;;;;;;1
Kwaliteitsstichting Mediators;;;;;;1;;;;1
KWD Management Diensten B.V.;;;;;;1;;;;1
La Cubanita (Voorburg);;;;1;;;;;;1
La Cubanita Utrecht;;;;1;;;;;;1
LA GALLERIA PLEIN;;;;1;;;;;;1
LA JUPE SAUVAGE;;;;;;1;;;;1
La Lanterna Rest Pizzeria;;;;1;;;;;;1
La Laterna;;;;1;;;;;;1
La Mama Zoetermeer B.V.;;;;;;;1;;;1
La Passione Restaurant;;;;1;;;;;;1
LA RED;;;;;;1;;;;1
La Red B.V.;;;;;;1;;;;1
La Senorita;;;;1;;;;;;1
La Vie Meeting Center;;;;;;;;;1;1
La Vina Restaurant;;;;1;;;;;;1
LaCretio;;;;;;2;;;;2
Lagerweij & Partner Consultants B.V.;;;;;;1;;;;1
LAGERWEIJ & PARTNERS CONS;;;;;1;1;;;;1
Lagerweij Beheer B.V.;;;;;;1;;;;1
Landelijke Vereniging van Vertrouwenspersonen;;;1;;;1;;;;1
LANDGOED DE HORST;;;;;;2;;;1;2
Landgoed de Horst B.V.;;;;;;1;;;;1
Landhaus Beckmann;;;;;;1;;;;1
Landheer TG;;;;;;;;;1;1
Lang + Gelukkig;;;;1;;;;;;1
LANGUAGE INSTITUTE REGINA COELI;;;;;;2;;;;2
LANGUAGE PARTNERS;;;;;;1;;;;1
LANSELOET;;;;;;1;;;;1
Larik's Hoeve;;;;1;;;;;;1
Laudius B.V.;;;;;;1;;;;1
Launch! Human Capital Management B.V.;;;;;;1;;;;1
LE BIBELOT;;;;1;;;;;;1
LE BISTROQUET B.V.;;;;1;;;;;;1
Le bon du bon;;;;1;;;;;;1
LE CONNAISSEUR;;;;1;;;;;;1
LE STRASBOURG;;;;2;;;;;;2
Leaders Informed;;;;;;1;;;;1
LeadersInformed B.V.;;;;;;1;;;;1
Leadingwise;;;;;;1;;;;1
Lean Six Sigma College B.V.;;;;;;1;;;;1
Lean Six Sigma Partners B.V.;;;;;;2;;;;2
Leapfrog B.V.;;;;;;1;;;;1
Learn it B.V.;;;;;;2;;;;2
LearnCare Academy B.V.;;;;;;1;;;;1
LEARNIT;;;;;;1;;;;1
LEARNIT TRAINING;;;;;;1;;;;1
LEARNWORKS B.V.;;;;;;1;;;;1
LEBKOV & SONS;;;;1;;1;;;;1
Leef Tapas;;;;1;;;;;;1
LEEF tapas (Wincode B.V.);;;;1;;;;;;1
LEEF Tapas B.V.;;;;1;;;;;;1
Leeuwendaal;;;;;;2;;;;2
LEEUWENDAAL ADVIES;;;;;;2;;;;2
Leeuwendaal Advies B.V.;;;;;;2;;;;2
Leidse Onderwijsinstellingen B.V.;;;;;;2;;;;2
Leike van Oss Organisatievragen;;;;;;1;;;;1
LEONIDAS;;;;1;;;;;;1
Lets Party 24;;;;1;;;;;;1
Let's Talk Coaching & Mediation;;;;;;1;;;;1
LEUK;;;;1;;;;;;1
LEXISNEXIS;;;;;;1;;;;1
LEXXION VERLAGSGESELLSCHAFT;;;;;;1;;;;1
LGOG;;;;;;1;;;;1
Lia Aarsbergen Training Coaching Psychotherapie;;;;;;1;;;;1
Libereaux B.V.;;;;;4;;;;;4
Lichttonen;;;;;;1;;;;1
Lightflash Entertainment;;;;1;;;;;;1
Lights in Motion;;;;1;;;;;;1
LINGUARAMA NEDERLAND;;;;;;1;;;;1
LinK Finance B.V.;;;;;;;;1;;1
Linkeroever;;;;;;;;;1;1
LISANNE BOMMER DEN HAAG B.V.;;;;1;;;;;;1
Little V Den Haag B.V.;;;;1;;;;;;1
Little V Vietnamees Restaurant;;;;1;;;;;;1
LIVE STEELBAND;;;;1;;;;;;1
LJWB Trainingen Workshops en Redactioneel advies;;;;;;1;;;;1
Llanfarian Border Collies;;;;;;1;;;;1
Lloyd Hotel B.V.;;;;;;;;;1;1
Lloyd's Register Nederland B.V.;;;;;;1;;;;1
LM+MC BV EXPLOITATIE FOKKER TERMINAL;;;;;;3;;;;3
Lobo Groningen B.V.;;;;1;;;;;;1
Loetjoe;;;;;;1;;;;1
Logeion;;;;;;1;;;;1
Logica;;;;1;;;;;;1
LOI Zakelijk B.V.;;;;;;1;;;;1
LONDON SCHOOL OF ECONOMICS;;;;;;1;;;;1
LonnekeHermeling;;;;1;;1;;;;1
Loo Van Eck B.V.;;;;;;2;;;;2
Loof training en advies B.V;;;;;;1;;;;1
Loof training en advies B.V.;;;;;;2;;;;2
Los Argentinos B.V.;;;;1;;;;;;1
Loyalis Leven N.V.;;;;;;2;;;;2
LSA;;;;;;1;;;;1
Lud'arte;;;;1;;;;;;1
LUDEN DEN HAAG;;;;1;;;;;;1
Luier-taart.com;;;;1;;;;;;1
LUISS GUIDO CARLI;;;;;;1;;;;1
LUMENZ;;;;1;;1;;;;1
LUNA CATERING & ORGANISATIE;;;;1;;;;;;1
Lunchroom Nieuw Engelhard;;;;1;;;;;;1
Lunchroom Stout;;;;1;;;;;;1
LYSIAS ADVIES;;;;;;1;;;;1
M. Hijmans consult;;;;;;1;;;;1
MaarHees Coaching & Consultancy;;;;;2;;;;;2
Maas groep West-Nederland BV;;;;;1;;;;;1
Maas groep Zuid-Nederland B.V.;;;;;1;;;;;1
Madame Moustache;;;;1;;;;;1;1
MADE IN ITALY B.V.;;;;1;;;;;;1
MADURODAM;;;;1;;;;;;1
Magic Minded;;;;;;1;;;;1
Magnet.me;;;;;1;;;;;1
Magnetics;;;;;;1;;;;1
Mainpress B.V.;;;;;;1;;;;1
Maison de la Foret;;;;1;;;;;;1
Maison Kelder;;;;1;;;;;;1
Maison van den Boer B.V.;;;;1;;;;;;1
Make Me See;;;;;;1;;;;1
MaMa Kelly B.V.;;;;1;;;;;;1
Management Drives Netherlands B.V.;;;;;;1;;;;1
MANAGEMENTBOEK NL;;;;1;;2;;;;2
Mangiare.nu B.V.;;;;1;;;;;;1
MANUTAN;;;1;;;;;;;1
Maranza DNA;;;;;;1;;;;1
Marosel B.V;;;;;;1;;;;1
Marosel B.V.;;;;;;7;;;;7
MARS ET HISTORIA;;;;;;1;;;;1
Martini Hotel;;;;;;;;;1;1
Massage in Bedrijf;;;;1;;;;;;1
Masteryourlife;;;;;;1;;;;1
MATERS EN HERMSEN OPLEIDINGEN B.V.;;;;;;1;;;;1
MAURITSHUIS;;;;1;;;;;;1
Mavano;;;;1;;;;;;1
Mavim B.V.;;;;;;1;;;;1
Maxilia B.V.;;;;1;;;;;;1
Maximus B.V. Brouwerij;;;;1;;;;;;1
Mazie Restaurant;;;;1;;;;;;1
Medicalint;;;4;;;;;;;4
Medilex;;;;;;1;;;;1
Medimare B.V.;;;;1;;;;;;1
MEDISCH EXPERTISE & ADVIES CENTRUM B.V.;;;1;;;;;;;1
Meesterbakker Roodenrijs;;;;1;;;;;;1
Meeting Plaza Utrecht B.V.;;;;;;2;;;;2
Memory Events B.V.;;;;;2;;;;;2
Mensely B.V.;;;;;;1;;;;1
Mercure Den Haag Central;;;;;;1;;;;1
Mercure Hotel Amsterdam City;;;;;;;;;1;1
MERCURE HOTEL TILBURG CENTRUM;;;;;;;;;1;1
Mercure Hotel Zwolle;;;;;;;;;1;1
Meulenbroek, RJP;;;;;;;;;1;1
Meurs HRM;;;;;;1;;;;1
Meursault Holding B.V.;;;2;;;;;;;2
Mezze Arabische Tapasbar;;;;1;;;;;;1
Mg Books Media;;;;1;;;;;;1
MICHIELB COM;;;;;;1;;;;1
MIDDIN;;;;1;;;;;;1
Millers;;;;1;;;;;;1
Millers (Plein 10a BV);;;;1;;;;;;1
Millers Den Haag;;;;1;;;;;;1
Milú;;;;1;;;;;1;1
Milu Bar&Restaurant;;;;1;;;;;;1
Mind Academy B.V.;;;;;;1;;;;1
mind@work;;;;;;1;;;;1
Mindcampus B.V.;;;;;;1;;;;1
MINDERMAN RESEARCH;;;;;;1;;;;1
Mindfulness en Coaching Arnhem;;;;;;1;;;;1
Mindstep Psychologie;;;;;;1;;;;1
Ministerie van Financiën;;;;;;;;;1;1
MINKINMOTION;;;;;;1;;;;1
Missing Link B.V.;;;;;;1;;;;1
Missing Link BV;;;;;;1;;;;1
Montage-Klussenbedrijf T.J.F. Bakx;;;;1;;;;;;1
Monuta Uitvaartverzorging N.V.;;;;1;;;;;;1
Morane;;;;;;2;;;;2
More Balls Than Most B.V.;;;;1;;;;;;1
Motel Assen B.V.;;;;;;;;;1;1
Motus B.V.;;;;2;;;;;;2
MRI Centrum;;;1;;;;;;;1
MultiVlaai Retail B.V.;;;;1;;;;;;1
Murphy's Law;;;;1;;;1;;;1
MUSEUM BEELDEN AAN ZEE;;;;1;;;;;;1
MUSEUM CATERING;;;;1;;;;;;1
Museum Catering Den Haag BV;;;;1;;;;;;1
Museum de Gevangenpoort;;;;1;;;;;;1
MUSEUM HET SCHIP;;;;1;;;;;;1
MUSEUMKWARTIER B.V.;;;;1;;;;;;1
MUSEUMSHOP DEN HAAG;;;;1;;;;;;1
MUSIC & ENTERTAINMENT;;;;1;;;;;;1
muziekboot.nl;;;;1;;;;;;1
Muziekburo.nl;;;;1;;;;;;1
MuziekcafÃ© de Paraplu;;;;1;;;;;;1
MUZIEKCAFE DE PARAPLU;;;;1;;;;;;1
MW Consulting & Training B.V.;;;;;;1;;;;1
MW EN V;;;;;;2;;;;2
MWM Klussenbedrijf;;;;;;;;;1;1
My HBM Health & Talent B.V.;;;1;;;;;;;1
My HBM Support;;;;;;1;;;;1
My Motivation Insights B.V.;;;;;;1;;;;1
N.V.V.B.;;;;;;2;;;;2
NaJOU;;;;;;1;;;;1
Nationaal Gevangenismuseum;;;;1;;;;;;1
Nationale Handelsacademie B.V.;;;;1;;1;;;;1
Nationale Handelsacademie BV;;;;;;1;;;;1
NAVIGATOR;;;;;;1;;;;1
NCOD Publiekszaken B.V.;;;;;;2;;;;2
Ncoi Nederlands Commerc. Opleidings Instituut;;;;;;2;;;;2
NCOI Opleidingen B.V.;;;;;;1;;;;1
NCOI Techniek Opleidingen B.V.;;;;;;1;;;;1
NCOI Techniek Trainingen B.V.;;;;;;4;;;;4
NCOI Trainingen B.V.;;;;;;2;;;;2
NED GENEALOGISCHE VER INZ CONTRIBUT;;;;;;1;;;;1
NED GENEALOGISCHE VERENINGING;;;;;;1;;;;1
NED GENOOTSCHAP V HERALDIEK;;;;;;1;;;;1
NED SCHOOL VOOR OPENBAAR BESTUUR;;;;;;3;;;;3
NED VERENIGING VOOR BURGERZAKEN;;;;;;1;;;;1
Ned. Trainingsinst. v Neurolinguist. Progr.;;;;;;1;;;;1
Nederl. Acad. voor Arbeidswetenschappen B.V.;;;;;;2;;;;2
Nederl. Organisatie Voor Executeurs (NOVEX);;;;;;1;;;;1
Nederl. techn. veren. voor inst. in geb. TVVL;;;;;;2;;;;2
Nederl. Ver. van Bouwkostendeskundigen;;;;;;1;;;;1
Nederlands Centrum voor Geweldige Communicatie;;;;;;1;;;;1
Nederlands cursus collectief;;;;;;2;;;;2
Nederlands Debat Instituut;;;;;;1;;;;1
Nederlands Debat Instituut Holding B.V.;;;;;;2;;;;2
Nederlands Genootschap van;;;;;;1;;;;1
NEDERLANDS HISTORISCH GENOOTSCHAP;;;;;;1;;;;1
NEDERLANDS KENNISCENTRUM VOOR;;;;;;1;;;;1
Nederlands Volksbuurtmuseum Stichting;;;;1;;;;;;1
NEDERLANDSE JURISTEN - VERENIGING;;;;;;1;;;;1
NEDERLANDSE KASTELENSTICHTING;;;;;;1;;;;1
Nederlandse Mediatorsvereniging;;;;;;1;;;;1
Nederlandse School voor Openbaar Bestuur B.V.;;;;;;2;;;;2
Nederlandse Vereniging;;;;;;1;;;;1
Nederlandse Vereniging Bedrijfshulpverlening;;;;;;;;1;;1
NEDERLANDSE VERENIGING VOOR AANBESTEDING;;;;;;1;;;;1
Nederlandse Vereniging voor Burgerzaken;;;;;;1;;;;1
Nederlandse Vereniging voor Veiligheidskunde;;;;;;1;;;;1
NEDERLANDSE VERENIGING VOOR VLAGGENKUNDE;;;;;;1;;;;1
NEDFAC B.V.;;;;;;2;;;;2
NedFac/NCOI Opleidingsgroep;;;;;;2;;;;2
Nedvan Projectverhuizingen Facility;;;;;;;;;2;2
Nemesys Telecommunicatie;;;;;;;;;1;1
NEPROM;;;;1;;;;;1;1
NESSUN DORMA B.V.;;;;;;2;;;;2
NESTAS COMMUNICATIE;;;;;;1;;;;1
Nestas Communicatie B.V.;;;;;;1;;;;1
Neurofeedback;;;1;;;;;;;1
NEVERREST;;;;1;;;;;;1
Nevi B.V.;;;;;;1;;;;1
NEVI-PURSPECTIVE;;;;;;1;;;;1
NEVI-Purspective B.V.;;;;;;4;;1;;4
NEW BABYLON MEETING CENTER B.V.;;;;1;;1;1;;1;2
New Hotel York NL B.V.;;;;;;;;;1;1
NEW ROYAL YORK HOTEL;;;;;;;;;1;1
NEW SKOOL MEDIA;;;;;;1;;;;1
NEW YORK HOTEL;;;;1;;;;;;1
NFC INDEX;;;;;;1;;;;1
NFMD;;;;;;1;;;;1
NH Amsterdam Zuid;;;;;;;;;1;1
