Handelsnaam;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
Zebedeus Café-Restaurant;;;1;1;;1
ZENIT GmbH;;;;2;;2
Zeronezero-Events;;;;2;;2
Ziggo B.V.;1;;;;;1
Zimmerman & Zimmerman;;;;;3;3
Zoom Media B.V.;2;;;;;2
Zuidkoop B.V.;;;;1;;1
ZuivelNL;2;;;;;2
Zwaan II B.V.;;;1;;;1
De Baaij, Verbeeten & Partners B.V.;;;;1;;1
Eindtotaal;7;5;6;8;8;9
