;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Hiawatha Actief;;;1;;;;;;1
Hildernisse;;;1;;;;;;1
HLC Management B.V.;;;2;;;;;;2
HLC Wereld B.V.;;;2;;;;;;2
HM Treasury;;;1;;;;;;1
HMB Restaurant;;;1;;;;;;1
HOC Opleiding & Training B.V.;;;;;1;;;;1
Hocarest B.V.;;;;;;;;1;1
Hockey vereniging Myra;;;1;;;;;;1
HOEKELUM BOERDERIJ;;;1;;;;;;1
Hoezo Proj.manag. & Congresorganisatie B.V.;;;;;1;;;;1
HOF uitvaart & zorg;1;;;;;;;;1
Hof van Huntjens;;;1;;;;;;1
Hofje van Pauw: praktijk voor haptonomie;;2;;;;;;;2
Hofman CafÃƒÂ© B.V.;;;1;;;;;;1
Hofstad Events B.V.;;;;;;1;;;1
Hofstede de Middelburg;;;1;;;;;;1
Hogeschool Domstad Beheer B.V.;;;;;1;;;;1
Hogeschool INHolland;;;;;1;;;;1
Hogeschool NOVI B.V.;;;;;4;;;;4
Hogeschool Schoevers;;;;;2;;;;2
Hogeschool Utrecht;;;;;1;;;;1
HoLaPress Congresbureau B.V.;;;;;1;;;;1
Holding Beheermaatschappij Ropeni B.V.;;;1;;;;;;1
Holland Casino;;;1;;;;;;1
Holland Music Center;1;;;;;;;;1
Holland Tour Guides B.V.;;;1;;;1;;;1
Hollandse Uitjes;;;1;;;;;;1
Holtmaat, Vis, Salades en Catering;;;1;;;;;;1
Hoofddorp Horeca B.V.;;;1;;;;;;1
Hooridee Advies bij Gehoorverlies;;1;;;;;;;1
Hoorstudio Strating;;;1;;;;;;1
Horeca Beheer Haren B.V.;;;1;;;;;;1
Horeca cacaofabriek B.V.;;;1;;;;;;1
Horeca Exploit. Maatschappij City Hall B.V.;;;1;;;;;;1
Horeca Exploitatie Karpershoek B.V.;;;1;;;;;;1
Horeca Exploitatie WWZ V. B.V.;;;1;;;;;;1
Horecabedrijf de Agnietenberg B.V.;;;1;;;;;;1
Horecabedrijven Bos;;;1;;;;;;1
Horecaexploitatie Moeke BV;;;1;;;;;;1
Hortus Horeca en Catering B.V.;;;1;;;;;;1
Hospitality Consultants B.V.;;;;;3;;;;3
Hotel Contact B.V.;;;;;;;;3;3
Hotel Des Indes B.V.;;;1;;;;;;1
Hotel New York B.V.;;;1;;;;;;1
Hotel Villa Ruimzicht B.V.;;;1;;;;;;1
Hotel, Cafe, Rest. de Lantaren;;;1;;;;;;1
Hotel-Restaurant Zalkerbroek B.V.;;;1;;;;;;1
House of Lords B.V.;;;2;;;;;;2
HR Top Management B.V.;;;;;1;;;;1
HRD Support;;;;;2;;;;2
HRD-group;;;;;5;;;;5
'HSE Faktor';;;;;1;;;;1
HSK Interventie B.V.;;1;;;3;;;;3
HSN. B.V.;;;;;1;;;;1
Hub van Laar trumpets & flugelhorns;;;;;;1;;;1
Hudson Bar & Kitchen;;;1;;;;;;1
Hudson Danzig B.V.;;;1;;;;;;1
Huize Bergen B.V.;;;;;;;;1;1
Humphrey's Arnhem BV;;;1;;;;;;1
Humphrey's Restaurant;;;1;;;;;;1
Humphrey's Rotterdam B.V.;;;1;;;;;;1
Humphrey's Zwolle B.V.;;;1;;;;;;1
Huub Horeca 3 B.V.;;;1;;;;;;1
HUYNEN H.J.M.;1;;;;;;;;1
HVG Law LLP;;;;;1;;;;1
Hypnova;;;;;1;;;;1
Hypo BV;;;1;;;;;;1
I’M Baz bv;;;1;;;;;;1
i3 groep;;;;;2;;;;2
IaM Careers;;;;;1;;;;1
iapp;;;;;1;;;;1
IBM DEUTSCHLAND GMBH;;;;;2;;;;2
IBM Italia;;;;;1;;;;1
IBM Nederland B.V.;;;;;1;;;;1
ICARA B.V.;;1;;;;;;;1
ICM Administratie B.V.;;;;;2;;;;2
ICM Opleidingen & Trainingen B.V.;;;;;1;;;;1
Igo-Post B.V.;;;1;;;;;;1
IJkgebouw Alkmaar B.V.;;;1;;;;;;1
Il Bacaro Bar e Cucina;;;1;;;;;;1
Il Pozzo B.V.';;;1;;;;;;1
Il Trattamento Beek BV;;;1;;;;;;1
Imag;;;;;1;;;;1
IMK Intermediair B.V.;;;;;1;;;;1
Impulsus, Support & Facilities B.V.;;;;;1;;;;1
In de Driehoek, congres- en vergadercentrum;;;1;;;;;;1
In de Tenne Kan;;;1;;;;;;1
In den Vollen Pot B.V.;;;1;;;;;;1
In Pace B.V.;;;1;;;;;;1
In Touch Women Resource Management B.V.;;;;;1;;;;1
Incentivo B.V.;;1;;;;;;;1
Ind spec. Restaurant BATAVIA;;;1;;;;;;1
India Palace Restaurant B.V.;;;1;;;;;;1
Indonesia Foodgroup BV;;;1;;;;;;1
Indonesisch Restaurant 'Djakarta';;;1;;;;;;1
Indonesisch Restaurant Poentjak;;;1;;;;;;1
Indonesisch Restaurant Selamat Makan Utrecht;;;1;;;;;;1
Indoor Funcentre Breda;;;1;;;;;;1
Indorso;;;;1;;;;;1
Inf.- & Comm.techn. Stud.ver. Inter-Actief;;;;;1;;;;1
Info Support B.V.;;;;;4;;;;4
Information Security Academy B.V.;;;;;1;;;;1
Informer;;;;;1;;;;1
ING Bank;;;1;;;1;1;1;1
Inge Lage Venterink;1;;;;;;;;1
Innersteps;;1;;;;;;;1
Innovex Fitness;;1;;;;;;;1
Inside Rotterdam;;;1;;;;;;1
InsightsWorld B.V.;;;;;1;;;;1
Inspiration Company Nederland B.V.;;;;;1;;;;1
Institute For Law and Finance;;;;;1;;;;1
Instituur voor Publiek Leiderschap;;;;;1;;;;1
Instituut van Internal Auditors Nederland;;;;;3;;3;1;4
Instituut voor Psychotrauma Nederland B.V.;;1;;;;;;;1
Int. Knowledge & Networking (IKN) B.V.;;;;;2;;;;2
International Academy;;;;;1;;;;1
Intersafe Groeneveld B.V.;;5;;;;;;;5
Into Rooms B.V.;;;1;;;;;;1
Intro Horeca B.V.;;;;;;;;1;1
Investment Academy B.V.;;;;;1;;;;1
Inzicht Bureau voor Coaching en Communicatie;;;;1;2;;;;2
Iolan B.V.;;1;;;;;;;1
IP Trainershouse B.V.;;;;;5;;;;5
IPMA - NL;;;;;1;;;;1
i-POS.nl B.V.;;;1;;;;;;1
IreneFreyja BV;;;;;1;;;;1
Iris Huys;;1;;;;;;;1
Iris Kleijnjan Patisserie;;;1;;;;;;1
Isaca;;;;;;;1;;1
ISBW;;;;;1;;;;1
Isotoon Trainingen & Therapie;;;;;1;;;;1
Israel Producten Centrum;;;1;;;;;;1
ISS Integrated Facility Services B.V.;;;1;;;;;;1
Istana Indonesisch Restaurant;;;1;;;;;;1
Istiseo SRL;;;;;1;;;;1
IT Arbeidsmarkt Leeuwarden Connect;;;;;1;;;;1
IT Value B.V.;;;;;1;;;;1
ITIP School voor Leven en Werk B.V.;;;;;2;;;;2
ITvitae HRplus B.V.;;2;;;;;;;2
IVR;;;;;1;;;;1
ixly B.V.;;;;;3;;;;3
J & H Professioneel Licht en Geluid;;;;;;1;;;1
J. & K. Catering;;;1;;;1;;;1
J. Duin B.V.;;;;;2;;;;2
J.C. Didderen;1;;;;;;;;1
J.E.A. de Jong / Proeflokaal Sijgje Voorburg;;;1;;;;;;1
J.J. Verheij;1;;;;;;;;1
J.K.DE GROOT EN ZN.B.V.;;;1;;;;;;1
J.R. Leuven;;;;;1;;;;1
J.S. Jonkers;;;;2;;;;;2
Jacobushoeve B.V.;;;1;;;;;;1
JAM Projects;1;;;;;;;;1
Ja-maarÃ‚Â® B.V.;;;;;1;;;;1
James Watt Leisure B.V.;;;1;;;;;;1
Jamie's Italian Den Haag;;;1;;;;;;1
Jan Steen Heino B.V.;;;1;;;;;;1
Jan Teussink Koken en Entertainment;;;1;;;;;;1
Jans BV;;;1;;;;;;1
Janskerkhof B.V.;;;2;;;;;;2
Japans Restaurant Natsumi Fusion B.V.;;;1;;;;;;1
Japans Restaurant Sushi Mall;;;1;;;;;;1
Japas CafÃ©;;;1;;;;;;1
Jasmine Palace;;;1;;;;;;1
Jati;;;1;;;;;;1
Jazz-cafÃ© Restaurant Desafinado;;;1;;;;;;1
Jeffrey van Rooijen / La Cubanita Apeldoorn;;;1;;;;;;1
Jell B.V.;;1;;;;;;;1
Jells Lunchcafe;;;1;;;;;;1
Jerre Maas;;;;;1;;;;1
JetBrains s.r.o.;;;;;6;;;;6
Jettiez Brasserie;;;1;;;;;;1
Jeu de Boules Bar;;;1;;;;;;1
Jill Murphy's;;;1;;;;;;1
Jin Lai B.V.;;;1;;;;;;1
Joans Vitality Solutions;;1;;;;;;;1
Joeri Kalkhoven Music;1;;;;;;;;1
Joeri Zwart;;1;;;;;;;1
Joki Toedeledoki;1;;;;;;;;1
Jong Doen Interculturele Trainingen;;;;;1;;;;1
Jongens van de Photobooth;;;1;;;;;;1
Jongerius Bakker;;;1;;;;;;1
Jongsma Impresariaat;;;;;;1;;;1
Jopen Horeca Exploitatie B.V.;;;1;;;;;;1
Jos Paauw Training en Theaterimprovisatie;;;;;1;;;;1
JR’s Cuisine;;;1;;;;;;1
JS Consultancy B.V.;;;;2;;;;;2
Jules Verne B.V.;;;1;;;;;;1
Jumbo Termeulen;;;1;;;;;;1
Jumpverhuur;;;1;;;;;;1
JUPITER;;;1;;;;;;1
JURG & WEKKING;;;;;1;;;;1
Juridische Faculteitsvereniging Rotterdam;;;;;1;;;;1
JuRo Horeca;;;1;;;;;;1
Kaap Doorn Facilitair Management B.V.;;;;;1;;;;1
Kade60;;;1;;;;;;1
Kamelenmelkerij Smits;;;1;;;;;;1
Kampei B.V.;;;1;;;;;;1
Kanaalzicht;;;1;;;;;;1
Kantharos;;;;;1;;;;1
Kantine Exploitatie H.S.V.-V.U.C.;;;1;;;;;;1
Kapitein Anna exploitatie BV;;;1;;;;;;1
Kappertje Delicatessen 't;;;1;;;;;;1
KARDING EVENTS;1;;;;;;;;1
Karel de Grote Horeca B.V.;;;1;;;;;;1
Karsten Music;1;;;;;;;;1
Kartoffel B.V.;;;;;;1;;;1
Kasteel de Wittenburg B.V.;;;;;1;;;1;1
KASTEEL HEESWIJK;;;1;;;;;;1
Kasteel Woerden B.V.;;;1;;;;;;1
Kasteelpark Born;;;1;;;;;;1
Kasteelpoort;;;1;;;;;;1
Katholieke Voetbalvereniging 'Losser';;;1;;;;;;1
KB Food & Drinks;;;1;;;;;;1
KCR;;1;;;;;;;1
Keizer Culinair B.V.;;;1;;;1;;;1
Kenniscentrum AD(H)D en ASS B.V.;;1;;;;;;;1
Kenniscentrum Projectadvisering/Educatie B.V.;;;;;3;;;;3
Kerkvoorde Dienstverlening;;;1;;;;;;1
Kessels & Smit Leertrajecten B.V.;;;;;2;;;;2
Kessels & Smit Something B.V.;;;;;2;;;;2
Keuken met Karakter;;1;;;;;;;1
Keuken van Leer;;;1;;;;;;1
Keukencafe TOTT;;;1;;;;;;1
Keukenvuur;;;1;;;;;;1
Kidsproof;;;1;;;;;;1
Kiem Foei;;;1;;;;;;1
Kijk op Mensen;;;;;1;;;;1
Kinepolis UBOS B.V.;;;1;;;;;;1
King Arthur B.V.;;;1;;;;;;1
Kiosk Hoornseplas;;;1;;;;;;1
KIWORKX;;;;;1;;;;1
Klaas Brant Consulting & Education B.V.;;;;;2;;;;2
Klein Oever;;;1;;;;;;1
Klein-Kelly Beheer B.V.;;;1;;;;;;1
Kleur in Apeldoorn;;;1;;;;;;1
Kluizenaar Restaurant;;;1;;;;;;1
Klusbedrijf Krikken;;;;;;;1;;1
Knocom B.V.;;;;;1;;;;1
Koetshuis de Burcht;;;;;;;;1;1
Koffie en Eethuis de Gelderse Poort;;;1;;;;;;1
Koffie- en Eetsalon 't Achterommetje;;;1;;;;;;1
Kohinoor van India;;;1;;;;;;1
Koken-op-maat;;;1;;;;;;1
Koninklijk Instituut van Ingenieurs;;;1;;1;;;1;1
Koninklijke Burgers' Zoo;;;1;;;;;;1
Kookmeesters B.V.;;;1;;;;;;1
Kookstudio Annabel;;;1;;;;;;1
Kop & Nuijten Horeca Exploitatie B.V.;;;1;;;;;;1
Kopi Kopi;;;1;;;;;;1
Korte Poten 1-3 B.V.;;;1;;;;;;1
KPMG N.V.;;;;;1;;;;1
Kr. van Havengebied van Rotterdam en Omgeving;;;;;1;;;;1
Kreeft Opleidingen;;;1;;1;;;;1
KRETA GRIEKS RESTAURANT;;;1;;;;;;1
Kreta Restaurant B.V.;;;1;;;;;;1
Kritische Actuarissen en Econometristen;;;;;1;;;;1
KSG B.V.;;;;;4;;;;4
KSG Trainers & Consultants;;;;;2;;;;2
KTV Kennisnet voor Taal en Vakopleidingen;;;;;1;;;;1
Kwibus Funbus B.V.;;;;;;1;;;1
La Cantina di David B.V.;;;1;;;;;;1
La Casserole;;;1;;;;;;1
La Cubanita;;;1;;;;;;1
La Fontana;;;1;;;;;;1
LA LIGURIA / RISTORANTE;;;1;;;;;;1
La Meridiana;;;1;;;;;;1
LA NICHE;;;1;;;;;;1
La Señorita;;;1;;;;;;1
La Tasca;;;1;;;;;;1
Laarhoven Design B.V.;;;1;;;;;;1
Laarhoven Design Rijssen;;;2;;;;;;2
Lab QC;;;;;1;;;;1
Lachyoga Nederland;;1;;;;;;;1
Lai Wing B.V.;;;1;;;;;;1
Laila;;;1;;;;;;1
Land van Kokanje B.V.;;;1;;;;;;1
Landal Nooitgedacht B.V.;;;1;;;;;;1
Landgoed Kaamps;;;1;;;;;;1
Landhuis in de stad;;;1;;;;;;1
Langendijk Training & Consult;;1;;;;;;;1
Lanzfeld B.V.;;;1;;;;;;1
Latin American Grill Rodeo Rotterdm;;;1;;;;;;1
Lawn Tennis Club 'De Manege';;;1;;;;;;1
Le Baffon;;;1;;;;;;1
Le Bistroquet B.V.;;;1;;;;;;1
Le Blanc Academy;;;;;1;;;;1
Le Connaisseur West B.V.;;;1;;;;;;1
Le Grand Cafe;;;1;;;;;;1
Le Strasbourg;;;1;;;1;;;2
Lead4Real;;1;;;;;;;1
Leading Transformations;;;;;1;;;;1
Lean Consultancy Group B.V.;;;;;1;;;;1
Learn it B.V.;;;;;1;;;;1
Leeuwendaal Advies B.V.;;;;1;;;;;1
Leeuwerik Onder de Linde;;;;;1;;;;1
Left Field University;;;;;1;;;;1
Leidse Onderwijsinstellingen B.V.;;;;;1;;;;1
Leienplein 5-9 B.V.;;;2;;;;;;2
Lekker Zwols;;;1;;;;;;1
lekkerbootjevaren.nl;;;1;;;;;;1
Let's Escape Enschede;;;1;;;;;;1
Letterkriebels;;1;;;;;;;1
Level Psychologie&Trainingen;;1;;;;;;;1
Leyhoeve Horeca Groningen BV;;;1;;;;;;1
LHC EXPLOITATIE BV.;;;1;;;;;;1
L'Hirondelle Horeca B.V.;;;1;;;;;;1
LHM Schiphol II B.V.;;;1;;;;;;1
Libanees Restaurant B.V.;;;1;;;;;;1
Liefkenshoek;;;;;;;;1;1
Life & Wok B.V.;;;1;;;;;;1
Life Saving West-Friesland;;1;;;;;;;1
Liman Scheveningen;;;1;;;;;;1
Linthorst op locatie B.V.;;;1;;;;;;1
Little V Den Haag B.V.;;;1;;;;;;1
Little V Rotterdam BV;;;1;;;;;;1
Live Escape B.V.;;;;;;1;;;1
Livegigs Music and Events;;;1;;;;;;1
LiveWall;;;1;;;;;;1
Lloyd's Register EMEA;;;;;1;;;;1
Locatie Marketing en Management Company B.V.;;;;;;4;;;4
Lodewieck;;;1;;;;;;1
Loeper Advies;;;;;2;;;;2
Loetje aan 't IJ B.V.;;;1;;;;;;1
Loetje kop van zuid bv.;;;1;;;;;;1
Logan's Pub;;;1;;;;;;1
Logeion;;;;;1;;1;;1
Lokaal 58 B.V.;;;;;6;;;;6
Long Island B.V.;;;1;;;;;;1
LOOF;;;1;;;;;;1
Loof training en advies;;;;;2;;;;2
Looyint B.V.;;;;;1;;;;1
Loupe4You;;;1;;;;;;1
Lourens-van Vliet h.o.d.n. Bakkerij Bart;;;1;;;;;;1
Louter Promoveren;;;;;1;;;;1
Loyalis N.V.;7;;;;;;;;7
LR Gadgets;;;1;;;;;;1
LTP Advies B.V.;;;;1;;;;;1
LTP Holding B.V.;;;;;2;;;;2
Luden Utrecht;;;1;;;;;;1
Lumina Learning Nederland B.V.;;;;;2;;;;2
Lunchcafé Toren4;;;1;;;;;;1
LUSSO / TRAITEUR - CATERING;;;1;;;;;;1
M.F. Walraven h/o MEDS;;;1;;;;;;1
M.J. Bergboer;1;;;;;;;;1
Ma Guise Holding B.V.;;;1;;;;;;1
Maassen's Banketbakkerij B.V.;;;1;;;;;;1
Maastricht Mobility Services;;;;;;;;1;1
Madame Délicieux;;;1;;;;;;1
Madurodam B.V.;;;;;;3;;;3
MAES & LUNAU;;;;2;;;;;2
Maesstede Catering B.V.;;;2;;;;;;2
MÃƒÂ©Musica;;;;;;1;;;1
Magneet Poortugaal B.V.;;;1;;;;;;1
Magnet.me NL B.V.;;;;1;;;;;1
MAHARANI / INDIAN RESTAURANT;;;1;;;;;;1
Mail Company B.V.;;;1;;;;;;1
Mainpress B.V.;;;;;1;;;;1
Maison Blanche Dael;;;1;;;;;;1
MaJe 2015 B.V.;;;2;;;;;;2
Make-Up Meisjes;;1;;;;;;;1
Malchat;;;1;;;;;;1
Maliebaan45 B.V.;;;;;1;;;;1
Malkenschoten B.V.;;;1;;;;;;1
MaMa Kelly B.V.;;;1;;;;;;1
Management Drives Europe B.V.;;;;;1;;;;1
MantelzorgNL;;1;;;;;;;1
Manutan B.V.;;1;;;;;;;1
Many Faces;;;;;1;;;;1
Marcel Bakker Emmen B.V.;;;1;;;;;;1
Marcus Evans (Holland) Limited;;;;;1;;;;1
Margolin B.V.;;1;;;;;;;1
Maria Wijnmaalen Avatar trainingen;;;1;;;;;;1
Mariapaviljoen;;;1;;;;;;1
Marieke van Laar Training;;;;;1;;;;1
Marije Clemens;1;;;;;;;;1
MARKHOEK DE CAFE;;;1;;;;;;1
Marko Kassenaar;;;;;;1;;;1
Markthal CafÃ© B.V.;;;1;;;;;;1
MarktOnderzoekAssociatie.nl;;;;;1;;1;;1
Marosel B.V.;;;;;7;;;;7
Marrich Noordmans;1;;;;;;;;1
Martijn de Kleuver Wijnen;;;1;;;;;;1
Martiniplaza;;;1;;;;;;1
Martins Brasserie;;;1;;;;;;1
Marvinmusic.nl;1;;;;;;;;1
Masal restaurant;;;1;;;;;;1
Masami;;;1;;;;;;1
Masterkey-Plus B.V.;;;;;1;;;;1
Matteo Costanzi;1;;;;;;;;1
Maurice Kikken Catering B.V.;;;1;;;;;;1
Mavim B.V.;;;;;1;;;;1
MAX TACK TRAININGEN;;;;;1;;;;1
Maximes Denneweg 10B B.V.;;;1;;;;;;1
Mayke Smit - Training, coaching & advies;;;;;1;;;;1
Mazairac Psychologie;;;;1;1;;;;1
Mazzeltoff;;;1;;;;;;1
MB Safety B.V.;;1;;;;;;;1
MCI on behalf of IFA UK Congress Trust;;;;;1;;;;1
Meal est.2012;;;1;;;;;;1
ME-Artiestenverloning;;;1;;;;;;1
Meatpoint Voorburg B.V.;;;1;;;;;;1
MECC Maastricht B.V.;;;;;1;;;;1
Mediatorsfederatie Nederland;;;;;1;;;;1
Mediavrouw;;;;;1;;;;1
MedicalCheck;;6;;;;;;;6
Medisch Expertise en Advies Centrum B.V.;;1;;;;;;;1
Mediterraan Restaurant Celik;;;1;;;;;;1
Mediterraneo Pino en Angelika resta;;;1;;;;;;1
meereffect;;;;;1;;;;1
Meetingselect B.V.;;;;;1;4;;4;5
MEGAGADGETS.NL;;;1;;;;;;1
Megalo Elst B.V.;;;1;;;;;;1
Meinders Catering;;;1;;;;;;1
Melkbeernke;;;1;;;;;;1
MENNEGA CATERINGSERVICE;;;1;;;;;;1
Mens in bedrijf;;1;;;;;;;1
Mensely B.V.;;2;;;;;;;2
Merktuig B.V.;;;;;;1;;;1
Merlijn Body & Mind Center BV;;1;;;;;;;1
MET GGZ;;1;;;;;;;1
Metris Roovers;;;;;4;;;;4
Meurs HRM;;;;4;;;;;4
MEZZO Land. Ver. v. Mantelzorg. & Vrijw.zorg;;;;;1;;;;1
Middin;;;;;1;;;;1
Mient 1480 BV;;;1;;;;;;1
MIER;;;;;1;;;;1
Millers;;;2;;;;;1;2
Millie's Indische Keuken;;;1;;;;;;1
Minato Sushi en Grill;;;1;;;;;;1
MindAffairs B.V.;;2;;;;;;;2
Mindcampus B.V.;;;;;2;;;;2
Mindfit;;1;;;;;;;1
Mindfulrun;;;1;;;;;;1
Mindstep Psychologie;;1;;;;;;;1
Miyagi and Jones Arnhem;;;1;;;;;;1
MKPC B.V.;;;;;1;;;;1
MMPH services BV;;;1;;;;;;1
Mobiliteitscentrum Regio West-Braba;;;;;1;;;;1
Modelspoorland B.V.;;;1;;;;;;1
Moeke Enschede;;;1;;;;;;1
Mok Uitvaartverzorging;1;;;;;;;;1
Mokum Events B.V.;;;1;;;;;;1
Molenaar Edition BV;1;;;;;;;;1
Molijn Training;;;;;1;;;;1
Molly Malone Pub & Hospitality B.V.;;;1;;;;;;1
Momento;;;1;;;;;;1
Monsterevents;;;;;;1;;;1
Mood B.V.;;;1;;;;;;1
Moodfactory B.V.;;;;;;1;;;1
Moon Horeca Exploitatie B.V.;;;1;;;;;;1
Mos Events B.V.;;;;;1;;;;1
Motion Training;;;;;4;;;;4
Mountain Network Amsterdam;;;1;;;;;;1
Mountain Network B.V.;;;1;;;;;;1
Move a Mountain Bewustzijnstrainingen B.V.;;;;;2;;;;2
MPS B.V.;;;1;;;;;;1
Mr. Green;;;1;;;;;;1
MTC Huizen;;1;;;;;;;1
Multifunctioneel Centrum De Dreef;;;1;;;;;;1
Multigift Relatiegeschenken B.V.;;;1;;;;;;1
MUNCKHOF REIZEN;;;;;;;;3;3
Munckhof Reizen B.V.;;;1;;;1;;1;2
Munckhof Taxi B.V.;;;;;;;;4;4
Museum Catharijneconvent;;;;;;1;;;1
Museum Hilversum;;;1;;;;;;1
Museum Sjoel Elburg;;;1;;;;;;1
MUSIVERSUM;1;;;;;;;;1
Muziek en Eetcafe 't Oude Pothuys;;;1;;;;;;1
Muziekvereniging Harlingen;1;;;;;;;;1
My HBM Support B.V.;;;;1;1;;;;1
My Productions B.V.;;;;;;1;;;1
Mycelium Studiever. Comm.wetensch. Nijmegen;;;;;1;;;;1
Mystery House Valkenburg;;;1;;;;;;1
Mystiek;;;1;;;;;;1
N.B.C. Exploitatie B.V.;;;1;;;;;;1
N.V. Nederlandse Spoorwegen;;;;;;;;7;7
NARIS Risk Academy B.V.;;;;;1;;;;1
Nationaal Bomenmuseum Gimborn;;;1;;;;;;1
natureXP;;;;;;1;;;1
NCC Italy Societa Cooperativa;;;;;;;;1;1
Ncoi Nederlands Commerc. Opleidings Instituut;;;;;2;;;;2
Ned. Trainingsinst. v Neurolinguist. Progr.;;;;;1;;;;1
Ned. Ver. van Bedr.telecomm. Grootgebruikers;;;;;1;;;;1
Ned. Ver. van HRD-Prof. in Ontw. en Opleiden;;;;;1;;;;1
Ned. Verenig. voor Intern. Belastingr.;;;;;;;1;;1
NED.SCHOOL V. OPENBAAR BESTUUR;;;;;2;;;;2
Nederl. Ver. van Houtsoortenverzamelaars;;;;;1;;;;1
Nederlands Architectuur Forum;;;;;1;;1;;1
Nederlands Debat Instituut Holding B.V.;;;;;2;;;;2
Nederlandse Associatie Van Duikondernemingen;;;;;1;;;;1
Nederlandse Mediatorsvereniging;;;;;1;;;;1
Nederlandse Orde van Register EDP-Auditors;;;;;2;;2;;3
Nederlandse School voor Openbaar Bestuur B.V.;;;;;1;;;;1
Nederlandse Vereniging Bedrijfshulpverlening;;;;;;;1;;1
Nederlandse Vereniging van Arbeidsdeskundigen;;;;;1;;;;1
Nederlandse Vereniging voor Stralingshygiene;;;;;1;;;;1
Nederlandstalige Moodle Vereniging;;;;;1;;;;1
NEDFAC B.V.;;;;;2;;;;2
NES CAFÉ AMELAND;;;1;;;;;;1
NEVI-Purspective B.V.;;;;;2;;;;2
New Kampong Kita;;;1;;;;;;1
NewTeam B.V.;;;;;1;;;;1
Next Level Escaperoom Eindhoven;;;1;;;;;;1
Nextgen Drive-In Shows;1;;;;;;;;1
NGI B.V.;;;;;1;;;;1
Ni Hao Groningen B.V.;;;1;;;;;;1
NIBE-SVV Opleidingen B.V.;;;;;1;;;;1
NIBHV B.V.;;1;;;;;;;1
Nicole Dolmans Arbeidsdeskundig & Verzuimadv.;;1;;;;;;;1
Nielsen Norman Group;;;;;1;;;;1
Nielz CafÃƒÂ© B.V.;;;1;;;;;;1
Nieuw Atlantis B.V.;;;1;;;;;;1
Nieuwe Nobelaer B.V.;;;1;;;;;;1
Nieuwenhuis Beeld en Geluid B.V.;;;1;;;;;;1
NIHO B.V.;;;1;;;;;;1
Nikki's Horeca B.V.;;;1;;;;;;1
Nils van Haften;1;;;;;;;;1
NIMO Academy B.V.;;;;;3;;;;3
NINKI B.V. SUMO Sushi & Grill;;;1;;;;;;1
Nino Pattikawa;1;;;;;;;;1
Ninouk Body&Mind;;;;;1;;;;1
Niow;;;;;2;;;;2
Nisroc Loopbaanbegeleiding;;;;;1;;;;1
Nivab B.V.;;;;;1;;;;1
NIVE Opleidingen B.V.;;;;;1;;;;1
NL Oracle User Group;;;;;1;;;;1
No Labels Inc.;;;;;2;;;;2
Nobbe Mieras;;;;;1;;;;1
Nolot;;;;;1;;;;1
Noorderdierenpark;;;1;;;;;;1
Norbert Kögging;1;;;;;;;;1
Noscere;;;;;1;;;;1
Notarishoes restaurant B & B Vermeu;;;1;;;;;;1
novadic-kentron;;1;;;;;;;1
NRC (Nieuw Rotterdams Café B.V.;;;1;;;;;;1
NS Reizigers B.V.;;;;;;;;5;5
NT Publishers B.V.;;;;;1;;;;1
NTI B.V.;;;;;1;;;;1
NVB Verenig. voor Ontwikkel. & Bouwondern.;;;;;;;1;;1
NWC Events B.V.;;;;;1;;;1;1
Nwe Yume, sushi & Chin. Special.restaur. B.V.;;;1;;;;;;1
O2 Goods;;;;;;1;;;1
OCA Operations B.V.;;2;;;;;;;2
OCLC B.V.;;;;;;;1;;1
Odyssee B.V.;;;;;6;;;;6
Oers Gezellig cafe lunch diner;;;1;;;;;;1
Oker B.V.;;;1;;;;;;1
Olijfje;;;1;;;;;;1
Olmenhorst Fruit B.V.;;;;;;;;1;1
Ome Aad's Borrelboot;;;1;;;;;;1
Omni Ver. Scheidsr. Verenig. Distr. Utrecht;;;;;1;;;;1
Ond.ver. Reg. A'dam, Ver. scheepv., ih/z d.v.;;;;;;;1;;1
One Events;;;1;;;;;;1
Online Seminar B.V.;;;;;1;;;;1
Onsz Restaurant;;;1;;;;;;1
Ontbijtservice B.V.;;;1;;;;;;1
Oos cafe;;;1;;;;;;1
Oost B.V.;;;1;;;;;;1
Op de Weis;;;1;;;;;;1
Op Roose;;;1;;;;;;1
Op Zuid;;;1;;;;;;1
Open Ateliers B.V.;;;;;1;;;;1
Opleidingscentrum Permanente Educatie (OCPE);;;;;1;;;;1
Optisport Schiedam;;;1;;;;;;1
OrangeSmile;;1;;;;;;;1
Orde van Advo. in het Arrondiss. Rotterdam;;;;;1;;;;1
Orde van organisatiekundigen en -adviseurs;;;;;1;;;;1
Organizing Works;;;;;1;;;;1
Oriëntal Delight;;;1;;;;;;1
Oriental Testiest;;;1;;;;;;1
Original Tours & Activities Nederland B.V.;;;1;;;;;;1
Orloff aan de kade;;;1;;;;;;1
Oscar's Catering;;;1;;;;;;1
OSP B.V.;;;1;;;;;;1
Oud & Nieuw;;;1;;;;;;1
Oudaen B.V.;;;;;;1;;;1
