Leveranciersnaam;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
Ernst Sillem Hoeve B.V.;;;;;;;;1;1
ESCAL INSTITUTE OF ADVANCED TECHNOL;;;;;2;;;;2
Escape Challenge B.V.;;;1;;;;;;1
Escape Challenge Zoetermeer B.V.;;;1;;;;;;1
Escape Room Rijswijk;1;;;;;;;;1
Escaping NL B.V.;1;;1;1;;;;;1
Escher Water Projects;;;;;1;;;;1
Esri Nederland;;;;;2;;;;2
ESSL;;;;;1;;;;1
ESSL - European Severe Storms Labor;;;;;1;;;;1
Eten & Zo Zoetermeer B.V.;;;1;;;;;;1
Eten bij Werelds;;;1;;;;;;1
Eur. Instit. voor Certified Public Controll.;;;;;1;;;;1
EURIB/Europ. Instit. for Brand Managem. B.V.;;;;;1;;;;1
Euro Events B.V.;;;;;1;;;;1
Eurocontrol B.V.;;;;;;;;2;2
Eurofins Food Testing Rotterdam B.V.;;;;;1;;;;1
Euroforum;1;;;;3;;;;3
Eurolinguist Nederland;;;;;1;;;;1
Europcar Autoverhuur Zeist;;;;;;;;1;1
EUROPEAN CIVIL AVIATION CONFERENCE;;;;;1;;;;1
European Language Centre B.V.;;;;;1;;;;1
EUROPEAN REGIONAL SCIENCE ASSOCIATI;;;;;1;;;;1
Evalua Nederland B.V.;2;;;;;;;;2
EVC Centrum Nederland B.V.;;;;;1;;;;1
evenementen organisatie de waterkoets;;;1;;;;;;1
EventBoXX;;;;;1;;;;1
Eventmate;;;1;;;;;;1
EVO Fenedex;1;;;;1;;;;1
EVO Fenedex B.V.;;;;;1;;;;1
Exellior B.V.;;;;;2;;;;2
ExitGame;;;1;;;;;;1
EXKI SA;;;1;;;;;;1
Expertise en Kwaliteitsadvies Nederland B.V.;;;1;;;;;;1
Explainit Company;;;;;1;;;;1
Exploitatie Maatschappij Delta Hotel B.V.;;;1;;;;;1;1
Exploitatiemaatsch. Golfbaan Kromme Rijn B.V.;1;;;;;;;;1
Exploitatiemaatschappij City Hotel Woerden;;;;;;;;1;1
Exploitatiemaatschappij Hoeve De Aar B.V.;;;1;;;;;;1
Exploitatiemaatschappij Hotel Best B.V.;1;;2;;;;;4;4
Exploitatiemij. Grand Hotel Karel V B.V.;;;2;;;;;;2
Exploitatiemij. Havencompl. Lauwersoog B.V.;;;;;;;;1;1
Exploitatiemij. Hot. Chateau St. Gerlach B.V.;;;2;;;;;;2
Extra Trainers B.V.;;;;;1;;;;1
Factor Vijf;;;;;2;;;;2
Falck B.V.;;;;;1;;;;1
Falck Nutec B.V.;;;;;1;;;;1
Falck Prevention B.V.;;;;;1;;;;1
Far East Culinair City;;;1;;;;;;1
Fay's Foodies;1;;;;;;;;1
Federatie van energie consultants (Fedec);;;;;1;;;;1
Feelgood2GO B.V.;;;1;;;;;;1
FEHRL;;;;;1;;;;1
Fellini city lounge;;;1;;;;;;1
Fellini Rotterdam Exploitatie B.V.;;;1;;;;;;1
FEMZ;;;1;;;;;;1
Fepa Horeca B.V.;;;1;;;;;;1
Ferry-G Music;;;1;;;;;;1
FieldWorx B.V.;;;;;1;;;;1
FIETSWEB.NL;1;;;;;;;;1
Finance4Care B.V.;;;;1;;;;;1
Fine Food Catering Eduard Folie;;;;;1;;;;1
FINNISH TRANSPORT SAFETY AGENCY;;;;;1;;;;1
Finn's;;;1;;;;;;1
Fire and Medical Training Centre B.V.;;;;;1;;;;1
Firebrand Training BeNeLux B.V.;;;;;1;;;;1
Firma Hof der Muzen;;;2;;;;;;2
Firma Huver;;;;;1;;;;1
Firma Machielse Keurslager;;;1;;;;;;1
Firmament B.V.;;;;;1;;;;1
First Choice Events;;;;;1;;;;1
Fish & Meat B.V.;;;1;;;;;;1
Fitch;;;;1;;;;;1
Fitter Nederland B.V.;;;1;;;;;;1
Flanderijn & Bouwman Gerechtsdeurwaard. B.V.;1;;;;;;;;1
Flanderijn Trainingen B.V.;;;;;1;;;;1
Fletcher Duinhotel Burgh Haamstede;;;;;;;;1;1
Fletcher Hotel Paleis Het Stadhouderlijk Hof;;;;;;;;1;1
Fletcher Hotel Restaur. De Wageningsche Berg;;;;;;;;1;1
Fletcher Hotel Restaur. Loosdrecht-Amsterdam;1;;;;;;;1;1
Fletcher Hotel Restaurant Middelburg;;;;;;;;1;1
Fletcher Hotel-Restaurant Heiloo;;;;;;;;1;1
Fletcher Parkhotel Val Monte;;;;;;;;1;1
Fletcher Resort Spaarnwoude;;;;;;;;1;1
Fleuriebelli;;;1;;;;;;1
Flevo Marina B.V.;1;;;;;;;;1
Flevum-Loenermark B.V.;;;;;1;;;;1
Flora Party & Event B.V.;;;1;;;;;;1
Floradore B.V.;;;;;1;;;;1
Florent;;;1;;;;;;1
Flow d'Azur Management & Coaching B.V.;;;;1;1;;;;1
Fluisterboot Vissershang;;;1;;;;;;1
Focus Conferences B.V.;;;;;2;;;;2
Fonk Beach B.V.;;;1;;;;;;1
Foodstep B.V.;;;;;1;;;;1
Foodzie;;;1;;;;;;1
For Conference B.V.;;;;;1;;;;1
Forest Hotel;;;;;;;;1;1
Fornari;;;;;1;;;;1
Fort Wierickerschans B.V.;;;;;;;;1;1
Fortuyn Horeca B.V.;;;1;;;;;;1
Fox-IT;;;;;2;;;;2
Frank van Ormondt Services B.V.;;;;;1;;;;1
Frans Hals Museum;;;1;;;;;;1
Franz Aircraft Engines Vertrieb Gmb;;;;;1;;;;1
Frijters Mind Tuning B.V.;;;;;1;;;;1
Frisse Blikken ondernemen met talent B.V.;;;;3;;;;;3
Fruitful Office Benelux;;;1;;;;;;1
Fruitschaal.nu;;;1;;;;;;1
FSRM - SWISS FOUNDATION FOR RESEARC;;;;;1;;;;1
Functioneel-Beheerder.com B.V.;;;;;1;;;;1
Future Earth International;;;;;;;;1;1
Futureconsult Holding B.V.;;;;;1;;;;1
Fysergo B.V.;2;;;;1;;;;2
Fysioplein;1;;;;;;;;1
Fysiotherapie Haaften;1;;;;;;;;1
G.W.Th.M. Vreman B.V.;1;;;1;;;;;1
G4S Direct B.V.;;;;;1;;;;1
Gadjah Mas B.V.;1;;1;;;;;;1
Gajes in de Bajes;;;1;;;;;;1
Galerie Sanaa;;;1;;;;;;1
Gall & Gall Verbeek t.h.o.d.n. Gall & Gall;;;1;;;;;;1
Gall & Gall Vinck h.o.d.n. Gall & Gall;;;1;;;;;;1
Gallo B.V.;;;1;;;;;;1
Gans Coaching;;;;;1;;;;1
Ganzenmarkt 24-26 Horeca Exploitatie;;;1;;;;;;1
Garage Raat B.V.;;;1;;;;;;1
Gasterij de Dijkgraaf B.V.;;;1;;;;;;1
Gasterij De Kommensaal;;;1;;;;;;1
Gasterij Stadzigt;;;1;;;;;;1
Gasterij 't Karrewiel B.V.;;;1;;;;;;1
Gauchos aan de Maas Rotterdam;;;1;;;;;;1
Gauchos Franchise aan de Plas B.V.;;;1;;;;;;1
Gauchos Franchise Utrecht B.V.;1;;;;;;;;1
GCM B.V.;;;1;;;;;;1
Gebak van Smolders;;;1;;;;;;1
Gebr. Barendsen B.V.;;;2;;;;;;2
Geertje Ponsteen Uitvaartverzorging;;;1;;;;;;1
gefeliciTAART B.V.;1;;1;;;;;;1
GeoFort Exploitatie B.V.;;;1;;;;;;1
GeoICT Opleidingen B.V.;;;;;1;;;;1
Geo-Informatie Nederland;;;;;1;;;;1
Geo-Logica;;;;;1;;;;1
Geoplan Nederland B.V.;;;;;2;;;;2
Geschenkbezorgen.nl B.V.;;;1;;;;;;1
Get Events B.V.;;;1;;;;;;1
Getsmarter Online LTD;;;;;1;;;;1
Gewoon aan de slag;;;;;1;;;;1
Gids in Bedrijf;;;;;1;;;;1
GILDE STADSWANDELING ST;1;;;;;;;;1
GITP B.V.;1;;;1;1;;;;2
GITP Training & Opleiding B.V.;;;;1;2;;;;2
GJM Communicatie B.V.;;;;;1;;;;1
GLOBAL IMAGINATION;;;1;;;;;;1
Global Knowledge Network Netherlands B.V.;;;;;2;;;;2
Global Project Performance;;;;;2;;;;2
GLOMIDCO Managed Services B.V.;;;;;1;;;;1
Go B.V.;;;;;2;;;;2
Goedemorgen Ontbijtservice B.V.;;;1;;;;;;1
Goedewaagen Gouda B.V.;;;1;;;;;;1
Goedhart OrganisatieOntwikkeling B.V.;;;;;1;;;;1
GOETHE-INSTITUT E.V.;;;;;1;;;;1
Goevaers Consultancy B.V.;;;;;2;;;;2
Golden Tulip l'Escaut B.V.;;;;;;;;1;1
Golfbaan Het Rijk van Margraten B.V.;;;1;;;;;;1
GoodHabitz B.V.;;;;;3;;;;3
Gortcoaching.nl;;;;1;1;;;;1
Gossimijne Horeca B.V.;;;1;;;;;;1
Goudappel Coffeng B.V.;;;;;1;;;;1
Gouden Huis Lelystad B.V.;;;1;;;;;;1
Governance & Integrity Nederland B.V.;;;;;1;;;;1
GrachtenAtelier;1;;1;;1;;;;1
GradusGroep B.V.;;;;4;;;;;4
Gran Mercado B.V.;;;1;;;;;;1
Gran Sasso;;;1;;;;;;1
Grand Café De Bosbaan B.V.;;;1;;;;;;1
Grand Café de Pakschuit;;;1;;;;;;1
Grand Café Hermes B.V.;;;1;;;;;;1
Grand Café Xieje;;;1;;;;;;1
Grand CafÃ© Arnhems Meisje;1;;1;;;;;;1
Grand cafÃ© De Bastille;;;1;;;;;;1
Grand CafÃ© De Vijfsprong B.V.;;;1;;;;;;1
Grand CafÃ© De Werf;1;;;;;;;;1
grand cafÃ© Lebowski;;;1;;;;;;1
Grand CafÃ© Metropole;1;;1;;;;;;1
Grand CafÃ© Willaerts B.V.;;;1;;;;;;1
Grand CafÃ©/Restaurant Hertog Jan B.V.;;;1;;;;;;1
Grand Caf� Silva Ducis B.V.;;;1;;;;;;1
Grand Hôtel Amrâth Kurhaus B.V.;;;1;;;;;;1
Grand Hotel De l'Empereur;;;1;;;;;;1
Grand Hotel Excelsior Ltd.;;;;;;;;1;1
Grand Kasteel Woerden B.V.;;;1;;;;;;1
Grand OriÃ«ntal B.V.;;;1;;;;;;1
Grand-CafÃ© Boekmans B.V.;;;1;;;;;;1
GrandcafÃ© Restaurant Biblio B.V.;;;1;;;;;;1
Grandcafe Haagsche Bluf;;;1;;1;;;;1
Grandcaf� Restaurant Biblio B.V.;;;1;;;;;;1
Granny's Corner;;;1;;;;;1;1
Graphic Hunters;;;;;1;;;;1
Graphic Services Bossers;;;;;1;;;;1
Gravioli;1;;;;;;;;1
Grazie Grazie B.V.;;;1;;;;;;1
Great Communicators;;;;;1;;;;1
Greengiving B.V.;;;1;;;;;;1
Greetz B.V.;1;;;;;;;;1
GREG SHAPIRO;;;;;1;;;;1
Grim Vers Vlees Service V.O.F.;;;1;;;;;;1
Grizzly B.V.;;;1;;;;;;1
Grodal Expeditie B.V.;;;;;;;;1;1
Groeibalans Bedrijfsecologie B.V.;;;;;1;;;;1
Groenendijk Bedrijfskleding B.V.;6;;;;;;;;6
Groenten- en Fruithandel Hans van Zanten;;;1;;;;;;1
Groepsuitjes Eindhoven e.o.;;;1;;;;;;1
Groningen Airport Eelde N.V.;;;;;;;;1;1
Grubben Ontwikkeling en Communicatie;;;;1;2;;;;2
Grumpies;1;;;;;;;;1
GT-Advies;;;1;;;;;;1
Guided Tours;1;;1;;;;;;1
Gusto Rotterdam B.V.;;;1;;;;;;1
H&H Fitness;;;;;1;;;;1
H.B. Banket B.V.;1;;1;;1;;;;1
H.C.R. Lands End B.V.;;;;;;;;1;1
H2K Brandweeropleidingen B.V.;;;;;1;;;;1
Haags Historisch Museum;1;;;;;;;;1
Haagse Taxi Mobilofoon Centrale B.V.;;;;;;;;1;1
Haai B.V.;2;;;;2;;;;2
Habilis ACTO;1;;;;;;;;1
HÃ©ron Petit Restaurant;;;1;;;;;;1
HajÃ© Holding B.V.;;;1;;;;;;1
Hakuna Matata, Science & Media;;;;;1;;;;1
HALITO;;;1;;1;;;;1
Hallmark Cards Nederland;;;1;;;;;;1
Hampshire Exploitatie I B.V.;1;;;;;;;2;2
Hampshire Exploitatie II B.V.;;;;;;;;1;1
Handelsonderneming 'Spoca';;;;;;;1;;1
Hanting Cuisine B.V.;;;1;;;;;;1
Hape Aviation & Marine Service;1;;;;;;;;1
Hapjes Enzo;;;1;;;;;;1
Happen en Trappen B.V.;;;1;;;;;;1
Happy Meat B.V.;;;1;;;;;;1
Happy Sandwich;;;1;;;;;;1
Hart & Ziel Consult;1;;;1;1;;;;1
Hartha;;;;;1;;;;1
Harvard Kennedy School Executive Ed;;;;;1;;;;1
HaskoningDHV Nederland B.V.;;;1;;2;;;;2
HATHOR LE CAFE-REST;;;1;;;;;;1
Haus der Technik;;;;;1;;;;1
HAVANA DEN HAAG;;;1;;;;;;1
Havenbedrijf Rotterdam N.V.;1;;1;;;;;;1
Havinga River Dynamics;1;;;;;;;;1
Heartcore Presentations;;;1;;;;;;1
Heemskerk Bloemisten;1;;1;;;;;1;1
Heft Prakt. v. Coaching Supervisie en Advies;;;;;1;;;;1
Heijting en Weerts B.V.;1;;;1;;;;;1
Hekademos Stichting;;;;;1;;;;1
Helai B.V.;1;;;;;;;;1
Helgiene;;;1;;;;;;1
Heli Holland Air Service B.V.;1;;;;1;;;;1
Heliview Conferences en Training B.V.;;;;;1;;;;1
HEM Midden-Limburg;;;;;;;;1;1
HEMA Bakkerijen B.V.;;;1;;;;;;1
Hemelse Modder;;;;;1;;;;1
Herberg de Bonte Os;;;1;;;;;;1
Herberg 'In den Bockenreyder' B.V.;;;1;;;;;;1
Herberg Vlietzigt;;;1;;;;;;1
Hereitcomes B.V.;;;;;1;;;;1
Herinneringen op Linnen B.V.;;;1;;;;;;1
Herten en Wilde Zwijnen B.V.;;;1;;;;;;1
Hesbak 2 B.V.;;;1;;;;;;1
Het Brouwcafé Scheveningen-Haven;;;1;;;;;;1
Het Catharina Gasthuis;;;1;;;;;;1
Het Eerste Huis;;;;;2;;;;2
Het Effectieve Werken B.V.;;;;;1;;;;1
Het ezelhuis;;;1;;;;;;1
Het Heden;;;2;;;;;;2
Het Hooghe Water B.V.;;;1;;;;;;1
Het Keringhuis;;;1;;;;;;1
Het Ketelhuis Utrecht;;;1;;;;;;1
Het Kookplein;1;;1;;;;;;1
Het Nederlands Vestingmuseum;;;1;;;;;;1
het Ngi: voorh. Ned. Genootsch. Informatica;;;;;1;;;;1
Het NIC B.V.;;;;;1;;;;1
Het Pakhuis;1;;;;;;;;1
Het Panorama;1;;;;;;;;1
Het Pleidooi;;;1;;;;;;1
Het Postkantoor Delft;;;2;;;;;;2
Het Prentenkabinet;;;1;;;;;;1
Het Pretpaleis Funverhuur B.V.;;;1;;;;;;1
Het Stalplein B.V.;1;;;;;;;;1
Het Talenthuis;1;;;;;;;;1
Het Wapen van Leeuwarden B.V.;;;1;;;;;;1
Het Zuiden F.G.;;;1;;;;;;1
hetbiermoment.nl;;;1;;;;;;1
Heuvelman Sound & Vision B.V.;;;;;;1;;;1
HG Exploitatie B.V.;2;;;;;;;;2
Hiawatha Actief;;;;;;;1;;1
High Tech Surf;;;1;;;;;;1
Highmark Geldrop B.V.;;;;;;;;1;1
Hilhorst;;;;;1;;;;1
Himalayan Restaurant;;;1;;;;;;1
HiP Catering B.V.;1;;;;;;;;1
Hobrand B.V.;;1;;;;;;;1
HOC Opleiding & Training B.V.;;;;;1;;;;1
Hocarest B.V.;1;;;;;;;;1
Hodgkiss language & communication services;;;;;1;;;;1
Hoezo Proj.manag. & Congresorganisatie B.V.;;;;;1;;;;1
Hof van Bussloo B.V.;;;1;;;;;;1
Hofman Caf� B.V.;;;1;;;;;;1
Hofstad Events B.V.;;;1;;;;;;1
Hofstad Tours B.V.;;;;;;;;1;1
Hofvlietvilla B.V.;;;1;;;;;;1
Hogeschool Schoevers;;;;;2;;;;2
HolacracyOne, LLC;;;;;1;;;;1
Holding Beheermaatschappij Ropeni B.V.;;;3;;;;;1;3
Holding Leeloo B.V.;;;1;;;;;;1
Holland Evenementen Groep B.V.;;;1;;;;;;1
Holland Tour Guides;1;;1;;;;;;2
Holland Tour Guides B.V.;;;1;;;;;;1
Hoofdkantoor Haagse Wijk- en WoonZorg;;;1;;;;;;1
Hoogendijk Coaching en Opleiding;;;;1;;;;;1
Hoopstede Exploitatie B.V.;;;1;;;;;;1
Horeca Exploitatie Maatschappij Zalmhuis B.V.;;;1;;;;;;1
Horeca Exploitatie West-Ende B.V.;;;1;;;;;;1
Horecabedrijf De Witte Raaf B.V.;;;;;;;;1;1
Horecaexploitatie Moeke B.V.;;;1;;;;;;1
Horecaexploitatie Nobis Asten B.V.;;;1;;;;;;1
Horeca-Onderneming CafÃ© De Plak B.V.;;;1;;;;;;1
Horecapa B.V.;;;1;;;;;;1
Horecaservice Beesd B.V.;1;;1;;;;;;1
Horex Otter B.V.;;;1;;;;;;1
Horizon Trainingen B.V.;;;;;1;;;;1
Hortus;;;1;;;;;;1
Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;;;;;;;;1;1
Hotel & Tapperij De Poshoorn B.V.;;;1;;;;;1;1
Hotel Baars;;;1;;;;;1;1
Hotel Berlin;;;2;;;;;;2
Hotel Café Restaurant Centraal;;;1;;;;;;1
Hotel CafÃ© Restaurant Nap;;;;;;;;1;1
Hotel Contact B.V.;1;;4;;1;1;;7;7
Hotel De Koophandel B.V.;;;;;;;;1;1
Hotel De Naaldhof;;;;;;;;1;1
Hotel Delft;;;1;;;;;;1
Hotel Delft Centre;;;;;;;;1;1
Hotel Den Helder;;;;;1;;;;1
Hotel Des Indes B.V.;;;;;;;;1;1
Hotel Ekamper B.V.;;;;;;;;1;1
Hotel Exploit. Maatschappij Bluefinger B.V.;;;;;;;;1;1
Hotel Exploitatie Huisduinen B.V.;;;;;;;;1;1
Hotel Exploitatie Kerckebosch B.V.;;;;;;;;1;1
Hotel Goes;;;;;;;;1;1
Hotel Gorinchem B.V.;;;1;;;;;;1
Hotel Groningen-Hoogkerk B.V.;;;;;;;;1;1
Hotel Leeuwarden Centre B.V.;;;;;;;;1;1
Hotel Leeuwenbrug B.V.;;;;;;;;1;1
Hotel Maatschappij Schiphol B.V.;;;2;;;;;1;2
Hotel Medemblik;;;1;;;;;;1
Hotel Mercure Nijmegen Centre;;;;;;;;1;1
Hotel Mitland;1;;1;;;;;1;1
Hotel Modez B.V.;;;;;;;;1;1
Hotel New York B.V.;;;1;;;1;;1;1
Hotel Papendal;;;;;2;;;2;2
Hotel Post Plaza B.V.;;;;;;;;1;1
Hotel Restaurant Oostergoo;;;1;;;;;;1
Hotel Restaurant 's-Molenaarsbrug B.V.;;;1;;;;;;1
Hotel Restaurant 't Raedthuys Delft;;;1;;;;;;1
Hotel Ridderkerk B.V.;;;;;;;;1;1
Hotel Rotterdam-Blijdorp B.V.;;;;;;;;1;1
Hotel Stad en Land;;;;;;;;1;1
Hotel 't Hof van Gelre B.V.;;;;;1;;;;1
Hotel Tiel;;;;;3;;;;3
Hotel Van der Valk Groningen/Westerbroek;;;;;;;;1;1
Hotel Zeespiegel B.V.;;;;;;;;1;1
Hotel Zwartewater B.V.;;;;;;;;1;1
Hotel/Restaurant Anna Casparii;;;;;;;;1;1
Hotel-Café-Restaurant de Fortuna;;;1;;;;;;1
Hotel-CafÃ©-Restaurant 'W.E.E.V.A.';;;1;;;;;;1
Hotel-CafÃ©-Restaurant 'Zeezicht';;;1;;;;;1;1
Hotel-CafÃ©-Restaurant 'Zwolle' B.V.;;;;;;;;1;1
Hotel-Caf�-Restaurant De Biltsche Hoek;;;1;;1;;;1;1
Hotel-Caf�-Restaurant Solskin;;;1;;;;;;1
Hotelexpl.mij. Stationsstraat Amersfoort B.V.;;;;;;;;1;1
HotelRebel B.V.;;;;2;;;;;2
Hotel-Restaurante La Casa B.V.;;;1;;;;;;1
Houdstermaatschappij R.E. Bouwer B.V.;;;1;;;;;;1
HOW2SE B.V.;;;;;1;;;;1
HRD Support;;;;;1;;;;1
HSK Interventie B.V.;2;;;;1;;;;2
H-tax Landgraaf;;;1;;;;;;1
HTM Specials;1;;1;;;;;1;1
Hudson Cybertec B.V.;;;;;2;;;;2
Hugenholtz Ideevisualisatie & Illustraties;;;1;;;;;;1
Huis ter Geul;;;;;;;;1;1
Huize Molenaar B.V.;;;1;;;;;;1
Humphrey's Amersfoort B.V.;;;1;;;;;;1
Humphrey's Den Haag B.V.;;;1;;;;;;1
Humphrey's Utrecht B.V.;;;1;;;;;;1
Husz�r;;;1;;;;;;1
Huureeneend.nl;1;;1;;;;;;1
Hu-Weng Goodies B.V.;;;1;;;;;;1
Huxam B.V.;;;;;1;;;;1
Hvk horeca exploitatie B.V.;;;1;;;;;;1
I am Consultancy;1;;;;;;;;1
Ibis Den Haag City Centre;;;;;;;;1;1
IceBear Events B.V.;;;1;;;;;;1
Ici Paris XL Nederland;;;1;;;;;;1
ICM Administratie B.V.;;;;;2;;;;2
ICM Opleidingen & Trainingen B.V.;;;;;4;;;;4
ICQ Groep B.V.;;;;;3;;;;3
ID-DJ Entertainment Groep;1;;;;;;;;1
IDEE-Counseling, therapie & training;;;;;1;;;;1
IES Asset Management;;;;;3;;;;3
Ifoods;;;1;;;;;;1
IJmuidense Rondvaart Maatschappij B.V.;;;1;;;;;;1
IJsbreker Business Events;;;;;1;;;;1
IJskarretje.com;;;1;;;;;;1
IJsselconsult;;;;1;2;;;;2
IJsselpaviljoen Zutphen;;;1;;;;;;1
Il Senso Cimen;;;1;;;;;;1
ILOW INTEGRAAL LABORATORIUM OVERLEG;;;;;1;;;;1
Impact Company;;;;;2;;;;2
ImpactAbility;;;;;1;;;;1
IMPELL NETWORK;;;;;2;;;;2
Impero Romano Holding B.V.;;;1;;;;;;1
Improve Quality Services B.V.;;;;;1;;;;1
Impulsus Personal Quality & Results;;;;3;;;;;3
In de Verkleedkist;1;;;;;;;;1
In2Content B.V.;1;;;;;;;;1
In2Talent B.V.;;;;;2;;;;2
Inbo;1;;;;;;;;1
Indiaas Restaurant Maharaja;;;1;;;;;;1
Indiaas Restaurant Taj Mahal;;;1;;;;;;1
Indian Restaurant Maharani;;;1;;;;;;1
Indisch Restaurant Bandoeng;1;;;;;;;;1
Indisch Restaurant Garoeda;;;1;;;;;;1
Indonesisch Rest. 'Mooi Zeist';;;1;;;;;;1
Indonesisch Restaurant & Toko Redjeki;;;2;;;;;;2
Indonesisch Restaurant 'Djakarta';1;;;;;;;;1
Indonesisch Restaurant Flamboyant;1;;1;;;;;;1
Indonesisch Restaurant Poentjak;;;1;;;;;;1
Indonesisch Restaurant Soeboer;;;1;;;;;;1
Indonesisch Specialiteiten Rest. Batavia B.V.;;;1;;;;;;1
Information Security Academy B.V.;;;;;2;;;;2
Infram B.V.;1;;;;;;;;1
ING Bank N.V.;;;1;;;;;1;1
InkoopAcademie B.V.;;;;;2;;;;2
Inn Events Company B.V.;;;;;2;;;;2
InnerCare;;;;1;1;;;;1
InsideStory;;;;;1;;;;1
Inspiratie op Locatie B.V.;1;;;;;;;;1
INSPT;2;;;;;;;;2
INSTITUT F�R PHYSIK DER ATMOSPH�RE;;;;;;;;1;1
Instituut van Internal Auditors Nederland;;;;;1;;;;1
Instituut voor Faalkunde;;;;;1;;;;1
Instituut voor Juridische Opleidingen B.V.;;;;;1;;;;1
Instituut voor Psychotrauma Nederland B.V.;1;;;1;1;;;;2
Instituut voor Systemisch Werk (IVSW);;;;;1;;;;1
Instituut voor Wijsbegeerte B.V.;;;;;;;;1;1
Instock Amsterdam;;;1;;;;;;1
Int. Ass. for Organ. and Soc. Developm. B.V.;;;;;1;;;;1
Int. Knowledge & Networking (IKN) B.V.;;;;;1;;;;1
INTELLIGENT TRANSPORTATION SOCIETY;;;;;1;;;;1
Interactive Perception;;;;;1;;;;1
International Anti Crime Academy B.V.;;;;;1;;;;1
INTERNATIONAL TRAINING CENTRE OF IL;;;;;1;;;;1
Intersafe Groeneveld B.V.;2;6;;;;;;;6
Interscience B.V.;;;;;1;;;;1
Intressio B.V.;1;;1;;;;;;1
Intro Horeca B.V.;;;1;;;;;;1
Inzicht Bureau voor Coaching en Communicatie;;;;1;1;;;;1
IPMA Certificering B.V.;;;;;1;;;;1
Ipol B.V.;;;;;4;;;;4
Ipsos B.V.;;;;;2;;;;2
Isaca;;;;;1;;;;1
ISBW;;;;;2;;;;2
ISS Integrated Facility Services B.;;;1;;;;;;1
ISS Integrated Facility Services B.V.;;;2;;;;;;2
It Fryske Gea;;;1;;;;;;1
IT Management Group;;;;;1;;;;1
ITA COSUF;;;;;1;;;;1
ITIP School voor Leven en Werk B.V.;;;;;1;;;;1
it's pure lunch B.V.;1;;;;;;;;1
iVenture;;;;;;;1;;1
J. & K. Catering;;;1;;;;;;1
J. van Dun Holding B.V.;;;;;1;;;;1
J.D. TERPSTRA T.H.O.D.N. SPAR;;;1;;;;;;1
J.L. de Jong Touringcarbedrijf Rotterdam B.V.;;;1;;;;;;1
Jaarbeurs Catering Services B.V.;1;;1;;1;;;;1
Jacques HandelÃ© Antwoorden en Vragen;;;;;1;;;;1
JAM;;;;;1;;;;1
JAM visueel denken B.V.;;;;;1;;;;1
Ja-maar� B.V.;;;;;2;;;;2
Ja-maarÂ® B.V.;;;1;;1;;;;2
Jamie's Italian Den Haag;;;1;;;;;;1
Jamm Beach;;;1;;;;;;1
Jan van Agteren V.O.F.;;;1;;;;;;1
JanStevens coaching, training & interimmanag.;;;;;1;;;;1
Jaspers Catering Amsterdam B.V.;1;;;;;;;;1
Jati;1;;;;;;;;1
je leukste graffiti;;;;;1;;;;1
Jeffrey's Kantine;;;1;;;;;;1
Jelmer B.V.;2;;;;1;;;;2
JIM (Jong IenM);2;;;;;;;;2
Jin Lai B.V.;1;;;;;;;;1
Jinc.;;;;2;;;;;2
Jiu-Jiu B.V.;;;1;;;;;;1
Jobmassage B.V.;1;;1;;;;;;1
JobUp B.V.;;;;1;;;;;1
Jochumhof;;;1;;;;;;1
Joh. van Es Petit Restaurant en Partyservice;1;;;;;;;;1
Johan de Boer Bur. voor Commun. en Organis.;;;;;1;;;;1
Johannes Meinders B.V.;1;;;;;;;;1
John Wiley & Sons Ltd;;;;;;;;1;1
Jonge Wijze Vrouw;1;;;;1;;;;1
Jongsma Grime en Haarwerk;1;;;;;;;;1
Jopen Horeca Exploitatie B.V.;;;1;;1;;;;1
JR Horeca Company B.V.;;;1;;;;;;1
JS Consultancy;2;;;1;;;;;2
JULIANAS CAFE REST;;;1;;;;;;1
JuRo Horeca;;;1;;;;;;1
JVDT B.V.;;;1;;1;;;;1
JVP Catering;;;1;;;;;;1
K&M training-coaching;;;;1;1;;;;1
K.W.D. Sport B.V.;;;;1;;;;;1
Kaap Doorn B.V.;;;;;1;;;;1
Kaasspeciaalzaak 'De Pompernikkel';;;1;;;;;;1
Kabelbaan Valkenburg B.V.;;;1;;;;;;1
Kaboom Hotel B.V.;;;;;1;;;1;1
Kader Bureau voor Kwaliteitszorg B.V.;;;;;2;;;;2
Kaffee 't Hof;1;;;;;;;;1
KAIROS;;;;;1;;;;1
Kaliber Communicatieprojecten;;;1;;;;;;1
Kansocial;2;;;;;;;;2
Kantoorinrichting Oosterhout;1;;;;;;;;1
Kapellerput Conferentiecentrum;;;1;;;;;;1
Karakter.TV;1;;;;;;;;1
Karin Wikaart bedrijfspsycholoog;;;;;1;;;;1
Karting Zeeland B.V.;;;1;;;;;;1
Kasteel de Haar;1;;;;;;;;1
Kasteel Engelenburg B.V.;;;1;;;;;1;1
Kasteel Oud-Poelgeest B.V.;1;;;;;;;1;1
KASTEELFEESTEN NL;2;;;;2;;;;3
