Rijlabels;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Vereniging BVF Platform;;;;;1;;;1
Vereniging Goudse Gidsen Gilde;;;1;;;;;1
Vereniging LFB;;;;;1;;;1
Vereniging van Milieuprofessionals;;;;;1;;;1
Vereniging voor Bestuurskunde;;;;;1;;;1
Vereniging voor Familie- en Jeugdrecht;;;;;1;;;1
Vereniging voor Gezondheidsrecht;;;;;1;;;1
Vereniging voor Overheidsmanagement;;;;;1;;;1
Vermaat Leisure B.V.;;;1;;;1;;1
Verploegen & Vossenberg Training Coach. Int.;;;;;1;;;1
Very Italian Pizza B.V.;;;1;;;;;1
Vhic Faculty B.V.;;;;;1;;;1
viA BK;;;1;;;;;1
Vibspec;;;;;1;;;1
Vicrea Solutions B.V.;;1;;;;;;1
Vigor B.V.;;;;;1;;;1
VIJFadvies;;1;;;2;;;2
Vijverberg Juristen B.V.;;;;;1;;;1
Villa Jongerius;;;;;1;;;1
Vino Latino;1;;;;;;;1
VIRQAS B.V.;;1;;;;;;1
Vis en Meer B.V.;;;1;1;;;;1
Visiom B.V.;;;;;1;;;1
Visumdienst India;;;;;;;1;1
Vitamine en Zo;;;;;;2;;2
Vivium Zorggroep;;;;;;;1;1
V-Kam Education B.V.;;;;;1;;;1
Vocale Communicatie Training Elizabeth Ebbink;;;;;1;;;1
Voedingscentrum Nederland;;1;1;;;;;1
Voor Claar B.V.;;;1;;;;;1
Voorberg Bouwkunde B.V.;;2;;;;;;2
Voorzet Arbeid;1;;;;;;;1
Vossen Chocoladewerken;1;;;;;;;1
Voster Events B.V.;;;;;1;;;1
VostokMedia;;;;;1;;;1
Vredente Advies;;;;2;;;;2
Vroeg B.V.;;;1;;;;;1
VVE Achter Sint Pieter 4 te Utrecht;;;;;1;;;1
VVE Hamburgerstraat 23 en 23A;;;1;;;;;1
Wageningen Research Holding B.V.;;1;;;;;;1
WakaWaka B.V.;;;1;;;;;1
Wandel & Proef;;;1;;;;;1
Waterproef B.V.;;;;;;1;;1
Watersnijtechniek Rijssen;;;;1;;;;1
We Quit Mail;;;;;2;;;2
Webmanagement.nl;;;;;1;;;1
Webo Promotion B.V.;;;1;;;;;1
Webprint B.V.;;;1;;;;;1
Werkcontact B.V.;;;;;1;;;1
Werken aan leren;;;;;1;;;1
Werken aan Waarde;;;;;2;;;2
West English Communications B.V.;;;;;1;;;1
Westland United;;;1;;;;;1
Whisky- en Wijnhandel Verhaar;;;1;;;;;1
Whoosah;;;1;;;;;1
Wiesman Coaching;;;;;1;;;1
WijkConnect B.V.;;;;;1;;;1
Wijnkoperij Henri Bloem Arnhem;;;1;;;;;1
Winecode B.V.;;;1;;;;;1
Winterhuis B.V.;1;;;;;;;1
WishWish NL B.V.;;;1;;;;;1
Woudschoten Conferentiecentrum B.V.;;;;;1;;;1
Wouter Baars;;;;;1;;;1
XDialogue B.V.;;1;;;;;;1
Xerox (Nederland) B.V.;1;1;;;1;;;1
Yakimono Holding B.V.;;;1;;;;;1
Yaraay;;;;;1;;;1
YourSurprise.com;;;1;;;;;1
Zanskar Training & Consultancy;;1;;;;;;1
Zilverline B.V.;;;;;1;;;1
Zintuig B.V.;;;1;;;;;1
Zomers B.V.;;;1;;;;;1
Zorg & Werk;;;;;1;;;1
Zorgcampus Rotterdam B.V.;;;;;1;;;1
ZorgmarktAdvies;;;;;2;;;2
Zorgverzekeraars Nederland;2;;;;1;;;2
Zuid B.V.;;;1;;;;;1
Zwart Consultancy;;;;;1;;;1
Eindtotaal;5;7;7;6;7;4;7;9
