Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Galerie Jan d'Art V.O.F.;;;;1;;1;;;1
Galerie Sanaa;;;;;;;1;;1
Gall & Gall;;;;1;;;1;;1
Games Retail B.V.;;;;;;;1;;1
Garderense Berg B.V.;;;;1;;;;;1
Gardinen-Paradies;1;;;;;;;;1
Gare de l'Est B.V.;;;;;;;1;;1
Garrie van Pinxteren;;;;;;1;;;1
Gartner Nederland B.V.;;;;;;3;;;3
Garton Jones Real Estate;2;;;;;;;;2
Gasterij 't Karrewiel B.V.;;;;;;;1;;1
Gastrobar FLOOR;;;;;;;1;;1
GATO International B.V.;;;1;;;;1;;1
Gauchos;;;;1;;;;;1
Gauchos Franchise Breda B.V.;;;;;;1;1;;1
Gauchos Franchise Utrecht B.V.;;;;1;;;;;1
GE Aircraft Engines;;;;;;2;;;2
gefeliciTAART B.V.;;;;;;;1;;1
Gelderse Zweefvliegclub Terlet;;;1;;;;;;1
Gelissen Paardentransport B.V.;;;;;;;1;;1
Gemaco B.V.;1;;1;1;;;1;;1
Gemeente Enkhuizen;;;;;;1;;;1
Gemi Soest B.V.;;;;1;;;;;1
General Eisenhower Hotel;;;;1;;;;;1
Generaldirecktion Wasserstrassen und Schiffahrt;;;;;;1;;;1
Geneva Centre for the Democratic Control of Armed Forces (DCAF);;;;;;2;;;2
Genie Museum;;;;1;;;;;1
George In Dr Maur orthoped. Schoentechniek;1;;;;;;;;1
George J. Klijn;;;;1;;;;;1
Georgia Institute of Technology;;;;;;1;;;1
Gergotal B.V.;;;;;;;1;;1
Gerrie Reijersen van Buuren;;;;;;1;;;1
Gerritse IJzerwaren;;;1;;;;;;1
Gevaco B.V.;;;1;;;;;;1
GewoonDoen!;;;;;1;;;;1
Gezellig Bloemen & Lifestyle;;;;;;;1;;1
Gezelschap Leeghwater;;;;;1;;;;1
GGN van Mastrigt & Partners;1;;;;;;;;1
Giesen-Schuurmans, M.T.P.;1;;;;;;;;1
Gipon B.V.;;;;1;;;;;1
GITP B.V.;;;;;;2;;;2
GLAS HELDER NV;;;1;;;;;;1
Global Connection Expat Partner Support B.V.;;;;;;;3;;3
Global Knowledge;;;;;;3;;;3
Global Knowledge Network Netherlands B.V.;;;;;;5;;;5
Gloed Holding B.V.;;;;;;1;;;1
Glow Specialist;;;;1;;;1;;1
Go B.V.;;;;;;2;;;2
Goedhart Boeken;;;;1;;;;;1
Goevaers Consultancy B.V.;;;;;;1;;;1
Golazo Sports SX B.V.;;;1;;;;;;1
Goldsworthy, Stolk and Associates B.V.;;;;;;3;;;3
Golf en Country Club Edda Huzid B.V.;;;1;;;;;;1
Golfbaan Het Rijk van Nijmegen B.V.;;;1;;;;;;1
Golfbaan Welschap B.V.;;;1;;;;;;1
GolfCenter.nl;;;1;;;;;;1
Golfcentrum Dongen B.V.;;;1;;;;;;1
Golfcentrum Reymerswael B.V.;;;;;;;1;;1
Golfpark De Haenen B.V.;;;;;;;1;;1
Golfschool De Haenen;;;;;;;1;;1
Golfslag;;;;;;1;1;;1
Gom Schoonhouden;;;;;;;1;;1
Goochelaar Lodewijk de Widt;;;;1;;;;;1
Good Life International B.V.;;;1;;;;;;1
Gorkink Natuurlijk;;;;1;;;1;;1
Gõuboden-Kaserne;;;;;;;;1;1
GoudseKaasShop.NL - Kaashandel Peters V.O.F.;;;;;;;1;;1
Governance & Integrity B.V.;;;;;1;1;;;1
Governance & Integrity Nederland B.V.;;;;;1;3;;;3
Govers Houtbewerking B.V.;;;;;;;1;;1
GP Strategies Netherlands B.V.;;;;;;1;;;1
GrachtenAtelier;;;;;;;1;;1
Graduate School of Social Sciences;;;;;;1;;;1
Grand CafÃƒÂ©-Diner D'n Ingel;;;;;;;1;;1
Grand Cafe Brasserie Brocante;;;;;;;1;;1
Grand Café/Restaurant Hertog Jan B.V.;;;;;;;1;;1
Grand Hotel Beatrix;;;;1;;;;;1
Grand Hotel Post Plaza;;;;;;;;1;1
Grandcafe de Tijd;;;;;;;1;;1
Graveertechniek Nederland B.V.;;;;;;;1;;1
Gravure Den Helder;;;;1;;1;;;1
Greengiving B.V.;;;;1;;;;;1
Greenz B.V.;;;;1;;;;;1
Greetz B.V.;;;;1;;;;;1
Griekse Specialiteiten Restaurant R;;;;;;1;;;1
Groenbroek, J.;1;;;;;;;;1
Groepsaccommodatie Den Hop;;;;;;;1;;1
Groot, K. de;;;;;;;1;;1
Grootens HRM;;;;;;2;;;2
GSMpunt B.V.;;;;;;1;;;1
Gull Ventures Advice, Training & Su;;;;;;2;;;2
Gusto Mangia e Bevi;;;;;;;1;;1
Gym Jones, LLC;;;;;;1;;;1
GYZS.nl;;;;;;1;;;1
H & A Facilitair;;;;;;;1;;1
H.E.L. Shooter B.V.;;;;;;;1;;1
H.H. Bruinink, bedrijfsarts;;;;;;1;;;1
H+G & SCO Hausverwaltungen GmbH;1;;;;;;;;1
H¶tel Particulier de Vallois;1;;;;;;;;1
H2K Brandweeropleidingen B.V.;;;;;;2;;;2
Haag Atletiek Clubhuisexploitatie;;;;;;;1;;1
Haags Historisch Museum;;;;;;;1;;1
Haagse Kust Media B.V.;;;;1;;;;;1
Haasjes, A.G.;1;;;;;;;;1
HACH;;;1;;;;;;1
Hacom Sportprijzen Centrum Assen;;;;1;;;1;;1
Haemonetics B.V.;;;2;;;;;;2
Haer Consult;;;;;;1;;;1
Haesje Claes B.V.;;;;;;1;;;1
Haisma Scheeps & Industriemotoren B.V.;;;;;;1;;;1
Halfords Den Helder;;;;;;1;;;1
Hamer B.V.;;;;;;1;;;1
Handelsonderneming de Klomp;;;;;;;1;;1
Handelsonderneming H. Brand;;;1;;;1;;;1
Hanos Heerenveen B.V.;;;;1;;;;;1
HANOS-ISPC Breda B.V.;;;;1;;;1;;1
Hans Bloemenboetiek;;;;1;;;;;1
HANSSEN, PAUL;;;;;;2;;;2
Hanzehal;;;1;;;;;;1
Hao Hua Oosters Specialiteiten Restaurant;;;;1;;;;;1
Hape Aviation & Marine Service;;;1;;;;;;1
Happe en van Rijn Holding B.V.;;;;;;1;;;1
Happy Day Tours;;;;;;1;;;1
Happy Grill All-inclusive dining restaurant;;;;;;;1;;1
Happy Hands Studios;;;;;;;1;;1
Harbour Rotterdam B.V.;;;;;;1;;;1
Harman Consumer Nederland B.V.;;;;2;;;;;2
Harvard Kennedy School Executive Education;;;;;;2;;;2
Hatchfund.nl;;;;;;1;;;1
Haven- en Scheepvaartvereniging Den Helder;;;;1;;;;;1
HB-Systems;1;;;;;;;;1
HDJ Fotografie;;;;1;;;;;1
HdS - Oorlogsreizen;;;;;;1;;1;1
Headquarters Allied Rapid Reaction;;;;1;;;;;1
Health Education B.V.;;;;;;1;;;1
Heartbeat & Music;;;;;;1;;;1
Heckler & Koch GmbH;;;;;;1;;;1
Hedeman Consulting B.V.;;;;;;1;;;1
Heemskerk Bloemadvies;;;;1;;;;;1
Heemskerk Bloemisten;;;;1;;;;;1
Heesbeen Feest Groep;;;;;;;1;;1
Helder Events;;;;1;;;1;;1
Helder Werk B.V.;;;;;1;;;;1
Helderse Ondernemersvereniging (HOV);;;;1;;;;;1
HeliCentre B.V.;;;;;;4;;;4
Helicon Conservation Support B.V.;;;;;;1;;;1
Heliomare Arbeidsintegratie;;;;1;;;;;1
Helisim;;;;;;7;;;7
Helix Learning;;;;;;1;;;1
HEMA Bakkerijen B.V.;;;;1;;;1;;1
Henri Bloem's Wijnkoperij;;;1;;;;;;1
Herberg De Morgenstond;;;;;;;1;;1
Herberg De Schutskuil;;;;;;;1;;1
Herberg De Swaen;;;;;;;1;;1
Herlaar, T.;1;;;;;;;;1
Herman Dickhoff Bloemsierkunst;;;;1;;;;;1
Heroz;;;;;;1;;;1
Hes van Zweeden B.V.;;;;;1;;;;1
HESAR;;;;;;1;;;1
Het Bergpaviljoen, proeftuin van A'foort B.V.;;;;1;;;;;1
Het Concertgebouw N.V.;;;;;;;1;;1
Het Effectieve Werken B.V.;;;;;;1;;;1
Het Gezelschap 'Practische Studie';;;;;1;;;;1
Het Heden;;;;1;;;;;1
Het Kabinet, Eten en Drinken;;;;;;;1;;1
Het Keringhuis;;;;;;;1;;1
Het Kookplein;;;;1;;;;;1
Het Kunstpunt;;;;1;;;;;1
Het Nederlands Openluchtmuseum;;;;;;;1;;1
Het Nederlandse Rode Kruis;;;;;;1;;;1
Het Nederlandse Rode Kruis Afdeling Rotterdam;;;;;;1;;;1
Het Oude Politiebureau;;;;;;;1;;1
Het Panorama;;;;;;1;;;1
Het Postkantoor;;;;1;;;;;1
Het Proeflokaal Van De Oirsprong B.V.;;;;;;;1;;1
Het Scheepvaartmuseum Enterprise B.V.;;;;;2;1;1;;2
Het Uitgeefhuis B.V.;;;;;;1;;;1
Het Wapen van Ermelo;;;;1;;;;;1
Het Wapen van Leeuwarden B.V.;;;;1;;;1;;1
Het Wijninstituut;;;;;;1;;;1
Het Wil Konsult;;;;;;1;;;1
Hetty de Laat Groei in Communicatie;;;;;;1;;;1
HEYL Chemisch-pharmazeutische Fabrik GmbH & Co. KG;;;3;;;;;;3
High Care Academy B.V.;;;;;;1;;;1
Hijswinkel B.V.;;;1;;;;;;1
Hijzen, C.W.;;;;;;1;;;1
Hilton Royal Parc Soest;;;;;;1;;;1
Hippisch Centrum Muiderberg V.O.F.;;;;;1;;;;1
HJVerhuur;;;;;;;1;;1
Hoek V.O.F.;;;;;1;;;;1
Hoekstra Beroepsopleidingen B.V.;;;;;;1;;;1
Hoekstra Opleidingen;;;;;;1;;;1
Hoeve de Middelt;;;;;;;1;;1
Hof van Solms;;;;1;;;1;;1
Hof van Twello;;;;1;;;;;1
Hofstad Events B.V.;;;;;;;1;;1
Hofstad Personeel B.V.;;;;;;1;;;1
Hogenboom Vakantieparken B.V.;;;;;;;3;;3
Hogeschool Dirksen B.V.;;;;;;2;;;2
Hogeschool Isbw B.V.;;;;;;1;;;1
Hogeschool NOVI B.V.;;;;;;3;;;3
Hogeschool Schoevers;;;;;;2;;;2
Hogeschool Utrecht;;;;;;2;;;2
Hogeschool van Amsterdam;;;;;;1;;;1
Hogeschool Windesheim;;;;;;2;;;2
Hogrefe Uitgevers B.V.;;;;;3;;;;3
Hoist Finance AB;1;;;;;;;;1
Holding Beheermaatschappij Ropeni B.V.;1;;;1;;1;1;;1
Holiday Disco Show;;;;;;;1;;1
Holland Evenementen Groep B.V.;;;;;;;1;;1
Holland Geschenkpakket;;;;;;;1;;1
Holland Innovative B.V.;;;;;;1;;;1
Holland Opleidingen Groep B.V.;;;;;;1;;;1
Hollandsouvenirshop;;;;;;;1;;1
HOLMES TUTTLE FORD, INC.;;2;;;;;;;2
Home Sweet Home;;1;;;;;;;1
HomeBase Support;;;;;;;1;;1
Hometrica Consulting - Dr. Nicola D'Apuzzo;;;;;;1;;;1
Hommel Sportprijzen;;;;;;;1;;1
Hommes;;;;1;;;1;;1
Honebecke Gr./Fruit thodn De Gezonde Apoteker;;;;1;;;;;1
Hooggevoelig heel gewoon;;;;;;1;;;1
Hooghoudt B.V.;;;;1;;;;;1
Hoogvliet;;;;1;;;;;1
Hoorneboeg Conferentiecentrum;;;;;;1;;;1
Hop & Stork Holding B.V.;;;;1;;;1;;1
Horeca Spoordonk B.V.;;;;;;;1;;1
Horeca Stichting Nederland;;;;;;1;;;1
Horeca World B.V.;;;;1;;;;;1
Horecabedrijf De Witte Raaf B.V.;;;;;;;1;;1
Horizon 66 B.V.;;;;;;2;;;2
Hostmanship Group Nederland B.V.;;;;1;;1;;;2
Hostnet B.V.;;;;;;;1;;1
Hotel Café Restaurant 'De Oude Molen';;;;;;;1;;1
Hotel Contact B.V.;;;;;;3;;;3
Hotel De Haas Elburg B.V.;;;;;;;1;;1
Hotel De Zwaan B.V.;;;;1;;;;;1
Hotel Den Haag- Nootdorp;;;;1;;;;;1
Hotel Den Helder;;;;;;;1;;1
Hotel Merlinde;1;;;;;;;;1
Hotel Mitland;;;;1;;1;1;;1
Hotel 'Op Diek';;;;;;1;;;1
Hotel Restaurant Avenarius V.O.F.;;;;;;;;1;1
Hotel Restaurant Princenhof;;;;;;1;;;1
Hotel 't Hof van Gelre B.V.;;;;;;;;2;2
Hotel Vianen B.V.;;;;1;;;;;1
Hotel Vue-La Caverne B.V.;;;;;;;1;;1
Hotel Wieringermeer B.V.;;;;1;;;;;1
Hotel-Café-Restaurant 'West-End' Expl. B.V.;;;;;;;1;;1
Hotel-Restaurant 'De Zwarte Boer' B.V.;;;;1;;;1;;1
Hotel-Restaurant 'Oud London';;;;1;;;1;;1
Hotel-Restaurant Slenaker Vallei;;;;;;1;;;1
Hotelschool The Hague;;;;;;1;;;1
Houet, J.W.;1;;;;;;;;1
House of Lords B.V.;;;;2;;;;;2
House of Sports;;;1;;;1;1;;2
HQ 1 GE/NL CORPS - Multinational Bu LIVE;;;;1;;1;;;1
HQ 1 GE/NL CORPS G8;;;;;;1;1;1;2
HRN Europe Kft. (HRN Europe Korlßtolt Felel#ssÚg# Tßrsasßg);;;;;;1;;;1
HRorganizer B.V.;;;;;3;;;;3
Huck Torimex B.V.;;;1;;;;;;1
Hugen Brandbeveiliging en Adviesbureau B.V.;;;;;;1;;;1
Hugens, J.F.;;;;1;;;;;1
Huis van Mare B.V.;;;;;;;1;;1
Huisaanhuis.nu B.V.;;;;1;;;;;1
Huisartsen de Esdoorn;;;;;1;;;;1
Humphrey's Amsterdam Spuistraat B.V.;;;;;;1;;;1
Humphrey's Den Haag B.V.;1;;;;;;;;1
Humphrey's Leeuwarden B.V.;;;;;;;1;;1
Humphrey's Utrecht B.V.;;;;;;;1;;1
HUMUS;;;;;;;1;;1
Hurricane Textile & Sportswear B.V.;;;;;;;1;;1
Huurhoeftnietduur.nl;1;;;;;;1;;1
hvs Dienstverlening;;;;;;3;;;3
Hydrographic Society Benelux;;;;;;1;;;1
Hydroid, Inc.;;;;;;2;;;2
HypoStore B.V.;;;;1;;;;;1
Hytech;;;;;;1;;;1
I Fiori;;;;1;;;;;1
I.I.T. International Institute for Training;;;;;;1;;;1
I.V.P. Trading;1;;;;;;;;1
I4 Muzique;1;;;;;;;;1
I-Aspect B.V.;;;;;4;;;;4
IBIZA Xperience B.V.;;;;;1;;;;1
ICAO;;;;;;1;;;1
ICM Administratie B.V.;;;;1;;2;;;2
ICM Holding B.V.;;;;;;1;;;1
ICM Opleidingen & Trainingen B.V.;;;;1;;3;;;3
icttrainingen.nl;;;;;;1;;;1
Ideaalcatering B.V.;;;;;;;1;;1
Ideeaanzee B.V.;;;;;2;;;;2
Iep Holding B.V.;;;;;;1;;;1
IES Asset Management;;;;;;1;;;1
Ifmec Academy B.V.;;;;;;1;;;1
Igop;;;;;;1;;;1
Igo-Post B.V.;;;;1;;;1;;1
IHS Global Limited;;;;;;1;;;1
IJskar Huren IJstraktatie;;;;;;;1;;1
IJzeren Man B.V.;;;;;;;1;;1
Ik hou van Brabant;;;;;;;1;;1
Ikmo;;;;;;1;;;1
Imagem;;;;;;2;;;2
Imaging People;;;;1;;;;1;1
Imhotep Promotions B.V.;;;;2;;;;;2
IMK Intermediair B.V.;;;;;2;;;;2
IMMOBIL Frank Wittkopp;1;;;;;;;;1
Impulse Info Systems;;;;;;3;;;3
imq - Ingenieurbetrieb f³r Materialpr³fung, Qualitõtssicherung und Schwei?technik GmbH;;;;;;1;;;1
In den Vollen Pot B.V.;;;;;;;1;;1
In 't Groene Woud B.V.;;;;1;;;1;;1
in Transit Coaching;;;;;;1;;;1
Incassobureau Hilner & Harvey;1;;;;;;;;1
Inchainge B.V.;;;;;;1;;;1
Inchcape Shipping Services B.V.;1;;;;;;;;1
Indonesisch Restaurant Djawa;;;;1;;;;;1
Indoor Activiteiten Centrum;;;;;;;1;;1
Indoor Funcentre Breda;1;;;1;;;1;;1
Indoor Karting Tilburg B.V.;1;;;;;;1;;1
Indoor Skydive N.V.;;;;;;3;;;3
Industrieel Klimmen B.V.;;;;;;1;;;1
Infinite Simulation Systems B.V.;;;;;;1;;;1
Info Support B.V.;;;;;;2;;;2
Info Training B.V.;;;;;;1;;;1
Infoland;;;;;;1;;;1
Information Security Academy B.V.;;;;;;3;;;3
Ingenium B.V.;;;;;;1;;;1
Ingressus B.V.;;;;;;1;;;1
Ingrid Nagel B.V.;;;;;;1;;;1
Ingrid van den Nieuwenhuizen;1;;;;;;;;1
InkoopAcademie B.V.;;;;;;1;;;1
Inkopers-cafe B.V.;1;;;;;;;;1
innerland;;;;;;1;;;1
InnerQi;;;;;;1;;;1
Innovam;;;;;;2;;;2
Innovatie Academie CAM;;;;;;1;;;1
Innoventa B.V.;;;;;;1;;;1
Inpakcentrale ICN B.V.;;;;1;;;;;1
Inquest B.V.;;;;1;;;;;1
Insa B.V.;;;;;;1;;;1
InsightsWorld B.V.;;;;;;1;;;1
Insign Trading;;;;;;;1;;1
Inspiration Point B.V.;;;;;;;1;;1
Inst. voor Materiaal;;;;;;2;;;2
Institutul Cultural Roman;;;;;;1;;;1
Instituut Van der Heijden;;;;;;1;;;1
Instituut van Internal Auditors Nederland;;;;;;1;;;1
Instituut voor Mens. Gedrag / De Leugenacad.;;;;;;1;;;1
Instituut voor Psychotrauma Nederland B.V.;;;;;;1;;;1
Instituut voor Systeembenadering, Supervisie, Opleiding, Onderzoek - Holland;;;;;;1;;;1
Int. Knowledge & Networking (IKN) B.V.;;;;;;2;;;2
Intalent;;;;;;1;;;1
Inter Sports Wear;;;;;;1;;;1
Interbike N.V.;;;1;;;;;;1
IntercÃ©dÃ© B.V.;;;1;1;;1;;;2
InterContinental Aqaba Resort;;;;;;;;1;1
Intermade SARL;;;;;;2;;;2
Intern Support;;;;;;1;;;1
International Air Transport Association (IATA);;;;;;2;;;2
International Anti Crime Academy B.V.;;;;;;2;;;2
International Conference Center;;;;;;;1;;1
International School of Curacao;;;;;;2;;;2
Interprint Zeefdrukkers;;;;;;1;;;1
Intersafe Groeneveld B.V.;;;1;;;;;;1
Interspiro B.V.;;;;;;1;;;1
Intertoys Holland B.V.;;;;;;;1;;1
Intertoys Steenwijk;;;;;;;1;;1
InteSpring B.V.;;;;;1;;;;1
Intop;;;;;;1;;;1
Intop Zorgsector B.V.;;;;;;2;;;2
Intronics;;;;1;;;;;1
Introspectief Training & Coaching;;;;;;3;;;3
Intrum Justitia Nederland B.V.;1;;;;;;;;1
IOVIO BPT B.V.;;;;;;1;;;1
IP Lawton;1;;;;;;;;1
IP Trainershouse B.V.;;;;;;2;;;2
iPeople;;;;;;1;;;1
iPinball;;;;;;;1;;1
IPMA - NL;;;;;;1;;;1
IPMA Certificering B.V.;;;;;;2;;;2
Ipol B.V.;;;;;;1;;;1
Ippon Consult;;;;;1;;;;1
IPro Safety B.V.;;;;;;1;;;1
IQPC Ltd.;;;;;;1;;;1
Iris Posthouwer training & advies;;;;;;2;;;2
ISBW;;;;;;2;;;2
ISBW Opleidingen B.V.;;;;;;1;;;1
Ispaliju BVBA;;;;;;1;;;1
Israel Producten Centrum;;;;;1;;;;1
ISVE;;;;;;1;;;1
IT Management Group;;;;;;2;;;2
ITIP School voor Leven en Werk B.V.;;;;;;1;;;1
Ivar on Sax;;;;1;;;;;1
IVIO@school;;;;;;4;;;4
J. & C. Productions B.V.;;;;;1;;1;;1
J. Knieriem B.V.;;;;;;;1;;1
J.M. Rozendaal;;;;;;1;;;1
Jaap Blauwendraat-Pianotechniek.;;;;1;;;;;1
Jachthaven Biesbosch B.V.;;;;;;;1;;1
Jachtwerf Den Helder B.V.;;;;;;1;;;1
Jack de Vries Communicatie Advies;;;;;;1;;;1
Jacobs Douwe Egberts Pro BE BVBA Belgium & Luxembourg;;;;;;;1;;1
Ja-maarÃ‚Â® B.V.;;;;;;1;2;;2
James Victor Steele;;;;;;2;;;2
Jan Andreae en Partners B.V.;;;;;;2;;;2
Janssen en Janssen C.S. Gerechtsdeurwaarders;1;;;;;;;;1
Janssen Sound & Light;;;;;;;1;;1
Janssens Kassasystemen;;;;;;;1;;1
Jasmijn Bloemen & Planten;;;;1;;;;;1
Jasmijn van Es;;;;;;1;;;1
JCB;;;;;;2;;;2
JenS Psychologisch Adviesbureau;;;;;;1;;;1
Jesta Internet Solutions;;;;;1;;;;1
Jo Bos & Co;;;;;;1;;;1
JobTrans Holding B.V.;;;;;;1;;;1
Johan Keijzer;;;;;;1;;;1
John Immobilien GmbH;1;;;;;;;;1
John Mostert beeld in brons/brons in beeld;;;;;;1;;;1
Joint Netherlands Training Detachme voorheen Netherlands Apache Trainin Detachment;2;2;;1;;;1;;2
Jong Defensie;1;;;;1;;;;2
Jongejan Wisseborn Gerechtsdeurwaar B.V.;1;;;;;;;;1
Jongeneel Deventer;;;;;;1;;;1
Jongeneel Utrecht;;;1;;;;;;1
Jonneke Reclame;;;;;;;1;;1
Jos America Machines B.V.;;;;;;1;;;1
Joyce Bloembinderij;;;;1;;;;;1
JS Entertainment;1;;;;;;;;1
Jumping Fitness Nederland;;;1;;;;;;1
K & K;;;;;;;1;;1
K.G. Business Support;;;;1;;;;;1
K.W.D. Sport B.V.;;;;;1;;1;;1
Kaak Vlaggen en Reklame;;;;1;;;;;1
Kaatje's Restaurant;;;;1;;;1;;1
Kadanz;2;;;;;;;;2
Kader Bureau voor Kwaliteitszorg B.V.;;;;;;2;;;2
KAM Opleidingen B.V.;;;;;;1;;;1
Kamera Express;;;;;;1;;;1
Kameryck B.V.;;;;1;;;;;1
Kamp van Beverlo L0005 Milton Logement;;;;;;1;;;1
Karcher B.V.;;;;;;1;;;1
Kart Centre Roosendaal B.V.;;;;;;;1;;1
Kartbaan Uden B.V.;;;;;;;1;;1
Kartschool Lelystad B.V.;;;;;;;1;;1
Karwansaray B.V.;;;;1;;;;;1
Karwei Bouwmarkt Steenwijk;;;;;1;;;;1
Kathleen R. Bashian, Ph.D.;;;;;;;;1;1
KATO Group B.V.;;;;;;;1;;1
Kazerne Dossin V.z.w.;;;;;;1;;;1
K-dive;;;;;;1;;;1
Keemink Integrale Veiligheid Management;;;;;;1;;;1
Keizer Culinair B.V.;;;;;;;2;;2
Kennis- en Adviescentrum Dierplagen;;;;;;1;;;1
Kern Konsult B.V.;;;;;;;1;;1
Kernzaken;;;;;;1;;;1
Kersbergen-De Jong;1;;;;;;;;1
Keukenvuur;;;;;;;1;;1
Keurslager Jansen;;;;;;;1;;1
Keurslagerij Wit en Wit;1;;;;;;1;;1
Kevin's Grandcafe & Restaurant;;;;1;;;;;1
KEYMUSIC Eindhoven;1;;;;;;2;;2
KGH Customs Services B.V.;;;;;;2;;;2
Kibitka Outdoor;;;;;;;1;;1
Kids & Youth in Action;;;1;;;;;;1
Kienhuishoving N.V.;1;;;;;;;;1
Kiks Aruba;;;1;;;;;;1
Kim van den Heuvel;;;;;;1;;;1
KINboat;;;;;;;1;;1
King's College London;;;;;;2;;;2
Kistler B.V.;;;;;;1;;;1
Kits Kinderdagverblijven B.V.;1;;;;;;;;1
Kiwa Register B.V.;;;;;;1;;;1
Kiwa Training B.V.;;;;;;1;;;1
Klein Buitenrust;;;;1;;;;;1
KLEIN COLLEGE;;;;;;5;;;5
Klein Parijs;;;;;;;1;;1
Klimbos Ermelo - VDB Outdoor;;;;;;;1;;1
Klimcentrum Neoliet Tilburg B.V.;;;1;;;;;;1
KLM Engineering & Maintenance;;;;;;4;;;4
KLM Passagekantoor Eindhoven;;;;;;;;1;1
Klompenfabriek Nijhuis B.V.;;;;;;;1;;1
Kloosterboer Interieur B.V.;;;;;1;;;;1
Kloosterhof Neer B.V. hodn. Tijdschrift voor Coaching;;;;;;1;;;1
KLUSWIJS Loosdrecht;;;;;;1;;;1
KNAW Humanities Cluster;;;;;;1;;;1
KNOWLEDGE KEY ASSOCIATES, INC.;;;;;;1;;;1
Koffievoordeel;;;;;;;1;;1
Koggel Verhuur;;;;1;;;;;1
Kok Experience B.V.;;;;1;;;;;1
Kon. Ned. Bond tot 't Redden van Drenkelingen;;;1;;;1;;;1
Kon. Ned. Centr. Ver. Bestrijding der T.B.C.;;;;;;1;;;1
Kon. Ned. Mij. tot Bevord. der Geneeskunst;;;;;1;1;;;1
Kon. Ned. Veren. van Informatieprofessionals;;;;;;1;;;1
Kon. Ver. ter Beoef. van de Krijgswetenschap;;;;;;3;;;3
Kona International;;;;;;;2;;2
Koning Willem I College;;;1;;;1;;;1
Koninkl. Nederl. Verenig. 'Onze Luchtmacht';;;;2;;;;;2
Koninklijk Staldepartement;;;;;;;;2;2
Koninklijke Ahrend B.V.;;;1;;;;;;1
Koninklijke Begeer B.V.;;;;1;;;;;1
Koninklijke Burgers' Zoo;;;;1;;;1;;1
Koninklijke Luchtvaart Maatschappij N.V.;;;;;;2;;;2
Koninklijke Marine Jacht Club;;;;;;1;;;1
Koninklijke Militaire Schermvereniging;;;1;;;;;;1
Koninklijke Moorman Karton Weesp B.V.;;;;;;1;;;1
Koninklijke Nederlandse Atletiek Unie;;;;;;1;;;1
Koninklijke Nederlandse Hippische Sportfederatie;;;;;;1;;;1
Koninklijke Pbna B.V.;;;;;;1;;;1
Koninklijke PostNL B.V.;;;;;;1;;;1
Koninklijke van der Most B.V.;;;;1;2;;;;2
Koninklijke Visio;;;;;;1;;;1
Kookeshi;;;;;;;1;;1
Kookpunt Kantine;;;;;;1;;;1
Kop & Schouders Vlaardingen & Rijnm;;;;1;;;;;1
Korporaals Mess 't Pumpke;;;;;;;1;;1
Korps Luchtdoelartillerie;;;;1;;;;;1
Kortpack B.V.;;;;;;1;;;1
Kosmeoo Health;;;;;;1;;;1
Koudeborg;;;;;;2;;;2
KPMG Advisory N.V.;;;;;;1;;;1
KPN B.V.;;;;1;;1;;;1
KPN BV inz. Getronics-ADM CBI;;;;2;;;;;2
KPN Consulting B.V.;;;;;;1;;;1
Kraton Rosbeijer B.V.;;;;;;;1;;1
Krav Maga Brabant;;;;;;1;;;1
Kremer DJ Service;;;;;;;1;;1
Kruimel Advies;;;;;2;;;;2
Kuijpers, T.;;;;;;1;;;1
Kumpulan Congres- en Reuniecentrum;;;;1;;1;2;;2
Kumpulan ReÃƒÂ¼nie- en Congrescentrum;;;;1;;;;;1
Kunst- Siersmederij Rein Tupker & Zn.;;;;1;;;;;1
KVH Industries Norway AS;;;;;;1;;;1
Kwartier Mess Eguermin - M4462;;;;;;;1;;1
Kwartiermess M4458;;;;;;;1;;1
Kwast en Verfkunst Willem Rep;;;;;;1;;;1
L.J.M. Wigchert;1;;;;;;;;1
L-3 COMMUNICATIONS MAPPS INC;;;;;;2;;;2
La Boheme B.V.;;;;1;;;;;1
LA COMODIDAD;;;1;;;;1;;1
La Cubanita Den Helder;;;;1;;;;;1
La Lique Opleidingen;;;;;;1;;;1
Laarburg Arrangementen;;;;;;;1;;1
Laco Woensdrecht B.V.;;;1;;;;;;1
Lagaay International B.V.;;;;;;1;;;1
Lagant Management Consultants B.V.;;;;;;2;;;2
Lagerweij Zwolle B.V.;;;;;;4;;;4
Landal GreenParks Beheer en Projecten B.V.;;;;;;2;4;;4
Landel. Ver. Supervisie en Coaching (lVSC);;;1;;;;;;1
Landelijke Huisartsen Vereniging;;;;;1;;;;1
Landgoed de Biestheuvel B.V.;;;;;;;1;;1
Landgoed Het Rheins;;;;3;;;;;3
Landgoed Overcinge;;;;1;;;1;;2
Landhuis Brakkeput Mei Mei;;;;;;;1;;1
Landhuis Wolfslaar Breda B.V.;;;;;;1;;;1
Landkaartenbedrijf Commee B.V.;;;;;;1;;;1
Landlust;;;;1;;;;;1
