;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
Natuurlijk in je kracht;;;1;;;;;1
Navcom Inspection & Consultancy B.V;;1;2;;;;;2
Nazza N.V.;2;;;;;;;2
NBTC-NIPO Research B.V.;1;;;;;;;1
NDC mediagroep B.V.;;;;1;;;;1
NECTAR TREASURY;1;;;;;;;1
Necto Consultancy;3;2;;;;;;3
Ned. Interdisciplinair Demografisch Instituut;1;;;;;;;1
Ned.Org.voor toegepast-nat.wetensch. o.z. TNO;7;2;4;;;;;7
Nederlandse School voor Openbaar Bestuur B.V.;1;;2;;;;;2
Nederlandse Stichting Geluidshinder;2;;;;;;;2
Nederlandse Vereniging voor Psychiatrie;2;;;;;;;2
Nederlandse Vereniging voor Veiligheidskunde;;1;;;;;;1
Need Staffing;;2;2;;;;;2
Nel Sangers Advies;;2;;;;;;2
Nelen & Schuurmans B.V.;2;;;;;;;2
NEMO Science Museum;3;;;;;;;3
Nespresso Nederland B.V.;1;;;;;;;1
Netherlands Economic Observatory;2;;;;;;;2
Netherlands Maritime Technology B.V.;1;;;;;;;1
Nevi B.V.;;1;;;;;;1
New Babylon Gardens Business Centre;1;;;;;;;1
New Babylon Meeting Center B.V.;2;;;;;;;2
NewForesight Consultancy B.V.;2;;;;;;;2
Newgo Advies;;2;1;1;;;;2
Next Step Management B.V.;2;;;;;;;2
Next Urban Mobility B.V.;2;;;;;;;2
NextGreen B.V.;2;;;;;;;2
NFGD Zoetermeer B.V.;2;;;;;;;2
NH Den Haag;2;;;;;;;2
NIBE B.V.;;2;;;;;;2
Nieta;1;;;;;;;1
Nieuw Amsterdam Horeca B.V.;2;;;;;;;2
Nieuwe of Litteraire Sociëteit De Witte;1;;;;;;;1
Nieuwenhuis Maatschappelijk Advies;2;;;;;;;2
Nikola Stalevski Sustainability Co.;1;;;;;;;1
NLR - Deelnemingen B.V.;1;;;;;;;1
NMi Certin B.V.;5;;1;;;;;5
No-Bricks B.V.;;1;;;;;;1
Noclichés B.V.;1;;;;;;;1
Nooteboom Tours B.V.;1;;;;;;;1
Normec Rei-Lux B.V.;;1;;;;;;1
Norton Rose Fulbright LLP;5;;;;;;;5
Notuleerservice Nederland B.V.;1;2;;;;;;2
Novagraaf Nederland;1;;;;;;;1
Novella Media B.V.;;;;1;;;;1
Novi Mores;2;;;;;;;2
NS Reizigers B.V.;1;;;;;;;1
Nsob;2;;;;;;;2
Nuala Burns creatieve procesbegeleiding;;;1;;;;;1
Nudge;1;;;;;;;1
Nysingh Advocaten-Notarissen N.V.;1;;;;;;;1
O3 B.V.;;;;;;1;;1
OBT B.V.;1;1;;;;;;2
Odyssee B.V.;;1;;;;;;1
OECD;1;;;;;;;1
Off the Map;1;;;;;;;1
Office Depot International;1;;;;;;;1
Officecity Kantoormeubelen B.V.;1;;;;;;;1
Oiltraining B.V.;;;;1;;;;1
Oker B.V.;1;;;;;;;1
Omegam;;1;;;;;;1
Omniplan Nederland B.V.;1;;;;;;;1
Onderosa Language Matters;;;1;;;;;1
One Architecture B.V.;2;;;;;;;2
One Shoe B.V.;;1;1;;;;;1
Onemeeting.com B.V.;1;;;;;;;1
OnlyHuman Groep B.V.;2;;;;;;;2
Onno te Rijdt;;;;;1;;;1
Ons Paviljoen 11;1;;;;;;;1
Ontwerpwerk B.V.;2;;1;1;;;;2
Oostenrijk Touringcars B.V.;1;;;;;;;1
Oosterhof Organizing;1;;;;;;;1
Ooxo.nl;;1;1;;;;;2
Ooze V.O.F.;2;;;;;;;2
Open Knowledge Belgium VZW;2;;;;;;;2
Open Now B.V.;1;;;;;;;1
Opleidingscentrum Haaglanden B.V.;1;;;;;;;1
OpMorgen B.V.;3;1;1;;;;;3
Optima Forma B.V.;1;;;;;;;1
OR Consultancy B.V.;;;;;1;;;1
Ordina Business Consulting & Solutions B.V.;2;;;;;;;2
Ordina Nederland B.V.;;;;;;7;;7
Ordina Sourcing B.V.;;;1;;;;;1
Ordina Technologie & Competenties B.V.;;;1;;;;;1
Org.-id B.V.;3;;2;;;;;3
ORTEC Finance B.V.;2;;;;;;;2
Ossip Architectuurfotografie;1;;;;;;;1
Oudaen B.V.;1;;;;;;;1
Outside Pitch;;;1;;;;;1
Over Morgen;2;;;;;;;2
OXA SRL IMPRESA SOCIALE;1;;;;;;;1
P.M.F. Machinefabriek Bergum B.V.;;;1;;;;;1
P2 Proces- en Projectmanagers B.V.;3;;1;;;;;3
PA Consulting Group B.V.;2;;;;;;;2
Paagman B.V.;;1;;;;;;1
Paardekooper Organisatieadvies;1;;;;;;;1
Pagliaro;2;;;;;;;2
Palatium Amstelodamum N.V.;1;;;;;;;1
Panteia B.V.;5;;;;;;;5
Partners for Innovation B.V.;3;;;;;;;3
Partners in Projectbeheersing;;;;;;;5;5
Partners+Pröpper Noordwijk B.V.;1;;1;;;;;2
Passieprojecten;1;;;;;;;1
Payroll Partners;1;;;;;;;1
PBLQ B.V.;3;;;;;;2;3
Pe Beleids- en Organisatie Advies;4;;;;;;;4
Peking Productions;1;;;;;;;1
Pellenaer Events B.V.;1;;;;;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;6;;;1;3;;;7
Perdu communicatie;1;;;;;;;1
Permission Machine;1;;;;;;;1
PersonalSurprise V.O.F.;;;;;;1;;1
Personeeladviesbureau Behre;;;1;;;;;1
Peter Groot Kormelink Events;1;;;;;;;1
Peter Joosten Media;;1;;;;;;1
Peter W.M. Schiphorst B.V.;;;;;1;;;1
Peutz B.V.;;;3;;;;;3
Phaos Advies B.V.;1;1;;;;;;1
PHB Pennekamp advies;;;;1;;;;1
Phil Nijhuis Fotografie;1;;;;;;;1
Phortos Consultants B.V.;2;;;;;;;2
Pieter Sijtsma Advanced AeroAcoustics B.V.;1;;;;;;;1
Pieter van den Busken B.V.;2;;;;;;;2
Pieter van Geel Consultancy;2;;;;;;;2
Pii B.V.;;1;;;;;;1
Pinkcube B.V.;;1;;;;;;1
Pino Evenementen & Congressen B.V.;6;2;2;;;;;6
PinsandMore.nl;;1;;;;;;1
Plaatwerk, Fotografen;1;;;;;;;1
Plant-for-the-Planet Foundation;2;;;;;;;2
Platform Duurzame Biobrandstoffen;2;;;;;;;2
Platform P;1;;;;;;;1
Plein 19 Den Haag B.V.;1;;;;;;;1
Plein 20 Den Haag B.V.;1;;;;;;;1
Plein 9 A B.V.;2;;;;;;;2
Plein06 B.V.;1;;;;;;;1
Plots;;1;;;;;;1
Podium Projectcommunicatie B.V.;1;;;;;;;1
Policy Research Corporation;1;;;;;;;1
Pondera Consult B.V.;;;1;;;;;1
Pondres Direct Mail B.V.;;1;1;;;;;1
popup escape;;;2;;;;;2
Portpictures.nl;;1;;;;;;1
Posad B.V.;3;;;;;;;3
PosadMaxwan;3;;;;;;;3
POSEC Consultancy;1;;;;;;;1
POSTI S.R.L.;1;;;;;;;1
Postillion Hotels B.V.;1;;;;;;;1
Pouderoyen B.V.;2;;;;;;;2
PPS Construct;;;3;;;;;3
PPT Solutions B.V.;;;1;;;;;1
Practical Business Solutions B.V.;1;;;;;;;1
Praktijk Intervisie;;1;;;;;;1
Praktijk voor haptotherapie R&R;;;1;;;;;1
Premium-Drive GmbH;1;;;;;;;1
PRESENCING INSTITUTE, INC.;;;1;;;;;1
Pricewaterhousecoopers Advisory N.V.;6;4;;;;;;6
Pricewaterhousecoopers N.V.;;;;;;;2;2
Printed Copy en Printservice;1;;;;;;;1
Privacy Company B.V.;;;;;;3;;3
Privacy Management Partners Coöperatie UA;;;2;;;;;2
Pro Facto B.V.;;;1;;;;;1
PROCentrum B.V.;;1;;;;;;1
Proef Soest B.V.;1;;;;;;;1
Profundo B.V.;2;;1;;;;;2
Project 13;2;;;;;;;2
Project Gijs;1;;;;;;;1
Projectbureau d'Namic;1;;;;;;;1
ProMedia Events & Conferences B.V.;1;;;;;;;1
ProMedia NT B.V.;1;;;;;;;1
Promen;1;;;;;;;1
ProMindful;;;;1;;;;1
ProRail B.V.;4;;;;;;;4
Protask Performance B.V.;1;;;;;;;1
Protinus IT B.V.;4;1;;;;6;;6
Pryme Consulting B.V.;;;;;;;1;1
psps business abroad;1;;;;;;;1
Public Partners B.V.;1;;;;;;;1
Publiek Denken;2;;;;;;;2
Punt Grafisch Ontwerp;1;;;;;;;1
Purple Polar Bear B.V.;1;;;;;;;1
Puur Amsterdam;1;;;;;;;1
Q&A Company;;;;1;;;;1
Quadient Finance Netherlands B.V.;1;;;;;;;1
Quant Base B.V.;2;;;;;;;2
Quint;;;;1;;;;1
Quite Write;1;;;;;;;1
QUO Netherlands B.V.;2;2;;;;;;2
QuoVadis Trustlink B.V.;;;;;;1;;1
R.A.B.;;;2;;;;;2
R.J. Brandt Holding B.V.;5;;;;;;;5
RAI Amsterdam B.V.;1;;;;;;;1
Railcenter;1;;;;;;;1
RailConnect B.V.;2;;;;;;;2
Railforum Nederland;1;;;;;;;1
raimond hafkenscheid strategie & advies;3;;;;;;;3
Rakos Management en Training;1;;;;;;;1
RAMBOLL DANMARK A/S;2;;;;;;;2
RDH Architecten Stedenbouwkundigen B.V.;2;;;;;;;2
Rebel Economics & Transactions B.V.;6;;;;;;;6
Rebel Infrastructure Assets & Operations B.V.;6;;;;;;;6
Rebel Transitiemanagement B.V.;4;;;;;;;4
RebelGroup Executives B.V.;5;;;2;;;;5
Rebelz op de Binckhorst B.V.;1;;;;;;;1
Reconi B.V.;;;1;;;;;1
Recyclebike B.V.;1;;;;;;;1
Redknot Hosting B.V.;;1;;;;;;1
Redstack B.V.;2;;;;;;;2
Regina Finance;;;;;;;2;2
Regus Amsterdam;1;;;;;;;1
Reinwardt Academie - Stichting;;1;;;;;;1
Relevant TXT;1;;;;;;;1
RELX Nederland B.V.;1;;;;;;;1
Rem Automatisering B.V.;2;;;;;;;2
Remlicht;1;;;;;;;1
Renaissance It;1;;;;;;;1
Repro-van de Kamp B.V.;1;;;;;;;1
ResilienServices;2;;;;;;;2
Resolute Mediation B.V.;;;;;1;;;1
Restaurant Alexander;1;;;;;;;1
Restaurant De Basiliek B.V.;1;;;;;;;1
Restaurant de Dyck Woubrugge B.V.;2;;;;;;;2
Restaurant het Magazijn;1;;;;;;;1
Restaurant Molen De Jonge Dikkert B.V.;1;;;;;;;1
Restaurant Momento;1;;;;;;;1
Restaurant Op de Poort B.V.;1;;;;;;;1
Restaurant Sarinande;1;;;;;;;1
Restaurant Wilhelminapark B.V.;;1;;;;;;1
Revnext B.V.;2;;;;;;;2
Reynaarde Talentontwikkeling;;1;;;;;;1
RHDW B.V.;;;;;;1;;1
RibbonWoodConsultancy;2;;;;;;;2
Ricardo Certification B.V.;2;;;;;;;2
Rikkers Infographics;2;;1;;;;;2
Ristorante Napoli Haarlem B.V.;1;;;;;;;1
Rob Gieling Fotografie;1;;;;;;;1
Rob Wilken Producties;1;;;;;;;1
Rocka Sign B.V.;1;;;;;;;1
Rocketgenius Inc;;;;;;1;;1
Rodrigues & Batelaan Management Consult B.V.;;1;;;;;;1
ROHDE & GRAHL B.V.;;;1;;;4;;4
Ron Dubbeldam Consultancy;;2;;;;;;2
Rondvaartbedrijf Zilvermeeuw B.V.;1;;;;;;;1
Ronnie en Thijs;1;;;;;;;1
Röntgen Technische Dienst B.V.;1;;;;;;;1
Room Mate Rotterdam B.V.;1;;;;;;;1
RoPor Management B.V.;1;;;;;;;1
Route ZERO Public Affairs & Advies;1;;;;;;;1
Royal Geographical Society with IB;1;;;;;;;1
Rozatekst;1;;;;;;;1
Rozemond Tentoonstellingen;1;;;;;;;1
RTVmonitor,;2;;;;;;;2
Ruijter in Company;;;;;;;1;1
Ruimtemanagers B.V.;1;;;;;;;1
RuimTeUtrecht B.V.;1;;;;;;;1
Ruparo B.V.;1;;;;;;;1
S.H. Severijn Holding B.V.;2;;;;;;;2
SAB Stg. Afvalst. & Vaardocumenten Binnenv.;;;4;;;;;4
Sabel Communicatie B.V.;;1;;2;;1;;2
Safe Site B.V.;;;1;;;;;1
SAGITTA Evolution sprl;1;;;;;;;1
Salentijn Consult;;;1;;;;;1
Samenwerken vanuit kracht;;1;;;;;;1
SAMR;4;;;;;;;4
Samurai at work;;;1;;;;;1
Sancy Tres B.V.;1;;;;;;;1
Santé Horeca Beheer B.V.;1;;;;;;;1
Sauerbreij Management en Consultancy;;1;;;;;;1
Savia Toekomstgericht Advies;1;;;;;;;1
SayKnowMore;1;;;;;;;1
SBI Formaat Opleiding en Advies B.V.;1;;1;1;;;;2
SBI Training en Advies/FNV Formaat B.V.;;;1;;;;;1
sbv anderetaal;;1;;1;;;;1
Scania Nederland B.V.;1;;;;;;;1
Schattenberg Commissiesecretaris;2;;;;;;;2
Schiphol Nederland B.V.;7;;;;;;;7
Schouten & Nelissen Nederland B.V.;;1;;;;;;1
Schouwburg en Congrescentrum Orpheus N.V.;1;;;;;;;1
Schuttelaar & Partners, Maatsch. Comm. B.V.;6;;;;;;;6
Schwandt Information Design;1;1;;;;;;1
SCIA Nederland;;;;;;2;;2
Science and Technology B.V.;;4;;;;;;4
Science and Technology Experts Pool B.V.;;4;;;;;;4
SCIENCE AND TECHNOLOGY FACILITIES;;4;;;;;;4
SCISYS;;2;;;;;;2
Screensuccess;;;;;;1;;1
Sdu Uitgevers B.V.;1;;;;;;;1
Seabury MRO Solutions B.V.;5;;;;;;;5
Seastarters B.V.;1;;;;;;;1
Seats2meet Amersfoort CS;1;;;;;;;1
Seats2Meet.com Utrecht B.V.;1;;;;;;;1
Second Soul;;;1;;;;;1
Segerentekst;1;;;;;;;1
Selçuk Akinci;;;1;;;;;1
sense2sense;;;2;;;;;2
Sensz B.V.;;;1;;;;;1
Serena Advies en Begeleiding;1;;;;;;;1
Settels Sustainable Workconditions;;;1;;;;;1
SGS Nederland B.V.;;2;3;;;;;3
Sheraton Amsterdam Airp. Hotel & Conf. Center;1;;;;;;;1
Sidekick Project Support;1;;;;;;;1
Siemens Mobility B.V.;7;;;;;;;7
Signature Games;;;1;;;;;1
Significance B.V.;5;;1;;;;;5
Significant Public B.V.;;;2;;;;2;2
Significant Synergy B.V.;;1;;;;1;;2
Simone Langeweg Tekst- en Communicatieadvies;1;1;1;;;;;2
Simoon;;;1;;;;;1
Sira Consulting B.V.;4;;;;;;;4
Sketchy Business;1;;;;;;;1
Slagerij Rob Keller;1;;;;;;;1
Sleut.- & Safespecial. W. van den Hoogen B.V.;;1;;;;;;1
Slim Development B.V.;4;;;;;;;4
Smart Società Cooperativa Impresa S;2;;;;;;;2
Smart!Management;2;;;;;;;2
Smart&Able B.V.;;;;2;;;;2
SMHI (SWEDISH METEORLOGICAL AND;;;2;;;;;2
SMT Simple Management Technologies B.V.;;;;;;1;;1
SNC-LAVALIN RAIL & TRANSIT LIMITED;1;;;;;;;1
Sobolt B.V.;2;;;;;;;2
Social Impact Factory Utrecht B.V.;1;1;;;;;;1
Société Coopérative Neonomia/Demsi;2;;;;;;;2
Solo ta hari B.V.;1;;;;;;;1
Soluso B.V.;;2;;;;;;2
Something Else Advies;3;;;;;;;3
SONA DERDENGELDEN;2;;;;;;;2
Soundfocus B.V.;1;;;;;;;1
Sovon Vogelonderzoek Nederland;;2;;;;;;2
Spar City Glashaven;1;;;;;;;1
Speakers Academy®;1;;1;;;;;2
Speech Republic B.V.;1;;;;;;;1
spelbepaler;;;1;;;;;1
Spiegelhart;;;1;;;;;1
Spijker & Hamer Bedrijfstheater en;1;;;;;;;1
SPITZ congres & event B.V.;6;3;;;;;;6
SpiZe B.V.;1;;;;;;;1
SPPS Consultants B.V.;2;;;;;;;2
Sprengers Advocaten;;1;1;;1;;;2
Springer Nature Limited;;;;1;;;;1
Spruijt&Co;1;;;;;;;1
SRON;;5;;;;;;5
Stadscafé De Observant;1;;;;;;;1
Stage Presence For Business;;1;;;;;;1
Stantec B.V.;2;;;;;;;2
Stap 2;2;;;;;;;2
Star Project;3;;;;;;;3
Star Reklame Holding;1;;;;;;;1
Starmountain Beheer B.V.;;;;;;;1;1
Starsound Productions Exploitatie B.V.;2;1;;;;;;2
StartHubs;2;;;;;;;2
State Budget of the Republic of Cro;;;2;;;;;2
Statisfact B.V.;;3;2;;;2;;3
Stayokay 'Den Haag';1;;;;;;;1
Stayokay Heeg;1;;;;;;;1
Stby B.V.;;;2;;;;;2
Stedin;;2;;;;;;2
Steigenberger Airport Hotel, Amsterdam;1;;;;;;;1
Steinbuch in Motion B.V.;;;;1;;;;1
Sterk Consulting B.V.;3;;;;;;;3
STERKADO;1;;;;;;;1
Sterkom B.V.;1;;;;;;;1
Stevin Technology Consultants B.V.;1;;;;;;;1
Stg. Beheer Derdengelden in 't Veen Advocaten;;;1;;;;;1
Stg. Bur. Commissie v.d. Mil.-Effectrapport.;5;;;;;;;5
Stg. CoÃ¶rd. Certif. Milieu & arbomanagm.syst.;2;;;;;;;2
Stg. Colloq. Vervoersplanologisch Speurwerk;1;;;;;;;1
Stg. Crow, kennisplatf. infrastruct., verkeer;5;2;2;;;;;5
Stg. Cursussen Wetenschapscorrespondentie;1;;;;;;;1
Stg. Derd.geld. Invorderingskantoor Nederland;;1;;;;;;1
Stg. Dr. Hilda Verwey-Jonker, I.v.O. van M.V.;;;2;;;;;2
Stg. Gemeenschapshuis De Meent en In de Roos;1;;;;;;;1
Stg. Inform.syst. v. Arbeidsplaatsen & Vest.;1;;;;;;;1
Stg. Instituut voor Verantw. Medicijngebruik;2;;;;;;;2
Stg. Integr. Milieu Taakstelling Glastuinbouw;2;;;;;;;2
Stg. Klimaatvriendel. Aanbesteden/Ondernemen;2;;;;;;;2
Stg. Knowledge/Developm. Ctr. Mainp. Schiphol;6;;;;;;;6
Stg. Kon. Visio, exp.centr. slechtz./slechth.;1;;;;;;;1
Stg. Maritiem Research Instituut Nederland;3;;2;;;;2;4
Stg. Nat. Lucht- en Ruimtevaartlaboratorium;7;2;3;;;;;7
Stg. Nat. Nautische Verkeersdienst Opleiding;3;;;;;;;3
Stg. Ned. Inst. voor Int. Betr. 'Clingend.';3;;;;;;;3
Stg. RIONED, Platf. Buitenriolering Nederland;1;;;;;;;1
Stg. Service Centrum Auteurs & Nabur. rechten;;;1;;;;;1
Stg. Sioo, Int.univ. Centr. Veranderkunde;;1;;;;;;1
Stg. Stim.fonds Volkshuisvesting Ned. Gem.;3;;;;;;;3
Stg. ter Bevord. van Ekolog. Gezondheidszorg;1;;;;;;;1
Stg. Wet. Ond. Verkeersveiligh. Swov;3;;;;;;;3
Sticht. Delta All. International Foundation;2;;;;;;;2
Sticht. Eur. Centrum Ontwikkelingsmanagement;2;;;;;;;2
Sticht. HAS KennisTransfer en Bedr.opleid.;2;;;;;;;2
Sticht. IHE Delft Instit. for Water Education;3;;;;;;;3
Sticht. Kwaliteit voor Installaties Nederland;2;;;;;;;2
Sticht. New Movements in Transport & Mobility;1;;;;;;;1
Stichting ACCEPT Institute;3;;;;;;;3
Stichting Accessibility;;;;;;1;;1
Stichting ALLAI Nederland;1;;;;;;;1
Stichting ANP Foundation;1;;;;;;;1
Stichting Art Republic;1;;;;;;;1
Stichting Babel 's-Hertogenbosch en omstreken;1;;;;;;;1
Stichting Behavioural Insights Nederland;2;;;;;;;2
Stichting Beheer Derdengeld. v. Kaam Advocat.;;;1;;;;;1
Stichting Beheer Synagoge;1;;;;;;;1
Stichting Blosse onderwijs;1;;;;;;;1
Stichting Bmwt-Keur;1;;;;;;;1
Stichting Bouwkwaliteit;2;;;;;;;2
Stichting Bureau Voorlichting Binnenvaart;3;;;;;;;3
Stichting Centrum Ondergronds Bouwen';5;;;;;;;5
Stichting Climate Adaptation Services;5;;;;;;;5
Stichting Commonland;1;;;;;;;1
Stichting Connekt;9;;;;;;;9
Stichting De Nieuwe Regentes;1;;;;;;;1
Stichting De Ooievaart;1;;;;;;;1
Stichting de Reisbeweging;3;;;;;;;3
Stichting De Schrijverscentrale;1;;;;;;;1
Stichting Delft Hyperloop;2;;;;;;;2
Stichting Deltares;3;3;;;;;;4
Stichting Digitale Overheid;1;;;;;;;1
Stichting Dominicanenklooster Zwolle;1;;;;;;;1
Stichting Dutch Cycling Embassy;3;;;;;;;3
Stichting Energy Expo;2;;;;;;;2
Stichting Europees Instituut;2;;;;;;;2
Stichting GeoFort;2;;;;;;;2
Stichting Geonovum;4;;;;;;;4
Stichting Gilde Den Haag;;;1;;;;;1
Stichting Herberg Welgelegen;1;;;;;;;1
Stichting Het Groene Brein;2;;;;;;;2
Stichting Het Scheepvaartmuseum Enterprise;;;1;;;;;1
Stichting Het Wereld Natuur Fonds-Nederland;1;;;;;;;1
Stichting Historie der Techniek;;2;;;;;;2
Stichting Hoger Beroepsonderwijs Haaglanden;2;;;;;;;2
Stichting Holland Circular Hotspot;3;;;;;;;3
Stichting iabr/UP;3;;;;;;;3
Stichting In goed gezelschap van Laura;;1;;;;;;1
Stichting Infrastr. Kwaliteitsborg. Bodembeh.;2;;;;;;;2
Stichting Internat. Perscentrum 'Nieuwspoort';1;1;1;;;;;1
Stichting International Water Conferences;1;;;;;;;1
Stichting IVN;2;;;;;;;2
Stichting Katholieke Vredesbewegiing;1;;;;;;;1
Stichting KC Studentenfonds;;;1;;;;;1
Stichting KdK Conferentiehotel;;2;;;;;;2
Stichting Kennis Gebiedsontwikkeling (SKG);1;;;;;;;1
Stichting Kennislab voor Urbanisme;2;;;;;;;2
Stichting Kunsthal Rotterdam;1;;;;;;;1
Stichting Louis Bolk Instituut;;;1;;;;;1
Stichting Loyalis;;;;;1;;;1
Stichting Lucht- en Ruimtevaart Nederland;1;;;;;;;1
Stichting MEE Zuid-Holland Noord;1;;;;;;;1
Stichting Milieu Centraal;4;;;;;;;4
Stichting Milieukeur;4;;;;;;;4
Stichting Mulier Instituut;2;;;;;;;2
Stichting MVO Nederland;1;;;;;;;1
Stichting Nationaal Kennisplatform;1;;;;;;;1
Stichting Natuur en Milieu;3;;;;;;;3
Stichting Ned. Bureau Keuringen Binnenvaart;1;;;;;;;1
Stichting Nederland Kennisland;;;2;;;;;2
Stichting Netherlands eScience Center;;;2;;;;;2
Stichting Netherlands Water Partnership (Nwp);3;;;;;;;3
Stichting NulopdeMeter Experience Utrecht;1;;;;;;;1
Stichting OneWorld;1;;;;;;;1
Stichting Pensioenfonds ABP;;;1;;;;;1
Stichting Pleio;1;;;;;;;1
Stichting Postfilter;1;;;;;;;1
Stichting Probos;1;;;;;;;1
Stichting Projecten Binnenvaart;3;;;;;;;3
Stichting Prosea Marine Education;2;;;;;;;2
Stichting QuestionMark;2;;;;;;;2
Stichting RE LOVE;2;;;;;;;2
Stichting Repair Café International;1;;;;;;;1
Stichting SAHO;;2;;;;;;2
Stichting Saxion;2;;;;;;;2
Stichting SEO Economisch Onderzoek;4;;;;;;;4
Stichting Spaarnestad Photo;1;;;;;;;1
Stichting Springtij Festival Terschelling;1;;;;;;;1
Stichting Stadsgidserij Tilburg;;1;;;;;;1
Stichting Svob, Opleidingen & Zorgs;1;;;;;;;1
Stichting Teamalert;1;;;;;;;1
Stichting Toegepast Onderzoek Waterbeheer;6;;;;;;;6
Stichting TOT, tolk van ontwikkelin;;1;;;;;;1
Stichting TrasHure Hunt;1;;;;;;;1
Stichting Uniforme Transport Code;2;;;;;;;2
Stichting VeiligheidNL;3;;;;;;;3
Stichting voor de Technische Wetenschappen;5;;;;;;;5
Stichting Waag Society;;1;;;;;;1
Stichting Waterlanders;2;;;;;;;2
Stichting Weerwoud;;1;;;;;;1
Stichting Wereld Vismigratie;2;;;;;;;2
Stichting Werk&Mantelzorg;;1;;;;;;1
Stichting Wetskills;2;;;;;;;2
Stichting Youth for Sustainable Travel;1;;;;;;;1
Stichting Zuiderzeemuseum;1;;;;;;;1
Stiftelsen The Stockholm Environmen;3;;;;;;;3
Stijlbende;1;;;;;;;1
Stockholm Int. Water Institute;1;;;;;;;1
Stork Asset Management Technology B.V.;;;;;;;2;2
Story Studio;1;;;;;;;1
Straecos B.V.;1;;;;;;;1
Stralingsupport B.V.;;1;;;;;;1
Strandclub Doen! Strand noord;1;;;;;;;1
Strandpaviljoen Buiten B.V.;1;;;;;;;1
Strandpaviljoen De Staat B.V.;1;;;;;;;1
Stratego Advies;1;;;;;;;1
Strategy & Impact;1;;;;;;;1
Stratelligence B.V.;2;;;;;;;2
Strict B.V.;;;;;;2;;2
Studio Balrus;1;;;;;;;1
Studio Dijkgraaf;1;;;;;;;1
Studio Fint;;1;;;;;;1
Studio Infograph;1;;;;;;;1
Studio Lammert Jonkman;1;;;;;;;1
Studio Linda Vlassenrood;1;;;;;;;1
Studio Marco Vermeulen B.V.;1;;;;;;;1
Studio Meek;;;1;;;;;1
Studio Tognini B.V.;1;;;;;;;1
Studio-OOK;1;;;;;;;1
Sun Solutions B.V.;;;;;;1;;1
Supply Value B.V.;2;;;;;;;2
Supremia B.V.;;1;;;;;;1
SURFmarket;;1;;;;;;1
SURFsara B.V.;;1;;;;;;1
Sustainable Change B.V.;;1;;;;;;1
SustainableMotion;2;;;;;;;2
Sustainalize B.V. .;1;1;;;;;;2
Swaak & Crooijmans B.V.;2;;;;;;;2
Swaak B.V.;2;;;;;;;2
Swarco Nederland B.V.;4;;;;;;;4
Sweco Nederland;5;;2;;;;;5
Swijnenburg - Meet & Celebrate;1;;;;;;;1
Syconomy;1;;;;;;;1
Synergos Communicatie B.V.;2;;;;;;;2
Syntraal B.V.;2;;;;;;;2
Sysqa B.V.;;2;;;;6;;6
SYSTRA;3;;;;;;;3
SZP Training & Advies;;;;;2;;;2
t Manneke;1;;;;;;;1
t Salland Coaching & Advies;2;;;;;;;2
t Wapen Van Marion B.V.;1;;;;;;;1
T. Nooteboom Consultancy;2;;;;;;;2
Taalpraktijk Mieke Prins;1;;;;;;;1
Taalstrategie B.V.;1;2;;;;;;2
Taartjes Toko;1;;;;;;;1
Talent Talks B.V.;;;1;;;;;1
Talita Angwarmasse Entertainment;;1;;;;;;1
Tappan B.V.;5;2;1;1;;;;5
TAQT Training en Advies;1;;;;;;;1
Tas Trainingen, Advies & Onderzoek;;;;;1;;;1
TASS International B.V.;3;;;;;;;3
Tauw B.V.;6;1;3;;;;;6
Taxi Centrale Den Haag B.V.;1;;;;;;;1
Taxi Centrale Geleen;1;;;;;;;1
Taxi Hamrik;1;;;;;;;1
Taxi Linsen Driel B.V.;1;;;;;;;1
TBD Jobboards;1;;;;;;;1
TCR Tours B.V.;2;;;;;;;2
TD Austria;1;;;;;;;1
TéBé B.V.;3;;;;;;;3
Tekst en de rest;1;;;;;;;1
Tekstbureau Leo van Marrewijk;2;;;;;;;2
Tekstbureau Met Andere Woorden;2;;;;;;;2
Tekstburo Gort B.V.;;;;1;;;;1
Tekstkantoor Van As;;1;2;;;;;2
Telan B.V.;;;;1;;;;1
Tele2-Versatel;1;;;;;;;1
Telegrootgebruik B.V.;;2;;;;7;;7
Telstar 1963 N.V.;1;;;;;;;1
Tentoo Directors Cast & Crew B.V.;2;;;;;;;2
Tessa Haan Projectbegeleiding;2;;;;;;;2
TextCraft Editing;1;;;;;;;1
Thales Transportation Systems B.V.;2;;;;;;;2
The Branding Boutique B.V.;;;1;;;;;1
The Broadcaster B.V.;1;;;;;;;1
The Curious Network;;1;;;;;;1
The Five Points - Bar & Drink Society;1;;;;;;;1
The Next Speaker;1;;;;;;;1
The Offshore Partners B.V.;;;;1;;;;1
The Organizing Boutique;;;1;;;;;1
THE OSPAR COMMISSION;2;;;;;;;2
The Punchy Pack B.V.;2;;;;;;;2
The Retouched Company;1;;;;;;;1
