;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5110 - Verblijf extern;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9302 - Laboratoriummaterialen;9570 - OCW specifiek;Eindtotaal
C + C Groep;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
C&B Products;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C. Beumer system. coachen, opstell. & train.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C. Visscher-den Uijl-boekwinkeltjes.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
C.M.J. Schols B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cadeaubonnen.nl B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café De Klikspaan;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café De Sigaar;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café De Snor;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café du Midi B.V.;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Lent;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Restaurant De Biechtstoel;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Restaurant De Paalkoepel B.V.;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Restaurant Rootz B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Singelier;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café XO Haarlem B.V.;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café-Restaurant Amier;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café-Restaurant Pan;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CAI-Opleidingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Calendula B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Call Information Technology B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Campus Hotel;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cannock Incasso Den Haag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Cannock Incasso Rotterdam;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Canon Nederland N.V.;;;;;;;;;;;;;;;;;;;;2;;;1;;;;1;4;1;3;;;1;;;;;;;;;;;;;5
CanvasCompany.nl B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
CAOP;;;;;1;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;3;;;;3
Cap Invest B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Capgemini Nederland B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;8;;;7;;;;;;;;;;;;;8
Capwell B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Card Vision B.V.;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Cardprotector B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Careerhandling B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Carlton Ambassador Hotel B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Carlton Hotel Collection;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Carlton Hotels Nederland B.V.;;;2;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Carolien van der Schoot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Cartoonkantoor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2
Casa Deli;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Casos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Cater & Co;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Catering Broodje Gesmeerd;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Caterique Partyservice en Catering;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cathreine B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CBRE B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;2
CDA Langedijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Cebook;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Cécilia Gauvin Consulting;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
cegeka-dsa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Celebi Advocatuur B.V.;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Cendris Customer Contact B.V.;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Centipede Events B.V.;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Centraal Boekhuis B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;1
Centraal Bureau voor Genealogie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;2
Centralpoint Amstelveen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;1
Centralpoint Nijmegen B.V.;;1;;;;;;;;;;;;;;;;;;;;;1;;;;7;8;4;5;4;5;1;;;;;;;;;;;;;9
Centric Netherlands B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;7
Centrum Proza;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Centrum Quadraat;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Cervantes;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CGI Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;7;;;;;;;;;;;;;;;;7
Charity Service;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Chef marketing;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
China Air Service;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
China Express NoodlXL;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Chinees Indisch Restaurant Tai Soen;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Chip Bizz B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Chocolaterie Le Cacao;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Chop B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Chris Booms Fotografie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Christelijke Hogeschool Windesheim;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Chubb Fire & Security Apeldoorn;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1
Ciao! Ciao! B.V.;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cimsolutions;;;;;;;;;;;;;;3;;;;;;;;;;;;;;1;;7;;;6;;;;;;;;;;;;;7
Cinop Advies B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CINOP B.V.;;;;;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Cinq ICT;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Circuswerkplaats Circaso;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CIRFOOD Netherlands B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Citadel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Citrus Andriessen B.V.;;;;;;;;;;7;;;;;;;;;;;;;2;;;;;;;2;;;;;;;8;;;;;;;;;8
Citylife B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Claire de Haan Communicatie;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Claranet Benelux B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Clear Effect;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Clearfields Producties B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Clipit News B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Cloose;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Clou B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Clou, voor Marketing, Informatie en Research;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
CLTR - Culture in Control;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CM Partners B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CM.COM Netherlands B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2
CNV Connectief;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Coachen in contact;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Coaching Academy International;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
cocktail-shaken.nl;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Code & Coffee B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Collect Car B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
College of Multimedia;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Colourful People B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Combell B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1
COMBICO;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
CombiCraft B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Comcross;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;2
Comedytrain Impresariaat B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Common B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Community Network Groningen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;3;;;;;;;;;;;;;;4
Compaijen C&C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Company Care Network;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Company Webcast B.V.;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Company.Info B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
COMPAREX Nederland B.V.;;;;;4;;;;;;;;;;;;;;;;;;;;;;1;7;4;8;7;2;5;;;;;;2;;;;;;;9
Compass Group Nederland B.V.;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;4
Computacenter;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;2;;;;;;;;;;;;;;;;4
Compu'Train;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Computrain Opleidingen;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Concert- en lespraktijk R. Seinstra;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Conclusion B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Conducto B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Conducto Opleidingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Conferencing4All;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;2
Congres- en Studiecentrum Twente B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Congresbureau KIVI NIRIA;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Connected Information Systems B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Conrad Electronic Benelux B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Conrado;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Consumentenbond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Contact Communicatietrainingen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Content Strategy B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Convoi Nederland;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Coolblue B.V.;;1;;;1;;;;1;;;;;;;;;1;;;;;1;;;;;;2;;;;;;;;;;;;;;;;;2
Coöperatie De Betekenaar UA;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1
Coöperatie SURF UA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;2
Coosto B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;2;;;2
Copy 76;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Copy Right ! Helpman;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Coralview B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Core Commit;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Corner-Stone Holding B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Correctbook Europe B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Courius B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cover;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Crazy Holding;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Creataal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Creative Colors;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Creative Learning;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Crewlink Ireland Ltd.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Cristien van der Woude;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Croonwolter&dros B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;;2
Cross Cultural Bridges;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CSU B.V.;;;;;;;;;;;;;;;;;;4;;;;;1;;;;;;;;;;;;;;;;;;;;;;;4
Ctac N.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cubord Reclameborden B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2
Cuisine et Culture;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Culturele Vacatures B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cultuurmakelaar;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Cultuurmarketing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Cultuursporen;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Cultuurwerf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
CURA Preventie B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Curltalk;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Customeyes B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2
CVS/ME Medisch Centrum B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CWM van Sante;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cyklop Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Cynthia Boll Photography;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Cyntrix;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
D&B;;;;;2;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
D&H advocatuur en mediation;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
D. Allewijn Mediator;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
D. Braun B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
D.E.A. Roemajauw;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Da Vinci B.V.;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
DaBa Hummen B.V.;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Dacosta Photography;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Dagelijks Lekker B.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Daliem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;2
Damani Communications;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
D'Amici;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Daniglas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
DANS B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;1
Daphne Heemskerk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2
DARA B.V.;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
darch digitaliseert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2
Dare To Be IP B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Database van Verdwenen Molens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
DB Audio Video Systemen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
De Algemene Boekhandel;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
De Argumentenfabriek B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;2
De Baak Administratie;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
De Baak B.V.;;;;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
De Baan en Dobber B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Blank Houten Meubelmarkt Alkmaar;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
De Boerinn B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
De Bootsmannen B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Boxx;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
De Branding Utrecht B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Culturele Zaak;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
De Dozenhal B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
De Drie Gezusters;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Duiventil Groningen;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Edyssee;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Eilanden;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
De frietbakkerie;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
De Gelaarsde Kat;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Gezonde Zaak B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Gido Stichting;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Goey-Koot;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Gouden Handen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Gouden Wok Zuiderpark;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Groene Grachten B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
De Grote Frederik;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Heeren van Driebergen B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De HorecaCoach Nederland;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
De Huisvester;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
De Jong Psycholoog voor Arbeid en Vitaliteit;;1;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
DE KEMPEL;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
