Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3160 - Uitbesteden accountancy en financien;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;9302 - Laboratoriummaterialen;9590 - V&J specifiek;Eindtotaal
A-Mac B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;1
Amatec Technische Veren B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Amaze Escape Events;;;1;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Amazing Bread Company B.V.;;;1;;;;1;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;2
Ambachtelijke Chocolade Enzo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ambachtelijke Slagerij Kevelam;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ambachtelijke Slagerij van Elten;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ambachttechniek;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;1
Ambala Tandoori Take-Away & Sweets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ambiq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6
Ambitious;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ambius B.V.;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;4;;;;;;;4
Ambulance Amsterdam B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Ambulance Oost locatie Almelo;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AmbulanceZorg Limburg-Noord;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AMD automotive fiscalisten B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ameland Adventure;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
American & Efird Global, LLC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
American Roadhouse B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amerikana B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amerpodia B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amersfoortsche Stadsbrouwerij De Drie Ringen;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ames Autobedrijf B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
AMETEK B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
AMI Advocaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AMI Maastricht;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amici IT B.V.;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2
Amis Services B.V.;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Amistad B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Ampelmann Netherlands B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Amplooi;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amstelhoeck;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amstelkade (Zorgboerderij);;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4
Amstelparkrestaurant Rosarium B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amstelwake-up;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdam Boats B.V.;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Amsterdam City Centre B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdam Cupcake Company;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Amsterdam Dungeon B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdam Flowers;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdam Forest Hotel B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdam Shooting Events B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdams ADR Instituut B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Amsterdams Ballonnen Bedrijf;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amy Service B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Amygdala B.V.;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anac Tanken B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Anachroon Therapie;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AnalitiQs B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Anca Psych̩ & Gedrag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Andale;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Andere Wereld, Therapie & Training;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AndereStart;;;;;4;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;4
AndereWijn B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Andermanskeuken;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Andersson Elffers Felix;;;;;1;;;;;4;;;;;;;;;;;;;;;;;;4;;;;;;;3;5
AndersVeranderen;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Andr̩ Dokter Horeca B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Andrea Saes;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Andree Troost Geluidstechniek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1
Andrevo Naaimachines B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Andromeda Advies en training;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Angela Wijers Trainingen;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Angelieke Stikkel;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Angelique Fierens;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Angenent Huisartsenpraktijk B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Anik Advocaten B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anita Bakker Trainer Coach Acteur;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Anita van de Linde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Anje Kel Advies;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anje-Marijcke van Boxtel;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anke Boelens Interieurvormgeving;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anker & Anker Opleidingen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anker & Kompas;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anker Management;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ankerkade B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anna Pin Vertalingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Annabelle de Jong;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anne Boermans Coaching en Counseling;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Anne Frank Stichting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Annechien Steenhuizen Produkties;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anne-Greet W. van Rootselaar;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anne-Marie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anne-Marie Spin zangdocent;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Annemarie Wijnbergen, coaching, Train. & Med.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Annemarie Willems Producties;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Annemiki's Gallery/Atelier;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Annika Lau;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Annita's Hair@Home;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoigo Services Limited;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;2
Anoniem 1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem 11;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Anoniem 12;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Anoniem 13;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
Anoniem 14;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem 15;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem 16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Anoniem 17;;;1;;;;1;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;1
Anoniem 18;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Anoniem 20;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1
Anoniem 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;1;3
Anoniem 22;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem 23;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Anoniem 24;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem 25;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Anoniem 26;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem 27;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem 3;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem 4;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;1
Anoniem 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anoniem 6;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem 7;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Anoniem 8;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoniem 9;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Another Way B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anovis B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ANP Pers Support Benelux B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;2
ANP Photo;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;1
Ans Dekkers Fotogravin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Ansul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Antalis B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;1;1
Anthea Training & Coaching;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Anticimex;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;1
Antoine Bossers t.h.o.d.n. Slagerij Maros;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Antropia B.V.;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2
ANWB B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;1
ANWB-Rijopleiding;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Any Lamp;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1
AO Core B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AOC de Groene Welle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AOC Snijders B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
AOG Contractonderwijs B.V.;;;2;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
AOG Groep/Buyten;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AON Nederland C.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
APAC Services B.V.;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;;;1;;;;;;;2
Aparthotel Delden;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
APCOA Parking Nederland B.V.;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
APE Public Economics B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4
Apeldoornse Bierbrouwerij De Vlijt B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aperitivo B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
apetito B.V.;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Apex Global B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
APG Asset Management N.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
APG Service Partners B.V.;;;1;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;4
AP-Interieurarchitect;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
A-Point B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Apollo13;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Apostolou Consultancy & Advice;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Apotheek Almere Haven;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Cleij B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Karsten B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Apotheek SPITS-ReZA Reg. Zrginstell. Apotheek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Wierden B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Ypenburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Apotheekhoudende huisartsenpraktijk Jaspers;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Apotheken Almere Buiten B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apothekers Combinatie Veendam B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Appel Praktijk B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Appelscha-Outdoor;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Appjection B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Applied Biosystems;;;;;;;;;;;;;;;;;;;4;;;;1;;2;;;;;;;;;7;;6
Applied Research Laboratory Eur. (ARLE) B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Apps B.V.;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2
APS B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
AQP Theaterproducties;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Aqua Chain Holland B.V.;;;;;;;1;;;;;1;;;;;;1;1;;;;;;;;;;;1;;;;;;1
Aquacare Europe B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Aquaco B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;1
Aqua-Electro B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Aquarius Repro;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
AR Updates B.V.;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ARA Groep B.V.;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;1
Arab. en Koerdisch Sorani Tolk en Vertalingen;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arab. Translation Service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
AraBisque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arabworld.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arado Party Solutions;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ARAG SE Nederland;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Araz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arb.psych. Adv.bureau J.J. van den Broek B.V.;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Arbe Dienstverlening B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4
ArbeidsBrein;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arbeidskundig Bureau Wim Ambagts B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arbo Advies Ruigewaard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ARBO Opleidingscentrum B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arbo Safe B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;1
Arbo Unie B.V.;;6;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;6
Arbo-Rie-Support B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ArboVitale B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ARCADIS Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Archipel;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Architectuurcentrum Aorta;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
ArchiXL B.V.;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1
Ardea Auto Hoofddorp;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Ardis Organisatieontwikkeling B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3
A-Rea Artsen en Arbeidsdeskundigen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Arehbo (Service & Advies);;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arend Buitenhuis Consultancy;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Arenda Oomen Fotografie;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;1
Arenda Vos Onderwijskundig Ontwerp en Advies;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arendje Verhuur B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arendshorst Buitenactiviteiten;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ArendSmits;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Argus Etiketten B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1
Arian Tuintechniek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;2;4
Arie Kievit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Aristo Amsterdam B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;1
Arjan&;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ArjoHuntleigh Nederland B.V.;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;2;2
Arkiva Horeca B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arma Verhuur Horeca B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Armaere B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ArmSlag ArbeidsmarktOpleidingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arnage Horeca B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Arnauld Geschenken B.V.;;;1;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;1
Arne Vissers Beheer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arnhemse Fijnhouthandel B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arno Roozeboom Vakfotografie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arno van 't Hoog - Wetenschapsjournalistiek;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arnold Verwiel B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arob Antennebouw B.V.;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;1;;;;;;2;2
ARP Nederland B.V.;;;;;;;;;;;;;1;;;;;;;;;3;1;;;;;;;;;;;;;3
Array Media B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arriva Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arriva Touring;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arro Tentverhuur;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ARS Traffic & Transport Technology B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7
ARSAMIRO Rotterdam B.V.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arseus Dental Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Art & Allposters International B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Art 4 U;;;1;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;2
Art for More;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Art Systems B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Art Unlimited B.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Art. en Evenement. Stef Arntz/Streetwise B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Artalon Gedenkbeelden;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Artas Beheer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Artiestenbureau van Otterloo B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Artiestenverloningen B.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Artifex Tolk- en Vertaalbureau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Artige B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Artihove Regina B.V.;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Artimat B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Artistic Vice;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arts & Dennissen Catering;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Arts en Zorg Praktijk Atrium/Goeverneur;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
ARTTRA Cultureel Organisatiebureau;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
ARYBA talen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AS 21 B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
As Automatiserings Service Beheer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Asaya;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ASB Security B.V.;;;;;;;;;;;;;2;;;;;;1;;;;;1;;;2;;1;;;;;;;3
Ascesis B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Ascom (Nederland) B.V.;;;;;;;;;;;;;1;;;;;1;1;;;;1;;;;;;1;;;;;;3;3
Asecos B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;1;1
Asessor B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Asian Boulevard;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ask Roger!;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Asmani Project Management;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Asolutions B.V.;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1
