Leveranciers;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;7-Huisvesting
SV Kadoelen;1;;;;1
Sw Meesters in Totaalonderhoud;1;;;;1
Swakhoven;1;;;;1
T Heutink Huis;1;;;;1
'T Reeuwijkse Hout Restaurant Paviljoen;1;;;;1
'T Voorhuis Hotel-Restaurant-Grandcafe;1;;;;1
T&G Terrein- en Groenvoorziening;2;;;;2
T&T Compet&T;2;;;;2
T. van der Weerd;1;;;;1
T. van Deuveren Houthandel;1;;;;1
Tabak Installatietechniek;1;;;;1
Talen Houtbewerkingsmachines;1;;;;1
Tango Properties;4;;;;4
TapToo;1;;;;1
Taverne Meer & Bosch;1;;;;1
TBI Techniek (incl. Croon Electrotechniek, Wolter & Dros, CWF);4;;;;4
TBTA;1;;;;1
Te Werve Landgoed;1;;;;1
Tech Elektro;2;;;;2
Technisch Buro Boshoek;1;;;;1
Technisch Buro Kaptein;1;;;;1
Technisch Service- en Handelsburo Schipper B.V.;1;;;;1
Technische Unie;4;;;;4
Technoconstructie Aalten B.V.;2;;;;2
Technogym the Wellness Company;1;;;;1
Technolab;2;;;;2
Teesing;1;;;;1
Teeuwissen Rioolreiniging;2;;;;2
Tele2 (incl. Versatel, BBeyond);1;;;;1
Telio Nedeland;1;;;;1
Telstar Medical Components B.V.;1;;;;1
Temp-Rite Internationale;1;;;;1
Ten Brinke Interieurbeplanting;1;;;;1
Ten Brummelhuis Glas- en Schilderwerken;1;;;;1
Ten Dam Projecten;1;;;;1
Tenge;1;;;;1
Tennis Totaal;1;;;;1
Tent Levering;1;;;;1
Ter Horst Woondecor ;1;;;;1
Terberg Systeemintegratie;1;;;;1
Termifa;1;;;;1
Tes Installatietechniek;4;;;;4
Tetterode Natuursteen;1;;;;1
Textiel Services Rijnmond B.V.;1;;;;1
Textiel Ten Kate;1;;;;1
The Colour Kitchen;1;;;;1
The Security Company;1;;;;1
Theater Hotel Almelo;1;;;;1
Thom H. v.d. Boon BV;1;;;;1
Thunnissen onderhoud;1;;;;1
ThyssenKrupp;1;;;;1
TIBN Technisch Beheer & Onderhoud B.V.;1;;;;1
Tieben Bouwbedrijf;2;;;;2
Tiemozon Binnenzonwering-Horren;1;;;;1
Tijssens Electrotechniek;3;;;;3
Timmerbedrijf De Markt;1;;;;1
Timmerbedrijf Jos Bos;1;;;;1
Timmers Bouwbedrijf;3;;;;3
TMA Kluizen;1;;;;1
TMC Project;1;;;;1
Toolexpert Benelux B.V;1;;;;1
Topbloemen Nederland;1;;;;1
Topsportcentrum Rotterdam;1;;;;1
Torenvliet Holding B.V.;;;1;;1
Totaal Hekwerk;1;;;;1
Totaal Service Utrecht B.V.;3;;;;3
Total Facilities Services V.O.F.;;;1;;1
Total Project Care B.V.;2;;;;2
TotalElektra;1;;;;1
TotalKlima;1;;;;1
Tower Leisure (Haagse Toren);1;;;;1
Toyota (incl. Louwman);1;;;;1
Transmo (Caru Containers);1;;;;1
Travel Card Nederland;;1;;;1
Treasury International Association of Prosecutors;2;;;;2
Trebbe;1;;;;1
Tref Ego Substrates;1;;;;1
Trefpunt Balkburg;1;;;;1
Tresforte Beheer;3;;;;3
Triade;1;;;;1
Trigion Beveiliging (incl. Csu Security, PreNed, Falck Security, Teleguard);1;;;;1
Triple-Eye;1;;;;1
Tuinaanleg Takken;2;;;;2
Tuindomein;1;;;;1
Tuinland;1;;;;1
Tuinplus B.V.;1;;;;1
Twente Milieu;1;;;;1
Ubink Sportvelden;1;;;;1
UBP;4;;;;4
Uit koken / Diner Thuis;1;;;;1
Uitleencentrum Beeldende Kunst;1;;;;1
ULC Technisch Beheer;2;;1;;2
Unica (ICT Network, Technisch beheer, Installatietechniek, Automatic Sprinkler);1;;;;1
Unipas;1;;;;1
Urgent Belettering;1;;;;1
UTS UniGroup Worlwide incl. UGRN, APC verhuizen;2;;2;;2
UW Holding incl. Flora;1;;;;1
uw-aannemer.com;1;;;;1
V.O.F. Zeilmakerij Kolbrink;1;;;;1
Vabeog Amersfoort;2;;;;2
Van Baar Schilders;1;;;;1
Van Boeijen;1;;;;1
Van Dam Technisch Beheer;2;;;;2
Van De Acker Beveiliging;1;;;;1
Van de Blaak Installatiebedrijf;1;;;;1
Van de Linde Bouwbedrijf;1;;;;1
Van den Dool Beveiligingstechniek (incl. Detec);1;;;;1
Van den Heuvel Zoetermeerse Glashandel;1;;;;1
Van den Hoogen Security;1;;;;1
Van den Oever Zaaijer & Partners Architecten;1;;;;1
Van den Pol Elektrotechniek;1;;;;1
Van der Graaf De Molen;1;;;;1
Van der Heiden Schilderwerken;2;;;;2
Van der Kroft's Party Rental;1;;;;1
Van der Laan's Glasbedrijf V.O.F.;1;;;;1
Van der Loo Projectstoffering;1;;;;1
Van der Meer Grondverzet- en aannemingsbedrijf;1;;;;1
Van der Sterren Hovenier;1;;;;1
Van der Valk Hotels;2;;;;2
Van der Veekens;1;;;;1
Van der Velden Rioleringsbeheer;1;;;;1
Van Dijk IJzerhandel;1;;;;1
van Dijk Projectinrichting;1;;;;1
Van Dijk Rioolservice B.V.;1;;;;1
Van Dinther Woninginrichting;1;;;;1
Van Dorp Installaties, Service Equipe, Prolux;1;;;;1
Van Duijnen Koffie;1;;;;1
Van Enckevort Groothandel;1;;;;1
Van Esch Boomkwekerij, Groenvoorzieningen, Hoveniersbedrijf;1;;;;1
Van Gansewinkel;5;;;;5
Van Gelder;2;1;;;2
Van Ginkel Groep Hoveniersbedrijf (incl. Pius Floris);2;;;;2
Van Helvoirt Groenprojecten;1;;;;1
Van Hulsel;2;;;;2
Van Ierssel Ingenieursburo;1;;;;1
Van Kessel Sport en Cultuurtechniek;1;;;;1
Van Keulen Interieurbouw (incl. Magista);2;;1;;2
Van Kooten Loodgieters- en Installatiebedrijf;1;;;;1
Van Lanschot Chabot;1;;;;1
Van Leeuwen Glashandel;1;;;;1
Van Liempd Tuin en Parkmachines B.V.;1;;;;1
Van Olst Schilders B.V.;2;;;;2
Van Praag Instituut;1;;;;1
Van Raaij Groenverzorging;2;;;;2
Van Rossum Ijzerhandel;1;;;;1
Van 't Hof Rijnland Vastgoedmanagement;1;;;;1
Van 't Veen Schildersbedrijven B.V.;2;;;;2
Van Vliet Contrans;1;;;;1
Van Vliet Groep;1;;;;1
Van Voorst Projektendienst;1;;;;1
Van Vugt Partyverhuur;1;;;;1
Van Wakeren Beveiliging;1;;;;1
Van Werven;1;;;;1
Van Wijk Onroerend Goed;2;;;;2
Van Wijlen;4;;;;4
Van Wijnen;2;;;;2
Van Zoelen Aannemersbedrijf;1;;;;1
Vandeputte Safety;1;;;;1
Variant Loodsenbouw;1;;;;1
VBT Groep;2;;;;2
VCK Groep, Travel & Logistics;1;1;;;1
Veenstra Schilderwerken;1;;;;1
Vega Projects International (Brain of buildings);1;;;;1
Veld Koeltechniek;1;;;;1
Veld Service;1;;;;1
Veldman Advies;1;;;;1
Veldmans Technische Handelsondernem;2;;;;2
Velopa Citystyle;2;;;;2
Vending@Work;;1;;;1
Venema Communicatie;2;;;;2
Veolia Gebouwenbeheer;2;;;;2
Vepa office furniture;;;1;;1
Verathon Medical;1;;;;1
Verboon Verhuur, Groen;1;;;;1
Verdouw Gouda Bouwprodukten B.V.;1;;;;1
Vereniging Tot Behoud van Natuurmonumenten;1;;;1;1
Vereniging VNO-NCW;1;;;1;1
Verffabriek H. De Vos & Zn.;1;;;;1
Verhey Toldijk;1;;;;1
Verhoff Elektrotechniek;1;;;;1
Verhuisbedrijf Nobbe;;;2;;2
Verizon Nederland (incl. VB Verizon Business);1;;;;1
Verloop B.V. Glashandel;1;;;;1
Vermaat Leisure, Horeca, Service;2;;;;2
Verwey Vastgoed (incl. Pronam);3;;;6;6
Verwol Projektafbouw;1;;;;1
Verzinkerij Schippers;1;;;;1
Vesting Finance Incasso;;1;;;1
VFM Facility Experts;1;;;;1
VH Van Heugten Engineering;1;;;;1
Victoria Hotel;1;;;;1
Videma;1;;;;1
Vidiline Voting;1;;;;1
Vierhout - Metaal;1;;;;1
Villa Augustus Hotel-Restaurant;1;;;;1
Villa Jongerius;1;;;;1
Villa Merula;1;;;;1
Villa Sonsbeek (vh Dokal);1;;;;1
Vink Kunststoffen;1;;;;1
Vink Lisse;1;;;;1
Vink-Van der Meer Electro;1;;;;1
vintageplus;1;;;;1
Visker Interieurbouw;1;;;;1
Visscher Verhuur Zwolle;1;;;;1
Viteau Watercoolers (incl. Viteau Direct);;1;;;1
Vitens;;5;;;5
Vitrona;1;;;;1
Vitrov Bouw en Vastgoed;2;;;;2
Vixia Kans;1;;;;1
Vodafone (incl. Libertel);;;1;;1
Voetbal International;1;;;;1
Vof H.& J. Keunen;1;;;;1
Vollebregt Installatie;1;;;;1
Voogdgeert Schilders;1;;;;1
Voorn en Koning Trading;1;;;;1
Voorneveld Brandbeveiliging;1;;;;1
Voortman Kantoormeubelen;1;;;;1
Voskamp Groep;1;;;;1
Vriesia Schildersgroep;1;;;;1
Vvbhusan;1;;;;1
W. Schut Groenvoorziening;2;;;;2
W.B. van den Berg Handels- en Ingenieursbureau;1;;;;1
W.Th. Pot en Zoons;2;;7;;7
Wageman Onderhoud en Montage;1;;;;1
Wal, Gerrit van Der;1;;;;1
Waprof Hoensbroek B.V.;1;;;;1
Warande;1;;;;1
Wardenburg Beveiliging;1;;;;1
Warema (vh Delta Nederland);1;;;;1
Warenhuis Vanderveen;1;;;;1
Wasco Holding B.V.;1;;;;1
Waterbedrijf Groningen;;3;;;3
Waterlogic/Watercompany International;1;1;;;1
Waternet;3;4;;1;4
Webcasso;;1;;;1
Wedeka;1;;;;1
Weekblad De Groene Amsterdammer;1;;;;1
Wegener Nieuws Media (incl. De Gelderlander, De stentor);1;;;;1
Wehako Koel- en Horeca-Apparatuur;1;;;;1
Wensink Automobiel Bedrijven;1;;;;1
Werkplaats de Rijk;1;;;;1
Wester Ij-Dock C.V.;;2;;;2
Westfalen Gassen Nederland;1;;;;1
Wewo Europe;1;;;;1
Wezo Groep ;1;;;;1
Wiebe Wesstra;1;;;;1
Wieberdink's Ijzerhandel;2;;;;2
Wiel Dirckx Schilderwerken;1;;;;1
Wielemaker;1;;;;1
WIJ Strandclub;2;;;;2
Wijbenga Interieurbetimmering;1;;;;1
Wil Materiaal en Diensten voor Gehandicapten;1;;;;1
Wildeboer Bouwbedrijf;1;;;;1
Willem Wierda;1;;;;1
Willems Classics;1;;;;1
Window Gard Safety & Sun;1;;;;1
Winkwaves;1;;;;1
Winoldi Rotterdam;1;;;;1
Witte Wielsport V.O.F.;1;;;;1
WL Hospitality Group BV;1;;;;1
WMD Waterleidingmaatschappij Drenthe;;3;;;3
WMF;1;;;;1
Wolters Kluwer (incl. Kluwer);1;;;;1
Wonen Limburg Vastgoedontwikkeling;2;;;;2
Woningstichting SWZ;2;;;;2
Worksphere - Stork en Strukton;6;;;;6
World Forum Convention Center;5;;;;5
WPA-Robertus Zeker & Vast B.V.;1;;;;1
WPM Groep (incl. Kantoormanagement);5;;;;5
WTC Schiphol;1;;;;1
Wurth nederland;1;;;;1
X.L. den Uijl;1;;;;1
Xerox;1;;1;;1
Xibeo B.V.;1;;;;1
XK Groep;2;;;;2
Ynno;1;;;;1
Zaalverhuur 7;1;;;;1
Zaanstad Hotel;1;;;;1
Zandfoort Aan De Eem;1;;;;1
Zegwaard Rioolbeheer;1;;;;1
Zicht Verzekeringsmakelaars;1;;;;1
Ziggo (vh Casema);1;;;;1
Zijlstra Schilders BV;1;;;;1
Zirkzee;1;;;;1
ZIUT;1;;;;1
Zondervan;1;;;;1
Zonneman;1;;;;1
Zorgkompas;1;;;;1
Zuidkoop Natural Projects;1;;;;1
Zwager Beverwijk B.V.;1;;;;1
Eindtotaal;9;10;7;6;11
