Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Infrastructure Services & Projects B.V.;1;;;;;;1
ING Bank;1;;;;;;1
Ingenieursbureau Walhout Civil B.V.;2;;;;;;2
Inhoudelijke Zaken B.V.;2;;;;;;2
Inklinks;1;;;;;;1
Inn Events Company B.V.;2;;;;;;2
Innergo B.V.;3;;;;;;3
Innovatie en Duurzaamheid B.V.;4;;;;;;4
Innovatie Groep Nederland;2;;;;;;2
Innovatiegilde Pakhuis Noorderhaven B.V.;1;;;;;;1
Innovero Software Solutions B.V.;1;;;;;;1
Inntel Hotels Rotterdam Centre;2;;;;;;2
Inquest B.V.;5;;;;;;5
Insites Consulting;4;;;;;;4
Inspiration Company Nederland B.V.;1;;;;;;1
Inst. Milieu-/Systeem-Analyse Amsterdam B.V.;1;;;;;;1
Installatiebedrijf J.C. Barendse;1;;;;;;1
Installatiebedrijf Lanting B.V.;1;;;;;;1
Installatiebureau Geka B.V.;1;;;;;;1
Instituut van Internal Auditors Nederland;1;;;;;;1
Instituut voor Positieve Psychologie;1;;;;;;1
Inter (VCD) B.V.;3;;;;;;3
Inter Access B.V.;7;3;;;;;7
Interballast B.V.;3;;;;;;3
Intergarde Beveiligingstechniek B.V.;1;;;;;;1
Intergo B.V.;1;;;;;;1
Internat. Transportbedr. Jan Dohmen B.V.;1;;;;;;1
Internet New Business Concepts B.V.;1;;;;;;1
Internetbureau Haboes B.V.;2;;;;;;2
Intersafe Groeneveld B.V.;2;;;;;;2
Intertek Nederland B.V.;1;;;;;;1
Intertek Polychemlab B.V.;3;;;;;;3
Intervias;1;;;;;;1
Intrum Justitia Nederland B.V.;1;;;;;;1
Intus Workforce Solutions B.V.;1;;;;;;1
Invention Design;2;;;;;;2
Investm. in Sustainable Innovations (I.S.I.);2;;;;;;2
inZicht fotografie en advies B.V.;1;;;;;;1
Iona Des Indes B.V.;1;;;;;;1
I-PA;1;;;;;;1
Ipcon;1;;;;;;1
IPD European Social Property Services;;1;;;;;1
IPM Integraal Project Management;4;;;;;;4
IPMA Certificering B.V.;1;;;;;;1
Ipsos B.V.;2;;;;;;2
Ir Carl Bossier Arch. en Ruimtel. Ontwikkel.;1;;;;;;1
Ir. H.J. VD Wolfshaar Consulting & Coaching;1;;;;;;1
Ir. P.B. de Bruijn Architekt B.V.;;1;;;;;1
Iron Mountain Nederland B.V.;3;;;;;;3
ISRIC;1;;;;;;1
Istimewa Elektro;1;;;;;;1
ISTS Inter. sup. & Transcribing Services B.V.;1;;;;;;1
IT Comfort B.V.;1;;;;;;1
IT Management Group;1;;;;;;1
IT Visors ECM B.V.;2;;;;;;2
ItaQ;7;6;;;;;7
Itépro B.V.;2;;;;;;2
Itera B.V.;1;;;;;;1
ITS Hendrion B.V.;1;;;;;;1
IT-Staffing Nederland B.V.;8;7;;;;;8
Ivo Broekhuizen Communicatie;2;;;;;;2
Ivrm Communicatie B.V.;1;;;;;;1
iWink B.V.;1;;;;;;1
Ixcon B.V.;3;;;;;;3
J. Feitsma Tuinaanleg en Groenvoorziening;1;;;;;;1
J. van 't Spijker B.V.;1;;;;;;1
J.A. Boer Kraanverhuur;1;;;;;;1
J.A.E. Teunissen Advies;4;;;;;;4
J.R.I. Communication;1;;;;;;1
Jaarbeurs-Servicebureau;3;;;;;;3
Jachthaven Hindeloopen B.V.;1;;;;;;1
Jacob Moehn IT Expertise B.V.;1;;;;;;1
Jacobi Assurantiën en Financieringen B.V.;1;;;;;;1
Jacques Handelé Antwoorden en Vragen;2;;;;;;2
Jakajima;1;;;;;;1
JAM;1;;;;;;1
Jan Schouten-Autobanden B.V.;1;;;;;;1
Jan Schraven Advies;1;;;;;;1
Janoq B.V.;1;;;;;;1
Jassentechniek Nederland;1;;;;;;1
JAWs IT t.h.o.d.n. Nivo resultaatmanagers;2;;;;;;2
Jbace;3;;;;;;3
Jean Cloos Art Direction B.V.;1;;;;;;1
jenb;;1;;;;;1
Jennissen Melkveebedrijf;3;;;;;;3
Jenny Kamstra communicatieadvies;1;;;;;;1
Jill Streefland Fotografie;1;;;;;;1
Jitscale B.V.;1;;;;;;1
JJ Future Furniture;1;;;;;;1
JJV Adv. en Proj.man. in Ruimtel. Vraagstukk.;4;;;;;;4
Jobhunt;3;;;;;;3
JongeHonden 2 C.V.;2;;;;;;2
joost schrijnen ruimte voor ontwikkeling;1;;;;;;1
Joost van Kasteren Mediaproducties;;1;;;;;1
Jopen Horeca Exploitatie B.V.;1;;;;;;1
Jozua Aanhangwagens B.V.;1;;;;;;1
Jubitana Advies;4;;;;;;4
Judith de Bruijn B.V.;1;;;;;;1
Julo Systeemwanden en Kantoorinr. B.V.;3;;;;;;3
Jummie;1;;;;;;1
Jungheinrich Nederland B.V.;1;;;;;;1
Juridische Raadgeving LNG B.V.;1;;;;;;1
Juris B.V.;2;;;;;;2
K&A Groep B.V.;1;;;;;;1
K. Naïri Office Management Services;2;;;;;;2
K.F.J.P. de Bont Holding B.V.;1;;;;;;1
K2 Infra-Consultants;5;;;;;;5
KAASHANDEL DE OSDORPER;1;;;;;;1
Kaliber Communicatieprojecten;1;;;;;;1
Kallewaard Catering & Partyservice;1;;;;;;1
Kameryck B.V.;1;;;;;;1
Kamp Media Groep;1;;;;;;1
KantoorExpert;1;;;;;;1
Kapellerput Conferentiecentrum;1;;;;;;1
Karel Stein Kabels & Leidingen;1;;;;;;1
Karina Alvarenga Fotografie;1;;;;;;1
Karres en Brands Landschapsarchitecten B.V.;4;;;;;;4
Kasteel Maurick B.V.;1;;;;;;1
Kasteel Oud-Poelgeest B.V.;1;;;;;;1
Kasteel Sterkenburg;1;;;;;;1
KatCom;1;;;;;;1
Keijsers Lundiform B.V.;1;;;;;;1
Keizer Culinair B.V.;1;;;;;;1
Kennedy Van der Laan;3;;;;;;3
Kenniscocreatie, onderzoek & advies;1;;;;;;1
Kennisinstituut Duurzaam Verpakken;2;;;;;;2
Kernel Facilities B.V.;2;;;;;;2
Kessels & Smit, Development Centers B.V.;1;;;;;;1
Keuchenius B.V.;1;;;;;;1
KeuzeWeg;2;;;;;;2
Keypoint Consultancy;1;;;;;;1
Keyprocessor B.V.;1;;;;;;1
Keyscript;1;;;;;;1
Kievitslaar;1;;;;;;1
Kikker Groep;1;;;;;;1
King Arthur B.V.;1;;;;;;1
Kiwa Nederland B.V.;4;;;;;;4
Kiwa Register B.V.;3;;;;1;;3
Klantocratie B.V.;1;;;;;;1
Kleine Leeuwte B.V.;1;;;;;;1
Klep Historisch Onderzoek;1;;;;;;1
KleurKwadraad;1;;;;;;1
KLM Health Services B.V.;2;;;;;;2
Kluwer Opleidingen;1;;;;;;1
KNMP Holding B.V.;1;;;;;;1
KOAC.NPC, Inst. voor Mat.-/Wegbouwk. Onderz.;2;;;;;;2
Kodos B.V.;1;;;;;;1
Koeman en Bijkerk B.V.;1;;;;;;1
Koenders Instruments B.V.;1;2;;;;;2
Koet Tuin- en Boomzorg;1;;;;;;1
Koetshuis Anneville B.V.;1;;;;;;1
Koi, Koi & Koi;1;;;;;;1
Kon. Landbouwk. Ver.-Acad. Voed., Nat. & Mil.;2;;;;;;2
Kon. Nederlands Aardrijkskundig Genootschap;2;1;;;;;2
Kon. Ver. Agent Halverhout-Zwart-Zurmühlen BV;1;;;;;;1
Kone B.V.;1;;;;;;1
Koning & Hartman B.V.;2;;;;;;2
Koning Willem I College;1;;;;;;1
Koninkl. Ned. Ver. v. Afval en Reinigingsman.;1;;;;;;1
Koninklijk Instituut van Ingenieurs;1;;;;;;1
Koninklijk Nederlands Waternetwerk;2;;;;;;2
Koninklijke Burgers' Zoo;1;;;;;;1
Koninklijke Haskoning DHV Groep B.V.;1;;;;;;1
Koninklijke Holl. Maatsch. der Wetenschappen;1;;;;;;1
'Koninklijke Metaalunie';1;;;;;;1
Koninklijke van der Most B.V.;1;;;;;;1
Koninklijke Vereniging van Nederlandse Reders;5;;;;;;5
Kontakt der Kontinenten;1;;;;;;1
Kookmeesters B.V.;1;;;;;;1
Kop Beveiliging B.V.;1;;;;;;1
Koppe Consultancy;1;;;;;;1
Korte Poten 1-3 B.V.;1;;;;;;1
Kortmann Waterbouw Advies;2;;;;;;2
KplusV organisatieadvies B.V.;3;;;;;;3
KPMG Advisory N.V.;1;;;;;;1
KPMG EDP Auditors;4;;;;;;4
KPN B.V.;2;;;;;;2
KPN Consulting B.V.;2;2;;;;;3
KPN Corporate Market;7;6;;;;;7
Kriteria;3;;;;;;3
Kronenburg Promotie & Begeleiding B.V.;1;;;;;;1
Kroon B.V.;1;;;;;;1
Krull Advies;2;;;;;;2
KRW-RIJN-NWOM;1;;;;;;1
KSB Repro;1;;;;;;1
KSG B.V.;1;;;;;;1
Kuijpers Beveiligingssystemen B.V.;1;;;;;;1
Kuiken N.V.;1;;;;;;1
Kuiper Bouw B.V.;1;;;;;;1
Kuiters idee en organisatie;2;;;;;;2
Kwaliteitsinstituut Nederlandse Gemeenten;1;;;;;;1
KWD Resultaatmanagement B.V.;1;;;;;;1
Kwink Groep B.V.;4;;;;;;4
KWR Water B.V.;4;;2;;;;4
KWS Infra Rotterdam;7;;;;;;7
L. Timmerman en Zonen B.V.;2;;;;;;2
L. van Vliet Vorkheftrucks B.V.;1;;;;;;1
La Red B.V.;1;;;;;;1
Laarhoven design International B.V.;1;;;;;;1
Laheij Gespreksleiding;1;;;;;;1
Lamet Bouwmanagement B.V.;4;;;;;;4
Landgoed Rhederoord B.V.;2;;;;;;2
Landgoed Zonnestraal B.V.;1;;;;;;1
Landmark Belvedere;1;;;;;;1
Landmeetkundig en Adviesbureau Meet B.V.;1;;;;;;1
Landustrie Sneek B.V.;1;;;;;;1
LANDWERK;2;;;;;;2
Langenhoff Bureau voor Omgevingsinrichting;2;;;;;;2
Language Unlimited B.V.;2;;;;;;2
Lares Communicatie;2;;;;;;2
Larssen Advies;3;;;;;;3
Lauwersoog Water Events B.V.;;1;;;;;1
Laverbe;1;;;;;;1
LBP Sight B.V.;4;;;;;;4
LE:EN Restaurant B.V.;1;;;;;;1
Lean Management Teachers;1;;;;;;1
L'eau B.V.;1;;;;;;1
Leene Communicatie;2;;;;;;2
Leeuwendaal Advies B.V.;7;;;;;;7
Leeuwenhorst Congres Center B.V.;1;;;;;;1
LEGOVERHUUR.NL;1;;;;;;1
Lemon Grass Gastronomie B.V.;1;;;;;;1
Lemon Scented Tea B.V.;4;;;;;;4
LemonLab. B.V.;1;;;;;;1
Lemz;1;;;;;;1
Lenders Constructie;1;;;;;;1
Lengkeek, Laarman & De Hosson;2;;;;;;2
Lensen Projectinrichters B.V.;1;;;;;;1
Leo Ringelberg Touringcars;1;;;;;;1
Leontien Total Sports B.V.;1;;;;;;1
Les Ombrelles;1;;;;;;1
Leukeleu B.V.;1;;;;;;1
Levend Verleden Utrecht;1;;;;;;1
Lex Maat Grafische Vormgeving;1;;;;;;1
Lexenzo;3;;;;;;3
LexisNexis Benelux;2;;;;;;2
Leye Nansen B.V.;1;;;;;;1
Leylines B.V.;1;;;;;;1
Liander N.V.;1;;;;;;1
Lichte Bries;2;;;;;;2
Lieke Boersma Vertalingen;1;;;;;;1
Lievens Communicatie B.V.;2;;;;;;2
Lievense Consulting Engineers;2;;;;;;2
Life Design B.V.;1;;;;;;1
LIFT;1;;;;;;1
Ligtermoet & Partners B.V.;1;;;;;;1
lijn43;4;;;;;;4
Like No Other B.V.;2;;;;;;2
Linde Gas Cryoservices B.V.;1;;;;;;1
Linguartis;1;;;;;;1
Linguist Link Europe;1;;;;;;1
Live Trainingen B.V.;1;;;;;;1
LiveOnlineEvents B.V.;2;;;;;;2
LIVOM;1;;;;;;1
Lloyd's Register Emea;1;;;;;;1
Lloyd's Register Nederland B.V.;2;;;;;;2
LMG Exhibitions B.V.;1;;;;;;1
Locatus;2;;;;;;2
Loenderveen, Waternet;4;;;;;;4
Logeion;1;;;;;;1
Lola Landscape Architects;1;;;;;;1
Loodgiet.- & Inst.bedr. M. Schroevers B.V.;1;;;;;;1
Loon- & Grondverzetbedrijf J.J. Bruisten;1;;;;;;1
Loon- Grondverzet- en Transportbedr;1;;;;;;1
Loonbedrijf T.A. Oskam B.V.;1;;;;;;1
Loonwerkbedrijf Kees Vooijs;1;;;;;;1
Lorje's Goedkope Kantoorboekhandel;1;;;;;;1
Lorraine Consulting;1;;;;;;1
Lotus Zeeland;1;;;;;;1
Louche;1;;;;;;1
Louis Hartlooper Stichting;1;;;;;;1
Louwers Uitgeversorganisatie B.V.;1;;;;;;1
LTC, secretariele ondersteuning;2;;;;;;2
LTP Impact B.V.;4;;;;;;4
Lubron Waterbehandeling B.V.;1;;;;;;1
Luke Bouwman B.V.;1;;;;;;1
Lydit B.V.;2;;;;;;2
Lynxx B.V.;2;;;;;;2
Lyreco Nederland B.V.;1;;;;;;1
Lysias Advies B.V.;4;;;;;;4
M. van Donk Partycater./Evenementenorganisat.;1;;;;;;1
M.M.V. Consultancy;2;;;;;;2
M+ Group B.V.;1;;;;;;1
M+P, raadgevende ingenieurs B.V.;3;;;;;;3
M3 Consultancy B.V.;2;;;;;;2
Maars Projecten B.V.;1;;;;;;1
Maarschalkerweerd Management B.V.;2;;;;;;2
Maas Communicatie B.V.;2;;;;;;2
Maas International B.V.;1;;;;;;1
Maasdam Broers Fischer advocaten;2;;;;;;2
Maasstroompjes;1;;;;;;1
Maatschap voor Communicatie;3;1;;;;;3
Maatschap Zeestraten;2;;;;;;2
Madeko Office Solution B.V.;1;;;;;;1
MADIBA movement in leadership;1;;;;;;1
Madurodam B.V.;2;;;;;;2
Maessen beleidscommunicatie B.V.;1;;;;;;1
Maesstede Catering B.V.;1;;;;;;1
Main B.V.;2;;;;;;2
Main Sales Europe B.V.;1;;;;;;1
MainMark B.V.;3;;;;;;3
Mainpress B.V.;1;;;;;;1
Maison van den Boer B.V.;1;;;;;;1
Makelaarskantoor Leonard;1;;;;;;1
MaMa Kelly B.V.;1;;;;;;1
Management Drives Holding B.V.;1;;;;;;1
ManEngenius B.V.;3;;;;;;3
Mangrove B.V.;4;;;;;;4
Mangrove Holding B.V.;1;;;;;;1
Manpower B.V.;1;;;;;;1
Manpower Personeelplanning;2;;;;;;2
Manutan B.V.;1;;;;;;1
MAP traffic management B.V.;3;;;;;;3
Maqutos B.V.;2;;;;;;2
Marcelien, Media & Presentatie;2;;;;;;2
Mare Holland B.V.;2;;;;;;2
Marieke Adrichem landsch.sarch./beeld. kunst.;1;;;;;;1
Mariënhof Amersfoort B.V.;1;;;;;;1
Marijke Broekhuijsen Acting;1;;;;;;1
Maritiem Museum Rotterdam;1;;;;;;1
Marjolein Klaassen Communicatie V.O.F.;1;;;;;;1
Marketresponse Nederland B.V.;2;;;;;;2
Marnateli Holding B.V.;1;;;;;;1
Martens Back Office;1;;;;;;1
Martijn Beekman Fotografie;1;;;;;;1
Martinair Vestiging Vliegveld Lelystad B.V.;1;;;;;;1
Martine de Wit hodn Het Nederlands Tekstbur.;1;;;;;;1
Marwing Beheer B.V.;1;;;;;;1
Masterplan Consultancy B.V.;3;;;;;;3
Match Mobiliteit;3;;;;;;3
Matchd;4;;;;;;4
Mauritshuis;1;;;;;;1
Maverick Advocaten N.V.;1;;;;;;1
Mavim B.V.;2;;;;;;2
MB Safety B.V.;1;;;;;;1
McCo Innovations B.V.;1;;;;;;1
MCI-Eurocongress V.O.F.;6;;;;;;6
MCK Engineering B.V.;2;;;;;;2
MCTI;2;;;;;;2
MD Techniek B.V.;2;;;;;;2
MdK Advisory;4;;;;;;4
MD-kwadraat;1;;;;;;1
Meddens Maddance Productions;1;;;;;;1
Media Point B.V.;1;;;;;;1
Mediagrip B.V.;3;;;;;;3
Mediaplanet Publishing House B.V.;1;;;;;;1
Mediavrouw;1;;;;;;1
Medizon B.V.;1;;;;;;1
Meerkantoor B.V.;1;;;;;;1
Meerservices Automatisering B.V.;1;;;;;;1
Meesterwerk Talen TM;2;;;;;;2
Meet & Connect 's-Hertogenbosch B.V.;1;;;;;;1
Meet & Discover! - Station033 B.V.;1;;;;;;1
Meeting Plaza Utrecht B.V.;2;;;;;;2
Meldkamer MG;1;;;;;;1
Meltwater The Netherlands B.V.;1;;;;;;1
Mendix Technology B.V.;1;;;;;;1
Mercedes-Benz Leiden;1;;;;;;1
Mercure Den Haag Central;1;;;;;;1
Merkator B.V.;1;;;;;;1
Merlins Touch;1;;;;;;1
Mess B.V.;1;;;;;;1
Messer B.V.;1;;;;;;1
Metabolic Coöperatief UA;2;;;;;;2
Metalet B.V.;1;;;;;;1
Metamorfose Vertalingen B.V.;1;;;;;;1
MetAnnick;1;;;;;;1
MeteoGroup Nederland B.V.;1;;;;;;1
Metos B.V.;1;;;;;;1
MetrixLab B.V.;2;;;;;;2
Mett;2;;;;;;2
MFP Music;1;;;;;;1
MGV Event Service B.V.;1;;;;;;1
MH Poly Consultants & Engineers B.V.;2;;;;;;2
MI+;1;;;;;;1
Michelle Muus Fotografie;1;;;;;;1
Michiel van Pelt Ruimtel. Adv. en Manag. B.V.;2;;;;;;2
Midden Research and Consultancy;1;;;;;;1
Miele Nederland B.V.;1;;;;;;1
Mier Entertainment;1;;;;;;1
Mijn Eigen B.V.;3;;;;;;3
Mijs Cartografie en Vormgeving;3;;;;;;3
Millers;1;;;;;;1
Milu B.V.;1;;;;;;1
Mindbench Active Media B.V.;2;1;;;;;3
MindinBusiness;2;;;;;;2
Mirjam Kroon Training en Advies;1;;;;;;1
Mission Matters Management Consultants B.V.;;2;;;;;2
Misteli Productions B.V.;1;;;;;;1
Mister Rotterdam;1;;;;;;1
Mizzle Media;1;;;;;;1
MK Partners B.V.;3;;;;;;3
MK2 Audiovisueel B.V.;1;;;;;;1
mmeer consultancy B.V.;4;;;;;;4
MMG Advies B.V.;3;;;;;;3
M'n Tante;1;;;;;;1
MNO Vervat B.V.;4;;;;;;4
Mobile Tulip;1;;;;;;1
Mobilee Consultancy B.V.;1;;;;;;1
Mobycon B.V.;2;;;;;;2
Moeleker Custom Cooking B.V.;1;;;;;;1
Mokum Events;1;;;;;;1
Molster Stedenbouw;2;;;;;;2
Momice B.V.;1;;;;;;1
Mondo Leone;1;;;;;;1
Moneypenny.nl B.V.;2;;;;;;2
Monument Sint Jacob B.V.;1;;;;;;1
Moodz eten & drinken;1;;;;;;1
Mooie projecten;3;;;;;;3
Moon Horeca Exploitatie B.V.;1;;;;;;1
Moop Mobility B.V.;1;;;;;;1
More Balls Than Most B.V.;1;;;;;;1
Morel Makelaars Instituut B.V.;1;;;;;;1
Mo-Ship B.V.;5;;;;;;5
Motel Assen B.V.;1;;;;;;1
Motel Haarlem Zuid B.V.;1;;;;;;1
Mothership B.V.;2;;;;;;2
Motion Consult B.V.;2;;;;;;2
Motivaction International B.V.;2;;;;;;2
Motshagen Advies B.V.;3;;;;;;3
Mott MacDonald B.V.;3;;;;;;3
Motus B.V.;1;;;;;;1
Movares Nederland B.V.;6;;;;;;6
Move Mobility B.V.;4;;;;;;4
MPS B.V.;2;;;;;;2
Mr. Hisse de Vries Bestuursrecht B.V.;3;;;;;;3
Mr. S.A. Hattink - Stichting Beheer;2;;;;;;2
Mr. W.E.H. Sloots Adv., Jurid. & Procesmanag.;2;;;;;;2
MTD Landschapsarchitecten B.V.;2;;;;;;2
Muconsult B.V.;6;;;;;;6
Multicopy Lelystad B.V.;1;;;;;;1
MULTICOPY RIJSWIJK;1;;;;;;1
MultiCopy Utrecht Centrum B.V.;1;;;;;;1
Multigift Relatiegeschenken B.V.;1;;;;;;1
Multividuals B.V.;2;;;;;;2
Murphy's Law;1;;;;;;1
Museon;1;;;;;;1
Museum Boerhaave;1;;;;;;1
Museum Catering B.V.;1;;;;;;1
Museumkwartier B.V.;1;;;;;;1
Must Stedebouw B.V.;4;;;;;;4
MVA Communicatie;2;;;;;;2
MvD Advies & Management;3;;;;;;3
Mwee beeld licht geluid;1;;;;;;1
MWH;5;;;;;;5
MyCom Nederland B.V.;1;;;;;;1
N.B.C. Exploitatie B.V.;2;;;;;;2
N.V. Golf Exploit. Mij. Schipluid.;1;;;;;;1
N.V. Nederlandse Spoorwegen;9;;;;;;9
N.V. Univé Schade;1;;;;;;1
N.V. Zeeland Seaports;1;;;;;;1
N=5 Communicatie-Adviesbureau;2;;;;;;2
Nachtveiligheidsdienst Haarlem B.V.;1;;;;;;1
Naco, Netherlands Airport Consultants B.V.;1;;;;;;1
Naeff Consult B.V.;3;;;;;;3
Nagelhout Communicatie Advies;1;;;;;;1
nai010 uitgevers/publishers;2;;;;;;2
NAR Advies B.V.;4;;;;;;4
Nationale Beeldbank B.V.;1;;;;;;1
Nationale Bond voor EHBO;1;;;;;;1
Nationale Jeugdraad (NJR);1;;;;;;1
Nature's Gift;1;;;;;;1
Natuur & Economie B.V.;3;;;;;;3
NBTC-NIPO Research B.V.;2;;;;;;2
Ncoi Nederlands Commerc. Opleidings Instituut;1;;;;;;1
Nebest B.V.;4;;;;;;4
Ned. Olie & Gas Exploratie & Productie Ass.;6;;;;;;6
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;7;;;;;;7
Nederlands Centrum voor Informatie Management;2;;;;;;2
Nederlands Debat Instituut Holding B.V.;1;;;;;;1
Nederlandsche Uitgeversmaatschappij B.V.;1;;;;;;1
Nederlandse Mediatorsvereniging;1;;;;;;1
Nederlandse Stg. v. Corporate Universities;1;;;;;;1
Nederlandse Stichting Geluidshinder;4;;;;;;4
Nederlandse Stichting voor Verlichtingskunde;3;;;;;;3
Nederlandse Vereniging Bedrijfshulpverlening;1;;;;;;1
Nederlandse Vereniging van Luchthavens;2;;;;;;2
Nederlandse Vereniging voor Stralingshygiene;1;;;;;;1
Nederlandse Vereniging voor Veiligheidskunde;;1;;;;;1
NedMobiel B.V.;2;;;;;;2
NEH ICT Solutions B.V.;1;;;;;;1
Nelen & Schuurmans B.V.;1;;;;;;1
Neopost;1;;;;;;1
Neopost Finance B.V.;1;;;;;;1
NetandMore;1;;;;;;1
Neuland Nederland;1;;;;;;1
NEVERREST;1;;;;;;1
New Babylon Meeting Center B.V.;2;;;;;;2
Newfoundland Interactive Technology;2;;;;;;2
NEWLEVEL;1;;;;;;1
Next Step Management B.V.;1;;;;;;1
NFGD Zoetermeer B.V.;2;;;;;;2
ngnb Advocaten;2;;;;;;2
NH Den Haag;1;;;;;;1
nhow Rotterdam;1;;;;;;1
Nico B.V.;1;;;;;;1
Nieuw Ammervelde;1;;;;;;1
Nieuw Jansen;2;;;;;;2
Nieuwe Uitgevers B.V.;3;;;;;;3
Nieuwland Advies B.V.;2;;;;;;2
Nieuwland Automatisering;2;;;;;;2
Nieuws- & Advertentieblad De Schaapskooi B.V.;1;;;;;;1
Nijssen Adviesbureau voor Informatica B.V.;3;;;;;;3
Nijwa Groep;1;;;;;;1
Nines B.V.;1;;;;;;1
NLingenieurs;1;;;;;;1
NNZ B.V.;1;;;;;;1
Noblis Salesconnections B.V.;1;;;;;;1
NOMOBO Productions B.V.;1;;;;;;1
Noordzee Boulevard;1;;;;;;1
Noordzee Services B.V.;1;;;;;;1
Norisk Keymanagement B.V.;1;;;;;;1
Northwave B.V.;1;;;;;;1
NoSuchCompany B.V.;1;;;;;;1
Notten Consultancy B.V.;2;;;;;;2
Notuleerservice Nederland B.V.;1;;;;;;1
Nova Engineering B.V.;1;;;;;;1
Novaforum Media B.V.;1;;;;;;1
Novagraaf Nederland;1;;;;;;1
Novalis Office B.V.;2;;;;;;2
Novius Adv.groep v. Inf. & Organisatie B.V.;3;;;;;;3
Novotel Den Haag;1;;;;;;1
Novum Foto;1;;;;;;1
NPN Drukkers B.V.;2;;;;;;2
NRC Handelsblad Weekeditie voor buitenland;1;;;;;;1
NS Internationaal B.V.;2;;;;;;2
NS Reizigers B.V.;4;;;;;;4
NS Stations B.V.;2;;;;;;2
N-Seatec;2;;;;;;2
Nsob;1;;;;;;1
NT Publishers B.V.;1;;;;;;1
Nudge B.V.;3;;;;;;3
Nummer 13;1;;;;;;1
NWC Events B.V.;1;;;;;;1
Nxtmed B.V.;2;;;;;;2
Nynke Jagersma Advies;1;;;;;;1
O & P Consultancy en Interim Management;2;;;;;;2
Oasis Data & Document Management Neth. B.V.;1;;;;;;1
Object Vision B.V.;4;;;;;;4
OBN Ongedierte Bestrijding Nederland B.V.;1;;;;;;1
Observator Precisietechniek B.V.;1;;;;;;1
OBT B.V.;1;;;;;;1
Ocelot;3;;;;;;3
Ochtman Gouda B.V.;2;;;;;;2
O'daniels Exploitatie B.V.;1;;;;;;1
ODV Maritiem B.V.;5;;;;;;5
Odyssee B.V.;1;;;;;;1
Office Depot International;1;;;;;;1
Oil Spill Response Holding B.V.;1;;;;;;1
Olssen B.V.;1;;;;;;1
Omikron B.V.;2;;;;;;2
Omnium Rerum HME;2;;;;;;2
OmniworkX B.V.;2;;;;;;2
On Line;1;;;;;;1
Onderdelenbalie.nl;1;;;;;;1
Onderzoeks- en Adviesbureau Soab Breda B.V.;1;;;;;;1
One Five Zero;1;;;;;;1
One Shoe B.V.;1;1;;;;;2
onetwentyone;2;;;;;;2
Onlyhuman B.V.;7;;;;;;7
Onno te Rijdt;1;;;;;;1
Ontdek je verhaal;1;;;;;;1
Ontwerpwerk B.V.;2;;;;;;2
Onzin Design;2;;;;;;2
Ooms Construction B.V.;1;;;;;;1
Op ten Noort Blijdenstein B.V.;2;;;;;;2
Opleidingscentrum Waddinxveen;;1;;;;;1
Optima Forma B.V.;1;;;;;;1
Optimum Media Direction Nederland B.V.;2;;;;;;2
Orange5 Catering & Events B.V.;1;;;;;;1
Ordina Nederland B.V.;3;;;;;;3
Ordina Sourcing B.V.;2;;;;;;2
Ordina Technologie & Competenties B.V.;7;6;;;;;7
Org.-id B.V.;4;;;;;;4
ORTEC B.V.;2;;;;;;2
ORTEC Finance B.V.;2;;;;;;2
Orthocor.nl;1;;;;;;1
Orvit Consulting;2;;;;;;2
Oudaen B.V.;1;;;;;;1
Over Morgen;;1;;;;;1
Overall Design;2;;;;;;2
Overtaal B.V.;1;;;;;;1
Overwater Grondbeleid Adviesbureau B.V.;1;;;;;;1
Ovsoftware B.V.;2;;;;;;2
P & Projects B.V.;1;;;;;;1
P1 Off Street Exploitatie B.V.;1;;;;;;1
P2 Proces- en Projectmanagers B.V.;3;;;;;;3
P2 Strategie B.V.;2;;;;;;2
PA Consulting Group B.V.;4;;;;;;4
Paagman Den Haag B.V.;1;;;;;;1
Pacer B.V.;5;;;;;;5
PaDeCon;4;;;;;;4
Pageshuis B.V.;1;;;;;;1
Palladio Groep B.V.;6;;;;;;6
Pandahallen;1;;;;;;1
Panteia B.V.;5;;;;;;5
Pantem B.V.;1;;;;;;1
Parkhotel Den Haag;1;;;;;;1
Parkstad Installatie Techniek & More;1;;;;;;1
Parsival;1;;;;;;1
Partners for Innovation B.V.;3;;;;;;3
Partycentrum 'Open Huis';1;;;;;;1
Partyservice Pato;1;;;;;;1
Passieprojecten;1;;;;;;1
Pastis Den Haag B.V.;1;;;;;;1
Paul van Empel Presentatiesystemen;1;;;;;;1
Pauws Fotografie;1;;;;;;1
PBT Beveiligingsgroep B.V.;1;;;;;;1
PC&O, People, Culture and Organization;1;;;;;;1
PDS Interseco B.V.;2;;;;;;2
Pe Beleids- en Organisatie Advies;1;;;;;;1
Peak & Valley B.V.;2;;;;;;2
Peer Business Services;1;;;;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;7;;;2;;;7
People & Print Group;1;;;;;;1
Periplus Consultancy B.V.;1;;;;;;1
