"project_no","title","county","school_district","census_tract","how_far_north","how_far_east","number","direction","name","suffix","location","completion_year_estimate","status","cost_in_millions_of_dollars","overall_classification_type","primary_project_type","primary_activity_type","primary_use_type","complex_project_type","complex_activity_type","complex_use_type","housing_sub_type","office_square_feet","retail_and_commercial_square_feet","industrial_warehouse_heavy_commercial_sq_ft","hotel_rooms","housing_units","description","developer","also_in_1983_to_1989_database","also_in_river_crown_plaza_housing_database"
"604","Kansas City Financial Management Center","Clay","North Kansas City","206.02","* 2,779,999","* 1,088,224","4241","NE","34th","St","4241 NE 34th St","1996","Completed","* 5","Non-Residential","Building","New","Office","Building","New","Office"," ",,,,," ","new government offices","U.S. Government","No","No"
"1757","REIT Office Renovation","Clay","North Kansas City","206.02","* 2,779,999","* 1,088,224","4241","NE","34th","St","4241 NE 34th St","2010","Completed","* 8","Non-Residential","Building","Renovation","Office","Building","Renovation","Office"," ",,,,," ","$8 million office renovation","REIT Management and Research","No","No"
"658","Water Laboratory Expansion","Clay","North Kansas City","202.02","* 2,765,151","* 1,088,172","2","NE","32nd","St","2 NE 32nd St","1992","Completed","* 6","Non-Residential","Building","Expansion","Industrial","Building","Expansion","Industrial"," ",,,,," ","Water Laboratory Expansion","City of Kansas City, MO","No","No"
"1435","Cerner Data Center and Offices","Clay","North Kansas City","205","* 2,778,242","* 1,088,080","3512","NE","33rd","Te","3512 NE 33rd Te","2007","Completed","* 60","Non-Residential","Building","New","Office","Building","New","Office"," ",,,,," ","new 105,000 sq. ft. data center and 15,000 sq. ft. of other offices","Cerner Corp.","No","No"
"1813","Cerner Data Center Renovation - North","Clay","North Kansas City","205","* 2,778,242","* 1,088,080","3512","NE","33rd","Te","3512 NE 33rd Te","2011","Completed","* 6","Non-Residential","Building","Renovation","Office","Building","Renovation","Office"," ",,,,," ","$6 million office renovation","Cerner Corp.","No","No"
"369","Ameristar Casino","Clay","North Kansas City","222","* 2,792,565","* 1,087,061","8201","NE","Birmingham","Rd","8201 NE Birmingham Rd","1997","Completed","* 255","Non-Residential","Building","New","Entertainment","Building / Infrastructure","New","Entertainment / Lodging / Restaurant"," ",,,,," ","730,000 sq. ft. facility with 140,000 sq. ft. gaming floor, 11,000 sq. ft. child care center, 10,000 sq. ft. convention space, 18 screen theater, 12 restaurants, 5,000 sq. ft. arcade, and 200 hotel rooms","Station Casinos","No","No"
"1445","I-435 Missouri River Bridge Rehab","Clay","North Kansas City","206.02","* 2,789,204","* 1,086,790",," "," "," ","       ","2009","Completed","* 22","Other Capital Improvement","Infrastructure","Renovation","Bridge","Infrastructure","Renovation","Bridge"," ",,,,," ","$22 million bridge rehabilitation","Missouri Department of Transportation","No","No"
"1079","Ameristar Casino Expansion & Renov.","Clay","North Kansas City","222","* 2,793,317","* 1,086,088","3210","N","Station","Dr","3210 N Station Dr","2003","Completed","* 64","Non-Residential","Building","Expansion","Parking","Building","New","Parking / Restaurant"," ",,,,," ","2,650-space parking garage expansion, and expanded or renovated restaurants","Ameristar Casinos Inc.","No","No"
"1796","Ameristar Casino Expansion II","Clay","North Kansas City","222","* 2,793,317","* 1,086,088","3210","N","Station","Dr","3210 N Station Dr","2011","Completed","* 14","Non-Residential","Building","Expansion","Lodging","Building","Expansion","Lodging"," ",,,,," ","hotel expansion with 80 rooms, 20 suites and a fitness center","Ameristar Casinos Inc.","No","No"
"374","Chouteau Bridge Reconstruction","Clay","North Kansas City","155","* 2,779,174","* 1,084,863",," "," "," ","       ","2001","Completed","* 35","Other Capital Improvement","Infrastructure","Replacement","Bridge","Infrastructure","Replacement","Bridge"," ",,,,," ","$35 million new bridge to replace old bridge over Missouri River","Missouri Department of Transportation","No","No"
"1269","Proctor and Gamble Distribution Center","Jackson","Kansas City","155","* 2,788,368","* 1,084,347","6900"," ","Stillwell","Av","6900   Stillwell Av","2007","Completed","* 3","Non-Residential","Building","Renovation","Distribution","Building","Renovation","Distribution"," ",,,,," ","renovation of 361,000 sq. ft. distribution building","Proctor and Gamble","No","No"
"665","Smart One and Two Warehouses","Jackson","Kansas City","155","* 2,786,164","* 1,084,040","6000"," ","Stilwell","Av","6000   Stilwell Av","1994","Completed","* 5","Non-Residential","Building","New","Warehouse","Building","New","Warehouse"," ",,,,," ","new warehouses totaling 250,000 sq. ft.","Boyd Group","No","No"
"1045","Ball Corporation Warehouse Addition","Jackson","Kansas City","155","* 2,785,636","* 1,083,933","1800","N","Reynolds","Av","1800 N Reynolds Av","2001","Completed","* 9","Non-Residential","Building","Expansion","Warehouse","Building","Expansion","Warehouse"," ",,,,," ","new 175,000 sq. ft. warehouse","Ball Corporation","No","No"
"672","Metro Park Warehouse - Executive Park","Jackson","Kansas City","155","* 2,787,311","* 1,083,925","6399"," ","Stilwell","Av","6399   Stilwell Av","1995","Completed","* 7","Non-Residential","Building","New","Warehouse","Building","New","Warehouse"," ",,,,," ","new 200,000 sq. ft. warehouse","Metro Park Warehouse Inc.","No","No"
"608","Rhodes Furniture Warehouse","Jackson","Kansas City","155","* 2,786,684","* 1,083,924","6201"," ","Stilwell","Av","6201   Stilwell Av","1996","Completed","* 8","Non-Residential","Building","New","Warehouse","Building","New","Warehouse"," ",,,,," ","new 220,000 sq. ft. warehouse","B.A. Karbank and Co.","No","No"
"1819","Glazers Midwest Remodeling","Jackson","Kansas City","155","* 2,786,618","* 1,083,879","6301","NE","Stillwell","Av","6301 NE Stillwell Av","2010","Completed","* 3","Non-Residential","Building","Renovation","Distribution","Building","Renovation","Distribution"," ",,,,," ","$4 million remodeling of distribution facility","Glazer's","No","No"
"1962","Midwest Terminal Warehouse","Jackson","Kansas City","155","* 2,783,526","* 1,083,800","5208",,"Stillwell","Av","5208  Stillwell Av","2014","Completed","* 4","Non-Residential","Building","New","Distribution","Building","New","Distribution"," ",,,,," ","new 101,000 sq. ft. warehouse","Midwest Terminal Warehouse Co.","No","No"
"1064","Crown Center Parking Garage #8","Jackson","Kansas City","44","* 2,765,530","* 1,060,625","2575"," ","Warwick","Tfwy","2575   Warwick Tfwy","2003","Completed","* 30","Non-Residential","Building","New","Parking","Building","New","Parking"," ",,,,," ","new parking garage","Crown Center Redevelopment Corp.","No","No"
"634","Business and Technology Center","Jackson","Kansas City","155","* 2,788,253","* 1,082,637","6899"," ","Executive","Dr","6899   Executive Dr","1999","Completed","* 5","Non-Residential","Building","Use Conversion","Education","Building","Use Conversion / Renovation","Education"," ",,,,," ","converted 170,000 sq. ft. job training facility","Metropolitan Community Colleges","No","No"
"662","G & K Services Laundry","Jackson","Kansas City","155","* 2,786,145","* 1,082,592","1745","N","Reynolds","Av","1745 N Reynolds Av","1993","Completed","* 11","Non-Residential","Building","New","Heavy Commercial","Building","New","Heavy Commercial"," ",,,,," ","new 40,000 sq. ft. laundry","Irwin Mandel Development Corp.","No","No"
"657","Mid-West Terminal Warehouse","Jackson","Kansas City","155","* 2,782,945","* 1,082,553","5300"," ","Deramus","Av","5300   Deramus Av","1991","Completed","* 3","Non-Residential","Building","New","Warehouse","Building","New","Warehouse"," ",,,,," ","new 128,000 sq. ft. warehouse","Mid-West Terminal Warehouse Co.","No","No"
"1046","Business and Tech. Cen. Expan./Renov.","Jackson","Kansas City","155","* 2,788,377","* 1,082,472","6899"," ","Executive","Dr","6899   Executive Dr","2002","Completed","* 6","Non-Residential","Building","Expansion","Education","Building","Expansion / Renovation","Education"," ",,,,," ","expansion of and renovations to job training facility","Metropolitan Community Colleges","No","No"
"1243","Broadway Corridor Enhancements","Clay","North Kansas City","221","* 2,764,053","* 1,082,230",," "," "," ","       ","2009","Completed","* 10","City Capital Improvement","Open Space","Upgrade","Streetscape","Open Space","Upgrade / New","Streetscape"," ",,,,," ","$10 million of enhancements along corridor, including lighting, painting, railings, monuments, landscaping, etc.","City of Kansas City, MO","No","No"
"931","Menlo Worldwide Warehouse","Jackson","Kansas City","155","* 2,783,929","* 1,081,333","1601"," ","Southern","Av","1601   Southern Av","2002","Completed","* 5","Non-Residential","Building","New","Distribution","Building","New","Distribution"," ",,,,," ","new 148,000 sq. ft. distribution building","Mid-West Terminal Warehouse Co.","No","No"
"1985","Grupo Antolin Plant","Jackson","Kansas City","155","* 2,783,919","* 1,081,330","1601",,"Southern","Rd","1601  Southern Rd","2014","Completed","* 18","Non-Residential","Building","Renovation","Industrial","Building","Renovation","Industrial",,,,,,,"$18 million renovation of 148,000 sq. ft. industrial plant","Grupo Antolin","No","No"
"642","Musician's Friend Distribution Center","Jackson","Kansas City","155","* 2,787,140","* 1,081,013","1491","N","Universal ","Av","1491 N Universal  Av","2000","Completed","* 5","Non-Residential","Building","New","Distribution","Building","New","Distribution"," ",,,,," ","new 141,000 sq. ft. distribution building","Mid-West Terminal Warehouse Co.","No","No"
"641","Musician's Friend Distribution Cen. Addition","Jackson","Kansas City","155","* 2,787,140","* 1,081,013","1491","N","Universal ","Av","1491 N Universal  Av","2002","Completed","* 4","Non-Residential","Building","New","Distribution","Building","New","Distribution"," ",,,,," ","141,000 sq. ft. addition to distribution facility","Mid-West Terminal Warehouse Co.","No","No"
"1596","Corporate Express Warehouse","Jackson","Kansas City","155","* 2,788,054","* 1,080,670","1400","N","Cambridge","Av","1400 N Cambridge Av","2007","Completed","* 8","Non-Residential","Building","New","Warehouse","Building","New","Warehouse"," ",,,,," ","new 250,000 sq. ft. warehouse","CB Richard Ellis","No","No"
"1217","Burrows Company Warehouse","Jackson","Kansas City","155","* 2,785,486","* 1,080,589","6101"," ","Parretta","Dr","6101   Parretta Dr","2003","Completed","* 3","Non-Residential","Building","New","Warehouse","Building","New","Warehouse"," ",,,,," ","new 27,000 sq. ft. warehouse"," ","No","No"
"620","Data Source Inc. Office / Warehouse","Jackson","Kansas City","155","* 2,786,604","* 1,079,984","1400","N","Universal ","Av","1400 N Universal  Av","1997","Completed","* 5","Non-Residential","Building","New","Office","Building","New","Office / Warehouse"," ",,,,," ","new 131,000 sq. ft. office warehouse  ","B.A. Karbank and Co.","No","No"
"640","Exec. Pk. Interstate Cen. Office/Warehouse","Jackson","Kansas City","155","* 2,789,731","* 1,079,848","1850","N","Corrington","Av","1850 N Corrington Av","2001","Completed","* 15","Non-Residential","Building","New","Office","Building","New","Office / Warehouse"," ",,,,," ","new 173,000 sq. ft. office warehouses","Welsh Companies","No","No"
"1352","Medline Distribution Center","Jackson","Kansas City","155","* 2,787,165","* 1,079,787","1401","N","Universal","Av","1401 N Universal Av","2005","Completed","* 8","Non-Residential","Building","New","Distribution","Building","New","Distribution"," ",,,,," ","new 360,000 sq. ft. distribution facility"," ","No","No"
"1761","Mars Petcare Plant Expansion","Jackson","Kansas City","155","* 2,782,281","* 1,079,501","1315","N","Chouteau","Tfwy","1315 N Chouteau Tfwy","2011","Completed","* 5","Non-Residential","Building","Expansion","Industrial","Building","Expansion","Industrial"," ",,,,," ","42,000 sq. ft. industrial expansion","Mars Petcare","No","No"
"1766","Front Street - I-435 to Universal","Jackson","Kansas City","155","* 2,776,734","* 1,079,412",," "," "," ","       ","2013","Completed","* 4","City Capital Improvement","Infrastructure","Upgrade","Road","Infrastructure","Upgrade","Road"," ",,,,," ","$4 million of road improvements","City of Kansas City, MO","No","No"
"639","McKesson Medical-Surgical Distrib. Cen.","Jackson","Kansas City","155","* 2,782,270","* 1,079,351","1305","N","Chouteau","Tfwy","1305 N Chouteau Tfwy","2000","Completed","* 13","Non-Residential","Building","New","Distribution","Building","New","Distribution"," ",,,,," ","new 258,000 sq. ft. distribution building","B.A. Karbank and Co.","No","No"
"627","Federal Express Distribution Building","Jackson","Kansas City","155","* 2,785,293","* 1,079,226","6098"," ","Front","St","6098   Front St","1998","Completed","* 4","Non-Residential","Building","New","Distribution","Building","New","Distribution"," ",,,,," ","new 92,000 sq. ft. distribution building","Mid-West Terminal Warehouse Co.","No","No"
"1622","Vehicle Impound Facility","Jackson","Kansas City","155","* 2,790,615","* 1,079,047","7750","E","Front","St","7750 E Front St","2008","Completed","* 20","City Capital Improvement","Infrastructure","New","Parking","Infrastructure / Building","New","Parking"," ",,,,," ","new 25-acre tow lot and associated buildings","City of Kansas City, MO","No","No"
"1437","I-435 and Front Street Diverging Diamond Interchange","Jackson","Kansas City","155","* 2,789,020","* 1,079,017",," "," "," ","       ","2007","Completed","* 6","Other Capital Improvement","Infrastructure","Reconfiguration","Road","Infrastructure","Reconfiguration","Road"," ",,,,," ","$6 million reconfiguration of highway interchange as a diverging diamond","Missouri Department of Transportation","No","No"
"660","Consolidated Freightways Office/Distribution","Jackson","Kansas City","155","* 2,789,702","* 1,079,005","1300","N","Corrington","Av","1300 N Corrington Av","1992","Completed","* 11","Non-Residential","Building","New","Distribution","Building","New","Distribution / Office"," ",,,,," ","new 410,000 sq. ft. office / distribution center","CB Commercial Real Estate Group","No","No"
"1552","Wheeler Airport Hangers & Other Improvements","Clay","North Kansas City","221","* 2,762,623","* 1,078,970","1101"," ","Lou Holland","Dr","1101   Lou Holland Dr","2009","Completed","* 20","Non-Residential","Building","New","Transportation","Building","New","Transportation / Office / Retail"," ",,,,," ","125 new airplane hangers, a fueling station, and a 40,000 sq. ft. multipurpose building for offices, a restaurant and a lounge","City of Kansas City, MO","No","No"
"1689","O'Reilly Automotive Distribution Center","Jackson","Kansas City","155","* 2,791,084","* 1,078,378","1200"," ","Century","Av","1200   Century Av","2009","Completed","* 13","Non-Residential","Building","New","Distribution","Building","New","Distribution"," ",,,,," ","new 215,000 sq. ft. distribution center","O'Reilly Automotive Distribution Center","No","No"
"1700","Hangar 10 Aviation Services Center","Clay","North Kansas City","221","* 2,761,793","* 1,078,128","1001","N","Lou Holland","Dr","1001 N Lou Holland Dr","2010","Completed","* 11","Non-Residential","Building","New","Transportation","Building","New","Transportation, Office, Meeting, Recreation, Lodging"," ",,,,," ","new 97,000 sq. ft. aviation services building with 56,000 sq. ft. of hangars, plus space for offices, overnight stays, lounges and conferences","James E. Stowers III","No","No"
"1638","Chouteau Tfwy. And Gardner Drainage","Jackson","Kansas City","155","* 2,783,178","* 1,077,891",," "," "," ","       ","2012","Completed","* 5","City Capital Improvement","Infrastructure","New","Flood Control","Infrastructure","New","Flood Control"," ",,,,," ","$5 million of drainage improvements","City of Kansas City, MO","No","No"
"372","Bayer Herbicide Plant","Jackson","Kansas City","155","* 2,794,162","* 1,077,687","8400"," ","Hawthorne","Rd","8400   Hawthorne Rd","1999","Completed","* 30","Non-Residential","Building","Expansion","Industrial","Building","Expansion","Industrial"," ",,,,," ","new $30 million industrial plant","Bayer Corp.","No","No"
"1480","Penske Truck Leasing","Jackson","Kansas City","155","* 2,791,878","* 1,077,640","1111","N","Century","Av","1111 N Century Av","2006","Completed","* 6","Non-Residential","Building","New","Heavy Commercial","Building","New","Heavy Commercial"," ",,,,," ","new 24,000 sq. ft. truck leasing facility","Penske Truck Leasing Co.","No","No"
"648","Bayer Pharmaceutical Plant Infrastructure","Jackson","Kansas City","155","* 2,793,598","* 1,076,905","8400"," ","Hawthorne","Rd","8400   Hawthorne Rd","2001","Completed","* 27","Non-Residential","Building","Expansion","Industrial","Building","Expansion","Industrial"," ",,,,," ","$27 million of site preparation and infrastructure for a canceled new pharmaceutical plant, but that will probably eventually be used for another industrial plant","Bayer Corp.","No","No"
"1951","Bayer Cropscience Expansion","Jackson","Kansas City","155","* 2,793,598","* 1,076,905","8400"," ","Hawthorne","Rd","8400   Hawthorne Rd","2014","Completed","* 11","Non-Residential","Building","Expansion","Industrial","Building","Expansion","Industrial"," ",,,,," ","$11 million industrial expansion","Bayer Corp.","No","No"
"1241","Wheeler Airport Runway Overlay/Safety Area","Clay","North Kansas City","221","* 2,762,776","* 1,076,281","400","N","Richards","Rd","400 N Richards Rd","2006","Completed","* 5","City Capital Improvement","Infrastructure","Upgrade","Aviation","Infrastructure","Upgrade / New","Aviation"," ",,,,," ","$5 million overlay of airport runway and construction of a safety area","City of Kansas City, MO","No","No"
"1439","Paseo Bridge Over Missouri River Improvements","Jackson","Kansas City","3","* 2,770,035","* 1,076,268",," "," "," ","       ","2007","Completed","* 21","Other Capital Improvement","Infrastructure","Renovation","Bridge","Infrastructure","Renovation","Bridge"," ",,,,," ","$21 million of bridge improvements","Missouri Department of Transportation","No","No"
"1440","Christopher S. Bond Bridge and I-35, Hy. 210 to Paseo","Jackson","Kansas City","3","* 2,770,035","* 1,076,268",," "," "," ","       ","2010","Completed","* 245","Other Capital Improvement","Infrastructure","New","Bridge","Infrastructure","New","Bridge / Road"," ",,,,," ","new $245 million bridge, ramp and interchange project along a corridor","Missouri Department of Transportation","No","No"
"664","Window Factory Warehouse","Jackson","Kansas City","155","* 2,791,933","* 1,076,043","950"," ","Century","Av","950   Century Av","1994","Completed","* 11","Non-Residential","Building","New","Office","Building","New","Office / Warehouse"," ",,,,," ","new 43,000 sq. ft. office / warehouse","Window Factory","No","No"
"905","Downtown Airport Runway Overlay","Clay","North Kansas City","221","* 2,762,776","* 1,075,981","400","N","Richards","Rd","400 N Richards Rd","2001","Completed","* 13","City Capital Improvement","Infrastructure","Upgrade","Aviation","Infrastructure","Upgrade","Aviation"," ",,,,," ","$13 million overlay of airport runway","City of Kansas City, MO","No","No"
"1391","Wheeler Airport Runway 1/19 Overlay & Safety Area","Clay","North Kansas City","221","* 2,762,776","* 1,075,981","400","N","Richards","Rd","400 N Richards Rd","2007","Completed","* 39","City Capital Improvement","Infrastructure","Upgrade","Aviation","Infrastructure","Upgrade / Expansion","Aviation"," ",,,,," ","$39 million overlay of airport runway and expansion of safety area","City of Kansas City, MO","No","No"
"364","Flamingo Casino","Jackson","Kansas City","155","* 2,771,593","* 1,075,961","1800","E","Front","St","1800 E Front St","1996","Completed","* 130","Non-Residential","Building","New","Entertainment","Building / Infrastructure","New","Entertainment"," ",,,,," ","new 120,000 sq. ft. facility for gambling, restaurants, retail and parking","Hilton Hotels Corp.","No","No"
"1560","Cargill Plant Expansion","Jackson","Kansas City","155","* 2,773,463","* 1,075,830","2334"," ","Rochester","Av","2334   Rochester Av","2008","Completed","* 85","Non-Residential","Building","Renovation","Industrial","Building","Renovation","Industrial"," ",,,,," ","$85 million industrial plant renovation","Cargill, Inc.","No","No"
"759","Big Blue River Wastewater Treatment","Jackson","Kansas City","155","* 2,789,517","* 1,075,778","7300"," ","Hawthorne","Rd","7300   Hawthorne Rd","1993","Completed","* 6","City Capital Improvement","Building","New","Industrial","Building","New","Industrial"," ",,,,," ","new $6 million wastewater treatment plant","City of Kansas City, MO","No","No"
"1888","Blue River Wastewater Treatment Plant Epansion","Jackson","Kansas City","155","* 2,789,517","* 1,075,778","7300"," ","Hawthorne","Rd","7300   Hawthorne Rd","2014","Completed","* 48","City Capital Improvement","Building","Expansion","Industrial","Building","Expansion","Industrial"," ",,,,," ","$48 million wastewater treatment plant expansion","City of Kansas City, MO","No","No"
"393","Downtown Airport Improvements","Clay","North Kansas City","221","* 2,762,776","* 1,075,681","300"," ","Richards","Rd","300   Richards Rd","1994","Completed","* 8","Non-Residential","Building","Renovation","Transportation","Building","Renovation / Expansion","Transportation / Office"," ",,,,," ","$8 million renovation and expansion of office and retail space","City of Kansas City, MO","No","No"
"909","Isle of Capri Casino Conversion","Jackson","Kansas City","155","* 2,771,153","* 1,075,635","1800","E","Front","St","1800 E Front St","2001","Completed","* 15","Non-Residential","Building","Style Conversion","Entertainment","Building","Style Conversion","Entertainment"," ",,,,," ","conversion of former Flamingo Casino to Isle of Capri Casino with new theme","Isle of Capri Casinos Inc.","No","No"
"947","Manchester Bridge over Union Pacific RR","Jackson","Kansas City","155","* 2,786,532","* 1,075,572",," "," "," ","       ","2005","Completed","* 11","City Capital Improvement","Infrastructure","Renovation","Bridge","Infrastructure","Renovation","Bridge"," ",,,,," ","$7 million bridge repair","City of Kansas City, MO","No","No"
"1547","Cargill Biodiesel Plant","Jackson","Kansas City","155","* 2,773,435","* 1,075,255","610","N","Olive","St","610 N Olive St","2007","Completed","* 45","Non-Residential","Building","New","Industrial","Building","New","Industrial"," ",,,,," ","new $45 million industrial plant","Paseo Cargill Energy LLC","No","No"
"968","Northeast Industrial District Drainage","Jackson","Kansas City","155","* 2,775,000","* 1,075,197",," "," "," ","       ","1999","Completed","* 4","City Capital Improvement","Infrastructure","New","Flood Control","Infrastructure","New","Flood Control"," ",,,,," ","new $4 million storm sewer outfall and detention pond","City of Kansas City, MO","No","No"
"1969","Front Street & I-29 Interchange Changes","Jackson","Kansas City","155","* 2,770,405","* 1,074,888",," "," "," ","       ","2013","Completed","* 10","City Capital Improvement","Infrastructure","Upgrade","Road","Infrastructure","Upgrade","Road",,,,,,,"$10 million interchange replacement","City of Kansas City, MO","No","No"
"459","Blue River Flood Control Project","Jackson","Kansas City","155","* 2,791,280","* 1,074,791",," "," "," ","       ","2015","Underway","* 290","City Capital Improvement","Infrastructure","Upgrade","Flood Control","Infrastructure","Upgrade","Flood Control"," ",,,,," ","$290 million project straightening and widening the channel, reclaiming a brownfield, and creating space for wildlife and recreation; completed MO River to I-70; underway I-70 to Stadium Dr.; future construction Stadium Dr. to 63rd St.","City of Kansas City, MO","No","No"
"1719","Heart of America Bridge Rehab and Bike Lane","Jackson","Kansas City","152","* 2,766,300","* 1,074,328",," "," "," ","       ","2010","Completed","* 4","Other Capital Improvement","Infrastructure","Upgrade","Bridge","Infrastructure","Upgrade","Bridge"," ",,,,," ","$4 million project to rehab bridge and add a bike lane","Missouri Department of Transportation","No","No"
"367","Berkley Riverfront Park","Jackson","Kansas City","3","* 2,768,770","* 1,074,177",," "," "," ","       ","1998","Completed","* 20","City Capital Improvement","Open Space","New","Recreation","Open Space / Bridge / Road","New","Recreation"," ",,,,," ","32-acre park, plus roadways and viaduct to provide access","City of Kansas City, MO","No","No"
"1706","Lofts At River Market West","Jackson","Kansas City","152","* 2,764,075","* 1,070,922","320","W","5th","St","320 W 5th St","2003","Completed","* 15","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 45","45 new multifamily units","George Birt","No","Yes"
"2072","Riverfront Infrastructure","Jackson","Kansas City","3","* 2,768,770","* 1,074,177","1001"," ","Riverfront","Dr","1001   Riverfront Dr","2016","Underway","* 5","Other Capital Improvement","Infrastructure","New","Streets","Infrastructure","New","Road / Sewer / Electrical / Water / Streetscape",,,,,,,"$5 million of infrastructure improvements","Port Authority of KCMO","No","No"
"384","Riverfront Commercial","Jackson","Kansas City","3","* 2,768,770","* 1,074,177","1001"," ","Riverfront","Dr","1001   Riverfront Dr","2016","Approved","* 60","Non-Residential","Building","New","Housing","Building","New","Office / Retail",,,,,,,"new mixed use complex with 90,000 sq. ft. of retail, and 250,000 sq. ft. of offices","Forest City","No","Yes"
"1778","Front Street - Heart of America to Bond Bridges","Jackson","Kansas City","3","* 2,768,744","* 1,073,931",," "," "," ","       ","2011","Completed","* 4","Other Capital Improvement","Infrastructure","New","Road","Infrastructure","New","Road / Electrical / Trail / Parking"," ",,,,," ","four-lane boulevard with LED lighting, trail, parking and landscaping","Port Authority of KCMO, Missouri Department of Transportation, City of KCMO","No","No"
"576","Trans-Missouri River Water Tunnel","Jackson","Kansas City","152","* 2,765,663","* 1,073,836",," "," "," ","       ","1992","Completed","* 27","City Capital Improvement","Infrastructure","New","Water Service","Infrastructure","New","Water Service"," ",,,,," ","$27 million 2.7 mile second water tunnel under the Missouri River to provide backup and maintenance flexibility in the provision of water south of the river","City of Kansas City, MO","No","No"
"2013","Union/Berkley Riverfront Park Apartments","Jackson","Kansas City","3","* 2,767,798","* 1,073,825","1001",,"Riverfront","Rd","1001  Riverfront Rd","2016","Approved","* 65","Residential","Building","New","Housing","Building","New","Housing / Retail / Parking","Multifamily",,,,,"* 410","410 new apartments, 12,000 sq. ft. of retail and 425-space parking garage","Flaherty & Collins","No","Yes"
"345","Gladstone Elementary School","Jackson","Kansas City","7","* 2,780,976","* 1,073,824","335","N","Elmwood","Av","335 N Elmwood Av","1990","Completed","* 5","Non-Residential","Building","New","Education","Building","New","Education"," ",,,,," ","new $5 million school","Kansas City School District","Yes","No"
"383","Kansas City Museum Corinthian Hall","Jackson","Kansas City","9","* 2,776,680","* 1,073,821","3218"," ","Gladstone","Bl","3218   Gladstone Bl","2019","Underway","* 50","Non-Residential","Building","Renovation","Entertainment","Building","Renovation / Use Conversion","Entertainment"," ",,,,," ","$10 million renovation of science and history museum","City of Kansas City, MO","No","No"
"1240","Wheeler Airport Relief Wells","Clay","North Kansas City","221","* 2,760,126","* 1,073,771",," "," "," ","       ","2009","Completed","* 11","City Capital Improvement","Infrastructure","Renovation","Flood Control","Infrastructure","Renovation / Replacement","Flood Control"," ",,,,," ","$11 million flood relief well rehabilitation or replacement","City of Kansas City, MO","No","No"
"1714","Riverfront Heritage Trail ASB Bridge Underpass","Jackson","Kansas City","152","* 2,766,237","* 1,073,528",," "," "," ","       ","2009","Completed","* 3","Other Capital Improvement","Infrastructure","New","Trail","Infrastructure","New","Trail"," ",,,,," ","new $3 million underpass","Kansas City Port Authority","No","No"
"959","Wheeler Airport Drainage","Clay","North Kansas City","221","* 2,760,126","* 1,073,471",," "," "," ","       ","2009","Completed","* 56","City Capital Improvement","Infrastructure","Upgrade","Flood Control","Infrastructure","Upgrade","Flood Control"," ",,,,," ","$56 million drainage system rehabilitation","City of Kansas City, MO","No","No"
"1566","Wheeler Airport Facility Improvements","Clay","North Kansas City","221","* 2,760,126","* 1,073,471",," "," "," ","       ","2015","Underway","* 188","City Capital Improvement","Infrastructure","Upgrade","Aviation","Infrastructure","Upgrade","Aviation"," ",,,,," ","$188 million of improvements to terminal, parking lots, roads, relief wells, and runway safety area","City of Kansas City, MO","No","No"
"2083","Midwest Scrap Management Expanion","Jackson","Kansas City","155","* 2,793,094","* 1,073,324","8116",,"Wilson","Rd","8116  Wilson Rd","2015","Completed","* 13","Non-Residential","Building","Expansion","Industrial","Building","Expansion","Industrial",,,,,,,"$13 million industrial expansion","Midwest Scrap Management","No","No"
"606","James Elementary School Remodeling","Jackson","Kansas City","6","* 2,784,796","* 1,073,260","5810"," ","Scarritt","Av","5810   Scarritt Av","1996","Completed","* 3","Non-Residential","Building","Renovation","Education","Building","Renovation","Education"," ",,,,," ","$3 million remodeling of school","Kansas City School District","No","No"
"1044","Sprint Switch Center Addition","Jackson","Kansas City","3","* 2,766,981","* 1,072,685","101"," ","Holmes","St","101   Holmes St","2002","Completed","* 17","Non-Residential","Building","Expansion","Industrial","Building","Expansion","Industrial"," ",,,,," ","$17 million addition to telecommunications switch station","Sprint Corp.","No","No"
"376","Guinotte Manor Townhomes","Jackson","Kansas City","3","* 2,769,580","* 1,072,648","1108","E","4th","St","1108 E 4th St","2000","Completed","* 47","Residential","Building","New","Housing","Building","New","Housing","Townhouses",,,,,"* 219","219 new multifamily units","Kansas City Housing Authority","No","Yes"
"578","Riverview Gardens Housing Renovation","Jackson","Kansas City","10","* 2,771,343","* 1,072,630","299"," ","Paseo"," ","299   Paseo  ","1997","Completed","* 17","Residential","Building","Renovation","Housing","Building","Renovation","Housing","Multifamily",,,,,"* 232","renovation of 232-unit apartment complex","Kansas City Housing Authority","No","No"
"554","Trigen Energy Corporation Water Chilling","Jackson","Kansas City","152","* 2,766,067","* 1,072,569","115"," ","Grand","Av","115   Grand Av","1998","Completed","* 15","Non-Residential","Building","New","Industrial","Building","New","Industrial"," ",,,,," ","$15 million new water chilling plant for cooling of Downtown buildings","Trigen Energy Corporation","No","No"
"1038","Broadway Bridge Enhancements","Jackson","Kansas City","152","* 2,763,350","* 1,072,441",," "," "," ","       ","2003","Completed","* 10","Other Capital Improvement","Infrastructure","Upgrade","Bridge","Infrastructure","Upgrade / Renovation","Bridge"," ",,,,," ","lighting, painting, decorative railings and cleanup of bridge and environs","Missouri Department of Transportation","No","No"
