Project No.,Title,County,Number,Direction,Name,Suffix,Completion Year Estimate,Status,Cost in Millions of Dollars,Overall Classification Type,Primary Project Type,Primary Activity Type,Primary Use Type,Complex Project Type,Complex Activity Type,Complex Use Type,Housing Sub-Type,Office Square Feet,Retail and Commercial Square Feet,Industrial / Warehouse / Heavy Commercial Sq. Ft.,Hotel Rooms,Housing Units,Description,Developer,Also in 1983 to 1989 Database?,Also in River-Crown-Plaza Housing Database?,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
643,Cathedral Square I - KC Southern Hq./Garage,Jackson,427,W,12th,St,2002,Completed,43,Non-Residential,Building,New,Office,Building,New,Office / Parking, ,128000,,,,,"new 128,000 sq. ft. office building and 875-space parking garage",DST Realty Inc.,No,No,"427 12th St
Kansas City, MO
(39.10013302300047, -94.58953108099968)",185,4,7,72
931,Menlo Worldwide Warehouse,Jackson,1601, ,Southern,Av,2002,Completed,5,Non-Residential,Building,New,Distribution,Building,New,Distribution, ,,,148000,,,"new 148,000 sq. ft. distribution building",Mid-West Terminal Warehouse Co.,No,No,"1601 Southern Av
Kansas City, MO
(39.13615920800049, -94.5177949459997)",53,4,7,144
591,Commerce Trust Building Reconfiguration,Jackson,922, ,Walnut,St,2002,Completed,48,Non-Residential,Building,Reconfiguration,Office,Building,Reconfiguration,Office, ,270000,,,,,"reconfiguration and rehabilitation into a 270,000 sq. ft. office building by connecting floors across a light well",Tower Properties Co.,No,No,"922 Walnut St
Kansas City, MO
(39.10247223100049, -94.58195559699965)",5,4,7,75
831,Auburn Hills Single Family Homes,Clay,809,NE,107th,St,2002,Completed,23,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,160,160 single family homes built 1990 to 2002,Auburn Hills Development,No,No,"809 107th St
Kansas City, MO
(39.287603737000495, -94.5687553519997)",105,5,4,82
1052,Center Middle School Addition,Jackson,326,E,103rd,St,2002,Completed,9,Non-Residential,Building,Expansion,Education,Building,Expansion,Education, ,,,,,,$9 million school addition,Center School District,No,No,"326 103rd St
Kansas City, MO
(38.941308438000476, -94.58964952199966)",162,1,7,162
754,Rose Brooks Center,Jackson,3350,E,77th,St,2002,Completed,8,Residential,Building,New,Housing,Building,New,Housing / Social Service,Group Quarters,,,,,,"new center for abused women with 75 emergency shelter beds, transitional housing, and crisis intervention and therapy facilities",Rose Brooks Center,No,No,"3350 77th St
Kansas City, MO
(38.986807531000466, -94.54905980499967)",93,2,7,151
843,Park Forest Single Family Homes,Platte,7614,NW,74th,St,2002,Completed,15,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,73,73 single family homes built 1990 to 2002,Peterson Companies,No,No,"7614 74th St
Kansas City, MO
(39.22957832800046, -94.66926434699968)",182,5,3,77
373,Chouteau Crossings Commercial Center,Clay,4357,N,Chouteau,Tfwy,2002,Completed,23,Non-Residential,Building,New,Retail,Building,New,Retail, ,,245000,,,,"new 245,000 sq. ft. shopping center",Jeff Peterson,No,No,"4357 Chouteau
Tfwy Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1046,Business and Tech. Cen. Expan./Renov.,Jackson,6899, ,Executive,Dr,2002,Completed,6,Non-Residential,Building,Expansion,Education,Building,Expansion / Renovation,Education, ,,,,,,expansion of and renovations to job training facility,Metropolitan Community Colleges,No,No,"6899 Executive Dr
Kansas City, MO
(39.13912615400045, -94.5006458799997)",53,4,7,144
645,Blue Parkway Towne Center - II Offices,Jackson,4001, ,Blue,Pkwy,2002,Completed,10,Non-Residential,Building,New,Office,Building,New,Office, ,72000,,,,,"new 72,000 sq. ft. office building",Community Builders of Kansas City,No,No,"4001 Blue Pkwy
Kansas City, MO
(39.03507459000048, -94.53741232199968)",206,2,7,157
1013,Adare Manor Single Family Homes,Jackson,10825, ,Baltimore,Av,2002,Completed,5,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,20,20 single family homes built 1990 to 2002, ,No,No,"10825 Baltimore Av
Kansas City, MO
(38.930338436000454, -94.59242577699968)",51,1,7,162
999,Manor Homes of Foxcrest Multifamily,Platte,9000,N,Allenton,Av,2002,Completed,26,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,272,272 new multifamily housing units,Line Creek Development Partners,No,No,"9000 Allenton Av
Kansas City, MO
(39.25575632800047, -94.6140910369997)",14,5,3,81
1071,Liberty Mutual Insurance Computer Cen.,Platte,7901,NW,112th,St,2002,Completed,84,Non-Residential,Equipment,Acquisition,Office,Equipment,Acquisition,Office, ,100000,,,,,$84 million of equipment for an insurance company computer center with $50 million financed by industrial revenue bonds,Liberty Mutual Insurance Company,No,No,"7901 112th St
Kansas City, MO
(39.296573270000465, -94.67863065799969)",203,5,3,130
861,Woodbridge Single Family Homes,Clay,1501,NW,79th,Te,2002,Completed,5,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,52,52 single family homes built 1990 to 1997, ,No,No,"1501 79th
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
429,NW 68th St. Widening: Holly-Waukomis,Platte,, , , ,2002,Completed,5,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$5 million road widening,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
596,Pembroke Hill-Ward Pw. Addn./Conversion,Jackson,5121, ,State Line, ,2003,Completed,20,Non-Residential,Building,Expansion,Education,Building,Expansion / Use Conversion,Education, ,,,,,,$20 million of additions and use conversions to school,Pembroke Hill School,No,No,"5121 State
Line Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
894,Guadalupe Center Expansion,Jackson,1015, ,Avenida Cesar Chavez, ,2003,Completed,7,Non-Residential,Building,Expansion,Education,Building,Expansion / Renovation,Education / Entertainment / Social Service, ,,,,,,"new 18,000 sq. ft. building for a theater, culinary arts training, senior citizen programs, meeting rooms, administrative offices, plus renovation of the existing 6,000 sq. ft. social service building",Guadalupe Center,No,No,"1015 Avenida
Cesar Chavez Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
983,Twin Elms Senior Citizen Housing,Jackson,4109, ,Paseo, ,2003,Completed,8,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,55,55 new senior citizen apartments, ,No,No,"4109 Paseo
Kansas City, MO
(39.05220825900045, -94.56766569599966)",25,3,7,165
1014,Timber Trace Single Family Homes,Jackson,12341, ,Summit,St,2003,Completed,11,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,27,27 single family homes built 1990 to 2003,Ong Building Company,No,No,"12341 Summit St
Kansas City, MO
(38.90453370600045, -94.60202423199968)",121,1,7,129
911,Walnut Grove Apartments Rehabilitation,Clay,3121,NE,37th,St,2003,Completed,4,Residential,Building,Renovation,Housing,Building,Renovation,Housing,Multifamily,,,,,184,renovation of 184-unit apartment complex,Cohen-Esrey Housing Partners,No,No,"3121 37th St
Kansas City, MO
(39.05880501200045, -94.54737485199968)",67,3,7,36
1068,Livestock Marketing Association Offices,Platte,10510,N,Ambassador,Dr,2003,Completed,3,Non-Residential,Building,New,Office,Building,New,Office, ,21000,,,,,"new 21,000 sq. ft. office building",Livestock Marketing Association,No,No,"10510 Ambassador Dr
Kansas City, MO
(39.283194180000464, -94.67369996099967)",203,5,3,130
980,Summit at Sixteenth,Jackson,1601, ,Summit,St,2003,Completed,7,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,24,24 new condominium units,BBL Real Estate Services Group and Loft Capital Investors LLC,No,Yes,"1601 Summit St
Kansas City, MO
(39.09541014300049, -94.59321599799966)",149,4,7,92
1015,Estates at Timber Trace Single Family,Jackson,12213, ,Washington,Ct,2003,Completed,12,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,25,25 single family homes built 1990 to 2003,Ong Building Company,No,No,"12213 Washington Ct
Kansas City, MO
(38.90638256900047, -94.59792499099967)",121,1,7,129
646,NorthGlen Movie Complex,Clay,8000,N,Brighton,Av,2003,Completed,10,Non-Residential,Building,New,Entertainment,Building,New,Entertainment, ,,,,,,new 14-screen movie complex,Dickinson Theatres,No,No,"8000 Brighton Av
Kansas City, MO
(39.23890330600045, -94.52066463399967)",244,6,4,135
936,Carter Center for Visual Arts and Imaging,Jackson,3201, ,Southwest,Tfwy,2003,Completed,5,Non-Residential,Building,New,Education,Building,New,Education, ,,,,,,new $5 million visual arts education center,Metropolitan Community Colleges,No,No,"3201 Tfwy
Kansas City, MO
(39.06943904900049, -94.59461575099965)",85,4,7,50
979,Columbia Burlap Conversion to Loft Apts.,Jackson,1412,W,12th,St,2003,Completed,4,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,20,conversion of warehouse to 20 loft apartments,3rd Millenium,No,Yes,"1412 12th St
Kansas City, MO
(39.100828271000466, -94.60216991499965)",241,4,7,56
881,Ward Pkwy. Center Drive-Up Conversion,Jackson,8600, ,Ward,Pkwy,2003,Completed,5,Non-Residential,Building,Reconfiguration,Retail,Building,Reconfiguration,Retail, ,,90000,,,,conversion of part of the enclosed mall into drive-up retail,Ward Parkway Center,No,No,"8600 Ward Pkwy
Kansas City, MO
(38.97211338700049, -94.6056733479997)",237,1,7,162
978,Brentwood Manor Apartment Renovation,Platte,7024,N,Dawn,Av,2003,Completed,6,Residential,Building,Renovation,Housing,Building,Renovation,Housing,Multifamily,,,,,120,renovation of 120 apartments,Cohen-Esrey Historic Rehab Development,No,No,"7024 Dawn Av
Kansas City, MO
(39.236231606000445, -94.64032994799965)",144,5,3,66
1074,Metro North Mall Renovation,Clay,400,NW,Barry,Rd,2003,Completed,4,Non-Residential,Building,Renovation,Retail,Building,Renovation,Retail, ,,150000,,,,$4 million shopping mall remodeling, ,No,No,"400 Barry Rd
Kansas City, MO
(39.24646527200048, -94.5852059019997)",220,5,4,82
938,Municipal Auditorium Renovation II,Jackson,1310, ,Wyandotte,St,2003,Completed,25,Non-Residential,Building,Renovation,Entertainment,Building,Renovation,Entertainment, ,9000,,,,,"$25 million renovation of space at Municipal Auditorium into 60,000 sq. ft. of exhibition space, plus 9,000 sq. ft. of office space","City of Kansas City, MO",No,No,"1310 Wyandotte St
Kansas City, MO
(39.098453116000485, -94.58569761499967)",5,4,7,72
967,Bannister Bridge At Little Blue Replacement,Jackson,, , , ,2003,Completed,4,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$4 million bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
808,Trails of North Brook Single Family,Clay,7807,NE,75th,Ct,2003,Completed,41,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,168,168 single family homes built 1990 to 2003,Hunt Midwest Real Estate Development,No,No,"7807 75th Ct
Kansas City, MO
(39.22934499900049, -94.48895812699965)",244,6,4,122
818,Maple Park Place Single Family Homes,Clay,2909,NE,78th,St,2003,Completed,22,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,73,73 single family homes built 1990 to 2003, ,No,No,"2909 78th St
Kansas City, MO
(39.23613285100049, -94.5449960959997)",164,6,4,135
921,Children's Mercy Cong. Heart Failure Expan.,Jackson,2401, ,Gillham,Rd,2003,Completed,35,Non-Residential,Building,Expansion,Medical,Building,Expansion,Medical, ,,,,,,hospital expansion to construct 4 operating rooms for congestive heart failure,Children's Mercy Hospital,No,No,"2401 Gillham Rd
Kansas City, MO
(39.08397100400049, -94.57899781199967)",11,4,7,92
797,Country Valley Single Family Homes,Jackson,14925,E,48th,St,2003,Completed,21,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,124,124 single family homes built 1990 to 2003, ,No,No,"14925 48th St
Kansas City, MO
(39.032893093000496, -94.40451842899967)",91,2,7,132
436,11th & Oak Parking Garage,Jackson,1100, ,Oak,St,2003,Completed,20,Non-Residential,Building,New,Parking,Building,New,Parking, ,,15000,,,,"new 1,350-space parking garage with street-level retail space","City of Kansas City, MO",No,No,"1100 Oak St
Kansas City, MO
(39.100872678000485, -94.57853649599969)",5,4,7,75
987,Claybrook Single Family Homes,Clay,7733,N,Norton,Av,2003,Completed,19,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,94,94 single family homes built 1990 to 2003, ,No,No,"7733 Norton Av
Kansas City, MO
(39.23510004500048, -94.53194508699966)",244,6,4,135
1005,Tiffany Place Single Family Homes,Platte,4707,NW,91st,St,2003,Completed,24,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,89,89 single family homes built 1990 to 2003, ,No,No,"4707 91st St
Kansas City, MO
(39.260254536000446, -94.63601797099966)",14,5,3,81
793,Red Bridge Lakes Apartments,Jackson,11300, ,Montgall,Av,2003,Completed,26,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,420,420 new multifamily housing units, ,No,No,"11300 Montgall Av
Kansas City, MO
(38.92198961200046, -94.55865430999967)",4,1,7,149
1028,North Oak Crossing Apartments,Clay,9400,N,Oak,Tfwy,2003,Completed,16,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,64,new 64-unit apartment complex,Brisben Development Company,No,No,"9400 Oak
Tfwy Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1043,Sheffield Family Life Center,Jackson,5700, ,Winner,Rd,2003,Completed,10,Non-Residential,Building,New,Social Service,Building,New,Social Service, ,,,,,,new chapel and church administration building,Sheffield Family Life Center,No,No,"5700 Winner Rd
Kansas City, MO
(39.10095866100045, -94.51530671299969)",218,4,7,76
1132,Ultimate Electronics Store,Platte,2251,NW,Barry,Rd,2003,Completed,3,Non-Residential,Building,New,Retail,Building,New,Retail, ,,32000,,,,"new 32,000 sq. ft. store",Ultimate Electronics Inc.,No,No,"2251 Barry Rd
Kansas City, MO
(39.24624297100047, -94.60725221599967)",59,5,3,66
943,Hanover Lofts Apartments,Jackson,15,W,10th,St,2003,Completed,7,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,50,conversion of office building into 50 apartments,DLS Historic Partners,No,Yes,"15 10th St
Kansas City, MO
(39.1021927110005, -94.58377129599967)",5,4,7,72
1109,Social Security Building,Jackson,2017, ,Independence,Blvd,2003,Completed,2,Non-Residential,Building,New,Office,Building,New,Office, ,10000,,,,,"new 10,000 sq. ft. government office building",U.S. Government,No,No,"2017 Independence Blvd
Kansas City, MO
(39.10653681000048, -94.55775459899968)",134,3,7,70
984,27th Street Redevelopment Single Family,Jackson,5400,E,27th,St,2003,Completed,3,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,24,24 new single family homes,Greater Corinthian Church of Christ Denominational,No,No,"5400 27th St
Kansas City, MO
(39.07609734400046, -94.5201497119997)",222,3,7,95
1190,Lake Forest Estates Single Family Homes,Platte,8623,N,Oregon,Av,2003,Completed,18,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,48,48 single family homes built 1990 to 2003, ,No,No,"8623 Oregon Av
Kansas City, MO
(39.25028772900049, -94.63436571999966)",14,5,3,81
1212,Gracemore Elementary School Addition,Clay,5125,N,Sycamore,Av,2003,Completed,4,Non-Residential,Building,Expansion,Education,Building,Expansion,Education, ,,,,,,$4 million addition to school,North Kansas City School District,No,No,"5125 Sycamore Av
Kansas City, MO
(39.03053830200048, -94.4917651779997)",19,3,7,155
1094,M-152 & Greenhills Interchange,Platte,, , , ,2003,Completed,13,Other Capital Improvement,Infrastructure,New,Road,Infrastructure,New,Road, ,,,,,,new highway interchange,Missouri Department of Transportation,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
917,Wayne Minor Court Apartment Renovation,Jackson,1940,E,11th,St,2003,Completed,6,Residential,Building,Renovation,Housing,Building,Renovation,Housing,Multifamily,,,,,74,"renovation of 74 townhouses, along with new parking, landscaping, lighting, fencing, and playgrounds",Kansas City Housing Authority,No,No,"1940 11th St
Kansas City, MO
(39.10036571700044, -94.55900110799968)",100,3,7,95
650,2555 Grand Office Building,Jackson,2555, ,Grand,Av,2003,Completed,70,Non-Residential,Building,New,Office,Building,New,Office, ,600000,,,,,"new 600,000 sq. ft. office building",Crown Center Redevelopment Corp.,No,No,"2555 Grand Av
Kansas City, MO
(39.07969011300048, -94.58311513399968)",97,4,7,92
1066,Pascal's on the Plaza Market / Restaurant,Jackson,500, ,Nichols,Rd,2003,Completed,8,Non-Residential,Building,Renovation,Retail,Building,Renovation,Retail, ,,12000,,,,"remodeling of 12,000 sq. ft. of Seville on the Plaza for a market / restaurant",Mark Walker,No,No,"500 Nichols Rd
Kansas City, MO
(39.041356504000476, -94.59362151499965)",103,4,7,44
1093,M-152 & Ambassador Drive Interchange,Platte,, , , ,2003,Completed,8,Other Capital Improvement,Infrastructure,New,Road,Infrastructure,New,Road, ,,,,,,new highway interchange,Missouri Department of Transportation,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
901,Falcon Ridge/Falls Residential & Commercial,Platte,6900,N,Bell,St,2003,Completed,121,Residential,Building,New,Housing,Building,New,Housing / Office / Retail,Mix,22000,22000,,,96,"96 new patio and townhouse units plus 44,000 sq. ft. of commercial space",Falcon Ridge LLC,No,No,"6900 Bell St
Kansas City, MO
(39.04460065800049, -94.60662968499969)",148,4,7,44
1219,811 Main Office Building Renovation,Jackson,811, ,Main,St,2003,Completed,7,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,,,,,,$7 million renovation to office building,Tower Properties Co.,No,No,"811 Main St
Kansas City, MO
(39.19344861600047, -94.68362998399965)",,,3,77
1048,Water Services Dept. Hq. Remodeling,Jackson,, , , ,2003,Completed,6,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,93000,,,,,$6 million remoding of office building,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1024,Kensington Court and the Villas Apartments,Clay,6500,NE,43rd,St,2003,Completed,19,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,192,"192 new apartments, including 64 apartments for persons 55 or older", ,No,No,"6500 43rd St
Kansas City, MO
(39.04936120700046, -94.58652909299968)",216,4,7,50
915,Vine Street Lofts,Jackson,2101, ,Vine,St,2003,Completed,11,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,62,new 62-unit apartment building,"Bank of America, Black Economic Union, and Move-Up",No,No,"2101 Vine St
Kansas City, MO
(39.08655850400049, -94.56353565899968)",234,3,7,92
1029,Timber Lakes Apartments,Jackson,11427, ,Chestnut,Av,2003,Completed,12,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,168,168 new apartments built 2002 to 2003,DFC Company of Lawrence,No,No,"11427 Chestnut Av
Kansas City, MO
(38.91872668600047, -94.55761362299967)",4,1,7,149
940,CityPlace at Westport,Jackson,4290, ,Pennsylvania,Av,2003,Completed,35,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,288,288 new multifamily housing units,Lincoln Property Co. and DST Realty,No,Yes,"4290 Pennsylvania Av
Kansas City, MO
(39.050750140000446, -94.58981314699969)",42,4,7,50
549,Alphapointe Life Skills Center,Jackson,7501, ,Prospect,Av,2003,Completed,13,Non-Residential,Building,New,Industrial,Building,New,Industrial, ,,,120000,,,"new 120,000 sq. ft. industrial facility to train and employ the blind",Lioness Realty Group,No,No,"7501 Prospect Av
Kansas City, MO
(38.99058816700045, -94.55725591999965)",93,2,7,151
1133,The Shops at Boardwalk,Platte,8700,N,Ambassador,Dr,2003,Completed,17,Non-Residential,Building,New,Retail,Building,New,Retail, ,,136000,,,,"new 136,000 sq. ft. retail center",RED Development,No,No,"8700 Ambassador Dr
Kansas City, MO
(39.25146029500047, -94.64975593799966)",14,5,3,81
1248,Boulevard Brewing Expansion,Jackson,2501, ,Southwest,Bl,2003,Completed,4,Non-Residential,Building,Expansion,Industrial,Building,Expansion,Industrial, ,,,4000,,,several expansions to a brewery,Boulevard Brewing Co.,No,No,"2501 Bl
Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
942,Chambers Lofts Apartments,Jackson,25,E,12th,St,2003,Completed,7,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,50,conversion of office building into 50 apartments,DLS Historic Partners,No,Yes,"25 12th St
Kansas City, MO
(39.099873636000495, -94.58241159399967)",5,4,7,75
1706,Lofts At River Market West,Jackson,320,W,5th,St,2003,Completed,15,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,45,45 new multifamily units,George Birt,No,Yes,"320 5th St
Kansas City, MO
(39.31584422800046, -94.66508705599966)",,,3,133
1059,920 Main Street Office Renovation,Jackson,920, ,Main,St,2003,Completed,4,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,,,,,,$4 million office building renovation,E & K of Kansas City,No,No,"920 Main St
Kansas City, MO
(39.19379472300045, -94.68383643199968)",,,3,77
897,Cathedral of Immaculate Conception Renov.,Jackson,416,W,12th,St,2003,Completed,8,Non-Residential,Building,Renovation,Social Service,Building,Renovation,Social Service, ,,,,,,"$8 million church renovation, including regilding of the dome, restoration of the stained glass windows, and interior work",Catholic Diocese of Kansas City - St. Joseph,No,No,"416 12th St
Kansas City, MO
(39.10015872800045, -94.5888806109997)",185,4,7,72
1245,Rockhurst University Sports Facility,Jackson,, , , ,2003,Completed,12,Other Capital Improvement,Open Space,New,Recreation,Open Space,New,Recreation, ,,,,,,"new $12 million sports facility, with baseball stadium, soccer field, and eight tennis courts",Rockhurst University,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1150,Gardens at Barry Road Retirement Center I,Platte,8300,NW,Barry,Rd,2003,Completed,9,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,79,79-unit first phase of a new retirement community, ,No,No,"8300 Barry Rd
Kansas City, MO
(39.246945577000474, -94.67782326999969)",184,5,3,130
1010,Terrace Manor Duplexes,Jackson,11329, ,Indiana,Av,2003,Completed,3,Residential,Building,New,Housing,Building,New,Housing,Duplex,,,,,32,32 duplex units built 1990 to 2003,Dulaney Construction,No,No,"11329 Indiana Av
Kansas City, MO
(38.919298555000466, -94.55062559499964)",4,1,7,149
941,Library Lofts Apartments,Jackson,127,W,10th,St,2003,Completed,42,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,286,conversion of three office buildings into 286 apartments,Master Realty Properties,No,Yes,"127 10th St
Kansas City, MO
(39.1022329810005, -94.58492135799969)",5,4,7,72
1079,Ameristar Casino Expansion & Renov.,Clay,3210,N,Station,Dr,2003,Completed,64,Non-Residential,Building,Expansion,Parking,Building,New,Parking / Restaurant, ,,,,,,"2,650-space parking garage expansion, and expanded or renovated restaurants",Ameristar Casinos Inc.,No,No,"3210 Station Dr
Kansas City, MO
(39.15126693400049, -94.47728642799967)",138,6,4,89
1038,Broadway Bridge Enhancements,Jackson,, , , ,2003,Completed,10,Other Capital Improvement,Infrastructure,Upgrade,Bridge,Infrastructure,Upgrade / Renovation,Bridge, ,,,,,,"lighting, painting, decorative railings and cleanup of bridge and environs",Missouri Department of Transportation,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
916,Chouteau Courts Apartment Renovation,Jackson,1220, ,Independence,Av,2003,Completed,4,Residential,Building,Renovation,Housing,Building,Renovation,Housing / Meeting Space / Entertainment,Multifamily,,,,,134,renovation and conversion of 140 apartments into 134 apartments and renovation of a community center,Kansas City Housing Authority,No,No,"1220 Independence Av
Kansas City, MO
(39.10693471400049, -94.56780970399967)",183,3,7,75
375,Flintlock Road Widening: NE 76th to 96th,Clay,, , , ,2003,Completed,5,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,widening of arterial to 4 lanes,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
925,Ridgeview Heights Apartment Rehab,Jackson,3223, ,Hardesty,Dr,2003,Completed,14,Residential,Building,Renovation,Housing,Building,Renovation,Housing,Multifamily,,,,,192,renovation of 192-unit apartment complex,Community Builders of Kansas City,No,No,"3223 Hardesty Dr
Kansas City, MO
(39.06641342600045, -94.52147325999965)",122,3,7,36
1064,Crown Center Parking Garage #8,Jackson,2575, ,Warwick,Tfwy,2003,Completed,30,Non-Residential,Building,New,Parking,Building,New,Parking, ,,,,,,new parking garage,Crown Center Redevelopment Corp.,No,No,"2575 Warwick
Tfwy Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
907,TWA Overhaul Base Improvements,Platte,11200,N,Apron,Rd,2003,Completed,110,Non-Residential,Building,Renovation,Heavy Commercial,Building,Renovation,Heavy Commercial, ,,,1100000,,,"$110 million worth of structural, mechanical, and capital improvements to overhaul base","City of Kansas City, MO",No,No,"11200 Apron Rd
Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1217,Burrows Company Warehouse,Jackson,6101, ,Parretta,Dr,2003,Completed,3,Non-Residential,Building,New,Warehouse,Building,New,Warehouse, ,,,27000,,,"new 27,000 sq. ft. warehouse", ,No,No,"6101 Parretta Dr
Kansas City, MO
(39.13499256400047, -94.5111504089997)",53,4,7,144
1135,Krispy Kreme Bakery,Platte,10760,N,Congress,Av,2003,Completed,5,Non-Residential,Building,Use Conversion,Industrial,Building,Use Conversion,Industrial, ,,,30000,,,"conversion of existing building to create 30,000 sq. ft. bakery",Krispy Kreme Doughnuts,No,No,"10760 Congress Av
Kansas City, MO
(39.288794951000455, -94.66792452999965)",203,5,3,130
1225,Kansas City Cancer Cen. - 1000 E. 101st Te.,Jackson,1000,E,101st,Te,2004,Completed,10,Non-Residential,Building,New,Medical,Building,New,Medical, ,,,,,,new $10 million medical facility,Kansas City Cancer Centers,No,No,"1000 101st
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1121,Children's Mercy Pediatric Research Center,Jackson,2401, ,Gillham,Rd,2004,Completed,17,Non-Residential,Building,Expansion,Medical,Building,Expansion,Medical, ,,,,,,"32,000 sq. ft. hospital expansion for research",Children's Mercy Hospital,No,No,"2401 Gillham Rd
Kansas City, MO
(39.08397100400049, -94.57899781199967)",11,4,7,92
824,Willow Brooke Single Family Homes,Clay,9420,N,Lydia,Av,2004,Completed,73,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,239,239 single family homes built 1990 to 2004,Willow Brooke Development Co.,No,No,"9420 Lydia Av
Kansas City, MO
(39.26529301400046, -94.56186208899965)",30,5,4,82
1039,Club House Lofts at Former KC Club,Jackson,1228, ,Baltimore,Av,2004,Completed,12,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,74,conversion of former professional club and temporary lodging to 72 apartments,Mark Latshaw,No,Yes,"1228 Baltimore Av
Kansas City, MO
(39.09889176100046, -94.58436586999966)",5,4,7,72
860,Barry Harbor Single Family Homes,Platte,8201,NW,Harden,Dr,2004,Completed,30,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,114,114 single family homes built 1990 to 2004, ,No,No,"8201 Harden Dr
Kansas City, MO
(39.24127555600046, -94.60799720999967)",59,5,3,66
906,KCI Parking Improvements,Platte,600,E,Cookingham,Dr,2004,Completed,259,City Capital Improvement,Infrastructure,New,Parking,Infrastructure / Building,New,Parking / Transportation, ,,,,,,"new 15,000-space parking lot, and airport bus operations and storage facilities","City of Kansas City, MO",No,No,"600 Cookingham Dr
Kansas City, MO
(39.30384067900047, -94.58168688999967)",105,5,4,82
830,Willow Park Single Family Homes,Clay,901,NE,102nd,St,2004,Completed,24,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,85,85 single family homes built 1990 to 2004,"Park Development, Inc.",No,No,"901 102nd St
Kansas City, MO
(39.27675809800047, -94.56637942699967)",80,5,4,82
