Project No.,Title,County,School District,Census Tract,West to East Coordinate,South to North Coordinate,Number,Direction,Name,Suffix,Completion Year Estimate,Status,Cost in Millions of Dollars,Overall Classification Type,Primary Project Type,Primary Activity Type,Primary Use Type,Complex Project Type,Complex Activity Type,Complex Use Type,Housing Sub-Type,Office Square Feet,Retail and Commercial Square Feet,Industrial / Warehouse / Heavy Commercial Sq. Ft.,Hotel Rooms,Housing Units,Description,Developer,Also in 1983 to 1989 Database?,Also in River-Crown-Plaza Housing Database?,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
1879,Police Headquarters Renovation and Expansion,Jackson,Kansas City,159,2766854,1068099,1101, ,Locust,St,2014,Underway,21,Non-Residential,Building,Renovation,Public Safety,Building,Renovation / Expansion,Public Safety, ,,,,,,"Renovation and expansion of 90,000 sq. ft. police headquarters","City of Kansas City, MO",No,No,"1101 Locust St
Kansas City, MO
(39.1006589000005, -94.57731507999966)",5,4,7,75
1636,Botts Road - M150 to Grandview City Limits,Jackson,Grandview,134.05,2775570,981627,, , , ,2013,Underway,30,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$30 million road alignment improvement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1266,Tiffany Hills Youth Athletic Complex,Platte,Park Hill,303.08,2740363,1127628,7700,NW,Tiffany Springs,Rd,2005,Completed,8,City Capital Improvement,Infrastructure,New,Recreation,Infrastructure,New,Recreation, ,,,,,,new $8 million baseball and soccer complex,"City of Kansas City, MO",No,No,"7700 Tiffany Springs Rd
Kansas City, MO
(39.257142597000495, -94.61270990299965)",203,5,3,81
947,Manchester Bridge over Union Pacific RR,Jackson,Kansas City,155,2786532,1075572,, , , ,2005,Completed,11,City Capital Improvement,Infrastructure,Renovation,Bridge,Infrastructure,Renovation,Bridge, ,,,,,,$7 million bridge repair,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
653,East Patrol Division Headquarters Renov.,Jackson,Kansas City,164,2782556,1059325,5301,E,27th,St,1990,Completed,2,Non-Residential,Building,Renovation,Public Safety,Building,Renovation,Public Safety, ,,,,,,$2 million renovation of police building,"City of Kansas City, MO",No,No,"5301 27th St
Kansas City, MO
(39.076081169000474, -94.5213132619997)",107,3,7,36
1086,North Patrol Division Addition & Renov.,Clay,Platte County,212.08,2762665,1120953,1001,NW,Barry,Rd,2005,Completed,7,Non-Residential,Building,Expansion,Public Safety,Building,Expansion / Renovation,Public Safety, ,,,,,,$7 million addition and renovation to police building,"City of Kansas City, MO",No,No,"1001 Barry Rd
Kansas City, MO
(39.245803555000464, -94.59177790599966)",59,5,4,154
731,Marlborough Community Center,Jackson,Center,95,2769589,1024048,8200, ,Paseo, ,1999,Completed,2,Non-Residential,Building,New,Entertainment,Building,New,Entertainment / Meeting Space, ,,,,,,"new 8,000 sq. ft. community center","City of Kansas City, MO",No,No,"8200 Paseo
Kansas City, MO
(38.97896200200046, -94.56713626499965)",205,2,7,163
955,City Hall Life Safety Improvements,Jackson,Kansas City,159,2766577,1068328,414,E,12th,St,2010,Completed,10,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,,,,,,ongoing safety improvements - $6 million from 1993 to 2007,"City of Kansas City, MO",No,No,"414 12th St
Kansas City, MO
(39.09976822400046, -94.57760052299966)",5,4,7,75
1264,Nashua Wastewater Treatment Plant,Clay,Smithville,219,2767692,1152845,500,NE,132nd,St,2005,Completed,10,City Capital Improvement,Building,New,Industrial,Building,New,Industrial, ,,,200000,,,new $10 million wastewater treatment plant,"City of Kansas City, MO",No,No,"500 132nd St
Kansas City, MO
(39.33216208500045, -94.5831725489997)",180,5,4,131
1262,Sprint Center Arena,Jackson,Kansas City,157,2765900,1067070,1401, ,Grand,Bl,2007,Completed,276,Non-Residential,Building,New,Entertainment,Building,New,Entertainment, ,,,,,,"new 18,500-seat arena with 72 suites and the National Collegiate Basketball Hall of Fame","City of Kansas City, MO",No,No,"1401 Grand
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1131,Police Academy,Clay,North Kansas City,209.02,2789384,1108759,6901, ,Pleasant Valley,Rd,2007,Completed,30,Non-Residential,Building,New,Public Safety,Building / Infrastructure,New,Public Safety, ,,,,,,"new 100,000 sq. ft. police academy building, plus training courses","City of Kansas City, MO",No,No,"6901 Pleasant Valley Rd
Kansas City, MO
(39.2165737950005, -94.49869189199967)",187,6,4,135
1891,Middle Blue River Basin Green Solutions,Jackson,Kansas City,90,2767836,1027800,1300,E,76th,St,2012,Completed,9,City Capital Improvement,Infrastructure,Upgrade,Flood Control,Infrastructure / Open Space,Upgrade,Flood Control / Streetscape / Sidewalks / Road, ,,,,,,"upgraded sewers, sidewalks, curbs and streets plus joined with green solutions such as rain gardens, stairstepped gardens on sloped streets, and landscaped curb extensions","City of Kansas City, MO",No,No,"1300 76th St
Kansas City, MO
(38.98939783500049, -94.57335915299967)",98,2,7,163
1401,Fire Station # 41,Jackson,Hickman Mills,174,2782619,1015877,9300, ,Hillcrest,Rd,2006,Completed,4,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,new $4 million fire station,"City of Kansas City, MO",No,No,"9300 Hillcrest Rd
Kansas City, MO
(38.9567556020005, -94.5209224139997)",35,2,7,98
517,87th Street Impvts. - 71 Hy. To I-435,Jackson,Hickman Mills,172,2781100,1019899,, , , ,2011,Completed,20,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,widening from U.S. 71 Highway to I-435,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
378,Independence Avenue Streetscaping,Jackson,Kansas City,154,2773518,1070407,, , , ,2005,Completed,6,City Capital Improvement,Open Space,Upgrade,Streetscape,Open Space,Upgrade,Streetscape, ,,,,,,$6 million streetscaping project from the Paseo to Benton Blvd.,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
961,Prospect Ave. Bridge over Brush Creek,Jackson,Kansas City,77,2773269,1046534,, , , ,2004,Completed,8,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$8 million bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1701,KCI Intermodal BusinessCentre Infrastructure,Platte,Park Hill,303.08,2735215,1133800,10300,N,Amity,Av,2009,Completed,15,City Capital Improvement,Infrastructure,New,Road,Infrastructure,New,"Road, Sewer", ,,,,,,"$15 million of road, sewer and other infrastructure improvements","City of Kansas City, MO",No,No,"10300 Amity Av
Kansas City, MO
(39.27783261600047, -94.68662580499966)",203,5,3,130
1888,Blue River Wastewater Treatment Plant Epansion,Jackson,Kansas City,155,2789517,1075778,7300, ,Hawthorne,Rd,2013,Underway,48,City Capital Improvement,Building,Expansion,Industrial,Building,Expansion,Industrial, ,,,,,,$48 million wastewater treatment plant expansion,"City of Kansas City, MO",No,No,"7300 Hawthorne Rd
Kansas City, MO
(39.12102554900048, -94.4970648209997)",53,4,7,144
508,Paseo Bridge at Brush Creek,Jackson,Kansas City,63,2769312,1046398,, , , ,1990,Completed,4,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$4 million new bridge over Brush Creek with many decorative elements,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1869,First and Second Creek Sewers,Platte,Platte County,302.01,2755442,1139936,, , , ,2020,Approved,40,City Capital Improvement,Infrastructure,New,Sewer,Infrastructure,New,Sewer, ,,,,,,$40 million extension of sewers,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1232,Hickman Mills Widening - 106th-Red Bridge,Jackson,Hickman Mills,131,2781427,1006284,, , , ,2005,Completed,4,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$4 million road widening improvement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
963,Fire Station # 36,Jackson,Center,101.03,2765313,1012802,9903, ,Holmes,Rd,2004,Completed,5,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,new $5 million fire station,"City of Kansas City, MO",No,No,"9903 Holmes Rd
Kansas City, MO
(38.94795889700049, -94.58234526699965)",212,2,7,163
535,State Line Road Widening,Jackson,Grandview,101.05,2758007,1000668,, , , ,1990,Completed,11,Other Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$11 million road widening from I-435 to M-150 Highway,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
457,27th & Benton Redevelopment,Jackson,Kansas City,38,2774788,1059691,2900, ,Benton,Bl,2010,Completed,13,Residential,Building,New,Housing,Building / Open Space,New,Housing / Gateway,Mix,,,,,100,"demolition of blighting retail buildings and multifamily housing; and redevelopment, probably involving entrance gateway and housing","City of Kansas City, MO",No,No,"2900 Benton
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1850,KCI Field Maintenance Facility Renovation,Platte,Platte County,303.07,2726105,1147172,154,N,Tokyo,St,2012,Underway,4,Non-Residential,Building,New,Transportation,Building,New,Transportation, ,,,54000,,,"$4 million renovation of 54,000 sq. ft. maintenance building","City of Kansas City, MO",No,No,"154 Tokyo St
Kansas City, MO
(39.323453445000496, -94.7143346849997)",203,5,3,133
1569,Second Street Upgrade,Jackson,Kansas City,152,2765310,1072127,, , , ,2009,Completed,4,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road / Sidewalks / Sewer / Streetscape, ,,,,,,"$4 upgrade of street, sidewalks, sewers, streetlights, curbs and gutters plus public art","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
704,Federal Inspection Service Center,Platte,Park Hill,303.07,2728028,1138699,59, ,Beirut,Cir,1998,Completed,3,Non-Residential,Building,Use Conversion,Transportation,Building,Use Conversion ,Transportation, ,,,,,,$3.2 million expansion of customs facilities in Terminal C of KCI,"City of Kansas City, MO",No,No,"59 Beirut Cir
Kansas City, MO
(39.29502328800049, -94.71447938599965)",203,5,3,130
492,Brush Creek Community Center,Jackson,Kansas City,171,2777415,1045408,3801, ,Brush Creek,Bl,1995,Completed,3,Non-Residential,Building,New,Entertainment,Building,New,Entertainment / Meeting Space, ,,,,,,new community center,"City of Kansas City, MO",No,No,"3801 Brush Creek
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
952,Little Blue Rd. Little Blue R. Bridge Replacement,Jackson,Raytown,143,2814682,1027871,, , , ,2005,Completed,4,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$4 million bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1457,Town Fork Creek Drainage,Jackson,Kansas City,79,2774728,1039934,, , , ,2012,Underway,3,City Capital Improvement,Infrastructure,Upgrade,Flood Control,Infrastructure,Upgrade,Flood Control, ,,,,,,$3 million flood control upgrade,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1541,City Hall North Entrance Improvements,Jackson,Kansas City,159,2766599,1068368,414,E,12th,St,2007,Completed,4,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,,,,,,"$4 million renovation, and improvements for fire safety, security and accessibility","City of Kansas City, MO",No,No,"414 12th St
Kansas City, MO
(39.09976822400046, -94.57760052299966)",5,4,7,75
1241,Wheeler Airport Runway Overlay/Safety Area,Clay,North Kansas City,221,2762776,1076281,400,N,Richards,Rd,2006,Completed,5,City Capital Improvement,Infrastructure,Upgrade,Aviation,Infrastructure,Upgrade / New,Aviation, ,,,,,,$5 million overlay of airport runway and construction of a safety area,"City of Kansas City, MO",No,No,"400 Richards Rd
Kansas City, MO
(39.121376592000445, -94.5884497139997)",241,4,4,167
1035,KCI Environmental Compliance Impvts.,Platte,Platte County,303.07,2726381,1138833,, , , ,2008,Completed,24,City Capital Improvement,Infrastructure,Upgrade,Aviation,Infrastructure,Upgrade,Aviation, ,,,,,,$24 million of airport environmental compliance improvements,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
375,Flintlock Road Widening: NE 76th to 96th,Clay,Liberty,213.09,2798523,1124688,, , , ,2003,Completed,5,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,widening of arterial to 4 lanes,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1635,Longview Aquatics Center and Football Fields,Jackson,Hickman Mills,132.08,2786265,1000684,7101,E,Longview,Rd,2013,Underway,7,City Capital Improvement,Building,New,Entertainment,Building,New,Entertainment, ,,,,,,$28 million aquatics center and football fields,"City of Kansas City, MO",No,No,"7101 Longview Rd
Kansas City, MO
(38.915088650000484, -94.50853397299966)",151,1,7,143
960,N. Oak Widening - 85th to Cookingham,Clay,North Kansas City,213.06,2767282,1132611,, , , ,2008,Completed,15,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$15 million road widening,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
907,TWA Overhaul Base Improvements,Platte,Park Hill,303.07,2732470,1139420,11200,N,Apron,Rd,2003,Completed,110,Non-Residential,Building,Renovation,Heavy Commercial,Building,Renovation,Heavy Commercial, ,,,1100000,,,"$110 million worth of structural, mechanical, and capital improvements to overhaul base","City of Kansas City, MO",No,No,"11200 Apron Rd
Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1548,Starlight Theater Improvements - IV,Jackson,Kansas City,9801.01,2779556,1034241,4600, ,Starlight,Rd,2007,Completed,3,City Capital Improvement,Infrastructure,Replacement,Entertainment,Infrastructure / Building / Open Space,Replacement / Expansion / Upgrade,Entertainment, ,,,,,,"new party pavilions and west entrance gate, upgraded offset seating and landscaping at Starlight Theater","City of Kansas City, MO",No,No,"4600 Starlight Rd
Kansas City, MO
(39.00825718100049, -94.5348882139997)",52,2,7,151
1632,Lower Blue Parkway Industrial Bridge Replacement,Jackson,Kansas City,78.02,2781150,1044185,, , , ,2008,Completed,10,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$10 million bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
948,Forrester Viaduct Replacement,Jackson,Kansas City,152,2760412,1069538,, , , ,2009,Completed,25,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$25 million bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
414,Southwest Boulevard Streetscape,Jackson,Kansas City,153,2762045,1062498,, , , ,1995,Completed,5,City Capital Improvement,Infrastructure,Upgrade,Sidewalks,Infrastructure / Building / Open Space,Upgrade,Sidewalks / Parking / Facades, ,,,,,,"$5 million project to provide new curbs, gutters, brick sidewalks, trees, planters, streetlights and parking between Washington and 25th Streets","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1853,Fire Station 39,Jackson,Raytown,107.02,2803268,1045280,11100,E,47th,St,2011,Completed,3,Non-Residential,Building,New,Public Safety,Building,New,Public Safety, ,,,,,,new fire station,"City of Kansas City, MO",No,No,"11100 47th St
Kansas City, MO
(39.03692610200045, -94.44870106399969)",165,3,7,37
1237,Blue River Rd Bridge Replacement near 71Hy,Jackson,Center,96,2775395,1020866,, , , ,2009,Completed,11,City Capital Improvement,Infrastructure,Replacement,Bridge,Infrastructure,Replacement,Bridge, ,,,,,,$4 million bridge replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1686,Bartle Hall North Loading Dock Addition,Jackson,Kansas City,157,2763951,1067923,1200, ,Central,St,2008,Completed,7,Non-Residential,Building,Expansion,Distribution,Building,Expansion,Distribution, ,,,27000,,,"screening of 27,000 sq. ft. loading dock","City of Kansas City, MO",No,No,"1200 Central St
Kansas City, MO
(39.09999795700048, -94.58704212799967)",5,4,7,72
1356,Starlight Theater Restroom & Concession Upgrade,Jackson,Kansas City,9801.01,2779556,1034241,4600, ,Starlight,Rd,2005,Completed,4,Non-Residential,Building,Renovation,Entertainment,Building,Renovation,Entertainment, ,,,,,,$4 million of improvements to restrooms and concessions at theater,"City of Kansas City, MO",No,No,"4600 Starlight Rd
Kansas City, MO
(39.00825718100049, -94.5348882139997)",52,2,7,151
1545,Tiffany Springs Parkway Extension to Amity,Platte,Park Hill,303.08,2737957,1130934,, , , ,2007,Completed,8,City Capital Improvement,Infrastructure,New,Road,Infrastructure,New,Road, ,,,,,,$8 million street extension,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
965,KCI Runway/Taxiway Improvements,Platte,Platte County,303.07,2726377,1138833,, , , ,2011,Completed,259,City Capital Improvement,Infrastructure,Upgrade,Aviation,Infrastructure,Upgrade,Aviation, ,,,,,,"$239 million aviation runway, taxiway and apron upgrade","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1240,Wheeler Airport Relief Wells,Clay,North Kansas City,221,2760126,1073771,, , , ,2009,Completed,11,City Capital Improvement,Infrastructure,Renovation,Flood Control,Infrastructure,Renovation / Replacement,Flood Control, ,,,,,,$11 million flood relief well rehabilitation or replacement,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
429,NW 68th St. Widening: Holly-Waukomis,Platte,Park Hill,300.01,2759071,1110860,, , , ,2002,Completed,5,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$5 million road widening,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
