"type","name","address","artist","architect","owner","operator","medium","date_of_creation","inside_outside","operating_hours","special_instructions","coordinates","contact_information","description","geocoded_column"
"Historical Monuments and Memorials","Red Bridge Decorative Column Panels","11103 Holmes Road, Kansas City, MO 64131",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,"2011","Outside","M-Sun 5am-12am",,"38.921821 -94.578812",,,"POINT (-94.583632 38.922243)"
"Public Art","Sky Stations","Kansas City Convention Center, 301 W 13th St #100, Kansas City, MO 64105","R.M. Fischer",,"Municipal Art Commission","Convention and Facilities Department","Stainless Steel, Aluminum and Lights","1994","Outside","24/7",,"39.098253, -94.587498",,"Transforming the city's skyline, R.M. Fischer's stainless sculptures tower above the Kansas City Convention Center and Bartle Hall. The four ornaments adorning the building's structural supports are interpretations or the Art Deco style prevalent in nearby buildings. Interior decoration completes the synthesis of old and new parts of the convention center with 48 hanging works, including a giant clock and light fixtures throughour pedestrian passageways and conference center. Although initially derided, Sky Stations is now perhaps the most notable example of public art in Kansas City.",
"Public Art","Gathering, Watching, and Passing by (4th & Delaware)","Streetcar Stop at 4th Street & Delaware Street, Kansas City, MO 64105","Celina Curry",,"Municipal Art Commission","Kansas City Streetcar Autority","Acrylic","2015","Outside","24/7",,"39.059834, -94.821599",,"The canopies of three streetcar stops at the River Market terminus portay the flourishing activity of the many people who ride the streetcar. The three separate and visually distinct shelter roofs show images that were drawn in graphite and digitized to different degrees, and then printed on the acrylic panels. The colorful depiction of passengers in the canopies lends a joyous, even whimsical tone while serving a protective function. The works are found at 3rd adn Grand, 4th adn Delaware, and 5th and Walnut.",
"Fountains","Eagle Scout Memorial Fountain","E 39th Street and Gillham Road, Kansas City, MO 64109","Charles Fallen McKim","Maurice McMullen","Kansas City Parks & Recreation Department","City of Fountains Foundation","Stone and Aluminum","1968","Outside","24/7",,"39.0563629 -94.5800267","https://www.kcfountains.com/single-post/2016/08/25/Eagle-Scout-Tribute-Fountain","The Eagle Scout Tribute Fountain is set against the backdrop of a 22-foot high marble sculpture by Adolph Weinman.  The sculpture consists of a large wreath bordered on both sides by a woman and an eagle.  The women represent Day and Night.  Within the wreath, an enlarged Boy Scout Eagle Badge is displayed.   A two-tiered fountain pool and two winding concrete staircases complete the monument.

The sculpture once stood over the Seventh Street entrance to the Pennsylvania Railroad Station in New York City - once billed as ""the largest structure in the world devoted solely to the use and convenience of railroad passenger"" - from 1910 until the station closed in 1963 and the building demolished.  A large clock was within the wreath welcoming travelers and commuters to the station.  

Eagle Badges were first awarded in 1912 to Scouts of the highest achievement.  The badge features a silver eagle suspended from a red, white and blue scroll.  A knot hangs from the scroll signifying the Scout slogan:  ""Do a Good Turn Daily.""

In 1966, Kansas City businessman and National Boy Scout executive John W. ""Twink"" Starr arranged through a friend at the Pennsylvania Railroad to have the sculpture brought to Kansas City when the station in New York was demolished.  Kansas City architect Maurice McMullen designed the setting for the historic sculpture and included a fountain with two spiral stairways to complete the memorial.  Starr, with his wife, Martha Jane Phillips Starr, and other supporters of the Boy Scouts provided the funds to construct the fountain.  Hoffman Cortez Construction completed the work in 1968.

In 2013, an additional gift by the Martha Jane Phillips Starr Donor Advised Fund provided the funds to pay for renovations, upgrades, sculpture restoration and site work at the landmark fountain.  The landscaping is partially maintained by local Scouts.","POINT (-94.580035 39.05636)"
"Fountains","Harold D. Rice Fountain","The Paseo and E. 72nd Street, Kansas City, MO 64131",,,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Stone","1989","Outside","24/7",,"38.9966161 -94.5662242","https://www.kcfountains.com/single-post/2016/07/30/Harold-D-Rice-Memorial-Fountain","Harold D. Rice founded of the City of Fountains Foundation in 1973 with the goals of adding one fountain per year and preserving the city's existing fountains. This fountain, dedicated to him, is a pedestal with its multi-tiered bowls resting in a pool basin.

The fountain is located near E 71st Terrace in a grassy concourse of The Paseo.  There is a red brick patio around the fountain.  There used to be benches at the fountain but they were frequent targets of vandalism and were removed.","POINT (-94.565524 38.996578)"
"Historical Monuments and Memorials","Union Cemetery Memorial","Warwick Trfy and E. 28th Terrace, Kansas City, MO 64108",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Graves","1857","Outside","Check for hours and events",,"39.0752466 -94.5839461",,,"POINT (-94.583975 39.075326)"
"Fountains","Loose Park Lake Fountain","Loose Park, W. 51st Street and Wornall Road, Kansas City, MO 64112",,,"Kansas City Parks & Recreation Department","City of Fountains Foundation",,,"Outside",,,"39.031411 -94.5944738","https://www.kcfountains.com/single-post/2016/10/10/Loose-Park-Lake-Fountain","In 1927, Ella Loose, wife of the late Jacob Loose, donated the land that is now Loose Park to the city to create a park in honor of her husband.  On that land, was a small lake.  In 1964, the lake was beautified in the style of a Japanese garden and a fountain was installed in the lake.  In 1993, after renovating and sealing the lake, the fountain was donated to the Kansas City Parks and Recreation Department by the Air-O-Lator Corporation and the Cramer family in memory of Roy A. Cramer, Jr. founder of the Air-O-Lator Corporation.  Air-O-Lator also extended perpetual repair of the fountain at no charge.",
"Public Art","We Are a Bowl: Empty Earthen Vessels Waiting to be Filled","Leon Mercer Jordan East Patrol Campus, 27th and Prospect Ave, 2640 Prospect Ave, Kansas City, MO 64127","David Dahlquist + RDG Studio",,"Municipal Art Commission","Kansas City Police Department","Clay","2016","Outside","24/7",,"39.077303 -94.552825",,"David Dahlquist and his team from RDG Studio created We Are a Bowl: Empty Earthen Vessels Waiting to be Filled with involvement from people from the surrounding neighborhoods. The artist hosted a ""throwing mud-athon"" at which hundreds of people from pre-school to high school and adults of all ages threw clay, making bowls for the artwork. Relevant symbols such as a dogwood blossom, a bee, and a badge rendered in terra cotta appear with the bowls. Glenn North, a Kansas City writer, was asked to provide a powm for the project, and an expcerpt (""Empty Earthen Vessels Waiting to be Filled') adorns the top of the wall. Dahlquist has an extensive pulic art background and tries to always incorporate public participation in his artistic process.",
"Fountains","Brush Creek Fountains","375 Ward Pkwy, Kansas City, MO 64112",,"International Architects Atelier","Kansas City Parks & Recreation Department","City of Fountains Foundation","Water","1998","Outside","24/7",,"39.0397226 -94.5924561","https://kcparks.org/places/brush-creek-fountains-2/","Flooding of Brush Creek had long tormented the Plaza area. To correct the problem, a major project was undertaken. The improvements were both utile and beautifying. In Brush Creek at Country Club Plaza, three large geysers were installed.  The first one is by the gondola dock near the intersection of Ward Parkway and Wyandotte Street.  The second is just east of the intersection of Ward Parkway and Baltimore Avenue.  The third is between Brookside Boulevard and Oak Street.","POINT (-94.592173 39.039747)"
"Fountains","The Women's Leadership Fountain","Dr. Martin Luther Kind Jr. Blvd and E. 9th Street, Kansas City, MO 64106","George Kessler and John Van Brunt",,"Kansas City Parks & Recreation Department","City of Fountains Foundation",,"1899","Outside","24/7",,"39.1030011 -94.5633752","https://www.kcfountains.com/single-post/2016/08/20/Womens-Leadership-Fountain","This fountain was the second fountain built in Kansas City and is its oldest working fountain.  It was completed in 1899 and designed by John Van Brunt and George Kessler.  After a long period of non-use, the basin was excavated and repaired in 1970. In 1989, the Central Exchange took leadership in raising money for a partial restoration and named it The Women’s Leadership Fountain. Funds from the sale of other City property were used to complete the restoration in 2003. The names of thirteen women who have made notable contributions to the City will be added later.

1845-1931 Myrtle Page Fillmore
1850-1934  Phoebe Jane Ess
1850-1913 Alice Berry Graham
1851-1940 Mary Harmon Weeks
1854-1929 Bertha Manheimer Leiberman
1860-1933  Katherine Berry Richardson
1884-1974 Nelle Elizabeth Peters
1884-1964 Caroline Benton Cockfair
1886-1983 Ada Crogman Franklin
1893-1977 Guadalupe Bribiesca de Garcia
1894-1990 Madalyn Pinkston Brock
1899-2004  Ellen (Nell) Donnelly Reed
1917-1970 Esther Swirk Brown",
"Public Art","Exposed Structures (system mapping)","2nd Street at Main Street and Walnut Street, Kansas City, MO 64105","Stuart Keeler",,"Municipal Art Commission",,"Painted Steel, Pavement, and Landscaping","2008","Outside","24/7",,"39.1025528 -94.582787",,"A portion of the Missouri River's substrate is presented on the site-pinned to the ground. The triangles symbolize Pythagorean mathematics with cut steel that creates a tent, open to the sky. The GIS mapping of the river bed creates a new structure in the form of a lving trellis. The piece brings to mind an unfolding map, adn the adventures within.","POINT (-94.583675 39.110818)"
"Museums","National Airline History Museum","Charles B. Wheeler Downtown Airport; 201 NW Lou Holland Dr, Kansas City, MO 64116",,,"Aviation","National Airline History Museum",,,,,,"39.118695 -94.600403","https://www.airlinehistory.org/",,
"Historical Monuments and Memorials","Venetian Relief","Ward Pkwy at W. 65th Street, Kansas City, MO 64113","Unknown",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Stone","16th Century","Outside","M-Sun 5am-12am",,"39.0104605 -94.6023207",,,"POINT (-94.602684 39.01047)"
"Public Art","Inheritance","Swope Park, 4201 E. 63rd Street, Kansas City, MO 64130","Julia Cole and leigh Rosser",,"Municipal Art Commission","Kansas City Parks & Recreation Department","Mixed Media","2008","Inside","M-Th 5am-9pm, F 5am-6pm, Sat-Sun 9am-6pm",,"39.011378 -94.5421342",,"The project consists of five thematically connected works located throughout the Southeast Community Center. The first piece is Common Ground, a topographical map of the area surrounding the community center made of carved and polished plywood. The second part is three maps mounted on glass panels entitled Mapping Community: Map of Possibility, and Map of Being, which explore community geographically and culturally. Ripple Effect is a series of painted ceramic buttons that show the ecological interconnection of living beings. The piece is intending as a teaching tool. The final work is Video Explorers, two videos created by artist and stuents at the center.",
"Public Art","Polarities","Kansas City International Airport, Kansas City, MO 64153","Kristen Jones and Andrew Ginzel",,"Municipal Art Commission","Aviation","Terrazzo Flooring and Mosaic","2002","Inside","24/7","Located on the floor of the airport, outside of sercurity","39.2991181 -94.7107786",,"The deep blue terrazzo floors at Kansas City International Airport contain inset brass plus and minus signs and circular, inset mosaic emblems of marble, glass and terrazzo. The emblems were inspired by the sky and land, flight and nature. One is a mosaic of The Scout, a Kansas City landmark. The colorful lines and circles resemble cartography and the orbital patterns of planets.",
"Attractions","Old Red Bridge Love Locks","Minor Park, Between Holmes Street and Blue River Road on Red Bridge Road, Kansas City, MO 64131",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bridge and Locks","1859-2013","Outside","M-Sun 5am-12am",,"38.925269 -94.5713066","https://kcparks.org/places/old-red-bridge-love-locks/",,
"Fountains","Liberty Memorial Fountain, North","2 Memorial Drive, Kansas City, MO 64108",,"Wight and Wight","Kansas City Parks & Recreation Department","City of Fountains Foundation","Limestone, Granite, and Porcelain","1935","Outside",,,"39.0808521 -94.5858203","https://www.kcfountains.com/single-post/2016/08/07/Liberty-Memorial-Fountains","On the north side of the Liberty Memorial, underneath the Great Frieze and flanking the 90' wide flight of steps, are these dual fountains.  They are part of the original construction of the Liberty Memorial complex and were constructed in 1934-35 and were designed by Wight and Wight, who were Kansas City architects.  Each fountain was placed in a niche comprised of retaining walls and consists of two tiers and were constructed with Indiana limestone, granite weirs and basin edge and glazed porcelain tiles.  The upper tier of each fountain consists of a spray ring with jets that create a waterfall that cascades down into the second level.  Lining the bowed second tier basin is a series of jets that cast water back into the lower pool.

Carved above each fountain is a passage to honor those who died in the war. The inscription at the east fountain, an excerpt from America the Beautiful by Katherine Lee Bates, and reads:

WHO MORE THAN SELF THEIR COUNTRY LOVED

At the west fountain, a quote from Sir Samuel Brydge's verse on the death of Sir Walter Scott is inscribed as follows:

THE GLORY DIES NOT AND GRIEF IS PAST
The entire Liberty Memorial complex was constructed between 1923 and 1938.  The site was renovated in the early 2000s and was reopened to the public in 2002.","POINT (-94.585189 39.077638)"
"Fountains","Shoal Creek Parkway Garden Fountain","Shoal Creek Pkwy and N.E. 87th Street, Kansas City, MO 64157",,"Burns and McDonnell","Kansas City Parks & Recreation Department","City of Fountains Foundation",,"2002","Outside","24/7",,"39.251109 -94.4875462","https://www.kcfountains.com/single-post/2016/07/06/Shoal-Creek-Parkway-Fountain","In the median of Shoal Creek Parkway just north of NE 87th Street and a few blocks north of Highway 152 sits this fountain.  The fountain features three large saucers composed of what looks like giant, overlapping leaves.  Water shoots out of the top in four directions into the top saucer and the water makes its way through the gaps between the leaves down to the pool below.

The rectangular pool is approximately 40 feet long and is bordered by cut limestone blocks.  The pool is flanked on the east and west by landscaping, usually plants and flowers, creating the garden.  The entire pool and garden are surrounded by a border made of stone blocks.",
"Historical Monuments and Memorials","N. Clyde Degginger Memorial: Sheep Piece","Emanuel Cleaver II Blvd and Rockhill Road, Kansas City, MO 64110","Henry Moore",,"Kansas City Parks & Recreation Department","Nelson-Atkins Museum of Art","Bronze","1976","Outside",,,"39.0419372 -94.5785484",,,"POINT (-94.578517 39.041872)"
"Fountains","William Volker Memorial Fountain","424 Volker Boulevard, Kansas City, MO","Carl Milles",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Bronze and Concrete","1958","Outside","M-Sun 5am-12am",,"39.0389097 -94.5807568","https://www.kcfountains.com/single-post/2016/08/06/William-Volker-Memorial-Fountain","It was with an equestrian figure of St. Martin of Tours, a patron saint of France on which Swedish sculptor Carl Milles based his memorial to William Volker. Volker was a prominent citizen and philanthropist who had done so much to enrich Kansas City including donating the land on which to start the university now know as the University of Missouri - Kansas City.

The central sculpture is of St. Martin of Tours on horseback cutting his cloak in order to share with the beggar below.  Nearby, a bewildered faun, a seated angel and a flying angel playing a flute watch the scene.  To add a touch of humour, Milles has the flying angel playing the flute backwards and he added a wristwatch on the seated angel. Bruno Bearzi of Florence, Italy was founder for the equestrian figure and Herman Bergman of Stockholm, Sweden was the founder of the other figures.

The monumental fountain was originally in Theis Park, in the current amphitheatre location, but was moved in the 1990's across Brush Creek to this site on Volker Boulevard, just south of the Park.  Looking north from the fountain gives a clear view of the Nelson-Atkins Museum of Art.

In the winter of 2015-2016, the sculptures were removed and cleaned and repaired.  The fountain also underwent extensive repairs and renovations.  Everything was back in place and put back into operation on Fountain Day 2016 for the rededication ceremony.  The waterfall below was turned on for the first time in many years.","POINT (-94.580108 39.038591)"
"Museums","Kansas City Museum","3218 Gladstone Blvd, Kansas City, MO 64123",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,,"IN RENOVATION (until 2020)",,"39.115796 -94.5424184","http://kansascitymuseum.org/",,"POINT (-94.542455 39.115317)"
"Fountains","Observation Park Fountain","Observation Park, W. 20th Street and Holly Street, Kansas City, MO 64108","John Van Brunt",,"Kansas City Parks & Recreation Department","City of Fountains Foundation",,"1897","Outside","M-Sun 5am-12am",,"39.0883477 -94.5975935","https://www.kcfountains.com/single-post/2016/07/31/Observation-Park-Fountain","This fountain is on the north side of Observation Park near stairs leading up into the park by the intersection of Holly Street and 20th Street.  This wall fountain consists of a lion's head in which water would flow, if the fountain were no longer in operation.  The lion is surrounded by ornate floral detail.",
"Historical Monuments and Memorials","The Terrace","Dr. Martin Luther King Jr. Blvd and E. 12th Street, Kansas City, MO 64106","John Van Brunt",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,"Outside",,,"39.0992698 -94.5635175",,,
"Fountains","Mary A. Fraser Memorial Drinking Fountain","6800 Zoo Drive, Kansas City, MO 64132","Jeanette Klein",,"Kansas City Parks & Recreation Department","City of Fountains Foundation","Limestone","1951","Inside","Check for seasonal hours","Entrance of African Veld in Kansas City Zoo, Swope Park; Entry fee required","39.0068733 -94.5291644","https://www.kcfountains.com/single-post/2016/08/07/Mary-A-Fraser-Memorial-Fountain","Located in the Kansas City Zoo on the Beaks and Feet path, not too far from the flamingos near the beginning of the African Veldt section of the zoo is this working drinking fountain.  It was originally located near the sea lion pool but was conserved, replumbed and relocated to its current location in 2000.

It was donated by Edith A. Norton in memory of her mother, Mary A. Fraser.  There is a plaque on each end stating the gift and the memorial.  It is an art deco style structure with a sculpture of a young woman atop a limestone base.  There is a working drinking fountain on each side of the sculpture.  There are two small fountains at the beginning of the path to the fountain.","POINT (-94.53141 39.00682)"
"Public Art","Water Plaza","Kansas City Convention Center, 16th Street and Wyandotte Street, Kansas City 64105","Jun Kaneko",,"Municipal Art Commission","Convention and Facilities Department","Concrete, Ceramic, Oil and Canvas","2007","Outside","24/7",,"39.0962421 -94.5865248",,"Kaneko says, ""My aeshetic is akin to European public space design where the surface is a distinguishing and sensory part of the architecture and Japanese garden with meticulous minimalist concern for each surface and texture and their relationship to each other in the space. On top of a water pattern, the artist places several of his large sculptural formswhose surface glazes and shapes flow with, obstruct or reflect the plaza pattern. Their scale and grouping invite people to linger on the plaza, and perhaps engage in dialogues both visual and verbal. Through the Convention Center's glass wall, the composition continues with vertical companion artwork. A large painting graces the interior with color and activity found in the exterior works. The pattern of the wall is like a colorful waterfall, flowing into the space where people gather.",
"Historical Monuments and Memorials","Bill Of Rights Monument","Ilus W. Davis Park, Locust Street and E. 9th Street, Kansas City, MO 64106","Kwan Wu",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze","1991","Outside","M-Sun 5am-12am",,"39.1015956 -94.5779121",,,
"Public Art","Wood Spider","Chouteau Trafficway Park, N.E. Chouteau Trfy and N.E. 46th Street, Kansas City, MO 64117","The Studio of Carlos Setein",,"Kansas City Parks & Recreation Department",,"Wood and Steel Plates",,"Outside","M-Sun 5am-12am",,"39.1756868 -94.5389139",,,
"Public Art","Jazz Pantheon","18th and Vine District, 17th Terrance and Vine, Kansas City, MO 64106","John T. Scott",,"Municipal Art Commission",,"Stainless Steel","2002","Outside","24/7",,"39.092076 -94.5633018",,"Jazz Pantheon, located at 18th and Vine, portrays the cultural and musical heritage of Kansas City. Silhouettes in stainless steel show musicians performing while other figures are shown listening, walking, and dancing; one rides a horse. Buses, cars, and floating bars of music are included. The stainless steel surface reflects the images of people viewing the art, placing them in the past as well as the present. Jazz Pantheon is a celebration, an homage to the city's history, and a blending of art and humanity in a powerful and enduring medium. The art by John T. Scott is a celebration and social statement. ""To me,"" Scott said, ""the thing that makes art is when you have form and content and you cannot distinguish between the two.""",
"Fountains","Romany Fountain","Ward Pkwy and Romany Road, Kansas City, MO 64113",,"J.C. Nichols Company","Kansas City Parks & Recreation Department","City of Fountains Foundation",,"1930","Outside","24/7",,"39.002449 -94.6028504","https://kcparks.org/places/romany-fountain-2/","This pedestal fountain is another quiet statement of beauty along Ward Parkway. Two saucers issue water into the pool below. At one time, a sunken garden was maintained on either side.","POINT (-94.602828 39.002448)"
"Public Art","Barnacles","Garage, 12th Street and Walnut Street, Kansas City, MO 64106","Rie Egawa + Burgess Zbryk",,"Municipal Art Commission","Public Works Department","Powder-Coated Steel, Steel, and Polycarbonate","2011","Outside","24/7",,"39.1018412 -94.5818031",,"A love of fish and aquariums inspired the artists to create Barnacles for the east façade of the parking garage in the Power and Light District. Barnacles is attached to the side of the parking facility in much the same way true barnacles cement themselves to the marine substrate and animals, and to ships, bridges and other human-made intrusions on their natural territory. At first thought, Kansas City might seem inimical to barnacles, but until the end of the Paleozoic period the region was covered by a sea; the fossil record reveals much, including barnacles. Barnacles is nine feet tall at the center and spans 80 feet across the uppermost opening of the garage. Each powder-coated white ""barnacles"" is made of spun steel. Each includes a blue polycarbonate center which will highlight sunshine and car headlight inside and outside the garage, day and night. Of the piece, artist Burgess Zbryk said ""We hope people see this and smile.""",
"Historical Monuments and Memorials","Missouri Korean War Veterans Memorial","Washington Square Prk, 174 E. Pershing Road, Kansas City, MO 64108",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,"Outside","M-Sun 5am-12am",,"39.0850582 -94.5821114",,,
"Public Art","New Friends","300 Ward Pkwy, Kansas City, MO 64112","George Lundeen",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Bronze","1997","Outside",,,"39.0408851 -94.5906963",,,"POINT (-94.590975 39.040603)"
"Historical Monuments and Memorials","Arrington Bubble Klice Bust","Gregg/Klice Community Center, 1600 John Buck O'Neil Way, Kansas City, MO 64108","Ed Dwight",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,"2008","Inside","M-Th 5am-9pm, F 5am-6pm, Sat/Sun 9am-6pm",,"39.0927655 -94.5633548",,,
"Historical Monuments and Memorials","City Employees Memorial","Locust Street between E. 10th Street and 11th Street, Kansas City, MO 64106","Frewen Architects, inc.",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,"Outside","24/7",,"39.1008022 -94.5769776",,,
"Museums","Battle of Westport Museum and Visitor Center","Swope Park, 6601 Swope Parkway Kansas City, MO 64132",,,"Kansas City Parks & Recreation Department","Battle of Westport Museum and Visitor Center",,,,"April-October, Th-Sun 1pm-5pm","Self Guided Tours of Battle Sites","39.0078963 -94.5373105","https://www.battleofwestport.org/VisitorCenter.htm",,
"Fountains","Ilus W. Davis Fountain","Ilus W. Davis Park, 10th Street and Oak Street, Kansas City, MO 64106",,"Sasaki Associates","Kansas City Parks & Recreation Department","City of Fountains Foundation","Stone pavers","2001","Outside","M-Sun 5am-12am",,"39.1015956 -94.5779121","https://www.kcfountains.com/single-post/2016/09/05/Ilus-W-Davis-Fountain","AKA Ilus W. Davis Civic Mall Fountain, Ilus Winfield Davis Fountain.

Ilus W. Davis Park was named after the man who served as mayor of Kansas City during the 1960s and is associated ith the city's growth and progress.  The park strengths the north-south axis and adds softness and colour to the government district, often referred to as the Civil Mall, on the northeast side of downtown Kansas City.

The park features a large, shallow reflecting pool.  A small fountain with a short water jets, due to the strong winds that tend to blow through the park, provides water that cascades down a stair-step style waterfall that feeds the reflecting pool.  The park contains flowerbeds and more than 350 trees, including flowering crab, large red oaks and ginkgoes.  The City Employees Memorial sits on the east side of the park along Locust Street.  The Bill of Rights monument sits in the northeast corner of the park while a statue of Ilus Winfield Davis stands in the southwest corner.

First conceived and planned in the 1990s, the park cost about $15 million to build, including land acquisition and demolition of existing structures.  The money came from local tax revenues, gambling revenues, federal funds and the local business community.  Architect Cindy Frewen-Wuellner of Sasaki Associates, the architecture firm that designed the park, said, ""It is a great place for civic events, which was one of our missions.""  The park is modeled after Post Office Square in Boston, a heavily used public area.  Frewen-Wuellner decided to embrace the contour of the land which consists of a 36-foot rise rather than build retaining walls.  The park was built by Vanum Construction Company of Kansas City, KS.",
"Historical Monuments and Memorials","Fitzsimons-Battenfeld Monument","The Paseo and Volker Blvd, Kansas City, MO 64110",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Granite",,"Outside","24/7",,"39.0396745 -94.5683962",,,"POINT (-94.568406 39.039848)"
"Public Art","Bull Wall","American Royal (now HyVee Arena), 1800 Genessee Street, Kansas City, MO 64102","Robert Morris",,"Municipal Art Commission","Convention and Facilities Department","Milled Steel and Steam","1992","Outside","24/7",,"39.0917718 -94.6059563",,"Bull Wall by Robert Morris was Kansas City's first One Percent for Art project. Saluting the city's history, the piece is found near the railroads in the West Bottoms, once home to stockyards and cattle shows. The solid steel depicts 15 bulls in silhouette, while bursts of steam represent clouds of dust raised by trampling hooves; the piece combines strength and stability with frenzied motion as it weathers and rusts.",
"Historical Monuments and Memorials","Jacob L. Loose Memorial","Loose Park, W. 51st Street and Wornall Road, Kansas City, MO 64112","Rudolf Evans",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Granite and Bronze","1941","Outside","M-Sun 5am-12am",,"39.031411 -94.5944738",,,
"Historical Monuments and Memorials","The Native Sons and Daughters of Greater Kansas City Monument","Ilus W. Davis Park, 10th Street and Oak Street, Kansas City, MO 64106","Gary L. Hicks",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,"2018","Outside","M-Sun 5am-12am",,"39.1015956 -94.5779121",,,
"Public Art","Green Wings","Emanuel Cleaver II Blvd and Elmwood Ave, Kansas City, MO 64130","William Reed",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Painted Steel and Wood",,,,,"39.0381479 -94.5313997",,,"POINT (-94.531421 39.038146)"
"Historical Monuments and Memorials","Charles Carroll Spalding Memorial","W. 29th Street and Broadway Blvd, Kansas City, MO 64108",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,,"Outside","24/7",,"39.0747636 -94.5897731",,,
"Public Art","Transporters","Union Station East Plaza, Streetcar Stop, 30 W. Pershing Rd, Kansas City, MO 64108","Gail Simpson and Aris Georgiades, Acual Size Artworks",,"Municipal Art Commission","Kansas City Streetcar Autority","Aluminum and bronze","2015","Outside","24/7",,"39.0853299 -94.5855766",,"Kansas City's role as a hub of transportation, particularly during the westward movement, served as inspiration for the artwork near the historic Union Station. The reincarnation of the city's streetcar system and the evolution of methods of transportation are significant to the city's growth and development. Trains, riverboats, planes and automobiles are blended in the aluminum and bronze Transporter, creating figures that speak to the power and imagination of the mechanical energy that helped build Kansas City and America.",
"Fountains","Vietnam Veterans' Memorial Fountain","4181 Broadway Blvd, Kansas City, MO 64111","David Baker",,"Kansas City Parks & Recreation Department","City of Fountains Foundation",,"1985","Outside","M-Sun 5am-12am",,"39.0508155 -94.5882986","https://www.kcfountains.com/single-post/2016/08/11/Vietnam-Veterans-Memorial-Fountain","The fountain consists of five rectangular, inter-connected pools of different sizes. The series of pools, from smaller to larger, represent growing American involvement in the war. The water flows into two separate pools, symbolizing the division of American opinion of the country's involvement in the war. The water is symbolic of time with the power to cleanse and heal the divisions the Vietnam War caused in the country.

The memorial was developed by the Kansas City Vietnam Veterans Memorial Fund, Inc.  A semi-circular memorial wall has the names of the 451 casualties that called the Kansas City area home. Visitors to this monument leave flags and flowers to honor those who served during one of America’s most turbulent eras.","POINT (-94.588606 39.05076)"
"Historical Monuments and Memorials","Abraham Lincoln with his son Tad","City Hall, 414 E. 12th Street, Kansas City, MO 64106","Lorenzo Ghiglieri",,"City Trust",,"Bronze","1986","Outside",,,"39.1005914 -94.577828",,"This massive 2500 pound, 10 ft. sculpture of Abraham Lincoln in a chair with his son Tad at his left knee is located on the south plaza of City Hall.  Abe is holding a book on his lap and gazing lovingly at his son who holds a hat brim in his left hand. The Statue was commissioned by Kansas Citian Orville Anderson, an insurance salesman, photographer and fan of Honest Abe. This sculpture has an endowment with the Trust  Department of Kansas City. Inscription: With Malice toward none With charity for all That government of the people By the people, for the people Shall not perish from the earth. This Statue Donated by Orville W. Anderson to the citizens of Kansas City.",
"Public Art","The Race is Not Always to the Swift, Rabbit Hiding from Fox and Two Doves Sitting on a Branch Up High","Lakeside Nature Center, 4701 E. Gregory Blvd, Kansas City, MO 64132","Ken Ferguson",,"Municipal Art Commission","Kansas City Parks & Recreation Department","Bronze and Ceramic","1999","Inside and outside","M Closed, T-Sun 9am-4pm",,"38.9952829 -94.5319361",,"Masterfully evolving from real and mythical sources, the hare has dominated Ken Ferguson's art since 1985. Taken from the famed Aesop fable, The Race is Not Always to the Swift combines the hare with the Center's icon, the tortoise, in a race to the finish. Depicting the hare eluding his antagonist, Rabbit Hiding From Fox comes from Southern folklore revolving around a witty trickster rabbit. Overlooking the nature center, Two Doves Sitting On a Branch up High symbolize love and peace, precisely how, the artist says, ""we should see the world and all the animals.""",
"Historical Monuments and Memorials","Liberty Memorial","2 Memorial Drive, Kansas City, MO 64108","Harold Van Buren Magonigle",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department",,"1921-1926","Outside","Check for seasonal hours","Entry fee required to access","39.0808521 -94.5858203",,,"POINT (-94.585189 39.077638)"
"Historical Monuments and Memorials","Scarritt Point Memorial","Walrond Ave and Norledge Ave, Kansas City, MO 64123",,,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Plaque",,"Outside","24/7",,"39.1167393 -94.5429195",,,"POINT (-94.542955 39.116708)"
"Public Art","Reaching","Van Brunt Boulevard & E. 26th Street, Kansas City, MO 64127","Kansas City Parks & Recreation Department",,"Kansas City Parks & Recreation Department","Kansas City Parks & Recreation Department","Laminated Wood and Concrete","Early 1980s","Outside","24/7",,"39.0911706 -94.522694",,,"POINT (-94.520821 39.077895)"
