"project_no","title","area","project_district","address_concatenation","finish_year","status","cost_in_millions","activity_type","use","office_sq_ft_in_1000_s","retail_sq_ft_in_1000_s","industrial_sq_ft_in_1000_s","hotel_rooms","parking_spaces","developer","also_in_1990_onward_database","none"
"344.00","Central Middle School Reh.","23","East","3611 E Linwood Blvd.
Kansas City, MO 
(39.067621139940236, -94.54135655950553)","1989","Completed","4.1","Rehab","Educational","0","0","0","0","0","Kansas City School District","No",
"209.00","Hilton Plaza Inn Ren.","19","Plaza","4501 Main St.
Kansas City, MO 
(39.04554358158803, -94.58668957537975)","1987","Completed","5.0","Rehab","Lodging","0","0","0","250","0","Hilton Plaza Inns","No",
"222.00","Broadway Square","11","Downtown","1045 Broadway
Kansas City, MO 
(39.10168874106781, -94.58827603656147)","1989","Completed","35.0","New","Office","261","0","0","0","370","United Fidelity Life Insurance","No",
"193.00","7000 Prairie View","3","North","7000 NW Prairie View Rd.
Kansas City, MO 
(39.22264680845694, -94.64998081212633)","1987","Completed","1.7","New","Office","21","0","0","0","0","Equitus Development","No",
"155.00","Motel 6","3","North","8230 NW Prairie View Rd.
Kansas City, MO 
(39.24405966597459, -94.65891107987733)","1984","Completed","1.0","New","Lodging","0","0","0","86","0","Motel 6 Corp.","No",
"276.00","Ritz-Carlton Conversion","19","Plaza","401 Ward Pkwy.
Kansas City, MO 
(39.03973370091762, -94.59207346665971)","1990","Underway","30.0","Rehab","Lodging","0","0","0","374","0","Ritz-Carlton Hotel Co.","No",
,"East","south of the Missouri River, roughly east of Troost",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"317.00","Hypermart USA","30","South","9051 Hillcrest Rd.
Kansas City, MO 
(38.96102556795753, -94.51964890810697)","1990","Underway","13.0","New","Retail","0","268","0","0","0","Wal-Mart Stores","No",
"204.00","Parkway 600 Grill","19","Plaza","600 Ward Pkwy.
Kansas City, MO 
(39.0401874198442, -94.59389205985147)","1987","Completed","1.0","New","Retail","0","5","0","0","0","J.C. Nichols Co.","No",
"313.00","Heritage Business Park -II","21","East","1900 Vine St.
Kansas City, MO 
(39.08861185321007, -94.56350200578885)","1991","Underway","2.5","New","Office","46","0","0","0","0","Black Economic Union","No",
,"22","East 23rd Street",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
,"South","south of 85th, plus roughly south of the Plaza",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"282.00","Boy Scout Headquarters","29","South","10210 Holmes Rd.
Kansas City, MO 
(38.94248101666915, -94.58270253111442)","1989","Completed","1.5","New","Office","19","0","0","0","0","Boy Scouts - Heart of America","No",
"54.00","Research Psychiatric","26","East","2323 E 63rd St.
Kansas City, MO 
(39.012565351039356, -94.5592247723331)","1985","Completed","9.0","New","Medical","0","0","0","0","0","Res. Med. Cen.;Hos. Corp. of Am.","No",
"Cost in Millions","project cost, estimated if necessary","to provide a common measure of magnitude for all types of projects","always","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"188.00","Plaza III Parking","19","Plaza","4749 Pennsylvania Av.
Kansas City, MO 
(39.040519121123786, -94.59376832447228)","1986","Completed","1.1","New","Garage","0","0","0","0","100","J.C. Nichols Co.","No",
"Table II - Coding Lists for the Major Projects 1983 to 1989 Database",,,,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"341.00","Lincoln Academy North Reh.","21","East","2111 Woodland Av.
Kansas City, MO 
(39.08691213457473, -94.56118175495328)","1988","Completed","4.8","Rehab","Educational","0","0","0","0","0","Kansas City School District","No",
"Title","commonly used project name","to provide a brief but recognizable name","always","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"162.00","Danguard Securities","11","Downtown","601 Walnut St.
Kansas City, MO 
(39.10622391905511, -94.58146888220236)","1985","Completed","1.0","Rehab","Office","20","0","0","0","0","Dan Bunch","No",
"172.00","General's Plaza","31","East","14005 U S 40 Hwy.
Kansas City, MO 
(39.10295000044232, -94.58306000001886)","1987","Completed","12.0","New","Retail","0","301","0","0","0","Boylan & Company","No",
"269.00","Ramos Building","11","Downtown","1305 Walnut St.
Kansas City, MO 
(39.09848337475484, -94.58208790740092)","1988","Completed","1.2","Rehab","Office/Retail","15","15","0","0","0","Ramos Partnership","No",
"140.00","Holmeswood Baptist Church","29","South","9700 Holmes Rd.
Kansas City, MO 
(38.9511684674722, -94.58225287009975)","1984","Completed","1.2","New","Religious","0","0","0","0","0","Holmeswood Baptist Church","No",
"75.00","Belletower","19","Plaza","4700 Belleview Av.
Kansas City, MO 
(39.04241368056495, -94.59859355137218)","1986","Completed","9.5","New","Office","77","0","0","0","0","West Terrace Trust; W. C. Haas","No",
,"North","north of the Missouri River",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"Office Sq. Ft. in 1000's","actual or estimated square feet of office space","to show the magnitude of single projects or analyze the supply of office space","when appropriate","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"358.00","Troost School Rehab","26","East","5914 Forest Av.
Kansas City, MO 
(39.019301104411966, -94.57308877862118)","1990","Underway","2.1","Rehab","Educational","0","0","0","0","0","Kansas City School District","No",
"213.00","Panorama Park - III","9","East","6101 Connecticut Av.
Kansas City, MO 
(39.132707112714854, -94.51098106683303)","1987","Completed","3.0","New","Industrial/Office/Showroom","8","0","39","0","0","Pancor Corp.","No",
"347.00","Lincoln Academy South Addn","21","East","2012 E 23rd St.
Kansas City, MO 
(39.08459188373911, -94.55897841598147)","1988","Completed","2.6","New","Educational","0","0","0","0","0","Kansas City School District","No",
"67.00","Westport City Hall","17","Midtown","4049 Pennsylvania Av.
Kansas City, MO 
(39.05337641610214, -94.59181266327124)","1986","Completed","3.0","New","Office","26","0","0","0","0","Bruce Maxwell & Mid-States Res.","No",
"134.00","Westport Landing","17","Midtown","504 Westport Rd.
Kansas City, MO 
(39.05274689068159, -94.59172273106827)","1986","Completed","3.0","New","Retail","0","19","0","0","0","Block & Co.; 540 Westport Assocs","No",
"215.00","Wastewater Treatment Plant","9","East","7800 E Front St.
Kansas City, MO 
(39.10295000044232, -94.58306000001886)","1989","Completed","25.0","New","Public","0","0","0","0","0","City of Kansas City, Missouri","No",
"345.00","Gladstone School","20","East","4700 Scarritt Av.
Kansas City, MO 
(39.11461040101771, -94.52668046551992)","1990","Underway","3.8","New","Educational","0","0","0","0","0","Kansas City School District","Yes",
"198.00","Ward Parkway Center Ren.","28","South","8600 Ward Pkwy.
Kansas City, MO 
(38.97206118754221, -94.60568657781874)","1988","Completed","1.2","Rehab","Retail","0","26","0","0","0","Kroh Brothers; Ward Pkwy. Assocs","No",
"40.00","Executive Hills N. - 6","1","North","10000 N Congress Av.
Kansas City, MO 
(39.27752835383084, -94.66811254869208)","1985","Completed","9.0","New","Office","110","0","0","0","0","Executive Hills","No",
"300.00","Boardwalk Square - I","3","North","6401 NW Barry Rd.
Kansas City, MO 
(39.246811591384244, -94.6532633375333)","1989","Completed","6.0","New","Retail","0","100","0","0","0","Tapp Development Co.","No",
"147.00","Pembroke Hill Addition","17","Midtown","5121 State Line Rd.
Kansas City, MO 
(39.03615900263215, -94.60738529090477)","1985","Completed","3.8","New","Educational","0","0","0","0","0","Pembroke Hill School","No",
"246.00","Bluford Library","23","East","3050 Prospect Av.
Kansas City, MO 
(39.07036460923558, -94.55284503974167)","1988","Completed","1.1","New","Educational","0","0","0","0","0","Kansas City Public Library","No",
"39.00","Board of Trade - I","19","Plaza","21 W 49th St.
Kansas City, MO 
(39.03848842507578, -94.5874401592395)","1986","Completed","10.0","New","Office","200","0","0","0","517","J.C. Nichols Co.","No",
"152.00","Rhoads Perry Building","3","North","7211 NW 83rd St.
Kansas City, MO 
(39.2441495981775, -94.66313789341501)","1985","Completed","1.6","New","Office","21","0","0","0","0","Rhoads Perry","No",
"229.00","Executive Hills N. - 26C","1","North","7306 NW Tiffany Springs Pkwy.
Kansas City, MO 
(39.27295802806967, -94.66344022197168)","1988","Completed","4.5","New","Office","90","0","0","0","0","Executive Hills","No",
"354.00","Holliday Montessori School","26","East","7301 Jackson Av.
Kansas City, MO 
(38.993492670205164, -94.53836933009774)","1990","Underway","3.5","New","Educational","0","0","0","0","0","Kansas City School District","Yes",
"192.00","North Oak Place","6","North","3727 N Oak Tfwy.
Kansas City, MO 
(39.161606123544985, -94.57683662572862)","1986","Completed","1.7","New","Office","20","0","0","0","0","North Oak Properties","No",
"293.00","Plaza Steppes","19","Plaza","700 W 47th St.
Kansas City, MO 
(39.04245051690492, -94.59466846037529)","1991","Underway","41.9","New","Office","242","0","0","0","0","Executive Hills","Yes",
"171.00","Picture Hills Office Condo","3","North","5701 NW 64th Te.
Kansas City, MO 
(39.211747025461875, -94.647237879937)","1986","Completed","2.3","New","Office","23","0","0","0","0","Picture Hills Properties","No",
"51.00","Linwood Shopping Center","23","East","3130 Prospect Av.
Kansas City, MO 
(39.06919073655323, -94.55294796219934)","1986","Completed","5.0","New","Retail","0","76","0","0","0","Community Development Corp.","No",
"37.00","Plaza West - I","19","Plaza","916 W 48th St.
Kansas City, MO 
(39.04075280146523, -94.59810274441445)","1986","Completed","34.0","New","Office","213","0","0","0","0","Kroh Brothers","No",
"35.00","Main Plaza - I","19","Plaza","4421 Main St.
Kansas City, MO 
(39.0474579070384, -94.58656201354822)","1985","Completed","22.0","New","Office","185","0","0","0","500","Linclay Corp.","No",
"352.00","Melcher School Rehab","23","East","3958 Chelsea Av.
Kansas City, MO 
(39.05349117041147, -94.52724510085385)","1989","Completed","1.3","Rehab","Educational","0","0","0","0","0","Kansas City School District","No",
"24.00","Hallmark Visitor Center","15","Midtown","2540 Mc Gee Tfwy.
Kansas City, MO 
(39.080084835159624, -94.58079576609222)","1985","Completed","2.0","New","Entertainment","0","0","0","0","0","Crown Center Redevelopment Corp.","No",
"128.00","Executive Hills E. - 1 & 2","29","South","1200 E 104th St.
Kansas City, MO 
(38.939720098039174, -94.57817894130704)","1983","Completed","10.1","New","Office","142","0","0","0","0","Executive Hills","No",
"98.00","2405 Grand Building","15","Midtown","2405 Grand Av.
Kansas City, MO 
(39.08320692781399, -94.5817042836619)","1987","Completed","30.0","New","Office","231","0","0","0","0","Crown/Williams Partners","No",
"343.00","Central High School","23","East","3601 E Linwood Blvd.
Kansas City, MO 
(39.067624982499176, -94.54146543200866)","1991","Underway","22.8","New","Educational","0","0","0","0","0","Kansas City School District","Yes",
"80.00","Marriott -Country Club Plz","19","Plaza","4445 Main St.
Kansas City, MO 
(39.04603794834304, -94.58669552092454)","1987","Completed","28.0","New","Lodging","0","0","0","296","0","Linclay Corp.;Vista Host","No",
"253.00","Mazda Warehouse Addition","1","North","7601 NW 107th Te.
Kansas City, MO 
(39.28808147930886, -94.6681381238979)","1987","Completed","1.5","New","Storage / Distribution","0","0","96","0","0","Mazda Distributors Gulf","No",
,"Rehab","primarily change done to something already existing",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
,"3","Line Creek Valley",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"9.00","Bartle Hall Expansion","11","Downtown","301 W 13th St.
Kansas City, MO 
(39.09869238969975, -94.5871071406173)","1986","Completed","10.2","New","Public","0","0","0","0","0","City of Kansas City, Missouri","No",
"76.00","Airport Industrial Park","1","North","10000 N Congress Av.
Kansas City, MO 
(39.27752835383084, -94.66811254869208)","1985","Completed","1.3","New","Industrial/Office/Showroom","16","0","32","0","0","Haith & Co.","No",
"265.00","Creekwood Medical Building","6","North","5400 N Oak Tfwy.
Kansas City, MO 
(39.191863015394006, -94.5765871413152)","1989","Completed","6.0","New","Medical","0","0","0","0","0","Creekwood Construction, Inc.","No",
"33.00","Union Hill Commons","16","Midtown","3041 Main St.
Kansas City, MO 
(39.07207709395847, -94.5851954294815)","1987","Completed","2.0","Rehab","Office/Retail","20","8","0","0","0","Union Hill Commons Partnership","No",
"314.00","Sutherland's","29","South","13500 Holmes Rd.
Kansas City, MO 
(38.882145501723414, -94.5865965955013)","1989","Completed","3.0","New","Retail","0","32","0","0","175","Sutherland Lumber Co.","No",
"216.00","Marion Laboratories Ren. 2","30","South","10236 Marion Park Dr.
Kansas City, MO 
(38.944459525133595, -94.53338371102762)","1986","Completed","1.5","Rehab","Office","1000","0","0","0","0","Marion Laboratories","No",
,"29","Red Bridge",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"335.00","Meservey School Rehab","23","East","4210 E 45th St.
Kansas City, MO 
(39.043978500895946, -94.53512839576445)","1990","Underway","2.4","Rehab","Educational","0","0","0","0","0","Kansas City School District","No",
"243.00","Blankinship Addition","21","East","1927 Vine St.
Kansas City, MO 
(39.08939718767391, -94.56335548639927)","1987","Completed","1.0","New","Storage / Distribution","0","0","15","0","0","Blankinship Distributers","No",
"26.00","Broadway Summit Building","17","Midtown","3101 Broadway
Kansas City, MO 
(39.07119211847797, -94.58988075091055)","1984","Completed","11.0","New","Office","123","0","0","0","0","31 Broadway Center, Ltd.","No",
"278.00","South Branch Library","27","South","201 E 75th St.
Kansas City, MO 
(38.99198679531317, -94.5871941289495)","1989","Completed","1.5","New","Educational","0","0","0","0","0","Kansas City Public Library","No",
"113.00","Central Av. Fire Station","11","Downtown","1020 Central St.
Kansas City, MO 
(39.10150813111028, -94.58698330397391)","1984","Completed","2.0","Rehab","Office","27","0","0","0","0","Landmark Mortgage Co.","No",
"227.00","Spelman-St. Luke's Hosp.","3","North","5830 NW Barry Rd.
Kansas City, MO 
(39.2469551246918, -94.64757074953167)","1989","Completed","14.0","New","Medical","0","0","0","0","0","Spelman Mem. & St. Luke's Hosps.","No",
"238.00","Hickman Business Cen. - 4","32","South","10301 Hickman Mills Dr.
Kansas City, MO 
(38.93846104719819, -94.53102748731084)","1988","Completed","1.4","New","Office","34","0","0","0","0","Varnum/Armstrong/Deeter","No",
"86.00","Executive Park Bus. Center","9","East","1400 N Universal Av.
Kansas City, MO 
(39.13265945511247, -94.50655964899283)","1986","Completed","6.3","New","Industrial/Office/Showroom","25","0","110","0","0","A.L. Huber","No",
"281.00","South KC Mini-Storage","29","South","13200 Holmes Rd.
Kansas City, MO 
(38.88776945942705, -94.58622174353536)","1988","Completed","1.1","New","Storage / Distribution","0","0","36","0","0","Concord  Development Corp.","No",
"89.00","Mainmark Building","14","Midtown","1627 Main St.
Kansas City, MO 
(39.09356711759153, -94.58345796161905)","1985","Completed","2.4","Rehab","Office","72","0","0","0","0","Mainmark Assocs., Ltd.","No",
"36.00","Fountainview - I","19","Plaza","4420 Main St.
Kansas City, MO 
(39.047472826824674, -94.58670237733264)","1987","Completed","40.0","New","Office","258","0","0","0","0","Property Company Of America","No",
"362.00","Richardson School Rehab","23","East","3515 Park Av.
Kansas City, MO 
(39.06104763301204, -94.55673910412855)","1990","Underway","1.2","Rehab","Educational","0","0","0","0","0","Kansas City School District","No","Table I - Fields in the Major Projects 1983 to 1989 Database"
"275.00","Crown Center Walkway","15","Midtown","200 E Pershing Rd.
Kansas City, MO 
(39.084223141156585, -94.58166264853593)","1988","Completed","5.0","New","Transportation","0","0","0","0","0","Crown Center Redevelopment Corp.","No",
"146.00","Mabry Hall","17","Midtown","4112 Pennsylvania Av.
Kansas City, MO 
(39.052314556692835, -94.5910985970276)","1985","Completed","1.0","Rehab","Retail","0","9","0","0","0","4112 Associates","No",
"70.00","Country Inn -Worlds of Fun","6","North","7100 NE Parvin Rd.
Kansas City, MO 
(39.16896627652807, -94.49695217562066)","1985","Completed","2.5","New","Lodging","0","0","0","88","0","Finney Hotel Corp.","No",
"292.00","Mid-America Heart Inst.","19","Plaza","4450 J.C. Nichols Pkwy.
Kansas City, MO 
(39.046549307056445, -94.58891213671633)","1991","Underway","10.0","New","Medical","0","0","0","0","0","St. Luke's Hospital","Yes",
"154.00","American Bank of Platte Co","3","North","6405 N Cosby Av.
Kansas City, MO 
(39.21169306614007, -94.6465543951947)","1986","Completed","1.3","New","Retail","0","12","0","0","0","American Bank of Platte County","No",
"325.00","Linweld Welding Supply","9","East","6000 E Front St.
Kansas City, MO 
(39.13053824621608, -94.51110750436186)","1990","Underway","1.5","New","Storage / Distribution","0","0","40","0","0","Linweld Welding","No",
"323.00","Toys R Us","30","South","9120 Hillcrest Rd.
Kansas City, MO 
(38.95999072584544, -94.5201966628451)","1989","Completed","3.0","New","Retail","0","66","0","0","0","Toys R Us","No",
"251.00","Haith Air Cargo Facility","1","North","986 Mexico City Av.
Kansas City, MO 
(39.31684805831263, -94.71510522473855)","1987","Completed","8.0","New","Storage / Distribution","0","0","90","0","0","Haith & Co.; K.C. Air Cargo","No",
"125.00","8880 Ward Parkway","28","South","8880 Ward Pkwy.
Kansas City, MO 
(38.967985789420084, -94.60513162252516)","1984","Completed","7.5","New","Office","115","0","0","0","0","Kroh Brothers","No",
,"27","Country Club / Waldo",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
,"26","UMKC / Swope / Marlborough",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
,"Religious","primarily religious",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"126.00","Menorah Medical Center","26","East","4949 Rockhill Rd.
Kansas City, MO 
(39.03745369165485, -94.57717921191264)","1983","Completed","14.0","Rehab","Medical","0","0","0","0","0","Menorah Medical Center","No",
"13.00","Design Exchange","11","Downtown","712 Broadway
Kansas City, MO 
(39.10542784699044, -94.58823345869872)","1985","Completed","4.5","Rehab","Office/Retail","27","81","0","0","0","Design Assocs. Ltd. Partnership","No",
"61.00","Executive Hills E. - B & F","29","South","901 E 104th St.
Kansas City, MO 
(38.9395941929551, -94.5800225514671)","1985","Completed","17.0","New","Office","200","0","0","0","0","Executive Hills","No",
"138.00","Light House","26","East","1409 E Meyer Bl.
Kansas City, MO 
(39.01249323665013, -94.56966236168955)","1985","Completed","1.2","Rehab","Religious","0","0","0","0","0","Kansas City Youth For Christ","No",
"Project District","Downtown","Freeway Loop, River Market and Columbus Park",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"151.00","St. Luke's Parking","19","Plaza","4400 Wornall Rd.
Kansas City, MO 
(39.046430579933194, -94.59021976795513)","1985","Completed","2.6","New","Garage","0","0","0","0","586","St. Luke's Hospital","No",
"333.00","Central High School Rehab","23","East","3221 Indiana Av.
Kansas City, MO 
(39.06682128044014, -94.54373490758485)","1987","Completed","1.3","Rehab","Educational","0","0","0","0","0","Kansas City School District","No",
,"Transportation","primarily transportation",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"104.00","Executive Hills N. - A","1","North","10316 NW Prairie View Rd.
Kansas City, MO 
(39.28068684191758, -94.6752634746757)","1985","Completed","2.2","New","Industrial/Office/Showroom","20","0","39","0","0","Executive Hills","No",
"122.00","Traders Bank Building","11","Downtown","1125 Grand Av.
Kansas City, MO 
(39.100719704166266, -94.58079144972017)","1984","Completed","3.0","Rehab","Office","210","0","0","0","0","Traders Bank","No",
"Project No.","identification number assigned sequentially with each new project","to provide brief, unique ID for references, joins and lookups","always","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
,"23","Linwood",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"31.00","Sovereign Building","14","Midtown","1801 Grand Av.
Kansas City, MO 
(39.09166255359724, -94.58125786736963)","1985","Completed","3.0","Rehab","Office/Retail","35","14","0","0","0","1801 Grand Assocs.","No",
"242.00","Cumberland Redevelopment","11","Downtown","100 W 9th St.
Kansas City, MO 
(39.10366839526687, -94.58435935249561)","1988","Completed","10.0","Rehab","Office","125","0","0","0","0","Cumberland Associates","No",
"27.00","KC Life Computer Center","17","Midtown","440 Knickerbocker Pl.
Kansas City, MO 
(39.06279293834897, -94.59093674905534)","1985","Completed","6.0","New","Office","85","0","0","0","0","Kansas City Life Insurance Co.","No",
"118.00","Federal Reserve Bank","11","Downtown","925 Grand Av.
Kansas City, MO 
(39.103177204614795, -94.5806541847852)","1986","Completed","2.1","Rehab","Office","12","0","0","0","0","Federal Reserve Bank Of K.C.","No",
"68.00","Adam's Mark Hotel","25","East","9103 E 39th St.
Kansas City, MO 
(39.05240514831047, -94.47237370455991)","1985","Completed","1.5","Rehab","Lodging","0","0","0","288","100","HBE Corp.","No",
"79.00","American Hereford","14","Midtown","1501 Wyandotte St.
Kansas City, MO 
(39.09538374809074, -94.58574223957345)","1986","Completed","1.7","New","Office","25","0","0","0","0","American Hereford Assoc.","No",
"264.00","Airborne Express","1","North","10600 N Pomona Av.
Kansas City, MO 
(39.28666954372284, -94.67112387303519)","1988","Completed","1.0","New","Storage / Distribution","0","0","29","0","0","Airborne Express","No",
"270.00","City Center Square Rehab","11","Downtown","1100 Main St.
Kansas City, MO 
(39.10006921586336, -94.58316118534935)","1989","Completed","4.6","Rehab","Office/Retail","553","12","0","0","430","Merrill Lynch Hubbard","No",
"42.00","Cosada Villa Offices","3","North","8575 N Cosada Dr.
Kansas City, MO 
(39.25079581005424, -94.62743027841626)","1985","Completed","20.0","New","Medical","0","0","0","0","0","Cosada Development Co.","No",
"158.00","Holiday Inn at KCI","1","North","11832 N Plaza Circle
Kansas City, MO 
(39.30764384458491, -94.68414959218644)","1984","Completed","3.5","Rehab","Lodging","0","0","0","205","0","Southmark Hospitality Management","No",
"260.00","Marriott - KCI - Expansion","1","North","775 Brasilia Av.
Kansas City, MO 
(39.31003393004403, -94.71523561857236)","1989","Completed","10.0","New","Lodging","0","0","0","125","0","Marriott Corp.","No",
"280.00","Bannister Sq. Business - 2","30","South","9644 Marion Park Dr.
Kansas City, MO 
(38.949512388894426, -94.5359984006475)","1988","Completed","1.7","New","Industrial/Office/Showroom","8","0","17","0","0","Terrydale Management Corp.","No",
"14.00","Poindexter Building","11","Downtown","801 Broadway
Kansas City, MO 
(39.104617966254075, -94.5881014611704)","1985","Completed","3.5","Rehab","Storage / Distribution","0","0","230","0","0","Poindexter Assocs.; Cohen & Co.","No",
"232.00","City Operations Building","9","East","5300 Kenworth Av.
Kansas City, MO 
(39.10295000044232, -94.58306000001886)","1988","Completed","4.5","Rehab","Public","0","0","0","0","0","City of Kansas City, Missouri","No",
"25.00","Hallmark Tech. Center","15","Midtown","2650 Gillham Rd.
Kansas City, MO 
(39.078089785467284, -94.57855665655933)","1986","Completed","20.0","New","Office","188","0","0","0","0","Crown Center Redevelopment Corp.","No",
"95.00","Ashley Building","11","Downtown","911 Broadway
Kansas City, MO 
(39.10359615757542, -94.58816513408902)","1985","Completed","3.0","Rehab","Office","50","0","0","0","0","Willis Ashley","No",
"174.00","Executive Hills N. - C-F","1","North","10328 NW Prairie View Rd.
Kansas City, MO 
(39.28084894766733, -94.67538148562247)","1988","Completed","8.0","New","Industrial/Office/Showroom","65","0","135","0","0","Executive Hills","No",
"309.00","Holiday Motel","26","East","5338 Prospect Av.
Kansas City, MO 
(39.0286990196181, -94.55507535837432)","1989","Completed","1.0","New","Lodging","0","0","0","20","0","Roshni & Sheetal","No",
"20.00","Ridge Arcade","11","Downtown","916 Walnut St.
Kansas City, MO 
(39.10330877176774, -94.58196301585122)","1984","Completed","1.0","Rehab","Office","54","0","0","0","0","Hadley/McHugh Partnership","No",
"62.00","99th & Holmes Center","29","South","9901 Holmes Rd.
Kansas City, MO 
(38.94819984123071, -94.58229459162547)","1984","Completed","10.0","New","Retail","0","89","0","0","500","Ed Moody","No",
"55.00","DST Systems","25","East","7201 E 63rd Tfwy.
Kansas City, MO 
(39.10295000044232, -94.58306000001886)","1985","Completed","10.0","New","Office","82","0","0","0","0","DST Systems","No",
"321.00","Richman Gordman","30","South","9251 Hillcrest Rd.
Kansas City, MO 
(38.957823450489, -94.5205323992289)","1990","Underway","2.5","New","Retail","0","55","0","0","0","Richman Gordman Stores","No",
"303.00","Sealright Engineering Div.","1","North","7805 NW 97th Te.
Kansas City, MO 
(39.27017597770549, -94.67119581879751)","1989","Completed","2.0","New","Industrial","0","0","60","0","0","Sealright Co.","No",
"*   See Table II - Coding Lists for the Major Projects 1983 to 1989 Database for codes to be used and their",,,,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"290.00","Park Central - 1 & 2","19","Plaza","201 Brush Creek Blvd.
Kansas City, MO 
(39.042054941669846, -94.58526246963552)","1990","Underway","20.0","New","Office","170","0","0","0","0","R.H. Sailors & Co.","Yes",
,"Medical","primarily medical",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"319.00","T.J. Maxx","30","South","9133 Hillcrest Rd.
Kansas City, MO 
(38.959764790959085, -94.52011913326488)","1989","Completed","1.5","New","Retail","0","24","0","0","0","T.J. Maxx","No",
"109.00","Executive Hills N. - 12B","1","North","7740 NW Tiffany Springs Pkwy.
Kansas City, MO 
(39.27413180360831, -94.66826956709993)","1987","Completed","4.7","New","Office","59","0","0","0","0","Executive Hills","No",
"177.00","Maple Woods Expansion","4","North","2601 NE Barry Rd.
Kansas City, MO 
(39.24767974475572, -94.54806525847589)","1988","Completed","7.5","New","Educational","0","0","0","0","0","Maple Woods Community College","No",
"90.00","Executive Hills N. - 11","1","North","10015 N Executive Hills Blvd.
Kansas City, MO 
(39.275985598014756, -94.66864174423432)","1985","Completed","3.0","New","Office","40","0","0","0","0","Executive Hills","No",
,"24","Blue River Valley",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"289.00","612 Plaza","19","Plaza","612 W 47th St.
Kansas City, MO 
(39.04241368056495, -94.5942678124112)","1989","Completed","1.0","Rehab","Office/Retail","29","30","0","0","0","Weltner Equities","No",
"144.00","Campbell, Morgan, Gibson","19","Plaza","4515 Madison Av.
Kansas City, MO 
(39.0456872127516, -94.59719060900642)","1985","Completed","2.0","New","Office","15","0","0","0","0","Morgan & Gibson Partners","No",
"Finish Year","best estimate of year of completion","initially to trigger changing Status field from ""Underway"" to ""Completed"" when appropriate; ultimately to note projects' situation in time","initially filled in when available; ultimately filled in always                  .","
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"58.00","Dodson Insurance","28","South","9201 State Line Rd.
Kansas City, MO 
(38.962922606395125, -94.6080634123407)","1985","Completed","13.0","New","Office","105","0","0","0","0","Dodson Insurance Group","No",
"332.00","Bryant School Rehab","27","South","319 Westover Rd.
Kansas City, MO 
(39.02525461624589, -94.59240621581057)","1987","Completed","1.5","Rehab","Educational","0","0","0","0","0","Kansas City School District","No",
,"16","Longfellow / Union Hill",,"
Kansas City, MO 
(39.10295000044232, -94.58306000001886)",,,,,,,,,,,,,
"153.00","Three Oaks Prof. Building","6","North","5440 N Oak Tfwy.
Kansas City, MO 
(39.19358072046998, -94.57656915487462)","1985","Completed","1.3","New","Office","15","0","0","0","0","Three Oaks Building Partners","No",
"284.00","Gart Bros. Sports Castle","11","Downtown","1111 Holmes St.
Kansas City, MO 
(39.100704735422816, -94.57494951966173)","1989","Completed","2.5","Rehab","Retail","0","70","0","0","475","Gart Brothers Sporting Goods Co.","No",
"255.00","Terminal A Parking Garage","1","North","10 Amsterdam Circle
Kansas City, MO 
(39.299542417640815, -94.721987769565)","1989","Completed","20.0","New","Garage","0","0","0","0","2017","City of Kansas City, Missouri","No",
"272.00","Dwight/Burnap/Board Ren.","11","Downtown","101 W 10th St.
Kansas City, MO 
(39.102174766372904, -94.58424695052622)","1988","Completed","3.0","Rehab","Office","341","0","0","0","0","DST Realty","No",
