"fiscal_year","service","department","program","revenue_category","recommended_amount","approved_amount","fund","fund_type","description","revenue_type"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Interest","177713","177713","Stormwater","Stormwater","Interest On Investments","Interest"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","Service Charges-General Gov't","15000","15000","Street Maintenance","Street Maintenance","Pole Attachment Fees","Service Charges-General Gov't"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","5757000","5757000","Street Car ","Street Car ","Proceeds from TDD Sales Tax","Other Taxes"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","500000","500000","Convention and Tourism","Convention and Tourism","Concession Rentals","Rental Income"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","2935618","2935618","KC Airports","KC Airports","Conces-Food & Beverage (Host)","KCI Airport"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","308900","308900","Downtown Redevelopment District Debt","Downtown Redevelopment District Debt","EAT-County","Other Taxes"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","65000","65000","Golf Operations","Golf Operations","Restaurant-Minor Park","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Other Contributions","0","0","Governmental Grants Fund","Governmental Grants Fund","Cont-to HPV Vaccine Project","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Special Assessments","3737000","3737000","Street Car ","Street Car ","Collections From Assessments","Special Assessments"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","40000","40000","KC Airports","KC Airports","Transportation-Area Shuttles","KCI Airport"
"2019","Finance and Governance","Finance","Finance Revenues","Special Assessments","339000","339000","Sewer Special Assessment","Sewer Special Assessment","Collections From Assessments","Special Assessments"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","0","0","Parks and Recreation","Parks and Recreation","Sports-Youth Other","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","850733","850733","General Fund","General Fund","Rr & Util Tax Pers Prop-Curr","Property Taxes"
"2019","Finance and Governance","General Services","Procurement","Miscellaneous Revenues","10000","10000","General Fund","General Fund","Sale Of Scrap Metal","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","1023","1023","Parks and Recreation","Parks and Recreation","Comm Ctr Sports","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","1400","1400","STIF Tower-909 Walnut","STIF Tower-909 Walnut","Telephone Co-Emerg Contra","Utility Taxes - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","UMKC Increasing HIV Screening","Federal Grants"
"2019","Finance and Governance","Finance","Finance Revenues","State Grants","2100000","2100000","Street Maintenance","Street Maintenance","Title & License Transfer Fees","State Grants"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","71996","71996","Sewer","Sewer","Houston Lk Sewer Serv Charge","Service Charges-Sewer"
"2019","Public Safety","Police","Police Revenues","Miscellaneous Revenues","93926","93926","Police Grant","Police Grant","05 DNA Backlog Reduction Grant","Miscellaneous Revenues"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes","1421000","1421000","General Fund","General Fund","Natural Gas Co-Emerg","Utility Taxes"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Interest","548167","548167","KCI Passenger Facility Charge","KCI Passenger Facility Charge","KCI Interest-Pass Fac Charges","Interest"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax-Redirection","-2998600","-2998600","KCATA Sales Tax","KCATA Sales Tax","Sales Tax - Contra","Sales Tax-Redirection"
"2019","Finance and Governance","Office of the City Manager","Emergency Management Services","Miscellaneous Revenues","0","0","Health Levy","Health Levy","Miscellaneous Income","Miscellaneous Revenues"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","36500","36500","Convention and Tourism","Convention and Tourism","Staffing","Rental Income"
"2019","Finance and Governance","Law","Law Revenues","Other Contributions","150000","150000","General Fund","General Fund","Reimb For Claim Service-Ata","Other Contributions"
"2019","Finance and Governance","Finance","Finance Revenues","Interest","0","0","Justice Assistance Grant","Justice Assistance Grant","Interest On Investments","Interest"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Management","Service Charges-Public Safety","5580","5580","Development Services","Development Services","Certificate Of Occupancy Fees","Service Charges-Public Safety"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","1029700","1029700","KC Airports","KC Airports","Parking - On Airport - Other","KCI Airport"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Park Revenue","Federal Grants","0","0","Capital Improvements","Capital Improvements","Transport Alternatives Program","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Park Revenue","Federal Grants","0","0","Capital Improvements","Capital Improvements","Transport Alternatives Program","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Park Revenue","Federal Grants","0","0","Capital Improvements","Capital Improvements","Transport Alternatives Program","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Park Revenue","Federal Grants","0","0","Capital Improvements","Capital Improvements","Transport Alternatives Program","Federal Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","100","100","STIF HOK Sport Garage","STIF HOK Sport Garage","Telephone Co-Emerg Contra","Utility Taxes - Contra"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","4233","4233","Convention and Tourism","Convention and Tourism","Video Production Services","Rental Income"
"2019","Public Safety","Fire","Communications","Service Charges-Public Safety","365000","365000","General Fund","General Fund","Dispatch Serv Fee - JACO Fire","Service Charges-Public Safety"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","55974","55974","Governmental Grants Fund","Governmental Grants Fund","Public Health Preparedness","State Grants"
"2019","Public Safety","Municipal Court","Municipal Court Revenues","Federal Grants","0","0","Inmate Security","Inmate Security","BJA Grant","Federal Grants"
"2019","Finance and Governance","Finance","Finance Revenues","State Grants","2000000","2000000","Convention And Sports Complex","Convention And Sports Complex","Conv Ctr Cmplx-State Assist Gr","State Grants"
"2019","Finance and Governance","General Services","Facilities Management","Other Rentals","0","0","General Fund","General Fund","Lease of Building","Other Rentals"
"2019","Finance and Governance","General Services","Facilities Management","Other Rentals","0","0","General Fund","General Fund","Lease of Building","Other Rentals"
"2019","Finance and Governance","General Services","Facilities Management","Other Rentals","0","0","General Fund","General Fund","Lease of Building","Other Rentals"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Miscellaneous Revenues","300000","300000","Convention and Tourism","Convention and Tourism","Reimb Services","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Communicable Diseases","Service Charges-Health","0","0","Health Levy","Health Levy","STD","Service Charges-Health"
"2019","Transportation and Infrastructure","Public Works","Capital Projects","Miscellaneous Revenues","0","0","Capital Improvements","Capital Improvements","Contribution-From Kcata","Miscellaneous Revenues"
"2019","Transportation and Infrastructure","Public Works","Capital Projects","Miscellaneous Revenues","0","0","Capital Improvements","Capital Improvements","Contribution-From Kcata","Miscellaneous Revenues"
"2019","Transportation and Infrastructure","Public Works","Capital Projects","Miscellaneous Revenues","0","0","Capital Improvements","Capital Improvements","Contribution-From Kcata","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Rental Income","4300","4300","Parks and Recreation","Parks and Recreation","Concession Rentals","Rental Income"
"2019","Finance and Governance","General Services","Facilities Management","Rental Income","0","0","Sewer","Sewer","Parking Lot Rental","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","64750","64750","Parks and Recreation","Parks and Recreation","Comm Ctr Rental","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","City Planning Revenues","Other Contributions","1500000","1500000","General Fund","General Fund","Contr-From KC Port Auth","Other Contributions"
"2019","Finance and Governance","General Services","Facilities Management","Rental Income","0","0","Sewer","Sewer","Rent Of Misc Bldgs & Lots","Rental Income"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","16200","16200","STIF Linwood Shopping Center","STIF Linwood Shopping Center","EAT-County","Other Taxes"
"2019","Finance and Governance","Human Relations","Human Relations","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","Fair Housing Gnt","Federal Grants"
"2019","Finance and Governance","Human Relations","Human Relations","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","Fair Housing Gnt","Federal Grants"
"2019","Finance and Governance","Human Relations","Human Relations","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","Fair Housing Gnt","Federal Grants"
"2019","Finance and Governance","Human Relations","Human Relations","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","Fair Housing Gnt","Federal Grants"
"2019","Finance and Governance","Human Relations","Human Relations","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","Fair Housing Gnt","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","130716","130716","Governmental Grants Fund","Governmental Grants Fund","00-Surveillance","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Cultural Facilities","Service Charges-Parks & Rec","37000","37000","Parks and Recreation","Parks and Recreation","E&Ce-Programs","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Accounts","Service Charges-General Gov't","36000","36000","General Fund","General Fund","Wage Assignment Fees","Service Charges-General Gov't"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Interest","3417969","3417969","Sewer","Sewer","Interest On Investments","Interest"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","City Planning Revenues","Federal Grants","0","0","Brownfields Revolving","Brownfields Revolving","Brownfields Petro Assess Grnt","Federal Grants"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","City Planning Revenues","Federal Grants","0","0","Brownfields Revolving","Brownfields Revolving","Brownfields Petro Assess Grnt","Federal Grants"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","City Planning Revenues","Federal Grants","0","0","Brownfields Revolving","Brownfields Revolving","Brownfields Petro Assess Grnt","Federal Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Gaming Revenues","5600000","5600000","General Fund","General Fund","Gaming-Gross Receipts","Gaming Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Licenses & Permits","0","0","General Fund","General Fund","Temp Liquor Permits","Licenses & Permits"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","12600","12600","KC Airports","KC Airports","Transportation - Other","KCI Airport"
"2019","Finance and Governance","Finance","Finance Revenues","Miscellaneous Revenues","0","0","General Fund","General Fund","Miscellaneous Income","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","6000","6000","Golf Operations","Golf Operations","Other Rentals-Swope Memorial","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","42173","42173","Convention and Tourism","Convention and Tourism","Advertising-Convention Center","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","200000","200000","Golf Operations","Golf Operations","Golf Cart Rent-Hodge Pk","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Finance Revenues","Interest","0","0","STIF Valentine","STIF Valentine","Interest on Invest-Trustee","Interest"
"2019","Finance and Governance","Finance","Finance Revenues","Miscellaneous Revenues","0","0","Public Safety Sales Tax","Public Safety Sales Tax","Sale Of Property","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","9530","9530","Parks and Recreation","Parks and Recreation","Sports-Adult Leagues","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Richards Gebaur Airport","7000000","7000000","Customer Facility Charges","Customer Facility Charges","Customer Facility Charge (CFC)","Richards Gebaur Airport"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","2000","2000","Parks and Recreation","Parks and Recreation","Tennis - Court Fees","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","60000","60000","Parks and Recreation","Parks and Recreation","Comm Ctr Rental","Service Charges-Parks & Rec"
"2019","Transportation and Infrastructure","Public Works","Parking Control","Rental Income","12000","12000","Parking Garage","Parking Garage","Rental From Parking Concession","Rental Income"
"2019","Public Safety","Municipal Court","Court Operations","Fines & Forfeitures","135631","135631","General Fund","General Fund","Mun Crt Costs-Police Off Trng","Fines & Forfeitures"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","24500","24500","Downtown Redevelopment District Debt","Downtown Redevelopment District Debt","EAT-Zoo","Other Taxes"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","15900","15900","STIF HOK Sport Garage","STIF HOK Sport Garage","Power and Light Co-Emerg Contra","Utility Taxes - Contra"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","23271091","23271091","KCI Passenger Facility Charge","KCI Passenger Facility Charge","Passenger Facility Charge","KCI Airport"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax","31350000","31350000","KCATA Sales Tax","KCATA Sales Tax","Sales Tax","Sales Tax"
"2019","Public Safety","Municipal Court","Municipal Court Revenues","Other Contributions","0","0","Inmate Security","Inmate Security","Contr - Area Hospitals","Other Contributions"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-Public Safety","150000","150000","Development Services","Development Services","Periodic & Reinspection","Service Charges-Public Safety"
"2019","Finance and Governance","Finance","Finance Revenues","Miscellaneous Revenues","0","0","STIF Uptown","STIF Uptown","Tax Increment Revenues","Miscellaneous Revenues"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Interest","2724761","2724761","Water","Water","Interest On Investments","Interest"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Service Charges-Health","0","0","Governmental Grants Fund","Governmental Grants Fund","Healthy Eating and Active Living","Service Charges-Health"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Service Charges-Health","0","0","Governmental Grants Fund","Governmental Grants Fund","Healthy Eating and Active Living","Service Charges-Health"
"2019","Transportation and Infrastructure","Public Works","Capital Projects","Licenses & Permits","5000","5000","Street Maintenance","Street Maintenance","Residential Parking Permits","Licenses & Permits"
"2019","Public Safety","Municipal Court","Municipal Court Revenues","Federal Grants","0","0","Inmate Security","Inmate Security","SAMHSA KCMDC SAT Expansion","Federal Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","48700","48700","STIF Tower-909 Walnut","STIF Tower-909 Walnut","Power and Light Co-Emerg Contra","Utility Taxes - Contra"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Miscellaneous Revenues","0","0","Pollution Cntrl Working Cap","Pollution Cntrl Working Cap","Sale Of Property","Miscellaneous Revenues"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Service Charges-Downtown Airport","6500000","6500000","Customer Facility Charges","Customer Facility Charges","Transportation Facility Charge","Service Charges-Downtown Airport"
"2019","Finance and Governance","Finance","Finance Revenues","Miscellaneous Revenues","0","0","STIF 12th and Wyandotte","STIF 12th and Wyandotte","Reimb-Conv.& Visitors Bureau","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","677000","677000","Neighborhood Grants","Neighborhood Grants","HUD Supportive Housing Grant","Federal Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Special Assessments","0","0","STIF HOK Sport Garage","STIF HOK Sport Garage","Collections From Assessments","Special Assessments"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","0","0","STIF Uptown","STIF Uptown","EAT-County","Other Taxes"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","0","0","Capital Improvements","Capital Improvements","Proceeds from TDD Sales Tax","Other Taxes"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","-300000","-300000","Sewer","Sewer","Sewer Refunds","Service Charges-Sewer"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes","1366635","1366635","Health Levy","Health Levy","Pers Prop Tax-Prior","Property Taxes"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","10168","10168","Governmental Grants Fund","Governmental Grants Fund","06 Children Special Needs","State Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","7600","7600","STIF Hotel President","STIF Hotel President","EAT-County","Other Taxes"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","4500","4500","Parks and Recreation","Parks and Recreation","Swope Pool-Concessions","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Interest","129632","129632","KCI Passenger Facility Charge","KCI Passenger Facility Charge","Interest On Investments","Interest"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","260000","260000","Golf Operations","Golf Operations","Green Fees -Blue River","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Trash and Recycling","Service Charges-General Gov't","0","0","General Fund","General Fund","Sale Of Recycle Bins","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Service Charges-General Gov't","0","0","Homesteading Authority","Homesteading Authority","Miscellaneous Service Fees","Service Charges-General Gov't"
"2019","Transportation and Infrastructure","Public Works","Parking Control","Rental Income","40500","40500","Parking Garage","Parking Garage","Rental From Parking Concession","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Licenses & Permits","63500","63500","General Fund","General Fund","Short Term Loan Establishment Permits","Licenses & Permits"
"2019","Finance and Governance","General Services","Facilities Management","Rental Income","31200","31200","Sewer","Sewer","Space Rental Charges","Rental Income"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","3373900","3373900","KC Airports","KC Airports","Parking - On Airport - Park Ai","KCI Airport"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Communicable Diseases","Service Charges-Health","1100","1100","Health Levy","Health Levy","Medicaid","Service Charges-Health"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","1000","1000","STIF Hotel President","STIF Hotel President","Telephone Co-Emerg Contra","Utility Taxes - Contra"
"2019","Finance and Governance","Finance","Finance Revenues","Interest","0","0","DEA Drug Forfeiture","DEA Drug Forfeiture","Interest On Investments","Interest"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","10804","10804","Parks and Recreation","Parks and Recreation","Comm Ctr Rental","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","58729","58729","Parks and Recreation","Parks and Recreation","Comm Ctr Services","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","937564","937564","Governmental Grants Fund","Governmental Grants Fund","04 AIDS Ryan White Title II","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","32000","32000","Golf Operations","Golf Operations","Driving Range-Hodge Pk","Service Charges-Parks & Rec"
"2019","Public Safety","Police","Police Revenues","Licenses & Permits","369697","369697","Police Grant","Police Grant","Private Alarm Licensing Fees","Licenses & Permits"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Communicable Diseases","State Grants","0","0","Health Levy","Health Levy","Childhood Immunizations","State Grants"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Miscellaneous Revenues","5005845","5005845","Water","Water","Reimb Services","Miscellaneous Revenues"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax - Contra","7600","7600","STIF Linwood Shopping Center","STIF Linwood Shopping Center","Earnings Tax W/H-Contra","Earnings Tax - Contra"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","405400","405400","KC Airports","KC Airports","Concessions - Hotel","KCI Airport"
"2019","Finance and Governance","Human Relations","Human Relations","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","EEOC Grant","Federal Grants"
"2019","Finance and Governance","Human Relations","Human Relations","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","EEOC Grant","Federal Grants"
"2019","Finance and Governance","Human Relations","Human Relations","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","EEOC Grant","Federal Grants"
"2019","Finance and Governance","Human Relations","Human Relations","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","EEOC Grant","Federal Grants"
"2019","Finance and Governance","Human Relations","Human Relations","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","EEOC Grant","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Communicable Diseases","Service Charges-Health","760000","760000","Health Levy","Health Levy","Birth Certificates","Service Charges-Health"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Interest","110586","110586","Customer Facility Charges","Customer Facility Charges","Interest On Investments","Interest"
"2019","Finance and Governance","Finance","Finance Revenues","Other Contributions","0","0","STIF Valentine","STIF Valentine","Misc Contributions","Other Contributions"
"2019","Transportation and Infrastructure","Public Works","Public Works Revenue","Federal Grants","0","0","Capital Improvements","Capital Improvements","Transportation Enhancement Grant","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Natural Resources","Service Charges-Parks & Rec","4000","4000","Parks and Recreation","Parks and Recreation","Shelter Rentals","Service Charges-Parks & Rec"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Water","125000","125000","Water","Water","Water Main Ext Eng Serv","Service Charges-Water"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-General Gov't","0","0","Arterial Street Impact Fee","Arterial Street Impact Fee","Plaza Devel Impact Fee","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Trash and Recycling","Service Charges-General Gov't","0","0","General Fund","General Fund","Advertising Income","Service Charges-General Gov't"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Miscellaneous Revenues","15000","15000","Water","Water","Miscellaneous Income","Miscellaneous Revenues"
"2019","Finance and Governance","Finance","Finance Revenues","Convention & Tourism Taxes","27500000","27500000","Convention and Tourism","Convention and Tourism","Restaurant Tax","Convention & Tourism Taxes"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Rental Income","0","0","Community Development Funds","Community Development Funds","Program Income","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","Affordable Care-Coop Agreement","Federal Grants"
"2019","Public Safety","Fire","Communications","Service Charges-Public Safety","30428","30428","General Fund","General Fund","Dispatch Serv Fee â€“ Claycomo","Service Charges-Public Safety"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","32548","32548","Sewer","Sewer","Lees Summit Sewer Service","Service Charges-Sewer"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax","20900000","20900000","Public Safety Sales Tax","Public Safety Sales Tax","Sales Tax","Sales Tax"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax","0","0","General Fund","General Fund","Earnings Tax-Profit-Prior","Earnings Tax"
"2019","Finance and Governance","Finance","Finance Revenues","Property Taxes - Pilots","1281457","1281457","Health Levy","Health Levy","Surplus PILOTS","Property Taxes - Pilots"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","575000","575000","Golf Operations","Golf Operations","Green Fees-Minor Park","Service Charges-Parks & Rec"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax - Contra","34000","34000","Downtown Redevelopment District Debt","Downtown Redevelopment District Debt","Earnings Tax Profit-Contra","Earnings Tax - Contra"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","96984","96984","Sewer","Sewer","Smithville Sewer Service Chg","Service Charges-Sewer"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","FDA Retail Program Standards M","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Rental Income","42607","42607","Parks and Recreation","Parks and Recreation","Concession Rentals","Rental Income"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","22600","22600","TIF Special Allocation","TIF Special Allocation","Power and Light - Contra","Utility Taxes - Contra"
"2019","Finance and Governance","Finance","Finance Revenues","Earnings Tax - Contra","610600","610600","STIF East Village","STIF East Village","Earnings Tax W/H-Contra","Earnings Tax - Contra"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Trash and Recycling","Service Charges-General Gov't","1080","1080","General Fund","General Fund","Advertising Income","Service Charges-General Gov't"
"2019","Public Safety","Police","Police Revenues","Service Charges-General Gov't","195340","195340","Police Grant","Police Grant","Report & Record Check Fees","Service Charges-General Gov't"
"2019","Transportation and Infrastructure","Public Works","Parking Control","Rental Income","24291","24291","Parking Garage","Parking Garage","Rental From Parking Concession","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","Local Sanitation Inspection","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","05 Mch Education","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","149914","149914","Governmental Grants Fund","Governmental Grants Fund","06 Children Special Needs","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Preservation","Licenses & Permits","15000","15000","General Fund","General Fund","Rental Registration Permit","Licenses & Permits"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","400000","400000","KC Airports","KC Airports","Trammel Crow Commerce Center","KCI Airport"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Housing Oppor for Persons With Aids","Housing Oppor for Persons With Aids","HOPWA/Violence Against Woman","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Housing Oppor for Persons With Aids","Housing Oppor for Persons With Aids","HOPWA/Violence Against Woman","Federal Grants"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","175000","175000","KC Airports","KC Airports","Landing Fees - PX - NonSig","KCI Airport"
"2019","Finance and Governance","Finance","Finance Revenues","Convention & Tourism Taxes Redirection","106400","106400","STIF Midtown","STIF Midtown","Restaurant - Contra","Convention & Tourism Taxes Redirection"
