"organization_name","description_of_services","populations_served","counties_served","website","how_to_access_resources","days_of_operation","hours_of_operation","notes","table3_addressline1","table3_addressline2","table3_city","table3_phone_numb"
"Pathstone - Vermont Operations Division","Offers employment, training, and support services to migrant workers, seasonal agricultural workers, and farm workers to assist them in obtaining permanent, full-time employment, either in agriculture or in some other line of work. Services provided to enrolled individuals may include emergency housing and limited rent assistance. Pays for necessary training of farmworkers on new farm equipment, in exchange for the farmer giving the worker a new title and a small increase in pay.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.pathstone.org","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","9:00 am - 5:00 pm",,"86 North Main Street",,"Saint Albans","802-644-8300"
"AARP","Offers supplemental insurance policies that may pay for health care costs not covered by Medicare, including Medicare deductibles and co-payments. Also offers affordable group health, life, dental, and long term care insurance. Provides information about supplemental insurance and long term care insurance. Offers one-on-one counseling, as well as assistance on the telephone and Internet to help individuals prepare basic tax forms, including the 1040, 1040A, 1040EZ, and other standard schedules. Also provides online information about such tax issues as IRS tax scams and tax identity theft.","Mature Adults","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.aarp.org/vt","Appointment;Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","9:00 am - 5:00 pm",,"199 Main Street","Suite 225 Court House Plaza Building","Burlington","802-951-1397
866-227-7451"
"Barre Housing Authority","Provides subsidized rental units for eligible applicants which enables the family or individual to find a privately-owned apartment of their choice within a designated county or town. Public housing rental waiting list.","General","Washington","http://www.barrehousingauthority.com","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm",,"30 Washington Street","Suite 1","Barre","802-476-3185"
"Brattleboro Housing Partnerships","Owns and manages public housing developments that include single-room occupancy housing. Programs for residents include the Family Self-Sufficiency Program and a Resident Services Program. Section 8 housing choice voucher program.","General","Windham","http://www.brattleborohousing.org","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm, closed 12:00 pm - 1:00 pm",,"224 Melrose Street",,"Brattleboro","802-254-6071"
"Burlington Housing Authority","Owns and manages affordable housing properties, including single room occupancy housing. Section 8 housing choice voucher program.","Families;General;Mature Adults;Persons with Disabilities","Chittenden","https://tinyurl.com/y9jbjbp5","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:00 pm",,"65 Main Street",,"Burlington","802-864-0538 ext. 207
802-864-0538 ext. 213"
"Vermont State Housing Authority","Public housing services, section 8 voucher & home ownership programs, disabilities/independent living loan program.","Families;General;Mature Adults;Persons with Disabilities","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.vsha.org","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","7:45 am - 4:30 pm","Milton, Middlebury, Swanton, & Vergennes locations offer senior subsidized housing programs ONLY.","One Prospect Street",,"Montpelier","802-828-3295"
"Vermont State Housing Authority","Public housing services, section 8 voucher & home ownership programs, disabilities/independent living loan program.","Families;General;Mature Adults;Persons with Disabilities","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.vsha.org","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","7:45 am - 4:30 pm","Milton, Middlebury, Swanton, & Vergennes locations offer senior subsidized housing programs ONLY.","249 Buttolph Drive",,"Middlebury","802-388-1005"
"Vermont State Housing Authority","Public housing services, section 8 voucher & home ownership programs, disabilities/independent living loan program.","Families;General;Mature Adults;Persons with Disabilities","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.vsha.org","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","7:45 am - 4:30 pm","Milton, Middlebury, Swanton, & Vergennes locations offer senior subsidized housing programs ONLY.","41-71 Platt Street",,"Swanton","802-828-3295"
"Vermont State Housing Authority","Public housing services, section 8 voucher & home ownership programs, disabilities/independent living loan program.","Families;General;Mature Adults;Persons with Disabilities","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.vsha.org","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","7:45 am - 4:30 pm","Milton, Middlebury, Swanton, & Vergennes locations offer senior subsidized housing programs ONLY.","12 Walker Avenue",,"Vergennes","802-828-1045"
"Lamoille Housing Partnership","Develops and manages affordable rental housing.","General","Lamoille","http://www.lamoillehousing.org/alliance/","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","9:00 am - 5:00 pm",,"49 Brigham Street",,"Morrisville","802-888-5714"
"Rutland Housing Authority","Owns and manages affordable housing properties, including single room occupancy housing. Section 8 housing choice voucher program.","General;Mature Adults;Persons with Disabilities","Rutland","http://www.rhavt.org/applications/","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:30 pm",,"5 Tremont Street","Templewood Court Administrative Building","Rutland","802-775-2926 ext. 11"
"Springfield Housing Authority","Owns and manages affordable housing properties, including single room occupancy housing. Section 8 housing choice voucher program.","Families;General;Mature Adults;Persons with Disabilities","Windsor","http://www.springfieldhousingauthorityvt.org/","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:00 pm",,"80 Main Street",,"Springfield","802-885-4905"
"Twin Pines Housing Trust","Develops and manages affordable homes and apartments through grants, low-interest loans, and income-sensitive rents. Offers access to affordable home-purchasing programs and provides Neighborworks Homebuyer Education Workshops.","General","Orange;Windsor","http://www.tphtrust.org","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:00 pm",,"226 Holiday Drive","Suite 20","White River Junction","802-291-7000 ext. 102"
"Winooski Housing Authority","Owns and manages affordable housing properties, including single room occupancy housing. Section 8 housing choice voucher program.","General","Chittenden","http://www.winooskihousing.org","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 12:00 pm, 1:00 pm - 4:30 pm",,"83 Barlow Street",,"Winooski","802-655-2360"
"Internal Revenue Service Taxpay Assistance Center","Answers questions related to the individual federal tax return, adjustments to tax accounts, taxes on wages or bank accounts, and IRS letters and notices. Helps with payment plans if taxpayer cannot pay the full amount owed. Helps with the preparation of a heavy vehicle use tax return. Provides state income tax and related tax forms, schedules, and publications for individuals and corporate and business entities. Website offers free online tax preparation and e-filing Free File software.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","https://www.irs.gov/uac/Free-File:-Do-Your-Federal-Taxes-for-Free","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 1:00 pm, 2:00 pm - 4:30 pm",,"128 Lakeside Avenue","Innovation Center, Second Floor","Burlington","802-859-9308 Information Only   Automated
800-829-1040   National Taxpayer Assistance Line
844-545-5640 Toll Free   Appointment Scheduling"
"Internal Revenue Service Taxpay Assistance Center","Answers questions related to the individual federal tax return, adjustments to tax accounts, taxes on wages or bank accounts, and IRS letters and notices. Helps with payment plans if taxpayer cannot pay the full amount owed. Helps with the preparation of a heavy vehicle use tax return. Provides state income tax and related tax forms, schedules, and publications for individuals and corporate and business entities. Website offers free online tax preparation and e-filing Free File software.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","https://www.irs.gov/uac/Free-File:-Do-Your-Federal-Taxes-for-Free","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 1:00 pm, 2:00 pm - 4:30 pm",,"1222 Putney Road",,"Brattleboro","844-545-5640 Toll Free   Appointment Scheduling
800-829-1040 Toll Free   National Taxpayer Assistance Line
802-257-4825 Information Only   Automated"
"United Way of Addison County","Works with employers to embed a Resource Coordinator in the workplace to help low and moderate income earners overcome barriers to staying employed and growing more financially stable. Services to employees include information and referral, help accessing employment and outside benefits, tax preparation, and financial literacy programs. Manages Facilitated Self Prepared Tax Program and supports AARP Tax preparation program.","General;Service Providers","Addison","http://www.unitedwayaddisoncounty.org","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm",,"48 Court Street",,"Middlebury","802-388-7189"
"United Way of Lamoille County","Conducts annual fundraising campaign to fund essential community programs, and works with local organizations to identify and resolve pressing community issues. Develops partnerships, coordinates volunteers, and offers program initiatives that address specific issues in education, income, and health. This includes the areas of financial stability, financial literacy, individual nutritional and physical well being, early learning, addiction prevention, and supporting the basic needs of housing, food, and accessibility in service communities.","Service Providers","Lamoille","http://uwlamoille.org/","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:00 pm",,"20 Morrisville Plaza","Suite B TD Bank Building","Morrisville","802-888-3252"
"United Way of Northwest Vermont","Develops partnerships, coordinates volunteers, and offers program initiatives that address specific issues in education, income, and health. This includes the areas of financial stability, financial literacy, individual nutritional and physical well being, early learning, addiction prevention, and supporting the basic needs of housing, food, and accessibility in service communities.","Service Providers","Caledonia;Franklin;Grand Isle","http://www.unitedwaynwvt.org","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm",,"412 Farrell Street","Suite 200","South Burlington","802-864-7541"
"United Way of Rutland County","Develops partnerships, coordinates volunteers, and offers program initiatives that address specific issues in education, income, and health. This includes the areas of financial stability, financial literacy, individual nutritional and physical well being, early learning, addiction prevention, and supporting the basic needs of housing, food, and accessibility in service communities.","Service Providers","Rutland","http://www.uwrutlandcounty.org","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 4:00 pm",,"88 Park Street",,"Rutland","802-773-7477"
"United Way of Windham County","Develops partnerships, coordinates volunteers, and supports program initiatives that address specific issues in the areas of education, income and health. This includes programs that strengthen financial stability, financial literacy, individual nutritional and physical well being, early learning, addiction prevention. Additionally, support is provided for programs addressing basic needs such as housing, food, and accessibility in service communities. Provides assistance with preparation of state and federal tax forms, renter rebates, earned income tax credits, and property tax paperwork through the Volunteer Income Tax Assistance Program.","General;Service Providers","Windham","http://www.unitedwaywindham.org","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","9:00 am - 5:00 pm",,"1 Holstein Place",,"Brattleboro","802-257-4011"
"United Ways of Vermont","Provides a comprehensive, confidential, statewide, health and human services information and referral service. Trained Information and Referral (I&R) Specialists offer personalized assistance by telephone, text, or email, help solve problems, and provide information and referrals to callers about government programs, community-based organizations, support groups, and other community resources.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.unitedwaysvt.org","Online;Telephone","Friday;Monday;Saturday;Sunday;Thursday;Tuesday;Wednesday","24 Hours/7 Days",,,,"Essex Junction","802-861-0146 Administrative
802-652-4636 Information & Services"
"Granite United Way - Upper Valley Region","Develops partnerships, coordinates volunteers and offers program initiatives that address specific issues in education, income and health. This includes the areas of financial stability; financial literacy; individual nutritional and physical well being; early learning; addiction prevention; and supporting the basic needs of housing, food and accessibility in service communities. Provides tax-filing assistance for state and federal income tax forms, renter rebates, earned income credit, and property tax paperwork through the Volunteer Income Tax Assistance Program.","General;Service Providers","Windsor","http://www.graniteuw.org","Appointment;Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 7:00 pm",,"21 Technology Drive","Suite 4","West Lebanon","603-298-8499"
"Green Mountain United Way","Develops partnerships, coordinates volunteers, and supports program initiatives that address specific issues in the areas of education, income and health. This includes programs that strengthen financial stability, financial literacy, individual nutritional and physical well being, early learning, addiction prevention. Additionally, support is provided for programs addressing basic needs such as housing, food, and accessibility in service communities. Training for Financial Coaching.","Service Providers","Caledonia;Essex;Orange;Orleans;Washington","http://www.gmunitedway.org","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm",,"73 Main Street","Number 33","Montpelier","802-613-3989"
"Vermont Department of Taxes","Provides information about and assistance with Vermont taxes. Staff is available by telephone and in person to answer questions, to help fill out returns, and to conduct tax education. Also enables taxpayers to check on the status of their tax return.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.tax.vermont.gov","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","Monday, Tuesday, Thursday, Friday: 7:45am-4:30pm; Walk-ins: Monday-Friday: 8:15am-4:15pm",,"133 State Street",,"Montpelier","802-828-2505"
"Listen Community Services","Provides financial counseling to address clients' fiscal crises, including financial literacy classes. Some secondary-service financial assistance available. Provides housing grants of up to $500 for deposits or rent payments in crisis situations. Grant recipient is required to undergo budget counseling, and loan repayment schedules become part of the client's budget plan","General","Orange;Windsor","http://www.listencs.org","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","9:00 am - 5:00 pm",,"60 Hanover Street",,"Lebanon","603-448-4553"
"Vermont Catholic Charities","Provides short-term budgeting assistance and help with applications for services to help individuals and families to navigate systems and community resources.","General","Chittenden","http://www.vermontcatholic.org/ministries-programs/catholic-charities/","Appointment","Thursday;Tuesday","By appointment only.","Sliding scale fee.","55 Joy Drive",,"South Burlington","802-658-6111"
"Easter Seals Vermont","Provides care coordination and emergency assistance, including, but not limited to, transportation, housing and homelessness, budgeting and financial management, systems navigation (both VA and civilian), and funeral expenses. Services are confidential and provided locally in the person's home or a convenient location. Easter Seals also provides outreach for the prevention of homelessness.","Active Duty Military;Veterans","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.easterseals.com/vt/our-programs/military-veteran-services/","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:30 am - 4:30 pm",,"641 Comstock Road","Suite One","Berlin","802-223-4744"
"Vermont Department for Children and Families","Maintains myBenefits.vt.gov, the official State of Vermont website for public benefits such as food stamps (3SquaresVT), Essential Person, Fuel Assistance, Reach Up (TANF), and state health insurance programs. The website provides program descriptions, eligibility requirements, online applications for some programs, and the ability to create an online account in order to track your application and/or check on your benefits. Provides financial capability education and asset building programs for program participants.","Families;General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://dcf.vermont.gov/mybenefits","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 5:45 pm (3:15 pm Fridays)",,"5 Perry Street","McFarland Office Building Suite 150","Barre","800-479-6151 Toll Free 24/7
855-247-3092 Language Interpretation Line"
"Vermont Department for Children and Families","Maintains myBenefits.vt.gov, the official State of Vermont website for public benefits such as food stamps (3SquaresVT), Essential Person, Fuel Assistance, Reach Up (TANF), and state health insurance programs. The website provides program descriptions, eligibility requirements, online applications for some programs, and the ability to create an online account in order to track your application and/or check on your benefits. Provides financial capability education and asset building programs for program participants.","Families;General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://dcf.vermont.gov/mybenefits","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 5:45 pm (3:15 pm Fridays)",,"200 Veteran's Memorial Drive","Suite 6","Bennington","800-479-6151 Toll Free 24/7
855-247-3092 Language Interpretation Line"
"Vermont Department for Children and Families","Maintains myBenefits.vt.gov, the official State of Vermont website for public benefits such as food stamps (3SquaresVT), Essential Person, Fuel Assistance, Reach Up (TANF), and state health insurance programs. The website provides program descriptions, eligibility requirements, online applications for some programs, and the ability to create an online account in order to track your application and/or check on your benefits. Provides financial capability education and asset building programs for program participants.","Families;General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://dcf.vermont.gov/mybenefits","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 5:45 pm (3:15 pm Fridays)",,"232 Main Street","2nd Floor","Brattleboro","800-479-6151 Toll Free 24/7
855-247-3092 Language Interpretation Line"
"Vermont Department for Children and Families","Maintains myBenefits.vt.gov, the official State of Vermont website for public benefits such as food stamps (3SquaresVT), Essential Person, Fuel Assistance, Reach Up (TANF), and state health insurance programs. The website provides program descriptions, eligibility requirements, online applications for some programs, and the ability to create an online account in order to track your application and/or check on your benefits. Provides financial capability education and asset building programs for program participants.","Families;General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://dcf.vermont.gov/mybenefits","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 5:45 pm (3:15 pm Fridays)",,"119 Pearl Street","John Zampieri State Office Building","Burlington","800-479-6151 Toll Free 24/7
855-247-3092 Language Interpretation Line"
"Vermont Department for Children and Families","Maintains myBenefits.vt.gov, the official State of Vermont website for public benefits such as food stamps (3SquaresVT), Essential Person, Fuel Assistance, Reach Up (TANF), and state health insurance programs. The website provides program descriptions, eligibility requirements, online applications for some programs, and the ability to create an online account in order to track your application and/or check on your benefits. Provides financial capability education and asset building programs for program participants.","Families;General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://dcf.vermont.gov/mybenefits","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 5:45 pm (3:15 pm Fridays)",,"118 Prospect Street","Suite 300","White River Junction","800-479-6151 Toll Free
855-247-3092 Language Interpretation Line"
"Vermont Department for Children and Families","Maintains myBenefits.vt.gov, the official State of Vermont website for public benefits such as food stamps (3SquaresVT), Essential Person, Fuel Assistance, Reach Up (TANF), and state health insurance programs. The website provides program descriptions, eligibility requirements, online applications for some programs, and the ability to create an online account in order to track your application and/or check on your benefits. Provides financial capability education and asset building programs for program participants.","Families;General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://dcf.vermont.gov/mybenefits","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 5:45 pm (3:15 pm Fridays)",,"63 Professional Drive","Suite 4","Morrisville","800-479-6151 Toll Free 24/7
855-247-3092 Language Interpretation Line"
"Vermont Department for Children and Families","Maintains myBenefits.vt.gov, the official State of Vermont website for public benefits such as food stamps (3SquaresVT), Essential Person, Fuel Assistance, Reach Up (TANF), and state health insurance programs. The website provides program descriptions, eligibility requirements, online applications for some programs, and the ability to create an online account in order to track your application and/or check on your benefits. Provides financial capability education and asset building programs for program participants.","Families;General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://dcf.vermont.gov/mybenefits","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 5:45 pm (3:15 pm Fridays)",,"100 Main Street","Suite 240","Newport","800-479-6151 Toll Free 24/7
855-247-3092 Language Interpretation Line"
"Vermont Department for Children and Families","Maintains myBenefits.vt.gov, the official State of Vermont website for public benefits such as food stamps (3SquaresVT), Essential Person, Fuel Assistance, Reach Up (TANF), and state health insurance programs. The website provides program descriptions, eligibility requirements, online applications for some programs, and the ability to create an online account in order to track your application and/or check on your benefits. Provides financial capability education and asset building programs for program participants.","Families;General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://dcf.vermont.gov/mybenefits","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 5:45 pm (3:15 pm Fridays)",,"88 Merchants Row","320 Asa Bloomer Building","Rutland","800-479-6151 Toll Free 24/7
855-247-3092 Language Interpretation Line"
"Vermont Department for Children and Families","Maintains myBenefits.vt.gov, the official State of Vermont website for public benefits such as food stamps (3SquaresVT), Essential Person, Fuel Assistance, Reach Up (TANF), and state health insurance programs. The website provides program descriptions, eligibility requirements, online applications for some programs, and the ability to create an online account in order to track your application and/or check on your benefits. Provides financial capability education and asset building programs for program participants.","Families;General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://dcf.vermont.gov/mybenefits","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 5:45 pm (3:15 pm Fridays)",,"27 Federal Street","Suite 300","Saint Albans","800-479-6151 Toll Free 24/7
855-247-3092 Language Interpretation Line"
"Vermont Department for Children and Families","Maintains myBenefits.vt.gov, the official State of Vermont website for public benefits such as food stamps (3SquaresVT), Essential Person, Fuel Assistance, Reach Up (TANF), and state health insurance programs. The website provides program descriptions, eligibility requirements, online applications for some programs, and the ability to create an online account in order to track your application and/or check on your benefits. Provides financial capability education and asset building programs for program participants.","Families;General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://dcf.vermont.gov/mybenefits","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","8:00 am - 5:45 pm (3:15 pm Fridays)",,"100 Mineral Street","Suite 201","Springfield","800-479-6151 Toll Free 24/7
855-247-3092 Language Interpretation Line"
"Listen Community Services","Provides financial counseling to address clients' fiscal crises, including financial literacy classes. Some secondary-service financial assistance available. Provides housing grants of up to $500 for deposits or rent payments in crisis situations. Grant recipient is required to undergo budget counseling, and loan repayment schedules become part of the client's budget plan.","General","Orange;Windsor","http://www.listencs.org","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","9:00 am - 5:00 pm",,"60 Hanover Street",,"Lebanon","603-448-4553"
"Resource","Provides job skills training to individuals with little or no work experience. Training includes introduction to work settings, job skills, and practicing professional skills and receiving feedback. Provides training to individuals who need job skills and work credentials for their desired careers. Trainees gain technical knowledge, customer service, and teamwork experience, as well as one-on-one training in one of the following areas: major appliance repair, computer technician training, assistive technology and durable medical equipment repair, customer service/retail management, and office administration.","General;Persons with Disabilities","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.resourcevt.org","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","9:30 am - 6:00 pm",,"329 Harvest Lane","Suite 200","Williston","802-658-4143"
"Resource","Provides job skills training to individuals with little or no work experience. Training includes introduction to work settings, job skills, and practicing professional skills and receiving feedback. Provides training to individuals who need job skills and work credentials for their desired careers. Trainees gain technical knowledge, customer service, and teamwork experience, as well as one-on-one training in one of the following areas: major appliance repair, computer technician training, assistive technology and durable medical equipment repair, customer service/retail management, and office administration.","General;Persons with Disabilities","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.resourcevt.org","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","9:30 am - 6:00 pm",,"590 East Main Street",,"Hyde Park","802-851-8333"
"Resource","Provides job skills training to individuals with little or no work experience. Training includes introduction to work settings, job skills, and practicing professional skills and receiving feedback. Provides training to individuals who need job skills and work credentials for their desired careers. Trainees gain technical knowledge, customer service, and teamwork experience, as well as one-on-one training in one of the following areas: major appliance repair, computer technician training, assistive technology and durable medical equipment repair, customer service/retail management, and office administration.","General;Persons with Disabilities","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.resourcevt.org","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","9:30 am - 6:00 pm",,"30 Granite Street",,"Barre","802-477-7800"
"Resource","Provides job skills training to individuals with little or no work experience. Training includes introduction to work settings, job skills, and practicing professional skills and receiving feedback. Provides training to individuals who need job skills and work credentials for their desired careers. Trainees gain technical knowledge, customer service, and teamwork experience, as well as one-on-one training in one of the following areas: major appliance repair, computer technician training, assistive technology and durable medical equipment repair, customer service/retail management, and office administration.","General;Persons with Disabilities","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://www.resourcevt.org","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","9:30 am - 6:00 pm",,"339 Pine Street",,"Burlington","802-846-4015"
"Habitat for Humanity","Constructs energy efficient, affordable homes in partnership with eligible families. The houses are sold to the partner families at cost, with no profit and no interest. Costs are kept low by using donated materials and volunteer labor. Members of the household must agree to and complete sweat equity hours, and participate in the partnering program, which may include financial counseling and household management education.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://vthabitat.org/vermont-affiliates-2","Online;Telephone",,"Service hours vary.",,"136 North Street",,"Manchester","802-367-1000"
"Habitat for Humanity","Constructs energy efficient, affordable homes in partnership with eligible families. The houses are sold to the partner families at cost, with no profit and no interest. Costs are kept low by using donated materials and volunteer labor. Members of the household must agree to and complete sweat equity hours, and participate in the partnering program, which may include financial counseling and household management education.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://vthabitat.org/vermont-affiliates-2","Online;Telephone",,"Service hours vary.",,,,"Montpelier","802-522-8611"
"Habitat for Humanity","Constructs energy efficient, affordable homes in partnership with eligible families. The houses are sold to the partner families at cost, with no profit and no interest. Costs are kept low by using donated materials and volunteer labor. Members of the household must agree to and complete sweat equity hours, and participate in the partnering program, which may include financial counseling and household management education.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://vthabitat.org/vermont-affiliates-2","Online;Telephone",,"Service hours vary.",,,,"Morrisville","802-870-0990
802-872-8726"
"Habitat for Humanity","Constructs energy efficient, affordable homes in partnership with eligible families. The houses are sold to the partner families at cost, with no profit and no interest. Costs are kept low by using donated materials and volunteer labor. Members of the household must agree to and complete sweat equity hours, and participate in the partnering program, which may include financial counseling and household management education.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://vthabitat.org/vermont-affiliates-2","Online;Telephone",,"Service hours vary.",,,,"Middlebury","802-388-0400"
"Habitat for Humanity","Constructs energy efficient, affordable homes in partnership with eligible families. The houses are sold to the partner families at cost, with no profit and no interest. Costs are kept low by using donated materials and volunteer labor. Members of the household must agree to and complete sweat equity hours, and participate in the partnering program, which may include financial counseling and household management education.","General","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","http://vthabitat.org/vermont-affiliates-2","Online;Telephone",,"Service hours vary.",,"6 Court Street",,"Rutland","802-747-7440"
