"service_provider_id","organization_name","description_of_services","populations_served","eligibility","counties_served","resource_categories","service_areas_detail","website","how_to_access_resources","days_of_operation","email_address","hours_of_operation","notes"
"88","Rutland Housing Authority","Owns and manages affordable housing properties, including single room occupancy housing. Section 8 housing choice voucher program.","General;Mature Adults;Persons with Disabilities","Income guidelines apply.","Rutland","Federal and State Benefits;Housing and Basic Needs","Rutland City","#http://www.rhavt.org/applications/#","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","brichardson@rhavt.org#mailto:brichardson@rhavt.org#","8:00 am - 4:30 pm",
"89","Springfield Housing Authority","Owns and manages affordable housing properties, including single room occupancy housing. Section 8 housing choice voucher program.","Families;General;Mature Adults;Persons with Disabilities","Income guidelines apply.","Windsor","Federal and State Benefits;Housing and Basic Needs","Town of Springfield","#http://www.springfieldhousingauthorityvt.org/#","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:00 am - 4:00 pm",
"90","Twin Pines Housing Trust","Develops and manages affordable homes and apartments through grants, low-interest loans, and income-sensitive rents. Offers access to affordable home-purchasing programs and provides Neighborworks Homebuyer Education Workshops.","General","Income guidelines apply.","Orange;Windsor","Home Ownership","Upper Valley Region","#http://www.tphtrust.org#","Appointment;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@tphtrust.org#mailto:info@tphtrust.org#","8:30 am - 4:00 pm",
"91","Winooski Housing Authority","Owns and manages affordable housing properties, including single room occupancy housing. Section 8 housing choice voucher program.","General","Income guideliens apply.","Chittenden","Federal and State Benefits;Housing and Basic Needs","City of Winooski","#http://www.winooskihousing.org#","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@winooskihousing.org#mailto:info@winooskihousing.org#","8:00 am - 12:00 pm, 1:00 pm - 4:30 pm",
"92","Internal Revenue Service Taxpay Assistance Center","Answers questions related to the individual federal tax return, adjustments to tax accounts, taxes on wages or bank accounts, and IRS letters and notices. Helps with payment plans if taxpayer cannot pay the full amount owed. Helps with the preparation of a heavy vehicle use tax return. Provides state income tax and related tax forms, schedules, and publications for individuals and corporate and business entities. Website offers free online tax preparation and e-filing Free File software.","General",,"Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Tax Assistance","Statewide","#https://www.irs.gov/uac/Free-File:-Do-Your-Federal-Taxes-for-Free#","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:30 am - 1:00 pm, 2:00 pm - 4:30 pm",
"93","United Way of Addison County","Works with employers to embed a Resource Coordinator in the workplace to help low and moderate income earners overcome barriers to staying employed and growing more financially stable. Services to employees include information and referral, help accessing employment and outside benefits, tax preparation, and financial literacy programs. Manages Facilitated Self Prepared Tax Program and supports AARP Tax preparation program.","General;Service Providers","Income guidelines may apply.","Addison","Adult Financial Education;Career Resources;Federal and State Benefits;Tax Assistance",,"#http://www.unitedwayaddisoncounty.org#","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","info@unitedwayaddisoncounty.org#mailto:info@unitedwayaddisoncounty.org#","8:30 am - 4:30 pm",
"94","United Way of Lamoille County","Conducts annual fundraising campaign to fund essential community programs, and works with local organizations to identify and resolve pressing community issues. Develops partnerships, coordinates volunteers, and offers program initiatives that address specific issues in education, income, and health. This includes the areas of financial stability, financial literacy, individual nutritional and physical well being, early learning, addiction prevention, and supporting the basic needs of housing, food, and accessibility in service communities.","Service Providers",,"Lamoille","Adult Financial Education;Federal and State Benefits;Housing and Basic Needs",,"#http://uwlamoille.org/#","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","unitedway@uwlamoille.org#mailto:unitedway@uwlamoille.org#","8:00 am - 4:00 pm",
"95","United Way of Northwest Vermont","Develops partnerships, coordinates volunteers, and offers program initiatives that address specific issues in education, income, and health. This includes the areas of financial stability, financial literacy, individual nutritional and physical well being, early learning, addiction prevention, and supporting the basic needs of housing, food, and accessibility in service communities.","Service Providers",,"Caledonia;Franklin;Grand Isle","Adult Financial Education;Federal and State Benefits;Housing and Basic Needs",,"#http://www.unitedwaynwvt.org#","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","info@unitedwaynwvt.org#mailto:info@unitedwaynwvt.org#","8:30 am - 4:30 pm",
"96","United Way of Rutland County","Develops partnerships, coordinates volunteers, and offers program initiatives that address specific issues in education, income, and health. This includes the areas of financial stability, financial literacy, individual nutritional and physical well being, early learning, addiction prevention, and supporting the basic needs of housing, food, and accessibility in service communities.","Service Providers",,"Rutland","Adult Financial Education;Federal and State Benefits;Housing and Basic Needs",,"#http://www.uwrutlandcounty.org#","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@uwrutlandcounty.org#mailto:info@uwrutlandcounty.org#","8:00 am - 4:00 pm",
"97","United Way of Windham County","Develops partnerships, coordinates volunteers, and supports program initiatives that address specific issues in the areas of education, income and health. This includes programs that strengthen financial stability, financial literacy, individual nutritional and physical well being, early learning, addiction prevention. Additionally, support is provided for programs addressing basic needs such as housing, food, and accessibility in service communities. Provides assistance with preparation of state and federal tax forms, renter rebates, earned income tax credits, and property tax paperwork through the Volunteer Income Tax Assistance Program.","General;Service Providers",,"Windham","Adult Financial Education;Federal and State Benefits;Housing and Basic Needs;Tax Assistance",,"#http://www.unitedwaywindham.org#","Online;Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","info@unitedwaywindham.org#mailto:info@unitedwaywindham.org#","9:00 am - 5:00 pm",
"98","United Ways of Vermont","Provides a comprehensive, confidential, statewide, health and human services information and referral service. Trained Information and Referral (I&R) Specialists offer personalized assistance by telephone, text, or email, help solve problems, and provide information and referrals to callers about government programs, community-based organizations, support groups, and other community resources.","General",,"Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Adult Financial Education;Federal and State Benefits;Housing and Basic Needs;Information and Referral;Other","Statewide","#http://www.unitedwaysvt.org#","Online;Telephone","Friday;Monday;Saturday;Sunday;Thursday;Tuesday;Wednesday","bethd@unitedwaysvt.org#mailto:bethd@unitedwaysvt.org#","24 Hours/7 Days",
"99","Granite United Way - Upper Valley Region","Develops partnerships, coordinates volunteers and offers program initiatives that address specific issues in education, income and health. This includes the areas of financial stability; financial literacy; individual nutritional and physical well being; early learning; addiction prevention; and supporting the basic needs of housing, food and accessibility in service communities. Provides tax-filing assistance for state and federal income tax forms, renter rebates, earned income credit, and property tax paperwork through the Volunteer Income Tax Assistance Program.","General;Service Providers","Income guidelines apply for tax prep services.","Windsor","Adult Financial Education;Federal and State Benefits;Housing and Basic Needs;Tax Assistance",,"#http://www.graniteuw.org#","Appointment;Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","info@graniteuw.org#mailto:info@graniteuw.org#","8:00 am - 7:00 pm",
"100","Green Mountain United Way","Develops partnerships, coordinates volunteers, and supports program initiatives that address specific issues in the areas of education, income and health. This includes programs that strengthen financial stability, financial literacy, individual nutritional and physical well being, early learning, addiction prevention. Additionally, support is provided for programs addressing basic needs such as housing, food, and accessibility in service communities. Training for Financial Coaching.","Service Providers",,"Caledonia;Essex;Orange;Orleans;Washington","Adult Financial Education;Federal and State Benefits;Housing and Basic Needs;Other",,"#http://www.gmunitedway.org#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","info@gmunitedway.org#mailto:info@gmunitedway.org#","8:30 am - 4:30 pm",
"102","Military OneSource","Provides free tax counseling sessions to aid in financial awareness. During tax season provides free online access to H&R Block tax preparation services through the MilTax program located on website. Includes free federal and state filing.","Active Duty Military","Active duty military, guard, reserve, and their families.","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Tax Assistance","Statewide","#http://www.militaryonesource.mil#","Online","Friday;Monday;Saturday;Sunday;Thursday;Tuesday;Wednesday",,"24 Hours/7 Days",
"103","Vermont Department of Taxes","Provides information about and assistance with Vermont taxes. Staff is available by telephone and in person to answer questions, to help fill out returns, and to conduct tax education. Also enables taxpayers to check on the status of their tax return.","General","Income guidelines apply for in-person tax preparation. Assistance by telephone open to all.","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Tax Assistance","Statewide","#http://www.tax.vermont.gov#","Telephone;Walk-In","Friday;Monday;Thursday;Tuesday;Wednesday","TAX.vtTaxDept@vermont.gov#mailto:TAX.vtTaxDept@vermont.gov#","Monday, Tuesday, Thursday, Friday: 7:45am-4:30pm; Walk-ins: Monday-Friday: 8:15am-4:15pm",
"104","University of Massachusetts New England Pension Action Center","Provides pension assistance to workers, retirees, and their families by resolving problems with benefit denials and miscalculations, locating retirement benefits from former employers, and obtaining and explaining complex retirement plan documents. Also provides fact sheets on pension and retirement issues as well as investor education.","General;Mature Adults","Open to all","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Adult Financial Education;Consumer Protection;Other;Retirement","New England including Vermont","#http://www.umb.edu/pensionaction#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","nepap@umb.edu#mailto:nepap@umb.edu#","9:00 am - 5:00 pm",
"105","Listen Community Services","Provides financial counseling to address clients' fiscal crises, including financial literacy classes. Some secondary-service financial assistance available. Provides housing grants of up to $500 for deposits or rent payments in crisis situations. Grant recipient is required to undergo budget counseling, and loan repayment schedules become part of the client's budget plan","General","Adults 18 and older","Orange;Windsor","Adult Financial Education;Housing and Basic Needs","Upper Valley Region of Vermont","#http://www.listencs.org#","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","mail@listencs.org#mailto:mail@listencs.org#","9:00 am - 5:00 pm",
"106","Vermont Catholic Charities","Provides short-term budgeting assistance and help with applications for services to help individuals and families to navigate systems and community resources.","General","Income guidelines apply.","Chittenden","Adult Financial Education;Information and Referral",,"#http://www.vermontcatholic.org/ministries-programs/catholic-charities/#","Appointment","Thursday;Tuesday","Charities@VermontCatholic.org#mailto:Charities@VermontCatholic.org#","By appointment only.","Sliding scale fee."
"107","Easter Seals Vermont","Provides care coordination and emergency assistance, including, but not limited to, transportation, housing and homelessness, budgeting and financial management, systems navigation (both VA and civilian), and funeral expenses. Services are confidential and provided locally in the person's home or a convenient location. Easter Seals also provides outreach for the prevention of homelessness.","Active Duty Military;Veterans","Members of the Air Force, Army, Coast Guard, Navy, Marines, National Guard, Army Reserve, and Veterans and their Families","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Adult Financial Education;Federal and State Benefits;Housing and Basic Needs","Statewide","#http://www.easterseals.com/vt/our-programs/military-veteran-services/#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","sreed@eastersealsvt.org#mailto:sreed@eastersealsvt.org#","8:30 am - 4:30 pm",
"108","Listen Community Services","Provides financial counseling to address clients' fiscal crises, including financial literacy classes. Some secondary-service financial assistance available. Provides housing grants of up to $500 for deposits or rent payments in crisis situations. Grant recipient is required to undergo budget counseling, and loan repayment schedules become part of the client's budget plan.","General",,"Orange;Windsor","Adult Financial Education;Housing and Basic Needs","Upper Valley Region","#http://www.listencs.org#","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","mail@listencs.org#mailto:mail@listencs.org#","9:00 am - 5:00 pm",
"109","Resource","Provides job skills training to individuals with little or no work experience. Training includes introduction to work settings, job skills, and practicing professional skills and receiving feedback. Provides training to individuals who need job skills and work credentials for their desired careers. Trainees gain technical knowledge, customer service, and teamwork experience, as well as one-on-one training in one of the following areas: major appliance repair, computer technician training, assistive technology and durable medical equipment repair, customer service/retail management, and office administration.","General;Persons with Disabilities","Eligibility and selection criteria program dependent.","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Career Resources","Statewide.","#http://www.resourcevt.org#","Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","info@resourcevt.org#mailto:info@resourcevt.org#","9:30 am - 6:00 pm",
"110","Habitat for Humanity","Constructs energy efficient, affordable homes in partnership with eligible families. The houses are sold to the partner families at cost, with no profit and no interest. Costs are kept low by using donated materials and volunteer labor. Members of the household must agree to and complete sweat equity hours, and participate in the partnering program, which may include financial counseling and household management education.","General","Income guidelines and application process.","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Adult Financial Education;Home Ownership;Housing and Basic Needs","Affiliates statewide.","#http://vthabitat.org/vermont-affiliates-2#","Online;Telephone",,,"Service hours vary.",
"111","RSVP & The Volunteer Center","Provides free basic tax preparation for low and moderate income households.","Mature Adults","Income Guidelines Apply; Preference Given to Adults Age 60 and Older.","Addison;Rutland","Tax Assistance",,"#http://www.volunteersinvt.org#","Appointment;Telephone",,"rsvpfgp@gmail.com#mailto:rsvpfgp@gmail.com#","Hours vary.",
"112","Vermont Legal Aid","Provides a full range of legal services that includes advice, assistance with documents such as powers of attorney and advance directives, advocacy and full representation. Represents seniors in general civil legal matters; areas of priority include: housing, financial exploitation, Social Security and Medicaid, and guardianship. Represents Medicare beneficiaries who also receive Medicaid in Medicare appeals concerning home health services, durable medical equipment, nursing care, and prescription drug coverage.","Mature Adults","Adults Age 60 and Older","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Consumer Protection;Other","Statewide","#https://www.vtlegalaid.org/elder-law-project#","Appointment;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday",,"Monday, Wednesday, Friday: 8:30am-1:30pm; Tuesday, Thursday: 11:30am-4:00pm",
"113","Office of the Vermont State Treasurer","Money management and personal finance education resources for kids and adults. Savings program for persons with disabilities.","General;Persons with Disabilities",,"Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Adult Financial Education;Other;PreK-12 Financial Education;Retirement","Statewide","vermonttreasurer.gov#http://vermonttreasurer.gov#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday","treasurers.office@vermont.gov#mailto:treasurers.office@vermont.gov#","8:00 am - 4:00 pm",
"114","Vermont Department of Libraries","""Financial Literacy in Your Library"" workshops during financial literacy month (April) for local libraries. Provides related resources year-round for libraries. Underwrites the community legal information center.","Service Providers",,"Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Adult Financial Education;PreK-12 Financial Education","Serves local public and school libraries.","#http://libraries.vermont.gov/#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:00 am - 4:00 pm",
"115","Vermont Department for Children and Families: Office of Economic Opportunity","Office of Economic Opportunity provides financial capability training for grant partners.","Service Providers",,"Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Adult Financial Education;Federal and State Benefits;Housing and Basic Needs;Loans and Asset Building;Other","Statewide","#http://dcf.vermont.gov/oeo#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:00 am - 4:00 pm",
"116","Vermont Department of Labor","Workforce development, economic & labor market information, information pertaining to unemployment insurance and workers compensation. Offers money management education and referrals to program participants.","Employers;General",,"Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Career Resources;Consumer Protection;Insurance","Statewide","#http://labor.vermont.gov/#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:00 am - 4:00 pm",
"117","Vermont Department of Human Resources","Financial wellness and retirement planning workshops for state employees. Money wellness integrated into employee wellness program. Employee assistance program includes finance page.","Employers","State employees.","Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Adult Financial Education;Information and Referral",,"#http://humanresources.vermont.gov/#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:00 am - 4:00 pm",
"118","Vermont Department of Financial Regulation","Resources on banking, investing, and insurance. Scam awareness and high-school financial literacy programs.","General;Service Providers",,"Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Adult Financial Education;Consumer Protection;Insurance;PreK-12 Financial Education",,"#https://www.dfr.vermont.gov/#","Online;Telephone","Friday;Monday;Thursday;Tuesday;Wednesday",,"8:00 am - 4:00 pm",
"119","Center for Financial Literacy","Champlain College's Center for Financial Literacy (CFL) was designed to promoteand develop financial literacy skills in K-12 students, college students, teachers (K-12 andcollege) and adults, which leads to more sound decisions about spending, credit, debt,investments and complex financial situations, such as buying a home and saving for retirement.","Service Providers",,"Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","Adult Financial Education;PreK-12 Financial Education",,"#https://www.champlain.edu/centers-of-experience/center-for-financial-literacy#","Online","Friday;Monday;Thursday;Tuesday;Wednesday","CFL@champlain.edu#mailto:CFL@champlain.edu#",,
"120","Vermont Jump$tart Coalition","The Vermont Jump$tart Coalition for Personal Financial Literacy is an all-volunteer, nonprofit organization dedicated to improving the financial literacy of Vermont youth by providing advocacy, information, and educational resources. Vermont Jump$tart strives to prepare young people for life-long successful financial decision making.","Service Providers",,"Addison;Bennington;Caledonia;Chittenden;Essex;Franklin;Grand Isle;Lamoille;Orange;Orleans;Rutland;Washington;Windham;Windsor","PreK-12 Financial Education",,"#https://vermontjumpstart.wordpress.com/#","Online;Telephone",,"vtjumpstart@comcast.net#mailto:vtjumpstart@comcast.net#","Days and hours of operation vary",
