LICENSEE,DBANAME,STREET NUMBER,STREET,CITY,STATE,ZIPCODE,PHONE NUMBER,PRIMARY LICENSE,SECONDARY LICENSE,PRIMARY TYPE,SECONDARY TYPE,COUNTY,DISTRICT,SUBDIST,LATLNG,Missouri Counties,School Districts,Counties
E. & J. GALLO WINERY,E & J GALLO,600,YOSEMITE BLVD,MODESTO,CA,953542760,2093413111,13867,0,LS,    ,OUT OF STATE,7,00,"(37.634545, -120.982279)",,,1340
WILLIAM GRANT & SONS INC.,WILLIAM GRANT & SONS,130,FIELDCREST AVE,EDISON,NJ,088373620,7322259000,13884,0,LS,    ,OUT OF STATE,7,00,,,,
KOBRAND CORPORATION,,1,MANHATTANVILLE RD. 4 FL,PURCHASE,NY,105772100,9142537700,13897,0,LS,    ,OUT OF STATE,7,00,,,,
SAZERAC COMPANY INC.,SAZERAC COMPANY,101,MAGAZINE STREET,NEW ORLEANS,LA,701302420,5048305743,13924,0,LS,    ,OUT OF STATE,7,00,,,,
WINE GROUP INC.,WINE GROUP,4596,S. TRACY BLVD.,TRACY,CA,953778106,2095994111,13960,0,LS,    ,OUT OF STATE,7,00,"(37.69898, -121.434143)",,,1181
WINESELLERS LTD.,,7520,N. CALDWELL AVENUE,NILES,IL,607143808,8476471100,14098,0,22S,    ,OUT OF STATE,7,00,,,,
TERMINAL RAILROAD ASSN. OF ST. LOUIS,,1017,OLIVE STREET 5TH FLOOR,ST. LOUIS,MO,631012022,6184518440,14569,0,TRNS,    ,ST. LOUIS CITY,3,00,,,,
VETERANS OF FOREIGN WARS,POST 3838,,HWY 61,CAPE GIRARDEAU,MO,637019650,5733344438,14602,15773,RBDE,SBD ,CAPE GIRARDEAU,4,00,,,,
AMERICAN LEGION 323,POST 323,504,LEWTKENHAUS BLVD,WENTZVILLE,MO,633851214,6363276060,14604,164448,RBD,SBD ,ST. CHARLES,3,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 639,LODGE 639,639,LIMBAUGH DRIVE,CAPE GIRARDEAU,MO,637018407,5733359294,14648,15513,RBDE,SBD ,CAPE GIRARDEAU,4,00,,,,
COLUMBUS CLUB ASSOCIATION INC.,COLUMBUS CLUB ASSOCIATION,318,S SPANISH STREET,CAPE GIRARDEAU,MO,637017443,5733340710,14652,64580,RBDE,SBD ,CAPE GIRARDEAU,4,00,"(37.29837, -89.51978299999999)",86,382,2695
COLUMBUS CLUB ASSOCIATION INC.,COLUMBUS CLUB ASSOCIATION,318,S SPANISH STREET,CAPE GIRARDEAU,MO,637017443,5733340710,14652,286205,RBDE,RBDC,CAPE GIRARDEAU,4,00,"(37.29837, -89.51978299999999)",86,382,2695
FRATERNAL ORDER OF EAGLES 3775,AERIE 3775,321,SPRING AVE,CAPE GIRARDEAU,MO,63701,5733350931,14691,15535,RBDE,SBD ,CAPE GIRARDEAU,4,00,"(37.310923, -89.55015399999999)",86,382,2695
CHEN-CHU INC.,HUNAN RESTAURANT,409,N 36TH STREET,ST JOSEPH,MO,64506,8162322535,15211,0,RBD,    ,BUCHANAN,1,00,"(39.770673, -94.805702)",25,77,2692
REMY COINTREAU USA,,1290,AVENUE OF THE AMERICAS 14TH FL,NEW YORK,NY,101040051,2123994200,15355,0,LS,    ,OUT OF STATE,7,00,"(40.7604895, -73.978872)",,,2095
MITY FINE PASTA INC.,PASTA HOUSE COMPANY,9012,GRAVOIS,ST LOUIS,MO,631234626,3146381240,15425,16417,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.5551048, -90.3129828)",51,235,2210
KREIS' RESTAURANT INC.,KREIS' RESTAURANT,535,S LINDBERGH,FRONTENAC,MO,631312748,3149930735,15427,17391,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.6467869, -90.4057785)",51,217,2210
KAHOKA C & R MARKET INC.,,263,N JOHNSON STREET,KAHOKA,MO,634451422,6607273477,15573,182411,OPL,OPT ,CLARK,2,00,"(40.4220687, -91.71860799999999)",1,7,2700
KAHOKA C & R MARKET INC.,,263,N JOHNSON STREET,KAHOKA,MO,634451422,6607273477,15573,72378,OPL,SOP ,CLARK,2,00,"(40.4220687, -91.71860799999999)",1,7,2700
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #138,48,PLAZA NINETY FOUR DRIVE,ST PETERS,MO,63376,6369281623,15729,71146,OPL,SOP ,ST. CHARLES,3,00,,,,
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #138,48,PLAZA NINETY FOUR DRIVE,ST PETERS,MO,63376,6369281623,15729,138646,OPL,OPT ,ST. CHARLES,3,00,,,,
ERNESTINE SCHUMANN HEINK CHAPTER INC.,DISABLED VETERANS TRUST,14605,E. US 40 HWY,KANSAS CITY,MO,641381119,8167658787,15894,24493,RBD,SBD ,JACKSON,1,00,"(39.03446479999999, -94.40832309999999)",43,463,525
KNIGHTS OF COLUMBUS,ST. PAUL HOME ASSOCIATION,1270,CHURCH RD - MAIN BLDG,ST PAUL,MO,63366,6362811799,16074,0,RBD,    ,ST. CHARLES,3,00,,,,
GERMAN CULTURAL SOCIETY,GERMAN CULTURAL SOCIETY,3652,S JEFFERSON AVE,ST LOUIS,MO,631183926,3147718368,16186,134705,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.5880936, -90.225988)",54,200,2223
AYERS OIL COMPANY INC.,AYERCO 30,1704,S BALTIMORE,KIRKSVILLE,MO,63501,6606653940,16339,71545,OPL,SOP ,ADAIR,2,00,"(40.1807794, -92.57212369999999)",12,32,509
QUIK-TRIP CORPORATION,QUIK-TRIP #218,7133,NW BARRY ROAD,KANSAS CITY,MO,641531719,8167416640,16668,73081,OPL,SOP ,PLATTE,1,00,"(39.2464767, -94.6631178)",35,132,2170
BENEVOLENT PROTECTIVE ORDER OF ELKS 690,LODGE 690,560,ST PETERS ROAD,ST CHARLES,MO,633037118,6364475515,16885,42219,RBD,SBD ,ST. CHARLES,3,00,"(38.74932, -90.6144872)",48,202,2177
QUICK'S SUPER MARKETS INC.,QUICK'S SUPER MARKETS,,HWY 100 WEST,NEW HAVEN,MO,63068,5732372521,17773,73851,OPL,SOP ,FRANKLIN,2,00,,,,
WEBSTER PIZZA INC.,IMO'S PIZZA,8115,BIG BEND,WEBSTER GROVES,MO,63119,3149623666,17973,19625,5BDW,5SBD,ST. LOUIS CO.,3,00,"(38.5920269, -90.3379832)",51,228,2210
VETERANS OF FOREIGN WARS,RALPH RUSSO POST 2482,1087,N SERVICE ROAD,ST CLAIR,MO,630770001,6366294880,17992,77771,RBDE,SBD ,FRANKLIN,2,00,,,,
GATES & SONS BARBEQUE OF MISSOURI INC.,GATES & SONS BAR-B-Q,10440,HWY 40 EAST,INDEPENDENCE,MO,640556034,8163535880,18094,5231,5BDW,5SBD,JACKSON,1,00,,,,
WALLIS OIL COMPANY INC.,WALLIS OIL COMPANY #60,,HWY I-44 & C,BOURBON,MO,65441,5738852277,18106,225159,OPL,OPT ,CRAWFORD,4,00,,,,
WALLIS OIL COMPANY INC.,WALLIS OIL COMPANY #60,,HWY I-44 & C,BOURBON,MO,65441,5738852277,18106,70870,OPL,SOP ,CRAWFORD,4,00,,,,
SYBERG'S AN EATING & DRINKING CO. INC.,SYBERG'S,7802,GRAVOIS,ST LOUIS,MO,63123,3148323560,18205,18208,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.5615204, -90.2980771)",51,238,2210
STROUD'S NORTH INC.,STROUD'S OAK RIDGE MANOR,5410,NE OAK RIDGE DRIVE,KANSAS CITY,MO,641192905,8164549600,18330,20181,RBD,SBD ,CLAY,1,00,"(39.1946956, -94.5128192)",36,133,2701
VETERANS OF FOREIGN WARS,BECKER-MEYER-BECKER POST 2593,2301,CHURCH RD.,ARNOLD,MO,630102109,6362962611,18412,19858,RBD,SBD ,JEFFERSON,3,00,"(38.4335198, -90.3805222)",62,255,1967
FRATERNAL ORDER OF EAGLES 3319,AERIE 3319,219,W TROTTER,SIKESTON,MO,638012857,5734716133,19266,19421,RBDE,SBD ,SCOTT,4,00,"(36.8747372, -89.59123249999999)",96,497,2213
AMERICAN LEGION 253,PEEBLES-VAUGHN-WIDEMAN POST 253,849,AMERICAN LEGION DR,FESTUS,MO,630282629,6369376867,19505,20564,RBD,SBD ,JEFFERSON,3,00,"(38.206095, -90.40014599999999)",62,285,1967
BENEVOLENT PROTECTIVE ORDER OF ELKS 1721,LODGE 1721,#4,ELKS DR,CRYSTAL CITY,MO,630199998,6369374711,19596,20557,RBD,SBD ,JEFFERSON,3,00,,,,
VETERANS OF FOREIGN WARS,POST 3777,900,VFW DR,FESTUS,MO,630283744,6369317977,19723,20885,RBD,SBD ,JEFFERSON,3,00,"(38.2023269, -90.38780919999999)",62,289,1967
AMERICAN LEGION 114,HENRY MELDRUM POST 114,333,S KINGSHIGHWAY,SIKESTON,MO,63801,5734719956,19727,19728,RBDE,SBD ,SCOTT,4,00,,,,
FRATERNAL ORDER OF EAGLES 1800,AERIE 1800 BIG TREE,31348,170TH ST,CANTON,MO,634353336,5732883240,19809,25002,RBDE,SBD ,LEWIS,2,00,,,,
FRATERNAL ORDER OF EAGLES 3669,AERIE 3669,,HWY 71 SOUTH,MARYVILLE,MO,64468,6607257032,19879,20858,RBDE,SBD ,NODAWAY,1,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2319,LODGE 2319,349,DONA STREET,SIKESTON,MO,638013408,5734713333,19906,19908,RBDE,SBD ,SCOTT,4,00,,,,
AMVETS 48,POST 48,1075,AMVET DRIVE,DESOTO,MO,63020,6365861750,19918,20795,RBD,SBD ,JEFFERSON,3,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2455,LODGE 2455,2808,HUNNING ROAD (OLD),HIGH RIDGE,MO,63049,6366773557,19922,20815,RBD,SBD ,JEFFERSON,3,00,,,,
GIANINO'S PIZZA DEN INC.,BILL GIANINO'S,4569,CHESTNUT PARK PLAZA,ST LOUIS,MO,63129,3148926326,19932,19934,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
VETERANS OF FOREIGN WARS,BIG RIVER POST #5331,#1,LYNN LANE,CEDAR HILL,MO,630162349,6362745001,19935,20884,RBD,SBD ,JEFFERSON,3,00,"(38.35705069999999, -90.64659929999999)",62,256,1967
AMVETS 42,POST 42 MCDOWELL MEMORIAL,690,JOACHIM AVENUE,HERCULANEUM,MO,63048,6364794040,19950,53736,RBD,SBD ,JEFFERSON,3,00,"(38.263571, -90.383698)",62,273,1967
BENEVOLENT PROTECTIVE ORDER OF ELKS 689,LODGE 689,1520,CLARKE STREET,DESOTO,MO,63020,6365869750,19960,20876,RBD,SBD ,JEFFERSON,3,00,,,,
FRATERNAL ORDER OF EAGLES 3678,AERIE 3678 MERAMEC,1725,JEFFCO BLVD,ARNOLD,MO,630107124,6362820208,19975,20985,RBD,SBD ,JEFFERSON,3,00,"(38.428507, -90.379774)",62,255,1967
BENEVOLENT PROTECTIVE ORDER OF ELKS 2503,LODGE 2503 CRESTWOOD,10261,BAUER ROAD,ST LOUIS,MO,631283214,3148423660,20069,20922,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.4973057, -90.39605189999999)",51,248,2210
BENEVOLENT PROTECTIVE ORDER OF ELKS 2615,LODGE 2615,9018,HWY 69 NE,CAMERON,MO,644299789,8166327987,20084,24776,RBDE,SBD ,CLINTON,1,00,,,,
FRATERNAL ORDER OF EAGLES 4010,AERIE 4010,2815,US HWY 65,LOUISBURG,MO,65685,4179935780,20085,25182,RBDE,SBD ,DALLAS,5,00,,,,
VETERANS OF FOREIGN WARS,POST 5366 JOHN BUTYENEK MEMORIAL,,HWY HH,ISABELLA,MO,65676,4172735008,20107,37997,RBDE,SBD ,OZARK,5,00,,,,
AMVETS 106,POST 106,360,BROWN STREET,ST PETERS,MO,633761040,6363971660,20214,21116,RBD,SBD ,ST. CHARLES,3,00,,,,
AYERS OIL COMPANY INC.,AYERCO #065,303,MANSION,LOUISIANA,MO,63353,5737546669,20269,72057,OPL,SOP ,PIKE,2,00,,,,
QUAD PAC INC.,HIDE-A-WAY BAR,113,SHOTWELL,RICHMOND,MO,640851553,8167765252,20286,0,RBD,    ,RAY,1,00,,,,
VETERANS OF FOREIGN WARS 1831,POST 1831 DESOTO,1651,VETERANS DRIVE,DESOTO,MO,63020,6365869271,20293,21128,RBD,SBD ,JEFFERSON,3,00,,,,
VETERANS OF FOREIGN WARS,POST 2210,,MEMORIAL DRIVE,STE GENEVIEVE,MO,636701039,5738832207,20361,21297,RBDE,SBD ,STE. GENEVIEVE,4,00,,,,
VETERANS OF FOREIGN WARS,POST 5077 HINKEL-KLEESCHULTE-WESTHOFF,8500,VETERANS MEMORIAL PARKWAY,O'FALLON,MO,633660126,6362721945,20458,21521,RBD,SBD ,ST. CHARLES,3,00,"(38.7999459, -90.69345539999999)",48,173,2177
WEST PARK BOWLING LANES INC.,WEST PARK BOWLING LANES,354,SILVER SPRINGS ROAD,CAPE GIRARDEAU,MO,63701,5733341047,20585,21831,RBD,SBD ,CAPE GIRARDEAU,4,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2635,LODGE 2635 AFFTON,6330,HEEGE,ST LOUIS,MO,631232652,3143536292,20598,21540,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.565208, -90.322428)",51,235,2210
VETERANS OF FOREIGN WARS,POST 2866,#66,VFW LANE,ST CHARLES,MO,633035168,6367249612,20730,20731,RBD,SBD ,ST. CHARLES,3,00,"(38.762878, -90.53772900000001)",48,202,2177
FRATERNAL ORDER OF EAGLES 3758,AERIE 3758,411,EAST BURRIS,JUNCTION CITY,MO,636457294,5737838861,20878,28344,RBDE,SBD ,MADISON,4,00,,,,
FRATERNAL ORDER OF EAGLES 3911,AERIE 3911 PINEY RIVER,,HWY 63,HOUSTON,MO,65483,4179672169,20888,31075,RBDE,SBD ,TEXAS,5,00,,,,
AMERICAN LEGION 150,BUCHHOLTZ-KIEFER POST 150,2,PARK DR,STE GENEVIEVE,MO,636701556,5738835635,21000,22063,RBDE,SBD ,STE. GENEVIEVE,4,00,,,,
KNIGHTS OF COLUMBUS,STE. GENEVIEVE COUNCIL 1037,600,MARKET,STE GENEVIEVE,MO,636700221,5738837549,21022,22036,RBDE,SBD ,STE. GENEVIEVE,4,00,,,,
VETERANS OF FOREIGN WARS,POST 2508,21464,PARALLEL ROAD,KIRKSVILLE,MO,635017194,6606656009,21086,0,RBDE,    ,ADAIR,2,00,,,,
KING & I RESTAURANT INC.,KING & I RESTAURANT,3157,S GRAND,ST LOUIS,MO,631181020,3147711777,21122,24827,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.6011529, -90.242783)",54,200,2223
DELEX CORPORATION,"PASTA HOUSE CO., THE",4517,GRAVOIS VILLAGE CENTER,HIGH RIDGE,MO,630491838,6366772711,21208,21209,RBD,SBD ,JEFFERSON,3,00,,,,
JEFFERSON CITY COUNTRY CLUB INC.,JEFFERSON CITY COUNTRY CLUB,516,S COUNTRY CLUB DR,JEFFERSON CITY,MO,651090345,5738934611,21333,22940,RBD,SBD ,COLE,2,00,"(38.5827843, -92.2593814)",58,465,2702
BENEVOLENT PROTECTIVE ORDER OF ELKS 2587,LODGE 2587,1163,TOM GINNEVER ROAD,O'FALLON,MO,633664472,6362407736,21396,22756,RBD,SBD ,ST. CHARLES,3,00,"(38.822739, -90.66793)",48,173,2177
CFM OF MID MISSOURI INC.,CONVENIENT FOOD MART NO. 14-002,3714,W TRUMAN BLVD,JEFFERSON CITY,MO,651090537,5738933278,21427,70736,OPL,SOP ,COLE,2,00,"(38.588182, -92.25587999999999)",58,465,2702
BENEVOLENT PROTECTIVE ORDER OF ELKS 2644,LODGE 2644 EUREKA-PACIFIC,19,W 1ST STREET,EUREKA,MO,63025,6369386720,21541,30071,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.503531, -90.628629)",51,219,2210
SWANS INVESTMENTS LTD.,HEARTLAND DISCOUNT PHARMACY,707,HWY 50 WEST,UNION,MO,630841941,6365832646,21563,0,OPL,    ,FRANKLIN,2,00,,,,
NIEMANN FOODS INC.,COUNTY MARKET #409,1805,ELM STREET,CANTON,MO,63435,5732885151,21688,140379,OPL,OPT ,LEWIS,2,00,,,,
NIEMANN FOODS INC.,COUNTY MARKET #409,1805,ELM STREET,CANTON,MO,63435,5732885151,21688,74067,OPL,SOP ,LEWIS,2,00,,,,
SALISBURY FOODS INC.,R & R APPLE MARKET,413,N. WEBER AVE,SALISBURY,MO,65281,6603886600,21689,74053,OPL,SOP ,CHARITON,2,00,,,,
VETERANS OF FOREIGN WARS POST 4219,LAKEVIEW CLUB OF ORCHARD FARM POST 4219,6030,HWY 94 NORTH,PORTAGE DES SIOUX,MO,633731602,6362198311,21791,21795,RBD,SBD ,ST. CHARLES,3,00,"(38.9093779, -90.4270669)",48,168,2177
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #129,8660,VETERANS MEMORIAL PARKWAY,O'FALLON,MO,63146,3149944730,21827,82951,OPL,OPT ,ST. CHARLES,3,00,"(38.7992188, -90.6984488)",48,173,2177
SCHNUCK MARKETS INC.,SCHNUCK MARKETS #129,8660,VETERANS MEMORIAL PARKWAY,O'FALLON,MO,63146,3149944730,21827,70933,OPL,SOP ,ST. CHARLES,3,00,"(38.7992188, -90.6984488)",48,173,2177
BENEVOLENT PROTECTIVE ORDER OF ELKS 2597,LODGE 2597 LAKE TANEYCOMO,12951,HWY 160 WEST,FORSYTH,MO,65653,4175462597,22286,273692,RBDE,SBD ,TANEY,5,00,,,,
VETERANS OF FOREIGN WARS 5789,POST 5789,329,SE DOUGLAS STREET,LEE'S SUMMIT,MO,640632709,8165248498,22305,26218,RBD,SBD ,JACKSON,1,00,"(38.9116772, -94.37522729999999)",43,165,525
AYERS OIL COMPANY INC.,AYERCO 028,401,N 4TH STREET,CANTON,MO,63435,5732883062,22344,72062,OPL,SOP ,LEWIS,2,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2678,ELKS LODGE 2678,8430,S INDUSTRIAL DRIVE,CEDAR HILL,MO,630162261,6362853074,22371,163299,RBD,SBD ,JEFFERSON,3,00,,,,
AMERICAN LEGION 21,TIREY J. FORD POST 21,16701,HWY 40 EAST,INDEPENDENCE,MO,640555328,8163730221,22649,101040,RBD,SBD ,JACKSON,1,00,"(39.0336441, -94.3836134)",43,463,525
SCRIVENER OIL COMPANY INC.,SIGNAL FOOD STORE,,HWY 5 & 60 BUSINESS,MANSFIELD,MO,65704,4179244061,22746,72992,OPL,SOP ,WRIGHT,5,00,,,,
SCRIVENER OIL COMPANY INC.,SIGNAL FOOD STORE,,HWY 5 & 60 BUSINESS,MANSFIELD,MO,65704,4179244061,22746,213273,OPL,OPT ,WRIGHT,5,00,,,,
AGM DEVELOPMENT INC.,GAS N STUFF,2599,HWY 141 SOUTH,FENTON,MO,630266166,6363431649,22893,71327,OPL,SOP ,JEFFERSON,3,00,,,,
"HOSTETLER, JILL B. & ORA W.",BATES GROCERY,,HWY 54 & 73 JUNCTION,MACKS CREEK,MO,65786,5733635707,22904,70835,OPL,SOP ,CAMDEN,2,00,,,,
"HOSTETLER, JILL B. & ORA W.",BATES GROCERY,,HWY 54 & 73 JUNCTION,MACKS CREEK,MO,65786,5733635707,22904,70835,OPL,SOP ,CAMDEN,2,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 1765,LODGE 1765,1009,KREI BLVD,FARMINGTON,MO,63640,5737601955,22925,22927,RBDE,SBD ,ST. FRANCOIS,4,00,,,,
VISTA GRANDE INC.,VISTA GRANDE,4579,OSAGE BEACH PARKWAY,OSAGE BEACH,MO,650652173,5733481231,22942,24999,RBD,SBD ,CAMDEN,2,00,"(38.1462009, -92.6285676)",68,292,2694
TRAIN WRECK SALOON INC.,HANSFORD'S TRAIN WRECK SALOON,9243,MANCHESTER ROAD,ROCK HILL,MO,631442365,3149628148,22986,35357,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.611675, -90.358237)",51,228,2210
W.H. KOCH CO. INC.,PIGGLY WIGGLY,401,S LOCUST,SWEET SPRINGS,MO,65351,6603354131,23265,71612,OPL,SOP ,SALINE,2,00,,,,
"HARGIS, MARJORIE L.",HARGIS PACKAGE STORE,907,E 12TH STREET,LAMAR,MO,647592139,9999999999,23279,0,OPL,    ,BARTON,5,00,,,,
AMVETS 98,POST 98,,HWY 160 SOUTH (OLD),WEST PLAINS,MO,65775,4172566986,23685,23687,RBDE,SBD ,HOWELL,5,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2088,LODGE 2088,13600,ARRINGTON ROAD,GRANDVIEW,MO,640302802,8167618990,23743,25494,RBD,SBD ,JACKSON,1,00,"(38.878837, -94.553669)",43,178,525
SCRIVENER OIL COMPANY INC.,SIGNAL FOOD STORE,402A,W MOUNT VERNON,NIXA,MO,65714,4177250640,24135,281615,OPL,OPT ,CHRISTIAN,5,00,,,,
SCRIVENER OIL COMPANY INC.,SIGNAL FOOD STORE,402A,W MOUNT VERNON,NIXA,MO,65714,4177250640,24135,72991,OPL,SOP ,CHRISTIAN,5,00,,,,
HENDRIS PARTY HOUSE OF ST. LOUIS INC.,HENDRIS PARTY HOUSE,4501,RIDGEWOOD AVENUE,ST LOUIS,MO,631161531,3147524084,24238,26196,RBD,SBD ,ST. LOUIS CITY,3,00,"(38.5879181, -90.2715053)",54,200,2223
WEST PLAINS COUNTRY CLUB INC.,WEST PLAINS COUNTRY CLUB,,HWY 63,WEST PLAINS,MO,65775,4172567197,24367,50614,RBDR,SBD ,HOWELL,5,00,,,,
VETERANS OF FOREIGN WARS,THIEMAN TIDD MEMORIAL POST 5651,555,FORISTELL,WENTZVILLE,MO,633850036,6368285951,24550,24727,RBD,SBD ,ST. CHARLES,3,00,"(38.730026, -90.89437300000002)",48,202,2177
BENEVOLENT PROTECTIVE ORDER OF ELKS 2652,LODGE 2652,542,W INDEPENDENCE,JACKSON,MO,637551200,5732431259,24626,24627,RBDE,SBD ,CAPE GIRARDEAU,4,00,"(37.394838, -89.67178299999999)",86,352,2695
"BARTLE, CHRISTINA L.",DO-DROP-IN CONVENIENCE STORE,1358,S. BISHOP,ROLLA,MO,65401,5733647421,24680,71975,OPL,SOP ,PHELPS,5,00,,,,
"BARTLE, CHRISTINA L.",DO-DROP-IN CONVENIENCE STORE,1358,S. BISHOP,ROLLA,MO,65401,5733647421,24680,275674,OPL,OPT ,PHELPS,5,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2218,LODGE 2218,,N MISSOURI STREET,POTOSI,MO,636641799,5734389020,24938,24939,RBDE,SBD ,WASHINGTON,4,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 1034,LODGE 1034,115,W. FRANKLIN ST.,CLINTON,MO,647352007,6608853481,25217,25218,RBDE,SBD ,HENRY,5,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 1034,LODGE 1034,115,W. FRANKLIN ST.,CLINTON,MO,647352007,6608853481,25217,285967,RBDE,RBDC,HENRY,5,00,,,,
FRATERNAL ORDER OF EAGLES 3715,AERIE 3715,,S BY-PASS & JONES STREET,KENNETT,MO,638573866,5738889418,25244,25245,RBDE,SBD ,DUNKLIN,4,00,,,,
NASH GAS & APPLIANCE COMPANY INC.,NASH GAS & APPLIANCE CO.,1,FRANK ST.,EDGERTON,MO,64444,8162273710,25448,73593,OPL,SOP ,PLATTE,1,00,,,,
GANNON PARKER & WOOTEN COMPANY INC.,"DRY DOCK, THE",780,LEMAY FERRY ROAD,ST LOUIS,MO,631251430,3146315811,25500,138544,RBD,SBD ,ST. LOUIS CO.,3,00,"(38.5375995, -90.28264709999999)",51,244,2210
VETERANS OF FOREIGN WARS,M. WALDO HATLER POST #4142,1412,WALDO HATLER MEMORIAL DRIVE,NEOSHO,MO,648502034,4174519700,25694,0,RBDE,    ,NEWTON,5,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2545,LODGE 2545 ALTON-THAYER,,POLK STREET,THAYER,MO,65791,4172647070,25739,280553,RBDE,SBD ,OREGON,4,00,,,,
F & E PACKAGE LIQUOR INC.,F & E PACKAGE LIQUOR,4332,NATURAL BRIDGE,ST LOUIS,MO,63115,3145310300,25852,74617,OPL,SOP ,ST. LOUIS CITY,3,00,,,,
VETERANS OF FOREIGN WARS 2590,POST 2590 CHARLES S. EDWARDS,16759,INCA ROAD,CARTHAGE,MO,64836,4173581657,26043,53098,RBDE,SBD ,JASPER,5,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2330,LODGE 2330 ARCADIA VALLEY,204,S MCCURE STREET,PILOT KNOB,MO,63663,5735469913,26064,26065,RBDE,SBD ,IRON,4,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2674,LODGE 2674,19603,MOLASSES HOLLOW RD.,STE. GENEVIEVE,MO,636708082,5738837257,26070,26071,RBDE,SBD ,STE. GENEVIEVE,4,00,,,,
LAKE FOREST GOLF & COUNTRY CLUB INC.,LAKE FOREST GOLF & COUNTRY CLUB,300,YARD DRIVE,LAKE ST LOUIS,MO,633672434,6365616682,26085,28492,RBD,SBD ,ST. CHARLES,3,00,"(38.7842317, -90.7525571)",48,184,2177
BENEVOLENT PROTECTIVE ORDER OF ELKS 2418,LODGE 2418,,HWY 63,WEST PLAINS,MO,65775,4172567955,26174,26175,RBDE,SBD ,HOWELL,5,00,,,,
AMERICAN LEGION 153,POST 153,2320,KANELL BLVD,POPLAR BLUFF,MO,639014036,5737855051,26219,26220,RBDE,SBD ,BUTLER,4,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 801,LODGE 801,1012,TINSMAN,TRENTON,MO,646831841,6603593913,26413,46743,RBDE,SBD ,GRUNDY,1,00,,,,
FRATERNAL ORDER OF EAGLES 3730,AERIE 3730,1400,S BROADWAY,POPLAR BLUFF,MO,639016338,5737859675,26414,26415,RBDE,SBD ,BUTLER,4,00,,,,
ST. CHARLES BORROMEO CATHOLIC CHURCH,,534,N 5TH STREET,ST CHARLES,MO,63301,6369466370,26432,0,5BDW,    ,ST. CHARLES,3,00,,,,
RIVERSIDE COUNTRY CLUB,,9 1/2,TOWN & COUNTRY LANE,TRENTON,MO,646830004,6603596004,26461,270249,RBDE,SBD ,GRUNDY,1,00,,,,
ENGINEERS CLUB OF ST. LOUIS,ENGINEERS CLUB OF ST. LOUIS,4359,LINDELL BLVD,ST LOUIS,MO,631082701,3145339333,26479,0,RBD,    ,ST. LOUIS CITY,3,00,"(38.641774, -90.25245699999999)",54,200,2223
KNIGHTS OF COLUMBUS,BISHOP TIMON COUNCIL 6405,,HWY 61 NORTH,JACKSON,MO,63755,5732435464,26892,26893,RBDE,SBD ,CAPE GIRARDEAU,4,00,,,,
AMERICAN LEGION 43,AMERICAN LEGION KAFFENBERGER WILLIAMS,2538,EVERGREEN PARKWAY,LEBANON,MO,65536,4175882298,26919,213065,RBDE,SBD ,LACLEDE,5,00,,,,
MFA PETROLEUM COMPANY,BREAK TIME #3042,163,W. SIMON BLVD.,HOLTS SUMMIT,MO,650431038,5734420171,26972,71517,OPL,SOP ,CALLAWAY,2,00,,,,
BENEVOLENT PROTECTIVE ORDER OF ELKS 2058,LODGE 2058 MANCHESTER,2242,MASON LANE,ST LOUIS,MO,630217801,3148219453,27029,27075,RBD,SBD ,ST. LOUIS CO.,3,00,,,,
"XUFURIS, OLGA","PALACE, THE",225,MAIN STREET,BOONVILLE,MO,65233,6608825866,27058,27059,RBD,SBD ,COOPER,2,00,,,,
AMERICAN LEGION 69,GOAD BALLINGER POST 69,149,MEMORIAL PLAZA,SPRINGFIELD,MO,658062405,4178626641,27189,27190,RBDE,SBD ,GREENE,5,00,,,,
