"applicant","award_fiscal_year","project_number","category","eligible_mitigation_action","old_vehicle_type","new_vehicle_type","new_fuel_type","est_lifetime_nox_reduction","funding_requested","actual_funding_awarded","maximum_vw_cost_share","vehicle_cost","address","city","zip","county","state","point"
"Nam Ho Development LLC","2021","EV03-NAMH-CAM01","Category 8: EV Infrastructure",,"EV charging station",,"all-electric",,"188903.00",,,,"1514 Bob Griffin Rd","Cameron","64429","DeKalb","MO","POINT (-94.241686 39.73987)"
"FedEx Freight Corporation","2020","NG27-FEDE-14/35-7954","Category 4: Nongovernment Trucks","6. Class 4-7 Local Frieght","refuse hauler",,"diesel","1.826","26875.00","25318.97","0.25","101275.86","4082 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Everton R-III School District","2019","SB20-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.748","22000.00","19590.00","0.25","78360.00","509 East School Street","Everton","65646","Dade","MO","POINT (-93.702608 37.33922)"
"R+L Carriers, Inc","2020","NG18-R+LC-27/33-8682","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"CNG","3.069","26303.63","26259.50","0.25","105038.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Richland R-I School District","2020","SB01-RICH-9638","Category 1: school Bus","EMA 3","School Bus","School Bus","Diesel","1.207","36000.00","36000.00","0.4","105472.00","24456 State Hwy 14","Essex","63846","Stoddard","MO","POINT (-89.812657 36.819725)"
"Department of Corrections","2020","DOC-8279-F0012M","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","0.02","150000.00","101451.28","1","101453.26","2732 Plaza Drive","Jefferson City","65102","Cole","MO","POINT (-92.187689 38.577896)"
"Metropolitan St Louis Sewer District","2020","GT11-METR-6917","Category 2: Government Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","0.966",,"43152.00",,"113100.00","2350 Market St","St. Louis","63103","Saint Louis City","MO","POINT (-90.215039 38.630287)"
"Republic Services INC","2020","NG20-REPU-24/30-0455","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","1.52","22861.50","22861.50","0.25","157456.00","7177 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Iron County Commission","2020","GT08-IRON-0497","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","0.756",,"40200.00",,"137400.00","250 S Main Stret PO Box 42","Ironton","63650","Iron","MO","POINT (-90.645997 37.607301)"
"Republic Services INC","2020","NG20-REPU-3/30-2464","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","2.275","30726.75","30726.75","0.25","176448.39","7179 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Dunklin R-V School District","2019","SB16-B2","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","1.011","22000.00","22000.00","0.25","99120.00","497 Joachim","Herculaneum","63048","Jefferson","MO","POINT (-90.393505 38.257997)"
"Hiland Dairy Foods LLC","2020","NG10-HILA-1/43-6313","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","5.99","18750.00","18750.00","0.25","89854.00","1137 E Kearny Street","Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"Metropolitan St. Louis Sewer District","2019","R-GT4-STLO-T6","Category 2: Government Trucks",,,,"diesel","1.764","64000.00","48000.00","0.5","398538.00","2350 Market Street","St. Louis","63103","Saint Louis City","MO","POINT (-90.215039 38.630287)"
"County of Audrain","2019","GT45-AUDR-T2","Category 2 - Large (Class 8)","EMA 1","2004 Dump Truck","Short Haul Combination","Diesel","4.048","62500.00","62500.00",,"125994.60","101 North Jefferson Street","Mexico","65265","Audrain","MO","POINT (-91.881761 39.186525)"
"Thornfield R-1","2019","SB80-B1","State Clean Diesel","EMA 2","School Bus","School Bus","Diesel","0.684","22000.00","18872.50","0.25","75490.00","37 CR 855","Thornfield","65762","Ozark","MO","POINT (-92.65836 36.711128)"
"Gasconade Co. Rd. Dept.","2020","GT01-GASC-8016","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","0.776",,"45000.00",,"121783.00","2685 Hwy 19","Owensville","65066","Gasconade","MO","POINT (-91.488156 38.343261)"
"Steelville R-3","2019","SB78-B3","Category 1: School Buses","EMA 2","School Bus","School Bus","Diesel","0.623","22000.00","15125.00","0.25","60500.00","17154 MO-19","Steelville","65565","Crawford","MO","POINT (-91.287463 37.936919)"
"Republic Services INC","2020","NG20-REPU-23/30-2596","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","1.793","26947.50","26947.50","0.25","158416.00","7176 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Springfield R-XII","2020","SB19-SPRI-7338","Category 1: school Bus","EMA 24","School Bus","School Bus","Diesel","0.83","36000.00","36000.00","0.4","108856.00","2945 E Pythian Street","Springfield","65802","Greene","MO","POINT (-93.331172 37.210611)"
"Republic Services INC","2020","NG20-REPU-17/30-0836","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","LONG HAUL COMBINATION",,"diesel","2.128","31816.50","31816.50","0.25","243696.00","7155 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"SuperSonic Transportation, LLC","2021","EV11-SUPE-COL01","Category 8: EV Infrastructure",,"EV charging station",,"all-electric",,"331572.80",,,,"5100 Forum Blvd","Columbia","65203","Boone","MO","POINT (-92.380274 38.917169)"
"Grandview R-II School District","2019","SB30-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.623","22000.00","22000.00","0.25","99875.00","1147 Highway C","Hillsboro","63050","Jefferson","MO","POINT (-90.572632 38.261258)"
"Department of Corrections","2019","DOC-3","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Combination",,"diesel","3.03","106448.83","106448.83",,"106448.83","2729 Plaza Drive","Jefferson City","65102","Cole","MO","POINT (-92.187689 38.577896)"
"Perry County Commission","2020","GT09-PERR-7581","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","3.456",,"52942.50",,"105885.00","321 N Main St. Suite 2","Perryville","63775","Perry","MO","POINT (-89.878763 37.713828)"
"Schreiter Ready Mix & Materials inc","2020","NG21-SCHR-1/3-2007","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","1.722","42996.00","42996.00","0.25","172417.32","200 S Cool Springs Rd","O Fallon","63366","Saint Charles","MO","POINT (-90.721026 38.825475)"
"Republic Services Inc","2020","NG07-REPU-7508","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Refuse Hauler",,"diesel","3.204","30726.75","0.00","0.25",,"7205 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"FedEx Freight Corporation","2020","NG27-FEDE-5/35-3319","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","1.95","26875.00","25318.97","0.25","101275.86","4106 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Bloomfield R-14","2020","SB46-BLOO-9637","Category 1: school Bus","EMA 63","School Bus","School Bus","Diesel","1.12","54000.00","54000.00","0.6","97498.50","505 Court Street","Bloomfield","63825","Stoddard","MO","POINT (-89.941132 36.921406)"
"East Newton R6 School District","2019","SB18-B3","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.714","22000.00","21840.00","0.25","87360.00","22808 East Highway 86","Granby","64844","Newton","MO","POINT (-94.243064 36.914095)"
"Waynesville, City of","2020","GT12-WAYN-3568","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","1.592",,"61520.00",,"134900.00","100 tremont center","Waynesville","65583","Pulaski","MO","POINT (-92.244404 37.813029)"
"City of Columbia Utilities Department","2019","R-GT7-COMU-T4","Category 2: Government Trucks",,,,"diesel","0.528","26000.00","50000.00","0.5","138600.00",,"Greenville","63944","Wayne","MO","POINT (-90.395596 37.141649)"
"Ozark R-VI School District","2019","SB65-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.279","22000.00","22000.00","0.25","90128.00","1828 S. 15th Street","Ozark","65721","Christian","MO","POINT (-93.213945 36.999652)"
"Rolla 31 School District","2019","SB70-B3","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.762","22000.00","22000.00","0.25","89609.00","500A Forum Drive","Rolla","65401","Phelps","MO","POINT (-91.760047 37.916461)"
"Estes Express Lines","2020","NG03-ESTE-2/5-0713","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","3.08","25249.00","22082.01","0.25","88328.02","205 Soccer Park Road","Fenton","63026","Saint Louis County","MO","POINT (-90.463646 38.504609)"
"City of Columbia","2020","GT23-COLU-0373","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","0.429",,"20000.00",,"189559.35",,"Columbia","65205","Boone","MO","POINT (-92.328594 38.951551)"
"East Carter County R-II School District","2019","SB17-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.042","22000.00","22000.00","0.25","98744.00","24 South Herren Ave.","Ellsinore","63937","Carter","MO","POINT (-90.756558 36.957051)"
"Mexico 59 School District","2019","SB55-B2","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.273","22000.00","22000.00","0.25","94069.00","2101 Lakeview","Mexico","65265","Audrain","MO","POINT (-91.881761 39.186525)"
"Hiland Dairy Foods LLC","2020","NG10-HILA-19/43-2326","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","3.79","22500.00","22500.00","0.25","120132.00","1135 E Kearny Street","Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"Department of Corrections","2021","DOC-6689-0809M","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","0.168","145392.93","145392.93","1","145392.93","2730 Plaza Drive","Jefferson City","65102","Cole","MO","POINT (-92.187689 38.577896)"
"Hiland Dairy Foods LLC","2020","NG10-HILA-9/43-9560","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","5.235","25000.00","25000.00","0.25","120132.00","1135 E Kearny Street","Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"Joplin School District R-VIII","2020","SB26-JOPL-6669","Category 1: school Bus","EMA 36","School Bus","School Bus","Diesel","1.178","36000.00","36000.00","0.4","92573.00","825 S. Pearl Ave","Joplin","64801","Jasper","MO","POINT (-94.496695 37.101405)"
"North Harrison R-III School District","2020","SB07-NORT-9926","Category 1: school Bus","EMA 10","School Bus","School Bus","Diesel","0.712","36000.00","36000.00","0.4","94507.00","12023 Fir St","Eagleville","64442","Harrison","MO","POINT (-93.995612 40.500319)"
"Grain Valley Schools","2019","SB29-B5","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.456","22000.00","21275.00","0.25","85100.00","31606 E. Pink Hill Rd. Box 304","Grain Valley","64029","Jackson","MO","POINT (-94.214042 39.009318)"
"Salisbury R-IV School District","2019","SB71-B3","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.094","22000.00","21552.75","0.25","86211.00","1000 South Maple Avenue","Salisbury","65281","Chariton","MO","POINT (-92.797228 39.487371)"
"Logan Rogersville R-VIII School District","2020","SB48-LOGA-2343","Category 1: school Bus","EMA 65","School Bus","School Bus","Diesel","0.744","36000.00","36000.00","0.4","98512.37","100 E Front Street","Rogersville","65742","Webster","MO","POINT (-93.084819 37.124148)"
"Sullivan C-2","2019","SB79-B3","Category 7: DERA Option","10. Diesel Emissions Reduction Act Option:","School Bus","School Bus","Diesel",,"22000.00","21110.00","0.25","84440.00","138 Taylor Street","Sullivan","63080","Franklin","MO","POINT (-91.146205 38.237839)"
"Puxico R-VIII Schools","2020","SB13-PUXI-3581","Category 1: school Bus","EMA 16","School Bus","School Bus","Diesel","1.062","36000.00","36000.00","0.4","104580.00","481 N. Bedford St","Puxico","63960","Stoddard","MO","POINT (-90.128614 36.948729)"
"Waste Management of Missouri, INC","2020","NG25-WAST-6/12-8156","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"CNG","1.394","30000.00","30000.00","0.25","345115.20","7320 Hall Street","St. Louis","63147","Saint Louis City","MO","POINT (-90.221068 38.695471)"
"St Louis, City of","2020","GT21-STLO-7236","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","0.63",,"22006.84",,"81241.00","1122 Clark Ave","St. Louis","63102","Saint Louis City","MO","POINT (-90.188556 38.631639)"
"Lewis County C-1","2020","SB30-LEWI-7517","Category 1: school Bus","EMA 42","School Bus","School Bus","Propane","0.79","37500.00","23407.50","0.25","93630.00","21504 State Highway 6","Lewistown","63452","Lewis","MO","POINT (-91.811108 40.092565)"
"R+L Carriers, Inc","2020","NG18-R+LC-12/33-9098","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","9.989","26303.63","26259.50","0.25","105038.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"R+L Carriers, Inc","2020","NG18-R+LC-32/33-1579","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","3.83","26303.63","26259.50","0.25","105038.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Schreiter Ready Mix & Materials inc","2020","NG21-SCHR-3/3-5432","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","5.071","27965.00","27965.00","0.25","117197.38","202 S Cool Springs Rd","O Fallon","63368","Saint Charles","MO","POINT (-90.72706 38.752081)"
"R+L Carriers, Inc","2020","NG18-R+LC-8/33-8474","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","3.72","26303.63","26259.50","0.25","105038.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"FedEx Freight Corporation","2020","NG27-FEDE-13/35-4081","Category 4: Nongovernment Trucks","6. Class 4-7 Local Frieght","refuse hauler",,"diesel","1.53","23572.61","23572.61","0.25","101275.86","4081 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Central R-III School District","2020","SB29-CENT-5544","Category 1: school Bus","EMA 40","School Bus","School Bus","Diesel","1.207","36000.00","36000.00","0.4","101972.00","200 High Street","Park Hills","63601","Saint Francois","MO","POINT (-90.53626 37.836828)"
"Chadwick R-I School District","2019","SB09-B1","Category 1: FDD","EMA 2","School Bus","School Bus","diesel","0.174","100000.00","99739.00","1","99739.00","7090 St. Hwy 1245 S.","Chadwick","65629","Christian","MO","POINT (-93.019411 36.900071)"
"FedEx Freight Corporation","2020","NG27-FEDE-32/35-3857","Category 4: Nongovernment Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","0.76","12148.92","12148.92","0.25","101275.86","4102 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Joplin School District","2019","SB39-B1","Category 7: DERA Option","10. Diesel Emissions Reduction Act Option:","School Bus","School Bus","diesel",,"22000.00","21777.25","0.25","87109.00","1432 S. Picher Avenue","Joplin","64804","Jasper","MO","POINT (-94.510569 37.031806)"
"City Of Monett","2019","R-GT2-MONE-T1","Category 2: Government Trucks",,,,"diesel","0.248","11000.00","40000.00","0.5","113100.00","100 S. Jefferson","St. James","65559","Phelps","MO","POINT (-91.609245 38.007914)"
"FedEx Freight Corporation","2020","NG27-FEDE-23/35-1989","Category 4: Nongovernment Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","1.408","20262.24","20262.24","0.25","101275.86","4092 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"L Davis Transports LLC","2020","NG12-LDAV-1/6-9622","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","15.932","40000.00","20000.00","0.25","80000.00","PO Box 419","Saint James","65559","Phelps","MO","POINT (-91.609245 38.007914)"
"City Utilities of Springfield","2020","TS02-SPRG-1-1286","Category 3: Transit and Shuttle Buses","2. Class 4-8 School Bus, Shuttle Bus, or Transit Bus","Bus","Bus","all-electric","6.181",,,"0.5",,"1506 N Boonville Ave","Springfield","65804","Greene","MO","POINT (-93.252959 37.15592)"
"West St. Francois County R-IV","2019","SB81-B2","Category 1: School Buses","EMA 2","School Bus","School Bus","Diesel","0.342","22000.00","22000.00","0.25","95935.00","1124 Main Street","Leadwood","63653","St. Francois","MO","POINT (-90.59005 37.86342)"
"First Student, Inc.","2019","SB23-B1","State Clean Diesel","Other","School Bus","School Bus","diesel","1.336","22000.00","20474.45","0.25","81897.80","807 Chambers Rd","St. Louis","63137","St. Louis","MO","POINT (-90.217202 38.750368)"
"Leesville R-IX School","2019","SB45-B1","Category 1: FDD","EMA 2","School Bus","School Bus","diesel","0.36","100000.00","99006.00","1","99006.00","823 SE Hwy 7","Clinton","64735","Henry","MO","POINT (-93.768427 38.362828)"
"Bowling Green R-I School District","2020","SB14-BOWL-9741","Category 1: school Bus","EMA 18","School Bus","School Bus","Diesel","1.033","36000.00","35370.00","0.4","88425.00","700 West Adams","Bowling Green","63334","Pike","MO","POINT (-91.188487 39.311159)"
"Republic Services Inc","2020","NG07-REPU-2986","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Refuse Hauler",,"diesel","2.142","25000.00","0.00","0.25",,"7192 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"FedEx Freight Corporation","2020","NG27-FEDE-33/35-3436","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","0.8","12409.13","12409.13","0.25","101275.86","4103 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Ozarks Coca Cola/Dr Pepper Bottling Company","2020","NG03-OZAR-3897","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Combination",,"diesel","3.738","32387.50","30815.25","0.25",,"1777 N Packer Rd","Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"Waste Management of Missouri, INC","2020","NG25-WAST-7/12-8484","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"CNG","2.582","42000.00","42000.00","0.25","345115.20","7320 Hall Street","St. Louis","63147","Saint Louis City","MO","POINT (-90.221068 38.695471)"
"FedEx Freight Corporation","2020","NG27-FEDE-8/35-7932","Category 4: Nongovernment Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","2.002","26875.00","25318.97","0.25","101275.86","4109 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"R+L Carriers, Inc","2020","NG18-R+LC-30/33-4285","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","8.8","26303.63","26259.50","0.25","105038.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Gasconade C-4","2019","SB26-B1","Category 1: FDD","EMA 2","School Bus","School Bus","diesel","0.701","100000.00","93646.00","1","93646.00","32959 Highway 32","Falcon","65470","Laclede","MO","POINT (-92.388677 37.55481)"
"R+L Carriers, Inc","2020","NG18-R+LC-2/33-2149","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"CNG","5.17","26303.63","25251.75","0.25","101007.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Butler County","2019","R-GT8-BUTL-T1","Category 2: Government Trucks",,,,"diesel","1.55","70000.00","65297.50","0.5","130595.00","100 N Main Street","Poplar Bluff","63901","Butler","MO","POINT (-90.437071 36.769948)"
"City of Fulton","2019","GT09-FULT-T3","Category 2 - Large (Class 8)","EMA 1","1996 Roll-off Truck","Short Haul Single Unit","Diesel","1.578","78450.00","74450.00",,"249619.00","18 East 4th Street","Fulton","65251","Callaway","MO","POINT (-91.973506 38.853923)"
"L Davis Transports, LLC","2020","NG09-LDAV-3538","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Long Haul Combination",,"diesel","7.725","40000.00","37955.50","0.25",,"PO BOX 419","St. James","65559","Phelps","MO","POINT (-91.609245 38.007914)"
"Laredo R-VII School District","2019","SB43-B1","Category 1: FDD","EMA 2","School Bus","School Bus","diesel","0.087","100000.00","99851.00","1","99851.00","106 W Main St","Laredo","64652","Grundy","MO","POINT (-93.431333 40.018797)"
"City of University City","2020","GT25-UNIC-4902","Category 2: Government Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","0.531","23728.25","0","0.5",,"1015 Pennsylvania Avenue","University City","63130",,"MO","POINT (-90.324236 38.664363)"
"Dexter R-XI Schools","2019","SB14-B2","State Clean Diesel","Other","School Bus","School Bus","diesel","0.055","22000.00","22000.00","0.25","93965.00","1031 Brown Pilot Ln","Dexter","63841","Stoddard","MO","POINT (-89.974364 36.780439)"
"L Davis Transports LLC","2020","NG12-LDAV-6/6-5719","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","11.336","40000.00","20000.00","0.25","80000.00","PO Box 419","Saint James","65559","Phelps","MO","POINT (-91.609245 38.007914)"
"Grain Valley Schools","2019","SB29-B6","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.464","22000.00","21275.00","0.25","85100.00","31606 E. Pink Hill Rd. Box 304","Grain Valley","64029","Jackson","MO","POINT (-94.214042 39.009318)"
"Sullivan School District","2020","SB34-SULL-4344","Category 1: school Bus","EMA 52","School Bus","School Bus","Diesel","1.294","22500.00","22500.00","0.25","95977.00","138 Taylor St.","Sullivan","63080","Franklin","MO","POINT (-91.146205 38.237839)"
"Jefferson C-123 School District","2020","SB10-JEFF-2202","Category 1: school Bus","EMA 12","School Bus","School Bus","Diesel","0.946","54000.00","52792.80","0.6","87988.00","37614 US Hwy 136","Conception Junction","64434","Nodaway","MO","POINT (-94.725622 40.267634)"
"Canton Marine Towing Company","2020","LM02-CANT-ETTE","Category 5: Locomotive and Marine","4. Ferries and Tugs","Ferry or Tug",,"diesel","158.85","226306.00","226306.00","0.4","1243213.42","204 Charlann Schwan Parkway","Canton","63435","Lewis","MO","POINT (-91.606919 40.175197)"
"R+L Carriers, Inc","2020","NG18-R+LC-13/33-9120","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","2.786","26303.63","26259.50","0.25","105038.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Clarkton C-4 School District","2019","SB11-B1","Category 1: FDD","EMA 2","School Bus","School Bus","diesel","0.067","100000.00","100000.00","1","106228.00","204 E State Highway 162","Clarkton","63837","Dunklin","MO","POINT (-89.986555 36.442015)"
"Paris R-II","2020","SB35-PARI-0158","Category 1: school Bus","EMA 53","School Bus","School Bus","Diesel","0.782","36000.00","33024.80","0.4","82562.00","740 Cleveland Street","Paris","65275","Monroe","MO","POINT (-92.019113 39.516043)"
"Bloomfield R-14","2020","SB46-BLOO-3366","Category 1: school Bus","EMA 62","School Bus","School Bus","Diesel","1.178","54000.00","54000.00","0.6","97498.50","505 Court Street","Bloomfield","63825","Stoddard","MO","POINT (-89.941132 36.921406)"
"Republic Services Inc","2020","NG07-REPU-3046","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Refuse Hauler",,"diesel","2.981","30726.75","0.00","0.25",,"7193 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Ozarks Coca Cola/Dr. Pepper Bottling Company","2020","NG17-OZAR-8/10-8766","Category 4: Nongovernment Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","2.807","14975.00","14975.00","0.25","78673.00","1777 N. Packer Rd.","Springfield","65604","Greene","MO","POINT (-93.582453 37.305448)"
"City of St. Louis","2019","R-GT2-STLC-T4","Category 2: Government Trucks",,,,"diesel","1.494","43010.00","43010.00","0.5","138944.00","1900 Hampton Ave","St. Louis","63139","Saint Louis City","MO","POINT (-90.292627 38.610541)"
"Webb City R-VII","2020","SB32-WEBB-6977","Category 1: school Bus","EMA 48","School Bus","School Bus","Diesel","0.712","36000.00","36000.00","0.4","99575.00","411 North Madison Street","Webb City","64870","Jasper","MO","POINT (-94.473676 37.163925)"
"Lomax Trucking Service INC","2020","NG13-LOMA-1/3-6659","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","long haul combination",,"diesel","7.488","159843.00","39993.00","0.25","159972.00","3825 hwy MM","Hannibal","63401","Marion","MO","POINT (-91.420452 39.702916)"
"FedEx Freight Corporation","2020","NG27-FEDE-1/35-3295","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","2.88","26875.00","0.00","0.25",,"4077 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Rich Hill R-IV School District","2019","SB69-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0","22000.00","22000.00","0.25","883310.00","8240 NW County Rd. 6002","Rich Hill","64722","Bates","MO","POINT (-94.566578 38.263559)"
"City of St. Louis","2019","R-GT2-STLC-T2","Category 2: Government Trucks",,,,"diesel","1.176","43010.00","42010.00","0.5","138944.00","1900 Hampton Ave","St. Louis","63139","Saint Louis City","MO","POINT (-90.292627 38.610541)"
"Republic Services INC","2020","NG20-REPU-15/30-4580","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","0.432","6412.50","6412.50","0.25","153889.70","7173 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Metropolitan St. Louis Sewer Department","2020","GT17-MSWR-7956","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","1.222","48350.00","0.00","0.5",,"10 E Grand Ave","St. Louis","63147","Saint Louis City","MO","POINT (-90.221068 38.695471)"
"Hiland Dairy Foods LLC","2020","NG10-HILA-16/43-2864","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Combination",,"diesel","3.52","22500.00","22500.00","0.25","120132.00","1134 E Kearny Street","Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"Fowler Bus Company","2019","SB24-B3","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.18","22000.00","21412.50","0.25","85650.00","1213 East Main Street","Richmond","64085","Ray","MO","POINT (-93.961337 39.325505)"
"Miller R-II","2020","SB04-MILL-3706","Category 1: school Bus","EMA 9","School Bus","School Bus","Diesel","1.062","22500.00","22500.00","0.25","92500.00","110 W. 6th Street","Miller","65707","Lawrence","MO","POINT (-93.835121 37.227787)"
