FACILITY,ADDRESS,CITY,ZIPCODE,COUNTY,PHONE,HOURS OF OPERATION,Location,School Districts,Missouri Counties,Counties
Louisiana Public Library,121 North 3rd Street,Louisiana,63353,Pike,573-754-4491,"Mon, Wed, Thu and Fri -10:30am to 5:30pm
Tue - 12:00pm (noon) to 8:00pm
Sat - 9:30am to 1:30pm","(39.450665, -91.047725)",105,32,2169
Thayer - Fun & Friends Senior Center,100 Chestnut,Thayer,65791,Oregon,417-264-7354,Mon-Fri - 8:00am to 3:30pm,"(36.52482, -91.53853)",534,109,534
Daviess County Library,306 West Grand,Gallatin,64640,Daviess,660-663-3222,"Tue-Thu - 9:00am to 6:00pm
- Fri - 9:00am to 5:00pm
- Sat - 9:00am to 12:00pm (Noon)","(39.914204, -93.963998)",60,18,1955
Aurora Branch Library,202 Jefferson,Aurora,65605,Lawrence,417-678-2036,Mon - Thu 8:30am to 7:00pm; Fri - Sat 8:30am to 5:30pm,"(36.973767, -93.719292)",488,97,528
Weinheimer Community Center,1100 Main Street,Highland,62249,Madison,618-654-1026,"Mon-Fri - 8:00am to 10:00pm (as needed)
Closed for lunch 12:00pm (noon) to 1:00pm","(38.740342, -89.677548)",,,1749
Malden Branch Library,113 North Madison Street,Malden,63863,Dunklin,573-276-3674,Mon - Sat 8:30am to 5:30pm,"(36.559085, -89.966489)",530,114,1957
St. Louis Public Library Schlafly Branch,225 North Euclid Avenue,Saint Louis,63108,Saint Louis City,314-367-4120,"Mon-Thu – 9:00am to 8:00pm
Fri and Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm

In addition to in-building service, Curbside Pickup, will continue to be offered","(38.644507, -90.26174)",200,54,2223
Osage County Library,22 Library Lane,Linn,65051,Osage,573-897-2951,"Mon – Thurs : 9:00 AM to 8:00 PM
Fri-9:00 AM to 6:00 PM
Sat- 9:00 AM to 5:00 PM
Sun- 1:00 PM to 5:00 PM","(38.462825, -91.814397)",233,55,2165
Summersville Senior Citizens,129 Rogers Avenue,Summersville,65571,Texas,417-932-4044,Mon-Fri - 8:00am to 3:30pm,"(37.178892, -91.657695)",378,88,544
Red Bridge Family YMCA,11300 Holmes Rd,Kansas City,64131,Jackson,816-942-2020,M-Th 5am-9pm; F 5am-8pm; Sa 7am-6pm; Su 8am-5pm,"(38.920434, -94.584397)",167,43,525
Callaway Senior Center,531 Commons Drive,Fulton,65251,Callaway,573-642-2458,Mon-Fri - 8:00am to 4:00pm,"(38.831332, -91.960541)",171,45,513
Miller County Library Service Center - Iberia,304 North Saint Louis Street,Iberia,65486,Miller,573-793-6746,Call for information,"(38.090809, -92.292533)",296,64,2124
Illinois Valley Senior Citizens Center,806 E Franklin Ave,Jerseyville,62052,Jersey,618-498-3483,Mon-Fri -  8:00am to 4:30pm,"(39.118146, -90.31511)",,,1713
Mercer County Library,601 Grant Street,Princeton,64673,Mercer,660-748-3725,"As a cooling center: There is a 30 minute time limit for individuals entering the library. Seating capacity is limited.
- Mon-Fri - 9:00am to 5:00pm
- Sat - 9:00am to 12:00pm (noon)","(40.400803, -93.586932)",20,8,2123
St. Joseph Public Library - Washington Park,1821 N Third St,Saint Joseph,64505,Buchanan,816-232-2052,"MWF 9am-M, W and F 9 a.m. to 5 p.m. and Tu and Th 12 p.m. to 8 p.m.","(39.780358, -94.856617)",77,25,2692
Cabool Library,418 Walnut Street,Cabool,65689,Texas,417-962-3722,"Mon - Fri - 10:00am to 5:00pm
Sat - 9:00am to 1:00pm","(37.122439, -92.097365)",480,88,544
Maryville Public Library,509 North Main,Maryville,64468,Nodaway,660-582-5281,"Mon-Fri - 9:00am to 6:00pm
- Sat - 9:00am to 3:00pm","(40.349996, -94.872679)",1,5,2130
Webb City Public Library,101 South Liberty Street,Webb City,64870,Jasper,417-673-4326,"Mon - Closed
Tue and Thu 9:00am to 8:00pm
Wed and Fri 9:00am to 6:00pm
Sat 9:00am to 5:00pm","(37.144732, -94.465104)",395,94,1966
St Charles City County Library District Corporate Parkway Branch,1200 Corporate Parkway,Wentzville,63385,St Charles,636-327-4010,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm","(38.799968, -90.81872)",184,48,2177
The Center for Seniors in Neosho,1017 East Carl Sweeney Pkwy,Neosho,64850,Newton,417-451-0981,"7 am to 3 pm M-F
Lunch served at 11:30 M-F","(36.857229, -94.353378)",487,103,2129
McCarty Senior Center,"Highway 54 East, Route 1",Wheatland,65779,Hickory,417-282-6100,Mon-Fri - 8:00am to 4:00pm,"(37.94525, -93.391997)",308,72,523
Marshfield Senior Center,228 North Crittenden,Marshfield,65706,Webster,417-859-3555,Mon-Fri - 8:00am to 3:30pm,"(37.340029, -92.90602)",371,91,2221
Mound City Public Library,207 East Sixth Street,Mound City,64470,Holt,660-442-5700,"Mon, Wed, Thu, Fri - 12:00pm (Noon) to 5:00pm
- Tue - 10:00am to 5:00pm
- Sat - 9:00am to 12:00pm (Noon)","(40.13237, -95.230602)",39,14,1963
Columbia Police Department,1020 N Main St,Columbia,62236,Monroe,618-281-5151,Mon-Fri - 8:00am to 4:00pm,"(38.451429, -90.209174)",,,1754
Montgomery County Council on Aging,138 South Allen Street,Montgomery City,63361,Montgomery,573-564-3224,Mon-Fri - 6:00am to 2:00pm,"(38.975634, -91.504562)",154,44,533
Lebanon Public Library,314 West Saint Louis Street,Lebanon,62254,St Clair,618-537-4504,"- Mon and Wed - 12:00pm (noon) to 7:00pm
- Tue, Thur and Fri - 12:00pm to 5:00pm
- Sat - 12:00pm (noon) to 3:00pm","(38.603808, -89.811024)",,,1797
Marion County Library,212 South Main Street,Palmyra,63461,Marion,573-769-2830,"Mon, Wed and Fri - 10:00am to 5:30pm
Tue and Thu - 10:00am to 6:00pm
Sat - 10:00am to 2:00pm","(39.798543, -91.523227)",460,24,2122
The Center,303 N. Main,Carl Junction,64834,Jasper,417-649-6437,8 am to 2 pm. Lunch served at 11:30 am.,"(37.17967, -94.564894)",384,94,1966
Crocker Senior Center,205 N. Commercial Street,Crocker,65452,Pulaski,573-736-5405,Mon-Fri - 8:00am to 4:00pm,"(37.950599, -92.263549)",486,75,2171
Owensville Senior Center,214 North 1st Street,Owensville,65066,Gasconade,573-437-3096,Mon-Fri - 8:00am to 4:00pm,"(38.348401, -91.500295)",257,56,1959
St. Louis County Library Cliff Cave Branch,5430 Telegraph Rd,Saint Louis,63129,St Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm","(38.47532, -90.303836)",248,51,2210
Maryville Community Center,1407 Country Club Road,Maryville,64468,Nodaway,660-562-2923,"Mon-Thu - 4:30am to 10:30pm 
- Fri - 4:30am to 8:00pm 
- Sat - 6:00am to 6:00pm 
- Sun - 12:0pm (Noon) to 6:00pm","(40.358797, -94.892149)",1,5,2130
Myrtle Public Library,1 State Highway V,Myrtle,65778,Oregon,417-938-4350,"Mon and Wed 9:00am to 5:00pm
Sat 8:00am to 12:00pm (noon)","(36.50834, -91.265585)",536,109,534
Jefferson County Health Department High Ridge,5684 MO Route PP,High Ridge,63052,Jefferson,636-495-1600,Mon-Fri - 8:00am to 5:30pm,"(38.455225, -90.535811)",256,62,1967
Saline Valley Fire District Station 3,4535 Old Highway 21,Imperial,63052,Jefferson,636-296-2445,Mon - Sun 7:00am to 7:00pm,"(38.41691, -90.488918)",255,62,1967
St. Louis County Library Eureka Hills Branch,156 Eureka Towne Center,Eureka,63025,St Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm","(38.504952, -90.657867)",219,51,2210
Vernon County Senior Center,301 North Main,Nevada,64772,Vernon,417-667-5847,Mon-Fri - 8:00am to 2:00pm,"(37.840474, -94.358007)",313,73,2218
Dallas County Library,219 West Main Street,Buffalo,65622,Dallas,417-345-2647,"Mon - Fri 8:00am to 5:30pm
Sat 8:00am t0 12:00pm (noon)","(37.644221, -93.093975)",327,78,1954
Webster Groves Older Adult Activity Center,33 East Glendale Road,Saint Louis,63119,St Louis,314-963-5600,"Mon - 9:30am to 2:00pm
Tue and Thu - 8:00am to 11:00am
Wed - 10:30am to 2:00pm
Fri - 10:30am to 2:00pm","(38.577881, -90.356442)",228,51,2210
St. Paul United Church of Christ,123 East Dee Street,Lebanon,62254,St Clair,618-537-4991,Mon-Fri - 8:30am to 3:00pm,"(38.602297, -89.807114)",,,1797
Sparta Community Library Branch,147 Library Lane,Sparta,65753,Christian,417-441-1400,"Mon-Thurs - 9:00am to 7:00pm
Fri-Sat - 9:00am to 6:00pm","(37.00148, -93.091993)",427,101,515
Branson Senior Center,201 Compton Dr,Branson,65616,Taney,417-335-4801,Mon-Fri - 8:00am to 8:00pm,"(36.657279, -93.218457)",510,111,2217
Kimberling Area Senior Center,63 Kimberling Blvd.,Kimberling City,65686,Stone,417-739-5242,Mon-Fri - 8:00am to 4:00pm,"(36.642105, -93.418212)",516,105,2216
Dan Kinney Family Center,2701 S. Blackman Road,Springfield,65809,Greene,417-891-1500,Mon-Fri - 5:00am to 9:00 pm; Saturday - 7:00am to 8:00pm; Sunday 10:00am to 6:00pm,"(37.16260481, -93.21854002)",493,93,1960
St. Charles City County Library District McClay Branch,2760 McClay Road,Saint Charles,63303,St Charles,636-441-6454,"Mon-Thu - 9:00am to 7:00pm
Fri and Sat - 9:00am to 5:00pm","(38.758203, -90.55145)",202,48,2177
Washington Park City Hall,5218 North Park Drive,East Saint Louis,62204,St Clair,618-874-2040,Mon-Fri - 9:00am to 5:00pm,"(38.634543, -90.094078)",,,1797
Rhodes Memorial Library,303 North Main Street,Gideon,63848,New Madrid,573-448-3554,"Mon, Wed, Fri 1:00pm to 5:00pm
Tue and Thu 8:00am to 5:00pm","(36.452977, -89.91956)",554,108,2128
Wood River Fire Station,501 East Edwardsville Road,Wood River,62095,Madison,618-259-0984,Call for hours of operation,"(38.8688, -90.088015)",,,1749
Salvation Army Columbia,1108 W Ash St,Columbia,65203,Boone,573-442-3229,Mon-Fri: 9:00am to 12:00pm and 1:00pm to 4:00pm,"(38.955706, -92.354969)",464,40,2691
"Scotland County Senior Center, Inc.",301 West Monroe Street,Memphis,63555,Scotland,660-465-7011,Mon-Fri - 8:30am to 2:00pm,"(40.457585, -92.173731)",10,3,2212
St. Louis Empowerment Center,907 Dock Street,St. Louis,63147,St. Louis City,314-652-6100,Sun – Sat 9:00am to 3:00pm,"(38.656784, -90.194535)",200,54,2223
Kimberling Area Library,45 Kimberling Blvd.,Kimberling City,65686,Stone,417-739-2525,"Mon, Wed, Fri - 10:00am to 4:00pm
Tue, Thu - 10:00am to 7:00pm
Sat - 9:00am to 4:00pm","(36.639023, -93.419525)",516,105,2216
Versailles Senior Center,308 Fairgrounds Road,Versailles,65084,Morgan,573-378-6232,Mon-Fri - 8:00am to 4:00pm,"(38.428024, -92.857437)",245,57,2127
El Dorado Springs Senior Center,604 S. Forrest,El Dorado Springs,64744,Cedar,417-876-5574,Mon-Fri - 9:00am to 3:00pm,"(37.870928, -94.017116)",318,77,2698
City of Sugar Creek - Police and Fire Departments,1001 Heroes Way,Sugar Creek,64054,Jackson,816-252-5560,M-F 9am-5pm,"(39.119031, -94.445519)",463,43,525
Hickory County Library,99 New Hermitage Drive,Hermitage,65668,Hickory,417-745-6939,"Mon - Fri 9:30am to 7:00pm
Sat 9:30am to 1:00pm","(37.946473, -93.343801)",319,72,523
St. Charles City County Library District Boones Trail Branch,10 Fiddlecreek Plaza,New Melle,63365,St Charles,636-398-6200,"- Mon, Tue, and Thu - 9:00am to 7:00pm
- Sat - 9:00am to 12:00pm(Noon)","(38.723471, -90.88184)",202,48,2177
St. Louis County Library Thornhill Branch,12863 Willowyck Drive,Saint Louis,63146,St Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm","(38.691331, -90.471185)",208,51,2210
Cassville Senior Center,1111 Fair Street,Cassville,65625,Barry,417-847-4510,Mon-Fri - 8:00am to 3:30pm,"(36.681458, -93.862159)",509,107,2649
Clinton Senior Center,970 E. Sedalia,Clinton,64735,Henry,660-885-3482,Mon-Frii - 8:00am to 4:00pm,"(38.380508, -93.758141)",250,60,1962
Ozark Regional Library,402 North Main Street,Ironton,63650,Iron,573-546-2615,"Mon, Wed-Fri 9:00am to 5:00pm
Tue 9:00am to 8:00pm
Sat 9:00am to 1:00pm","(37.603766, -90.628413)",346,82,524
Van Buren Youth and Community Center,1204 Highway D,Van Buren,63965,Carter,573-323-8958,Mon-Fri 3:00pm to 8:00pm,"(37.002267, -91.013341)",416,100,514
Nixa Community Library Branch,208 N. McCroskey Street,Nixa,65714,Christian,417-724-6100,"Mon-Thurs - 9:00am to 7:00pm
Fri-Sat - 9:00am to 6:00pm","(37.044514, -93.300165)",489,101,515
Perryville Branch Library,800 City Park Drive,Perryville,63775,Perry,573-547-6508,"Mon - Fri 9:00am to 6:00pm
Sat 9:00am to 1:00pm","(37.725582, -89.854048)",322,76,2168
Montgomery County Health Department Missouri,400 Salisbury Street,Montgomery City,63361,Montgomery,573-564-2495,Mon-Fri - 8:30am to 4:30pm,"(38.980613, -91.504514)",154,44,533
Fair Grove Branch Library,81 South Orchard Boulevard,Fair Grove,65648,Greene,417-759-2637,Mon-Sat - 8:30am to 6:00pm,"(37.383107, -93.157267)",491,93,1960
St. Louis Public Library Buder Branch,4401 Hampton Ave,Saint Louis,63109,St Louis City,314-352-2900,"Mon-Thu – 9:00am to 8:00pm
Fri and Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm

In addition to in-building service, Curbside Pickup, will continue to be offered","(38.590388, -90.294644)",200,54,2223
Cardwell Branch Library,110 North Main,Cardwell,63829,Dunklin,573-654-3366,"Mon, Wed and Thu 12:00pm (noon) to 5:00pm
Tue 9:00am to 2:00pm
Fri 1:00pm to 5:00pm","(36.048083, -90.292969)",557,114,1957
St. Louis County Library Oak Bend Branch,842 S Holmes Ave,Saint Louis,63122,St Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm","(38.56917, -90.391318)",229,51,2210
Soul's Harbor Of America - Shelter,915 South Main,Joplin,64801,Jasper,417-623-2550,Mon-Sun - 4:00pm to 9:00pm,"(37.08098, -94.513376)",490,94,1966
Rolling Hills Library - Belt Branch,1904 Belt Hwy,Saint Joseph,64506,Buchanan,816-232-5479,"M-Sa 9am-8pm, Su 12pm-6pm","(39.783719, -94.80383)",77,25,2692
Warren Senior Center,202A East Washington,Richland,65556,Pulaski,573-765-5414,Mon-Fri - 8:00am to 4:00pm,"(37.857349, -92.401244)",468,75,2171
Pike County Council on Aging,521 Georgia Street,Louisiana,63353,Pike,573-754-6511,"Mon, Tue, Wed, Fri - 8:00am to 2:00pm","(39.449081, -91.049692)",105,32,2169
Columbia Public Library,106 North Metter Avenue,Columbia,62236,Monroe,618-281-4237,"Mon-Thu - 9:00am to 8:00pm
Fri - 9:00am to 5:00pm
Sat - 9:00am to 4:00pm","(38.444008, -90.199092)",,,1754
"Kansas City, MO Public Library - Central Library",14 W 10th St,Kansas City,64105,Jackson,816-701-3490,"M 10am-5pm, T&W 10am-9pm, Th-Sa 10am-5pm","(39.102423, -94.583796)",151,43,525
Salisbury Senior Center,"501 Hwy 24 East, Suite B",Salisbury,65281,Chariton,660-388-5431,Mon-Fri - 9:00am to 2:00pm,"(39.43083, -92.792383)",89,28,2699
"Grundy County Council On Aging, Inc.",2901 Hoover Drive,Trenton,64683,Grundy,660-359-3058,Mon-Fri - 7:00am to 3:00pm,"(40.091542, -93.601056)",41,15,522
Noel Community Library,626 Johnson Drive,Noel,64854,McDonald,417-475-3223,"Mon - Fri 9:00am to 6:00pm
Sat 9:00am to 3:00pm","(36.537032, -94.485362)",519,113,530
El Dorado Springs Branch Library,808 South Main,El Dorado Springs,64744,Cedar,417-876-4827,Call for information,"(37.869509, -94.022299)",318,77,2698
Godfrey General Assistance Office,6810 Godfrey Road,Godfrey,62035,Madison,618-466-3378,Mon-Fri - 7:30am to 12:00pm (noon) and 1:00pm to 4:30pm,"(38.9695, -90.194332)",,,1749
Macoupin County Public Health Department,805 North Broad Street,Carlinville,62626,Macoupin,217-854-3223,Mon-Fri - 8:30am to 4:30pm,"(39.2881, -89.881732)",,,1748
Fairview Heights Public Library,10017 Bunkum Road,Fairview Heights,62208,St Clair,618-489-2070,"- Mon-Thu - 10:00am to 6:00pm
- Fri - 10:00am to 5:00pm (Lobby Pickup Only)
- Sat - 10:00am to 2:00pm","(38.598166, -90.010653)",,,1797
Lowry City Library,406B West 4th Street,Lowry City,64763,St Clair,417-644-2255,"Tues-Thu - 1:00pm to 7:00pm
Fri - 9:00am to 5:00pm
Sat - 9:00am to 2:00pm","(38.140011, -93.731921)",281,69,539
Oak Street Health - Jennings,8033 A West Florissant Ave,"Jennings,",63136,St Louis,314-472-3918,Mon-Fri - 8:00am to 5:00pm,"(38.73031765, -90.27593306)",209,51,2210
Mountain View - R. Claude Trieman Senior Center,903 East 5th Street,Mountain View,65548,Howell,417-934-6504,Mon-Fri - 8:00am to 3:30pm,"(36.999396, -91.689995)",423,104,1965
Boonslick Senior Center,520 Ryan Street,Boonville,65233,Cooper,660-882-2344,Mon-Fri - 8:00am to 3:00pm,"(38.955642, -92.740633)",169,47,517
Lessie Bates Davis Seasoned Circle Cafe,1274 North 37th Street,East Saint Louis,62204,St Clair,618271-2522,Mon-Fri - 8:00am to 4:00pm,"(38.624331, -90.110857)",,,1797
Benld Senior Citizens Center,311 East Central,Benld,62009,Macoupin,217-498-3483,Mon-Fri - 8:00am to 1:00pm,"(39.092832, -89.803312)",,,1748
St. Charles City County Library District Spencer Road,427 Spencer Rd (PO Box 529),Saint Peters,63376,St Charles,636-441-0794,"Mon-Thu - 9:00am to 9:00pm 
Fri and Sat - 9:00am to 5:00pm 
Sun - 1:00pm to 5:00pm","(38.784322, -90.601407)",173,48,2177
Robert Fulton Development,5521 Wells,Saint Louis,63112,Saint Louis City,314-361-6878,Mon - Fri 9:00am to 3:00pm,"(38.667479, -90.273673)",200,54,2223
"Kansas City, MO Public Library - North-East Branch",6000 Wilson Road,Kansas City,64123,Jackson,816-701-3485,T&F 10am-2pm,"(39.106514, -94.511325)",151,43,525
St. Francois County Health Center,1025 West Main,Park Hills,63601,St Francois,573-431-1947,Mon-Fri - 8:00am to 4:00pm,"(37.860621, -90.534924)",321,74,540
"Kansas City, MO Public Library - Westport Branch",118 Westport Rd,Kansas City,64111,Jackson,816-701-3488,Call for information,"(39.054625, -94.58829)",151,43,525
Pierce City Branch Library,101 North Walnut Street,Pierce City,65723,Lawrence,417-476-5110,"Tue - Fri 9:00am to 6:00pm
Sat 9:00am to 1:00pm","(36.945362, -94.003193)",420,97,528
Matthews Branch Library,105 West Maint Street,Matthews,63867,New Madrid,573-379-3583,Mon-Sat 8:00am to 5:00pm,"(36.759344, -89.585726)",448,108,2128
Salvation Army Columbia Harbor House Shelter,602 N Ann,Columbia,65201,Boone,573-442-1984,"24 Hours 
- For Hot Cots Summer 2022: Daytime Hours - is 8:00am to 4:00pm if there is a heat advisory
- Overnight is 4:00pm check-in and 8:00am check-out. For overnight, the low has to be over 90 degrees for overnight cots","(38.95777, -92.314201)",464,40,2691
Margaret Gray Center,811 C S. Business Highway 13,Lexington,64067,Lafayette,660-259-2025,Mon-Fri 9:00am to 3:30pm,"(39.168591, -93.879078)",145,42,2116
Perry County Health Department,406 N Spring St,Perryville,63775,Perry,573-547-6564,Mon-Fri 8:00am to 4:30pm,"(37.72874, -89.86139)",322,76,2168
Southwestern Illinois College Program and Services for Older Persons Belleville,201 North Church Street,Belleville,62220,St Clair,618-234-4410,Mon-Fri - 8:00am to 4:30pm,"(38.515571, -89.980372)",,,1797
Texas County Health Department,950 North Highway 63,Houston,65483,Texas,417-967-4131,"Mon-Thurs - 8:00am to 4:30pm
Fri - 10:00am to 4:30pm","(37.334546, -91.944431)",377,88,544
"Salvation Army - Independence, MO",14700 E Truman Rd,Independence,64051,Jackson,816-252-3200,M-F 9am-4pm,"(39.095302, -94.405516)",463,43,525
Doniphan Ripley County Library,207 Locust Street,Doniphan,63935,Ripley,573-996-2616,"Mon - Fri 9:00am to 8:00pm
Sat 9:00am to 12:00pm (noon)","(36.618504, -90.824689)",507,110,2176
Lewis Library of Glasgow,315 Market Street,Glasgow,65254,Howard,660-338-2395,"Mon, Wed - 2:00pm to 7:00pm
Tue, Thu, Fri - 3:00pm to 7:00pm
Sat - 1:00pm to 5:00pm","(39.226306, -92.844183)",129,39,1964
De Soto Public Library,712 South Main Street,De Soto,63020,Jefferson,636-586-3858,"- Mon-Thu 9:00am to 6:00pm
- Fri - 9:00am to 5:00pm
- Sat - 9:00am to 2:00pm","(38.13293, -90.556282)",295,62,1967
St. Louis Public Library Central,1301 Olive Street,Saint Louis,63103,St Louis City,314-241-2288,"Mon-Thu – 9:00am to 8:00pm
Fri and Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm

In addition to in-building service, Curbside Pickup, will continue to be offered","(38.63022, -90.199305)",200,54,2223
"Kansas City, MO Public Library - Bluford Branch",3050 Prospect,Kansas City,64128,Jackson,816-701-3482,"M-F 10am-3pm, Sa 10am-3pm","(39.070783, -94.553194)",151,43,525
Clarke Senior Center,1310 Linden Drive,Jefferson City,65109,Cole,573-634-8020,Mon-Fri - 8:00am to 4:00pm,"(38.571204, -92.193091)",465,58,2702
St. Louis County Library Lewis and Clark Branch,9909 Lewis And Clark Blvd,Saint Louis,63136,St Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm","(38.747325, -90.240739)",203,51,2210
Hillsboro Fire Protection District Station One,120 Fifth Street,Hillsboro,63050,Jefferson,636-797-3619,Mon - Sun 8:00am to 4:00pm,"(38.234238, -90.561559)",268,62,1967
Butler County Health Department,1619 North Main,Poplar Bluff,63901,Butler,573-785-8478,Mon-Fri - 8:00am to 5:00pm,"(36.773518, -90.402148)",441,106,2693
Church of the Nazarene Monett,2142 State Highway 37,Monett,65708,Barry,417235-7625,Mon-Fri - 6:30am to 6:00pm,"(36.899163, -93.92346)",429,107,2649
Warsaw Branch Library,102 East Jackson,Warsaw,65355,Benton,660-438-5211,Mon - Sat 9:00am to 5:30pm,"(38.242985, -93.377093)",278,61,511
Licking Branch Library,126 South Main Street,Licking,65542,Texas,573-674-2038,"Mon, Wed, and  Fri - 9:00am to 5:00pm
Tue and Thu - 9:00am to 5:00pm (Winter Hours)
Sat - 9:00am to 1:00pm","(37.498124, -91.856702)",482,88,544
Salvation Army Branson,1114 Stanley Boulevard,Branson,65615,Taney,417-339-4434,Mon-Fri - 9:30am to 3:00pm,"(36.640884, -93.236431)",510,111,2217
Jefferson County Library District - Northwest Branch Library,5680 State Road PP,High Ridge,63049,Jefferson,636-677-8186,"Mon-Thu - 9:00am to 9:00pm
Fri - 9:00am to 6:00pm
Sat - 9:00am to 5:00pm","(38.454989, -90.536175)",256,62,1967
Ozarks Regional YMCA -Dallas County Area YMCA,932 W Main,Buffalo,65622,Dallas,417-345-1116,"Mon, Tues and Thu - 6:00am to 1:00pm and 3:00pm to 8:00pm
Wed - 6:00am to 1:00pm and 3:00pm to 6:00pm
Fri - 5:30am to 6:30pm
Sat - 7:00am to 11:00am
Sun - Closed","(37.643625, -93.101805)",327,78,1954
Library Station,2535 North Kansas Expressway,Springfield,65803,Greene,417-865-1340,"Mon-Sat - 8:30am to 9:00pm
Sun - 1:00pm to 5:00pm","(37.243594, -93.312021)",493,93,1960
"Metropolitan Senior Citizens Corporation, Inc. St. Louis Activity Center SLAAA",5602 Arsenal Street,Saint Louis,63139,Saint Louis City,314-645-3477,Mon-Fri - 8:30am to 2:30pm,"(38.6062, -90.282287)",200,54,2223
Greenfield - Dade County Senior Center,58 North Allison Street,Greenfield,65661,Dade,417-637-2626,Mon-Fri - 8:00am to 3:30pm,"(37.416919, -93.84101)",362,89,518
Centerville Library,2306 Pine Street,Centerville,63633,Reynolds,573-648-2471,"Mon, Wed, and Fri - 8:00am to 12:00pm (noon) and 12:30pm to 4:30pm","(37.434798, -90.958834)",368,87,2175
Cleaver Family YMCA,7000 Troost Avenue,Kansas City,64131,Jackson,816-285-9622,M-Th 5am-9pm; F 5am-8pm; Sa 7am-6pm; Su 8am-5pm,"(39.000247, -94.576996)",151,43,525
YWCA Southwestern Illinois,304 East Third Street,Alton,62002,Madison,618-465-7774,"Mon-Fri - 9am to 5:00pm
Sat - 8:00am to 5:00pm","(38.891009, -90.181625)",,,1749
Edwardsville Public Library,112 South Kansas,Edwardsville,62025,Madison,618-692-7556,"Mon-Thu - 9:00am to 8:00pm
Fri - 9:00am to 6:00pm
Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm","(38.811159, -89.953892)",,,1749
Rock Community Fire Protection District House 1,1533 Jeffco Blvd,Arnold,63010,Jefferson,636-296-2226,Mon - Sun 7:00am to 7:00pm,"(38.432946, -90.377961)",255,62,1967
YMCA - Platte County Community Center North,3101 Running Horse Rd,Platte City,64079,Platte,816-858-0114,M-Th 5am-9pm; F 5am-8pm; Sa 7am-6pm; Su 10am-5pm,"(39.346856, -94.759591)",119,35,2170
Carter County Library,403 Ash Street,Van Buren,63965,Carter,573-323-4315,Mon-Fri 9:00am to 4:00pm,"(36.997022, -91.015401)",416,100,514
Scott County Health Department,102 Grove Estates Court,Sikeston,63801,Scott,573-471-4044,"Mon - 8:00am to 5:00pm
Tue-Fri - 8:00am to 4:00pm","(36.900359, -89.601732)",497,96,2213
Monroe City Senior Nutrition Center,314 South Main Street,Monroe City,63456,Monroe,573-735-2131,Mon-Fri - 8:00am to 5:00pm,"(39.650881, -91.734378)",462,30,2126
Sunrise Beach Library,14156 North State Highway 5,Sunrise Beach,65079,Camden,573-347-6982,"Tue-Fri - 9:00am to 5:00pm
Sat - 9:00am to 1:00pm","(38.153637, -92.7724)",292,68,2694
Collinsville Township Senior Citizens Center,420 E Main St,Collinsville,62234,Madison,618-344-7787,Mon-Fri - 8:00am to 4:00pm,"(38.671029, -89.982465)",,,1749
St. Louis County Library Natural Bridge Branch,7606 Natural Bridge Rd,Saint Louis,63121,St Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm","(38.705548, -90.301848)",501,51,2210
Warren County Council on Aging,501 Ashland Avenue,Warrenton,63383,Warren,636-456-3379,"Mon-Fri - 8:00am to 4:00pm
- Lunch served - 11:30am to 12:30pm","(38.814104, -91.14361)",166,46,2219
Dunklin County Health Department,410 Teaco Road,Kennett,63857,Dunklin,573-888-9008,Mon-Fri - 8:00am to 4:30pm,"(36.233718, -90.041988)",549,114,1957
Southside Senior Citizens Center SLAAA,3017 Park Avenue,Saint Louis,63104,Saint Louis City,314-664-5024,Mon-Fri - 8:00am to 5:00pm,"(38.619517, -90.228191)",200,54,2223
Pemiscot County Health Center,810 E Reed St,Hayti,63851,Pemiscot,573-359-1656,Mon-Fri - 8:00am to 4:30pm,"(36.236986, -89.742124)",547,115,2167
Ewing Senior Center,101 W Bryan,Ewing,63440,Lewis,573-209-3631,"Mon, Wed, Fri - 5:30am to 2:00pm","(40.006559, -91.71847)",459,16,2117
Buffalo - Engles Memorial Senior Center,103 South Maple Street,Buffalo,65622,Dallas,417-345-8277,Mon-Fri - 8:00am to 3:30pm,"(37.643742, -93.092619)",327,78,1954
Shelbina Senior Citizens Center,112 East Chestnut,Shelbina,63468,Shelby,573-588-7669,Mon-Fri - 8:00am to 3:30pm,"(39.692982, -92.039056)",71,23,2214
