"loanrange","businessname","address","city","state","zip","naicscode","businesstype","raceethnicity","gender","veteran","nonprofit","jobsreported","dateapproved","lender","cd","location"
"e $150,000-350,000","AUBURN VALLEY HUMANE SOCIETY","4910 A ST SE","AUBURN","WA","98092","813312","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","26","2020-05-03T00:00:00.000","U.S. Bank, National Association","WA-08","POINT (-122.229599 47.264193)"
"e $150,000-350,000","CAFE PACIFIC, INC.","4402 AUBURN WAY","AUBURN","WA","98002","722511","Corporation","White","Female Owned","Non-Veteran",,,"2020-04-27T00:00:00.000","Columbia State Bank","WA-08","POINT (-122.222425 47.346512)"
"d $350,000-1 million","OMEGA RIGGERS, INC","3705 W Valley Hwy N","AUBURN","WA","98001","423830","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"0","2020-04-29T00:00:00.000","Banner Bank","WA-09","POINT (-122.249778 47.34086)"
"e $150,000-350,000","RAINIER ARMS, LLC","2504 Auburn Way N","AUBURN","WA","98002","423910","Limited  Liability Company(LLC)","Asian","Male Owned","Non-Veteran",,"33","2020-04-09T00:00:00.000","First-Citizens Bank & Trust Company","WA-08","POINT (-122.221553 47.328941)"
"d $350,000-1 million","SEATEMP LLC","107 Washington Blvd","AUBURN","WA","98001","811310","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"26","2020-04-13T00:00:00.000","KeyBank National Association","WA-09","POINT (-122.247218 47.278685)"
"e $150,000-350,000","BODY JEWELRY PLUS, INC.","1101 Outlet Collection DR SW #1313","AUBURN","WA","98001","448310","Corporation","Unanswered","Unanswered","Unanswered",,"33","2020-04-13T00:00:00.000","First Financial Northwest Bank","WA-09","POINT (-122.242093 47.298069)"
"d $350,000-1 million","DSL NORTHWEST","3500 West Valley Hwy N; Suite B101","Auburn","WA","98001","423440","Corporation","Unanswered","Unanswered","Unanswered",,"15","2020-04-27T00:00:00.000","Seattle Bank","WA-09","POINT (-122.248083 47.338488)"
"c $1-2 million","BUD CLARY OF AUBURN, LLC","2925 Auburn Way North","AUBURN","WA","98002","441110","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"75","2020-04-13T00:00:00.000","KeyBank National Association","WA-08","POINT (-122.221803 47.333179)"
"e $150,000-350,000","J LYNN ENVIRONMENTAL, LLC","33351 177TH PL SE","AUBURN","WA","98092","237110","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-30T00:00:00.000","Columbia State Bank","WA-08","POINT (-122.105395 47.301176)"
"e $150,000-350,000","S WON HOSPITALITY LLC","401 8TH ST SW","AUBURN","WA","98001","721110","Limited  Liability Company(LLC)","Asian","Female Owned","Non-Veteran",,"30","2020-04-14T00:00:00.000","Bank of Hope","WA-09","POINT (-122.234595 47.300863)"
"d $350,000-1 million","MAY INTERNATIONAL, INC.","2302 B Street Suite 101","AUBURN","WA","98001","484110","Corporation","Unanswered","Male Owned","Non-Veteran",,"80","2020-04-09T00:00:00.000","Washington Federal Bank, National Association","WA-09","POINT (-122.23216 47.328762)"
"d $350,000-1 million","J&B FABRICATORS LLC","2005 63RD ST SE","AUBURN","WA","98092","811310","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"35","2020-05-20T00:00:00.000","Intuit Financing Inc.","WA-08","POINT (-122.204225 47.251595)"
"e $150,000-350,000","NORTHWEST CLOSETS & WALLBEDS, LLC","2707 Auburn Way North","AUBURN","WA","98002","337910","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"28","2020-04-11T00:00:00.000","KeyBank National Association","WA-08","POINT (-122.221577 47.331106)"
"d $350,000-1 million","RED POLO VENTURES LLC","920 15th Street SW","AUBURN","WA","98001","999990","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"86","2020-04-13T00:00:00.000","Bank of the Pacific","WA-09","POINT (-122.2405 47.295704)"
"e $150,000-350,000","ACCURATE INDUSTRIES, INC","233 D ST NW","AUBURN","WA","98001","238320","Corporation","White","Male Owned","Unanswered",,"0","2020-04-04T00:00:00.000","Timberland Bank","WA-09","POINT (-122.234147 47.310012)"
"e $150,000-350,000","AUBURN FOREIGN CAR, INC.","725 AUBURN WAY N","AUBURN","WA","98002","811118","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"11","2020-05-22T00:00:00.000","Intuit Financing Inc.","WA-08","POINT (-122.224816 47.314021)"
"d $350,000-1 million","PENCO ENTERPRISES, INC","702 AUBURN WAY S","AUBURN","WA","98002","722513","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-15T00:00:00.000","Citizens Bank, National Association","WA-08","POINT (-122.224604 47.300811)"
"e $150,000-350,000","TIMBERLAND HOMES, INC.","1201 37th St NW","AUBURN","WA","98001","236115","Corporation","Unanswered","Unanswered","Unanswered",,"13","2020-04-28T00:00:00.000","KeyBank National Association","WA-09","POINT (-122.246204 47.340359)"
"e $150,000-350,000","WATERS & WOOD INC","3040 B St. #7","AUBURN","WA","98001","236115","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"0","2020-04-30T00:00:00.000","Banner Bank","WA-09","POINT (-122.232221 47.334381)"
"d $350,000-1 million","TECHNICAL CABLE APPLICATIONS, INC.","2840 W Valley Hwy N","AUBURN","WA","98001","334416","Corporation","White","Male Owned","Non-Veteran",,"58","2020-04-13T00:00:00.000","KeyBank National Association","WA-09","POINT (-122.249475 47.332766)"
