Permit Number,Permit Type,Issued,Address,City,State,Zipcode,Applicant,Contractor License Number,License Type,Fees,Value of Work,Plans Submitted,SBL,Land Use,Inspector,Expiration Date,Description of Work,Location,Latitude,Longitude,Council District,Police District,Census Tract,Census Block Group,Census Block,Neighborhood,Police Districts,Tracts,Council Districts,Zip Codes,Block Groups,Blocks,Local Historic Districts,Neighborhoods,Neighborhoods ,Tax Districts
ELEC17-9426634,ELECTRICAL,02/01/2017,212 PEARL ST,BUFFALO,NY,14202,M & M ELECTRIC CONSTUCTION CO,MEL11-561026,MASTER ELECTRICIAN,125.00,29950.00,0,1115300003004110,653,CHARLES   MOORE,08/01/2017,Install new panels and contactors to replace old rotted ones,"(42.8852946170913, -78.87580539526297)",42.8852946170913,-78.87580539526297,ELLICOTT,District B,165,1,1016,Central,1,77,4,3,31,2598,,15,4,13
ELEC17-9429540,ELECTRICAL,03/30/2017,326 BENZINGER,BUFFALO,NY,14206,EMPIRE ELECTRIC ENT LLC,MEL11-520449,MASTER ELECTRICIAN,100.00,250.00,0,1123400003017000,220,CHARLES   MOORE,09/30/2017,ESR# 23820708,"(42.89373750507313, -78.80621366138637)",42.89373750507313,-78.80621366138637,LOVEJOY,District C,24,2,2003,Lovejoy,3,28,2,17,24,2514,,23,8,11
ELEC17-9430308,ELECTRICAL,04/20/2017,115 WEBER,BUFFALO,NY,14215,ABEDE DACOSTA,10036364,MASTER ELECTRICIAN,75.00,200.00,0,0908300001055000,210,CHARLES   MOORE,10/20/2017,Meter releaseEsr 5297549284,"(42.92116717210481, -78.8033024921634)",42.92116717210481,-78.8033024921634,LOVEJOY,District E,38,1,1003,Schiller Park,2,14,2,11,169,339,,53,12,8
ELEC17-9434797,ELECTRICAL,07/19/2017,63 RACHEL VINCENT WAY,BUFFALO,NY,14216,GREER ELECTRIC INC,MEL11-192896,MASTER ELECTRICIAN,75.00,100.00,0,0784900007020000,210,CHARLES   MOORE,01/19/2018,outlet for pool pump/filter/heater,"(42.955179458568104, -78.85637377515143)",42.955179458568104,-78.85637377515143,DELAWARE,District D,51,1,1013,North Park,5,46,7,5,62,2513,,28,25,2
ELEC17-9426791,ELECTRICAL,02/07/2017,2182 DELAWARE,BUFFALO,NY,14207,M & M ELECTRIC CONSTUCTION CO,MEL11-561026,MASTER ELECTRICIAN,125.00,23000.00,0,0891400003001000,681,CHARLES   MOORE,08/07/2017,Energy efficient lighting through National Grid lighting program,"(42.943543831629086, -78.86808700678333)",42.943543831629086,-78.86808700678333,NORTH,District D,54,2,2000,Parkside,5,36,1,5,41,2370,,9,28,2
ELEC17-9432295,ELECTRICAL,05/15/2017,130 MAIN,BUFFALO,NY,14203,FREY ELECTRIC CONSTRUCTION INC,MEL11-210503,MASTER ELECTRICIAN,1755.00,1.00,0,1111700014001000,556,CHARLES   MOORE,11/15/2017,NEW SERVICE,"(42.878312000156356, -78.87770716926943)",42.878312000156356,-78.87770716926943,FILLMORE,District B,165,1,1089,Central,1,77,5,3,31,1298,,15,4,13
ELEC17-9434207,ELECTRICAL,07/06/2017,129 FRONTENAC,BUFFALO,NY,14216,JAMESON ELECTRICAL WORKS INC,MEL11-147429,MASTER ELECTRICIAN,75.00,4100.00,0,0785800004024000,210,CHARLES   MOORE,01/06/2018,200Amp ServiceESR# - 237-71-282,"(42.95199957473241, -78.85038443789902)",42.95199957473241,-78.85038443789902,DELAWARE,District D,48,3,3008,North Park,5,37,7,5,79,2373,,28,25,2
ELEC17-9433987,ELECTRICAL,06/28/2017,49 LEMON,BUFFALO,NY,14204,JM&R ELECTRICAL & AC,MEL13-10025811,MASTER ELECTRICIAN,75.00,1000.00,0,1112400006014110,210,CHARLES   MOORE,12/28/2017,Electrical connections of solar panel install,"(42.89589634218992, -78.86030072550327)",42.89589634218992,-78.86030072550327,ELLICOTT,District B,25.02,1,1000,Fruit Belt,1,2,4,16,132,2748,,52,32,9
ELEC17-9427288,ELECTRICAL,02/22/2017,36 MONTANA,BUFFALO,NY,14211,MICHAEL GULINO ELECTRIC CORP,MEL11-551576,MASTER ELECTRICIAN,75.00,350.00,0,1014700004031000,220,CHARLES   MOORE,08/22/2017,Meter Release Acct # 8557536257,"(42.91087791291895, -78.82040937038431)",42.91087791291895,-78.82040937038431,FILLMORE,District C,36,3,3004,Genesee-Moselle,3,18,5,4,81,433,,29,1,8
ELEC17-9445082,ELECTRICAL,12/29/2017,2157 MAIN,BUFFALO,NY,14214,MARK MELBER,MEL13-10025813,MASTER ELECTRICIAN,1403.00,1.00,0,0891600001007111,641,CHARLES   MOORE,06/29/2018,2ND FLOOR NEONATAL INTENSIVE CARE RENOVATION,"(42.929101073298, -78.84988181784793)",42.929101073298,-78.84988181784793,MASTEN,District E,52.01,3,3006,Fillmore-Leroy,2,38,9,18,258,1267,,21,6,2
ELEC17-9432567,ELECTRICAL,05/22/2017,65 NOTTINGHAM,BUFFALO,NY,14216,ABEDE DACOSTA,10036364,MASTER ELECTRICIAN,75.00,1200.00,0,0890600006015000,210,CHARLES   MOORE,11/22/2017,Inground pool install,"(42.936888379256466, -78.86375385843844)",42.936888379256466,-78.86375385843844,DELAWARE,District D,54,1,1005,Parkside,5,36,7,5,37,3112,,22,28,2
ELEC17-9441187,ELECTRICAL,10/10/2017,505 DELAWARE,BUFFALO,NY,14202,BRADY ELECTRIC INC,MEL11-501367,MASTER ELECTRICIAN,125.00,800.00,0,1007800002007120,464,CHARLES   MOORE,04/10/2018,Wiring of sump pump,"(42.89795489957616, -78.87433761046492)",42.89795489957616,-78.87433761046492,FILLMORE,District B,68.01,1,1003,Allentown,1,13,5,3,214,2908,1,32,2,9
ELEC17-9426102,ELECTRICAL,01/17/2017,1164 MICHIGAN,BUFFALO,NY,14209,TIMOTHY   GALLAGHER,MEL11-551531,MASTER ELECTRICIAN,125.00,1200.00,0,1006400006026000,432,CHARLES   MOORE,07/17/2017,Complete 100 amp service and all grounding per NEC,"(42.904978707643096, -78.86262352547783)",42.904978707643096,-78.86262352547783,ELLICOTT,District B,168.01,2,2015,Masten Park,1,25,4,21,283,173,,30,16,5
ELEC17-9425826,ELECTRICAL,01/04/2017,726 EXCHANGE,BUFFALO,NY,14210,LANCE CHANDLER ELECTRIC,,,130.00,1000.00,0,1222600002011000,464,CHARLES   MOORE,07/04/2017,Replace antennas,"(42.874641869406524, -78.85003881268223)",42.874641869406524,-78.85003881268223,FILLMORE,District A,164,2,2027,Ellicott,4,31,5,19,146,389,,51,14,13
ELEC17-9427048,ELECTRICAL,02/23/2017,399 OHIO,BUFFALO,NY,14203,GREGORY BLAKOWSKI,MEL11-112324,MASTER ELECTRICIAN,125.00,10000.00,0,1221000002007210,433,CHARLES   MOORE,08/23/2017,Install 400 Amp 120 /240 volt feeder from main service disconnect to 2nd floor tenant,"(42.86631547146231, -78.86773062019158)",42.86631547146231,-78.86773062019158,FILLMORE,District A,164,1,1019,First Ward,4,31,5,14,38,965,,12,20,13
ELEC17-9429588,ELECTRICAL,04/03/2017,49 SEMINOLE,BUFFALO,NY,14210,TIMOTHY   GALLAGHER,MEL11-551531,MASTER ELECTRICIAN,100.00,300.00,0,1237300002010000,220,CHARLES   MOORE,10/03/2017,Upper and lower meter release,"(42.85949946119538, -78.8119670646301)",42.85949946119538,-78.8119670646301,SOUTH,District A,11,1,1010,Seneca-Cazenovia,4,10,6,19,170,1685,,35,19,12
ELEC17-9430384,ELECTRICAL,05/05/2017,108 WENDE,BUFFALO,NY,14211,SIMON ELECTRIC CO INC,MEL11-210490,MASTER ELECTRICIAN,275.00,200.00,0,1013200004020000,210,CHARLES   MOORE,11/05/2017,Reset meter cut at poleEMO# 22175-37116ESO#  23972124   Phone (718) 496-7300,"(42.91523137690029, -78.81478476608501)",42.91523137690029,-78.81478476608501,FILLMORE,District E,36,1,1004,Genesee-Moselle,2,18,5,4,157,356,,29,1,8
ELEC17-9434211,ELECTRICAL,07/06/2017,185 ELLICOTT,BUFFALO,NY,14203,FREY ELECTRIC CONSTRUCTION INC,MEL11-210504,MASTER ELECTRICIAN,125.00,3000.00,0,1111300018001000,841,CHARLES   MOORE,01/06/2018,<P>INSTALL NEW TRANSFORMER 75 KVA AND PANEL 225 AMP/120/208</P><P>PLEASE REFERENCE FREY JOB #17-8007-00</P>,"(42.883634350514775, -78.87260572931646)",42.883634350514775,-78.87260572931646,ELLICOTT,District B,165,1,1048,Central,1,77,4,14,31,1064,,15,4,13
ELEC17-9438085,ELECTRICAL,09/12/2017,829 AUBURN,BUFFALO,NY,14222,MR STEVEN P RZASA,MEL11-147304,MASTER ELECTRICIAN,100.00,6000.00,0,1002300003005000,220,CHARLES   MOORE,03/12/2018,"first floor upgrade, conversion from 2 family to 1 family home","(42.918273747830014, -78.87019379144903)",42.918273747830014,-78.87019379144903,DELAWARE,District D,169,2,2001,Elmwood Bidwell,5,50,7,12,213,142,,33,27,5
ELEC17-9431844,ELECTRICAL,05/03/2017,20 MEMORIAL,BUFFALO,NY,14206,COMMUNITY ELECTRIC,MEL11-195028,MASTER ELECTRICIAN,100.00,10000.00,0,1116000004027000,220,CHARLES   MOORE,11/03/2017,<P>SINGLE GAUGE OVERHEAD SERVICE REWIRE ENTIRE BUILDING</P><P>ESR24000816</P>,"(42.885395927974336, -78.83837103654628)",42.885395927974336,-78.83837103654628,FILLMORE,District C,16.02,1,1019,Broadway Fillmore,3,34,5,17,33,2753,,16,23,10
ELEC17-9444977,ELECTRICAL,12/22/2017,95 TENNYSON,BUFFALO,NY,14216,ZACHER ELECTRIC,MEL11-210539,MASTER ELECTRICIAN,100.00,240.00,0,0785500004016000,220,CHARLES   MOORE,06/22/2018,ACCT #98763-24130OWNER: DOROTHY WOZNIAKCONTACT: RON WOZNIAK (SON) - 560-3569INSPECTION AFTER VACANCY,"(42.94956774561327, -78.86718903572678)",42.94956774561327,-78.86718903572678,DELAWARE,District D,51,4,4002,North Park,5,46,7,5,98,745,,28,25,2
ELEC17-9427367,ELECTRICAL,02/23/2017,136 MEADOW,BUFFALO,NY,14216,ROBERT CIERLICKI,MEL11-116365,MASTER ELECTRICIAN,75.00,4000.00,0,0890600002004000,210,CHARLES   MOORE,08/23/2017,Service.,"(42.9392082538465, -78.86577793762629)",42.9392082538465,-78.86577793762629,DELAWARE,District D,54,1,1006,Parkside,5,36,7,5,37,936,,9,28,2
ELEC17-9444593,ELECTRICAL,12/12/2017,78 MOHR ST,BUFFALO,NY,14212,GREER ELECTRIC INC,MEL11-192896,MASTER ELECTRICIAN,125.00,300.00,0,1123000008015000,220,CHARLES   MOORE,06/12/2018,SERVICE UPGRADE ESR # 25417442,"(42.89311815121509, -78.82721278017135)",42.89311815121509,-78.82721278017135,FILLMORE,District C,16.01,1,1018,Broadway Fillmore,3,34,5,8,264,605,,16,23,11
ELEC17-9444478,ELECTRICAL,12/07/2017,8 PARKVIEW,BUFFALO,NY,14210,M J M ELECTRIC,MEL11-210533,MASTER ELECTRICIAN,100.00,200.00,0,1238200004001000,220,CHARLES   MOORE,06/07/2018,Need inspection to have power turned on with Nat'l GridESR # 25485393,"(42.85468666480884, -78.80654194324954)",42.85468666480884,-78.80654194324954,SOUTH,District A,10,2,2000,Seneca-Cazenovia,4,22,6,19,148,2956,,24,19,12
ELEC17-9444651,ELECTRICAL,12/13/2017,376 JOHNSON ST,BUFFALO,NY,14211,MORGAN F &AMP; W ELECTRIC LLC,MEL11-210514,MASTER ELECTRICIAN,125.00,1800.00,0,1007400004013000,220,CHARLES   MOORE,06/13/2018,New 150A service with smokes in basement.,"(42.90143907514312, -78.84841004300485)",42.90143907514312,-78.84841004300485,ELLICOTT,District C,31,1,1009,Fruit Belt,3,35,4,4,111,1753,,55,32,10
ELEC17-9426779,ELECTRICAL,02/07/2017,450 HIGH,BUFFALO,NY,14211,TIMOTHY   GALLAGHER,MEL11-551531,MASTER ELECTRICIAN,75.00,200.00,0,1007400002041000,210,CHARLES   MOORE,08/07/2017,Power on meter release,"(42.9002325599144, -78.85201359550032)",42.9002325599144,-78.85201359550032,ELLICOTT,District C,31,1,1006,Fruit Belt,3,35,4,4,111,2642,,55,32,10
ELEC17-9442218,ELECTRICAL,11/03/2017,360 PARKDALE,BUFFALO,NY,14213,RICHARD DERRAH,MEL11-192790,MASTER ELECTRICIAN,100.00,800.00,0,0887500002023000,210,CHARLES   MOORE,05/03/2018,100 AMP Service    -    ESR# 25112324,"(42.9252327569935, -78.88732004656211)",42.9252327569935,-78.88732004656211,NIAGARA,District D,171,2,2003,Elmwood Bidwell,5,27,3,2,176,560,,27,27,3
ELEC17-9430331,ELECTRICAL,04/21/2017,39 BICKFORD,BUFFALO,NY,14215,TIMOTHY   GALLAGHER,MEL11-551531,MASTER ELECTRICIAN,75.00,300.00,0,0903300008001000,281,CHARLES   MOORE,10/21/2017,Power on meter release. Upper unit.,"(42.93774654295201, -78.81186017239682)",42.93774654295201,-78.81186017239682,UNIVERSITY,District E,44.01,1,1005,Kensington-Bailey,2,24,8,11,219,2988,,25,13,7
ELEC17-9427464,ELECTRICAL,02/27/2017,88 OKELL,BUFFALO,NY,14220,M & M ELECTRIC CONSTUCTION CO,MEL11-561026,MASTER ELECTRICIAN,125.00,500.00,0,1336200002001121,710,CHARLES   MOORE,08/27/2017,Energy efficient lighting through National Grid lighting program,"(42.838132848645365, -78.82712818246834)",42.838132848645365,-78.82712818246834,SOUTH,District A,1.10,1,1000,Hopkins-Tifft,4,79,6,9,77,2221,,2,10,14
ELEC17-9445000,ELECTRICAL,12/27/2017,572 GRANT,BUFFALO,NY,14213,MICHAEL D. DIXON DELTEX ELECTRIC  INC.,MEL11-195047,MASTER ELECTRICIAN,125.00,3000.00,0,0885900003006000,281,CHARLES   MOORE,06/27/2018,ESR # 25562461 New 150 amp service,"(42.92951050336189, -78.88923117232272)",42.92951050336189,-78.88923117232272,NORTH,District D,171,5,5007,Upper West Side,5,27,1,2,239,2584,,27,26,3
ELEC17-9428173,ELECTRICAL,03/21/2017,110 DUNDEE,BUFFALO,NY,14220,ADVANCED ELECTRICAL,MEL13-10025833,MASTER ELECTRICIAN,75.00,600.00,0,1336700004037000,210,CHARLES   MOORE,09/21/2017,sump pump circuit / hard wired smoke,"(42.83817837819617, -78.80330812406716)",42.83817837819617,-78.80330812406716,SOUTH,District A,7,2,2000,South Park,4,30,6,9,229,3105,,1,33,12
ELEC17-9444498,ELECTRICAL,12/08/2017,89 SHEFFIELD,BUFFALO,NY,14220,GREER ELECTRIC INC,MEL11-192896,MASTER ELECTRICIAN,125.00,200.00,0,1335600002002000,220,CHARLES   MOORE,06/08/2018,"METER RELEASE UPPER 21579-17034, LOWER 37336-86160","(42.84279398926842, -78.82105078345708)",42.84279398926842,-78.82105078345708,SOUTH,District A,6,1,1002,South Park,4,74,6,9,83,400,,2,33,12
ELEC17-9445067,ELECTRICAL,12/28/2017,112 HUMBER,BUFFALO,NY,14215,MICHAEL GULINO ELECTRIC CORP,MEL11-551576,MASTER ELECTRICIAN,125.00,600.00,0,0906200004022000,220,CHARLES   MOORE,06/28/2018,"Hard wired smoke / co detectors in the basement, one for each apt.","(42.9255098764093, -78.82563418750696)",42.9255098764093,-78.82563418750696,MASTEN,District E,170,2,2010,Delavan Grider,2,16,9,11,285,3282,,19,7,7
ELEC17-9432998,ELECTRICAL,06/03/2017,402 BRECKENRIDGE,BUFFALO,NY,14213,GREER ELECTRIC INC,MEL11-192896,MASTER ELECTRICIAN,125.00,6000.00,0,0992800008028000,220,CHARLES   MOORE,12/03/2017,ESR # 23758587 SERVICE AND REWIRE,"(42.91687191842216, -78.88682531540452)",42.91687191842216,-78.88682531540452,NIAGARA,District D,65.01,4,4003,Elmwood Bidwell,5,49,3,2,205,198,,14,27,3
ELEC17-9431522,ELECTRICAL,04/25/2017,821 CLINTON,BUFFALO,NY,14210,DR. ELECTRIC & HOME REPAIR,MEL11-116365,MASTER ELECTRICIAN,75.00,1300.00,0,1117500003005000,210,CHARLES   MOORE,10/25/2017,100 AMP SERVICE UPGRADE,"(42.880063031728255, -78.84397584038798)",42.880063031728255,-78.84397584038798,FILLMORE,District C,17,2,2016,Broadway Fillmore,3,42,5,19,113,2578,,34,23,10
ELEC17-9435790,ELECTRICAL,08/11/2017,632 AMHERST ST,BUFFALO,NY,14207,MICHAEL J MURPHY,MEL11-551521,MASTER ELECTRICIAN,125.00,2000.00,0,0892100007021000,472,CHARLES   MOORE,02/11/2018,"Install electrical service to garage.  Install electrical outlets, switch, and lights in garage.","(42.9406217403062, -78.8812412260989)",42.9406217403062,-78.8812412260989,NORTH,District D,55,1,1004,Grant-Amherst,5,78,1,10,223,2110,,38,17,1
ELEC17-9430206,ELECTRICAL,04/18/2017,307 NORTH ST EAST,BUFFALO,NY,14204,MICHAEL D. DIXON DELTEX ELECTRIC  INC.,MEL11-195047,MASTER ELECTRICIAN,100.00,900.00,0,1007300006002000,311,CHARLES   MOORE,10/18/2017,"Install new television outlet, refrigerator outlet rewire cook top Install 2-switches and 1 - fan light","(42.902053684718844, -78.8568371275712)",42.902053684718844,-78.8568371275712,ELLICOTT,District B,31,3,3009,Fruit Belt,1,35,4,16,18,1680,,55,32,9
ELEC17-9438280,ELECTRICAL,09/18/2017,129 BERKSHIRE,BUFFALO,NY,14215,JAMESON ELECTRICAL WORKS INC,MEL11-147429,MASTER ELECTRICIAN,100.00,4125.00,0,0902300002005000,210,CHARLES   MOORE,03/18/2018,100Amp Service ReplacementESR# - 249-67-317,"(42.94081028500169, -78.82055915020007)",42.94081028500169,-78.82055915020007,UNIVERSITY,District E,47.01,2,2006,University Heights,2,56,8,11,272,3291,,43,30,7
ELEC17-9432122,ELECTRICAL,05/09/2017,56 COMMONWEALTH,BUFFALO,NY,14216,MR ANTHONY FANTI,MEL11-197488,MASTER ELECTRICIAN,75.00,3000.00,0,0787200002015000,220,CHARLES   MOORE,11/09/2017,2 family service change   esr  23975662,"(42.946146203103474, -78.86192745307504)",42.946146203103474,-78.86192745307504,DELAWARE,District D,49.01,2,2002,North Park,5,51,7,5,124,2687,,28,25,2
ELEC17-9435402,ELECTRICAL,08/03/2017,115 NORWOOD,BUFFALO,NY,14222,NIAGARA ELECTRICAL CONTRACTING,MEL11-501375,MASTER ELECTRICIAN,100.00,5000.00,0,1005300002015000,281,CHARLES   MOORE,02/03/2018,KITH BATH REMOD,"(42.90788090351648, -78.88022253048958)",42.90788090351648,-78.88022253048958,NIAGARA,District B,67.01,4,4000,Elmwood Bryant,1,58,3,12,73,582,,20,5,4
ELEC17-9442447,ELECTRICAL,11/09/2017,2065 DELAWARE,BUFFALO,NY,14216,HDE ELECTRIC INC,MEL11-551615,MASTER ELECTRICIAN,150.00,1.00,0,0890600002001000,486,CHARLES   MOORE,05/09/2018,INSTALL SP 20AMP 120V DEDICATED CIRCUIT FOR AMAZON,"(42.940495352141724, -78.86757482234826)",42.940495352141724,-78.86757482234826,DELAWARE,District D,54,1,1006,Parkside,5,36,7,5,37,936,,9,28,2
ELEC17-9437233,ELECTRICAL,09/11/2017,77 SWEET,BUFFALO,NY,14212,MORGAN F &AMP; W ELECTRIC LLC,MEL11-210514,MASTER ELECTRICIAN,125.00,100.00,0,1123700005051000,220,CHARLES   MOORE,03/11/2018,New 150A Services ESR #245-74270 and 2 smokes.,"(42.89180467997995, -78.83351023107048)",42.89180467997995,-78.83351023107048,FILLMORE,District C,16.01,1,1003,Broadway Fillmore,3,34,5,8,206,3198,,16,23,10
ELEC17-9430019,ELECTRICAL,04/11/2017,9 COUNTESS,BUFFALO,NY,14211,ABEDE DACOSTA,10036364,MASTER ELECTRICIAN,75.00,200.00,0,1014200003025000,220,CHARLES   MOORE,10/11/2017,meter releaseacct # 9886324213,"(42.913888733696815, -78.80476474141312)",42.913888733696815,-78.80476474141312,LOVEJOY,District C,37,2,2000,Schiller Park,3,15,2,4,243,3148,,53,12,8
ELEC17-9431548,ELECTRICAL,04/28/2017,552 MINNESOTA,BUFFALO,NY,14215,TIMOTHY   GALLAGHER,MEL11-551531,MASTER ELECTRICIAN,75.00,1000.00,0,0797300002016000,210,CHARLES   MOORE,10/28/2017,Complete 100 amp service and all grounding per NEC.,"(42.94587343719784, -78.80901022133189)",42.94587343719784,-78.80901022133189,UNIVERSITY,District E,43,3,3000,Kensington-Bailey,2,7,8,11,197,770,,25,13,7
ELEC17-9435191,ELECTRICAL,07/31/2017,874 NORTHLAND,BUFFALO,NY,14215,SIMON ELECTRIC CO INC,MEL11-210490,MASTER ELECTRICIAN,75.00,260.00,0,1012200002005000,220,CHARLES   MOORE,01/31/2018,Reset meter on single familyEMO# 89975-38126     (347) 986-3918,"(42.91892138170861, -78.82701360212681)",42.91892138170861,-78.82701360212681,MASTEN,District E,34,2,2000,Delavan Grider,2,47,9,11,67,1047,,19,7,8
ELEC17-9428024,ELECTRICAL,03/15/2017,57 AMSTERDAM,BUFFALO,NY,14215,GREER ELECTRIC INC,MEL11-192896,MASTER ELECTRICIAN,75.00,1100.00,0,0907000001038000,210,CHARLES   MOORE,09/15/2017,SERVICE UPGRADE ESR # 2180415,"(42.92307913379724, -78.83108873270265)",42.92307913379724,-78.83108873270265,MASTEN,District E,170,3,3009,Delavan Grider,2,16,9,11,285,3046,,19,7,7
ELEC17-9442009,ELECTRICAL,10/30/2017,498 DELAWARE,BUFFALO,NY,14202,SALVATORE SCIANDRA II,MEL11-210504,MASTER ELECTRICIAN,100.00,1.00,0,1007800001014100,464,CHARLES   MOORE,04/30/2018,RENOVATION TO 3RD FLOOR APARTMENT,"(42.89788882296525, -78.87451239102602)",42.89788882296525,-78.87451239102602,FILLMORE,District B,68.02,3,3006,Allentown,1,13,5,15,92,2701,1,32,2,9
ELEC17-9426643,ELECTRICAL,02/01/2017,200 ROEBLING,BUFFALO,NY,14215,RANDY MELTON,MEL11-551596,MASTER ELECTRICIAN,100.00,1.00,0,0907300004008000,220,CHARLES   MOORE,08/01/2017,100 amp service change 2 unit eso 2352-1116,"(42.923643532280515, -78.81160584948661)",42.923643532280515,-78.81160584948661,UNIVERSITY,District E,41,3,3005,Kenfield,2,75,8,11,99,383,,31,15,7
ELEC17-9434193,ELECTRICAL,07/05/2017,350 MAIN,BUFFALO,NY,14202,ZACHER ELECTRIC,501424,MASTER ELECTRICIAN,125.00,10000.00,0,1111300015004100,464,CHARLES   MOORE,01/05/2018,MAIN PLACE TOWER - 19TH FLOOR - WOODS OVIATTMISCELLANEOUS ELECTRICAL WORK,"(42.883617602773256, -78.87512261012661)",42.883617602773256,-78.87512261012661,ELLICOTT,District B,165,1,1035,Central,1,77,4,3,31,3232,,15,4,13
ELEC17-9444315,ELECTRICAL,12/04/2017,193 ROEBLING,BUFFALO,NY,14215,MARK DELORENZO,MEL11-551534,MASTER ELECTRICIAN,100.00,1.00,0,0907300003033000,210,CHARLES   MOORE,06/04/2018,PLUG FOR SUMP PUMP,"(42.92354689019016, -78.81145723006922)",42.92354689019016,-78.81145723006922,UNIVERSITY,District E,41,3,3006,Kenfield,2,75,8,11,99,1258,,31,15,7
ELEC17-9429486,ELECTRICAL,03/29/2017,110 WESTON,BUFFALO,NY,14215,ABEDE DACOSTA,10036364,MASTER ELECTRICIAN,75.00,1300.00,0,0905700004005000,210,CHARLES   MOORE,09/29/2017,100 amp service upgradeEsr# 23739057,"(42.928379283321945, -78.80963833200182)",42.928379283321945,-78.80963833200182,UNIVERSITY,District E,44.02,2,2007,Kenfield,2,63,8,11,202,2760,,31,15,7
ELEC17-9434689,ELECTRICAL,07/19/2017,252 LINWOOD AVE,BUFFALO,NY,14209,MCCARTNEY ELECTRICAL CONT.CORP,MEL11-210538,MASTER ELECTRICIAN,75.00,1.00,0,1004700001008000,210,CHARLES   MOORE,01/19/2018,2ND FL BATH WIRING,"(42.90931925229231, -78.86883910874637)",42.90931925229231,-78.86883910874637,ELLICOTT,District B,67.02,1,1001,Elmwood Bryant,1,52,4,21,74,2821,18,20,5,5
ELEC17-9437342,ELECTRICAL,08/24/2017,139 FORDHAM,BUFFALO,NY,14216,MR WILLIAM CONNORS,MEL11-195040,MASTER ELECTRICIAN,100.00,2200.00,0,0892100005027000,220,CHARLES   MOORE,02/24/2018,Install 2. Meterservice.  Esr# 24562570.   Wcb#  2017059068,"(42.938738965748215, -78.87663981738893)",42.938738965748215,-78.87663981738893,NORTH,District D,54,3,3000,Parkside,5,36,1,5,127,387,,9,28,2
ELEC17-9433399,ELECTRICAL,06/14/2017,269 EDEN,BUFFALO,NY,14220,TIMOTHY   GALLAGHER,MEL11-551531,MASTER ELECTRICIAN,75.00,2000.00,0,1337300006006000,210,CHARLES   MOORE,12/14/2017,Complete 200 amp service and all grounding per NEC. ESR #  24219986,"(42.83636907895857, -78.81385553261366)",42.83636907895857,-78.81385553261366,SOUTH,District A,6,3,3002,South Park,4,74,6,9,180,308,,2,33,12
ELEC17-9444891,ELECTRICAL,12/20/2017,385 RHODE ISLAND,BUFFALO,NY,14213,MODERN ELECTRICAL CONSTRUCTION,MEL11-521957,MASTER ELECTRICIAN,125.00,4500.00,0,0995200002011000,220,CHARLES   MOORE,06/20/2018,run power to new exhaust fan and make up air unit,"(42.910752424278236, -78.887133916319)",42.910752424278236,-78.887133916319,NIAGARA,District B,69.01,1,1005,West Side,1,41,3,2,119,2656,,40,29,4
ELEC17-9437775,ELECTRICAL,09/06/2017,162 HARVARD,BUFFALO,NY,14209,MICHAEL D. DIXON DELTEX ELECTRIC  INC.,MEL11-195047,MASTER ELECTRICIAN,125.00,13200.00,0,0898000003002000,220,CHARLES   MOORE,03/06/2018,Rewire house new 150 amp 2-family service ESR 24882067,"(42.921525627093374, -78.8622773087001)",42.921525627093374,-78.8622773087001,ELLICOTT,District D,169,4,4003,Elmwood Bidwell,5,50,4,21,10,2557,,33,27,5
ELEC17-9441629,ELECTRICAL,10/20/2017,106 EATON,BUFFALO,NY,14208,SIMON ELECTRIC CO INC,MEL11-210490,MASTER ELECTRICIAN,100.00,250.00,0,1005700001068000,210,CHARLES   MOORE,04/20/2018,100amp w/1 meterESO# 24481271  Phone 319-4152,"(42.908486839395366, -78.85862915573497)",42.908486839395366,-78.85862915573497,ELLICOTT,District B,168.01,1,1001,Masten Park,1,25,4,22,160,518,,30,16,5
ELEC17-9441445,ELECTRICAL,10/17/2017,85 CHERRY,BUFFALO,NY,14204,PAUL DUGAS SR,MEL11-195049,MASTER ELECTRICIAN,100.00,1000.00,0,1113200008011100,330,CHARLES   MOORE,04/17/2018,"200 amp service upgrade underground to pole. ESR 25176001 and NGrid lists address as 89 Cherry. This is closest address we could find, and the pole is on the corner of Cherry and Hickory. We didn't receive response from Buffalo permits when we requested further info. on the address so please note the meter # is 42-353-285. thank you! Also need some proof of inspection for customer if possible.","(42.89345298078293, -78.86289805022741)",42.89345298078293,-78.86289805022741,ELLICOTT,District B,25.02,3,3018,Pratt-Willert,1,2,4,16,58,1344,,52,22,9
ELEC17-9438014,ELECTRICAL,09/11/2017,203 VILLA,BUFFALO,NY,14216,HOT WIRED ELECTRICAL,MEL13-10025838,MASTER ELECTRICIAN,100.00,300.00,0,0784000002019000,210,CHARLES   MOORE,03/11/2018,install 20 amp line and gfci for sump pump,"(42.95790037454156, -78.86176265160726)",42.95790037454156,-78.86176265160726,DELAWARE,District D,51,3,3001,North Park,5,46,7,5,246,856,,28,25,2
ELEC17-9425982,ELECTRICAL,01/10/2017,54 HAYDEN,BUFFALO,NY,14210,PETER CASTRONOVO,MEL11-561082,MASTER ELECTRICIAN,125.00,2000.00,0,1237300003021000,220,CHARLES   MOORE,07/10/2017,150-amp overhead service with 2-100-amp panels. ESR#23339220,"(42.85803603779969, -78.81096505838653)",42.85803603779969,-78.81096505838653,SOUTH,District A,10,5,5004,Seneca-Cazenovia,4,22,6,19,152,2346,,24,19,12
