"tipo_de_pqrsdf","tem_tica","remitente","pa_s","departamento","municipio","dependencia_actual","fecha_de_radicaci_n"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-02-28T15:11:16.877"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Fusagasugá","2017-02-28T15:16:40.147"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Grupo del Centro de Atención al Servidor ","2017-02-28T15:18:52.463"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Grupo Hojas de Vida y Archivo","2017-02-28T15:18:52.463"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Bolívar","2017-02-28T15:26:38.203"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría 1 Delegada Para La Vigilancia Administrativa","2017-02-28T16:03:33.170"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Grupo Especial de Supervigilancia al Derecho de Petición","2017-02-28T16:16:05.447"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","","","Oficina de Tecnología, Innovación y Transformación Digital","2017-02-28T17:42:52.737"
"Queja","Queja","Registrado","COLOMBIA","TOLIMA","IBAGUE","Proc Regional Tolima","2017-02-28T18:18:58.603"
"Queja","Queja","Registrado","COLOMBIA","TOLIMA","IBAGUE","Proc Regional Tolima","2017-02-28T18:18:58.603"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","<b>Procuraduría Delegada para las Fuerzas Militares</b>-(desactivado)","2017-02-28T18:22:28.790"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Valle","2017-02-28T18:30:59.597"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Vichada","2017-02-28T18:45:10.037"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","VALLE DEL CAUCA","TULUA","Proc Provincial Buga","2017-02-28T19:59:29.097"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","ANTIOQUIA","BELLO","Proc Regional Antioquia","2017-02-28T20:18:29.067"
"Queja","Queja","Registrado"," "," "," ","Proc Primera Distrital","2017-02-28T22:28:28.353"
"Queja","Queja","Registrado","COLOMBIA","CESAR","SAN ALBERTO","Proc Regional Cesar","2017-03-01T00:30:31.257"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","RISARALDA","MARSELLA","Proc Provincial Pereira","2017-03-01T00:42:44.720"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","LA GUAJIRA","HATONUEVO","Proc Regional Guajira","2017-03-01T07:44:43.620"
"Queja","Queja","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-01T08:25:49.787"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","División Centro de Atención al Público  - CAP","2017-03-01T09:11:31.207"
"Queja","Queja","Registrado","COLOMBIA","VALLE DEL CAUCA","LA UNION","Proc Regional Valle","2017-03-01T09:17:56.563"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Facatativá","2017-03-01T10:04:05.197"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Pasto","2017-03-01T10:04:39.250"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Puerto Berrío","2017-03-01T10:30:39.780"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Nariño","2017-03-01T11:12:48.857"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-03-01T11:20:09.513"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-01T11:40:49.950"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Sogamoso","2017-03-01T12:23:15.083"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Valledupar","2017-03-01T13:24:06.063"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-03-01T13:27:14.667"
"Queja","Queja","Registrado","COLOMBIA","","","Proc Provincial Zipaquirá","2017-03-01T13:54:37.297"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","ANTIOQUIA","MARINILLA","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-03-01T14:48:35.293"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","ANTIOQUIA","MARINILLA","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-01T14:48:35.293"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","SUCRE","SINCELEJO","Proc Regional Sucre","2017-03-01T15:00:45.193"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Primera Distrital","2017-03-01T15:01:06.193"
"Queja","Queja","Registrado","COLOMBIA","ANTIOQUIA","CALDAS","Oficina de Tecnología, Innovación y Transformación Digital","2017-03-01T15:27:18.653"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Regional Caquetá","2017-03-01T16:05:10.667"
"Queja","Queja","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-01T16:11:25.530"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Cundinamarca","2017-03-01T16:32:27.740"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","","","Grupo Especial de Supervigilancia al Derecho de Petición","2017-03-01T17:23:59.183"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Provincial Barranquilla","2017-03-01T20:28:09.810"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría 2 Delegada para la Vigilancia Administrativa","2017-03-01T21:02:40.330"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Boyacá","2017-03-01T22:15:22.090"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Primera Distrital","2017-03-01T22:41:45.783"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","SANTANDER","BUCARAMANGA","Grupo Especial de Supervigilancia al Derecho de Petición","2017-03-02T07:07:04.223"
"Queja","Queja","Registrado","COLOMBIA","ANTIOQUIA","BELLO","Proc Provincial Valle del Aburrá","2017-03-02T07:43:48.777"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","LA GUAJIRA","RIOHACHA","Procuraduria Delegada para la Defensa de los Derechos de la Infancia, la Adolescencia Familia y las Mujeres","2017-03-02T08:54:10.817"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Girardot","2017-03-02T09:09:59.420"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","SANTANDER","SOCORRO","Pr. División de Relacionamiento con el ciudadano","2017-03-02T10:03:56.420"
"Queja","Queja","Registrado","COLOMBIA","VALLE DEL CAUCA","LA UNION","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-03-02T10:09:54.057"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Grupo del Sistema de Información de Registro de Sanciones y Causas de Inhabilidad -   SIRI","2017-03-02T10:13:59.267"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Procuraduría Auxiliar para Asuntos Constitucionales","2017-03-02T10:37:40.720"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Grupo Especial de Supervigilancia al Derecho de Petición","2017-03-02T10:37:40.720"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-02T11:22:43.820"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","SANTANDER","BUCARAMANGA","Pr. División de Relacionamiento con el ciudadano","2017-03-02T12:45:13.880"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","SANTANDER","BUCARAMANGA","Pr. División de Relacionamiento con el ciudadano","2017-03-02T13:04:06.577"
"Queja","Queja","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-02T13:20:36.880"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Primera Distrital","2017-03-02T13:41:45.230"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría Provincial Ibagué","2017-03-02T14:31:58.887"
"Queja","Queja","Registrado","COLOMBIA","CUNDINAMARCA","ANAPOIMA","Proc Provincial Valle del Aburrá","2017-03-02T15:07:29.187"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","ANTIOQUIA","BELLO","Proc Provincial Valle del Aburrá","2017-03-02T15:21:13.260"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","CUNDINAMARCA","ANAPOIMA","Proc Provincial Valle del Aburrá","2017-03-02T15:25:18.840"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Oficina de Prensa","2017-03-02T15:35:05.737"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Segunda Distrital","2017-03-02T15:35:57.770"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Grupo del Centro de Atención al Servidor ","2017-03-02T15:45:31.463"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Grupo Hojas de Vida y Archivo","2017-03-02T15:45:31.463"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-02T15:55:31.940"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","CAUCA","POPAYAN","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-03-02T16:23:29.987"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Grupo Especial de Supervigilancia al Derecho de Petición","2017-03-02T17:30:33.933"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Cali","2017-03-02T17:35:28.587"
"Reclamo","Reclamo","Registrado"," "," "," ","Proc Provincial Barrancabermeja","2017-03-02T17:55:52.550"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Sta. Rosa de Viterbo","2017-03-02T20:33:19.870"
"Queja","Queja","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-02T21:45:23.277"
"Solicitud de información con identificación reservada","Solicitud de información con identificación reservada","Registrado"," "," "," ","Procuraduria Delegada para la Defensa del Patrimonio Público, la Transparencia y la Integridad    ","2017-03-02T21:54:05.100"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","VALLE DEL CAUCA","CALI","Proc Segunda Distrital","2017-03-03T06:02:54.130"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Vaupés","2017-03-03T08:20:30.713"
"Reclamo","Reclamo","Registrado"," "," "," ","Proc Provincial Cali","2017-03-03T08:46:05.743"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Cúcuta","2017-03-03T09:01:33.720"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Provincial Barranquilla","2017-03-03T09:35:57.670"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","CUNDINAMARCA","SOACHA","Proc Provincial Fusagasugá","2017-03-03T09:40:35.067"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-03T09:47:46.577"
"Queja","Queja","Registrado"," "," "," ","División Administrativa","2017-03-03T10:02:46.267"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Delegada para el Ministerio Público en Asuntos Penales","2017-03-03T10:09:57.187"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Oficina Jurídica","2017-03-03T10:14:21.747"
"Queja","Queja","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Segunda Distrital","2017-03-03T10:45:36.653"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","<b>Procuraduría Delegada para la Prevención en Materia de Derechos Humanos y Asuntos Étnicos</b>-(desactivado)","2017-03-03T11:32:21.613"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Zipaquirá","2017-03-03T11:39:52.593"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Popayán","2017-03-03T14:43:03.107"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","NORTE DE SANTANDER","PAMPLONA","<b>Grupo de Transparencia y del Derecho de Acceso a la Información Pública</b>-(desactivado)","2017-03-03T14:45:59.503"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-03-03T14:52:02.727"
"Reclamo","Reclamo","Registrado"," "," "," ","Grupo del Sistema de Información de Registro de Sanciones y Causas de Inhabilidad -   SIRI","2017-03-03T16:00:18.627"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOYACA","TUNJA","Proc Primera Distrital","2017-03-03T17:38:46.187"
"Queja","Queja","Registrado","COLOMBIA","SANTANDER","FLORIDABLANCA","Proc Primera Distrital","2017-03-03T17:41:07.563"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Huila","2017-03-03T19:18:11.867"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","VALLE DEL CAUCA","CALI","Proc Provincial Buenaventura","2017-03-03T23:29:36.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","HUILA","GARZON","Procuraduría Delegada para Asuntos Civiles y Laborales","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Delegada para Asuntos Civiles y Laborales","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Segunda Distrital","2017-03-06T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Cali","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Segunda Distrital","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Segunda Distrital","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","HUILA","GARZON","Procuraduria Delegada para la Defensa de los Derechos de la Infancia, la Adolescencia Familia y las Mujeres","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Segunda Distrital","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","División de Relacionamiento con el Ciudadano","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","HUILA","GARZON","División de Relacionamiento con el Ciudadano","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","NARIÑO","MAGÜI","División de Relacionamiento con el Ciudadano","2017-03-06T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Primera Distrital","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Auxiliar para Asuntos Constitucionales","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Primera Distrital","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Primera Distrital","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","VALLE DEL CAUCA","PALMIRA","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-06T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Garzón","2017-03-06T00:00:01.000"
"Queja","Queja","Registrado"," "," "," ","<b>Procuraduría Delegada para las Fuerzas Militares</b>-(desactivado)","2017-03-06T00:00:01.000"
"Queja","Queja","Registrado","COLOMBIA","","","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc 28 Jud II Ambiental y Agra Pereira","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Provincial Pereira","2017-03-06T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Pereira","2017-03-06T00:00:01.000"
"Solicitud de información con identificación reservada","Solicitud de información con identificación reservada","Registrado"," "," "," ","<b>Grupo de Transparencia y del Derecho de Acceso a la Información Pública</b>-(desactivado)","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","DESPACHO PROCURADOR GENERAL","2017-03-06T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Valle del Aburrá","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-03-06T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría 2 Delegada para la Vigilancia Administrativa","2017-03-06T00:00:01.000"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Procuraduría 2 Delegada para la Vigilancia Administrativa","2017-03-06T00:00:01.000"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","","","Grupo Especial de Supervigilancia al Derecho de Petición","2017-03-06T00:00:01.000"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","ANTIOQUIA","BELLO","Grupo Especial de Supervigilancia al Derecho de Petición","2017-03-06T00:00:01.000"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","","","Grupo Especial de Supervigilancia al Derecho de Petición","2017-03-06T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría Auxiliar para Asuntos Disciplinarios","2017-03-06T00:00:01.000"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Cauca","2017-03-06T00:00:01.000"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Sucre","2017-03-06T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Caquetá","2017-03-06T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Secretaría Privada","2017-03-06T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Zipaquirá","2017-03-06T00:57:28.880"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","SANTANDER","FLORIDABLANCA","Grupo Especial de Supervigilancia al Derecho de Petición","2017-03-06T08:29:37.173"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Primera Distrital","2017-03-06T08:43:15.160"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-03-06T09:35:51.637"
"Queja","Queja","Registrado","COLOMBIA","ANTIOQUIA","LA CEJA","Proc Provincial Armenia","2017-03-06T09:41:28.100"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","ANTIOQUIA","CAUCASIA","Proc Provincial Yarumal","2017-03-06T09:45:42.403"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Santafé de Antioquia","2017-03-06T10:29:35.860"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Barranquilla","2017-03-06T12:20:17.777"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Primera Distrital","2017-03-06T13:10:52.510"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Primera Distrital","2017-03-06T14:40:11.677"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduria Delegada para la Defensa de los Derechos de la Infancia, la Adolescencia Familia y las Mujeres","2017-03-06T14:41:14.160"
"Queja","Queja","Registrado","COLOMBIA","SUCRE","SINCELEJO","Proc Primera Distrital","2017-03-06T15:02:42.797"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-03-06T15:37:20.900"
"Queja","Queja","Registrado"," "," "," ","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-03-06T15:59:01.797"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Oficina Jurídica","2017-03-06T16:12:11.613"
"Solicitud de información con identificación reservada","Solicitud de información con identificación reservada","Registrado"," "," "," ","Procuraduria Delegada para la Defensa del Patrimonio Público, la Transparencia y la Integridad    ","2017-03-06T16:16:49.947"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","VALLE DEL CAUCA","CALI","Grupo Especial de Supervigilancia al Derecho de Petición","2017-03-06T16:19:52.067"
"Queja","Queja","Registrado","COLOMBIA","SANTANDER","BUCARAMANGA","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-03-06T16:40:56.830"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Barranquilla","2017-03-06T17:39:55.630"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Cúcuta","2017-03-06T17:42:43.757"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc 1 Del Contratación Estatal","2017-03-06T17:57:15.917"
"Queja","Queja","Registrado","COLOMBIA","","","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-06T18:01:12.673"
"Agradecimiento","Agradecimiento","Registrado"," "," "," ","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-03-06T18:18:55.083"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","<b>Procuraduría Delegada para las Fuerzas Militares</b>-(desactivado)","2017-03-06T18:43:29.840"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Antioquia","2017-03-06T18:58:18.167"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","División de Relacionamiento con el Ciudadano","2017-03-06T22:01:49.543"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado"," "," "," ","Grupo Especial de Supervigilancia al Derecho de Petición","2017-03-06T22:25:46.717"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-03-07T07:09:33.637"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Proc Regional Norte de Santander","2017-03-07T09:38:24.683"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Antioquia","2017-03-07T10:18:20.100"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduria Delegada para la Defensa de los Derechos de la Infancia, la Adolescencia Familia y las Mujeres","2017-03-07T10:22:52.803"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","RISARALDA","PEREIRA","Proc Primera Distrital","2017-03-07T10:44:46.180"
"Queja","Queja","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Proc Provincial Valle del Aburrá","2017-03-07T10:46:42.823"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Yarumal","2017-03-07T10:51:29.357"
"Queja","Queja","Registrado","COLOMBIA","RISARALDA","SANTA ROSA DE CABAL","Oficina de Tecnología, Innovación y Transformación Digital","2017-03-07T11:30:41.087"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","División Centro de Atención al Público  - CAP","2017-03-07T11:33:47.210"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Regional Antioquia","2017-03-07T13:03:54.967"
"Queja","Queja","Registrado"," "," "," ","Grupo de Invest. y Juzgamiento","2017-03-07T14:21:09.777"
"Queja","Queja","Registrado"," "," "," ","Procuraduría Delegada para el Ministerio Público en Asuntos Penales","2017-03-07T14:21:09.777"
"Queja","Queja","Registrado"," "," "," ","Veeduría","2017-03-07T14:32:02.680"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Rionegro","2017-03-07T15:02:13.210"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Provincial Girardot","2017-03-07T15:23:04.077"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Cúcuta","2017-03-07T15:24:23.047"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Regional Cundinamarca","2017-03-07T16:27:40.270"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Caquetá","2017-03-07T16:29:21.727"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-03-07T16:36:47.877"
"Reclamo","Reclamo","Registrado"," "," "," ","Proc Regional Casanare","2017-03-07T17:00:39.620"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","División de Relacionamiento con el Ciudadano","2017-03-07T18:18:09.910"
"Queja","Queja","Registrado","COLOMBIA","META","VILLAVICENCIO","Proc Provincial Villavicencio","2017-03-07T18:22:06.367"
