"nombre_punto_de_recolecci","direcci_n_punto_de_recolecci","ciudad","departamento","pa_s","categoria_residuo","tipo_residuo","nombre_residuo","ubicacion","horario","nombre_programa_posconsumo","persona_contacto","correo_electr_nico"
"DROGUERÍA INGLESA","Cra. 9 #13a-70, Valledupar, Cesar, Colombia","Valledupar","Cesar","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(10.4785069, -73.2497418)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"SUPERMERCADO 3","Cra. 4 #3-62, Chaguani, Chaguaní, Cundinamarca, Colombia","Chaguaní","Cundinamarca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.9499369, -74.5945575)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Makro Calle 80","Cl. 81b #72-2 a 72-30, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para buses","Llantas","(4.6967908539085, -74.087063072214)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"Variedades","Cl. 21 #76-48, Bello, Antioquia, Colombia","Bello","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.3141777, -75.5816679)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Mondongos - Maria Julieta Vargas de Velasquez","Cl. 10 #38-38, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.2095484, -75.5676995)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Credillantas Bucaramanga","Avenida Quebradaseca # 24 - 51, Bucaramanga, Santander, Colombia","Bucaramanga","Santander","Colombia","Llantas","Para vehículos de carga","Llantas","(7.1255011312292, -73.121544336504)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"Luz Maria Rodriguez","Tuluá, Valle del Cauca, Colombia","Tuluá","Valle del Cauca","Colombia","Pilas","De todo tipo","Pilas","(4.0439795984579, -76.103608475)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"SANTO TOMAS EDIFICIO DR. ANGELICO","Cra. 9 #72-99, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6568765059549, -74.056296175463)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Llantas Y Rines El Boyaco","Diagonal 7 # 38 - 37, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para camionetas","Llantas","(4.6149479, -74.104078)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"FARMA DE COLOMBIA","Alameda de los Descalzos #94-65, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.6796233, -74.0494853)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"MABE - MANIZALES","Cra. 21 #67-40 a 67-112, Manizales, Caldas, Colombia","Manizales","Caldas","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(5.0486537151018, -75.480985103705)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"CENTRO DE ESPECIALISTAS SAN JOSÉ","Cl. 12a #1 Este-2 a 1 Este-180, Cúcuta, Norte de Santander, Colombia","Cúcuta","Norte de Santander","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(7.8857646181473, -72.497281685506)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"COMANDO DEPARTAMENTO POLICIA ARAUCA","Cl. 15, Arauca, Colombia","Arauca","Arauca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(7.0832904096062, -70.745817503149)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"CONSUMO PEDREGAL","Cra. 74 #104-2 a 104-56, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(6.3018913881213, -75.572438182803)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"EL FESTIVAL DE LA COSA","Cl. 31 Sur, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6000998, -74.1232298)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Escuela Carlos Obando","Cra. 67a #42-24, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.2466994, -75.5855959)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"CENTRO COMERCIAL MIRAMAR","Centro Comericla Miramar, Cra. 43 #99-50, Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(11.003373616459, -74.835244233868)","SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Energiteca Itagüí","Carrera 42 # 46 - 33, Itagüi, Antioquia, Colombia","Itagüi","Antioquia","Colombia","Llantas","Para camionetas","Llantas","(6.1657648, -75.609739)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"DROGUERIA PIZA","Cl. 1b #52B-36, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6123532115976, -74.119548260119)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"LA REBAJA PALERMO No 1","Cra. 19 #45-4, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.6333402, -74.0718664)","DOM 09:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"TIENDA MIXTA","Av. 4 Oe. #76, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(3.4514025, -76.5403713)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Distrillantas R Y R","Avenida Quito Carrera 30 # 64 A 86, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para vehículos de carga","Llantas","(4.6600860812639, -74.076711658722)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"SEDE ADMINISTRATIVA DE LA CAJA DE COMPENSACION FAMILIAR CAFAM","Ak 68 #90-88, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6865188, -74.0739124)","SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"AGROPECUARIA EL CIMARRÓN","CALLE 31 No. 34-04 Villavicencio, Meta.","indefinido","indefinido","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.1438920656893, -73.635232386883)","LUN,MAR,MIE,JUE,VIE 09:00:00 a 16:00:00","Corporación Punto Azul","Daniela Duarte","coordinacion@puntoazul.com.co"
"BRIGADA AÉREA","Rionegro, Antioquia, Colombia","Rionegro","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.170778981021, -75.426240090332)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Emvarias E.S.P.","calle 44 # 50 - 42,Medellin","indefinido","indefinido","Colombia","Llantas","Para carros","Llantas","(4.570868, -74.297333)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"Tienda Avacel","Bello, Antioquia, Colombia","Bello","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.3127998292446, -75.580842524234)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"DROGUERIA MERCURIO SOACHA","40, Soacha, Cundinamarca, Colombia","Soacha","Cundinamarca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.5879376, -74.2041603)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Variedades Gastar","Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.2653554493467, -75.54854534418)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Ventura Plaza","Cl. 11, Cúcuta, Norte de Santander, Colombia","Cúcuta","Norte de Santander","Colombia","Computadores","O impresoras","Computadores Portátiles O impresoras O perisféricos","(7.888105, -72.4965396)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 20:00:00","Corporación Ecocomputo","Edgar Erazo","logistica@ecocomputo.com"
"Universidad del Norte","Km 5 Vía Antigua Vía Puerto Colombia, Barranquilla, Atlántico, Colombia","Atlántico","Colombia","Colombia","Computadores","O impresoras","Computadores Portátiles O impresoras O perisféricos","(4.570868, -74.297333)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 16:00:00","Corporación Ecocomputo","Edgar Erazo","logistica@ecocomputo.com"
"EL CALVEL ROJO","Cra. 1e, Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(10.9317964, -74.7993202)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"ÉXITO MELGAR","Cra. 15 #6-8, Melgar, Tolima, Colombia","Melgar","Tolima","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.205068, -74.63602)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Droguería ser vital","Cl. 39 #26e-48, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.2324917, -75.5546692)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Almacén Medellín DM","Tierralta, Córdoba, Colombia","Tierralta","Córdoba","Colombia","Pilas","De todo tipo","Pilas","(8.1770508332829, -76.060682216919)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Junta de acción comunal terrazas de campohermoso","Manizales, Caldas, Colombia","Manizales","Caldas","Colombia","Pilas","De todo tipo","Pilas","(5.0766989290213, -75.520855886508)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Instituto tecnológico metropolitano ITM","Tv. 73, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.2735466416555, -75.588673925192)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"CLINICA DEL CAFE 2","Cra. 12 #0N-75, Armenia, Quindío, Colombia","Armenia","Quindío","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.5381188, -75.66542)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Tienda Luis Fernando Giraldo","Cra. 8 #22-37, Supía, Caldas, Colombia","Supía","Caldas","Colombia","Pilas","De todo tipo","Pilas","(5.4483288, -75.6513965)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"GALLO DE ORO","Cra. 10 #9-28, Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(10.9504179, -74.7692225)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"ALM Medellin","Tv. 15 #8-15, Montería, Córdoba, Colombia","Montería","Córdoba","Colombia","Pilas","De todo tipo","Pilas","(8.7344474, -75.8839586)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Lucho Cel","Cra. 45 #77-63, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.2705949, -75.554613)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"VIVA VILLAVICENCIO CENTRO COMERCIAL (LA SABANA CENTRO COMERCIAL)","Exito, Villavicencio, Meta, Colombia","Villavicencio","Meta","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.125658530238, -73.638277267529)","SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"GRANERO","Cra. 83 #17-45, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(3.3858094, -76.5272633)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"PORTICO","Cra. 5 #13-7 a 13-199, Facatativá, Cundinamarca, Colombia","Facatativá","Cundinamarca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.8179327506799, -74.358659950432)","SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"PANADERIA EL VECINO","Cl. 36 Sur, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.5536259, -74.0880748)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"HOMECENTER SUBA","Cl. 151c #104-1 a 104-99, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Plaguicidas","Uso doméstico","Plaguicidas","(4.7517603116208, -74.094975025131)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Cierra el ciclo","JAIME EDUARDO FORERO CABRERA","info@cierraelciclo.com"
"Stereo Alarmas","Cl. 22 #28-10, Marinilla, Antioquia, Colombia","Marinilla","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.1680454, -75.3351577)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"CRISTINA VERGARA","Cl. 96 #11b-14, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6799344, -74.0465617)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"LEGIS S.A.","Cl. 19 #6-48, Pereira, Risaralda, Colombia","Pereira","Risaralda","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.8152814, -75.6943503)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"ALCALDÍA DE ARBELAEZ","Cl. 4 #6-15, Arbeláez, Cundinamarca, Colombia","Arbeláez","Cundinamarca","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.2716855, -74.4147154)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:30:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"DROGUERÍA Y SUPERTIENDA ALFA","Cra. 7 #9-63, Tocancipá, Cundinamarca, Colombia","Tocancipá","Cundinamarca","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.9654112, -73.9144954)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Tu Llanta Com. Santa Barbara","Avenida Carrera 15 # 106 - 72, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para vehículos de carga","Llantas","(4.6914437, -74.0450661)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"Servicios Medicos San Ignacio- SMSI","Cra. 44 #48-51, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.246276, -75.5646949)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"I.E.D.S. Sede Chipre","Rionegro, Antioquia, Colombia","Rionegro","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.1120663749179, -75.411992196045)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"DROGUERÍA COLSUBSIDIO ZIPAQUIRÁ","Cra. 8 #6-55, Zipaquirá, Cundinamarca, Colombia","Zipaquirá","Cundinamarca","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(5.0247841, -74.0027383)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"DROGUERÍA COLSUBSIDIO ZIPAQUIRÁ","Cra. 8 #6-55, Zipaquirá, Cundinamarca, Colombia","Zipaquirá","Cundinamarca","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(5.0247841, -74.0027383)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"DROGUERÍA SUPERMARKET ALFA","Cra. 2 #4-99, Tenjo, Cundinamarca, Colombia","Tenjo","Cundinamarca","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.8734221, -74.1444204)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Comercializadora Toto Tire S.A.S.","Carrera 23 # 7 - 95, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para buses","Llantas","(4.6046815761408, -74.091328921579)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"AUDIFARMA SEDE PEREIRA","Cl. 105 #14-140, Pereira, Risaralda, Colombia","Pereira","Risaralda","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.8114396, -75.7645758)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"LABORATORIOS MERCK CAPITAL TOWER","Cra. 7 #100-11 a 100-99, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.6800710813702, -74.037929161777)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"TIENDA EL PÁJARO LOCO","Cl. 21 #80c-54, Bello, Antioquia, Colombia","Bello","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.3149435, -75.5849469)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Municipio de Toledo","Cra. 10 #10-30, Toledo, Antioquia, Colombia","Toledo","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(7.0113957, -75.6914943)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Inst. Educativa La Paz","Cl. 19 #17-49, La Ceja, Antioquia, Colombia","La Ceja","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.0295393, -75.4293756)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Puerto López","Puerto López, Meta, Colombia","Puerto López","Meta","Colombia","Llantas","Para camionetas","Llantas","(4.091354, -72.955918)","MIE,JUE 09:00:00 a 17:00:00","Ministerio Ambiente Desarrollo Sostenible","Sebastián Santa Moyano","servicioalciudadano@minambiente.gov.co"
"Local Tigo","Cra. 10 #7-2, Floridablanca, Santander, Colombia","Floridablanca","Santander","Colombia","Pilas","De todo tipo","Pilas","(7.0619058, -73.0844172)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Rines Y Llantas El Negro J","Carrera 23 # 8 - 40 Local 2 Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para camiones","Llantas","(4.6051161697316, -74.09095807424)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"ÉXITO GRAN ESTACIÓN","Avenida Esperanza, No.62 - 49, BOGOTA D.C","No.62 - 49","BOGOTA D.C","Colombia","Plaguicidas","Uso doméstico","Plaguicidas","(4.570868, -74.297333)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Cierra el ciclo","JAIME EDUARDO FORERO CABRERA","info@cierraelciclo.com"
"MEGATRONICA","Cl. 21 #8-1 a 8-99, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6078220175219, -74.072113867459)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"FULL MARKET","Cl. 128b #18-80, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.7127313, -74.0475975)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Alcaldía Municipal de Chinchiná","Chinchiná, Caldas, Colombia","Chinchiná","Caldas","Colombia","Pilas","De todo tipo","Pilas","(4.9836705689317, -75.605946645508)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Energiteca Palace","Carrera 50 # 39 - 64, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Llantas","Para buses","Llantas","(6.2405137684212, -75.571352876652)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"Ferro Brisas","Cra. 65 #116a-6, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.3102848, -75.5638496)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"MINIM  LA 44","Cl. 44 #94-60, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(6.2548808, -75.6113544)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"DROGUERÍA FUNZA COLSUBSIDIO","Funza-Cota #17a-1 a 17a-115, Funza, Cundinamarca, Colombia","Funza","Cundinamarca","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.7153528446722, -74.206385660791)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Energiteca 7 De Agosto","Cl. 63f #26-41, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para camiones","Llantas","(4.655777, -74.0732946)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"COLEGIO NUESTRA SEÑORA DE LAS LAJAS","Pasto, Nariño, Colombia","Pasto","Nariño","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(1.2112692, -77.2923991)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Los Guares","Aguadas, Caldas, Colombia","Aguadas","Caldas","Colombia","Pilas","De todo tipo","Pilas","(5.6027982824066, -75.451118583823)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"ÉXITO CASTELLANA","Dg. 31 #67-24 a 67-76, Cartagena, Bolívar, Colombia","Cartagena","Bolívar","Colombia","Plaguicidas","Uso doméstico","Plaguicidas","(10.393932030547, -75.486420112164)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Cierra el ciclo","JAIME EDUARDO FORERO CABRERA","info@cierraelciclo.com"
"CENTRO COMERCIAL PALATINO","Cra. 7 #138-1 a 138-99, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.7158495213318, -74.029132382278)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
