"nombreestablecimiento","direccion","telefono","codigo_etc","internado","correo_electronico"
"LIC MALLERLAND                                                                                      ","KR 107 140 A 79","6876445  -- 6976299","OLGA PATRICIA PEÑA BECERRA",,"liceomallerland6@hotmail.com"
"LIC MI VIVIR MAGICO                                                                                 ","KR 6 ESTE 37 C 19 SUR","2068415","ARACELY POVEDA GONZALEZ",,"liceomagico2002@yahoo.com"
"LIC LOS CENTAUROS                                                                                   ","CL 67 D 105 B 04","4428463","JHON JAIRO FORERO",,"liceoloscentauros@hotmail.com -- jairoyayo@hotmail.com"
"LIC LAS MERCEDES                                                                                    ","CL 97 67 A 05","2239920","FANNY BARRETO GUTIERREZ",,"liceolosalcazares@hotmail.com  licmer@gmail.com"
"LIC LOS ALCAZARES                                                                                   ","KR 26 68 95","2505743 -- 2239920 ","DILIANA ABELLA DELGADO",,"liceolosalcazares@hotmail.com"
"LIC LORENZO GRACIAN                                                                                 ","KR 15 A BIS 31 F 23 SUR","2789568","ALCIRA CHAPARRO FONSECA",,"liceolorenzogracian77@hotmail.com"
"LIC  CULT LOPEZ OSORIO                                                                              ","CL 71 SUR 87 15","5738522    / 7852958","OMAR LOPEZ VILLAMARIN",,"liceolopezosorio@hotmail.com"
"LICEO CULTURAL LUIS ENRIQUE OSORIO","CL 67 SUR 87 P 16","7837537 / 7836221                                 ","EDGAR TORRES RAMIREZ",,"liceoleo@hotmail.com -- liceoleo1@gmail.com"
"LIC INF LE FOUNTAIN                                                                                 ","CL 48 D SUR 9 33","7697594","GLADYS REY",,"liceo.lefountain@hotmail.com"
"LIC LATINOAMERICANO DEL SUR","CL 80 SUR 1 H 13","7645719","MARTHA INES GIRON AVENDAÑO",,"liceolatinolls@hotmail.com"
"LIC NSTRA SRA DE LAS NIEVES                                                                         ","CL 38 C SUR 87 F 30","4516270 --  4001958","JOSE ALCIDES SANABRIA SEDANO",,"liceolasnieves@outlook.com"
"LIC LA REAL ENSEÑANZA                                                                               ","CL 139 38 13","6272236","FRANCELINA LOPEZ DE PINILLA ",,"liceolare@hotmail.com"
"LIC LA FORTALEZA                                                                                    ","KR 3 F ESTE 18 25 SUR","2067015 -- 2677187","CLARA YOHANNA CASTILLO PINZON",,"liceolafortalezasanblas@hotmail.com"
"LIC KURT LEWIN                                                                                      ","CL 128 B 41 24","5221158","EMILSE ROMERO GARCIA",,"liceokurtlewin_128@msn.com                        "
"LIC JORGE ROBLEDO                                                                                   ","CL 49 A SUR 5 Z 43","2056572","ARCENIA MERCEDES SIERRA DE LA HOZ",,"liceojorgerobledo2007@yahoo.com"
"LIC JUAN MIGUEL                                                                                     ","KR 5 48 U 04 SUR","7712185","FILEMON RAMIREZ GALINDO",,"liceojm10@hotmail.com                             "
"LIC PEDAG LOS JILGUEROS                                                                             ","DG 6 B 78 A 50","2929884 / 2927621                                 ","MAGDALENA CRUZ NAVARRO",,"liceojilgueros@hotmail.com"
"LIC JEFFERSON                                                                                       ","KR 87 I 33 06 SUR","2659592","MARIA CRISTINA GUTIERREZ CERVANTES",,"liceo_jefferson07@yahoo.es"
"LIC MODERNO JACQUES IVES COUSTEAU                                                                   ","CL 63 F 115 29","4401560","GLORIA ESPERANZA ZAMBRANO CAMACHO",,"liceo-jacques@hotmail.com"
"LIC INTEGRAL SAN CARLOS                                                                             ","KR 17 52 83 SUR","7606560","PATRICIA ROCHA CAICEDO",,"liceointegralsancarlos@yahoo.es"
"COL PARROQ MONSEÑOR EMILIO DE BRIGARD                                                               ","KR 52 C 26 40 SUR","2301074","ROBERTO RAMIREZ CASTRO",,"liceoinfantilsantarita72@hotmail.com"
"LIC HOMERICO                                                                                        ","CL 133 101 27","7552086","PEDRO DANIEL BETANCOURT ROJAS",,"liceohomerico@gmail.com - rectorhomerico@gmail.com                     "
"LIC EL GRAN VIRREY                                                                                  ","CL 70 D BIS A 105 A 63","7568460","LUIS JAVIER CALDAS CALONJE",,"liceo_gran_virrey@yahoo.es -- granvirrey@007mundo.com"
"LIC GLOBERTH MIXTO                                                                                  ","CL 128 88 D 02","5351908 -- 6813234","GLORIA MOLANO DE BULLA",,"liceogloberth@hotmail.com"
"LICEO MODERNO GABRIELA MISTRAL","CL 56 A SUR 79 59","7778928","YASMIN SARMIENTO ZABALA ",,"liceo.gabrielamistral@yhaoo.com"
"LIC FRANCISCO JULIAN OLAYA                                                                          ","AV 81 38 00","2259155","CLAUDIA YANIVE PRIETO CASTILLO",,"liceofranciscojulianolaya2013@gmail.com -- yamile_misbebes@hotmail.com"
"LIC TEC MICROEMPRESARIAL FEYSER GORDILLO ROJAS                                                      ","KR 5 I 48 K 30 SUR","7723687","YEHISMEN FAGUA CAMEN",,"liceofeyser@hotmail.com"
"LIC FESAN                                                                                           ","CL 153 110 40","6843438","ASTRID GÓMEZ DE TORRES",,"liceofesan@yahoo.com                              "
"LIC  FALAN                                                                                          ","KR 78 B 58 P 03 SUR","5762757 -- 5762758","SANDRA YANETH RUIZ ABELLA",,"liceofalan@hotmail.com"
"LIC  EUCARISTICO MIXTO                                                                              ","CL 35 C SUR 82 A 27","4509729","JOSE EVERARDO VARGAS",,"liceoeucaristicomixto@hot.com"
"LIC  ERNESTO CARDENAL                                                                               ","KR 80 P 75 22 SUR","7192397","CARLOS MARIO SALDARRIAGA SANCHEZ",,"liceoernestocardenal@hotmail.com"
"LIC  EMMANUELE MARLUI                                                                               ","KR 77 8 71","2921943","MARINA COTRINO RODRIGUEZ",,"liceoemanuelmarlui@hotmail.com"
"LIC EL RINCONCITO DEL SABER                                                                         ","CR. 61A NO.67-22","2312090","ROSALBA RIOS DIAZ",,"liceo_el_rinconcito_del_saber@hotmail.com         "
"LIC EL MUNDO DEL MAÑANA                                                                             ","CL 2 68 A 17","2610669","NUBIA GONZALEZ AMAYA",,"liceoelmundodelmanana@gmail.com"
"LIC EL ENCANTO                                                                                      ","CL 42 BIS SUR 7 A 40 ESTE","2079335 -- 2063842","PURIFICACION VARGAS CUADROS",,"liceoelencanto@hotmail.com"
"LIC  PSICOPEDAG EL CARMELO                                                                          ","DG 49 SUR 86 C 17","4944132","MAURICIO TORRES BERNAL",,"liceoelcarmelo40@yahoo.es"
"LICEO DIVINO NIÑO JESUS                                                            ","TV 80 B 65 I 46 SUR","7755110 - 7192330 - 7801120","MARTHA LUCIA VERANO ARANDA",,"liceodnj@hotmail.com - liceodnj@yahoo.es"
"LIC DE OXFORD                                                                                       ","KR 73 56 B 21 SUR","7772943","ALBENIO BOLIVAR MONROY",,"liceodeoxford@hotmail.com "
"LICEO DEMOCRATICO GABRIEL GARCIA MARQUEZ","TV 126 132 B 95","5353295 / 3134704659","GRACIELA DE JESUS ACOSTA FRANCO ",,"liceodemogabo@hotmail.com -- famisierra@hotmail.com"
"LIC DE LOS ANGELES                                                                                  ","DG 13 SUR 58 56","2620601","DAVID ALBERTO MURILLO BARRERA",,"liceodelosangeles@latinmail.com                   "
"LIC DE LOS ALPES                                                                                    ","CL 36 C SUR 3 A 50","3621566 -- 2077650","NANCY VIVIANA NIETO",,"liceodelosalpes@hotmail.com"
"LIC PSICOPEDAG DELFOS                                                                               ","KR 107 139 58","6874942 -- 6883404 ","YULY YAMIL VILLA VILLAMIL ",,"liceodelfos@hotmail.com -- unisaber@hotmail.com"
"LIC DEL CARIBE                                                                                      ","CL 2 F 41 03","2474422 / 5604504                                 ","YOLANDA INES VARGAS GALINDO",,"liceodelcaribe@hotmail.com                        "
"LIC EMPRESARIAL DEL CAMPO                                                                           ","KR 136 A 143 65","5386939 -- 6889414 -- 6907600","FERNANDO VILLAMIL ROCHA",,"liceodelcampo2@hotmail.com"
"LICEO PSICOPEDAGÓGICO DECROLY","KR 100 73 56","5489778 / 4338896","ANALIDA ORTIZ CONDE",,"liceodecroly@hotmail.com"
"LIC DE APLICACION PSICOPEDAGOGICO                                                                   ","CL 63 C 17 29","2121412 -- 2494210 -- 3143396133","IVAN FERNANDO SILVA CUELLAR",,"liceodeaplicacionpsicopedagogica@hotmail.com"
"LIC  INF DAME LA MANO                                                                               ","CL 73 C SUR 77 L 77","7823534","NANCY PEÑALOZA PEÑALOZA",,"liceodamelamano@hotmail.com -- liceodamelamano250@hotmail.com"
"LIC  PSICOPEDAG CULTURAL","CL 43 SUR 69 A 75","2383049","DORY YANETH SANCHEZ CHAPARRO ",,"liceoculturalinformaciones@yahoo.com.co"
"LIC OCTAVIO PAZ                                                                                     ","KR 88 I BIS 58 A 14 SUR","7837665","MONICA TORRES SUAREZ",,"liceoctaviopaz@gmail.com"
"LICEO CRISTIANO SINAÍ","CL 45 S 78 L 20","4515985","LUZ MARY RAMIREZ RINCON",,"liceocristianosinai@hotmail.com"
"LICEO CRISTIANO LA VID","CL 23 F 75 64","2633693 -- 2633279","LUZ AMPARO SABOGAL SANCHEZ",,"liceocristianolavid@gmail.com"
"LIC CONTADORA                                                                                       ","CL 59 C SUR 45 D 15","7159641 -- 7179150 -- 7179236","GIOMAR TORRES GARCIA",,"liceo_contadora@hotmail.com"
"LIC LAS COLUMNAS                                                                                    ","KR 4 A ESTE 32 A 30 SUR","2061693","FABIO ENRIQUE RODRIGUEZ PEDRAZA",,"liceo_columnas@yahoo.es"
"LIC DEL EJERCITO PATRIA SECTOR NORTE B (LIC COLOMBIA)                                               ","CL 138 54 C 40","6269971","ELIZABETH CRISTINA SANCHEZ LARROTA",,"liceocolombia@yahoo.com.mx --anjuher@yahoo.com"
"LIC DE DESARROLLO INFANTIL NUEVO COLOMBIANITO                                                       ","CL 128 B BIS A 91 87","6855851 -- 6843608 --  6856394","ANA ORLANDA SANCHEZ CUERVO",,"liceocolombianito2001@hotmail.com"
"LIC INF SAN CLEMENTE                                                                                ","TV 78 I 41 D 53 SUR","2993114","YENNY ANGELICA MENDEZ OTALORA",,"liceoclemente@hotmail.com"
"LICEO CUIDAD CAPITAL ","CL 65 SUR 100 A 51","7237375","LUZ MARINA CAMELO VELANDIA",,"liceo_ciudad_capital@hotmail.com  liceociudadcapital7@yahoo.es  liceociudadcapital7@hotmail.com"
"LICEO CENTRAL AMERICAS","CL 49 ASUR 87 J 14","3142686523","NATALIA CATALINA RODRIGUEZ AMEZQUITA",,"liceocentralamericas@hotmail.com"
"LIC CATOLICO                                                                                        ","CR. 22 NO.77-58","2170612 / 2486070/2352956                         ","LUIS FERNANDO MURCIA ANGARITA",,"liceocatolico@hotmail.com                         "
"LIC  INF CATHERINE                                                                                  ","KR 96 B 34 46 SUR","4543751/ 2658060                                  ","CUSTODIA LOPEZ MORA",,"liceocatherine@yahoo.com                          "
"LICEO PEDAGÓGICO CATHERBLANC","CL 155 D 98 45","6833561 -- 6811296","BELINDA ESTHER CONRADO VILORIA",,"liceocatherblanc@hotmail.com"
"LIC PSICOPEDAG NUEVA CASTILLA                                                                       ","CL 9 78 C 03","2049799 / 4114020                                 ","NUBIA ROBAYO",,"liceo.castilla@yahoo.com"
"LIC CAROLINA MONSALVE","CL 30 B BIS SUR 5 37 ESTE","2076149 -- 2067472","FLOR MARIA SALCEDO SALAZAR",,"liceocarolinamonsalve@yahoo.es"
"LIC CAROLINA DEL SUR 2","CL 48 A SUR 78 38","2999186","MARIELA CALVIS ",,"liceocarolinadelsur2@hotmail.com"
"LIC PEDAG CARIÑOSITOS                                                                               ","KR 114 152 D 09","5377409 / 6923122                                 ","LOREN MALDONADO CASTILLO",,"liceocari@hotmail.com"
"LIC CAMPESTRE CAFAM","DG 58 SUR 29 26","2702262 -- 7412900","JENNIFER ELIZABETH VILLARRAGA SARMIENTO",,"liceocampestre@cafam.com.co"
"LICEO CAMPESTRE FREINET DEL NORTE","KR 90 147 B 81","3003019283","FREDY ALEXANDER PINZON",,"liceocampestre2009@hotmail.com"
"LICEO BRITANICO SUPERIOR (ANTES TEDUCAMOS 1A)","CL 100 A 139 04","5357106 /5390141","CLAUDIA AZUCENA DELGADO ENCISO",,"liceobritanicosuperior@gmail.com"
"LIC BOTERITOS                                                                                       ","CL 136 A 94 B 21 IN 102","6807445","MARÍA DEL PILAR DUQUE AGUDELO",,"liceo_boteritos@hotmail.com                       "
"LIC BONANZA  SIGLO XXI                                                                              ","DG 76 68 D 01","2522734","CLARA MARITZA SANCHEZ V",,"liceobonanzas21@yahoo.com"
"LIC  BETTELHEIM                                                                                     ","KR 88 C 53 30 SUR","2996626","JOSE WILLIAM MATIZ",,"liceo.bettelheim@hotmail.com"
"LIC AVENIDA LAS AMERICAS                                                                         ","KR 53 A 5 60","2607308  --  7513637  --  2611310","IFALIA VARELA DE LARA",,"liceoavenidalasamericas@yahoo.com"
"LIC ARKADIA COLOMBIA                                                                                ","CL 142 C 138 A 60","5386773 -- 5370736","PEDRO NEL SANCHEZ VILLERA",,"liceoarkadia@yahoo.es"
"LIC NSTRA SRA DE ARANZAZU                                                                           ","KR 107 20 B 21","4674455/54","HILDA RODRIGUEZ GONZALEZ",,"liceoaranzazu@hotmail.com                         "
"LIC APRENDIENDO CON DODI                                                                            ","KR 77 64 D 15","4364704","DORIS DIAZ CASTILLO",,"liceoaprendiendocondodi@hotmail.com"
"LICEO INFANTIL APRENDAMOS JUNTOS","CL 77 B 112 F 14","4407848","NILSA STELLA CAMARGO VELANDIA",,"liceoaprendamosjuntos_24@hotmail.com"
"LICEO ANTONIO NARIÑO","CL 135 141 B 08","5389981","EDILBERTO HERNANDEZ HERNANDEZ",," liceoantonionarino11@gmail.com"
"LIC  ANTONIO BOLAÑOS                                                                                ","CL 56 F SUR 71 F 33","7771351","OLGA LUCIA GUTIERREZ",,"liceoantonio@hotmail.com"
"LIC PEDAG ANDINO DEL SUR                                                                            ","KR 2 B ESTE 91 A 04 SUR","7621112","ELIZABETH MONTES LEAL",,"liceoandinodelsur@hotmail.com"
"COL ALTA BLANCA                                                                                     ","CL 157 7 H 70","6703303 -- 6701861","LUZ MARINA ACOSTA HERRERA",,"liceoaltablanca@etb.net.co"
"LICEO ALAMEDA","KR 112 J 86 A 18","4316818","NELLY QUINTERO ZAMARRA",,"liceoalameda@hotmail.com"
"LIC ACAD SHILTON","CL 73 A 111 A 22","2294325","JULIA MARINA OÑATE FLOREZ",,"liceoacademicoshilton@hotmail.com"
"LIC  PREESC LA ABEJA MAYA                                                                           ","KR 68 C 54 A 43 SUR","2043950 / 2389188                                 ","BLANCA HILDA BABATIVA NOVOA",,"liceoabejamaya@yahoo.es"
"LIC CIAL LAS AMERICAS                                                                               ","CL 74 82 68","4385632 /  2522049 /2768583","AMPARO VARELA DE SEGURA",,"liceo1@latinmail.com  liceoamericas@hotmail.com                              "
"LIC INF CRECER JUNTOS                                                                               ","CL 136 A 102 A 42","6831735","MARIA CRISTINA CARDOZO GARCIA",,"liccrecer@yahoo.es"
"LIC MODERNO BETANIA","KR 87 51 B 36 SUR","4061407","ROBER FERNEY MORENO TOBON",,"licbetania@yahoo.com"
"LIC  ANDRES DIAZ VENERO DE LEIVA                                                                    ","KR 7 D BIS A 156 08","6704472","ANA SOFIA DIAZ DE HERRERA",,"licandresdiaz@hotmail.com"
"LIC CAMPO DAVID                                                                                     ","CL 46 SUR 21 27","7676146 / 7141427 / 7141167                       ","HENRY DAVID ROMERO VIVAS",,"licampdavid@unete.com   lcd@liceocampodavid.edu.co                            "
"LIC HNO MIGUEL LA SALLE                                                                             ","KR 52 64 A 99","6302373/2255614 /6308219","HNO ARCADIO BOLIVAR R.",,"lhemi@lasalle.edu.co                              "
"LIC GUERNIKA                                                                                        ","CL 61 SUR 71 H 03","7772379","MARTHA CECILIA OLIVEROS",,"lguernika@yahoo.com.mx"
"LIC PSICOPEDAG FUENTE DE SABIDURIA                                                                  ","KR 78 60 08","5470334","DIANA MILENA TORRES SOTELO",," lfuentedesabiduria@hotmail.com"
"COLEGIO LICEO FEMENINO MERCEDES NARIÑO (IED)","AV CARACAS 23 24 SUR","2726302 / 3665312","ERICK ISRAEL ARIZA RONCANCIO",,"lfemeninocund@redp.edu.colfemeninocund@"
"LIC MODERNO MUNDO NET                                                                               ","KR 106 26 32","2632257 / 6096165                                 ","LEYDY YAZMIN ZAMBRANO ROJAS",,"leydyzam18@hotmail.com                            "
"JARD INF LETRAS Y ARTES                                                                             ","CL 144 12 84","2749002","GINA TRIANA TRIVIÑO",,"letrasyartes@yahoo.es"
"JARD INF Y COL HORIZONTES ABIERTOS                                                                  ","CL 165 46 31","6711721","PATRICIA DIAZ RODRIGUEZ",,"lepreciado@latinmail.com    horizontes-abiertos@hotmail.com                         "
"CENT EDUC PARA JOVENES Y ADULTOS LEPANTO                                                            ","KR 6 21 A 19 SUR","2090954 -- 2397204","PABLO JULIO CARDENAS GONZALEZ",,"lepanto97@hotmail.com"
"COL POMBOLANDIA TUNJUELITO                                                                          ","KR 9 A 52 29 SUR","5671633","OSWALDO JARAMILLO",,"leosja@terra.com.co                               "
"LIC ERNEST HEMINGWAY","KR 23 B 60 A 28 SUR","7172713","ROSA CRISTINA QUEVEDO",,"lehemingway@hotmail.com"
"LIC ESTRELLITA ESTUDIANTIL                                                                          ","KR 64 64 64","2310592","PATRICIA CASTIBLANCO TORRES",,"lee5815@hotmail.com   estrellitaestudiantil@hotmail.com                               "
"LIC EL COLOMBIANITO                                                                                 ","CL 52 A 75 71","2955451 -- 3202358759 -- 7620923","CECILIA OSORIO DE RAMIREZ",,"lecolombianito@hotmail.com -- liceoelcolombianito123@gmail.com"
"DIDASCALIO  NSTRA SRA DE LA ESPERANZA                                                               ","KR 75 C 75 C 34 SUR","2858002 / 2321692                                 ","MIRYAM OSPINA",,"ld.col@epm.net.co                                 "
"LIC BOSTON                                                                                          ","KR 80 156 70","6839078","GERSON JARAMILLO OSORIO",,"lboston@liceoboston.edu.co -- sec_acad@liceoboston.edu.co"
"GIMN LATINOAMERICANO                                                                                ","CL 67 A SUR 20 F 01","7179565 / 7318921                                 ","ROSALBA BLANCO PEREZ",," latinrous@latinmail.com    latinrous@gmail.com"
"JARDIN INFANTIL CASITA DEL SOL","CL 73 B SUR 1 D 13","2005136","RICARDO JIMENEZ SOLANO",,"latinoamericarcolibre@hotmail.com"
"JARD INF TIA CECY                                                                                   ","TV 80 85 77","2518598 /   5355909                               ","LILIAN ELVIRA SALAZAR CAMARGO",," latiacecy@yahoo.com"
"GIMN INF LAS VILLAS                                                                                 ","CR. 52 NO.128C-96","2266217 / 6241911                                 ","STELLA NIÑO DE TORRES",,"lasvillas@007mundo.com                            "
"LIC LOS ANGELES SUBA                                                                                ","CLL. 136 NO.93A-33","6843345","ELBA ENEIDA HURTADO CORTES",,"las_suba@hotmail.com                              "
"JARD INF PEQUEÑAS SEMILLAS                                                                          ","CL 145 A 17 56","6157979 -- 3112308584","EDNA LILIANA LUNA MUÑOZ",,"laspequenassemillas@yahoo.com"
"LATINOAMERICANA DE SISTEMAS Y EDUCACION LASIT","TV 126 B 132 D 46","6899491 /6895817","OBDULIO VARELA ARRIETA",,"lasitgaitana@hotmail.com"
"PREESC LA RONDA DE LOS NIÑOS                                                                        ","KR 40 D 59 05","2221018","ROSALBA MOLANO DE BERMUDEZ",,"laronda77@hotmail.com                             "
"GIMN JUAN BAUTISTA LAMARCK                                                                          ","KR 16 42 47","2450726 - 2457129","DARLY LUZ MARIA RINCON GUEVARA",,"lamarck@supercabletv.net.co"
"GIMN LA KHUMBRE","IND KM 16 VIA GUAYMARAL","6765072 -- 6765073 -- 6760574","MARTIN EMILIO RODRIGUEZ PLATA",,"lakhumbre@yahoo.com  -- lakhumbre@gmail.com"
"LIC INTEGRAL LA GRANJA                                                                              ","CL 77 83 58","2516413","BERENICE GONZÁLEZ SOTO",,"lagranja@hotmail.com   liceolagranja@hotmail.com                              "
"COLEGIO LA FANTASIA DEL CONOCIMIENTO","KR 141 A 144 58","4676703","LADY MARCELA GUTIERREZ NIVIA",,"lafantasiadelconocimiento@hotmail.com"
"COLEGIO KNIGHTSBRIDGE SCHOOLS INTERNATIONAL","CL 221 115 51","7456215 -- 3157006673","SANDRA VANESSA ROMERO REYES",,"ksi-bogota@knightsbridgeschools.com -- bogota.reception@knightsbridgeschools.com"
"KINDERGARDEN AMERICANO","CL 10 B 72 C 23","2922847 -- 5714828","ADRIANA JIMENEZ RUIZ",,"kindergartenamericano@yahoo.es"
"KINDER BLANCA NIEVES                                                                                ","KR 70 A 123 04","2531838","HNA BLANCA DORIS PELAEZ GOMEZ",,"kinderblancan@007mundo.com -- rectoria@cch.edu.co"
"COL CAMPESTRE MAXIMINO POITIERS                                                                     ","KR 92 148 51","6835013 / 6841539                                 ","KILIAN ALEXANDER ARENAS SANABRIA",,"kilanarenas@hotmail.com                           "
"INSTITUTO INFANTIL SANTO TOMÁS LA IGUALDAD","KR 68 D BIS 3 26","2629682","ADRIANA MARCELA ARIAS RODRIGUEZ",,"karias78@unisalle.edu.co "
"JARDIN INFANTIL KAIKU","CL 95 20 28","6110360 -- 6913381","CLAUDIA JULIANA RIAÑO RUIZ",,"kaikujardininfantil@gmail.com"
"LIC INF NATHALIA                                                                                    ","KR 53 160 24","6693424","JULIA MARIA GARZON DE OCAMPO",,"julyocampo1@gmail.com"
"INST DE EDUC MEDIA EMAUS                                                                            ","CL 39 A SUR 81 A 40","2641968 / 4031428                                 ","CARLOS JULIAN VELEZ RIVAS",,"julian-velez@hotmail.com"
"LICEO MODERNO CELESTIN FREINET","KR 105 77 A 82","2277483","MIRIAM JULIETH BARBOSA GUTIERREZ",,"jubagu0315@hotmail.com"
"COL SALESIANO JUAN DEL RIZZO                                                                        ","KR 6 27 19 SUR","2397516","PADRE DEOGRACIAS VELOZA FONSECA SDB",,"juandelrizzo@etb.net.co"
"JARD INF Y GUARD SAN RAFAEL                                                                         ","KR 66 A 49 A 66","4296512 / 2951848                                 ","HNA OFELMINA JOYA DUARTE",,"jsanrafael@hotmail.com                            "
"INST EDUC DIST FE Y ALEGRIA JOSE MARIA VELAZ","KR 131 134 44","6623999 -- 6623361","MALELY AMPARO SANTANA BARBOSA",,"josemariavelaz.bogota@feyalegria.org.co -- escdinvacolombia11@redp.edu.co"
"COLEGIO JOSÉ FRANCISCO SOCARRÁS (IED)","KR 88 C 66 A 03 SUR","7238531 -- 7238469 -- 7238530","CARLOS AUGUSTO RODRIGUEZ LOPEZ",,"josefrancisco.socarras@gmail.com -- coldisjosefrancsoc@redp.edu.co"
"GIMN DEL NORTE","CL 207 70 50","6683939","JOSE CONTRERAS TOVAR",,"jose.contreras@gimansiodelnorte.edu.co"
"COLEGIO KUEPA","CL 22 G 96 I 23","6196152 -- 2671208","JORGE LUIS GARCIA GARZON ",,"jorge.garcia@kuepa.com"
"COL MI PATRIA                                                                                       ","CL 23 SUR 68 C 27","4038482  --  7024600","JORGE EDUARDO VANEGAS GALINDO",,"jorgeeduardovanegas@latinmail.com                 "
"COLEGIO HUMANISTA JALIL GIBRAN","CL 56 D SUR 80 H 91","7238065","ELIANA ELISA GUZMAN GARCIA",,"johnjairodj1984@hotmail.com"
"CENT EDUC DIST DON BOSCO V","CL 143 A 118 50","6900123","ROSEMBEL SUAREZ BETANCOURT",,"johnalbertr36@gmail.com -- gestionacademicaboscov@yahoo.com.co"
"GIMNASIO INFANTIL SERGIO BENAVIDES","CL 40 I 74 D 56","2643754","JOHANNA PATRICIA SÁNCHEZ BENAVIDES",,"johanna27r@hotmail.com "
"JARD INF LA ISLA DEL SOL","KR 64 B 62 D 45 SUR","7111973 -- 3142457382","YAMIRA CONTRERAS HERNANDEZ",,"Jliis1086@hotmail.com"
"LIC NUEVO CALASANZ                                                                                  ","CL 37 SUR 7 A 54","2784689","JINNETH LETICIA MUÑOZ RAMIREZ",,"jleticha@hotmail.com -- yolimamumedina@hotmail.com"
"JARD INF PSICOPEDAG CARACOLES DE COLORES                                                            ","CL 64 F 73 B 18","4362436 -- 8132100 -- 3156492577","MARIA ELENA MEJIA G.",,"jipcaracolesdecolores@yahoo.es"
"JARD INF PAOLA ISABEL                                                                               ","KR 2 10 60 SUR","2897541","MARIA CONSUELO MENDEZ PEÑA",,"jipais@hotmail.com"
"JARD INF EDUARDO FREY                                                                               ","TV 31 30 87 SUR","2024758","MARIA AMPARO PEDRAZA CARDENAS",,"jinef59@hotmail.com"
"LICEO JIMPU","KR 78 M 57 H 12 SUR","7770027","BLANCA MYRIAM DUEÑAS PEDRAZA",,"jimpu63@latinmail.com                             "
"JARD INF MOUGLI                                                                                     ","CL 103 70 58","2534608","LUCIA PATRICIA CASTELLANOS MENDEZ",,"jimougli@hotmail.com                              "
"JARD INF MONACHINES                                                                                 ","KR 75 64 A 29","2512680","GLORIA MARIA NIÑO GOMEZ",,"ji_monachines@terra.com.co -- jimonachines@gmail.com"
"JARD INF MIS ADORABLES SOBRINOS                                                                     ","CL 63 SUR 23 04","7152157 / 7311788  /7162157","MARIA GLADYS ORTIZ",,"jimas85@hotmail.com"
"JARD INF LOS PEQUEÑOS INTELECTUALES","KR 85 65 A 22","2231113","MARTHA CAROLINA AGUILERA TIRADO",,"jilpi.intelectuales@gmail.com"
"JARD INF EL CANGURO                                                                                 ","KR 73 A 84 10","2526741","FANNY GAMBOA",,"jicanguro@hotmail.com                             "
"COL NUEVO REINO DE TURINGIA","KR 103 B 152 C 34","6830915","RUTH CECILIA CORREA FAJARDO",,"jibnuevoreinodeturingia@hotmail.com - ruth_ceciliac@hotmail.com"
"GIM INF ALMENDROS                                                                                   ","CRA 114 B NO. 152 -78","6921704","MARIA CONSEJO",,"jialmendros@hotmail.com                           "
"COL JHON DALTON                                                                                     ","KR 17 51 67","3125151 / 3128132                                 ","CESAR ALFONSO VARGAS SEGURA",,"jhon.dalton2009@hotmail.com                johndalton@mail.com"
"GIMN JHON CABOT","CL 78 69 P 61","2508049","DELIA MARITZA CHAPARRO SANCHEZ ",," jhon-cabot@hotmail.com"
"LIC  INF SAN JUAN GABRIEL PERBOYRE                                                                  ","KR 87 I 37 06 SUR","2658253 / 2935201                                 ","EMMA CECILIA SABOGAL MORA",,"jgperoyre@yahoo.com                               "
"JARD INF ALF Y SUS AMIGUITOS","CL 131 B 90 06","6824923","ALBA JEANETH MORENO CARRASCO",,"jeanethmoreno@hotmail.com"
"LIC JEAN DE LA FONTAINE                                                                             ","CR. 77A NO. 44-05","2634052","CARLOS A. GONZALEZ",,"jeandelafontaine1@hotmail.com                     "
"LIC VISION DE COLOMBIA                                                                              ","KR 76 B 14 B 32","2929094","JUAN CARLOS PAEZ",,"jcsegura1968@yahoo.es"
"JARDÍN INFANTIL CHISPITAS DE LUZ","TV 78 D 49 04 SUR","4515496","LUISA FERNANDA SANCHEZ LOPEZ",,"jchispiluz@hotmail.com"
"JARD INF CASCANUECES                                                                                ","KR 18 94 A 44","2360370 -- 2578580 -- 6230588","MARIA ALICIA DAVILA MORA DE VITTONE",,"jcascanueces@yahoo.com"
"JARD INF EL CIEMPIES YEYE                                                                           ","DG 51 A BIS SUR 57 34","2709271","CONSUELO ARENAS BERNAL",,"jaryeye@terra.com.co                              "
"JARD INF PERSONITAS DE HOY Y DEL FUTURO                                                             ","TV 42 107 02","2531812 / 2262680 / 2853063                       ","CLAUDIA PATRICIA VARGAS ARAMBULA",,"jarperso@yahoo.com                                "
"JARD INF MELODIAS ENCANTADAS                                                                        ","CL 127 42 15","6246385","INES ORDOÑEZ PACHON",,"jarinfmeloencanta@yahoo.com"
"JARD INF GLOBITO DE AVENTURAS                                                                       ","CL 83 115 07 IN 61","4345028 / 4345029                                 ","DIANA MARCELA RINCON",,"jarglobito@yahoo.com                              "
"JARD INF RISITAS                                                                                    ","KR 68 BIS 9 B 05 SUR","2901448 -- 2624694","ANA ESPERANZA PIÑEROS ALVAREZ",,"jardrisitas.1982@gmail.com"
