"proceso","tipo","nombre_del_activo_de_informaci","descripci_n_observaciones","idioma","oficina_o_rea","categor_as_o_series_de","soporte_y_medio_de_registro","medio_de_conservaci_n","formato","informaci_n_disponible","confidencialidad","disponibilidad","integridad","lugar_de_consulta_o_ubicaci","nombre_del_responsable_de","frecuencia_de_generaci_n","frecuencia_actualizaci_n","fecha_de_generaci_n_de_la","estado","fundamento_constitucional","fundamento_jur_dico_de_la","excepci_n_total_o_parcial","elemento_de_captura_de_datos","clasificaci_n_datos_personales","finalidad_de_recolecci_n","normatividad_proceso","mecanismo_de_declaraci_n","observaciones"
"Almacén","Procesos","Salidas de Almacén","Salida de elementos o bienes de la oficina de Almacén","español","Almacén  Y ARCHIVO","Almacén","Documento Físico","fisico","papel","DISPONIBLE","Información Pública","Alta","Alta","Almacén","Almacén","diarias","diaria","diaria","Activo","La definición dada por la ley 1712 del 2014, se refiere a un conjunto organizado de datos contenido en cualquier documento que los sujetos obligados generen, obtengan, adquieran, transformen o controlen","ley 1712de 2014","Sin Reserva","FORMATO FISICO","N.A.","controlar","N.A.","N.A.","N.A."
"Almacén","Información","Correo Electrónicos de donaciones","Oficios o informes de donaciones de ingreso de bienes o servicios por parte de la comunidad","español","Almacén  Y ARCHIVO","Almacén","Documento HTML","electronico","DOC","NO DISPONIBLE","Información Pública Reservada","Baja","Baja","Almacén","no aplica","no aplica","no aplica","N.A.","Inactivo","La definición dada por la ley 1712 del 2014, se refiere a un conjunto organizado de datos contenido en cualquier documento que los sujetos obligados generen, obtengan, adquieran, transformen o controlen","ley 1712de 2014","Reserva Parcial","N.A.","N.A.","N.A.","N.A.","N.A.","N.A."
"Almacén","Información","Oficios o informes de donaciones","Oficios o informes de donaciones de ingreso de bienes o servicios por parte de la comunidad","español","Almacén  Y ARCHIVO","Almacén","Documento Físico","fisico","papel","NO DISPONIBLE","Información Pública Reservada","Baja","Baja","Almacén","no aplica","no aplica","no aplica","N.A.","Inactivo","La definición dada por la ley 1712 del 2014, se refiere a un conjunto organizado de datos contenido en cualquier documento que los sujetos obligados generen, obtengan, adquieran, transformen o controlen","ley 1712de 2014","Reserva Parcial","N.A.",,"N.A.","N.A.","N.A.","N.A."
"Almacén","Software","Informes de gestión y resultados de la dependencia","Información del movimiento mensual de la dependencia","español","Almacén  Y ARCHIVO","Almacén  -  contabilidad","Documento HTML","electronico","DOC","NO DISPONIBLE","Información Pública Reservada","Alta","Alta","Almacén","Almacén  - contabilidad","mensual","mensual","mensual","Activo","La definición dada por la ley 1712 del 2014, se refiere a un conjunto organizado de datos contenido en cualquier documento que los sujetos obligados generen, obtengan, adquieran, transformen o controlen","ley 1712de 2014","Reserva Total","FORMATO DIGITAL","N.A.","informar","N.A.","N.A.","N.A."
"Almacén","Software","Informes a entidades gubernamentales y organismo de control","oficios a entes de control de acuerdo a Información solicitada","español","Almacén  Y ARCHIVO","Almacén","Documento PDF","fisico","papel","NO DISPONIBLE","Información Pública Clasificada","Alta","Alta","Almacén","alamacen - contabilidad","bimestral","bimestral","N.A.","Activo","La definición dada por la ley 1712 del 2014, se refiere a un conjunto organizado de datos contenido en cualquier documento que los sujetos obligados generen, obtengan, adquieran, transformen o controlen","ley 1712de 2014","Reserva Total","FORMATO DIGITAL","N.A.","informar","N.A.","N.A.","N.A."
"Almacén  y archivo","Información","Tablas de retencion documental - TRD","Tablas de retencion de la oficina","español","Almacén  Y ARCHIVO","Almacén  - archivo","Documento PDF","fisico","papel","NO DISPONIBLE","Información Pública","Baja","Alta","Almacén","Almacén  - archivo","bimestral","bimestral","bimestral","Inactivo","La definición dada por la ley 1712 del 2014, se refiere a un conjunto organizado de datos contenido en cualquier documento que los sujetos obligados generen, obtengan, adquieran, transformen o controlen","ley 1712de 2014","Reserva Total","FORMATO FISICO","N.A.","informar","N.A.","N.A.",
"Almacén","Procesos","Manual de Funciones (Dependencia)","Manual de funcionamiento de la dependencia","español","Almacén  Y ARCHIVO","Almacén","Documento Físico","electronico","papel","NO DISPONIBLE","Información Pública Clasificada","Alta","Alta","Almacén","alamcen- talento humano","mensual","mensual","mensual","Activo","La definición dada por la ley 1712 del 2014, se refiere a un conjunto organizado de datos contenido en cualquier documento que los sujetos obligados generen, obtengan, adquieran, transformen o controlen","ley 1712de 2014","Reserva Total","FORMATO DIGITAL","N.A.","controlar","N.A.","N.A.","N.A."
"Almacén","Información","ENTRADAS DE SUMINSTROS","entrada de elementos o suministros almacén","español","Almacén  Y ARCHIVO","almcen","Documento Físico","fisico","papel","DISPONIBLE","Información Pública","Alta","Alta","Almacén","Almacén","semanales","semanales","semanal","Activo","La definición dada por la ley 1712 del 2014, se refiere a un conjunto organizado de datos contenido en cualquier documento que los sujetos obligados generen, obtengan, adquieran, transformen o controlen","ley 1712de 2014","Sin Reserva","FORMATO FISICO","N.A.","controlar","N.A.","N.A.","N.A."
"Almacén","Información","COPIA DE FACTURAS DE SUMINISTROS","información de valores de entradas de alamcen por parte de proveedores","español","Almacén  Y ARCHIVO","Almacén","Documento Físico","fisico","papel","DISPONIBLE","Información Pública","Alta","Alta","Almacén","Almacén","semanales","semanales","semanal","Activo","La definición dada por la ley 1712 del 2014, se refiere a un conjunto organizado de datos contenido en cualquier documento que los sujetos obligados generen, obtengan, adquieran, transformen o controlen","ley 1712de 2014","Sin Reserva","FORMATO FISICO","N.A.","controlar","N.A.","N.A.","N.A."
"TALENTO HUMANO","Recurso Humano","NOMINA","Historiales documentos donde se encuentra la información personal, Remuneración salarial de los colaboradores, seguridad social y prestaciones sociales.  Se generarn Volantes de pago de cada uno de los colaboradores.","español","TALENTO HUMANO","TALENTO HUMANO","CD Rom Multimedia","SISTEMA DE BASES DE DATOS","HOJA DE CALCULO","DISPONIBLE","Información Pública Reservada","MEDIA","Alta","SOFTWARE SINFA","SINFA","DIARIO","DIARIO","QUINCENAL","Activo","Del artículo 18 de la Ley 1712 de 2014. y ""...La correspondencia y demás formas de comunicación privada son inviolables…"" Artículo 15 Constitución política de Colombia","Ley 1712 de 2014","Reserva Parcial","BASE DE DATOS","SEMIPRIVADO","CONTROL DE LA INFORMACIÓN","Ley 1712  del 2014 del art 18 literal C","APLICA","N/A"
"TALENTO HUMANO","Recurso Humano","SEGURIDAD SOCIAL","ARCHIVO PLANO GENERADO POR EL SOFTWARE SINFA PARA CARGAR EN EL OPERADOR SOI PARA PAGO","español","TALENTO HUMANO","TALENTO HUMANO","DISCO DURO","DOCUMENTO DE ARCHIVO ELECTRONICO","DOC","DISPONIBLE","Información Pública Reservada","MEDIA","Alta","SOFTWARE SINFA","SINFA","MENSUAL","CADA VEZ QUE SE PRESENTE UN NOVEDAD","MENSUAL","Activo","N/A","N/A","Reserva Parcial","FORMATO DIGITAL","PUBLICO","CONTROL DE LA INFORMACIÓN","Ley 1712  del 2014 del art 18 literal C","APLICA","N/A"
"TALENTO HUMANO","Recurso Humano","LIBRANZAS","FORMATOS GENERADOS POR ENTIDADES FINANCIERAS CON LAS QUE TENEMOS CONVENIOS PARA LOS CREDITOS SOLICITADOS POR LOS COLABORADORES","español","TALENTO HUMANO","TALENTO HUMANO","DOCUMENTOS FISICO","DOCUMENTO DE ARCHIVO FISICO","DOC","DISPONIBLE","Información Pública Reservada","MEDIA","MEDIA","HOJA DE VIDA","TALENTO HUMANO","CADA VEZ QUE SOLICITE CREDITO UN COLABORADOR","CADA VEZ QUE SOLICITE CREDITO UN COLABORADOR","CADA VEZ QUE SOLICITE CREDITO UN COLABORADOR","Activo","N/A","N/A","Reserva Parcial","FORMATO FISICO","PUBLICA","INFORMATIVA","Ley 1712  del 2014 del art 18 literal C","APLICA","N/A"
"TALENTO HUMANO","Recurso Humano","HOJAS DE VIDA","CARPETA DE LOS DOCUMETOS DE CADA UNO DE LOS COLOBADORES DE LA EMPRESA EAMOS ESP","español","TALENTO HUMANO","TALENTO HUMANO","DOCUMENTOS FISICO Y DIGITALIZADO EN PLATAFORMA","ARCHIVO INSTITUCIONAL","PDF","DISPONIBLE","Información Pública Reservada","BAJA","Media","HOJA DE VIDA","TALENTO HUMANO","CUANDO HAYA UN REQUERIMIENTO DE CONTRATACÍÓN","CUANDO HAYA UN REQUERIMIENTO DE CONTRATACÍÓN","CUANDO HAYA UN REQUERIMIENTO DE CONTRATACÍÓN","Activo","Artículo  5°. Directorio de Información de servidores públicos, empleados y contratistas.","Ley 1712 de 2014","Reserva Parcial","FORMATO FISICO","PRIVADO","CONTROL DE LA INFORMACIÓN","Ley 1712  del 2014 del art 18 literal C","APLICA","N/A"
"TALENTO HUMANO","Recurso Humano","CERTIFICACION LABORAL","DOCUMENTOS GENERADOS A SOLICITUD DE CADA UNO DE LOS COLABORADORES PARA ACREDITAR ANTE UN EXTERNO QUE LABORA PARA EAMOS ESP","español","TALENTO HUMANO","TALENTO HUMANO","DOCUMENTO FISICO","DOCUMENTO DE ARCHIVO FISICO","PDF","DISPONIBLE","Información Pública Reservada","BAJA","MEDIA","HOJA DE VIDA","TALENTO HUMANO","TODA VEZ QUE UN COLABORADOR LA REQUIERA","TODA VEZ QUE UN COLABORADOR LA REQUIERA","TODA VEZ QUE UN COLABORADOR LA REQUIERA","Activo","Del artículo 18 de la Ley 1712 de 2014. y ""...La correspondencia y demás formas de comunicación privada son inviolables…"" Artículo 15 Constitución política de Colombia","Ley 1712 de 2014","Reserva Parcial","FORMATO FISICO","PRIVADO","CONTROL DE LA INFORMACIÓN","Ley 1712  del 2014 del art 18 literal C","APLICA","N/A"
"TALENTO HUMANO","Recurso Humano","REPORTES DE HORAS EXTRAS","RELACION DEL TRABAJO SUPLEMENTARIO DEL PERSONAL OPERATIVO","español","TALENTO HUMANO","TALENTO HUMANO","DOCUMENTO FISICO","DOCUMENTO DE ARCHIVO ELECTRONICO","HOJA DE CALCULO","DISPONIBLE","Información Pública Reservada","BAJA","MEDIA","ARHIVO DIGITAL","TALENTO HUMANO","CADA 15 DIAS","CADA 15 DIAS","CADA 15 DIAS","Activo","N/A","N/A","Reserva Parcial","FORMATO FISICO","PRIVADO","CONTROL DE LA INFORMACIÓN","Ley 1712  del 2014 del art 18 literal C","APLICA","N/A"
"TALENTO HUMANO","Recurso Humano","CONTRATOS DE APRENDICES SENA","DOCUMENTOS  GENERADOS POR LA PLATAFORMA CAPRENDIZAJE  SENA PARA ESTIPULAR LAS FECHA DE CONTRATO DE LAS APRENDICES SENA","español","TALENTO HUMANO","TALENTO HUMANO","DOCUMENTO FISICO","DOCUMENTOS DE ARCHIVO ELECTRONICO","DOCUMENTO DE TEXTO","DISPONIBLE","Información Pública Reservada","BAJA","MEDIA","HOJA DE VIDA","TALENTO HUMANO","CADA VEZ QUE SE CUMPLA UN CONTRATO HAY QUE SOLICITAR  NUEVOS APRENDICEZ","El Decreto 620 del 7 de marzo de 2005, compilado por el Decreto 1072 de 2015, ordena al Servicio Nacional de Aprendizaje- SENA, a través de sus Direcciones Regionales regular la cuota de aprendizaje a los empleadores que cuenten con un número de empleados igual o superior quince (15) trabajadores en su planta de personal en concordancia con el artículo 32 de la Ley 789 de 2002.","CADA SEIS MESES QUE TERMINE UN COANTRATO DE APRENDIZAJE","Activo","N/A","N/A","Reserva Parcial","FORMATO FISICO","PUBLICO","CONTROL DE LA INFORMACIÓN","Ley 1712  del 2014 del art 18 literal C","APLICA","N/A"
"Indicadores","Información","Indicadores calidad de agua","Relaciona el indice de riesgo por calidad de agua suministrada al municipio de Mosquera","Español","DIRECCION DE ACUEDUCTO","Informes","Información Almacén ada en USB","Electrónicos","XLS","Disponible","Información Pública","Alta","alta","http://www.eamosesp-mosquera-cundinamarca.gov.co/tema/metas-objetivos-e-indicadores","Juan David Sánchez Daniels","mensual","mensual","N.A.","Activo","Por medio de la cual se señalan características, instrumentos básicos y frecuencias
del sistema de control y vigilancia para la calidad del agua para consumo humano","Resolución 2115 de 2007","Sin Reserva","NA","NA","NA","NA","NA","deben contenplarse muestras procesadas por terceros"
"Formatos","Información","Formatos de control diario en operación","Consiganación de los datos generedos en la operación de la planta de tratamiento de agua potable y laboratorio. Abarca equipos, reactivos, imsumos. Etc.","Español","DIRECCION DE ACUEDUCTO","Formatos","Documento PDF","Fisicos","papel","Disponible","No Clasificada","Alta","Media","Laboratorio","Juan David Sánchez Daniels","Anual","Anual","N.A.","Activo","Por medio de la cual se señalan características, instrumentos básicos y frecuencias
del sistema de control y vigilancia para la calidad del agua para consumo humano","Resolución 2115 de 2007; iso 9001; iso 17025; 1575 de 2007","Sin Reserva","NA","NA","NA","NA","NA","los formatos deben ir firmados por el gerente y pueden surgir cambios en cualquier momento"
"Contratación","Procesos","Relaciona los contratos que son espceficos para la operación y funcionamiento de las plantas de agua potable y laboratorio de agua.","Relaciona los contratos que son espceficos para la operación y funcionamiento de las plantas de agua potable y laboratorio de agua.","Español","DIRECCION DE ACUEDUCTO","Informes y actas","Documento DOC","Electrónicos","DOC","Disponible","No Clasificada","Media","Alta","Laboratorio","Juan David Sánchez Daniels","mensual","mensual","N.A.","Activo","Manual de contratación",,"Sin Reserva","NA","NA","NA","NA","NA","Los contratos se realizan conforme al plan de adquisiciones y necesidades del area del laboratorio y debe ir aprobado por el gerente"
"Inventarios","Información","Inventarios plantas y laboratorio","Relaciona los insumos existentes y consumidos en la operación de la PTAP y Laboratorio.","Español","DIRECCION DE ACUEDUCTO","Inventarios","Documento DOC","Electrónicos","XLS","Disponible","No Clasificada","Media","Alta","Laboratorio","Juan David Sánchez Daniels","mensual","mensual","N.A.","Activo","estatutos de la empresa","ley 1755del 2015","Sin Reserva","NA","NA","NA","NA","NA","Los inventarios son manejados por el Almacén"
"PQRS","Procesos","Peticiones quejas, reclamos y solucitudes","Relaciona las solitudes en cuanto a calidad de agua potable por cualquier ente externo","Español","DIRECCION DE ACUEDUCTO","pqrs","Documento DOC","Fisicos","DOC","Disponible","No Clasificada","Media","alta","Laboratorio","Juan David Sánchez Daniels","mensual","mensual","N.A.","Activo","estatutos de la empresa","ley 1755del 2015","Sin Reserva","NA","NA","NA","NA","NA","La generación de PQR son conforme a las radicas por conceptos de calidad de agua"
"Instructivos","Procesos","Intructivos analisis y operación de plantas","Guia de los pasos para operar, analizar y procesar muestras y operar la PTAP","Español","DIRECCION DE ACUEDUCTO","Documentación tecnica","Documento PDF","Fisicos","DOC","Disponible","No Clasificada","Alta","alta","Laboratorio","Juan David Sánchez Daniels","Anual","Anual","N.A.","Activo","estatutos de la empresa","ley 1755","Sin Reserva","NA","NA","NA","NA","NA","los instructivos pueden cambiar en cualquier momento."
"ACUEDUCTO","Información","Convenio 01 de 2017 EAB","Convenio entre la EAB y Mpios Sabana de Occidente para mejorar las condiciones de la prestacion del servicio de acueducto","Español","DIRECCION DE ACUEDUCTO","Convenios","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\AGUA EN BLOQUE EAB\CONVENIO MUNICIPIOS","Dirección de Acueducto","Unica vez","Unica vez","2019-04-27T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Control","Base de datos con los datos de consumo y valores de compra de agua en bloque por punto y datos de caudal extraido de los pozos profundos por mes","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","XLS","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\AGUA EN BLOQUE EAB","Dirección de Acueducto","Mensual","Mensual","2019-04-27T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Historico Consumos","Base de datos con los datos de consumo y valores de compra de agua en bloque de los años anteriores a 2019","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","XLS","Disponible","Información Pública","Baja","Baja","C:\backup ing mariana\EAMOS\AGUA EN BLOQUE EAB","Dirección de Acueducto","Unica vez","Unica vez","2019-04-27T00:00:00.000","Inactivo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","Informacion de Consulta"
"COMERCIAL","Información","CCU Acueducto y Alcantarillado aprobado","Contrato de Condiciones Uniformes con concepto de legalidad de la CRA","Español","DIVISIÓN COMERCIAL","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\CCU","Dirección de Acueducto","Esporadica","Esporadica","2019-08-12T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Comunicados Suspensiones 2019","Comunicados emitidos informando las suspensiones del servicio de acueducto programadas","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","DOC","Disponible","Información Pública","Media","Media","C:\backup ing mariana\EAMOS\COMUNICADOS SUSPENSIONES","Dirección de Acueducto","Esporadica","Unica vez","2019-05-30T00:00:00.000","Inactivo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","Informacion de Consulta"
"ACUEDUCTO","Información","Comunicados Suspensiones 2020","Comunicados emitidos informando las suspensiones del servicio de acueducto programadas","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","DOC","Disponible","Información Pública","Media","Media","C:\backup ing mariana\EAMOS\COMUNICADOS SUSPENSIONES","Dirección de Acueducto","Esporadica","Unica vez","2020-01-13T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Comunicados Suspensiones 2021","Comunicados emitidos informando las suspensiones del servicio de acueducto programadas","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","DOC","Disponible","Información Pública","Media","Media","C:\backup ing mariana\EAMOS\COMUNICADOS SUSPENSIONES","Dirección de Acueducto","Esporadica","Unica vez","2021-02-01T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Correos Comunicados 2019","Comunicados de respuesta emitidos a los diferentes requerimientos y solicitudes correspondientes al componente tecnico del servicio de Acueducto","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","DOC y PDF","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\CORREOS COMUNICADOS","Dirección de Acueducto","Frecuente","Esporadica","2019-04-27T00:00:00.000","Inactivo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","Informacion de Consulta"
"ACUEDUCTO","Información","Correos Comunicados 2020","Comunicados de respuesta emitidos a los diferentes requerimientos y solicitudes correspondientes al componente tecnico del servicio de Acueducto","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","DOC y PDF","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\CORREOS COMUNICADOS","Dirección de Acueducto","Frecuente","Esporadica","2020-01-02T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Correos Comunicados 2021","Comunicados de respuesta emitidos a los diferentes requerimientos y solicitudes correspondientes al componente tecnico del servicio de Acueducto","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","DOC y PDF","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\CORREOS COMUNICADOS","Dirección de Acueducto","Frecuente","Esporadica","2021-01-04T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Disponibilidades 2019","Comunicados de respuesta emitidos a las solicitudes de Disponibilidades y/o Factibilidades para desarrollo de proyectos. Incluye refrendaciones","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","DOC","Disponible","Información Pública Clasificada","Alta","Alta","C:\backup ing mariana\EAMOS\DISPONIBILIDADES","Dirección de Acueducto","Esporadica","Semestral","2019-05-17T00:00:00.000","Activo","N/A","N/A","Reserva Parcial","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Disponibilidades 2020","Comunicados de respuesta emitidos a las solicitudes de Disponibilidades y/o Factibilidades para desarrollo de proyectos. Incluye refrendaciones","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","DOC","Disponible","Información Pública Clasificada","Alta","Alta","C:\backup ing mariana\EAMOS\DISPONIBILIDADES","Dirección de Acueducto","Esporadica","Esporadica","2020-02-13T00:00:00.000","Activo","N/A","N/A","Reserva Parcial","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Disponibilidades 2021","Comunicados de respuesta emitidos a las solicitudes de Disponibilidades y/o Factibilidades para desarrollo de proyectos. Incluye refrendaciones","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","DOC","Disponible","Información Pública Clasificada","Alta","Alta","C:\backup ing mariana\EAMOS\DISPONIBILIDADES","Dirección de Acueducto","Esporadica","Esporadica","2021-01-18T00:00:00.000","Activo","N/A","N/A","Reserva Parcial","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Cuadro Resumen","Base de datos con los datos principales de las cuentas de energia de la infraestructura que hace parte de los servicios de acueducto y alcantarillado","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","XLS","Disponible","Información Pública","Media","Media","C:\backup ing mariana\EAMOS\ENERGIA","Dirección de Acueducto","Mensual","Mensual","2019-04-27T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Detalle por Cuenta","Informacion de consumo y tarifa de energia por cada cuenta del servicio","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","XLS","Disponible","Información Pública","Media","Media","C:\backup ing mariana\EAMOS\ENERGIA\Detalle por Cuenta","Dirección de Acueducto","Mensual","Mensual","2019-04-27T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","13757 Pozo Centro","Expediente ante la CAR del Pozo Centro desde la solicitud inicial de Concesión","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\EXPEDIENTES CAR","Dirección de Acueducto","Esporadica","Esporadica","2019-10-08T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","13758 Pozo Siete Trojes","Expediente ante la CAR del Pozo Siete Trojes desde la solicitud inicial de Concesión","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\EXPEDIENTES CAR","Dirección de Acueducto","Esporadica","Esporadica","2019-10-08T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","41096 Pozos Rosales","Expediente ante la CAR de los Pozos de Rosales desde la Concesión","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\EXPEDIENTES CAR","Dirección de Acueducto","Esporadica","Esporadica","2019-10-08T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","43183 Permiso de Ocupación de Cauce Novilleros","Expediente ante la CAR del Permiso de Ocupacion de Cauce del Canal Novilleros desde la solicitud inicial de Concesión","Español","DIRECCION DE ALCANTARILLADO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\EXPEDIENTES CAR","Dirección de Alcantarillado","Esporadica","Esporadica","2019-10-08T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","43184 Permiso de Ocupación de Cauce Serrezuela","Expediente ante la CAR del Permiso de Ocupacion de Cauce de Serrezuela desde la solicitud inicial de Concesión","Español","DIRECCION DE ALCANTARILLADO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\EXPEDIENTES CAR","Dirección de Alcantarillado","Esporadica","Esporadica","2019-10-08T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","Permiso de Vertimientos","Permiso de vertimientos expedido para la nueva PTAR Los Puentes","Español","DIRECCION DE ALCANTARILLADO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\EXPEDIENTES CAR","Dirección de Alcantarillado","Esporadica","Esporadica","2019-10-08T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","PSMV","Informacion del tramite del Plan de Saneamiento y Manejo de vertimientos del anterior prestador","Español","DIRECCION DE ALCANTARILLADO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","PDF","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\EXPEDIENTES CAR","Dirección de Alcantarillado","Esporadica","Esporadica","2019-10-08T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","Informacion de Consulta"
"ACUEDUCTO","Información","Indicadores EAMOS","Informacion de los Indicadores del servicio de alcantarillado para los periodos en los que EAMOS presto el servicio en el 2019","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","XLS","Disponible","Información Pública","Alta","Alta","C:\backup ing mariana\EAMOS\INDICADORES\2019","Dirección de Acueducto","Bimestral","Bimestral","2019-06-03T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Mantenimientos Infraestructura 2019","Programacion anual de los mantenimientos a la infraestructura de los servicios de acueducto y alcantarillado","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","XLS","Disponible","Información Pública","Media","Media","C:\backup ing mariana\EAMOS\INFRAESTRUCTURA\MANTENIMIENTOS INFRAESTRUCTURA","Dirección de Acueducto","Anual","Esporadica","2019-04-27T00:00:00.000","Inactivo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","Informacion de Consulta"
"ACUEDUCTO","Información","Mantenimientos Infraestructura 2020","Programacion anual de los mantenimientos a la infraestructura de los servicios de acueducto y alcantarillado","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro Externo","Documentos de Archivo-Electronicos","XLS","Disponible","Información Pública","Media","Media","C:\backup ing mariana\EAMOS\INFRAESTRUCTURA\MANTENIMIENTOS INFRAESTRUCTURA","Dirección de Acueducto","Anual","Esporadica","2020-01-15T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
