"tipomision","continente","paisrepresenta","isopaisrepresenta","ciudadubicacion","direccion","localizaci_n_misi_n","telefonos","fax","correoelectronico","paginaweb"
"CONSULADO HONORARIO","EUROPA","PORTUGAL","PRT","MEDELLÍN","CALLE 38 NA 6N 35 BODEGA 6. OFICINA 6304. CALI","(6.235925, -75.575137)","(57) 318 8031457","(NO REGISTRA)","PORTUGAL.CMED@HOTMAIL.COM","(NO REGISTRA)"
"CONSULADO","AMÉRICA","PERU","PER","BOGOTÁ D.C","CALLE 90 # 14-26 OFICINA 417","(4.598056, -74.075833)","(57) (1) 2576846 - 2578763","(NO REGISTRA)","C-BOGOTA@LIVE.COM- CGPERU@ETB.NET.CO","(NO REGISTRA)"
"CONSULADO HONORARIO","ASIA","LIBANO","LBN","CALI","CARRERA 37ª NO. 5B2 – 64","(3.420556, -76.522222)","(57) (2) 4451844 – (57) 310 49369633","(NO REGISTRA)","LIBANO@CUERPOCONSULARCALI.ORG - CJURI3@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","DINAMARCA","DNK","BARRANQUILLA","CALLE 77 # 74 - 111","(10.98611, -74.77028)","(57) (5) 3531515 - 3531513","(NO REGISTRA)","RAMIT@TELECOM.COM.CO","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","LETONIA","LVA","BOGOTÁ D.C","CALLE 120 NO. 11B-30 (505)","(4.598056, -74.075833)","(57) (1) 2142354 – (57) 300 5630779","(NO REGISTRA)","CONSULADOLETONIA@GMAIL.COM","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","EL SALVADOR","SLV","BOGOTÁ D.C","CARRERA 12 #  119-51","(4.598056, -74.075833)","(57) (1) 3496765 - 3496771","(57) (1) 3496770","EMBAJADADEELSALVADORENCOLOMBIA@RREE.GOB.SV- CONSULADOENBOGOTA@RREE.GOB.SV","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","HONDURAS","HND","CARTAGENA","BOSQUE DIAGONAL 21 NO. 48 – 09","(37.605651, -0.991294)","(57) (5) 6625556 EXT. 101 – (57) 314 5951070","(NO REGISTRA)","SECGERENCIACTG@GRUPOANCLA.COM.CO - CONSULHONDCTG@HOTMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","ASIA","SIRIA. REPÚBLICA ÁRABE","SYR","BARRANQUILLA","CALLE 72 NO. 47 – 59","(10.98611, -74.77028)","(57) (5) 3581693 – 3581322","(NO REGISTRA)","CONSULADODESIRIA@HOTMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","REPUBLICA DOMINICANA","DOM","CALI","CALLE 70N NO. 3N-45 EDIFICIO GARCÉS LLOREDA","(3.420556, -76.522222)","(57) (2) 654 14 54","(NO REGISTRA)","CONSULADORDCALICOLOMBIA@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","SUIZA","CHE","CALI","AVENIDA 6  BIS NO. 35 N 100 OFICINA 802 EDIFICIO CENTRO EMPRESARIAL","(3.420556, -76.522222)","(57) (2) 6686693 -  6686694","(NO REGISTRA)","CALI@HONREP.CH","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","BOLIVIA","BOL","BOGOTÁ D.C","CARRERA 10 # 113-36 BARRIO SANTA BÁRBARA CENTRAL","(4.598056, -74.075833)","(57) (1) 6126700 - 6194701 - 6121316","(NO REGISTRA)","CENTRAL@EMBAJADABOLIVIACOLOMBIA.ORG","HTTP://WWW.EMBAJADABOLIVIACOLOMBIA.ORG/"
"EMBAJADA CONCURRENTE","ASIA","FILIPINAS","PHL","BRASILIA","SEN - AV. DAS NAÇÕES - LOTE 01 CEP: 70800-910.","(-14.235004, -51.92528)","(+55) (61) 32248694 / 32235143","(NO REGISTRA)","BRASILIAPE@BRTURBO.COM.BR","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","BELGICA","BEL","CARTAGENA","CARRERA 5 NO. 7 – 77  APTO 501 EDIFICIO VENTURA","(37.605651, -0.991294)","(57) (5) 6650561","(NO REGISTRA)","SIMONE.LEJOUR@GMAIL.COM","(NO REGISTRA)"
"EMBAJADA","ÁFRICA","MARRUECOS","MAR","BOGOTÁ D.C","TRANSVERSAL 22 NO 98-82/26 OFICINA 702 EDIFICIO PORTA 100","(4.598056, -74.075833)","(57) (1) 7560869 -7560858-7560859","(57) (1) 7560894","EMBAMARRUECOS@OUTLOOK.COM","HTTP://WWW.EMBAJADAMARRUECOSBOGOTA.COM"
"EMBAJADA","EUROPA","NORUEGA","NOR","BOGOTÁ D.C","CARRERA 11A # 94-45 OFICINA 904","(4.598056, -74.075833)","(57) (1) 6515500","(NO REGISTRA)","EMB.BOGOTA@MFA.NO- JOHAN.VIBE@MFA.NO","HTTP://COLOMBIA.NORWAY.INFO/"
"EMBAJADA","EUROPA","PAISES BAJOS","NLD","BOGOTÁ D.C","CARRERA 13 # 93-40  PISO 5","(4.598056, -74.075833)","(57) (1) 6384200","(57) (1) 6233020","BOG@MINBUZA.NL","HTTP://COLOMBIA.NLEMBAJADA.ORG/"
"CONSULADO HONORARIO","AMÉRICA","ECUADOR","ECU","CARTAGENA","CENTRO CASTEL BONDER EDIFICIO SANTO DOMINGO LOCAL 18","(37.605651, -0.991294)","(57) (5) 6645063 – 315 7311430","(NO REGISTRA)","ALOZANOP69@HOTMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","BRASIL","BRA","BARRANQUILLA","CARRERA 59 81-192","(10.98611, -74.77028)","(57) (5) 3006982 - 3106478798","(NO REGISTRA)","CONSULHONORARIO.BARRANQUILLA@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","GUATEMALA","GTM","CARTAGENA","EDIFICIO COMERCIOS LA MATUNA OFICINA 312 CENTRO","(37.605651, -0.991294)","(57) (5) 6640121 – (57) 315 7337063","(NO REGISTRA)","CIVILCO@UNE.NET.CO","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","ECUADOR","ECU","BOGOTÁ D.C","CALLE 89 # 13-07","(4.598056, -74.075833)","(57) (1) 2126512","(NO REGISTRA)","EECUCOLOMBIA@MMRREE.GOB.ECU","ECUADORENCOLOMBIA.HOSTINGSITEFORFREE.COM"
"EMBAJADA","EUROPA","UNIÓN EUROPEA","UEU","BOGOTÁ D.C","CALLE 116 # 7-15 INTERIOR 2 PISO 12 EDIFICIO CUSEZAR","(4.598056, -74.075833)","(NO REGISTRA)","(57) (1) 6651179","DELEGATION-COLOMBIA@EEAS.EUROPA.EU","HTTP://EEAS.EUROPA.EU/DELEGATIONS/COLOMBIA/INDEX_ES.HTM"
"CONSULADO HONORARIO","EUROPA","ESPAÑA","ESP","BARRANQUILLA","CALLE 18 # 13-560. SOLEDAD","(10.98611, -74.77028)","(57) (5) 3379090 EXT. 163","(NO REGISTRA)","CONSULADODEESPANABARRANQUILLA@GMAIL.COM","(NO REGISTRA)"
"EMBAJADA","ASIA","PALESTINA","PSE","BOGOTÁ D.C","CALLE 45 Nº 14-76","(4.598056, -74.075833)","(57) (1) 2877691  2877904","(57) (1) 2887439","EMBAJADA@EMBAJADAPALESTINA.CO - JEFEDESPACHO@EMBAJADAPALESTINA.CO","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","HUNGRIA","HUN","CARTAGENA","CALLE 3  6- 100. TORRE EMPRESARIAL PROTECCIÓN. OFICINA 707. BOCAGRANDE","(37.605651, -0.991294)","(57) (5) 6431918 - 3157354045","(NO REGISTRA)","LEQUERICA@IEEE.ORG","(NO REGISTRA)"
"CONSULADO","AMÉRICA","CHILE","CHL","BOGOTÁ D.C","CALLE 100 # 11B-46","(4.598056, -74.075833)","(57) (1) 2147990","(57) (1) 6193863","CCHILE.BOGOTA@MINREL.GOV.CL","(NO REGISTRA)"
"EMBAJADA","ÁFRICA","EGIPTO","EGY","BOGOTÁ D.C","CARRERA 16 # 101-51","(4.598056, -74.075833)","(57)(1)6170423 - 2369918 - 2369917 - 8050469","(57) (1) 2369914","EMBEGIPTO.BOGOTA@GMAIL.COM","WWW.MFA.GOV.EG"
"CONSULADO HONORARIO","EUROPA","REPUBLICA CHECA","CZE","MEDELLÍN","CALLE 50 NO 42-54","(6.235925, -75.575137)","(57) (4) 2393333 – (57) 3104480088","(NO REGISTRA)","EJECUTIVA@FENALCOANTIOQUIA.COM -  MEDELLIN@HONORARY.MZV.CZ","(NO REGISTRA)"
"EMBAJADA","EUROPA","SOBERANA ORDEN DE MALTA","MLT","BOGOTÁ D.C","CALLE 107A # 7A-46","(4.598056, -74.075833)","(57) (1) 2144021","(57) (1) 2144021","EMBASSYBOGOTA@ORDEROFMALTACOLOMBIA.ORG- ANTONIO.TARELLI@GMAIL.COM","HTTP://WWW.ORDEROFMALTACOLOMBIA.ORG/"
"CONSULADO HONORARIO","EUROPA","FINLANDIA","FIN","CARTAGENA","CALLE 5 NO 6-15 APTO 5 EDIFICIO BALMORAL","(37.605651, -0.991294)","(57) (5) 6550846 - (57) 3012424428","(NO REGISTRA)","MAPAPEBLES@HOTMAIL.COM","(NO REGISTRA)"
"CONSULADO","AMÉRICA","VENEZUELA","VEN","CÚCUTA","AVENIDA AEROPUERTO CAMILO DAZA. SECTOR CORRAL DE PIEDRA. ZONA INDUSTRIAL. CALLE 17 ESQUINA","
,  
(0.0, 0.0)","(57) (7) 5791954 - 5791951","(57) (7) 5791967","CONVE.COCCT@MPPRE.GOB.VE","(NO REGISTRA)"
"EMBAJADA CONCURRENTE","EUROPA","ESLOVAQUIA","SVK","BRASILIA","SES - AV. DAS NAÇÕES - QD. 805 - LOTE 21 B CEP: 70200-902","(-14.235004, -51.92528)","(+55) (61) 34431263/ 32429719","(NO REGISTRA)","BEM.BRASILIA@MVZ.SK","(NO REGISTRA)"
"CONSULADO","ASIA","CHINA","CHN","BOGOTÁ D.C","CARRERA 16 # 98-30","(4.598056, -74.075833)","(57) (1) 6223126","(57) (1) 6223114","CONSULATE_COL@MFA.GOV.CN","(NO REGISTRA)"
"EMBAJADA","ASIA","EMIRATOS ARABES","ARE","BOGOTÁ D.C","TRANSVERSAL 3 # 86-73","(4.598056, -74.075833)","57 (1) 6353233. 57 (1) 6353406","(57) (1) 6355559","SECRETARY.BOGOTA@MOFA.GOV.AE   BOGOTAEMB.AMO@MOFAIC.AE","HTTP://UAE-EMBASSY.AE/EMBASSIES/BO"
"CONSULADO HONORARIO","AMÉRICA","PARAGUAY","PRY","CALI","CALLE 23 # 7 -39 BARRIO SAN NICOLÁS  CALI","(3.420556, -76.522222)","(57) (2) 8825555 – (57) 310 428 6691","(NO REGISTRA)","VROSA@TECNOQUIMICAS.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","DINAMARCA","DNK","CALI","CALLE 24 NO. 6 – 66 SAN NICOLÁS","(3.420556, -76.522222)","(57) (2) 4899356 – 6905983 – 320 8515982","(NO REGISTRA)","CLAUDIA.QUINTERO@AGRAF.COM- VAGN.KNUDSEN@AGRAF.CO","(NO REGISTRA)"
"EMBAJADA","EUROPA","BELGICA","BEL","BOGOTÁ D.C","AV. CALLE 92 # 11 - 51 OFICINA 503 EDIFICIO MIDTOWN","(4.598056, -74.075833)","(57) (1)  3287180 (57) (1)  3287170","(NO REGISTRA)","BOGOTA@DIPLOBEL.FED.BE- BOGOTA@AWEX-WALLONIA.COM","HTTP://DIPLOMATIE.BELGIUM.BE/COLOMBIA/"
"EMBAJADA","EUROPA","RUMANIA","ROU","BOGOTÁ D.C","CARRERA 7A # 92-58","(4.598056, -74.075833)","(57) (1) 2566438 - 2566719 EXT. 101","(57) (1) 2566158","BOGOTA@MAE.RO- BOGOTA.CONSUL@MAE.RO- IULIAN.IVAN@MAE.RO","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","ECUADOR","ECU","POPAYÁN","CALLE 4 NRO. 1-29","
,  
(0.0, 0.0)","(57) (2) 8389354 - (57) (2) 8242505","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"CONSULADO","AMÉRICA","VENEZUELA","VEN","PUERTO INÍRIDA","BARRIO LA ESPERANZA","
,  
(0.0, 0.0)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","ESPAÑA","ESP","BUENAVENTURA","CALLE 2 # 3-87. PISO 2","
,  
(0.0, 0.0)","(57) (2) 2423817","(NO REGISTRA)","GARCIA.RODRIGUEZ66@HOTMAIL.COM","(NO REGISTRA)"
"EMBAJADA CONCURRENTE","OCEANÍA","AUSTRALIA","(NO REGISTRA)","SANTIAGO DE CHILE","ISIDORA GOYENECHEA 3621. EL GOLF. LAS CONDES –  TORRE  B PISO 13","
,  
(0.0, 0.0)","(+56) (2) 25503500","(+56) (2) 23315960","CONSULAR.SANTIAGO@DFAT.GOV.AU","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","REPUBLICA CHECA","CZE","BUCARAMANGA","CARRERA 39 NO 44-42 EDIFICIO TORREALTA","
,  
(0.0, 0.0)","(57) (7) 6043211 – (57) 3002101238","(NO REGISTRA)","CONSULADOCHECOBUCA@GMAIL.COM - GERMANIVANCABALLERO@GMAIL.COM  -  BUCARAMANGA@HONORARY.MZV.CZ","(NO REGISTRA)"
"CONSULADO","AMÉRICA","VENEZUELA","VEN","RIOHACHA","CARRERA 7 # 3-08 PISO 7B EDIFICIO EL EJECUTIVO","
,  
(0.0, 0.0)","(57) (5) 7274076","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"CONSULADO","AMÉRICA","VENEZUELA","VEN","ARAUCA","CARRERA 23 # 22-75 BARRIO 7 DE AGOSTO","
,  
(0.0, 0.0)","(57) (7) 8852246","(57) (7) 8853170","CONVE.COARC@MPPRE.GOB.VE","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","FRANCIA","FRA","BUCARAMANGA","CALLE21A NO 26-16 CAÑAVERAL","
,  
(0.0, 0.0)","(57) (7) 6187034","(NO REGISTRA)","DOMHENNECHART@GMAIL.COM","(NO REGISTRA)"
"CONSULADO","AMÉRICA","VENEZUELA","VEN","PUERTO CARREÑO","AVENIDA ORINOCO # 6-67","
,  
(0.0, 0.0)","(57) (8) 5654057","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EMBAJADA CONCURRENTE","EUROPA","IRLANDA","IRL","DISTRITO FEDERAL","BLVD. MANUEL ÁVILA CAMACHO 76 PISO 3. LOMAS DE CHAPULTEPEC.","
,  
(0.0, 0.0)","(+52) (55)  5520 5803","(+52) (55)  5520 5892","(NO REGISTRA)","WWW.IRISHEMBASSY.COM.MX/"
"CONSULADO HONORARIO","EUROPA","ALEMANIA","DEU","ARMENIA","CARRERA 14 NO. 23-27 EDIFICIO CÁMARA DE COMERCIO. OFICINA 602 ARMENIA. QUINDÍO","
,  
(0.0, 0.0)","4232600","4293145","NORBERTPUDZICH@HOTMAIL.COM","(NO REGISTRA)"
"CONSULADO","AMÉRICA","PANAMA","PAN","CAPURGANÁ","FRENTE A LA PLAZA PRINCIPAL","
,  
(0.0, 0.0)","(57) 3103035285 (57) 3146436888","(NO REGISTRA)","NAYI051991@HOTMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","FRANCIA","FRA","PEREIRA","CARRERA 16 NO. 36 – 98 SECTOR EL PROGRESO. DOSQUEBRADAS RISARALDA","
,  
(0.0, 0.0)","(57) (6) 3228333 EXT 224. 3231131","(NO REGISTRA)","ALBAN@UNE.NET.CO-  VGIRALDO@TEXTILESOMNES.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","JAMAICA","JAM","SAN ANDRÉS","TRANSVERSAL 2 LOCAL 2","
,  
(0.0, 0.0)","(57) (8) 5125471 – (57)310 7681071","(NO REGISTRA)","ROBINSONSAI@HOTMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","BRASIL","BRA","BUCARAMANGA","CARRERA 19 #35-02 OFICINA 209 UIS BUCARICA.","
,  
(0.0, 0.0)","(57) (7) 6520202 – (57) (7) 6344000 EXT: 3839","(57) (7) 6524378","CONSULADOHONORARIO.BUCARAMANGA@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","ESPAÑA","ESP","CÚCUTA","CALLE 19 # 0B -23. BARRIO BLANCO","
,  
(0.0, 0.0)","(57) (7) 5712607","(NO REGISTRA)","VICECONSULA@YAHOO.ES","(NO REGISTRA)"
"EMBAJADA CONCURRENTE","ASIA","AZERBAIYAN","AZE","DISTRITO FEDERAL","AVENIDA VIRREYES 1015. COLONIA LOMAS DE CHAPULTEPEC. DELEGACIÓN MIGUEL HIDALGO. DISTRITO FEDERAL","
,  
(0.0, 0.0)","(+52) (55) 55 404 109","(+52) (55) 55 401 366","BRAZIL.EMB@MFA.GOV.GE","HTTP://WWW.AZEMBASSY.MX"
"CONSULADO HONORARIO","EUROPA","ESPAÑA","ESP","BUCARAMANGA","CRA 23 # 36-33","
,  
(0.0, 0.0)","(57) (7) 6320090","(NO REGISTRA)","PROSRUEDAGONZALEZ@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","ITALIA","ITA","BUCARAMANGA","CALLE 34 CARRERA 18 Y 19 LOCAL 106- ENTRO COMERCIAL. ROSEDAL","
,  
(0.0, 0.0)","(57) (7) 6303456","(NO REGISTRA)","BUCARAMANGA.ONORARIO@ESTERI.IT","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","MEXICO","MEX","BUCARAMANGA","CARRERA 28 NO 42 – 47 / CALLE 41 N° 38-95 APTO 502","
,  
(0.0, 0.0)","(57) (7) 6903148 – 3163098429- 3137675384","(NO REGISTRA)","JAIMELUISG1@GMAIL.COM - JAIMELUISG@HOTMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","ESPAÑA","ESP","PASTO","(NO REGISTRA)","
,  
(0.0, 0.0)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"CONSULADO","AMÉRICA","VENEZUELA","VEN","ARAUCA","CARRERA 37N # 52-75 ALTOS DE CABECERA","
,  
(0.0, 0.0)","(57) (7) 6436621 - 6436279 - 6138942","(57) (7) 6436389","CONVE.COBCR@MPPRE.GOB.VE","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","AUSTRIA","AUT","SAN ANDRÉS","LA BONBONNIÈRE. AV. JUAN XXIII","
,  
(0.0, 0.0)","(57) (8) 5122 426","(NO REGISTRA)","ANTONIOVONBLON@HOTMAIL.COM","(NO REGISTRA)"
