"entity_name","fiscal_year","governmental_funds_net_pension","governmental_funds_net_pension_1","enterprise_funds_net_pension","enterprise_funds_net_pension_1","intenal_service_funds_net","intenal_service_funds_net_1","fiduciary_funds_net_pension","fiduciary_funds_net_pension_1","total_net_pension_asset","total_net_pension_liability"
"Connie Lane Community Services District","2020",,,,,,,,,"0","0"
"Consolidated Central Valley Table Grape Pest and Disease Control District","2020",,,,,,,,,"0","0"
"Consolidated Emergency Dispatch Agency","2020",,,,,,,,,"0","0"
"Consolidated Fire Agencies","2020",,"5040151",,,,,,,"0","5040151"
"Consolidated Fire Protection District","2020",,"875282000",,,,,,,"0","875282000"
"Consolidated Irrigation District","2020",,,,,,,,,"0","0"
"Consolidated Mosquito Abatement District","2020",,"339139",,,,,,,"0","339139"
"Consolidated Sewer Maintenance District","2020",,,,,,,,,"0","0"
"Consumnes American Bear Yuba Joint Powers Authority","2020",,,,,,,,,"0","0"
"Contra Costa and Solano Counties School District Self Insurance Authority","2020",,,,,,,,,"0","0"
"Contra Costa County Flood Control and Water Conservation District","2020",,,,,,,,,"0","0"
"Contra Costa County Joint Powers Authority For Self-Insurance","2020",,,,,,,,,"0","0"
"Contra Costa County Schools Insurance Group","2020",,,,"1305683",,,,,"0","1305683"
"Contra Costa County Storm Drainage District","2020",,,,,,,,,"0","0"
"Contra Costa County Water Agency","2020",,,,,,,,,"0","0"
"Contra Costa Fire Protection District","2020",,,,,,,,,"0","0"
"Contra Costa Mosquito and Vector Control District","2020",,"2807582",,,,,,,"0","2807582"
"Contra Costa Resource Conservation District","2020",,,,,,,,,"0","0"
"Contra Costa Transportation Authority","2020",,"65000",,,,,,,"0","65000"
"Contra Costa Water Authority","2020",,,,,,,,,"0","0"
"Contra Costa Water District","2020",,,,"34452682",,,,,"0","34452682"
"Convention Center Expansion Financing Authority","2020",,,,,,,,,"0","0"
"Cooperative Agricultural Support Services Authority","2020",,,,,,,,,"0","0"
"Cooperative Organization For The Development of Employee Selection Procedures","2020",,"51639",,,,,,,"0","51639"
"Cooperative Personnel Services","2020",,,,"5915265",,,,,"0","5915265"
"Copco Lake Fire Protection District","2020",,,,,,,,,"0","0"
"Copper Cove Road Division","2020",,,,,,,,,"0","0"
"Copper Cove Rocky Road Community Services District","2020",,,,,,,,,"0","0"
"Copperopolis Cemetery District","2020",,,,,,,,,"0","0"
"Copperopolis Fire Protection District","2020",,"1177865",,,,,,,"0","1177865"
"Copper Valley Community Services District","2020",,,,,,,,,"0","0"
"Corcoran Cemetery District","2020",,,,,,,,,"0","0"
"Corcoran Hospital District","2020",,,,,,,,,"0","0"
"Corcoran Irrigation District","2020",,,,,,,,,"0","0"
"Corcoran Joint Powers Finance Authority","2020",,,,,,,,,"0","0"
"Cordelia Fire Protection District","2020",,"975929",,,,,,,"0","975929"
"Cordova Recreation and Park District","2020",,"3557830",,,,,,,"0","3557830"
"Cordua Irrigation District","2020",,,,,,,,,"0","0"
"Core Area Maintenance District (Contra Costa)","2020",,,,,,,,,"0","0"
"Corning Cemetery District","2020",,,,,,,,,"0","0"
"Corning Healthcare District","2020",,,,,,,,,"0","0"
"Corning Water District","2020",,,,"76164",,,,,"0","76164"
"Coronado Financing Authority","2020",,,,,,,,,"0","0"
"Corona-Norco Unified School District Public Financing Authority","2020",,,,,,,,,"0","0"
"Corona Public Financing Authority","2020",,,,,,,,,"0","0"
"Corona Utility Authority","2020",,,,"30247158",,,,,"0","30247158"
"Corral Hollow Maintenance District (San Joaquin)","2020",,,,,,,,,"0","0"
"Cortina Community Services District","2020",,,,,,,,,"0","0"
"Cortina Creek Flood Control and Flood Water Conservation District","2020",,,,,,,,,"0","0"
"Cortina Water District","2020",,,,,,,,,"0","0"
"Costa Mesa Financing Authority","2020",,,,,,,,,"0","0"
"Costa Mesa Public Finance Authority","2020",,,,,,,,,"0","0"
"Costa Mesa Sanitary District (Orange)","2020",,,,"158318",,,,,"0","158318"
"Cosumnes Community Services District","2020",,"78083490",,,,,,,"0","78083490"
"Cosumnes River Community Services District","2020",,,,,,,,,"0","0"
"Cotati Facilities Financing Authority","2020",,,,,,,,,"0","0"
"Cottonwood Cemetery District (Shasta)","2020",,,,,,,,,"0","0"
"Cottonwood Cemetery District (Yolo)","2020",,,,,,,,,"0","0"
"Cottonwood Creek Meadows Permanent Road Division","2020",,,,,,,,,"0","0"
"Cottonwood Fire Protection District","2020",,"231252",,,,,,,"0","231252"
"Cottonwood Water District","2020",,,,"137712",,,,,"0","137712"
"Coulterville Lighting District","2020",,,,,,,,,"0","0"
"Country Club County Water District","2020",,,,,,,,,"0","0"
"Country Club Estates Lighting District","2020",,,,,,,,,"0","0"
"Country Club Sanitary District (San Joaquin)","2020",,,,,,,,,"0","0"
"Country Club Sewer Maintenance District","2020",,,,,,,,,"0","0"
"Country Club Vista Maintenance District (San Joaquin)","2020",,,,,,,,,"0","0"
"County Consolidated Service Area (Solano)","2020",,,,,,,,,"0","0"
"County Fields Estates Permanent Road Division No. 1837","2020",,,,,,,,,"0","0"
"County Lighting Service District (Santa Clara)","2020",,,,,,,,,"0","0"
"County of Contra Costa Public Financing Authority","2020",,,,,,,,,"0","0"
"County of Los Angeles Redevelopment Refunding Authority","2020",,,,,,,,,"0","0"
"County of Monterey Public Improvement Corporation","2020",,,,,,,,,"0","0"
"County of Riverside Asset Leasing Corporation","2020",,,,,,,,,"0","0"
"County of Riverside Palm Desert Financing Authority","2020",,,,,,,,,"0","0"
"County of Santa Cruz Public Financing Authority","2020",,,,,,,,,"0","0"
"County Sanitation District No. 14 (Los Angeles)","2020",,,,"10373554",,,,,"0","10373554"
"County Sanitation District No. 15 (Los Angeles)","2020",,,,"1442856",,,,,"0","1442856"
"County Sanitation District No. 16 (Los Angeles)","2020",,,,"550901",,,,,"0","550901"
"County Sanitation District No. 17 (Los Angeles)","2020",,,,"90301",,,,,"0","90301"
"County Sanitation District No. 18 (Los Angeles)","2020",,,,"1576070",,,,,"0","1576070"
"County Sanitation District No. 19 (Los Angeles)","2020",,,,"642861",,,,,"0","642861"
"County Sanitation District No. 1 (Los Angeles)","2020",,,,"1509476",,,,,"0","1509476"
"County Sanitation District No. 1 (Nevada)","2020",,,,"3902470",,,,,"0","3902470"
"County Sanitation District No. 1 (Tehama)","2020",,,,,,,,,"0","0"
"County Sanitation District No. 20 (Los Angeles)","2020",,,,"8310449",,,,,"0","8310449"
"County Sanitation District No. 21 (Los Angeles)","2020",,,,"2285407",,,,,"0","2285407"
"County Sanitation District No. 22 (Los Angeles)","2020",,,,"791557",,,,,"0","791557"
"County Sanitation District No. 23 (Los Angeles)","2020",,,,"50887",,,,,"0","50887"
"County Sanitation District No. 2-3 (Santa Clara)","2020",,,,,,,,,"0","0"
"County Sanitation District No. 27 (Los Angeles)","2020",,,,"6600",,,,,"0","6600"
"County Sanitation District No. 28 (Los Angeles)","2020",,,,"45510",,,,,"0","45510"
"County Sanitation District No. 29 (Los Angeles)","2020",,,,"724334",,,,,"0","724334"
"County Sanitation District No. 2 (Los Angeles)","2020",,,,"329077701",,,,,"0","329077701"
"County Sanitation District No. 2 - Refuse Disposal - Working Capital Fund (Los Angeles)","2020",,,,"20173492",,,,,"0","20173492"
"County Sanitation District No. 34 (Los Angeles)","2020",,,,"231",,,,,"0","231"
"County Sanitation District No. 3 (Los Angeles)","2020",,,,"2874112",,,,,"0","2874112"
"County Sanitation District No. 4 (Los Angeles)","2020",,,,"84490",,,,,"0","84490"
"County Sanitation District No. 5 (Los Angeles)","2020",,,,"4855151",,,,,"0","4855151"
"County Sanitation District No. 6 (Contra Costa)","2020",,,,,,,,,"0","0"
"County Sanitation District No. 8 (Los Angeles)","2020",,,,"1577532",,,,,"0","1577532"
"County Sanitation District No. 9 (Los Angeles)","2020",,,,"5958",,,,,"0","5958"
"County Service Area B-1988-1 (Alameda)","2020",,,,,,,,,"0","0"
"County Service Area C (Sutter)","2020",,,,,,,,,"0","0"
"County Service Area D-2 (Contra Costa)","2020",,,,,,,,,"0","0"
"County Service Area D (Sutter)","2020",,,,,,,,,"0","0"
"County Service Area EM 1983-1 (Alameda)","2020",,,,,,,,,"0","0"
"County Service Area EM-1 (Contra Costa)","2020",,,,,,,,,"0","0"
"County Service Area F (Sutter)","2020",,,,,,,,,"0","0"
"County Service Area G (Sutter)","2020",,,,,,,,,"0","0"
"County Service Area L-100 (Contra Costa)","2020",,,,,,,,,"0","0"
"County Service Area L-1973-1 (Alameda)","2020",,,,,,,,,"0","0"
"County Service Area L-2 (Alameda)","2020",,,,,,,,,"0","0"
"County Service Area LA-1991-1 (Alameda)","2020",,,,,,,,,"0","0"
"County Service Area LIB-10 (Contra Costa)","2020",,,,,,,,,"0","0"
"County Service Area LIB-12 (Contra Costa)","2020",,,,,,,,,"0","0"
"County Service Area LIB-13 (Contra Costa)","2020",,,,,,,,,"0","0"
"County Service Area LIB-2 (Contra Costa)","2020",,,,,,,,,"0","0"
"County Service Area M-16 (Contra Costa)","2020",,,,,,,,,"0","0"
"County Service Area M-17 (Contra Costa)","2020",,,,,,,,,"0","0"
"County Service Area M-1 (Contra Costa)","2020",,,,,,,,,"0","0"
"County Service Area M-20 (Contra Costa)","2020",,,,,,,,,"0","0"
"County Service Area M-23 (Contra Costa)","2020",,,,,,,,,"0","0"
"County Service Area M-28 (Contra Costa)","2020",,,,,,,,,"0","0"
"County Service Area M-29 (Contra Costa)","2020",,,,,,,,,"0","0"
"County Service Area M-30 (Contra Costa)","2020",,,,,,,,,"0","0"
"County Service Area M-31 (Contra Costa)","2020",,,,,,,,,"0","0"
"County Service Area No. 101 (Butte)","2020",,,,,,,,,"0","0"
"County Service Area No. 102 (Butte)","2020",,,,,,,,,"0","0"
"County Service Area No. 103 (Butte)","2020",,,,,,,,,"0","0"
"County Service Area No. 103 (Riverside)","2020",,,,,,,,,"0","0"
"County Service Area No. 104 (Riverside)","2020",,,,,,,,,"0","0"
"County Service Area No. 105 (Riverside)","2020",,,,,,,,,"0","0"
"County Service Area No. 108 (Riverside)","2020",,,,,,,,,"0","0"
"County Service Area No. 10 (Calaveras)","2020",,,,,,,,,"0","0"
"County Service Area No. 10 (El Dorado)","2020",,,,,,,,,"0","0"
"County Service Area No. 10 (Fresno)","2020",,,,,,,,,"0","0"
"County Service Area No. 10 (Kern)","2020",,,,,,,,,"0","0"
"County Service Area No. 10 (Madera)","2020",,,,,,,,,"0","0"
"County Service Area No. 10 (Monterey)","2020",,,,,,,,,"0","0"
"County Service Area No. 10 (San Benito)","2020",,,,,,,,,"0","0"
"County Service Area No. 10 (San Joaquin)","2020",,,,,,,,,"0","0"
"County Service Area No. 10 (San Luis Obispo)","2020",,,,,,,,,"0","0"
"County Service Area No. 10 (Santa Cruz)","2020",,,,,,,,,"0","0"
"County Service Area No. 10 (Stanislaus)","2020",,,,,,,,,"0","0"
"County Service Area No. 10 (Tuolumne)","2020",,,,,,,,,"0","0"
"County Service Area No. 10 (Yolo)","2020",,,,,,,,,"0","0"
"County Service Area No. 10 (Yuba)","2020",,,,,,,,,"0","0"
"County Service Area No. 113 (Riverside)","2020",,,,,,,,,"0","0"
"County Service Area No. 114 (Butte)","2020",,,,,,,,,"0","0"
"County Service Area No. 115 (Riverside)","2020",,,,,,,,,"0","0"
"County Service Area No. 115 (San Diego)","2020",,,,,,,,,"0","0"
"County Service Area No. 116 (Butte)","2020",,,,,,,,,"0","0"
"County Service Area No. 117 (Riverside)","2020",,,,,,,,,"0","0"
"County Service Area No. 119 (Butte)","2020",,,,,,,,,"0","0"
"County Service Area No. 11 (Butte)","2020",,,,,,,,,"0","0"
"County Service Area No. 11 (Calaveras)","2020",,,,,,,,,"0","0"
"County Service Area No. 11 (Kern)","2020",,,,,,,,,"0","0"
"County Service Area No. 11 (Plumas)","2020",,,,,,,,,"0","0"
"County Service Area No. 11 (San Benito)","2020",,,,,,,,,"0","0"
"County Service Area No. 11 (San Joaquin)","2020",,,,,,,,,"0","0"
"County Service Area No. 11 (San Mateo)","2020",,,,,,,,,"0","0"
"County Service Area No. 11 (Santa Barbara)","2020",,,,,,,,,"0","0"
"County Service Area No. 11 (Santa Cruz)","2020",,,,,,,,,"0","0"
"County Service Area No. 11 (Shasta)","2020",,,,,,,,,"0","0"
"County Service Area No. 11 (Stanislaus)","2020",,,,,,,,,"0","0"
"County Service Area No. 11 (Tuolumne)","2020",,,,,,,,,"0","0"
"County Service Area No. 11 (Yolo)","2020",,,,,,,,,"0","0"
"County Service Area No. 11 (Yuba)","2020",,,,,,,,,"0","0"
"County Service Area No. 120 (Butte)","2020",,,,,,,,,"0","0"
"County Service Area No. 120 (San Bernardino)","2020",,,,,,,,,"0","0"
"County Service Area No. 12.1 (Kern)","2020",,,,,,,,,"0","0"
"County Service Area No. 121 (Riverside)","2020",,,,,,,,,"0","0"
"County Service Area No. 12.2 (Kern)","2020",,,,,,,,,"0","0"
"County Service Area No. 122 (Riverside)","2020",,,,,,,,,"0","0"
"County Service Area No. 122 (San Diego)","2020",,,,,,,,,"0","0"
"County Service Area No. 124 (Riverside)","2020",,,,,,,,,"0","0"
"County Service Area No. 125 (Butte)","2020",,,,,,,,,"0","0"
"County Service Area No. 125 (Riverside)","2020",,,,,,,,,"0","0"
"County Service Area No. 12.6 (Kern)","2020",,,,,,,,,"0","0"
"County Service Area No. 126 (Riverside)","2020",,,,,,,,,"0","0"
"County Service Area No. 128 (Butte)","2020",,,,,,,,,"0","0"
"County Service Area No. 128 (Riverside)","2020",,,,,,,,,"0","0"
"County Service Area No. 128 (San Diego)","2020",,,,,,,,,"0","0"
"County Service Area No. 129 (Butte)","2020",,,,,,,,,"0","0"
"County Service Area No. 12.9 (Kern)","2020",,,,,,,,,"0","0"
"County Service Area No. 12 (Butte)","2020",,,,,,,,,"0","0"
"County Service Area No. 12 (Calaveras)","2020",,,,,,,,,"0","0"
"County Service Area No. 12 (Madera)","2020",,,,,,,,,"0","0"
"County Service Area No. 12 (Nevada)","2020",,,,,,,,,"0","0"
"County Service Area No. 12 (San Benito)","2020",,,,,,,,,"0","0"
"County Service Area No. 12 (San Joaquin)","2020",,,,,,,,,"0","0"
"County Service Area No. 12 (San Luis Obispo)","2020",,,,,,,,,"0","0"
"County Service Area No. 12 (Santa Barbara)","2020",,,,,,,,,"0","0"
