"title","date_and_time","begins","ends","city_or_town","neighbourhood_id","neighbourhood","where","cost","event_category","event_type","event_link","event_venue","event_id","where_to_purchase_tickets","tickets_phone","category_calendar","web_link","public_engagement_category","short_description","project_name","additional_information","notes_1","notes_2"
"The Grindstone Theatre School Fall Classes are now open for registration!","Thursday, September 22, 2022, 9 - 11am","2022-09-22T08:00:00.000","2022-09-22T11:00:00.000","Edmonton","5480","Strathcona","Grindstone Theatre, 10019 81 Ave NW, Edmonton, AB T6E 1W7","$360","Education","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161214931","Other","161214931","https://www.grindstonetheatre.ca/","780-244-9076","City of Edmonton|Other","https://www.grindstonetheatre.ca/",,"Looking for something new and interesting to do this Fall? Try one of The Grindstone Theatre School Classes!",,,"Looking for something new and interesting to do this Fall? Try one of The Grindstone Theatre School Classes! We have many classes to choose from, including Intro to Lyrical Hip Hop, Acting, Improv, Sketch Writing, Stand Up, Community Production and more!Kids and Teens Classes:Drama Discovery (Levels 1, 2 and 3)Musical Theatre for KidsImprov for KidsImprov for TeensMusical Theatre for Teens Theatre Creation18+ Classes:Acting 101 and 102: Alone On StageCommunity ProductionIntro to Lyrical Hip HopImprov 101 and 202: CharactersStand Up 101 and 201Musical Improv 101Sketch Writing 101 and 201Save $50 by registering before August 17th, 2022!Term Dates: September 17th - November 14th, 2022.All classes run for 8 weeks, finishing with a final showcase at The Grindstone Theatre. The showcase will occur 7-14 days after the 8th class.For more details or to register, go to our website: https://www.grindstonetheatre.ca/",
"The Grindstone Theatre School Fall Classes are now open for registration!","Wednesday, September 21, 2022, 9 - 11am","2022-09-21T08:00:00.000","2022-09-21T11:00:00.000","Edmonton","5480","Strathcona","Grindstone Theatre, 10019 81 Ave NW, Edmonton, AB T6E 1W7","$360","Education","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161214930","Other","161214930","https://www.grindstonetheatre.ca/","780-244-9076","City of Edmonton|Other","https://www.grindstonetheatre.ca/",,"Looking for something new and interesting to do this Fall? Try one of The Grindstone Theatre School Classes!",,,"Looking for something new and interesting to do this Fall? Try one of The Grindstone Theatre School Classes! We have many classes to choose from, including Intro to Lyrical Hip Hop, Acting, Improv, Sketch Writing, Stand Up, Community Production and more!Kids and Teens Classes:Drama Discovery (Levels 1, 2 and 3)Musical Theatre for KidsImprov for KidsImprov for TeensMusical Theatre for Teens Theatre Creation18+ Classes:Acting 101 and 102: Alone On StageCommunity ProductionIntro to Lyrical Hip HopImprov 101 and 202: CharactersStand Up 101 and 201Musical Improv 101Sketch Writing 101 and 201Save $50 by registering before August 17th, 2022!Term Dates: September 17th - November 14th, 2022.All classes run for 8 weeks, finishing with a final showcase at The Grindstone Theatre. The showcase will occur 7-14 days after the 8th class.For more details or to register, go to our website: https://www.grindstonetheatre.ca/",
"The Grindstone Theatre School Fall Classes are now open for registration!","Tuesday, September 20, 2022, 9 - 11am","2022-09-20T08:00:00.000","2022-09-20T11:00:00.000","Edmonton","5480","Strathcona","Grindstone Theatre, 10019 81 Ave NW, Edmonton, AB T6E 1W7","$360","Education","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161214929","Other","161214929","https://www.grindstonetheatre.ca/","780-244-9076","City of Edmonton|Other","https://www.grindstonetheatre.ca/",,"Looking for something new and interesting to do this Fall? Try one of The Grindstone Theatre School Classes!",,,"Looking for something new and interesting to do this Fall? Try one of The Grindstone Theatre School Classes! We have many classes to choose from, including Intro to Lyrical Hip Hop, Acting, Improv, Sketch Writing, Stand Up, Community Production and more!Kids and Teens Classes:Drama Discovery (Levels 1, 2 and 3)Musical Theatre for KidsImprov for KidsImprov for TeensMusical Theatre for Teens Theatre Creation18+ Classes:Acting 101 and 102: Alone On StageCommunity ProductionIntro to Lyrical Hip HopImprov 101 and 202: CharactersStand Up 101 and 201Musical Improv 101Sketch Writing 101 and 201Save $50 by registering before August 17th, 2022!Term Dates: September 17th - November 14th, 2022.All classes run for 8 weeks, finishing with a final showcase at The Grindstone Theatre. The showcase will occur 7-14 days after the 8th class.For more details or to register, go to our website: https://www.grindstonetheatre.ca/",
"The Grindstone Theatre School Fall Classes are now open for registration!","Monday, September 19, 2022, 9 - 11am","2022-09-19T08:00:00.000","2022-09-19T11:00:00.000","Edmonton","5480","Strathcona","Grindstone Theatre, 10019 81 Ave NW, Edmonton, AB T6E 1W7","$360","Education","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161214928","Other","161214928","https://www.grindstonetheatre.ca/","780-244-9076","City of Edmonton|Other","https://www.grindstonetheatre.ca/",,"Looking for something new and interesting to do this Fall? Try one of The Grindstone Theatre School Classes!",,,"Looking for something new and interesting to do this Fall? Try one of The Grindstone Theatre School Classes! We have many classes to choose from, including Intro to Lyrical Hip Hop, Acting, Improv, Sketch Writing, Stand Up, Community Production and more!Kids and Teens Classes:Drama Discovery (Levels 1, 2 and 3)Musical Theatre for KidsImprov for KidsImprov for TeensMusical Theatre for Teens Theatre Creation18+ Classes:Acting 101 and 102: Alone On StageCommunity ProductionIntro to Lyrical Hip HopImprov 101 and 202: CharactersStand Up 101 and 201Musical Improv 101Sketch Writing 101 and 201Save $50 by registering before August 17th, 2022!Term Dates: September 17th - November 14th, 2022.All classes run for 8 weeks, finishing with a final showcase at The Grindstone Theatre. The showcase will occur 7-14 days after the 8th class.For more details or to register, go to our website: https://www.grindstonetheatre.ca/",
"The Grindstone Theatre School Fall Classes are now open for registration!","Sunday, September 18, 2022, 9 - 11am","2022-09-18T08:00:00.000","2022-09-18T11:00:00.000","Edmonton","5480","Strathcona","Grindstone Theatre, 10019 81 Ave NW, Edmonton, AB T6E 1W7","$360","Education","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161214927","Other","161214927","https://www.grindstonetheatre.ca/","780-244-9076","City of Edmonton|Other","https://www.grindstonetheatre.ca/",,"Looking for something new and interesting to do this Fall? Try one of The Grindstone Theatre School Classes!",,,"Looking for something new and interesting to do this Fall? Try one of The Grindstone Theatre School Classes! We have many classes to choose from, including Intro to Lyrical Hip Hop, Acting, Improv, Sketch Writing, Stand Up, Community Production and more!Kids and Teens Classes:Drama Discovery (Levels 1, 2 and 3)Musical Theatre for KidsImprov for KidsImprov for TeensMusical Theatre for Teens Theatre Creation18+ Classes:Acting 101 and 102: Alone On StageCommunity ProductionIntro to Lyrical Hip HopImprov 101 and 202: CharactersStand Up 101 and 201Musical Improv 101Sketch Writing 101 and 201Save $50 by registering before August 17th, 2022!Term Dates: September 17th - November 14th, 2022.All classes run for 8 weeks, finishing with a final showcase at The Grindstone Theatre. The showcase will occur 7-14 days after the 8th class.For more details or to register, go to our website: https://www.grindstonetheatre.ca/",
"The Grindstone Theatre School Fall Classes are now open for registration!","Saturday, September 17, 2022, 9 - 11am","2022-09-17T08:00:00.000","2022-09-17T11:00:00.000","Edmonton","5480","Strathcona","Grindstone Theatre, 10019 81 Ave NW, Edmonton, AB T6E 1W7","$360","Education","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161214926","Other","161214926","https://www.grindstonetheatre.ca/","780-244-9076","City of Edmonton|Other","https://www.grindstonetheatre.ca/",,"Looking for something new and interesting to do this Fall? Try one of The Grindstone Theatre School Classes!",,,"Looking for something new and interesting to do this Fall? Try one of The Grindstone Theatre School Classes! We have many classes to choose from, including Intro to Lyrical Hip Hop, Acting, Improv, Sketch Writing, Stand Up, Community Production and more!Kids and Teens Classes:Drama Discovery (Levels 1, 2 and 3)Musical Theatre for KidsImprov for KidsImprov for TeensMusical Theatre for Teens Theatre Creation18+ Classes:Acting 101 and 102: Alone On StageCommunity ProductionIntro to Lyrical Hip HopImprov 101 and 202: CharactersStand Up 101 and 201Musical Improv 101Sketch Writing 101 and 201Save $50 by registering before August 17th, 2022!Term Dates: September 17th - November 14th, 2022.All classes run for 8 weeks, finishing with a final showcase at The Grindstone Theatre. The showcase will occur 7-14 days after the 8th class.For more details or to register, go to our website: https://www.grindstonetheatre.ca/",
"Shifting Articulations of Asian-ness in Contemporary Canad","Saturday, June 25 - Sunday, August 7, 2022","2022-06-25T00:00:00.000","2022-08-08T00:00:00.000","Edmonton",,,"Online","Free","Exhibits","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161136367","Other","161136367","https://intersectionsinart.com/shifting-articulations/",,"City of Edmonton|Exhibits","https://intersectionsinart.com/shifting-articulations/",,"This exhibition features works from 12 artists that demonstrate the persistence and resilience of Asian experiences.",,,"Come explore a recently opened online exhibit: Shifting Articulations of Asian-ness in Contemporary CanadaProduced by independent curator Yang Lim, this exhibition features works from 12 artists that demonstrate the persistence and resilience of Asian experiences.Highlighting diverse perspectives within Canada’s Asian communities, this exhibition broadens the conversation around “Asian-ness” and complicates what it means to be part of Canada’s Asian diaspora today. It features twelve artists of Asian heritage whose works engage with intersecting narratives, communities, and discursive contexts that navigate the complexities of “Asian-ness” and Asian identities.Some of these artists explore how specific objects and places can become infused with culturally specific meanings that bridge different generations and contribute to a sense of shared heritage. Other artists reveal how intangible things such as language, music, and memories can embody a collective experience or legacy, providing an anchor for redefining or reimagining what it means to belong to a specific community. Some works reshape understandings of “Asian-ness” that have become associated with specific objects and places. The creation of the works themselves becomes a means to make “Asian-ness” visible and to expose its absence in contexts that have rendered “Asian-ness” invisible.This exhibition’s works demonstrate the persistence and resilience of Asian experiences that should be considered, in their own right, as meaningful and valuable for the people who belong to those communities.Enjoy this online multimedia exhibit from June 25th to August 7th!This exhibition is funded with support from the Edmonton Arts Council and the City of Edmonton.Get social with us!Instagram: @artistryprojectsTwitter: @artisteprojectsFacebook: @intersectionsinart",
"Cocktails and Jerk Festival","Saturday, September 3, 1pm - Sunday, September 4, 2022, 9pm","2022-09-03T12:00:00.000","2022-09-04T21:00:00.000","Edmonton","5480","Strathcona","Dr. Wilbert Mcintyre Park, 8331 104 Street NW","Free Admission","Concerts / Performances,Family / Children,Festivals,Holidays","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160907665","Other","160907665","https://cocktailsnjerk2022.eventbrite.com/",,"City of Edmonton|Festivals","https://www.cocktailsnjerk.ca/",,"A tropical staycation in the heart of the Prairies. Good food, good music, great people; come have your fun. Edmonton's newest Caribbean Festival",,,,
"The Sylvia Platters, Jordyn Rayne, and Monks on Call","Saturday, August 20, 2022, 8 - 11:30pm","2022-08-20T19:00:00.000","2022-08-20T23:30:00.000","Edmonton",,,"BlakBar Tavern, 10762 Whyte Avenue","13","Concerts / Performances","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160885711","Other","160885711","At the door.",,"City of Edmonton|Concerts / Performances","https://www.facebook.com/events/2128312574014363",,"Join us for a night of energetic pop, rock, and indie music.",,,"Join us for a night of energetic pop, rock, and indie music.Featuring:The Sylvia PlattersJanglepop and shoegaze from Vancouverhttps://linktr.ee/thesylviaplattersPraise for their latest release: ""Five eminently listenable tunes that were made-to-order for head-bopping down the highway on a summer road trip."" - Stuart Derdeyn, The Vancouver SunJordyn RayneSoulful rock serenadeshttps://jordynraynemusic.com/""Incredible lyrical content; heartbreaking, with vivid imagery and powerful metaphors."" - Steven Azami, May 2022Monks on CallAlt-rock jamshttps://monksoncall.com/++++Doors at 8. Cover $13. 18+ only.",
"Londapalooza","Saturday, August 13, 2022, 12 - 6pm","2022-08-13T11:00:00.000","2022-08-13T18:00:00.000","Edmonton","2400","Kildare","1-Londonderry Mall NW","$15.00","Concerts / Performances","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160883609","Londonderry","160883609","https://www.eventbrite.ca/e/381089066657",,"City of Edmonton|Concerts / Performances","https://www.eventbrite.ca/e/381089066657",,"Londonderry's 50th Anniversary Fest",,,"Londapalooza is coming in hot on August 13th! To celebrate Londonderry's 50th Anniversary we are bringing you a mini festival featuring one of our favourite local bands, Scenic Route to Alaska, as well as Lucette, Lucas Chaisson and Aladean Kheroufi. Join us for an jam packed day of food trucks, music and a farmers market! It's all happening at our South Parking Lot just off 137th Avenue. Grab your tickets at the link below.BUY TICKETS HERE!Full schedule:12:00pm: Doors Open 12:15pm: Aladean Kheroufi2:15pm: Lucas Chaisson3:15pm: Lucette 4:30pm: Scenic Route to Alaska *Please note, times are subject to change. Event is rain or shine.",
"13th annual Pride of the Northside Tournament","Sunday, August 14, 2022","2022-08-14T00:00:00.000","2022-08-15T00:00:00.000","Edmonton",,,"7104 144 avenue","$100 per team, Free to spectators","Sports","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160875474","Londonderry","160875474","www.andrewgparker.com",,"City of Edmonton|Sports","https://andrewgparker.com/pride-of-the-north",,"The Pride of the Northside: Block Party, Community event, Basketball tournament",,,"The Pride of the Northside 4 on 4 Streetball tournament is a 2 day full weekend event in the heart of North Edmonton Streetball culture: Londonderry Outdoor courts. The Tournament was created to uplift the community and to showcase the vibrant streetball and hip hop culture in Northeast Edmonton. Community Barbecue, musical performances, dance competitions, Live DJ, on-site Physiotherapy, 3 point and Slam and Competitions; we do it all in the name of celebrating sport in the city of Edmonton. Every 3rd week of August since August 2009 this tournament has served as a fundraiser, block party, and basketball showcase in the city of Edmonton. This community event is more than a tournament and the participants are a part of a long tradition of community outreach.",
"13th annual Pride of the Northside Tournament","Saturday, August 13, 2022","2022-08-13T00:00:00.000","2022-08-14T00:00:00.000","Edmonton",,,"7104 144 avenue","$100 per team, Free to spectators","Sports","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160875473","Londonderry","160875473","www.andrewgparker.com",,"City of Edmonton|Sports","https://andrewgparker.com/pride-of-the-north",,"The Pride of the Northside: Block Party, Community event, Basketball tournament",,,"The Pride of the Northside 4 on 4 Streetball tournament is a 2 day full weekend event in the heart of North Edmonton Streetball culture: Londonderry Outdoor courts. The Tournament was created to uplift the community and to showcase the vibrant streetball and hip hop culture in Northeast Edmonton. Community Barbecue, musical performances, dance competitions, Live DJ, on-site Physiotherapy, 3 point and Slam and Competitions; we do it all in the name of celebrating sport in the city of Edmonton. Every 3rd week of August since August 2009 this tournament has served as a fundraiser, block party, and basketball showcase in the city of Edmonton. This community event is more than a tournament and the participants are a part of a long tradition of community outreach.",
"Harvest Moon Dinner & Dance","Saturday, September 10, 2022, 6:15 - 11pm","2022-09-10T17:15:00.000","2022-09-10T23:00:00.000","Edmonton",,,"Blatchford Field Air Hangar, Fort Edmonton Park, 7000 143 Street, Edmonton, AB T6H 4P3","250-2000","Concerts / Performances,Non-Profit Fundraiser","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160856578","Fort Edmonton Park","160856578","https://www.eventbrite.ca/e/harvest-moon-dinner-dance-tickets-376541324237",,"City of Edmonton|Concerts / Performances","https://www.eventbrite.ca/e/harvest-moon-dinner-dance-tickets-376541324237",,"Dinner and Dance",,"Become a Sponsor!We have many exciting sponsorship opportunities available for the Harvest Moon Dinner and Dance. To learn more, please contact Marc Quinn at (780) 423-5029 or marc.quinn@edmonton.ca.",,
"Mass Transit: Network Implementation for 1.25 Million People Engaged Edmonton Page","Monday, July 4, 2pm - Friday, August 5, 2022, 11:55pm","2022-07-04T13:00:00.000","2022-08-05T23:55:00.000","Edmonton",,,"Online",,"Public Meeting or similar event","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160840989",,"160840989",,,"Public Engagement|External","https://engaged.edmonton.ca/masstransit","Digital Engagement",,"Mass Transit: Network Implementation for 1.25 Million People",,"<strong>We want to hear from you about transit in your community!</strong>Edmonton needs a robust transit network that connects to all areas of the city, providing Edmontonians with access to safe, convenient and reliable service. The foundation of any transit network is mass transit.&nbsp;<strong>We are currently in Round 1 of engagement for this project.</strong>In Round 1 of the Mass Transit: Network Implementation for 1.25 Million People project, we want to hear from you about your vision, experience and concerns with adding non-LRT mass transit to the City of Edmonton transit network. The City of Edmonton is committed to hearing from residents and creating opportunities for people to contribute to decision making.<strong>How to get involved?</strong>The City is looking for your feedback on Non-LRT Mass Transit approaches and technologies for the future (10+ years). Get involved from&nbsp;July 4 until August 5th.",
"Edmonton Dragon Boat Racing Club Open House","Saturday, August 13, 2022, 11am - 5pm","2022-08-13T10:00:00.000","2022-08-13T17:00:00.000","Edmonton","1210","Riverdale","10296 87 St NW, Edmonton, AB","0","Family / Children,Sports","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160840824","Dawson Park","160840824","https://www.eventbrite.ca/e/edmonton-dragon-boat-racing-club-2022-open-house-tickets-383168255567",,"City of Edmonton|Sports","https://edbrc.club/events",,"A free, family-friendly open house featuring free dragon boat paddling, BBQ, games and prizes.",,,"The Edmonton Dragon Boat Racing Club is celebrating the end of summer with a free Open House! Try paddling a dragon boat, enjoy free BBQ, and explore Dawson Park and the natural scenery of the North Saskatchewan River.",
"Shekinah aboriginal society meeting","Sunday, September 4, 2022, 7:30 - 10:30pm","2022-09-04T18:30:00.000","2022-09-04T22:30:00.000","Edmonton","1020","Boyle Street","Alex taylor yard, 9325 Jasper ave Edmonton, Alberta","free","Non-Profit Fundraiser,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160835495","Other","160835495",,,"City of Edmonton|Other",,,"Meeting for first nations community",,"a 3 day event for Indigenous community of Edmonton.",,
"Shekinah aboriginal society meeting","Saturday, September 3, 2022, 7:30 - 10:30pm","2022-09-03T18:30:00.000","2022-09-03T22:30:00.000","Edmonton","1020","Boyle Street","Alex taylor yard, 9325 Jasper ave Edmonton, Alberta","free","Non-Profit Fundraiser,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160835494","Other","160835494",,,"City of Edmonton|Other",,,"Meeting for first nations community",,"a 3 day event for Indigenous community of Edmonton.",,
"Shekinah aboriginal society meeting","Friday, September 2, 2022, 7:30 - 10:30pm","2022-09-02T18:30:00.000","2022-09-02T22:30:00.000","Edmonton","1020","Boyle Street","Alex taylor yard, 9325 Jasper ave Edmonton, Alberta","free","Non-Profit Fundraiser,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160835493","Other","160835493",,,"City of Edmonton|Other",,,"Meeting for first nations community",,"a 3 day event for Indigenous community of Edmonton.",,
"2022 Servus Edmonton Marathon","Sunday, August 21, 2022, 6am - 2pm","2022-08-21T05:00:00.000","2022-08-21T14:00:00.000","Edmonton",,"Bellevue,Beverly Heights,Boyle Street,Central McDougall,Downtown,Glenora,Gold Bar,Highlands,Laurier Heights,McCauley,Oliver,Parkview","Explore Edmonton's Convention Centre, Start and Finish Jasper Ave 97-99 streets","$140.00 to $45.00 for participants FREE to watch and enjoy","Major Events,Run / Walk,Sports","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160835196","Downtown,Shaw Conference Centre,Various Locations","160835196","www.edmontonmarathon.ca",,"City of Edmonton|Run / Walk","https://www.edmontonmarathon.ca/",,"We will be hosting in- person events Marathon, Half Marathon, and 10K distances, Sunday August 21, 2022.",,"<strong>The &ldquo;friendly&rdquo; marathon is back!</strong>Approachable, accessible, good-natured, this is the marathon where you will feel right at home. No intimidation here, we make it more personal, more genuine, more fun. Hey, it&rsquo;s the Edmonton way. Marathoners say even our course is a bit friendlier &ndash; flat and fast to get you to that finish line with a strong qualifying time or a personal best. And our full-on marathon weekend features special ways to connect with your friends and other runners. Come meet your friends, and make some new ones, in Edmonton.","EDMONTON – Hear that? It’s the sound of happy feet downtown and on communities’ streets for the 2022 Servus Edmonton Marathon, the 31st running. Yes, “The Friendly Marathon” is back live and in-person and we’re so excited! Marathon, Half-Marathon, and Army 10K distances.",
"Camp Dragonfly","Friday, August 12 - Sunday, August 14, 2022","2022-08-12T00:00:00.000","2022-08-15T00:00:00.000","Edmonton",,"Abbottsfield,Albany,Alberta Avenue,Aldergrove,Allard,Allendale,Ambleside,Argyll,Aspen Gardens,Athlone,Avonmore,Balwin,Bannerman,Baranow,Baturyn,Beacon Heights,Bearspaw,Beaumaris,Belgravia,Belle Rive,Bellevue,Belmead,Belmont,Belvedere,Bergman,Beverly Heights,Bisset,Blackburne,Blackmud Creek,Blue Quill,Blue Quill Estates,Bonnie Doon,Boyle Street,Brander Gardens,Breckenridge Greens,Brintnell,Britannia Youngstown,Brookside,Bulyea Heights,Caernarvon,Calder,Callaghan,Callingwood North,Callingwood South,Cameron Heights,Canon Ridge,Canora,Canossa,Capilano,Carlisle,Carlton,Carter Crest,Casselman,Central McDougall,Chambery,Chappelle Area,Charlesworth,Clareview Campus,Clareview Town Centre,Cloverdale,Crawford Plains,Crestwood,Cromdale,Cumberland,Daly Grove,Dechene,Delton,Delwood,Donsdale,Dovercourt,Downtown,Duggan,Dunluce,Eastwood,Eaux Claires,Edgemont,Ekota,Ellerslie,Elmwood,Elmwood Park,Elsinore,Empire Park,Ermineskin,Evansdale,Evergreen,Falconer Heights,Forest Heights,Fraser,Fulton Place,Gariepy,Garneau,Glastonbury,Glengarry,Glenora,Glenridding Area,Glenwood,Gold Bar,Goodridge Corners,Grandview Heights,Granville,Greenfield,Greenview,Griesbach,Grovenor,Haddow,Hairsine,Hawks Ridge,Hazeldean,Henderson Estates,High Park,Highlands,Hillview,Hodgson,Hollick-Kenyon,Holyrood,Homesteader,Hudson,Idylwylde,Inglewood,Jackson Heights,Jamieson Place,Jasper Park,Kameyosek,Keheewin,Kenilworth,Kensington,Kernohan,Kildare,Kilkenny,Killarney,King Edward Park,Kiniski Gardens,Kirkness,Klarvatten,La Perle,Lago Lindo,Lansdowne,Larkspur,Lauderdale,Laurel,Laurier Heights,Lee Ridge,Leger,Lendrum Place,Lewis Farms (Normandeau Gardens),Lorelei,Lymburn,Lynnwood,MacEwan,MacTaggart Area,Magrath Heights,Magrath Heights Area,Malmo Plains,Maple,Maple Ridge,Matt Berry,Mayfield,Mayliewan,McCauley,McConachie Area,McKernan,McLeod,McQueen,Meadowlark Park,Menisa,Meyokumin,Meyonohk,Michaels Park,Mill Woods Town Centre,Miller,Minchau,Montrose,Newton,North Glenora,Northmount,Ogilvie Ridge,Oleskiw,Oliver,Ormsby Place,Ottewell,Overlanders,Oxford,Ozerna,Parkallen,Parkdale,Parkview,Patricia Heights,Pembina,Place LaRue,Pleasantview,Pollard Meadows,Potter Greens,Prince Charles,Prince Rupert,Queen Alexandra,Queen Mary Park,Quesnell Heights,Ramsay Heights,Rapperswill,Rhatigan Ridge,Richfield,Richford,Rideau Park,Rio Terrace,Ritchie,Riverdale,Rosenthal,Rossdale,Rosslyn,Royal Gardens,Rundle Heights,Rural West,Rutherford,Sakaw,Satoo,Schonsee,Secord,Sherbrooke,Sherwood,Sifton Park,Silver Berry,Skyrattler,Spruce Avenue,Starling,Steinhauer,Strathcona,Strathearn,Suder Greens,Summerlea,Summerside,Sunwapta Industrial,Sweet Grass,Tamarack,Tawa,Terra Losa,Terrace Heights,Terwillegar South,Terwillegar Towne,The Hamptons,The Orchards at Ellerslie,Thorncliff,Tipaskan,Trumpeter Area,Tweddle Place,Twin Brooks,Virginia Park,Walker,Webber Greens,Wedgewood Heights,Weinlos,Wellington,West Jasper Place,West Meadowlark Park,Westbrook Estates,Westmount,Westridge,Westview Village,Westwood,Wild Rose,Windermere,Windsor Park,Woodcroft,York","SSUC 10740 19 Ave NW, Edmonton, AB T6J 6W9","175","Family / Children","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160826748","Other","160826748","Register online at https://camp-dragonfly.com/",,"City of Edmonton|Family","https://camp-dragonfly.com/",,"Camp Dragonfly is Edmonton's Trans+ and Gender Creative Kids Camp",,,"Camp Dragonfly is Edmonton's Trans+ and Gender Creative Kids Camp! Campers aged 6-13, their siblings and friends, are invited to join us at our 2022 camp that will be held from August 12th-14th. Campers aged 6-13, or volunteers aged 14 and up can register on our website camp-dragonfly.com",
"Music is Medicine 2022","Friday, August 26, 2022, 12 - 1pm","2022-08-26T11:00:00.000","2022-08-26T13:00:00.000","Edmonton","5200","Garneau","Across from the University of Alberta Hospital's 112 St Entrance (at the picnic tables)","Free","Performing Arts / Culture","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160825024","Old Strathcona,University of Alberta,Other","160825024",,,"City of Edmonton|Concerts / Performances","https://www.friendsofuah.org/news-1-1/2022/7/6/music-is-medicine-2022-line-up",,"Music is Medicine music series is back for another summer!",,,"The Friends of University Hospital's annual Music is Medicine music series is back for another summer! We’re thrilled that so many local musicians will be coming by the University of Alberta Hospital and performing for the community! This year’s line-up includes some of our past performers such as The Aquarius Duo (performed in 2021), Lindon Carter (performed in 2021), Karimah (performned in 2019), and Kimberley MacGregor (performed in 2021). Joining our Music is Medicine family are VISSIA, Josh Sahunta, and Matthew and The Keys! We’re incredibly excited to see so many amazing performers! Performers and dates are listed below. Performances will be held at the picnic tables across from the University of Alberta Hospital’s 112 St Entrance. All performances are subject to rescheduling if the weather chooses not to cooperate, though we will try to reschedule if it happens. Welcome to summer!",
"Music is Medicine 2022","Friday, August 19, 2022, 12 - 1pm","2022-08-19T11:00:00.000","2022-08-19T13:00:00.000","Edmonton","5200","Garneau","Across from the University of Alberta Hospital's 112 St Entrance (at the picnic tables)","Free","Performing Arts / Culture","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160825023","Old Strathcona,University of Alberta,Other","160825023",,,"City of Edmonton|Concerts / Performances","https://www.friendsofuah.org/news-1-1/2022/7/6/music-is-medicine-2022-line-up",,"Music is Medicine music series is back for another summer!",,,"The Friends of University Hospital's annual Music is Medicine music series is back for another summer! We’re thrilled that so many local musicians will be coming by the University of Alberta Hospital and performing for the community! This year’s line-up includes some of our past performers such as The Aquarius Duo (performed in 2021), Lindon Carter (performed in 2021), Karimah (performned in 2019), and Kimberley MacGregor (performed in 2021). Joining our Music is Medicine family are VISSIA, Josh Sahunta, and Matthew and The Keys! We’re incredibly excited to see so many amazing performers! Performers and dates are listed below. Performances will be held at the picnic tables across from the University of Alberta Hospital’s 112 St Entrance. All performances are subject to rescheduling if the weather chooses not to cooperate, though we will try to reschedule if it happens. Welcome to summer!",
