"policy_number","url","policy_title","policy_date","prepared_by","supercedes","reference","policy_statement","fme_rejection_code"
"C554A","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C554A.pdf)","Park and Ride","2016-03-09","Sustainable Development Department","C554","City Council 28 October 2009Transportation Master Plan: The Way We Move (2009)","1. Park and ride will be provided to: a. Improve travel options with the primary objective of increasing transit ridership by providing attractive accessibility to transit; b. Target trips associated with land uses that have high trip generation, such as Edmontonâ€™s Downtown, University, and other post-secondary areas; and c. Accommodate travel necessary to support major special events. 2. Park and ride facilities will be located: a. At selected LRT stations, transit centres, or other major facilities served by LRT, premium bus, or express bus services in areas along or outside of the Inner Ring Road (Yellowhead Trail, 170 Street, Whitemud Drive, and 75 Street/Wayne Gretzky Drive); b. Where direct access to/from the park and ride site is within reasonable distance of an arterial roadway or road of regional significance; and c. At key sites where more intensive development is not possible or feasible, such as the Transportation Utility Corridors; and d. At sites integrated with other complementary land uses (including City or private facilities) served by LRT, premium bus, or express bus service to provide uses to serve users through a broader range of the day and allows utilization of spare capacity in different demand periods. 3. Park and ride design will ensure: a. Consistency with the Edmonton Zoning Bylaw; b. Consistency with the Transit Oriented Development (TOD) Bylaw and Guidelines; and c. Incorporate appropriate elements that recognize all forms of accessibility and multi-modal integration.4. Park and ride facilities may, in some cases, be transitioned into transit oriented developments (TOD) over time and will be designed to optimize redevelopment potential. 5. Parking fees may be charged at park and ride facilities based on: a. Market rate; b. Park and ride user demands; and c. Providing ancillary services such as reserved stalls.",
"C555","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C555.pdf)","Public Private Partnership (P3)","2010-05-07","Finance and Treasury Department","New",,"The City of Edmonton is committed to achieving value for money in public infrastructure and service delivery while ensuring the public interest is protected and Councilâ€™s priorities are met. Public Private Partnerships (P3s) will be considered where the P3s will serve to: a. deliver improved services and better value for money through appropriate allocation of resources, risks, rewards and responsibilities between the City and private sector partners b. enhance public benefits through clearly articulated and managed outcomes c. leverage private sector expertise and innovation opportunities through a competitive and transparent process d. create certainty around costs, schedule, quality and service delivery; and e. optimize use of the asset and included services over the life of the P3 The Public Private Partnership (P3) Policy will apply to large scale (2010 benchmark â€“$30 million), complex public infrastructure projects.",
"C556","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C556.pdf)","Sustainable Purchasing","2009-12-31","Corporate Services Department","New","The Way Ahead: City Strategic Plan, 2009-2018 The Way We Green: Environmental Strategic Plan, 2006 Environmental Policy C512 Environmental Management System Policy C505 Conservation of Natural Sites Policy C467 Sustainable Building Policy C532 Diversity and Inclusion Policy C538 Respectful Workplace A1147 Purchasing of Goods, Services and Construction A1439 Purchasing Light Duty Vehicles A1451 Corporate Procurement Card Procedures","The City of Edmonton recognizes that through its engagement with the public market it has the power to bring about environmental and social improvements both locally and globally while maximizing economic benefits. The Sustainable Purchasing Policy is a framework for purchasing decision-making that will contribute to the Cityâ€™s strategic goals of Preserving and Sustaining Edmontonâ€™s Environment and Diversifying and Strengthening Edmontonâ€™s Economy.",
"C557","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C557.pdf)","Current Planning Branch â€“ Revised Business Model","2010-05-05","Planning and Development Department","New",,"A Current Planning Enterprise Model is established to stabilize revenues in response to annual revenue fluctuations and fund service improvements. The purpose of the Current Planning Enterprise model is to: 1. Fully recover all Current Planning costs including direct, indirect, capital, and service reinvestment costs. 2. Incorporate performance measurement including quarterly measurement of quantitative and qualitative data as collected by the City of Edmonton. 3. Provide flexibility, incentives, and accountability to innovate and seek new revenue streams, partnerships, and business opportunities within its mandate. 4. Establish a Planning Reserve to provide revenue levelling, stabilize resources across extended periods of time, fund initiatives to enhance planning service and accountability. The enterprise model shall operate as one financial and managerial unity in accordance and compliance with other financial policies.",
"C558A","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C558A.pdf)","WASTE MANAGEMENT UTILITY FISCAL POLICY","2014-07-03","Financial Services and Utilities","C558","C558 - City Council June 1, 2011","1. The Utility is to be operated in a manner that balances the best possible service at the lowest cost (public utility) while employing private sector approaches to rate setting. 2. The Utility is exempt from a Local Access Fee as the Utility does not have exclusive rights to the waste collection and disposal market, nor does it have exclusive use of the roadways. 3. The Utility is exempt from Dividend payment to the City of Edmonton. 4. Similar to private utilities, the Utility will account for the cost of service under a full cost accounting approach. 5. Where government grants are not provided for the exclusive use of the Utility, access to government grants requires the completion of a business case that takes into account the overall needs of the community. The allocation of grant funding to the Utility will be based on prioritization of all City capital projects through the Capital Budget Process. 6. For Utility provision of non-regulated services and where such services require significant capital investment and/or have net operating costs, a business case is to be prepared to inform funding decisions to be made by City Council. 7. The Utility is to contribute towards achieving the Cityâ€™s Strategic Plan.",
"C559","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C559.pdf)","Liquor Advertising on Edmonton Transit System Equipment and Property","2011-02-08","Transportation Department","New","City Council Budget Nov 29/10City Council March 2/93City Council Dec 14/82","Liquor advertising shall be permited on Edmonton Transit System equipment and property in accordance with the policy guidelines outlined by the Alberta Gaming and Liquor Commission A.G.L.C.",
"C561","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C561.pdf)","City Hall Public Space Use","2011-01-31","City Managerâ€™s Office","A1432","City Council (information) 2001 04 09Senior Management Team 2001 02 15","City Hall is the legislative centre of Edmontonâ€™s municipal government and fosters the relationship between Edmontonâ€™s government and its community. City Hall public space is intended for Edmontonians and visitors to enjoy, celebrate, gather, discuss, and plan our future. City Hall public space is given to registered Edmonton and area not-for-profit groups that serve, represent and reflect the overall community and that strengthen this relationship.",
"C562","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C562B.pdf)","Community Facility Partner Capital Grant Program","2011-06-27","Community Services","New","Policy C187A Enhancing Community Facility Services through Partnerships, 10 November 2009 The Way We Live: Edmontonâ€™s People Plan","The City encourages and supports partnership opportunities that enhance quality of life through arts, heritage, multi-cultural, social services/community development, recreation, sport and leisure experiences in community facilities. The Community Facility Partner Capital Grant Program addresses an identified gap in providing support to partner groups for the conservation and development of public use facilities.",
"C563","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C563.pdf)","Gifts and Honoraria to Council Members","2011-10-24","Corporate Services","New","New Policy","To establish guidelines for Members of Council in accepting and disclosing gifts and honoraria in the course of fulfilling their duties as elected officials. Principles of democratic local government require that elected officials be independent, impartial and duly responsible to their citizens. To this end, it is imperative that public office not be used for personal gain, and that the public have confidence in the integrity of its government.",
"C564","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C564.pdf)","Residential Neighbourhood Street Lighting Renewal Policy","2011-06-13","Transportation Services","New",,"The City of Edmonton strives to provide high quality residential street lighting that includes proper lighting for pedestrians, cyclists and motorists through application of appropriate engineering guidelines and standards to ensure safety while minimizing light pollution, power consumption and green house gas generation. The City of Edmonton will exercise environmental stewardship of its residential street lighting system replacement program based on its commitment to: (a) reduce and minimize light pollution and light trespass through the use of full cut-off, IDA Approved or appropriate BUG Rated luminaires (b) continually improve the quality of road and walkway lighting by reviewing and implementing technological improvements, designs and operating practices where possible (c) minimize impacts to adjacent residents by maintaining existing pole locations where possible (d) maintain historical light levels where possible without impacting pedestrian, cyclist or motorist safety.",
"C565","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C565.pdf)","Transit Oriented Development","2012-02-08","Sustainable Development Department","New","The Way AheadThe Way We GrowThe Way We MoveThe Way We GreenThe Way We Live","The City of Edmonton, through its planning, decision making processes and leadership, supports transit and land use integration. This optimizes the use of public transportation, increases mobility choices of Edmontonians and creates vibrant and diverse neighbourhoods to support a sustainable transit system and concentrate Edmontonâ€™s future urban form.",
"C566","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C566.pdf)","Speed Reduction Policy","2012-10-03","Transportation Services","New",,"Reducing speed limits to 40 km/hr in residential neighbourhoods are to be considered on an individual neighbourhood basis and will be considered when found to be an appropriate measure in the context of all available strategies for speed management and safety within residential neighbourhoods and with evidence of 67% community support. This policy does not apply to arterial roadways within or on the boundary of communities (arterial roadways as defined by the Transportation System Bylaw).",
"C567","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C567.pdf)","Green Building","2012-06-13","Sustainable Development","New","The Way AheadThe Way We GrowThe Way We MoveThe Way We GreenThe Way We Live","The City of Edmonton can play a strong role in supporting a green building sector that improves the environmental, health, and socioeconomic performance of all existing and new commercial, institutional, industrial, mixed-use, multifamily residential and single-family residential buildings in Edmonton. The City is also well positioned to lead and support the delivery of public and industry education campaigns, provide incentives and engage in capacity building activities and use its authority in land use planning and development approvals to transform the local green building market.",
"C569","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C569.pdf)","Optimization of the Transportation System Network","2012-09-18","Transportation Services","New","The Way We Move","The City, through its planning and design processes, strives to improve the quality of all modes of transportation and to optimize the use of the transportation network. The City recognizes that many physical, financial and community constraints make it infeasible or undesirable to build or expand roads to alleviate all congestion. The City will develop and apply a framework for congestion management that considers all modes of transportation, including pedestrians, cyclists, transit, autos and goods movement.",
"C570","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C570.pdf)","Current Planning Reserve","2012-10-30","Current Planning Branch/Financial Services","New","City Council June 23, 2010: Current Planning Branch â€“ Revised Business Model Policy C557Municipal Government Act, R.S.A. 2000, C.M-6, as amendedCity Council October 20, 2009: Reserve and Equity Accounts","1. In compliance with this policy, Reserve and Equity Accounts Policy C217B and the Municipal Government Act, the establishment of a Current Planning Reserve and the transfer to and from the reserve requires Council approval through the budget. 2. The Current Planning Reserve will have a minimum balance of 30% with a target balance of 75% of the current budgeted expenditure (excluding any non-cash amortization) of Current Planning Branch. The target will be reviewed and reported to Council on a periodic basis. 3. One hundred percent of any annual Current Planning Branch surplus will be placed in the Current Planning Reserve. One hundred percent of any annual deficit will be drawn from the Current Planning Reserve. In the event that the reserve does not cover the deficit, Administration may request that Council approve tax levy support which will be repaid by future periods planning revenues. 4. In the event of a balance exceeding the target, Administration will develop a strategy to reduce the fund balance over a period not to exceed three years. In the event of a balance below the minimum level, Administration will develop a strategy to achieve the minimum level over a period not to exceed three years starting with the subsequent year operating budget. 5. The Current Planning Reserve balance and policy will be reviewed annually and a recommendation will be brought forward to Council.",
"C571","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C571.pdf)","Brownfield Remediation and Redevelopment Support","2013-04-02","Sustainable Development","New","City Council April 10, 2013","The City of Edmonton is committed to achieving sustainability. This includes support for brownfield remediation and redevelopment where it advances one or more municipal priorities including, but not limited to: a. Environmental restoration b. Neighbourhood revitalization c. Municipal financial sustainability d. Incorporation of existing City infrastructure e. Compact urban form The City of Edmontonâ€™s support includes grant funding through the Brownfield Grant program to off set costs associated with the following remediation and redevelopment activities. Phase I, II and IV grants would be funded from a fixed annual budget. Phase III grants would be funded through municipal tax uplift resulting directly from the redevelopment impact of the site: 1. Phase I and II, including site testing and feasibility assessments for re-use; 2. Phase III being site remediation; and 3. Phase IV being interim use purposes.",
"C572","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C572.pdf)","Designing New Neighbourhoods","2013-05-22","Sustainable Development","New","The Way AheadThe Way We GrowThe Way We MoveThe Way We GreenThe Way We LiveThe Way We Prosper","Building unique and vibrant new neighbourhoods is important to the quality of life, competitiveness, identity and growth of our city. The City of Edmonton supports the development of innovative, adaptable and sustainable communities. One of the ways it does this is through the implementation of Guidelines for Edmontonâ€™s Future Residential Communities. These Guidelines provide a vision for new residential neighbourhoods and inform the preparation of Neighbourhood Structure Plans in the Cityâ€™s Urban Growth Areas.",
"C573A","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C573A.pdf)","Complete Streets","2015-10-20","Transportation Services","C573","City Council 2013 05 22","Streets that reflect the surrounding area, are safe and welcoming to all users are important for the quality of life, competitiveness and growth of our city. The City of Edmonton will utilize the principles of Complete Streets in all new and rehabilitation projects that take place on public road right-of-way. Complete Streets are intended to: â€¢ Provide travel options for all users and trip purposes in a safe, accessible, context sensitive manner in all seasons; â€¢ Form a network of streets that together accommodate all users and allow for efficient and high quality travel experiences; â€¢ Be adaptable by accommodating the needs of the present and future through effective space allocation for the many functions of the street; â€¢ Contribute to the environmental sustainability and resiliency of the city; â€¢ Consider both direct and indirect costs, as well as the value of the roadway and the adjacent real estate; and â€¢ Be vibrant and attractive people places in all seasons that contribute to an improved quality of life.",
"C575B","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C575B.pdf)","Agencies, Boards, Committees and Commissions","2016-01-26","Corporate Services","C575A C575 C472F C473C C475A C476C","City Council February 25, 2014City Council May 12, 2015","Edmonton City Council values the voice of citizens in local governance. City Council demonstrates this value in part through the establishment and support of agencies, boards, committees and commissions. City Council will: â€¢ create City Agencies with a clear purpose, and which will make an effective use of the time and knowledge that citizens bring to their role; â€¢ provide the support and resources required to fulfill the mandate of a City Agency; â€¢ appoint individuals that have been recruited through a fair, equitable and inclusive process; and â€¢ acknowledge and recognize the participation of citizens.",
"C576","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C576.pdf)","Light Efficient Community Policy","2013-08-21","Transportation Services","New","August 28, 2013 City Council","The City of Edmonton strives to provide high quality roadway and outdoor lighting that includes proper lighting for pedestrians, cyclists and motorists through application of appropriate engineering guidelines and standards to ensure safety while minimizing light pollution, power consumption and green house gas generation.Policy Statement/Overall Objective â€“ Effective, Efficient, Sustainable and Safe Use of Light through:ï‚· Minimizing Light Pollution,ï‚· Reduce Energy Consumption and Reduction of Greenhouse Gas Generation,ï‚· Environmental Stewardship,ï‚· Enhancing Public Health and Safety,ï‚· Implementing Cost Effective Solutions.ï‚· The City will actively pursue industry to adapt more quickly to efficient warmer LEDs andappropriate covers, reflectors, etc. associated with minimizing glare and health issues.ï‚· In light of the fast pace of this technology, this will be reviewed annually with an updatedreport to address technology advances and how we are implementing them to ensure ahealthy city, not on an efficient city.",
"C577","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C577.pdf)","Goods Movement","2014-06-18","Transportation Services","New","Edmonton Goods Movement Strategy","Recognizing the importance of goods movement for the quality of life, competitiveness and growth of our city and region, the City of Edmonton will provide a safe and efficient network for goods movement that incorporates an integrated multimodal and regional approach. The network of key goods movement corridors, truck routes and dangerous goods routes will provide direct, connected, and efficient roadway access for goods movement, balanced with the needs of communities. Through planning, operations and maintenance, the City will prioritize investments in support of a goods movement, with consideration for environmental and social impacts.",
"C578","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C578.pdf)","Multi-year Budgeting Policy","2014-08-19","Financial Services and Utilities","New","City Council 2014 09 10","1. The City shall undertake a multi-year approach to budgeting for operating and capital programs and services unless otherwise directed by Council. 2. The end of the term of the multi-year budget is to be coincidental with the calendar year end of the year after the year in which a new Council is elected. The term of the multi-year budget is to be approved by Council. 3. City Council expects the implementation of a multi-year budget will allow for the identification of longer term funding needs for the achievement of Council approved outcomes. 4. City Council expects that the public will be afforded an opportunity to comment on the proposed multi-year budget through a non-statutory public hearing. 5. City Council expects multi-year resource planning to consider the best estimates for all revenues available to the City and the best estimates of expenditure for established service levels and for the operating budget to provide indicative property tax impacts for each year of the multi-year budget. 6. Multi-year budgets are to be managed, monitored and reported upon. 7. City Council expects that adjustments to the multi-year budget that exceed the City Manager's delegated authority will be discussed in public and approved by City Council.",
"C579","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C579.pdf)","Traffic Safety and Automated Enforcement Reserve","2014-11-26","Financial Services and Utilities","New",,"1. In compliance with this policy and the Municipal Government Act, the establishment of all Reserve accounts and the transfers to and from these accounts require City Council approval. 2. The Traffic Safety and Automated Enforcement Reserve will be funded from the Automated Enforcement Revenue and is to have a minimum balance of 5% of actual Automated Enforcement Revenue. In the event the reserve balance falls below the minimum level, a strategy will be adopted to achieve the minimum level over a period not to exceed three years. 3. The Traffic Safety and Automated Enforcement Reserve is established to address the revenue variability associated with automated traffic enforcement and to allow for the accumulation of Annual Traffic Safety Program Surplus funds within the reserve or fund an Annual Traffic Safety Program Deficit when necessary. Annual budgeted automated enforcement revenue is intended to fund on-going traffic safety initiatives and other programs approved by City Council through the budget process. The minimum reserve balance represents the stabilization portion of the Traffic Safety and Automated Enforcement Reserve and is intended to manage unforeseen impacts to revenue in the current year. Any sustained impact to program revenues (i.e. change in legislation, automated enforcement technologies) must be managed in the following budget year. 4. The reserve account balance will be reviewed, a minimum of every three years, with recommendations made to City Council.",
"C580","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C580.pdf)","Construction Hoarding","2015-02-10","Sustainable Development Department","New","The Way AheadThe Way We GrowThe Way We Move","Urban densification and a vibrant public realm are key elements to increasing the livability and sustainability of our city. As the city grows, it is crucial to maintain and improve the walkability and vibrancy of the public realm without hindering development in areas best suited for densification. The City of Edmonton promotes the use of construction hoardings that balance the interests of all parties in order to achieve pedestrian safety, transportation mode equity, vibrant streetscapes and community.",
"C581","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C581.pdf)","Open City Policy","2015-04-14","Corporate Services Department","New","The Way Ahead: City Strategic Plan, 2009-2018Strategic Roadmap: The Way Ahead, 2012Open City Initiative, 2014","As an Open City, the City of Edmonton will create opportunity for diverse input and participation, inviting Edmontonians to play a larger role in shaping the community and enabling social and economic growth.",
"C582","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C582.pdf)","Developer Sponsored Affordable Housing","2015-09-15","Sustainable Development","New",,"The United Nations Human Settlements Programme (UN Habitat) is mandated to promote socially and environmentally sustainable towns and cities with the goal of providing adequate shelter for all. The City of Edmontonâ€™s plans to achieve the orderly, economical and beneficial development, use of land, and patterns of human settlement includes a commitment to work to expand the supply of affordable housing. This policy will contribute to affordable housing by establishing the process whereby developer sponsored affordable housing is created and managed. Developer sponsored affordable housing will use partnerships between the City and residential developers to leverage each partyâ€™s expertise at creating and providing affordable housing. The combined efforts of the public and private sectors will provide a perpetual benefit for Edmonton households in need of affordable housing.",
"C583","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C583.pdf)","Guidelines for Development of the 2009 Surplus School Sites","2015-06-30","Sustainable Development","New","City Council 7 July 2015","Recognizing the significant need for non-market housing in the City, the City will use the following guidelines to develop surplus school sites for residential uses: unless otherwise exempted by Council: 1. Non-market housing will comprise 50% to 75% of the residential units built on surplus school sites, and the remaining residential units will be market housing. 2. Wherever reasonably possible, residential developments on surplus school sites will be located on the portion of the site that was originally designated for the school. Where Administration finds that economics permit and improved community outcomes can be achieved, the equivalent area may be allocated elsewhere within the adjacent green space with Councilâ€™s approval. 3. A goal of non-market housing is to ensure its long term affordability with a target of 50 years following issuance of an occupancy permit. 4. Non-market housing units will not be visually distinguishable from the market units in the development. 5. Developments in surplus school sites will be medium density developments including row housing, medium density multiple family, or low rise apartments (currently zoned as RF5, RF6, and RA7, respectively), with not less than 40 residential units per hectare of residential development. 6. None of the developments will include single detached housing. 7. Developments may include ancillary uses that benefit the residential development and the wider community.",
"C584","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C584.pdf)","Employee Child Care Policy","2016-05-22","Human Resources","New",,"The City of Edmonton values employees and recognizes many staff play a dual role as a parent and as an Employee. As a progressive employer, the City recognizes employee access to quality, affordable and dependable child care for their children and securing such care plays an integral part in an employeeâ€™s overall effectiveness and wellbeing. The City supports playing an active role in exploring the feasibility and expansion of the number of child care options available to employees for their families.",
"C585","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C585.pdf)","Edmontonâ€™s Community Energy Transition Strategy","2015-08-25","Sustainable Development","New","The Way AheadThe Way We GrowThe Way We MoveThe Way We GreenThe Way We Live","The City of Edmonton will lead Edmonton in becoming an energy sustainable city, exemplified by: â€¢ energy literate citizens with energy conserving lifestyles; â€¢ world-class energy efficiency in all types of buildings; â€¢ world-class energy efficiency in industrial processes; â€¢ a strong shift to active and public transportation as preferred modes of travel; â€¢ an urban form that is carefully designed to avoid unnecessary energy use and optimize free energy from the sun; â€¢ greener electricity from Albertaâ€™s electricity grid and local generating facilities; â€¢ a greater portion of electricity produced close to where it is used through district energy systems, combined heat and power systems and renewable and alternative energy technologies; and â€¢ increased electrification of Edmontonâ€™s transportation system with passenger vehicles, buses, light trucks and light rail transit powered by clean electricity.",
"C586","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C586.pdf)","River Access Guiding Principles","2015-09-19","Community Services","New",,"The enjoyment, use and protection of the North Saskatchewan River is important to Edmontoniansâ€™ quality of life. The City of Edmonton will ensure environmental stewardship while encouraging a broader appreciation for activities on or alongside the river, and will provide direction regarding the safe use, programming, partnerships, operations, design and location of infrastructure that supports access to the river and activities associated with the river.",
"C587","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C587.pdf)","Enterprise Risk Management","2016-02-19","Financial Services and Utilities","New",,"The management of corporate risks through a formal enterprise risk management framework and process is key to the fulfillment of Edmonton City Councilâ€™s goals for the City of Edmonton. City Council and the City Manager share the responsibility for creating a corporate culture and philosophy that encourages identification, evaluation, and reporting of corporate risks and risk mitigation strategies.",
"C589","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C589.pdf)","Accessible Participation in Council Meetings, Committee Meetings, and Public Hearings Meetings for Individuals with Disabilities","2016-12-06","Office of the City Manager","New",,"The City of Edmonton is an inclusive organization that values public participation. Administration will strive to ensure Committee meetings, Council meetings, and Public Hearings are accessible for individuals with disabilities or experiencing disability, in order to allow full participation.",
"C590","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/Community_Traffic_Management_Policy_C590.pdf)","Community Traffic Management","2017-04-11","Sustainable Develpment","New",,"The City of Edmonton strives to mitigate the community impacts of the transportation system by managing the behaviour of traffic in residential communities. Community Traffic Management includes physical measures that minimize traffic shortcutting and speeding to enhance safety for residents and all road users. Community Traffic Management also includes initiatives that raise awareness and educate drivers about appropriate behaviour in residential communities.",
"C591","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C591.pdf)","Capital Project Governance","2017-04-25","Integrated Infrastructure Services","New","City Policy C578 Multi-year Budgeting PolicyCity Policy C203C-Debt Management Fiscal PolicyCity Policy C513-Public Involvement","The City of Edmonton is committed to achieving effective and efficient use of public funds dedicated to capital projects. In order to inspire trust among citizens and Council in the Cityâ€™s commitment and ability to deliver quality infrastructure, Administration will ensure that sufficient information is prepared in advance of the Capital Budget process to support informed investment decisions.",
"C592","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C592.pdf)","Industial Infrastructure Cost Sharing Program","2017-06-27","Sustainable Develpment","New",,"The Industrial Infrastructure Cost Sharing Program is designed to assist in financing large municipal infrastructure in industrial areas, and to ultimately encourage the servicing and development of industrial land which provides an increased tax assessment base, employment, and other economic spinoffs.",
"C593","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C593.pdf)","Public Engagement Policy","1900-01-01","Communications and Engagement","Policy C513 - Public Involvement","Policy C513 City Council","The City of Edmonton values public engagement processes and activities that contribute to policy, program, service and project decisions by providing City Council and Administration with the best possible information to support decision making.",
"C594","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C594.pdf)","Open Space Policy","2017-08-29","Urban Form & Corporate Strategic Development","New","The Way Ahead The Way We Grow The Way We Move The Way We Green The Way We Live The Way We Prosper","Edmontonâ€™s green network is a living system of interconnected public parks and open spaces, which together deliver a broad range of ecological services and community benefits. These spaces connect and sustain us, invigorate and inspire us. They contribute to Edmontonâ€™s ecological function, operational capacity, recreational potential, community cohesion and to our health and wellbeing. They shape the cityâ€™s landscape and communities in profound and practical ways.",
"C595","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C595.pdf)","Neighbourhood Renewal Program","2017-05-30","Integrated Infrastructure Services","New",,"In compliance with this policy and the Municipal Government Act, the establishment of all Reserve accounts and the transfers to and from these accounts require City Council approval.",
