"sid","title","funding_amount","detailed_reporting_category","description","use_of_evidence_program_evaluation","performance_report_mandatory_and_optional_indicators_"
"28088","Youth Business Initiative","50000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding provided to mitigate financial hardship as this entity experienced negative economic impacts from the pandemic, including revenue loss, operating challenges, and increased costs.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28089","Expand Support for Learner Engagement and Attendance Program (LEAP)","7000000","To be determined","Provide funding to expand access to the Department of Education Learner Engagement and Attendance Program (LEAP). The LEAP program involves voluntary, scheduled opportunities for a school district member or partner to go, in pairs, to the home (or other location) of a student with prior chronic absence to meet with a parent or guardian for the purpose of strengthening the school-family relationship in a positive and relational manner.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28090","Increase College Opportunities Through Dual Enrollment","3500000","To be determined","Provide funding to support career and college readiness through dual enrollment programs for high school students to participate in college coursework while completing their high school degree.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28091","Provide Funding for the American School for the Deaf","1115000","To be determined","Provide funding to support summer enrichment, workforce development, and technological upgrades at the American School for the Deaf.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28092","Provide Funding to Support FAFSA Completion","500000","To be determined","Provide funding to help school districts increase the number of high school seniors that complete a Free Application for Federal Student Aid (FAFSA).","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28093","Big Brothers / Big Sisters","2000000","To be determined","Funding provided to mitigate financial hardship as this entity experienced negative economic impacts from the pandemic, including revenue loss, operating challenges, and increased costs.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28094","Social Worker Grant SB 1","5000000","To be determined","Provide funding to administer a grant program to provide grants to local and regional boards of education for the purpose of hiring and retaining additional school social workers, school psychologists, school counselors and school nurses to enhance children's mental health.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28095","School Mental Health Workers","15000000","1.12 - Mental Health Services","These funds will be used to support a program to provide grants to local and regional boards of education for the purpose of hiring additional school mental health specialists. Grant allocation will give priority to school districts with large student-to-school mental health specialist ratios or that have a high volume of student utilization of mental health services. The Department of Education will track the number of students served and the hours of service rendered.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28096","School Mental Health Services Grant","8000000","1.12 - Mental Health Services","These funds will be used to support a grant program to provide grants to local and regional boards of education and operators of youth camps and other summer programs for the delivery of mental health services to students.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28097","RESC Trauma Coordinators","1200000","1.12 - Mental Health Services","These funds will support the hiring of a Regional Educational Service Center (RESC) trauma coordinator who will be responsible for developing and implementing a trauma-informed care training program, provide technical assistance to local and regional boards of education in implementing this training program, training school mental health specialists in trauma-informed care, and ensuring these specialists are properly training teachers and school administrators in trauma-informed care.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28098","Para Educational Professional Development HB 5321","1800000","To be determined","Provide funding for paraeducator professional development. Project scoping and development is currently underway.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28099","Leadership Education Athletic Partnership","400000","To be determined","Funding provided to mitigate financial hardship as this entity experienced negative economic impacts from the pandemic, including revenue loss, operating challenges, and increased costs.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28100","Sphere Summer Program","500000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28101","Dream Camp Foundation","1000000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28102","Student Achievement Through Opportunities","300000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28103","Keane Foundation","300000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28104","Greater Hartford YMCA","300000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28105","Free Meals for Students","30000000","2.1 - Household Assistance: Food Programs","These funds will assist Connecticut school districts provide free meals in for all Connecticut students. This funding helps avoid a sudden service reduction, as free meals for students were federally funded in FY 2022, and allows school districts to work with student households for a gradual transition to pre-pandemic free meal policies.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28106","Summer Enrichment Funds to cover fifty per cent required match","8000000","To be determined","Provide funding to support summer enrichment services for school-aged children and youth. Project scoping and development is currently underway.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28107","YWCA of New Britain","200000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28108","FRLP/Direct Certification Census Assistance","200000","To be determined","Provide direct certification census agreements to support households enrolling children in the federal Free and Reduced Lunch Program (FRLP). Project scoping and development is currently underway.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28109","Drug and Alcohol Counseling - Woodstock Academy","200000","1.13 - Substance Use Services","Funds will be used to establish a Drug and Alcohol Counseling Office at The Woodstock Academy (an independent high school) to help the Woodstock Academy prevent and address substance use among students by offering resources and supports to families in our community.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28110","Hartford Knights","100000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28111","BSL Educational Foundation","100000","To be determined","Funding provided to mitigate financial hardship as this entity experienced negative economic impacts from the pandemic, including revenue loss, operating challenges, and increased costs.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28112","Magnets - Tuition Coverage for 1 year","11000000","To be determined","Provide funding for magnet school tuition assistance for certain towns (New Britain, New London, and Sheff region towns excluding East Hartford and Manchester). An eligible town qualifies for this assistance when tuitioned magnet students are more than four percent of the town's resident students. On a per-student basis, the assistance is the amount of tuition above $4,400, for each tuitioned magnet student above the four percent threshold, within the available funding. Funding is distributed proportionately among the qualifying towns if the assistance is not fully funded.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28113","Bridgeport Education Fund","100000","To be determined","Funding provided to mitigate financial hardship as this entity experienced negative economic impacts from the pandemic, including revenue loss, operating challenges, and increased costs.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28114","Haddam-Killingworth Recreation Department","15000","6.1 - Provision of Government Services","Provide funding to the Haddam-Killingworth Recreation Department, an organization that provides recreation and daycare activities for children and adults, for the neighboring municipalities of Haddam and Killingworth.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28115","Hall Neighborhood House","75000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28116","New Haven Board of Education Adult Education Facility","500000","6.1 - Provision of Government Services","Provide funding to support the New Haven Adult and Continuing Education Center.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28117","New Haven Reads","50000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28118","Solar Youth","100000","To be determined","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28119","Bullard-Havens Technical High School for Operating","50000","6.1 - Provision of Government Services","Provide funding to support operating expenses for the Bullard-Havens Technical High School in Bridgeport.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28120","Provide Funding for a Mobile Crime Laboratory","995000","6.1 - Provision of Government Services","To improve forensic services in support of the criminal justice system’s goal to mitigate violent crimes within the state of Connecticut. Increases in gun violence coupled with novel and more dangerous drugs is inextricably linked to the rise in violent crime in the state. The use of forensic science within crime laboratories plays a critical role in the criminal justice system. Studies have shown that forensic laboratory collaboration improves crime solvability and accuracy of verdicts. Forensic science can help identify a suspect (via DNA), link crime scenes (via DNA and firearms), identify dangerous drugs, and extract probative information from electronic media. Expeditious work by crime laboratories using state of the art analytical tools provides investigative leads during early stages of investigations, helps focus law enforcement efforts in the right direction, and ultimately results in improved case clearance. The agency’s forensic laboratory has an approach to greatly enhance its capabilities to support Connecticut’s criminal justice system by transporting forensic resources and analytical support to the crime scene and/or violent hot spots in order to quickly disrupt criminal activities. This service will be provided using a mobile forensic laboratory vehicle equipped with the advanced technologies in DNA, firearms, and drug testing.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28121","Provide Funding for the Gun Tracing Task Force","2500000","6.1 - Provision of Government Services","The mission of the Gun Tracing Task Force is to combat illegal firearms trafficking by tracing all illegally possessed firearms that are recovered. The purpose of the GTTF is to trace all recovered firearms in order to link them to other crimes committed and determine how the firearm was trafficked. The general population is being served by taking these illegal firearms, linking them to other crimes, and identifying anyone who may be illegally trafficking them. The success of this project will be measured by the number of firearms that can be traced, the amount of other crimes solved by tracing these recovered firearms, as well as the successful arrests, prosecutions, and reductions in violent crime offenses we have reported from the start of the project compared to preceding years.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28122","Provide Funding to State and Local Police Departments to Address Auto Theft and Violence","5200000","6.1 - Provision of Government Services","The purpose of these funds is to reduce auto theft and other crimes related to auto theft in our communities. The funds will be distributed to the cities and suburbs as a ""hub and spoke"" approach to reduce these types of crimes. They will pay for increased police patrols to help deter these criminal acts from taking place. This funding will serve the general population by reducing auto thefts and auto theft related crimes. This programs success will be measured by the reduction of reported crimes such as stolen motor vehicles, thefts from vehicles, and thefts of vehicle components, e.g., catalytic converters. These reported crime statistics will be compared from the start of the project to preceding years.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28123","Upgrade Forensic Technology at the State Crime Lab","2843000","6.1 - Provision of Government Services","The agency’s forensic laboratory has developed the following approaches to greatly enhance its capabilities to support Connecticut’s criminal justice system: 1. Backlog elimination and improve laboratory turnaround time. Eliminate the backlog of cases in the DNA, Firearms, and Computer Crimes and Electronic Evidence Forensic Analysis units by providing additional resources and technology. The presence of backlogged cases within the Division of Scientific Services laboratory potentiates recidivism and delays justice as probative evidence remains unexamined. 2. Improve and advance the laboratory by adding and updating cutting edge technology. The forensic field is continuously improving analytical instrumentation, techniques, and information management tools so that sensitivity is maximized, scientific accuracy is maintained, and that both the electronic flow of forensic intelligence and the electronic distribution of reports are optimized to their full potential.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28124","Rural Roads Speed Enforcement","2600000","6.1 - Provision of Government Services","Since the onset of COVID-19, there has been a rise in aggressive driving habits, which has led to an increase in serious roadway collisions. The Rural Road Speed Enforcement grant will be utilized by the Traffic Services Unit (TSU) to target dangerous driving behavior, specifically speed related violations on Connecticut's secondary roadways. This targeted enforcement will be conducted within the eighty (80) towns exclusively covered by Connecticut State Police. This represents just under fifty percent (50%) of all towns in Connecticut. The ultimate goal of this project is to reduce fatalities, serious injuries, and increase public safety amongst state roadways.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28125","Expand Violet Crimes Task Force","1108000","6.1 - Provision of Government Services","The Violent Crimes Task Force (VCTF), under the command of the Connecticut State Police - Bureau of Special Investigations, works cooperatively with our local law enforcement partners to pursue violent persons through sustained, proactive, coordinated investigations for the common goal of reducing violent crime in our communities by the arrest and prosecution of suspects involved in such activity as well as taking illegal firearms off our streets. The general population will be served by the reduction of violent crime in our communities. The success of this project will be measured by the successful arrests, prosecutions, and reductions in violent crime offenses (homicides, shootings, serious assaults, etc.) that have reported from the start of the project and compared to preceding years.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28126","Online Abuse Grant SB 5","500000","6.1 - Provision of Government Services","The Department of Emergency Services and Public Protection in consultation with the Statewide Hate Crimes Advisory Council to provide education and training opportunities to eligible Connecticut entities to (1) prevent online abuse and (2) inform people about identifying, reporting, responding to and avoiding online abuse.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28127","Fire Data Collection","300000","6.1 - Provision of Government Services","Establish and administer a three year pilot program to collect data related to fire and rescue service delivery in the state of Connecticut. Any local or regional fire department or district that has self-identified as challenged or in crisis regarding the delivery of fire and rescue services may apply to participate. In addition, Regional Dispatch/ Communication Centers may also elect to participate in the data collection program upon request. For the purposes of data collection, the National Fire Operations Reporting System will be utilized to track real-time Computer Aided Dispatch tracking information relevant to fire and rescue response, including but not limited to (1) call processing time, (2) alarm handling, and (3) turnout time. Participating entities will receive monthly reports of the data collected for such fire department or district pursuant to the program.","An evaluation of the program will be conducted annually over the three year pilot period. Evaluations will address the overall effectiveness of the pilot program in collecting relevant data. The evaluation and recommendations will be submitted to the joint standing committees of the General Assembly having cognizance of matters relating to public safety and planning and development.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28128","P.O.S.T High School Recruitment Program for Police","200000","6.1 - Provision of Government Services","The Police Officer Standards and Training Council will work with community leaders to explore initiatives to develop a pilot program that will encourage under-represented individuals to join local police departments within available funding.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28129","Poquetanuck Volunteer Fire Department","150000","6.1 - Provision of Government Services","Funding to support the Poquetanuck Volunteer Fire Department for fire station infrastructure repairs and improvements to include a replacement roof, parking area pavement replacement and miscellaneous facility improvements.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28130","Preston City Volunteer Fire Department","150000","6.1 - Provision of Government Services","Funding to support the Preston City Volunteer Fire Department for fire station infrastructure repairs and improvements to include a replacement roof, exterior brick repair / repointing and miscellaneous facility improvements.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28131","Outdoor Recreation with $1,000,000 for East Rock Park and $1,000,000 for West Rock Park for maintenance, repair, and renovations","22500000","6.1 - Provision of Government Services","Provide funding for maintenance, repair, and renovations for state parks, including East Rock Park in New Haven and West Rock Ridge State Park.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28132","Engineering Study for Dam Removal on Papermill Pond","500000","6.1 - Provision of Government Services","The Department of Energy and Environmental Protection will utilize funds to complete planning, engineering and obtain permits needed for the Paper Mill Pond Dam in the Town of Sprague. Paper Mill Pond Dam is a significant hazard dam on the Little River. The dam is owned by the Town of Sprague. Originally used by the paper companies that occupied the site for hydropower, that dam is in disrepair, covered with woody vegetation, and has a large sink hole. Uncontrolled water is flowing through the dam and flooding the defunct powerhouse. Additional funding will be needed to construct the repair or removal of the dam.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28133","Land Trust Boardwalk Installation","200000","6.1 – Provision of Government Services","Provide funding to the town of West Haven to support the installation of the Land Trust Boardwalk.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28134","Clinton Town Beach","55000","6.1 – Provision of Government Services","Funds will be used to renovate facilities at the Clinton Town Beach. Upgrades, renovations, repairs and improvements to the beach facilities, such as bathhouse house, concession stand, pavilions, splash pad and installation of a booster pump to increase the water supply to the splash pad and bathrooms.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28135","Crystal Lake & Bob Tedford Park Renovations","50000","6.1 – Provision of Government Services","Provide funding to the town of Ellington to support renovations at public outdoor recreation areas at Crystal Lake and Bob Tedford Park.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28136","Ludlowe Park","75000","6.1 – Provision of Government Services","Funds for the Town of Fairfield will be used to purchase a new athletic scoreboard.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28137","Lighthouse Park","500000","2.22 – Strong Healthy Communities: Neighborhood Features that Promote Health and Safety","Funds for park improvements in the disproportionately impacted community of New Haven. Funding for building improvements to the Lighthouse Park bathhouse structure, including program areas, bathrooms and storage.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28138","Park Commission Edgewood Park","800000","2.22 – Strong Healthy Communities: Neighborhood Features that Promote Health and Safety","Funds for park improvements in the disproportionately impacted community of New Haven. Edgewood Park improvements include replacing a footbridge, improvements to athletic facilities, walking path and skate park.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28139","Angel of Edgewood","175000","2.34 – Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding provided to mitigate financial hardship as this entity experienced negative economic impacts from the pandemic, including revenue loss, operating challenges, and increased costs.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28140","Homeless Youth Transitional Housing","1000000","2.16 – Long-term Housing Security: Services for Unhoused Persons","Provide funding to support a statewide scattered-site transitional living program for young adults, similar to other federally-funded transitional living programs for young adults in Connecticut.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28141","Homeless Services","5000000","2.16 – Long-term Housing Security: Services for Unhoused Persons","Provide funding to support homeless services in the state to combat the severe negative economic and public health impacts on unhoused individuals during the COVID-19 pandemic.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28142","Southside Institutions Neighborhood Alliance","500000","2.34 – Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding provided to mitigate financial hardship as this entity experienced negative economic impacts from the pandemic, including revenue loss, operating challenges, and increased costs.",,"The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28143","Support for Affordable Housing","50000000","2.15 – Long-term Housing Security: Affordable Housing","Provide funding of $50 million to fund affordable housing initiatives across the state, with the intention to support the creation of 350 additional units of affordable housing targeted for households earning between 30% and 50% of the area median income and leveraging that investment to support the production of as many as 1,000 additional units of housing.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28144","Rental Assistance Program","1000000","2.2 – Household Assistance: Rent, Mortgage, and Utility Aid","Provide funding to support the Rental Assistance Program (RAP), Connecticut’s state program to assisting very-low income families to afford housing in the private rental market. A family that is issued a RAP certificate is responsible for finding a suitable housing unit of the family’s choice where the owner agrees to rent under the program. The state pays the housing subsidy directly to the landlord on behalf of the participating family. The family pays the difference between the actual rent charged by the landlord and the amount subsidized by the program.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28145","Enhance Mobile Crisis Services- Case Management","3200000","1.12 – Mental Health Services","Provide funding to support case management services for individuals awaiting treatment post-crisis.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28146","Enhance Respite Bed Services for Forensic Population","4292834","1.12 – Mental Health Services","The focus of the program is to decrease the use of the competency to stand trial (CST) evaluation and restoration process for defendants charged with misdemeanor-only crimes. The program will also allow for restoration in the community for defendants that will not be dismissed or who have housing instability, poor adherence to mental health treatment and substance use who might otherwise be sent to Whiting Forensic Hospital (WFH) for restoration. The program provides acute clinical stabilization, peer supports, case management, restoration or initiation of entitlements, referrals to longer-term housing and ultimately permanent housing and employment supports when possible. Additional desired outcomes include engagement/reengagement with services and decreased criminal recidivism. To evaluate these outcomes, we will employ researchers from the University of Connecticut. They will collect and report data on successful diversions, CST evaluations averted, admissions to WFH averted for restoration of competence, decreases in re-arrest for clients served, clients referred to stable housing, clients referred to employment services, length of stay in the program, and number of clients served. They will also conduct interviews with recipients of services for qualitative assessment of client satisfaction.","An evaluation will be conducted for this initiative.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28147","Expand Availability of Privately-Provided Mobile Crisis Services","6000000","1.12 - Mental Health Services","This project will expand mobile crisis services at each of the 8 Department of Mental Health and Addiction Services-funded private non-profit mobile crisis teams with the ultimate outcome of providing in-person, mobile crisis response 24 hours a day, 7 days a week, 365 days a year. The agencies that will receive this funding are: Communicare (BHCare and Bridges), Community Mental Health Affiliates, Community Health Resources, InterCommunity, Danbury Hospital, Rushford, and United Services.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Performance metrics will be provided in future reports."
"28148","Fund Supportive Services to Accompany New Housing Vouchers","2812500","2.18 - Housing Support: Other Housing Assistance","Fund supportive housing services for persons residing in Rapid Rehousing (RRH) programs in Connecticut. The Department of Mental Health and Addiction Services (DMHAS) funded providers will offer pre-tenancy support (gathering paperwork, assistance with housing applications, applying for benefits) and post tenancy housing sustaining services (budgeting, employment, tenancy mediation). DMHAS has a service slot rate of $9,000/ person annually, which will allow 125 persons to receive these services. Aligning the services to RRH will assist persons in transitioning from the RRH program into mainstream housing, which is an overarching goal of RRH. Population served are persons experiencing homelessness or who are at risk of homelessness and who are also diagnosed with a behavioral health diagnosis.","The project was approved by the Governor and Connecticut General Assembly to begin in FY23. Details on its use of evidence and/or program evaluation plans will be provided in future reports.","Desired outcomes include: housing sustainability, increased income, and connection to mainstream services. Services will be aligned throughout CT which will assist the State's continued pursuit in making homelessness rare, brief and one-time. Outcomes will be measured on the Homeless Management Information System and reported to various funders."
