"fisc_period","fisc_year","region","office","town","ttl_cps_acept_m","ttl_cps_subs_m","ttl_allegat_m","ttl_allegat_subs_m","ttl_phys_abuse_m","ttl_educ_neglect_m","ttl_emot_neglect_m","ttl_high_risk_m","ttl_medi_neglect_m","ttl_at_risk_m","ttl_phys_neglect_m","ttl_sex_abuse_m","ttl_hmntr_m","ttl_em_ab_m","ttl_moral_neglect_m","subs_phys_abuse_m","subs_educ_neglect_m","subs_emot_neglect_m","subs_high_risk_m","subs_medi_neglect_m","subs_at_risk_m","subs_phys_neglect_m","subs_sex_abuse_m","sub_hmntr_m","sub_em_ab_m","sub_moral_neglect_m","children_subs","rate_phys_abuse_m","rate_educ_neglect_m","rate_emot_neglect_m","rate_high_risk_m","rate_medi_neglect_m","rate_at_risk_m","rate_phys_neglect_m","rate_sex_abuse_m","rate_hmntr_m","rate_em_ab_m","rate_moral_neglect_m"
"07/01/2017 - 06/30/2018","2018","REGION 3","WILLIMANTIC","THOMPSON","69","<= 10","156","25","<= 10","11","21","-","<= 10","-","105","<= 10","-","<= 10","<= 10","-","-","<= 10","-","-","-","19","<= 10","-","-","-","12","0 - 9 %","-","18 - 28 %","-","0 - 9 %","-","18%","24 - 34 %","-","0 - 9 %","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 3","WILLIMANTIC","UNION","<= 10","<= 10","<= 10","-","-","-","-","-","-","-","-","<= 10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","<= 10","-","-","-","-","-","-","-","0 - 9 %","-","-","-"
"07/01/2017 - 06/30/2018","2018","REGION 3","WILLIMANTIC","WILLINGTON","33","<= 10","77","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","50","-","-","<= 10","<= 10","-","<= 10","<= 10","-","-","-","<= 10","-","-","-","<= 10","<= 10","0 - 9 %","39 - 49 %","12 - 22 %","-","0 - 9 %","-","5 - 15 %","-","-","0 - 9 %","32 - 42 %"
"07/01/2017 - 06/30/2018","2018","REGION 3","WILLIMANTIC","WINDHAM","418","78","1092","324","106","64","212","-","26","-","651","20","-","11","<= 10","<= 10","<= 10","111","-","<= 10","-","182","<= 10","-","<= 10","-","139","5 - 15 %","10 - 20 %","52%","-","26 - 36 %","-","28%","44 - 54 %","-","17 - 27 %","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 3","WILLIMANTIC","WOODSTOCK","29","<= 10","89","26","<= 10","-","36","-","-","-","42","-","-","<= 10","<= 10","-","-","16","-","-","-","<= 10","-","-","-","-","11","0 - 9 %","-","44%","-","-","-","23 - 33 %","-","-","0 - 9 %","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 4","HARTFORD","BLOOMFIELD","160","23","347","60","46","<= 10","50","-","13","-","216","<= 10","-","11","-","<= 10","<= 10","<= 10","-","<= 10","-","37","<= 10","-","<= 10","-","29","14 - 24 %","16 - 26 %","17 - 27 %","-","14 - 24 %","-","17%","19 - 29 %","-","26 - 36 %","0%"
"07/01/2017 - 06/30/2018","2018","REGION 4","HARTFORD","HARTFORD","3108","471","6892","1210","853","603","877","-","152","-","4077","153","<= 10","111","56","51","113","141","-","22","-","808","52","-","<= 10","15","676","6%","19%","16%","-","14%","-","20%","34%","0 - 9 %","6 - 16 %","27%"
"07/01/2017 - 06/30/2018","2018","REGION 4","HARTFORD","WEST HARTFORD","248","42","492","93","86","25","63","-","<= 10","-","276","12","<= 10","12","<= 10","<= 10","<= 10","15","-","<= 10","-","61","<= 10","-","-","<= 10","59","4 - 14 %","15 - 25 %","24%","-","21 - 31 %","-","22%","24 - 34 %","0 - 9 %","-","49 - 59 %"
"07/01/2017 - 06/30/2018","2018","REGION 4","HARTFORD","WINDSOR","205","27","412","78","39","14","55","-","<= 10","-","262","25","-","11","-","<= 10","-","<= 10","-","<= 10","-","63","<= 10","-","<= 10","-","40","4 - 14 %","-","14 - 24 %","-","32 - 42 %","-","24%","7 - 17 %","-","8 - 18 %","0%"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","ANDOVER","16","<= 10","37","<= 10","<= 10","<= 10","<= 10","-","-","-","17","<= 10","-","<= 10","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","0 - 9 %","-","-","-","46 - 56 %","0 - 9 %","-","0 - 9 %","-"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","BOLTON","20","<= 10","62","<= 10","<= 10","<= 10","16","-","-","-","40","<= 10","-","-","-","-","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","37 - 47 %","-","-","-","4 - 14 %","0 - 9 %","-","-","-"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","EAST GRANBY","18","<= 10","48","<= 10","<= 10","<= 10","<= 10","-","-","-","30","-","-","<= 10","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","0 - 9 %","-","-","-","6 - 16 %","-","-","0 - 9 %","-"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","EAST HARTFORD","629","94","1445","270","203","86","216","-","38","-","833","28","<= 10","23","14","<= 10","22","39","-","<= 10","-","177","13","-","<= 10","<= 10","140","2 - 12 %","26%","18%","-","15 - 25 %","-","21%","46%","0 - 9 %","12 - 22 %","28 - 38 %"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","EAST WINDSOR","104","14","225","45","29","12","23","-","<= 10","-","146","<= 10","-","<= 10","<= 10","<= 10","-","13","-","-","-","28","<= 10","-","-","<= 10","23","6 - 16 %","-","57%","-","0 - 9 %","-","19%","24 - 34 %","-","0 - 9 %","49 - 59 %"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","ELLINGTON","76","<= 10","170","11","13","20","29","-","<= 10","-","91","<= 10","-","<= 10","-","<= 10","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","7 - 17 %","-","23 - 33 %","-","0 - 9 %","-","1 - 11 %","16 - 26 %","-","0 - 9 %","-"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","ENFIELD","412","47","1025","153","101","50","192","-","13","-","628","20","<= 10","11","<= 10","<= 10","<= 10","34","-","-","-","103","<= 10","<= 10","-","-","72","6 - 16 %","1 - 11 %","18%","-","-","-","16%","29 - 39 %","39 - 49 %","-","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","GLASTONBURY","130","20","280","52","33","<= 10","41","-","<= 10","-","177","<= 10","<= 10","<= 10","<= 10","<= 10","-","11","-","-","-","33","<= 10","<= 10","-","-","27","5 - 15 %","0 - 9 %","27%","-","0 - 9 %","-","19%","43 - 53 %","66 - 76 %","0 - 9 %","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","GRANBY","44","<= 10","104","21","<= 10","<= 10","17","-","-","-","71","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","13","<= 10","-","<= 10","-","<= 10","0 - 9 %","0 - 9 %","34 - 44 %","-","-","-","18%","49 - 59 %","-","99 - 109 %","0%"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","HEBRON","47","<= 10","112","<= 10","19","<= 10","12","-","<= 10","-","67","<= 10","-","<= 10","<= 10","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","-","0 - 9 %","-","-","0 - 9 %","-","8 - 18 %","0 - 9 %","-","0 - 9 %","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","MANCHESTER","690","82","1493","234","183","49","232","-","27","-","937","27","<= 10","25","11","13","<= 10","27","-","<= 10","-","171","<= 10","-","<= 10","<= 10","122","7%","9 - 19 %","12%","-","14 - 24 %","-","18%","18 - 28 %","0 - 9 %","3 - 13 %","72 - 82 %"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","MARLBOROUGH","25","<= 10","45","<= 10","<= 10","<= 10","<= 10","-","-","-","29","<= 10","-","-","<= 10","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","0 - 9 %","-","-","-","2 - 12 %","0 - 9 %","-","-","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","SOMERS","45","<= 10","80","12","<= 10","<= 10","19","-","-","-","45","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","36 - 46 %","-","-","-","10 - 20 %","0 - 9 %","-","0 - 9 %","-"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","SOUTH WINDSOR","84","14","273","82","21","14","50","-","<= 10","-","171","<= 10","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","-","-","65","<= 10","-","-","<= 10","29","28 - 38 %","-","11 - 21 %","-","0 - 9 %","-","38%","28 - 38 %","0 - 9 %","0 - 9 %","99 - 109 %"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","STAFFORD","148","19","366","47","29","28","72","-","<= 10","-","214","<= 10","-","<= 10","<= 10","-","<= 10","<= 10","-","<= 10","-","33","<= 10","-","-","-","26","-","17 - 27 %","3 - 13 %","-","62 - 72 %","-","15%","16 - 26 %","-","0 - 9 %","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","SUFFIELD","68","12","176","36","12","<= 10","39","-","<= 10","-","116","<= 10","-","<= 10","-","-","-","<= 10","-","<= 10","-","29","-","-","-","-","19","-","0 - 9 %","14 - 24 %","-","49 - 59 %","-","25%","0 - 9 %","-","0 - 9 %","-"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","TOLLAND","49","<= 10","110","<= 10","<= 10","<= 10","24","-","<= 10","-","70","-","-","-","<= 10","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","-","-","0 - 9 %","-","13 - 23 %","-","-","-","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","VERNON","329","55","760","113","82","23","123","-","13","-","473","27","<= 10","11","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","80","<= 10","-","<= 10","<= 10","68","11 - 21 %","16 - 26 %","3 - 13 %","-","14 - 24 %","-","17%","29 - 39 %","0 - 9 %","17 - 27 %","28 - 38 %"
"07/01/2017 - 06/30/2018","2018","REGION 4","MANCHESTER","WINDSOR LOCKS","119","20","271","68","27","<= 10","48","-","<= 10","-","175","<= 10","-","<= 10","<= 10","<= 10","<= 10","14","-","-","-","48","<= 10","-","-","-","26","6 - 16 %","32 - 42 %","29%","-","0 - 9 %","-","27%","32 - 42 %","-","0 - 9 %","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 5","DANBURY","BETHEL","97","23","263","75","29","15","45","-","<= 10","-","154","<= 10","<= 10","<= 10","<= 10","<= 10","<= 10","16","-","<= 10","-","44","<= 10","-","<= 10","<= 10","40","9 - 19 %","32 - 42 %","36%","-","66 - 76 %","-","29%","13 - 23 %","0 - 9 %","49 - 59 %","39 - 49 %"
"07/01/2017 - 06/30/2018","2018","REGION 5","DANBURY","BRIDGEWATER","<= 10","<= 10","<= 10","-","-","-","<= 10","-","-","-","<= 10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","<= 10","-","-","0 - 9 %","-","-","-","0 - 9 %","-","-","-","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","DANBURY","BROOKFIELD","64","<= 10","122","14","12","<= 10","19","-","<= 10","-","77","<= 10","-","<= 10","<= 10","-","-","<= 10","-","-","-","12","-","-","-","-","<= 10","-","0 - 9 %","10 - 20 %","-","0 - 9 %","-","16%","0 - 9 %","-","0 - 9 %","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 5","DANBURY","DANBURY","657","131","1413","341","168","63","210","-","25","-","886","39","<= 10","16","<= 10","20","<= 10","42","-","<= 10","-","249","15","-","<= 10","<= 10","195","12%","10 - 20 %","20%","-","23 - 33 %","-","28%","38%","0 - 9 %","5 - 15 %","24 - 34 %"
"07/01/2017 - 06/30/2018","2018","REGION 5","DANBURY","NEW FAIRFIELD","35","<= 10","66","20","<= 10","<= 10","11","-","<= 10","-","37","<= 10","-","-","-","<= 10","<= 10","<= 10","-","-","-","11","<= 10","-","-","-","13","28 - 38 %","19 - 29 %","44 - 54 %","-","0 - 9 %","-","30%","99 - 109 %","-","-","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","DANBURY","NEW MILFORD","178","39","402","108","35","18","73","-","<= 10","-","241","11","<= 10","<= 10","<= 10","<= 10","<= 10","23","-","-","-","72","<= 10","-","-","<= 10","56","8 - 18 %","38 - 48 %","32%","-","0 - 9 %","-","30%","17 - 27 %","0 - 9 %","0 - 9 %","24 - 34 %"
"07/01/2017 - 06/30/2018","2018","REGION 5","DANBURY","NEWTOWN","78","13","197","34","18","<= 10","45","-","<= 10","-","113","<= 10","-","<= 10","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","20","<= 10","-","<= 10","-","19","5 - 15 %","13 - 23 %","12 - 22 %","-","66 - 76 %","-","18%","59 - 69 %","-","19 - 29 %","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 5","DANBURY","REDDING","19","<= 10","43","<= 10","<= 10","-","11","-","<= 10","-","26","-","-","-","-","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","19 - 29 %","-","17 - 27 %","-","0 - 9 %","-","18 - 28 %","-","-","-","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","DANBURY","RIDGEFIELD","58","<= 10","129","17","22","<= 10","28","-","<= 10","-","63","<= 10","-","<= 10","<= 10","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","-","12","8 - 18 %","0 - 9 %","24 - 34 %","-","0 - 9 %","-","12 - 22 %","0 - 9 %","-","0 - 9 %","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 5","DANBURY","SHERMAN","11","<= 10","25","<= 10","<= 10","-","<= 10","-","<= 10","-","15","<= 10","-","<= 10","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","-","0 - 9 %","-","0 - 9 %","-","12 - 22 %","0 - 9 %","-","0 - 9 %","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","BARKHAMSTED","14","<= 10","32","<= 10","-","-","<= 10","-","-","-","26","-","-","-","-","-","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","-","-","49 - 59 %","-","-","-","18 - 28 %","-","-","-","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","BETHLEHEM","15","<= 10","59","35","<= 10","<= 10","<= 10","-","<= 10","-","39","<= 10","-","<= 10","-","<= 10","-","<= 10","-","-","-","24","<= 10","-","<= 10","-","<= 10","59 - 69 %","0 - 9 %","32 - 42 %","-","0 - 9 %","-","62%","49 - 59 %","-","99 - 109 %","0%"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","CANAAN","31","<= 10","96","33","<= 10","-","18","-","<= 10","-","56","<= 10","-","<= 10","<= 10","<= 10","-","13","-","-","-","13","-","-","-","<= 10","11","19 - 29 %","-","72%","-","0 - 9 %","-","23%","0 - 9 %","-","0 - 9 %","99 - 109 %"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","COLEBROOK","<= 10","<= 10","17","<= 10","<= 10","-","<= 10","-","<= 10","-","<= 10","-","-","-","-","-","-","<= 10","-","<= 10","-","-","-","-","-","-","<= 10","0 - 9 %","-","99 - 109 %","-","99 - 109 %","-","0 - 9 %","-","-","-","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","CORNWALL","<= 10","<= 10","<= 10","-","-","-","-","-","<= 10","-","<= 10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","<= 10","-","-","-","-","0 - 9 %","-","0 - 9 %","-","-","-","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","GOSHEN","16","<= 10","48","15","<= 10","-","11","-","<= 10","-","25","<= 10","-","-","<= 10","-","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","-","63 - 73 %","-","0 - 9 %","-","27 - 37 %","24 - 34 %","-","-","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","HARTLAND","23","<= 10","47","16","<= 10","-","<= 10","-","-","-","34","-","-","-","-","-","-","<= 10","-","-","-","11","-","-","-","-","<= 10","0 - 9 %","-","55 - 65 %","-","-","-","32%","-","-","-","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","HARWINTON","25","<= 10","74","32","<= 10","<= 10","19","-","<= 10","-","40","<= 10","-","-","<= 10","-","-","14","-","-","-","13","<= 10","-","-","<= 10","<= 10","0 - 9 %","0 - 9 %","74%","-","0 - 9 %","-","33%","49 - 59 %","-","-","99 - 109 %"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","KENT","13","<= 10","52","19","<= 10","-","<= 10","-","<= 10","-","37","<= 10","-","-","-","-","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","-","85 - 95 %","-","0 - 9 %","-","23 - 33 %","79 - 89 %","-","-","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","LITCHFIELD","46","<= 10","120","23","15","-","26","-","-","-","69","<= 10","-","<= 10","-","<= 10","-","<= 10","-","-","-","<= 10","<= 10","-","<= 10","-","<= 10","6 - 16 %","-","22 - 32 %","-","-","-","11 - 21 %","99 - 109 %","-","59 - 69 %","0%"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","MORRIS","16","<= 10","30","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","16","<= 10","-","-","-","-","-","-","-","-","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","0 - 9 %","0 - 9 %","-","0 - 9 %","-","12 - 22 %","99 - 109 %","-","-","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","NEW HARTFORD","31","<= 10","61","14","<= 10","-","11","-","<= 10","-","35","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","-","35 - 45 %","-","0 - 9 %","-","25 - 35 %","99 - 109 %","-","0 - 9 %","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","NORFOLK","<= 10","<= 10","15","<= 10","<= 10","<= 10","<= 10","-","<= 10","-","<= 10","<= 10","-","-","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","0 - 9 %","-","0 - 9 %","-","29 - 39 %","0 - 9 %","-","-","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","NORTH CANAAN","<= 10","<= 10","18","<= 10","-","<= 10","<= 10","-","-","-","16","-","-","-","-","-","-","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","-","0 - 9 %","99 - 109 %","-","-","-","5 - 15 %","-","-","-","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","ROXBURY","<= 10","<= 10","18","-","-","-","<= 10","-","-","-","13","<= 10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","<= 10","-","-","0 - 9 %","-","-","-","-","0 - 9 %","-","-","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","SALISBURY","<= 10","<= 10","13","<= 10","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","-","-","-","-","-","-","-","<= 10","-","-","-","-","<= 10","0 - 9 %","-","0 - 9 %","-","-","-","32 - 42 %","-","-","-","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","SHARON","13","<= 10","50","20","<= 10","-","<= 10","-","-","-","34","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","-","99 - 109 %","-","-","-","25 - 35 %","49 - 59 %","-","0 - 9 %","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","THOMASTON","71","11","164","29","14","<= 10","33","-","<= 10","-","92","<= 10","-","<= 10","<= 10","<= 10","-","16","-","-","-","<= 10","<= 10","-","<= 10","-","14","6 - 16 %","0 - 9 %","48%","-","0 - 9 %","-","8 - 18 %","39 - 49 %","-","32 - 42 %","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","TORRINGTON","439","84","1109","298","83","43","215","-","20","-","702","24","<= 10","14","<= 10","<= 10","<= 10","85","-","<= 10","-","188","<= 10","-","-","-","113","7 - 17 %","18 - 28 %","40%","-","9 - 19 %","-","27%","32 - 42 %","0 - 9 %","-","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","WARREN","<= 10","<= 10","16","<= 10","<= 10","-","<= 10","-","<= 10","-","<= 10","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","<= 10","-","<= 10","-","<= 10","0 - 9 %","-","99 - 109 %","-","0 - 9 %","-","32 - 42 %","66 - 76 %","-","99 - 109 %","0%"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","WASHINGTON","<= 10","<= 10","13","<= 10","<= 10","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","-","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","-","32 - 42 %","-","-","-","85 - 95 %","49 - 59 %","-","-","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","WATERTOWN","96","19","252","64","17","<= 10","49","-","<= 10","-","172","<= 10","-","<= 10","<= 10","-","-","18","-","-","-","41","<= 10","-","<= 10","<= 10","31","-","0 - 9 %","37%","-","0 - 9 %","-","24%","32 - 42 %","-","49 - 59 %","49 - 59 %"
"07/01/2017 - 06/30/2018","2018","REGION 5","TORRINGTON","WINCHESTER","126","25","328","97","13","11","78","-","<= 10","-","207","<= 10","-","<= 10","<= 10","<= 10","-","37","-","<= 10","-","54","-","-","<= 10","-","37","14 - 24 %","-","47%","-","12 - 22 %","-","26%","0 - 9 %","-","37 - 47 %","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 5","WATERBURY","BEACON FALLS","28","<= 10","82","16","<= 10","<= 10","22","-","<= 10","-","41","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","-","-","<= 10","-","<= 10","0 - 9 %","0 - 9 %","35 - 45 %","-","0 - 9 %","-","11 - 21 %","0 - 9 %","-","49 - 59 %","0%"
"07/01/2017 - 06/30/2018","2018","REGION 5","WATERBURY","MIDDLEBURY","21","<= 10","46","<= 10","<= 10","<= 10","<= 10","-","-","-","16","<= 10","-","<= 10","<= 10","-","<= 10","-","-","-","-","-","<= 10","-","-","<= 10","<= 10","0 - 9 %","66 - 76 %","0 - 9 %","-","-","-","-","49 - 59 %","-","0 - 9 %","99 - 109 %"
"07/01/2017 - 06/30/2018","2018","REGION 5","WATERBURY","NAUGATUCK","295","47","769","182","74","18","156","-","<= 10","-","476","23","-","11","<= 10","<= 10","<= 10","56","-","-","-","104","<= 10","-","<= 10","-","68","6 - 16 %","32 - 42 %","36%","-","0 - 9 %","-","22%","38 - 48 %","-","17 - 27 %","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 5","WATERBURY","OXFORD","37","<= 10","85","12","12","<= 10","14","-","<= 10","-","37","-","-","<= 10","-","<= 10","<= 10","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","16 - 26 %","49 - 59 %","20 - 30 %","-","0 - 9 %","-","7 - 17 %","-","-","0 - 9 %","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","WATERBURY","PROSPECT","28","<= 10","67","<= 10","14","<= 10","<= 10","-","<= 10","-","36","<= 10","-","<= 10","<= 10","-","<= 10","-","-","-","-","<= 10","-","-","-","-","<= 10","-","66 - 76 %","0 - 9 %","-","0 - 9 %","-","10 - 20 %","0 - 9 %","-","0 - 9 %","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 5","WATERBURY","SOUTHBURY","36","<= 10","87","19","<= 10","<= 10","11","-","<= 10","-","63","-","-","<= 10","-","-","-","<= 10","-","-","-","14","-","-","-","-","<= 10","0 - 9 %","0 - 9 %","44 - 54 %","-","0 - 9 %","-","22%","-","-","0 - 9 %","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","WATERBURY","WATERBURY","1746","364","4835","1636","352","232","877","-","108","-","3003","152","11","58","42","35","98","408","-","39","-","960","68","-","16","12","547","10%","42%","47%","-","36%","-","32%","45%","-","28%","29%"
"07/01/2017 - 06/30/2018","2018","REGION 5","WATERBURY","WOLCOTT","74","14","216","66","19","<= 10","46","-","<= 10","-","141","<= 10","-","<= 10","-","<= 10","-","23","-","-","-","38","<= 10","-","-","-","20","10 - 20 %","0 - 9 %","50%","-","0 - 9 %","-","27%","49 - 59 %","-","0 - 9 %","-"
"07/01/2017 - 06/30/2018","2018","REGION 5","WATERBURY","WOODBURY","39","<= 10","125","61","<= 10","<= 10","22","-","<= 10","-","83","<= 10","<= 10","<= 10","-","-","-","18","-","<= 10","-","38","<= 10","-","<= 10","-","11","0 - 9 %","0 - 9 %","82%","-","99 - 109 %","-","46%","59 - 69 %","0 - 9 %","49 - 59 %","0%"
"07/01/2017 - 06/30/2018","2018","REGION 6","MERIDEN","CHESHIRE","76","<= 10","157","20","32","<= 10","21","-","<= 10","-","96","<= 10","-","<= 10","-","<= 10","<= 10","<= 10","-","-","-","15","-","-","-","-","13","5 - 15 %","24 - 34 %","9 - 19 %","-","0 - 9 %","-","16%","0 - 9 %","-","0 - 9 %","-"
"07/01/2017 - 06/30/2018","2018","REGION 6","MERIDEN","MERIDEN","949","117","2150","296","217","129","346","-","68","-","1315","36","<= 10","18","11","15","<= 10","57","-","<= 10","-","194","11","<= 10","<= 10","<= 10","172","7%","5 - 15 %","16%","-","11 - 21 %","-","15%","31%","9 - 19 %","5 - 15 %","8 - 18 %"
"07/01/2017 - 06/30/2018","2018","REGION 6","MERIDEN","WALLINGFORD","197","16","457","58","47","17","65","-","<= 10","-","301","<= 10","<= 10","<= 10","<= 10","<= 10","<= 10","<= 10","-","-","-","40","<= 10","-","-","-","25","3 - 13 %","17 - 27 %","14 - 24 %","-","0 - 9 %","-","13%","37 - 47 %","0 - 9 %","0 - 9 %","0 - 9 %"
"07/01/2017 - 06/30/2018","2018","REGION 6","NEW BRITAIN","AVON","35","<= 10","75","<= 10","<= 10","<= 10","14","-","-","-","50","<= 10","-","<= 10","-","-","-","<= 10","-","-","-","<= 10","<= 10","-","-","-","<= 10","0 - 9 %","0 - 9 %","6 - 16 %","-","-","-","3 - 13 %","49 - 59 %","-","0 - 9 %","-"
"07/01/2017 - 06/30/2018","2018","REGION 6","NEW BRITAIN","BERLIN","91","11","173","20","22","<= 10","16","-","<= 10","-","117","<= 10","-","<= 10","<= 10","-","-","<= 10","-","-","-","12","<= 10","-","-","<= 10","<= 10","-","0 - 9 %","18 - 28 %","-","0 - 9 %","-","10%","39 - 49 %","-","0 - 9 %","99 - 109 %"
"07/01/2017 - 06/30/2018","2018","REGION 6","NEW BRITAIN","BRISTOL","641","122","1340","269","147","74","195","-","28","-","824","36","<= 10","20","15","<= 10","15","51","-","<= 10","-","171","17","-","<= 10","<= 10","154","5 - 15 %","20%","26%","-","3 - 13 %","-","21%","47%","0 - 9 %","9 - 19 %","19 - 29 %"
"07/01/2017 - 06/30/2018","2018","REGION 6","NEW BRITAIN","BURLINGTON","47","<= 10","93","12","13","<= 10","23","-","-","-","49","-","-","<= 10","-","-","<= 10","<= 10","-","-","-","<= 10","-","-","-","-","<= 10","-","19 - 29 %","25 - 35 %","-","-","-","9 - 19 %","-","-","0 - 9 %","-"
