"fiscal_year","town_code","municipality","total_consideration_for","total_amount_due","consideration_for_unimproved","tax_on_unimproved_land","total_consideration_for_1","consideration_for_residential","tax_on_consideration_under","consideration_for_residential_1","tax_on_consideration_over","consideration_for_residential_2","tax_on_consideration_between","consideration_for_residential_3","tax_on_consideration_over_1","residential_property_other","tax_on_residential_property","nonresidential_property_other","tax_on_nonresidential_property","delinquent_mortgage_conveyance","tax_on_delinquent_mortgagor","number_of_taxable_conveyances","number_of_non_taxable_and"
"FY 2019-20","167","WOODBRIDGE (167)","71258456","602286","125500","941","58300856","57561356","431710","739500","9244",,,,,"2100","16","12830000","160375","0","0","138","36"
"FY 2019-20","168","WOODBURY (168)","67909673","545067","1086000","8145","59327673","58958804","442191","368869","4611",,,,,"716000","5370","6780000","84750","0","0","214","68"
"FY 2019-20","169","WOODSTOCK (169)","52947261","419329","3644820","27336","44771441","44771441","335786","0","0",,,,,"86000","645","4445000","55563","0","0","218","53"
"FY 2019-20","000","TOWN UNKNOWN","77835536","667882","2627046","19703","61454490","58295490","437216","3159000","39488",,,,,"90000","675","13664000","170800","0","0","215","67"
"FY 2019-20",,"ALL MUNICIPALITIES","22822275707","199101702","572083446","4290626","18091852342","15577764890","116833237","2514087452","31426093",,,,,"1083383313","8125375","3072839354","38410492","2117252","15879","57556","19432"
"FY 2018-19","001","ANDOVER (001)","15388740","115906","236420","1773","15062320","14964320","112232","98000","1225",,,,,"90000","675","0","0","0","0","65","44"
"FY 2018-19","002","ANSONIA (002)","48747965","390767","1440900","10807","41999044","41999044","314993","0","0",,,,,"276521","2074","5031500","62894","0","0","228","136"
"FY 2018-19","003","ASHFORD (003)","12217580","95764","610000","4575","10781080","10781080","80858","0","0",,,,,"0","0","826500","10331","0","0","73","45"
"FY 2018-19","004","AVON (004)","176014978","1505635","2426890","18202","119534969","118496363","888723","1038606","12983",,,,,"17987119","134903","36066000","450825","0","0","343","148"
"FY 2018-19","005","BARKHAMSTED (005)","15141550","119524","1587750","11908","11221300","11221300","84160","0","0",,,,,"1140000","8550","1192500","14906","0","0","63","49"
"FY 2018-19","006","BEACON FALLS (006)","60434219","461557","340440","2553","30030279","30030279","225227","0","0",,,,,"28403500","213026","1660000","20750","0","0","133","55"
"FY 2018-19","007","BERLIN (007)","85759884","672361","3885730","29143","76041861","76041861","570314","0","0",,,,,"0","0","5832292","72904","0","0","324","209"
"FY 2018-19","008","BETHANY (008)","29418111","228926","2579919","19349","25180192","25180192","188851","0","0",,,,,"0","0","1658000","20725","0","0","95","39"
"FY 2018-19","009","BETHEL (009)","126540184","991369","2761070","20708","114324503","114174603","856310","149900","1874",,,,,"765000","5738","8313640","103921","375971","2820","366","139"
"FY 2018-19","010","BETHLEHEM (010)","16811308","135285","139340","1045","14831968","14831968","111240","0","0",,,,,"0","0","1840000","23000","0","0","57","41"
"FY 2018-19","011","BLOOMFIELD (011)","238091212","2059557","1146355","8598","67345315","67345315","505090","0","0",,,,,"114825000","861188","54774541","684682","1","0","350","157"
"FY 2018-19","012","BOLTON (012)","21781469","172611","148900","1117","19782569","19782569","148369","0","0",,,,,"0","0","1850000","23125","0","0","79","46"
"FY 2018-19","013","BOZRAH (013)","16384630","144091","2045268","15340","5698200","5698200","42737","0","0",,,,,"4400000","33000","4241162","53015","0","0","45","26"
"FY 2018-19","014","BRANFORD (014)","229500109","2090259","7572541","56794","182707020","146376020","1097820","36331000","454138",,,,,"1750000","13125","37470548","468382","0","0","578","321"
"FY 2018-19","015","BRIDGEPORT (015)","373321411","3014581","13400098","100501","284510217","280685217","2105139","3825000","47813",,,,,"36046932","270352","39109164","488865","255000","1913","1694","910"
"FY 2018-19","016","BRIDGEWATER (016)","21840680","190436","905000","6788","20935680","15609430","117071","5326250","66578",,,,,"0","0","0","0","0","0","37","19"
"FY 2018-19","017","BRISTOL (017)","183639731","1438081","5099531","38246","164227889","163862889","1228972","365000","4563",,,,,"2520750","18906","11791561","147395","0","0","1021","564"
"FY 2018-19","018","BROOKFIELD (018)","125468389","1016827","7579840","56849","106880140","102390640","767930","4489500","56119",,,,,"335000","2513","10673409","133418","0","0","327","156"
"FY 2018-19","019","BROOKLYN (019)","33492617","271233","1202849","9021","28282168","28282168","212116","0","0",,,,,"0","0","4007600","50095","0","0","155","95"
"FY 2018-19","020","BURLINGTON (020)","54812251","417092","3165250","23739","51447001","50447001","378353","1000000","12500",,,,,"0","0","200000","2500","0","0","185","74"
"FY 2018-19","021","CANAAN (021)","5678794","45053","141000","1058","5245294","5045294","37840","200000","2500",,,,,"0","0","292500","3656","0","0","27","16"
"FY 2018-19","022","CANTERBURY (022)","17927790","136612","1004000","7530","16583790","16493150","123699","90640","1133",,,,,"0","0","340000","4250","0","0","88","45"
"FY 2018-19","023","CANTON (023)","73420532","605354","1919991","14400","60383415","60303415","452276","80000","1000",,,,,"257125","1928","10860000","135750","0","0","216","80"
"FY 2018-19","024","CHAPLIN (024)","8024165","60181","1778425","13338","6245740","6245740","46843","0","0",,,,,"0","0","0","0","0","0","45","16"
"FY 2018-19","025","CHESHIRE (025)","155551399","1299770","4275667","32067","124138802","124138802","931041","0","0",,,,,"510000","3825","26626931","332837","0","0","444","184"
"FY 2018-19","026","CHESTER (026)","21748068","177293","445000","3338","18466618","18466618","138500","0","0",,,,,"0","0","2836450","35456","0","0","70","32"
"FY 2018-19","027","CLINTON (027)","102910515","917659","2076696","15575","74442519","71603519","537026","2839000","35488",,,,,"64300","482","26327000","329088","0","0","275","155"
"FY 2018-19","028","COLCHESTER (028)","72466230","549359","2096700","15725","64045630","64045630","480342","0","0",,,,,"5151400","38636","1172500","14656","0","0","288","120"
"FY 2018-19","029","COLEBROOK (029)","5795128","45660","713828","5354","5081300","4642000","34815","439300","5491",,,,,"0","0","0","0","0","0","19","16"
"FY 2018-19","030","COLUMBIA (030)","26889723","209573","394950","2962","24169773","24169773","181273","0","0",,,,,"745000","5588","1580000","19750","0","0","100","50"
"FY 2018-19","031","CORNWALL (031)","10993097","92673","440128","3301","9357969","8507969","63810","850000","10625",,,,,"0","0","1195000","14938","0","0","32","17"
"FY 2018-19","032","COVENTRY (032)","55167569","422275","1059500","7946","52208340","52088340","390663","120000","1500",,,,,"316000","2370","1583729","19797","0","0","235","138"
"FY 2018-19","033","CROMWELL (033)","70270502","557019","7303300","54775","56834202","56834202","426257","0","0",,,,,"135000","1013","5998000","74975","0","0","277","123"
"FY 2018-19","034","DANBURY (034)","497994930","4412551","9814219","73607","401306532","333790279","2503427","67516253","843953",,,,,"18872646","141545","68001533","850019","0","0","1249","508"
"FY 2018-19","035","DARIEN (035)","485845660","4818222","10062500","75469","453952160","240571158","1804284","213381002","2667263",,,,,"336000","2520","21495000","268688","0","0","343","149"
"FY 2018-19","036","DEEP RIVER (036)","32446861","277122","500000","3750","27526201","24332701","182495","3193500","39919",,,,,"860000","6450","3560660","44508","0","0","91","28"
"FY 2018-19","037","DERBY (037)","41135657","312761","477500","3581","35208657","34974907","262312","233750","2922",,,,,"4834500","36259","615000","7688","0","0","197","97"
"FY 2018-19","038","DURHAM (038)","35866772","272876","2150500","16129","32941272","32941272","247060","0","0",,,,,"0","0","775000","9688","0","0","127","49"
"FY 2018-19","039","EASTFORD (039)","7622349","63518","784000","5880","5568349","5568349","41763","0","0",,,,,"0","0","1270000","15875","0","0","35","25"
"FY 2018-19","040","EAST GRANBY (040)","41694395","363105","4292540","32194","27322459","27322459","204918","0","0",,,,,"0","0","10079396","125992","0","0","123","61"
"FY 2018-19","041","EAST HADDAM (041)","41617047","315253","1814900","13612","39032147","39032147","292741","0","0",,,,,"145000","1088","625000","7813","0","0","182","145"
"FY 2018-19","042","EAST HAMPTON (042)","62476553","480136","2849182","21369","57314984","57314984","429862","0","0",,,,,"0","0","2312387","28905","0","0","248","147"
"FY 2018-19","043","EAST HARTFORD (043)","166949890","1419854","2477086","18578","104605013","98705013","740288","5900000","73750",,,,,"32221750","241663","27646042","345576","0","0","752","358"
"FY 2018-19","044","EAST HAVEN (044)","125519649","1001922","3162550","23719","100300099","100300099","752251","0","0",,,,,"9952000","74640","12105000","151313","0","0","530","273"
"FY 2018-19","045","EAST LYME (045)","131953097","1095266","1687851","12659","110455447","108608664","814565","1846783","23085",,,,,"533000","3998","19276799","240960","0","0","393","196"
"FY 2018-19","046","EASTON (046)","75634750","578053","2140010","16050","73494740","71336300","535022","2158440","26981",,,,,"0","0","0","0","0","0","139","50"
"FY 2018-19","047","EAST WINDSOR (047)","52830721","438277","2973150","22299","41444171","41444171","310831","0","0",,,,,"4000","30","8409400","105118","0","0","233","93"
"FY 2018-19","048","ELLINGTON (048)","80780707","679880","3433060","25748","62422647","62422647","468170","0","0",,,,,"120000","900","14805000","185063","0","0","257","130"
"FY 2018-19","049","ENFIELD (049)","182329766","1646250","3863983","28980","122039959","122039959","915300","0","0",,,,,"670432","5028","55755392","696942","0","0","714","325"
"FY 2018-19","050","ESSEX (050)","90064774","859748","2224500","16684","57995374","50987874","382409","7007500","87594",,,,,"0","0","29844900","373061","0","0","150","73"
"FY 2018-19","051","FAIRFIELD (051)","725522556","6222348","12709744","95323","684702169","552747477","4144259","131954692","1649434",,,,,"3610169","27076","24500475","306256","0","0","1055","327"
"FY 2018-19","052","FARMINGTON (052)","238630997","2263724","3346800","25101","148667697","140235969","1051770","8431729","105397",,,,,"250000","1875","86366500","1079581","0","0","465","231"
"FY 2018-19","053","FRANKLIN (053)","8312410","65433","770000","5775","6882060","6882060","51615","0","0",,,,,"42350","318","618000","7725","0","0","40","16"
"FY 2018-19","054","GLASTONBURY (054)","340851663","3013413","3062399","22968","248801983","240006322","1800047","8795661","109946",,,,,"6377766","47833","82609515","1032619","0","0","723","309"
"FY 2018-19","055","GOSHEN (055)","22785991","181520","624000","4680","22146991","20021991","150165","2125000","26563",,,,,"15000","113","0","0","0","0","70","52"
"FY 2018-19","056","GRANBY (056)","53935839","404519","898330","6737","53037509","53037509","397781","0","0",,,,,"0","0","0","0","0","0","191","76"
"FY 2018-19","057","GREENWICH (057)","1911068741","20383530","38982608","292370","1668929705","647910227","4859327","1021019478","12762743",,,,,"14072944","105547","189083450","2363543","34","0","940","471"
"FY 2018-19","058","GRISWOLD (058)","41964644","327885","3168350","23763","36317293","35617293","267130","700000","8750",,,,,"170000","1275","1930000","24125","379001","2843","220","129"
"FY 2018-19","059","GROTON (059)","238777690","2229942","6056739","45426","137402946","126852446","951393","10550500","131881",,,,,"17925952","134445","77271270","965891","120783","906","571","259"
"FY 2018-19","060","GUILFORD (060)","209463844","1839027","7936100","59521","165890244","147918119","1109386","17972125","224652",,,,,"0","0","35637500","445469","0","0","413","224"
"FY 2018-19","061","HADDAM (061)","35111778","266663","935100","7013","33701678","33511678","251338","190000","2375",,,,,"0","0","475000","5938","0","0","130","84"
"FY 2018-19","062","HAMDEN (062)","323649477","2470056","6088636","45665","163815841","163185841","1223894","630000","7875",,,,,"145838000","1093785","7907000","98838","0","0","854","463"
"FY 2018-19","063","HAMPTON (063)","6518340","49513","55000","413","6338340","6338340","47538","0","0",,,,,"0","0","125000","1563","0","0","30","17"
"FY 2018-19","064","HARTFORD (064)","310962736","2942664","2704959","20287","122672663","122379153","917844","293510","3669",,,,,"63789934","478425","121795180","1522440","0","0","912","452"
"FY 2018-19","065","HARTLAND (065)","10020987","77032","0","0","9990987","9615987","72120","375000","4688",,,,,"30000","225","0","0","0","0","43","23"
"FY 2018-19","066","HARWINTON (066)","22463563","173977","621420","4661","20438143","20438143","153286","0","0",,,,,"304000","2280","1100000","13750","0","0","94","59"
"FY 2018-19","067","HEBRON (067)","43839831","330803","1826366","13698","37648464","37648464","282363","0","0",,,,,"3964100","29731","400900","5011","0","0","162","84"
"FY 2018-19","068","KENT (068)","26663159","228724","655000","4913","25588559","20258059","151935","5330500","66631",,,,,"0","0","419600","5245","0","0","55","26"
"FY 2018-19","069","KILLINGLY (069)","124891581","1211629","1268001","9510","68593223","68593223","514449","0","0",,,,,"42000","315","54988357","687354","0","0","398","203"
"FY 2018-19","070","KILLINGWORTH (070)","36390675","277430","1853800","13904","33636875","33286875","249652","350000","4375",,,,,"350000","2625","550000","6875","0","0","114","54"
"FY 2018-19","071","LEBANON (071)","31201781","234433","1046032","7845","29964749","29964749","224736","0","0",,,,,"107000","803","84000","1050","0","0","161","74"
"FY 2018-19","072","LEDYARD (072)","70249606","548297","2069732","15523","65281874","63809874","478574","1472000","18400",,,,,"85000","638","2813000","35163","0","0","325","116"
"FY 2018-19","073","LISBON (073)","15669057","124798","1665580","12492","12522977","12522977","93922","0","0",,,,,"24500","184","1456000","18200","0","0","82","42"
"FY 2018-19","074","LITCHFIELD (074)","61835651","511304","2338400","17538","55101751","49521862","371414","5579890","69749",,,,,"468000","3510","3927500","49094","0","0","171","94"
"FY 2018-19","075","LYME (075)","35144396","298996","916000","6870","32326864","25249156","189369","7077708","88471",,,,,"1896632","14225","4900","61","0","0","62","64"
"FY 2018-19","076","MADISON (076)","176648135","1472086","2967001","22253","158451008","139663308","1047475","18787700","234846",,,,,"4572831","34296","10657295","133216","0","0","338","165"
"FY 2018-19","077","MANCHESTER (077)","246034027","2276207","1946322","14597","152667381","151522381","1136418","1145000","14313",,,,,"6375000","47813","85045323","1063067","0","0","885","365"
"FY 2018-19","078","MANSFIELD (078)","45502382","350243","1746500","13099","41960882","41960882","314707","0","0",,,,,"0","0","1795000","22438","0","0","216","120"
"FY 2018-19","079","MARLBOROUGH (079)","26875679","203443","130000","975","26370679","26370679","197780","0","0",,,,,"0","0","375000","4688","0","0","107","53"
"FY 2018-19","080","MERIDEN (080)","185944915","1469699","3379006","25343","125540509","125540509","941554","0","0",,,,,"42003000","315023","15022400","187780","0","0","846","464"
"FY 2018-19","081","MIDDLEBURY (081)","56437404","452156","3773660","28302","48413744","46888744","351666","1525000","19063",,,,,"0","0","4250000","53125","0","0","154","75"
"FY 2018-19","082","MIDDLEFIELD (082)","17393981","131455","528000","3960","16665981","16665981","124995","0","0",,,,,"0","0","200000","2500","0","0","69","48"
"FY 2018-19","083","MIDDLETOWN (083)","176067983","1477900","6992600","52445","121035892","120971892","907289","64000","800",,,,,"16625491","124691","31414000","392675","0","0","664","315"
"FY 2018-19","084","MILFORD (084)","384785372","3437807","12440513","93304","264662104","259469604","1946022","5192500","64906",,,,,"2492000","18690","105190755","1314884","0","0","942","421"
"FY 2018-19","085","MONROE (085)","120607858","965734","4458807","33441","103677313","103677313","777580","0","0",,,,,"0","0","12235000","152938","236738","1776","326","132"
"FY 2018-19","086","MONTVILLE (086)","77136893","628617","3914760","29361","63069133","62869133","471518","200000","2500",,,,,"335000","2513","9818000","122725","0","0","350","152"
"FY 2018-19","087","MORRIS (087)","14850615","116017","219000","1643","14631615","13704115","102781","927500","11594",,,,,"0","0","0","0","0","0","48","19"
"FY 2018-19","088","NAUGATUCK (088)","90844762","719931","3837449","28781","79288207","79288207","594662","0","0",,,,,"0","0","7719106","96489","0","0","504","266"
"FY 2018-19","089","NEW BRITAIN (089)","140288177","1087610","4838586","36289","123947249","123947249","929604","0","0",,,,,"4345000","32588","7089792","88622","67550","507","860","414"
"FY 2018-19","090","NEW CANAAN (090)","410543350","4007209","8869999","66525","391448351","214721529","1610411","176726822","2209085",,,,,"1325000","9938","8900000","111250","0","0","308","163"
"FY 2018-19","091","NEW FAIRFIELD (091)","78582705","606695","2355855","17669","76226850","72761850","545714","3465000","43313",,,,,"0","0","0","0","0","0","229","113"
"FY 2018-19","092","NEW HARTFORD (092)","25800604","194255","2222885","16672","23437719","23427719","175708","10000","125",,,,,"0","0","140000","1750","0","0","122","92"
"FY 2018-19","093","NEW HAVEN (093)","382772781","3160537","39745532","298091","186426050","183430258","1375727","2995792","37447",,,,,"101648802","762366","54952397","686905","0","0","931","757"
"FY 2018-19","094","NEWINGTON (094)","105828797","846500","1153000","8648","94025997","94025997","705195","0","0",,,,,"93000","698","10556800","131960","0","0","482","195"
"FY 2018-19","095","NEW LONDON (095)","61586762","498843","4360404","32703","49522858","49522858","371421","0","0",,,,,"315000","2363","7388500","92356","0","0","327","135"
"FY 2018-19","096","NEW MILFORD (096)","157853752","1262698","5750849","43131","137493887","136107887","1020809","1386000","17325",,,,,"236061","1770","14372955","179662","0","0","546","256"
"FY 2018-19","097","NEWTOWN (097)","187037755","1448476","4582055","34365","174097850","173135850","1298519","962000","12025",,,,,"181250","1359","8176600","102208","0","0","502","212"
"FY 2018-19","098","NORFOLK (098)","10125755","80418","609167","4569","9066588","8571588","64287","495000","6188",,,,,"50000","375","400000","5000","0","0","35","27"
"FY 2018-19","099","NORTH BRANFORD (099)","61381864","460372","1909025","14318","59432839","59431264","445734","1575","20",,,,,"40000","300","0","0","0","0","231","115"
"FY 2018-19","100","NORTH CANAAN (100)","8436658","69367","175649","1317","6942601","6942601","52070","0","0",,,,,"100000","750","1218408","15230","0","0","55","32"
"FY 2018-19","101","NORTH HAVEN (101)","119858906","982419","2872786","21546","99803620","99613620","747102","190000","2375",,,,,"677000","5078","16505500","206319","0","0","385","168"
"FY 2018-19","102","NORTH STONINGTON (102)","25355054","203143","3047500","22856","20665054","19321557","144912","1343497","16794",,,,,"390000","2925","1252500","15656","0","0","95","40"
"FY 2018-19","103","NORWALK (103)","635327697","5381533","9796689","73475","557908525","494324897","3707437","63583627","794795",,,,,"7890998","59182","59731485","746644","0","0","1263","536"
"FY 2018-19","104","NORWICH (104)","86212726","690667","5042963","37822","71198513","71198513","533989","0","0",,,,,"1157000","8678","8814250","110178","0","0","629","341"
"FY 2018-19","105","OLD LYME (105)","73901499","572276","900903","6757","72400596","69397596","520482","3003000","37538",,,,,"0","0","600000","7500","0","0","197","132"
"FY 2018-19","106","OLD SAYBROOK (106)","173855243","1490063","4468950","33517","110670100","89573600","671802","21096500","263706",,,,,"42583000","319373","16133192","201665","0","0","267","179"
"FY 2018-19","107","ORANGE (107)","107110438","925178","17083014","128123","65777424","65657424","492431","120000","1500",,,,,"0","0","24250000","303125","0","0","191","102"
"FY 2018-19","108","OXFORD (108)","85389565","713609","3169592","23772","69872473","67582473","506869","2290000","28625",,,,,"0","0","12347500","154344","0","0","221","126"
"FY 2018-19","109","PLAINFIELD (109)","56845920","443861","2805300","21040","44571244","44571244","334284","0","0",,,,,"5965975","44745","3503400","43793","1","0","301","143"
"FY 2018-19","110","PLAINVILLE (110)","79705922","676857","922070","6916","53223377","53223377","399175","0","0",,,,,"9748000","73110","15812475","197656","0","0","293","138"
"FY 2018-19","111","PLYMOUTH (111)","39188915","303867","1606600","12050","35592315","35592315","266942","0","0",,,,,"0","0","1990000","24875","0","0","237","84"
"FY 2018-19","112","POMFRET (112)","15662113","119866","758967","5692","13148146","13148146","98611","0","0",,,,,"1275000","9563","480000","6000","0","0","58","40"
"FY 2018-19","113","PORTLAND (113)","41545180","317051","2037000","15278","38413930","38413930","288104","0","0",,,,,"0","0","1092500","13656","1750","13","180","85"
"FY 2018-19","114","PRESTON (114)","18895452","149422","1140067","8550","15918625","15918625","119390","0","0",,,,,"295510","2216","1541250","19266","0","0","101","47"
"FY 2018-19","115","PROSPECT (115)","55441992","436555","1251955","9390","49242037","49242037","369315","0","0",,,,,"800000","6000","4148000","51850","0","0","196","86"
"FY 2018-19","116","PUTNAM (116)","45935669","405205","2191480","16436","31392214","31392214","235442","0","0",,,,,"214500","1609","12137475","151718","0","0","208","75"
"FY 2018-19","117","REDDING (117)","85562502","663841","1507000","11303","83115502","79491002","596183","3624500","45306",,,,,"140000","1050","800000","10000","0","0","159","55"
"FY 2018-19","118","RIDGEFIELD (118)","282781744","2304295","3758400","28188","275758344","242336904","1817527","33421440","417768",,,,,"0","0","3265000","40813","0","0","441","170"
"FY 2018-19","119","ROCKY HILL (119)","87022786","713861","2507493","18806","72222793","72134793","541011","88000","1100",,,,,"142500","1069","12150000","151875","0","0","315","128"
"FY 2018-19","120","ROXBURY (120)","45580213","383093","4485200","33639","41095013","32846750","246351","8248263","103103",,,,,"0","0","0","0","0","0","66","38"
"FY 2018-19","121","SALEM (121)","22076958","185535","1057704","7933","17027754","17027754","127708","0","0",,,,,"0","0","3991500","49894","0","0","92","58"
"FY 2018-19","122","SALISBURY (122)","42376410","354581","1537660","11532","39968750","33312250","249842","6656500","83206",,,,,"0","0","695000","8688","175000","1313","80","76"
"FY 2018-19","123","SCOTLAND (123)","3549261","26619","0","0","3549261","3549261","26619","0","0",,,,,"0","0","0","0","0","0","20","7"
"FY 2018-19","124","SEYMOUR (124)","60720553","473337","2503131","18773","54610822","54610822","409581","0","0",,,,,"20000","150","3586600","44833","0","0","260","131"
"FY 2018-19","125","SHARON (125)","30102733","246085","3519500","26396","24964745","21066845","158001","3897900","48724",,,,,"1453488","10901","165000","2063","0","0","69","50"
"FY 2018-19","126","SHELTON (126)","249621774","2042001","6358600","47690","209420623","209225623","1569192","195000","2438",,,,,"70000","525","33772551","422157","0","0","691","326"
"FY 2018-19","127","SHERMAN (127)","40131547","330202","1303000","9773","34325547","31810547","238579","2515000","31438",,,,,"1175000","8813","3328000","41600","0","0","83","59"
"FY 2018-19","128","SIMSBURY (128)","138850534","1054537","11070819","83031","124090828","124090828","930681","0","0",,,,,"1057387","7930","2631500","32894","0","0","410","166"
"FY 2018-19","129","SOMERS (129)","43202877","329147","1472071","11041","40242806","40242806","301821","0","0",,,,,"463000","3473","1025000","12813","0","0","160","67"
"FY 2018-19","130","SOUTHBURY (130)","125846217","963992","2947498","22106","118737820","118679820","890099","58000","725",,,,,"189900","1424","3971000","49638","0","0","496","189"
"FY 2018-19","131","SOUTHINGTON (131)","206529685","1664472","4812850","36096","178362688","178322688","1337420","40000","500",,,,,"294200","2207","23059947","288249","0","0","723","484"
"FY 2018-19","132","SOUTH WINDSOR (132)","188823383","1523130","8028675","60215","136796738","136752802","1025646","43936","549",,,,,"22651057","169883","21346913","266836","0","0","549","192"
"FY 2018-19","133","SPRAGUE (133)","7824024","58680","77500","581","7746524","7746524","58099","0","0",,,,,"0","0","0","0","0","0","42","39"
"FY 2018-19","134","STAFFORD (134)","42329104","330456","1829800","13724","37329304","37329304","279970","0","0",,,,,"572500","4294","2597500","32469","0","0","323","106"
"FY 2018-19","135","STAMFORD (135)","1253343574","10983530","14361029","107708","732045135","683541262","5126559","48503873","606298",,,,,"238110321","1785827","268186691","3352334","640397","4803","1616","728"
"FY 2018-19","136","STERLING (136)","15230945","123132","1437500","10781","12013445","12013445","90101","0","0",,,,,"0","0","1780000","22250","0","0","84","36"
"FY 2018-19","137","STONINGTON (137)","138987815","1144039","7658814","57441","118897861","105392759","790446","13505102","168814",,,,,"5610141","42076","6821000","85263","0","0","404","256"
"FY 2018-19","138","STRATFORD (138)","269945488","2107820","6667475","50006","232003383","232003382","1740025","1","0",,,,,"14628780","109716","16645850","208073","0","0","1047","450"
"FY 2018-19","139","SUFFIELD (139)","78769387","602740","3222400","24168","70161987","70078155","525586","83832","1048",,,,,"3075000","23063","2310000","28875","0","0","266","142"
"FY 2018-19","140","THOMASTON (140)","23658781","189541","834900","6262","20349981","20349981","152625","0","0",,,,,"53900","404","2420000","30250","0","0","122","44"
"FY 2018-19","141","THOMPSON (141)","36445356","295090","988950","7417","30719905","30719905","230399","0","0",,,,,"386500","2899","4350001","54375","0","0","182","106"
"FY 2018-19","142","TOLLAND (142)","59670623","461355","3359850","25199","53445773","53445773","400843","0","0",,,,,"100000","750","2765000","34563","0","0","226","108"
"FY 2018-19","143","TORRINGTON (143)","109350815","893231","3511700","26338","83408274","83408274","625562","0","0",,,,,"7810950","58582","14619891","182749","0","0","699","322"
"FY 2018-19","144","TRUMBULL (144)","235563374","1876375","6461807","48464","200028598","199903698","1499278","124900","1561",,,,,"7268030","54510","21804939","272562","0","0","554","210"
"FY 2018-19","145","UNION (145)","5664494","42484","1187094","8903","4477400","4477400","33581","0","0",,,,,"0","0","0","0","0","0","28","20"
"FY 2018-19","146","VERNON (146)","123463488","1115643","1530835","11481","75921071","75594871","566962","326200","4078",,,,,"8404370","63033","37607212","470090","0","0","475","219"
"FY 2018-19","147","VOLUNTOWN (147)","10952055","82140","466000","3495","10446055","10446055","78345","0","0",,,,,"40000","300","0","0","0","0","53","28"
"FY 2018-19","148","WALLINGFORD (148)","190880880","1554434","1362700","10220","162316155","162284155","1217131","32000","400",,,,,"2407234","18054","24533500","306669","261291","1960","713","309"
"FY 2018-19","149","WARREN (149)","12832400","99868","5472500","41044","7359900","6634900","49762","725000","9063",,,,,"0","0","0","0","0","0","21","20"
"FY 2018-19","150","WASHINGTON (150)","79362338","787114","6232500","46744","71107838","34750503","260629","36357335","454467",,,,,"0","0","2022000","25275","0","0","80","69"
"FY 2018-19","151","WATERBURY (151)","204217257","1686569","5740158","43051","147107878","147107478","1103306","400","5",,,,,"19904820","149286","30987504","387344","476897","3577","1481","842"
"FY 2018-19","152","WATERFORD (152)","115780657","938585","4479526","33596","97599161","97224161","729181","375000","4688",,,,,"31000","233","13670970","170887","0","0","436","184"
"FY 2018-19","153","WATERTOWN (153)","96497568","767365","5595335","41965","86703925","81709925","612824","4994000","62425",,,,,"465565","3492","3732743","46659","0","0","375","220"
"FY 2018-19","154","WESTBROOK (154)","54655362","440520","723200","5424","49842705","46988206","352412","2854499","35681",,,,,"823057","6173","3266400","40830","0","0","172","173"
"FY 2018-19","155","WEST HARTFORD (155)","410253599","3232066","4422209","33167","339051923","336988873","2527417","2063050","25788",,,,,"37809792","283573","28969674","362121","0","0","1115","416"
"FY 2018-19","156","WEST HAVEN (156)","185935108","1570908","3880338","29103","118447555","118217555","886632","230000","2875",,,,,"28318000","212385","35048972","438112","240243","1802","719","341"
"FY 2018-19","157","WESTON (157)","138876662","1179314","2822000","21165","136054662","108506862","813801","27547800","344348",,,,,"0","0","0","0","0","0","181","82"
"FY 2018-19","158","WESTPORT (158)","695703593","7091530","11313376","84850","557700959","309322786","2319921","248378173","3104727",,,,,"316758","2376","126372500","1579656","0","0","454","246"
"FY 2018-19","159","WETHERSFIELD (159)","117696900","937219","1645770","12343","104584439","104536645","784025","47794","597",,,,,"616000","4620","10850691","135634","0","0","477","229"
"FY 2018-19","160","WILLINGTON (160)","32141613","250587","98000","735","11518613","11518613","86390","0","0",,,,,"18620000","139650","1905000","23813","0","0","63","51"
"FY 2018-19","161","WILTON (161)","190420205","1600873","5207500","39056","176916705","150647347","1129855","26269358","328367",,,,,"21000","158","8275000","103438","0","0","258","117"
"FY 2018-19","162","WINCHESTER (162)","46628895","391590","1338420","10038","33963375","31133375","233500","2830000","35375",,,,,"5782500","43369","5544600","69308","0","0","189","112"
"FY 2018-19","163","WINDHAM (163)","36052221","280747","2191175","16434","31570046","31570046","236775","0","0",,,,,"220000","1650","2071000","25888","0","0","282","168"
"FY 2018-19","164","WINDSOR (164)","205101686","1767463","9973860","74804","98663245","98663245","739974","0","0",,,,,"50624500","379684","45840081","573001","0","0","494","226"
"FY 2018-19","165","WINDSOR LOCKS (165)","80598140","794320","632128","4741","41999187","41999187","314994","0","0",,,,,"0","0","37966825","474585","0","0","250","118"
"FY 2018-19","166","WOLCOTT (166)","62752647","495640","2550201","19127","55183446","55183446","413876","0","0",,,,,"20000","150","4999000","62488","0","0","268","109"
"FY 2018-19","167","WOODBRIDGE (167)","62803733","498188","740000","5550","53657451","53038001","397785","619450","7743",,,,,"3593718","26953","4812564","60157","0","0","141","68"
"FY 2018-19","168","WOODBURY (168)","54886313","440847","2112999","15847","47328314","46833314","351250","495000","6188",,,,,"100000","750","5345000","66813","0","0","182","89"
"FY 2018-19","169","WOODSTOCK (169)","44165073","338073","1097417","8231","42615656","41675656","312567","940000","11750",,,,,"25000","188","427000","5338","0","0","185","80"
