"phcyname","p1adrs","p1city","p1st","p1zip5","county","phone"
"LONG BEACH CHEMISTS","170 W PARK AVE","LONG BEACH","NY","11561","NASSAU","5164310611"
"SALISBURY PHCY & GENERAL STORE","20 MAIN STREET","SALISBURY","CT","06068","LITCHFIELD","8604359388"
"CALIFORNIA PHARMACY","14541 BROOKHURST ST STE C5","WESTMINSTER","CA","92683","ORANGE","7147752000"
"THE APOTHECARY, INC","227 W BROAD AVE","DOERUN","GA","31744","COLQUITT","2297825500"
"PHARMACA INTEGRATIVE PHARMACY","2700 BROADWAY ST","BOULDER","CO","80304","BOULDER","3034421972"
"PEACE PHARMACY","300 SOUTH BUFFALO STREET","CANTON","TX","75103","VAN ZANDT","9035674129"
"CVS PHARMACY","7989 US HIGHWAY 64","MEMPHIS","TN","38133","SHELBY","9013840263"
"TOUCHPOINT RX LLC","3208 2ND AVE N BAY 4","PALM SPRINGS","FL","33461","PALM BEACH","5616519393"
"EMINENCE  APOTHECARY","5551 S MAIN ST","EMINENCE","KY","40019","HENRY","5025189120"
"ADDISON DISCOUNT PHARMACY","30910 HIGHWAY 278","ADDISON","AL","35540","WINSTON","2567476342"
"PUBLIX PHARMACY","6790 FOREST HILL BLVD","GREENACRES","FL","33413","PALM BEACH","5613044983"
"PUBLIX PHARMACY","4701 PARK BLVD","PINELLAS PARK","FL","33781","PINELLAS","7275464890"
"CVS PHARMACY","6100 GREENBELT RD","GREENBELT","MD","20770","PRINCE GEORGES","3018370055"
"RUBIN CHEMISTS","828 NOSTRAND AVE","BROOKLYN","NY","11216","KINGS","7184938833"
"FALCON PHARMACY","795 CUMMINGS ST","ABINGDON","VA","24211","WASHINGTON","2762585251"
"ALLEGAN MEDICAL CENTER PHARMACY","551 LINN ST STE 120","ALLEGAN","MI","49010","ALLEGAN","2696734700"
"CARE PHARMACY","4727 REVERE AVE","BATON ROUGE","LA","70808","EAST BATON ROUGE","2259350003"
"CVS PHARMACY","24500 ALICIA PKWY","MISSION VIEJO","CA","92691","ORANGE","9495831278"
"PUBLIX PHARMACY","2633 N DIXIE HWY","WILTON MANORS","FL","33334","BROWARD","9545614337"
"CRESCENT APOTHECARY","2501 DITMARS BLVD","ASTORIA","NY","11105","QUEENS","7187771110"
"WELLSPAN PHARMACY","40 V TWIN DR","GETTYSBURG","PA","17325","ADAMS","7173392600"
"MEDICINE CABINET PHARMACY","50 LINCOLN ST","KERMIT","WV","25674","MINGO","3043933386"
"ESSENTIA HEALTH SUPERIOR PHARMACY","3500 TOWER AVE STE A","SUPERIOR","WI","54880","DOUGLAS","7158177880"
"LILLIAN PHARMACY","34023 US HIGHWAY 98","LILLIAN","AL","36549","BALDWIN","2519623777"
"CVS PHARMACY","8151 MARTIN LUTHER KING ST N","SAINT PETERSBURG","FL","33702","PINELLAS","7275763826"
"SANFORD PHARMACY THIEF RIVER FALLS","3001 SANFORD PKWY","THIEF RVR FLS","MN","56701","PENNINGTON","2186832725"
"AIRVILLE PHARMACY","1785 AIRPORT RD STE A","GALLATIN","TN","37066","SUMNER","6156755507"
"TAVARES PHARMACY","524 S DUNCAN DR","TAVARES","FL","32778","LAKE","3525086449"
"FAMILY FARE PHARMACY","1185 S WASHINGTON AVE","HOLLAND","MI","49423","ALLEGAN","6163927504"
"YORK DRUG MART","135 NORTH DUKE STREET SUITE 1","YORK","PA","17401","YORK","7173562650"
"RELYON SPECIALTY PHARMACY","2727 E OAKLAND PARK BLVD #100","FORT LAUDERDALE","FL","33306","BROWARD","9549904317"
"PUBLIX PHARMACY","2770 W BAY DR","BELLEAIR BLUFFS","FL","33770","PINELLAS","7275860240"
"GENERATION PHARMACY LLC","31-33 OLIVER ST STORE #3","NEW YORK","NY","10038","NEW YORK","2122279129"
"LIVE OAK PHARMACY","34730 LA HIGHWAY 16","DENHAM SPRINGS","LA","70706","LIVINGSTON","2256647125"
"STOP & SHOP PHARMACY","24 RT 6A","ORLEANS","MA","02653","BARNSTABLE","5082553851"
"BOWERS PRESCRIPTION SHOP","121 E TEXAS BLVD","DALHART","TX","79022","HARTLEY","8062494344"
"NAHS PHARMACY","12000 WILCREST DR STE # 206","HOUSTON","TX","77031","HARRIS","2814985700"
"CVS PHARMACY","11160 SOUTH LAKES DR","RESTON","VA","20191","FAIRFAX","7036206585"
"CVS PHARMACY","6202 COMMERCE PALMS DR","TAMPA","FL","33647","HILLSBOROUGH","8139712459"
"CVS PHARMACY","50 SW CUTOFF","WORCESTER","MA","01604","WORCESTER","5087931903"
"CVS PHARMACY","3905 WEKIVA SPRINGS RD","LONGWOOD","FL","32779","SEMINOLE","4078628086"
"CVS PHARMACY","1540 E MAIN ST","ALLEN","TX","75002","COLLIN","2143839765"
"CVS PHARMACY","45 PEARL ST","METUCHEN","NJ","08840","MIDDLESEX","7325160089"
"CVS PHARMACY","327 E JACKSON ST","MACOMB","IL","61455","MCDONOUGH","3098331750"
"NAVARRO DISCOUNT PHARMACY","631 71ST ST","MIAMI BEACH","FL","33141","MIAMI-DADE","3058650075"
"CVS PHARMACY","520 S FEDERAL HWY","BOCA RATON","FL","33432","PALM BEACH","5613623240"
"CVS PHARMACY","1357 LAKEWOOD RD","TOMS RIVER","NJ","08755","OCEAN","7322442376"
"CVS PHARMACY","7402 W FAIRVIEW AVE","BOISE","ID","83704","ADA","2083754670"
"COSTCO PHARMACY","2746 N CLYBOURN AVE","CHICAGO","IL","60614","COOK","7733602052"
"CVS PHARMACY","10650 N ORACLE RD","ORO VALLEY","AZ","85737","PIMA","5205445544"
"CVS PHARMACY","610 W MARKLAND AVE","KOKOMO","IN","46901","HOWARD","7654574407"
"CVS PHARMACY","2920 ROUTE 73 N STE 1","MAPLE SHADE","NJ","08052","BURLINGTON","8566672811"
"CVS PHARMACY","177 W VIRGINIA ST","CRYSTAL LAKE","IL","60014","MCHENRY","8154444603"
"CVS PHARMACY","1714 CENTER AVE W","DILWORTH","MN","56529","CLAY","2182875147"
"CVS PHARMACY","1003 E DEVONSHIRE AVE","HEMET","CA","92543","RIVERSIDE","9516582348"
"COSTCO PHARMACY","2440 DANIELS ST","MANTECA","CA","95337","SAN JOAQUIN","2098258209"
"CITY DRUG","116 E DUKE ST","HUGO","OK","74743","CHOCTAW","5803263301"
"CVS PHARMACY","1331 YOUNGSTOWN WARREN RD","NILES","OH","44446","TRUMBULL","3305052601"
"CVS PHARMACY","101 S MAIN ST","OLD FORGE","PA","18518","LACKAWANNA","5704572182"
"CVS PHARMACY","39820 HICKMAN PLAZA RD","BETHANY BEACH","DE","19930","SUSSEX","3025393548"
"CVS PHARMACY","1021 NECK RD","BURLINGTON TOWNSHIP","NJ","08016","BURLINGTON","6093865710"
"CVS PHARMACY","861 VINE ST","HOLLYWOOD","CA","90038","LOS ANGELES","3234667300"
"HANNAFORD FOOD & DRUG","389 TENNEY MOUNTAIN HWY","PLYMOUTH","NH","03264","GRAFTON","6035363233"
"CVS PHARMACY","1445 GUNTER AVE","GUNTERSVILLE","AL","35976","MARSHALL","2565050803"
"FARMACIA BELMONT","2212 W BELMONT AVE","CHICAGO","IL","60618","COOK","7738805544"
"ST JOSEPHS MCAULEY PHARMACY","500 W THOMAS RD STE 190","PHOENIX","AZ","85013","MARICOPA","6024063970"
"LITTLE DRUG COMPANY","412 CANAL ST","NEW SMYRNA BEACH","FL","32168","VOLUSIA","3864289041"
"FARMACIA LECHUGA","RD 130 BO NARANJITO","HATILLO","PR","00659","HATILLO","7878985730"
"NOBLE PHARMACY","321 E ALAMEDA AVE STE L","BURBANK","CA","91502","LOS ANGELES","8185636655"
"PAY-LESS PHARMACY EXPRESS","1517 MOULTON ST W","DECATUR","AL","35601","MORGAN","2563551815"
"HANNAFORD FOOD & DRUG","78 MARSHALL AVE","WILLISTON","VT","05495","CHITTENDEN","8028780388"
"GOOD LIVING PHARMACY","1201 N JIM DAY RD STE B","SALEM","IN","47167","WASHINGTON","8124044153"
"SAM'S CLUB PHARMACY","3900 DEERFIELD DR","JANESVILLE","WI","53546","ROCK","6087412391"
"JANUS RX","836 E 65TH ST STE 42","SAVANNAH","GA","31405","CHATHAM","9123550549"
"BIG Y PHARMACY","999 PROVIDENCE HWY","WALPOLE","MA","02081","NORFOLK","5086609713"
"ATLANTIC PROFESSIONAL PHARMACY","1045 ATLANTIC AVE STE 102","LONG BEACH","CA","90813","LOS ANGELES","5624919799"
"DELAVAN EASY CARE PHARMACY","402 PINE ST","DELAVAN","IL","61734","TAZEWELL","3092447115"
"RTCARE LLC","14202 LAKESIDE BLVD N SUITE A","SHELBY TOWNSHIP","MI","48315","MACOMB","5865667680"
"RITE AID PHARMACY","180 GLENEIDA AVE","CARMEL","NY","10512","PUTNAM","8452254134"
"COLLINWOOD DRUGS","313 HIGHWAY 13 S","COLLINWOOD","TN","38450","WAYNE","9317249197"
"PROVINCETOWN OUTER CAPE PHCY","49 HARRY KEMP WAY","PROVINCETOWN","MA","02657","BARNSTABLE","7745383333"
"ADVANT EDGE PHARMACY INC","1576 LOMALAND DR","EL PASO","TX","79935","EL PASO","9155950409"
"BELL'S DRUGS STORE","7107 STATE ROUTE 56 E","SEBREE","KY","42455","WEBSTER","2708357544"
"CVS PHARMACY","3310 E JACKSON ST","MUNCIE","IN","47303","DELAWARE","7652860933"
"WHEELER & STUCKEY RX PHARMACY","1211 N SHARTEL AVE","OKLAHOMA CITY","OK","73103","OKLAHOMA","4052320241"
"BOCA PHARMACY","864 E TREMONT AVE STE B","BRONX","NY","10460","BRONX","7189913532"
"RYAN PHARMACY","23421 RYAN RD","WARREN","MI","48091","MACOMB","5867550040"
"H & G HOME MEDICAL","112 NE WASHINGTON BLVD","BARTLESVILLE","OK","74006","WASHINGTON","9183334848"
"GOODRICH PHARMACY","23122 SAINT FRANCIS BLVD NW","SAINT FRANCIS","MN","55070","ANOKA","7637530222"
"OLYMPIA PHARMACY","6802 S OLYMPIA AVE STE 125","TULSA","OK","74132","TULSA","9185133234"
"PHARMACY OF THE WOODS","28200 ST HWY 189 #N-150","LAKE ARROWHEAD","CA","92352","SAN BERNARDINO","9093363999"
"JW PHARMACY LLC","14102 NORTHERN BLVD","FLUSHING","NY","11354","QUEENS","7187623784"
"YUNGEBERG DRUG","17 PUBLIC SQ","BLUE RAPIDS","KS","66411","MARSHALL","7853637444"
"ARH FAMILY HEALTH PHARMACY","1084 HIGHWAY 7 STE 3","WEST LIBERTY","KY","41472","MORGAN","6067437842"
"WALGREENS","3151 DAUPHIN ST","MOBILE","AL","36606","MOBILE","2512879581"
"WALGREENS","2920 CARTER HILL RD","MONTGOMERY","AL","36106","MONTGOMERY","3342621169"
"WALGREENS","925 WOODVILLE RD","TOLEDO","OH","43605","LUCAS","4196934086"
"WALGREENS","2800 NE 8TH ST","HOMESTEAD","FL","33033","MIAMI-DADE","3052470114"
"WALGREENS","2200 UNSER BLVD NW","ALBUQUERQUE","NM","87120","BERNALILLO","5052179940"
"WALGREENS","100 E SIOUX AVE","PIERRE","SD","57501","HUGHES","6052244962"
"WATTSVILLE DRUGS","24 SIRRINE ST","LAURENS","SC","29360","LAURENS","8649843579"
"WALGREENS","1421 GULF SHORES PKWY","GULF SHORES","AL","36542","BALDWIN","2519685946"
"WALGREENS","1704 W HILLSBOROUGH AVE","TAMPA","FL","33603","HILLSBOROUGH","8138726733"
"WALGREENS","2200 E PIONEER PKWY","ARLINGTON","TX","76010","TARRANT","8178609510"
"SAFEWAY PHARMACY","29834 N CAVE CREEK RD","CAVE CREEK","AZ","85331","MARICOPA","4805639395"
"MIDLAND DRUG INC","4900 KELLEY HWY","FORT SMITH","AR","72904","SEBASTIAN","4797830221"
"WALGREENS","5984 AVE ISLA VERDE","CAROLINA","PR","00979","CAROLINA","7879820390"
"WALGREENS","305 AVE SAN JOSE E","AIBONITO","PR","00705","AIBONITO","7879917355"
"WALGREENS","7398 OSWEGO RD","LIVERPOOL","NY","13090","ONONDAGA","3154513218"
"WALGREENS","300 E NEW YORK AVE","DELAND","FL","32724","VOLUSIA","3869434011"
"APEX PHARMACY","904 W WILLIAMS ST","APEX","NC","27502","WAKE","9196297332"
"BALDWIN WOODS PHARMACY","607 JEFFERSON ST","WHITEVILLE","NC","28472","COLUMBUS","9106428141"
"FAMILY PHARMACY","2124 FAYETTEVILLE RD STE E","ROCKINGHAM","NC","28379","RICHMOND","9108957775"
"WALGREENS","4200 MCFARLAND BLVD E","TUSCALOOSA","AL","35405","TUSCALOOSA","2057591103"
"WINN DIXIE PHARMACY","4849 GOLDEN GATE PKWY","NAPLES","FL","34116","COLLIER","2393526159"
"WALGREENS","2400 LITTLE ROCK RD","CHARLOTTE","NC","28214","MECKLENBURG","7043946546"
"WALGREENS","750 E MAIN ST","GARDNER","KS","66030","JOHNSON","9138847912"
"WALGREENS","2703 US HIGHWAY 130","NORTH BRUNSWICK","NJ","08902","MIDDLESEX","7328211293"
"JAMES PHARMACY","1119 LIGHT ST","BALTIMORE","MD","21230","BALTIMORE CITY","4107525810"
"SAFEWAY PHARMACY","3970 N STOCKTON HILL RD","KINGMAN","AZ","86409","MOHAVE","9286814903"
"WALGREENS","137 NORTH ST","HOULTON","ME","04730","AROOSTOOK","2075326876"
"WALGREENS","101 N BUSINESS HWY 60","MANSFIELD","MO","65704","WRIGHT","4179248877"
"WALGREENS","5173 W TAFT RD","NORTH SYRACUSE","NY","13212","ONONDAGA","3154580312"
"WALGREENS","424 N BRIGHTLEAF BLVD","SMITHFIELD","NC","27577","JOHNSTON","9199894058"
"MOORES PHARMACY","1311 EDWIN MILLER BLVD","MARTINSBURG","WV","25404","BERKELEY","3042640300"
"ANNANDALE PHARMACY","7006 LITTLE RIVER TPKE STE B","ANNANDALE","VA","22003","FAIRFAX","7039928806"
"WALGREENS","6003 14TH ST W","BRADENTON","FL","34207","MANATEE","9417558526"
"WALGREENS","10501 E COLFAX AVE","AURORA","CO","80010","ADAMS","3033433336"
"WALGREENS","1311 E DRAPER PKWY","DRAPER","UT","84020","SALT LAKE","8015710378"
"WALGREENS","3701 W GATE CITY BLVD","GREENSBORO","NC","27407","GUILFORD","3363158672"
"WALGREENS","2750 PINOLE VALLEY RD","PINOLE","CA","94564","CONTRA COSTA","5102229422"
"WALGREENS","6011 DEXTER ST","COMMERCE CITY","CO","80022","ADAMS","7202140199"
"FRED MEYER PHARMACY","705 BLUE LAKES BLVD","TWIN FALLS","ID","83301","TWIN FALLS","2087365373"
"WALGREENS","325 BLUEMONT AVE","MANHATTAN","KS","66502","RILEY","7857769787"
"WALGREENS","12110 LEBANON RD","SHARONVILLE","OH","45241","HAMILTON","5137698188"
"WALGREENS","5913 CARSON ST","LAKEWOOD","CA","90713","LOS ANGELES","5624299120"
"WALGREENS","1800 BAYTREE RD","VALDOSTA","GA","31602","LOWNDES","2292424939"
"WALGREENS","392 PLANDOME RD # 410","MANHASSET","NY","11030","NASSAU","5168698292"
"WALGREENS","19266 SOLEDAD CANYON RD","SANTA CLARITA","CA","91351","LOS ANGELES","6612519433"
"WALGREENS","1180 FRENCH RD","CHEEKTOWAGA","NY","14227","ERIE","7166560173"
"WALGREENS","101 N CENTER AVE","MERRILL","WI","54452","LINCOLN","7155390218"
"WALGREENS","5657 BALTIMORE NATIONAL PIKE","CATONSVILLE","MD","21228","BALTIMORE","4107881207"
"WALGREENS","3301 GLENVIEW RD","GLENVIEW","IL","60025","COOK","8477240759"
"WALGREENS","440 BLOWING ROCK BLVD","LENOIR","NC","28645","CALDWELL","8289910277"
"COMMUNITY, A WALGREENS PHCY","398 BELMONT ST STE A","WORCESTER","MA","01604","WORCESTER","5087130149"
"WALGREENS","G4010 FENTON RD","FLINT","MI","48507","GENESEE","8104240224"
"WALGREENS","875 DR MLK JR ST N","ST PETERSBURG","FL","33701","PINELLAS","7278213369"
"CVS PHARMACY","2007 BROOKPARK RD","CLEVELAND","OH","44109","CUYAHOGA","2163512944"
"CVS PHARMACY","5431 HIGHWAY 136","TRENTON","GA","30752","DADE","7066578011"
"SUPER SAVER PHARMACY","1207 E VINE ST STE B","KISSIMMEE","FL","34744","OSCEOLA","4073431230"
"DON PEELER PHARMACY","127 E NORTH ST","MADISONVILLE","KY","42431","HOPKINS","2708215440"
"CVS PHARMACY","442 S HIGHWAY 27","STANLEY","NC","28164","GASTON","7042631416"
"SAM'S CLUB PHARMACY","196 THF BLVD","CHESTERFIELD","MO","63005","SAINT LOUIS","6367280372"
"SAM'S CLUB PHARMACY","4850 ENCORE BLVD","MOUNT PLEASANT","MI","48858","ISABELLA","9897735814"
"CASHIERS VALLEY PHARMACY","52 CASHIERS SHOPPING CTR","CASHIERS","NC","28717","JACKSON","8287433114"
"ROBERTSON CENTER PHARMACY","250 N ROBERTSON BLVD #107","BEVERLY HILLS","CA","90211","LOS ANGELES","3102782948"
"GREEN PHARMACY","133 DREISER LOOP","BRONX","NY","10475","BRONX","7185135889"
"BOONE MEMORIAL HOSPITAL OPT","697 MADISON AVE","MADISON","WV","25130","BOONE","3043698821"
"WALMART PHARMACY","373 BENNER PIKE","STATE COLLEGE","PA","16801","CENTRE","8142359402"
"WALMART PHARMACY","350 E FAIRMOUNT AVE","LAKEWOOD","NY","14750","CHAUTAUQUA","7167630966"
"GIANT PHARMACY","20944 FREDERICK RD","GERMANTOWN","MD","20876","MONTGOMERY","3015159498"
"WALMART PHARMACY","2050 PASS RD","BILOXI","MS","39531","HARRISON","2282716724"
"WALMART PHARMACY","11210 W AIRPORT BLVD","STAFFORD","TX","77477","FORT BEND","2819335252"
"WALMART PHARMACY","1450 E MAIN ST","CARBONDALE","IL","62901","JACKSON","6185490709"
"WALMART PHARMACY","401 E US HWY 82","SHERMAN","TX","75092","GRAYSON","9038939090"
"WALMART PHARMACY","2401 INDIAN WELLS RD","ALAMOGORDO","NM","88310","OTERO","5758127044"
"WALMART PHARMACY","863 HARVEST LN","WILLISTON","VT","05495","CHITTENDEN","8028785533"
"SAFEWAY PHARMACY","101 AUBURN WAY S","AUBURN","WA","98002","KING","2537354404"
"WALMART PHARMACY","115 WEST FM 544","MURPHY","TX","75094","COLLIN","9725160264"
"RANDALLS PHARMACY","3300 BEE CAVES RD STE 500","WEST LAKE HILLS","TX","78746","TRAVIS","5123297408"
"WALMART PHARMACY","8101 E BRAINERD RD","CHATTANOOGA","TN","37421","HAMILTON","4235081195"
"WALMART PHARMACY","133 ARKANSAS BLVD","TEXARKANA","AR","71854","MILLER","8707727872"
"WALMART PHARMACY","7001 BRIDGEPORT WAY W","LAKEWOOD","WA","98499","PIERCE","2535120960"
"WALMART PHARMACY","920 47TH AVE","GREELEY","CO","80634","WELD","9703538375"
"GIANT PHARMACY","2174 W UNION BLVD","BETHLEHEM","PA","18018","LEHIGH","6106912845"
"WALMART PHARMACY","800 E SOUTHERN AVE","TEMPE","AZ","85282","MARICOPA","4809662791"
"WALMART PHARMACY","25800 HIGHWAY 171","MANY","LA","71449","SABINE","3182566378"
"WALMART PHARMACY","935 STATE HIGHWAY 11 SOUTH","SWEETWATER","TN","37874","MONROE","4233373052"
"WALMART PHARMACY","8840 BENBROOK BLVD","BENBROOK","TX","76126","TARRANT","6822336827"
"WALMART PHARMACY","3791 NW 167TH ST","MIAMI GARDENS","FL","33055","MIAMI-DADE","3059141974"
"WALMART PHARMACY","1875 E MANSFIELD ST","BUCYRUS","OH","44820","CRAWFORD","4195628411"
"WALMART PHARMACY","11145 BRYTON TOWN CENTER DR","HUNTERSVILLE","NC","28078","MECKLENBURG","7049772043"
"WALMART PHARMACY","2701 E MAIN ST","ALICE","TX","78332","JIM WELLS","3616680504"
"WALMART PHARMACY","602 SHEILA DR","WEST HELENA","AR","72390","PHILLIPS","8705726741"
"WALMART PHARMACY","4525 HIGHWAY 411","MADISONVILLE","TN","37354","MONROE","4234426362"
"WALMART PHARMACY","819 BENNIE RD","CORTLAND","NY","13045","CORTLAND","6077561892"
"WALMART PHARMACY","9020 ULMERTON RD","LARGO","FL","33771","PINELLAS","7274315023"
"WALMART PHARMACY","3720 E SUNSHINE ST","SPRINGFIELD","MO","65809","GREENE","4175769359"
"MEDICINE SHOPPE PHARMACY","204 S WASHINGTON ST","DU QUOIN","IL","62832","PERRY","6185422575"
"WALMART PHARMACY","1365 BOSTON POST RD","MILFORD","CT","06460","NEW HAVEN","2033010570"
"SAFEWAY PHARMACY","933 E MISSION AVE","SPOKANE","WA","99202","SPOKANE","5094822089"
"WALMART PHARMACY","3871 W MAIN ST","DOTHAN","AL","36305","HOUSTON","3345476507"
"WALMART PHARMACY","2802 OUTER DR","MARION","IL","62959","WILLIAMSON","6189972021"
"WALMART PHARMACY","1939 S SCOTT RD","SAINT JOHNS","MI","48879","CLINTON","9892248299"
"WALMART PHARMACY","3302 SUMMERHILL RD","TEXARKANA","TX","75503","BOWIE","9037167019"
"WALMART PHARMACY","1266 E VALLEY PKWY","ESCONDIDO","CA","92027","SAN DIEGO","7608716762"
"WALMART PHARMACY","25820 LA HIGHWAY 16","DENHAM SPRINGS","LA","70726","LIVINGSTON","2253696929"
"WALMART PHARMACY","5851 NW 177TH ST","HIALEAH","FL","33015","MIAMI-DADE","3055587490"
"GIANT PHARMACY","1540 COWPATH RD STE 110","HATFIELD","PA","19440","MONTGOMERY","2154129264"
"MEDICINE SHOPPE PHARMACY","760 PAULDING PLZ","DALLAS","GA","30132","PAULDING","7704456422"
"MEDICAP PHARMACY","400 1ST AVE W","NEWTON","IA","50208","JASPER","6417923528"
"WALMART PHARMACY","1861 S SAN JACINTO AVE","SAN JACINTO","CA","92583","RIVERSIDE","9514878409"
"AURORA PHARMACY","414 DOCTORS CT STE 100","OSHKOSH","WI","54901","WINNEBAGO","9203035006"
"WALMART PHARMACY","534 S DUFF AVE","AMES","IA","50010","STORY","5159563547"
"WALMART PHARMACY","6225 COLONY ST","BAKERSFIELD","CA","93307","KERN","6618327997"
"WALMART PHARMACY","5131 GREENBRIAR RD","WICHITA FALLS","TX","76302","WICHITA","9403979662"
"WALMART PHARMACY","1400 FARMINGTON AVE","BRISTOL","CT","06010","HARTFORD","8605851103"
"WALMART PHARMACY","201 WALTON WAY","CEDAR PARK","TX","78613","WILLIAMSON","5125288794"
"WALMART PHARMACY","6005 MADISON AVE","CARMICHAEL","CA","95608","SACRAMENTO","9165341162"
"SEATTLE VAMC PHARMACY","1660 S COLUMBIAN WAY","SEATTLE","WA","98108","KING","2067642401"
"FRED MEYER PHARMACY","19200 SW MARTINAZZI AVE","TUALATIN","OR","97062","WASHINGTON","5036914233"
"WALGREENS","112 ROCKINGHAM ST","BELLOWS FALLS","VT","05101","WINDHAM","8024639910"
"WALGREENS","10 E STREET RD","WEST CHESTER","PA","19382","CHESTER","6103993920"
"WALGREENS","4905 W TROPICANA AVE","LAS VEGAS","NV","89103","CLARK","7028890922"
"WALGREENS","15155 NW US HIGHWAY 441","ALACHUA","FL","32615","ALACHUA","3864183785"
"ADAMS DRUGS PERRY HILL PLACE","1633 PERRY HILL RD","MONTGOMERY","AL","36106","MONTGOMERY","3343868813"
"CVS PHARMACY","23001 COOLIDGE HWY","OAK PARK","MI","48237","OAKLAND","2485478230"
"CAPITOL PHARMACY","2114 SENTER RD STE 26","SAN JOSE","CA","95112","SANTA CLARA","4082981385"
"CVS PHARMACY","300 E GROVER ST","SHELBY","NC","28150","CLEVELAND","7044824429"
"TENNESSEE VALLEY LTC PHCY SVCS","606 E EMORY RD","POWELL","TN","37849","KNOX","8659475235"
"PETROLIA PHARMACY","296 CHURCH STREET","PETROLIA","PA","16050","BUTLER","7247564050"
"LINMAS DRUGS","603 MAIN ST","EMLENTON","PA","16373","VENANGO","7248672400"
"FOOD LION PHARMACY","109 FOOD LION PLZ","SILER CITY","NC","27344","CHATHAM","9197429969"
"KEE-ZAC PHARMACY","111 BEDFORD AVE","BELLMORE","NY","11710","NASSAU","5162214022"
"WEIS PHARMACY","11798 ROUTE 6","WELLSBORO","PA","16901","TIOGA","5707246453"
"BROADMOOR DRUG CENTER","6096 W PARK AVE","HOUMA","LA","70364","TERREBONNE","9858762584"
"SEDAN PHARMACY","129 E MAIN ST","SEDAN","KS","67361","CHAUTAUQUA","6207253262"
"TOPICAL SOLUTIONS PHARMACY","20622 N CAVE CREEK RD STE C121","PHOENIX","AZ","85024","MARICOPA","4803518278"
"POTTER DRUG","214 ABE LINCOLN DR UNIT 2","ATHENS","IL","62613","MENARD","2179527030"
"PROVIDE RX","2208 N LOOP 250 W STE 101","MIDLAND","TX","79707","MIDLAND","4326893355"
"WEIS PHARMACY","5140 SIMPSON FERRY RD","MECHANICSBURG","PA","17050","CUMBERLAND","7176978101"
"RENA'S PHARMACY","2904 S 70TH ST UNIT 3","PHILADELPHIA","PA","19142","PHILADELPHIA","2674574555"
"VAL U MED HEALTH MART","159 BENT AVE","LAS ANIMAS","CO","81054","BENT","7194561691"
"UNITED HLTH SERV HOSPITALS INC","33 MITCHELL AVE STE 108","BINGHAMTON","NY","13903","BROOME","6073525950"
"VOLUNTEER PHARMACY","2559 WILLOW POINT WAY","KNOXVILLE","TN","37931","KNOX","8655600135"
"PRESCRIPTION CORNER DRUG INC","320 W KINGSHIGHWAY","PARAGOULD","AR","72450","GREENE","8702399535"
"STEPP-SAVER PHARMACY","203 N NEWBERGER AVE","BRUCE","MS","38915","CALHOUN","6629834011"
"CVS PHARMACY","801 OAKDALE RD STE F","MODESTO","CA","95355","STANISLAUS","2095259430"
"CLOVERDALE DRUGS","900 N MAIN ST","CLOVERDALE","IN","46120","PUTNAM","7657954100"
"MIDTOWN PHARMACY EXPRESS LLC","500 N MAIN ST","BEAVER DAM","KY","42320","OHIO","2702749224"
"BROOKSVILLE DRUGS","80 PONCE DE LEON BLVD","BROOKSVILLE","FL","34601","HERNANDO","3527964975"
"HEALTHPOINT SEATAC PHARMACY","4040 188TH ST STE 201","SEATAC","WA","98188","KING","2062777216"
"APOTHECARE PHARMACY","2535 S DOWNING ST STE G10","DENVER","CO","80210","DENVER","3037782427"
"WILSON DRUG","118 W 4TH ST","HEARNE","TX","77859","ROBERTSON","9792792173"
"TACKETT COMPOUNDING PHARMACY","3500 FORT WORTH HWY","HUDSON OAKS","TX","76087","PARKER","8174417046"
"MEIJER PHARMACY","2700 US HIGHWAY 34","OSWEGO","IL","60543","KENDALL","6306365010"
"COX PHARMACY","300 2ND AVE SE","CAIRO","GA","39828","GRADY","2293779017"
"AON PHARMACY LLC","12631 WESTLINKS DR STE 1","FORT MYERS","FL","33913","LEE","8338861725"
"UNION PHARMACY AND MEDICAL SUPPLY","6456 W FLAGLER ST","MIAMI","FL","33144","MIAMI-DADE","3052624646"
"FARMACIA CARIDAD","PLAZA LAS VEGAS BO. ALGARROBOS","VEGA BAJA","PR","00693","VEGA BAJA","7878585008"
"COMMUNITY HEALTHCARE PHARMACY","1708 EAST 44TH ST","TACOMA","WA","98404","PIERCE","2532842226"
"MEIJER PHARMACY","3320 W SHORE DR","HOLLAND","MI","49424","OTTAWA","6169941110"
"CRESCO FAMILY PHARMACY","235 8TH AVE W","CRESCO","IA","52136","HOWARD","5635476666"
"GENOA HEALTHCARE LLC","1902 OLDE HOMESTEAD LN","LANCASTER","PA","17601","LANCASTER","7177239910"
"DIERBERGS PHARMACY","222 N HIGHWAY 67","FLORISSANT","MO","63031","SAINT LOUIS","3148310990"
"CVS PHARMACY","728 W SHAW AVE","FRESNO","CA","93704","FRESNO","5592261485"
"HOPEWELL PHARMACY INC","251 E 188 ST","BRONX","NY","10458","BRONX","7187336722"
"PARKER'S CITY PHCY","1005 E COURT ST","SEGUIN","TX","78155","GUADALUPE","8303791450"
"COLLIER DRUG-DICKSON","100 W DICKSON ST","FAYETTEVILLE","AR","72701","WASHINGTON","4794426262"
