"town","address","tower_type","owner","height","comments","carrier_1","carrier_2","carrier_3","carrier_4","carrier_5","carrier_6","carrier_7","carrier_8","carrier_9"
"Cheshire","*** South Main Street","utility pole","Verizon","25","small cell","Verizon @ 24.5'",,,,,,,,
"New Haven","*** Bristol Street","rooftop",,"105'/132'","AT&T & Cellco antennas","Cingular @ 124'","Sprint @ 133'","T-Mobile @ 135'","Verizon @ 105'/132'",,,,,
"Stamford","*** Long Ridge Road","rooftop",,,,"Verizon",,,,,,,,
"Avon","*** West Main Street","rooftop",,,"Avon Marketplace; different location from flagpole tower in parking lot","T-Mobile @ 47'",,,,,,,,
"Wallingford","**** Durham Rd.","monopole","SBA","165",,"Cingular @ 125/95'","T-Mobile @ 154'","Nextel @ 145'","Cingular/AT&T @ 115'","Verizon @ 135'","Sprint @ 162'",,,
"Weston","** Norfield Rd (Weston Town Hall)","monopole","Crown Castle","190","using existing equipment shelter & connecting to generator","Verizon @ 150'","Cingular @ 160'","T-Mobile @ 175'","Nextel @ 89'",,,,,
"Willington","Jared Sparks Road","self-supporting lattice","State of CT","45'",,,,,,,,,,
"Brookfield","** Carmen Hill Road","guyed lattice","Aurora of Danbury","454",,"Sprint/Nextel @ 257'","AT&T @ 165'","clearwire @ 155' and 200'","T-Mobile @ 280'","DISH @ 225'",,,,
"Norwich","** Church Street","rooftop",,,"carrier: AT&T",,,,,,,,,
"Wilton","** Danbury Road","flagpole on bldg.","Verizon","87'",,"Sprint @ 59'","Verizon @ 77'","T-Mobile @ 80'",,,,,,
"North Stonington","*** Boombridge Rd.","guyed lattice","Wireless Sol.","180",,"Cingular @ 175-180'","Verizon @ 136'",,,,,,,
"East Lyme","*** Main Street","rooftop",,,,"T-Mobile @ 55'",,,,,,,,
"Killingworth","*** North Chestnut Hill Road","monopole","SBA","150",,"Sprint @ 150'",,,,,,,,
"Tolland","*** Old Post Road","guyed lattice","Old Post Road Holdings","150",,"Sprint @ 147'","AT&T @ 126'","T-Mobile @ 115'","Dish @ 113'",,,,,
"East Windsor","*** Prospect Hill Road","water tower","AT&T Wireless","83' 6""",,"Cingular @ 75'","Verizon @ 88'","Sprint @ 78'","T-Mobile @ 95'",,,,,
"Bridgeport","*** Pine St","self-supporting lattice","RCSC","250",,"T-Mobile @ 180'","metricom @ 124'","Nextel @ 96'","Verizon @ 110'","MetroPCS new york @ 126'","Sprint/Nextel @ 240'","AT&T @ 138'",,
"Norwalk","Norwalk Harbor Station","smokestack","CL&P/NU","185",,"cl&p @ ?",,,,,,,,
"New Haven","*** State Street","rooftop",,"70'","Cellco antenna","Verizon @ 70'","Nextel @ 66'",,,,,,,
"Hamden","** Hamden Park Drive","other","Comcast","25","(d0194) CATV","comcast @ ?",,,,,,,,
"Shelton","* Mountain View Drive","rooftop",,,"carrier: T-Mobile","T-Mobile @ 46'","Sprint @ 85'",,,,,,,
"Woodbury","*** Minortown Road","monopole","Crown Castle","100","d0235/p0678","Sprint @ 100'","Verizon @ 110'","Cingular @ 80'/213'","Dish @ 68'",,,,,
"South Windsor","** McGuire Road","monopole","Crown Castle","150","3 equipment cabinets; Sprint on tower at 150'","Sprint @ 150'","Cingular @ 120'","T-Mobile @ 140'",,,,,,
"Washington","* Mountain Road","monopole","Verizon","170","d0332; tower extended 10 feet under p0987","Verizon @ 160, 150'","AT&T @ 167'","T-Mobile @ 136'",,,,,,
"Hamden","*** Evergreen Avenue","silo","Crown (State of CT Ag Experimental Station)","108","d0195","Cingular @ 85'","Sprint @ 75'","Verizon @ 95'","MetroPCS @ 65'","T-Mobile @ 104'","DISH @ 65'",,,
"Watertown","*** Sunnyside Ave.","power mount","CL&P","110","p0502","Sprint @ 110'",,,,,,,,
"Stamford","** Station Place","rooftop",,,,"Cingular @ 75'",,,,,,,,
"Bridgeport","Vine Street","utility pole","Verizon","36","adjacent to 144 Coleman St.","Verizon @ 36.5'",,,,,,,,
"Norwalk","*** Main Street","rooftop",,,,"Cingular @ 128'",,,,,,,,
"Waterford","** Dayton Road","self-supporting lattice","Cohanzie Fire Dept.","170",,"Verizon @ 135'","T-Mobile @ 165'","Cingular/AT&T @ 155'","MetroPCS @ 184'",,,,,
"Farmington","**B Songbird Lane","water tank",,"99'","carriers:  Verizon, Sprint & AT&T","AT&T @ 86'","Verizon @ 99.1'","Sprint @ 77'",,,,,,
"Newtown","** Main Street","church steeple",,,"Newtown meeting house","Sprint @ 58'","T-Mobile @ 74'","MetroPCS @ 57'",,,,,,
"East Hartford","*** Roberts Street Rear","monopole","American Tower","130","d0228; p0941 extends tower 10' to 130'; Property owner is Double E Properties of Middletown","Verizon @ 118'","Nextel @ 90'","Sprint @ 110'/70'","clearwire @ 128'","MetroPCS @ 100","AT&T @ 90'","DISH @ 79'",,
"Stratford","Warner Hill Road","utility pole","Verizon","42","small cell; across from 125 Warner Hill Road","Verizon @ 41.5'",,,,,,,,
"Meriden","*** Colony St","building mount","DPS","53","20' tower on building top, transfer existing whip","dps @ ?",,,,,,,,
"Milford","**** Boston Post Road","rooftop","CT Post Limited Partnership","45","two towers on roof of CT Post Mall; P1245; P1363 T-Mobile modifies facility;","T-Mobile @ 37' &43'",,,,,,,,
"Rocky Hill","*** France St","monopole","Crown Castle","140","d0058.7","Verizon @ 140'","T-Mobile @ 124'",,,,,,,
"Danbury","* East Gate Road","utility pole","Verizon","25","small cell","Verizon @ 25.2'",,,,,,,,
"Danbury","* West View Drive","self-supporting lattice","Robert Kaufman","133","many other antennas on tower","T-Mobile @ 50'",,,,,,,,
"Windsor","**** Kennedy Road","small cell","Verizon","29","p1166 small cell on building rooftop","Verizon @ 29'",,,,,,,,
"North Stonington","*C Reutemann Road","silo",,,,,,,,,,,,
"Wilton","** Fenwood Lane","self-supporting lattice","DPS","180","p074.2/d0128","dps @ 115'/180'","Cingular @ 135'/175'","Sprint @ 105'","Nextel @ 105'","T-Mobile @ 120'","Cingular/AT&T @ 165'",,,
"Glastonbury","*** Windham Rd.","self-supporting lattice","Francis Cathey","195'","Four towers at various heights on this property",,,,,,,,,
"New London","** Hawthorne Drive North","power mount","CL&P","90","p0759","T-Mobile @82' & 90'",,,,,,,,
"Brookfield","*** Whisconier Road","rooftop",,"26'","HVCEO office",,,,,,,,,
"Greenich","ROW along Davis Avenue between the Metro-North Railroad and I-** right-of-way","Utility pole","AT&T","43","AT&T at 42",,,,,,,,,
"Cheshire","**** Summit Road","monopole","Crown","170","d0199","Sprint @ 147'","T-Mobile @ 138'","Nextel @ 127.5'","Verizon @ 168'","Dish @ 123'",,,,
"Simsbury","** Wintonbury Rd.","self-supporting lattice","CL&P/NU","100",,"Sprint @ 80'","Nextel @ 73'","MetroPCS @ 87'",,,,,,
"Colchester","*** Old Hartford Road","monopole","Clark Family Partnership","60","(p0605)replace existing 60' lattice tower with 60' monopole","Cingular/AT&T @ 57'",,,,,,,,
"East Lyme","* Grand St","guyed lattice","East Lyme Fire Department","40","two small cell LTE antennas added to tower, 2 cabinets added to 8x8 fenced lease area","Verizon @ 40'",,,,,,,,
"Monroe","*** Fan Hill Road","monopole","Town of Monroe","175",,"AT&T @ 160'","AT& @ 160",,,,,,,
"Hartford","*** Farmington Avenue","rooftop",,,,"T-Mobile @ 83'",,,,,,,,
"Stamford","One Omega Drive","in-building IP access",,,"office building","T-Mobile",,,,,,,,
"Stonington","** Clara Drive","rooftop","McQuades Mystic, LLC",,"site supplied by town of Stonington","T-Mobile","sky tel",,,,,,,
"West Hartford","*** Park Road","utility pole",,"32","PURA","AT&T @ 32'",,,,,,,,
"Branford","** Maple Street","smoke stack",,"100'","carrier T-Mobile","T-Mobile @ 96'","Sprint @ 85'",,,,,,,
"Canaan","*** Route * South (Falls Village)","Monopine","Verizon","150","d0360","Verizon @ 150'","AT&T @ 140'",,,,,,,
"Stamford","** Strawberry Hill Avenue","rooftop","t-mobile","160","panel antennas","T-Mobile @ 141'","Arch Wireless","KMEDIA INC.","VELOCITA WIRELESS, L.P.","WLNY-TV, INC.",,,,
"Trumbull","Aldo Drive","utility pole","Verizon","26'","small cell; near intersection with Drew Circle near Rt. 25 ramp","Verizon @ 26'",,,,,,,,
"Bridgeport","**** Main Street","rooftop","Kapetan Assocs.",,,"Nextel","T-Mobile @ 91'",,,,,,,
"Enfield","*** Phoenix Avenue","small cell","Verizon","36","p1333 small cell at Enfield FD","Verizon @ 36'",,,,,,,,
"Montville","*** Route **","self-supporting lattice","Town of Montville","145'","P1133 Verizon EFR subpetition; Eversource TS","Verizon @ 70'","Eversource @133'",,,,,,,
"Lebanon","*** Exeter Road","monopole","verizon","150","d482- town also proposed to install whip antenna at top of tower; D&M approved 01/30/20","Verizon @ 140'",,,,,,,,
"Windsor Locks","** Spring St.","monopole","AT&T","106",,"Cingular @ 46'","sri @ 44'","Cingular/AT&T @ 81'",,,,,,
"Norfolk","** Ashpohtag Road","monopole","TowerCo","150","d0287","Sprint @ 147.5'","Cingular @ 137'","Verizon @ 127'",,,,,,
"Mansfield","*** Storrs Road","self-supporting lattice","Town of Mansfield","30",,,,,,,,,,
"Danbury","*** Main Street","rooftop",,"46",,"Verizon @ 45.5'",,,,,,,,
"Fairfield","Unquowa Road","utility pole","Verizon","36","small cell; adjacent to 700 Unquowa Road","Verizon @ 35.8'",,,,,,,,
"Windham","*** Main Street","building mount","RIQ, LLC",,"carrier: Verizon?","Cingular @ 73'",,,,,,,,
"Shelton","Old Kings Highway (off English Lane)","guyed lattice","TCI","195",,"Verizon @ 182'","Nextel @ 165'",,,,,,,
"Waterbury","*** East Aurora Street","smokestack",,"109",,"T-Mobile @ 105'",,,,,,,,
"Torrington","*** Torringford Street","in-building IP access",,,"Wal-Mart","T-Mobile",,,,,,,,
"Hartford","*** Washington St.","building mount","DPS","43","(p0141.3)on building top, remove existing dish","necs @ 38'",,,,,,,,
"Bloomfield","*** Cottage Grove Road","in-building IP access",,,"MetLife Insurance office building","T-Mobile",,,,,,,,
"Prospect","** Kluge Rd","monopole","Global Signal Acquisitions","190",,"T-Mobile @ 180'","AT&T @ 160",,,,,,,
"Danbury","** Padanaram Road","other (wood)","Crown Castle","80","p0712","T-Mobile @ 80'",,,,,,,,
"Woodstock","Eastford Road (Route ***)","self-supporting lattice","George Davis","180",,"Verizon @ 177'",,,,,,,,
"Madison","*** Opening Hill Rd.","self-supporting lattice","Global Tower Partners","180",,"T-Mobile @ 130'","Cingular @ 140'","Nextel @ 160'","Sprint @ 150'","Verizon @ 170'",,,,
"New Britain","*** Stanley Street","monopole","Crown","195'","p0544","northcoast @ 185'","Verizon @ 100'","Cingular/AT&T @ 195'","Sigfox@ 161'","Dish @ 155'",,,,
"New Haven","** Prince Street","rooftop",,,,"Sprint @ 75'",,,,,,,,
"Waterbury","Garden Circle (Farmdale Drive)","guyed monopole","American Tower","150",,"Cingular @ 150'","Verizon @ 140/105/100'","Cingular/AT&T @ 145'",,,,,,
"Meriden","*** Preston Avenue","rooftop",,,,"Cingular @ 38'","Sprint @ 37'","Verizon @ 38.1'","AT&T @ 38'",,,,,
"Hartford","*** Capitol Ave. (State Office Bldg.)","building mount","DPS","90","(p0141.4)on NW & SE corners of bldg; remove 4 exisitng dishes","necs @ 63'","dps @ 80'",,,,,,,
"Wallingford","** Barnes Park North","in-building IP access",,,"office/industrial building","T-Mobile",,,,,,,,
"Kent","** Maple Street","monopole","Verizon","150","d0353","Verizon @ 150","town @ 150' & 110'","AT&T @ 140'","T-Mobile @ 110'","Eversource @ 84'",,,,
"East Lyme","*** Flanders Rd","rooftop",,"37",,"Verizon @ 37'",,,,,,,,
"Franklin","** Doctor Nott Road","guyed lattice","American Tower Corp.","300'",,"Nextel @ 180'","Verizon @ 170'","AT&T @ 196",,,,,,
"Manchester","*** Center St","monopole","Crown Media","128","d0129","Verizon @ 113'","xm @ 125(ant)/30(dish)","EyeTower @ 91', 89', 84'","Dish @ 95",,,,,
"Hamden","*** Willow Street","monopole","Sprint","160","d0324","Sprint @ 157'","Verizon @ 147'","t-mobile @ 138'",,,,,,
"Bridgeport","** Washburn Street","billboard",,,,,,,,,,,,
"Stamford","*** Long Ridge Road","in-building",,"in-building","xerox","Cingular (in-building)",,,,,,,,
"Waterbury","** Center Street","rooftop",,,"information provided by City of Waterbury; submitted to P&Z 7/31/09","MetroPCS @ 120'",,,,,,,,
"Naugatuck","*** Rubber Ave.","rooftop",,,,"Verizon @ 38'",,,,,,,,
"Derby","*** Division Street","rooftop",,,"on hospital roof","Verizon @ 30'",,,,,,,,
"Greenwich","Sound Shore Drive (CL&P #****)","self-supporting lattice with power mount","CL&P","150","p0443A - relocation from CL&P #1292 to CL&P #1279","AT&T @ 160'",,,,,,,,
"Tolland","*** Reed Road","guyed lattice","Roy Auclair","75","CB/ham radio",,,,,,,,,
"Newtown","* Fairfield Dr (** Meridian Ridge Road)","monopole","American Tower","163","d0075.2","Verizon @ 140'","Cingular @ 147'","T-Mobile @ 162'","DISH @ 121'",,,,,
"Windsor","One Griffin Road North","in-building IP access",,,"The Hartford office building","T-Mobile",,,,,,,,
"New Fairfield","** (**) Titicus Mountain Rd.","self-supporting lattice","AT&T","188",,"metricom @ 166'","Nextel @ 175'","T-Mobile @ 191.5'","Verizon @ 156'","Cingular/AT&T @ 160'","mediaflo @134.5","DISH @ 137'",,
"Bethel","** Codfish Hill Rd (** Codfish Hill Rd)","monopole","Tarpon Towers","150","d0458; Transfer of Certificate to Tarpon Towers, LLC on 05/09/19","Verizon @ 150'",,,,,,,,
"Goshen","*** Brush Hill Road","monopole","SBA Communications","195","d0260; Certificate transferred 7/15/10","Sprint @ 195'","Verizon @ 185'","T-Mobile @ 160'",,,,,,
"Stratford","***B Hawley Lane (#***)","power mount","CL&P","120","P542A","Sprint @ 120'",,,,,,,,
"Hartford","** Weston Street","monopole","Crown Castle","110","Cingular to expand pad for installation of additional cabinets","T-Mobile @ 80'","Cingular @ 97'","Sprint @ 107'","Verizon @ 64'","DISH @ 54'",,,,
"Greenwich","*** Valley Road","water tank","Aquarion Water Co.","47'7""","p1010 - AT&T to place cap and 15' tower on top of water tank for antennas","AT&T @ 60'",,,,,,,,
"Westport","*** Hillspoint Road","utility pole","Verizon","24","small cell","Verizon @ 24'",,,,,,,,
"Guilford","**** Long Hill Road","monopole","Crown Castle","180","(d0238) equipment cabinets on concrete pad","Sprint @ 177.5'","T-Mobile @ 128'","Verizon @ 145'","AT&T @ 167'",,,,,
"Brookfield","** Pocono Road",,"Town of Brookfield - Brookfield VFD","4 @ 30'","Firehouse",,,,,,,,,
"Norwalk","** Richards Avenue","rooftop",,"89.9'","AT&T, Verizon, t-mobile","AT&T @ 121'","Sprint @ 99'","T-Mobile @ 97'","Verizon @ 89.9'","clearwire",,,,
"Columbia","*** Middletown Rd.","monopole","American Tower","150","(p0586)30' extension on existing 120' monopole; equipment cabinets on concrete pad","Sprint @ 108'","Verizon @ 98'","Cingular/AT&T @ 150'",,,,,,
"Lyme","*** Hamburg Road","wooden pole","Town of Lyme","90'",,,,,,,,,,
"Hartford","*** Asylum Street","building mount","Capitol View Apts","95","(325)New equipment Bldg on Roof","Verizon @ 107.9'",,,,,,,,
"Stratford","**** Barnum Ave (*-*** Burritt Ave)","rooftop","AT&T Wireless","43'",,"Cingular @ 43'","T-Mobile @ 57'","MetroPCS @ 53'","Sprint @ 43 & 55'",,,,,
"Stamford","*** Weed Hill Avenue","water tank","Aquarion Water company",,"site provided by City of Stamford","T-Mobile @ 85'","Sprint/Nextel @ 85'","clearwire","Verizon @ 84'",,,,,
"Middlebury","*** Southford Road","monopole","Town of Middlebury","150'",,,,,,,,,,
"East Hartford","*** Silver Lane (Rentschler Field)","indoor/rooftop",,,,"Cingular (indoor)/150'","T-Mobile @ 163'","Nextel @ 155'","Verizon @ 102.8'",,,,,
"Milford","*** Woodmont Rd.","wood utility pole","UI","79","(p0437)replace 30' wood utility pole with 79' wood utility pole","ui @ 79'",,,,,,,,
"Bridgeport","**** North Avenue","rooftop",,,"cingular - 12 ant.; Sprint - 6 ant.; northcoast - app. Not installed","Cingular @ 100'","Sprint @ 98'","Nextel @ 100'","MetroPCS @ 90'",,,,,
"Rocky Hill","**** (****) Silas Deane Highway","rooftop","DF Group LLC",,,"Verizon @ 65'",,,,,,,,
"Hamden","**** Whitney Avenue (** School Street)","rooftop",,,,"T-Mobile @ 76'","Sprint @ 87'",,,,,,,
"North Branford","Rt. **","power mount","CL&P","91'6""","p0487","T-Mobile @ 99'10""",,,,,,,,
"Derby","*** Minerva Street","Steeple",,,,"Verizon @ 49.9'","Nextel @ 55'",,,,,,,
"Orange","*** Marsh Hill Road","self-supporting lattice","United Illuminating","100","d0406","ui @ various hts.",,,,,,,,
"West Hartford","*** New Park Ave","monopole","Crown Media","150","d0131","Verizon @ 148'","Sprint @ 136'","xm @ 157'",,,,,,
"Bolton","*** Boston Tpke","self-supporting lattice","United Cable TV Corp","63","d033","united cable tv corp @ 48'",,,,,,,,
"New Milford","*** Danbury Road","flagpole","t-mobile","99","Town issued building permit for tower 8/7/00    - flagpole design","Verizon @ 77'","T-Mobile @ 95' & 83'",,,,,,,
"Bridgeport","**** North Avenue","rooftop",,"90",,"Nextel @ 90'","Verizon @ 100/94'",,,,,,,
"Greenwich","*** East Putnam Avenue","utility pole",,"36","PURA","AT&T @ 36'",,,,,,,,
"Vernon","Union Street","utility pole","Verizon","31","small cell; across from 52 Union Street","Verizon @ 31'",,,,,,,,
"Manchester","** Elm Street","smokestack",,,,"Cingular @ 175'","T-Mobile @ 185'","Nextel @ 117'",,,,,,
"Durham","Main Street","utility pole","Verizon","37","small cell; Route 17 adjacent to 7 Main Street","Verizon @ 37'",,,,,,,,
"New Milford","** Boardman Road","monopole","Quarry Stone & Gravel","150","d0285","Sprint @ 150'","Nextel @ 140'","Cingular @ 120'","Verizon @ 130'",,,,,
"Manchester","** Apel Place","silo",,,,"T-Mobile @ 133'",,,,,,,,
"Windsor","*** East Barber Street","monopole","Amtrak","120",,"T-Mobile @ 120'",,,,,,,,
"Norwalk","** Belden Avenue","rooftop",,"84'","T-Mobile, Verizon","AT&T @ 141","T-Mobile @ 110'","Verizon @ 84'","Nextel @ 98'","MetroPCS @ 91.5'","clearwireless","Sprint @ 90 & 96'",,
"Bridgeport","*** Washington Avenue (Wash. Hts. Apts)","rooftop",,,"t-mobile - 9 antennas (washington heights apts.)","T-Mobile @ 98'","MetroPCS @ 83'",,,,,,,
"Watertown","** Echo Lake Road","utility pole","Verizon","35","small cell; closer to 16 Echo Lake Road/acc from Hemingway Park Rd","Verizon @ 35.8'",,,,,,,,
"Canton","*** Dyer Avenue","flagpole","Crown Castle","69",,"T-Mobile @ 50'",,,,,,,,
"North Haven","** Broadway","utility pole","Verizon","37","small cell","Verizon @ 37'",,,,,,,,
"Tolland","*** Merrow Road","utility pole","Verizon","36","small cell","Verizon @ 36'",,,,,,,,
"East Haddam","Mt. Parnassus Road","self-supporting lattice","DESPP","120","p1130 replaces 120' monopole with 120' lattice tower","DESPP @",,,,,,,,
"New Britain","* Hartford Sq.","self-supporting lattice","SBA","175",,"Cingular @ 161'","Verizon @ 132'","northcoast @ 132'","DISH @ 130'",,,,,
"Avon","*** Thompson Road","utility pole","Verizon","34","small cell","verizon @ 34'",,,,,,,,
"Andover","*** Route *","monopole","Crown Castle","150","d0242","Cingular/AT&T @ 150'","T-Mobile @ 140'","Verizon @ 130'","DISH @ 120'",,,,,
"Redding","** Lonetown Rd","self-supporting lattice","Gianninoto & Miller","110","p0311","Verizon @ 110/90/82'","t-mobile @ 92'",,,,,,,
"Milford","** Bona Street","monopole","Crown Castle","133",,"Cingular @ 133'","Verizon @ 93'",,,,,,,
"Somers","*** Main Street","steeple","Verizon","64",,"Verizon @ 64'",,,,,,,,
"New Haven","*** Edwards Street","steeple","St. Joseph's Church",,"Sprint Spectrum antenna","Sprint @ 94'",,,,,,,,
"Cheshire","Cheshire Larsens Pond","monopole",,,,"Cingular @ 89'",,,,,,,,
"West Haven","*** Derby Avenue","rooftop flagpole",,"49","Yale Bowl/t-mobile Wireless Corp.","T-Mobile @ 50'",,,,,,,,
"Old Saybrook","* Custom Drive","small cell","ZZZ & I LLC","24","p1191","Verizon @ 31.3'",,,,,,,,
"Easton","** Center Road","self-supporting lattice",,,,"Nextel @ 55'",,,,,,,,
"Enfield","**** (****) Enfield Street","water tank",,,,"T-Mobile @ 105'",,,,,,,,
"Cromwell","** West Street","rooftop","Town of Cromwell","86' 9""",,,,,,,,,,
"Bloomfield","*** Duncaster Road","power mount","CL&P","87","p0472 - install 17 pipe mast on existing transmission tower; pe1488 installgenerator within expanded lease area","T-Mobile @ 100' and 95'",,,,,,,,
"Westport","*** Nyala Farms Road","in-building IP access",,,"Terex Corporation office building","T-Mobile",,,,,,,,
"Bristol","*** Willis St","self-supporting lattice","Comcast","120",,,,,,,,,,
"Trumbull","** Corporate Drive","rooftop","Verizon","46",,"Verizon @ 46'",,,,,,,,
"Plymouth","** Keegan Road","monopole","Verizon","140","d0456 - Replacement for 42 South Street facility","Verizon @ 140'",,,,,,,,
"Stonington","*** Wilcox Road","monopole","SBA","100'","p0765","T-Mobile @ 97'",,,,,,,,
"Cromwell","*** Shunpike Rd","self-supporting lattice","Cromwell Fire District","170",,"T-Mobile @ 125'","Cingular @ 114'","Sprint @ 170'","Verizon @ 100'",,,,,
"Seymour","* Progress Ave","self-supporting lattice","ECMAC, LLC","280",,"T-Mobile @ 250'","Cingular/AT&T @ 160'","Verizon @ 140'",,,,,,
"Middlebury","Intersection of Straits Turnpike and Park Road","utility pole","Verizon","38","small cell","Verizon @ 38'",,,,,,,,
"Ridgefield","*** Danbury Road","rooftop","Verizon","50","p1338; 2 faux chimneys on building roof with antennas on pipe mast inside","Verizon @ 47'",,,,,,,,
"Wallingford","*** Woodhouse Road","monopole","Crown Castle","150",,"Nextel @ 135'","T-Mobile @ 148'","Cingular @ 128'",,,,,,
"Columbia","** Thompson Hill Road","monopole","Crown Castle","180",,"Cingular/AT&T @ 140'","T-Mobile @ 160'","Verizon @ 150'",,,,,,
"New Canaan","*** Valley Road","m - silhouette","American Towers LLC","120","d0243; d0401","T-Mobile @ 117'","Verizon @ 116, 96","AT&T @ 86'",,,,,,
"Burlington","*** George Washington Tpke","monopole","Town of Burlington","180","town replacing 140' ssl tower with 180' monopole tower; town antennas on at 188' CL; Verizon on at 160'; tower moved 130' to NE b/c of well","Verizon @ 120'","Cingular @ 170'",,,,,,,
"East Hartford","*** Hills Street","monopine","Message Center Management","110","d0436","AT&T @ 100'","EHFD @ 110'","Verizon @ 90'","DISH @ 80'",,,,,
"Ansonia","*** Wakelee Street","self-supporting lattice","American Tower","196",,"Sprint @ 184'","Verizon @ 178'","Nextel @ 198'","Cingular @ 167'","T-Mobile @ 148'",,,,
"Killingly","**** Hartford Pike","self-supporting lattice","Quinebaug Valley Emergency Cmcns","150",,"AT&T @ 108'","Verizon @ 130'","var. @ var. hts.",,,,,,
"Canton","*** Albany Turnpike","monopole","Cellco","120","(d0204 & p0648)also 12 TTAs behind antennas","Verizon @ ?","Cingular @ 110'","Dish@ 89'",,,,,,
"Bethel","** Grassy Plain Street","utility pole",,"35","PURA","AT&T @ 34.5'",,,,,,,,
"Darien","*** Ledge Rd/*** Ledge","monopole","Crown Castle","120","d0155; p0791; p0803","Verizon @ 98'","Cingular @ 86'","Nextel @ 73'","Sprint @ 120'","T-Mobile @ 110'","clearwire @ 73'",,,
"Bridgeport","*** Huntington Tpke","rooftop","Message Center Mgmt","125'","Verizon - 12 antennas; Cingular - 9 antennas","Cingular @ 100'","Verizon @ 182'","T-Mobile @ 98'",,,,,,
"Enfield","* Anngina Drive","small cell","Verizon","14","p1197","Verizon @ 21'",,,,,,,,
"Ledyard","** Norwich Westerly Rd.","rooftop","Foxwoods",,"Foxwoods","Cingular @ 80'","Sprint @ 179'","Verizon @ 162'","T-Mobile @ 82'","metrocps @ 142.5'",,,,
"East Hartford","*** Tolland Street","rooftop",,,,"T-Mobile @ 65'",,,,,,,,
"Westport","Hillspoint Road","utility pole","Verizon","37","small cell; adjacent to Edgewater Commons Lane","Verizon @ 37'",,,,,,,,
"Greenwich","Hillside Road","utility pole","Verizon","31","small cell; adjacent to 10 Hillside Road","Verizon @ 31'",,,,,,,,
"Clinton","*** Killingworth Turnpike","self-supporting lattice","Town of Clinton","130",,,,,,,,,,
"Enfield","*** Moody Rd","monopole","SBA","190","(p0707)Nextel to install fuel cell for back up power; p0844 T-Mobile extends tower 10'","Sprint @ 168'","Cingular/AT&T @ 158'","Nextel @ 180'","T-Mobile @ 188'","MetroPCS @ 148'","DISH @ 177'",,,
"Simsbury","Hopmeadow Street","utility pole","Verizon","30","small cell; adjacent to 775 Hopmeadow Street","Verizon @ 30'",,,,,,,,
"Norwalk","*** New Canaan Avenue","interior mounted monopole","AT&T","140","d0442 - 2 interior mounted monopoles approved at same site","Verizon @ 107' & 117'",,,,,,,,
"Greenwich","** Butternut Hollow Road","water tank",,"130'","t-mobile antennas @124'",,,,,,,,,
"Fairfield","**** (****) Black Rock Tpke","flagpole on bldg.",,,,"Verizon @ 54.1'","T-Mobile @ 65'",,,,,,,
"Hamden","Pine Rock Avenue","utility pole","Verizon","34","small cell; adjacent to 325 Woodin Street","Verizon @ 34'",,,,,,,,
"Killingworth","*** North Chestnut Hill Rd","self-supporting lattice","Crown","170","d0164","Verizon @ 170'","Nextel @ 150'","Cingular/AT&T @ 135'",,,,,,
"Bloomfield","Gibraltar Lane - f/k/a Talcott Mtn - *** Montevideo Drive","self-supporting lattice","Talcott Mtn Science Center","78","d0107","Verizon @ 55'","AT&T @ 70'",,,,,,,
"New Haven","** Amity Road","billboard",,,,"T-Mobile @ 52'",,,,,,,,
"Bristol","** Farmington Avenue","small cell","Verizon","17","small cell on building designed to look like exhaust stack","Verizon @ 26.5",,,,,,,,
"New Britain","State Street","utility pole","Verizon","24","small cell; adjacent to 332 Linwood Street","Verizon @ 24'",,,,,,,,
"West Haven","** Treat Street","rooftop",,,,"T-Mobile @ 30'",,,,,,,,
"Montville","Cook Drive","water tank","Town of Montville","235'",,,,,,,,,,
"Hamden","**** Whitney Avenue","rooftop","Message Center Mgmt",,,"Cingular @ 77'",,,,,,,,
"West Hartford","*** North Main St","building mount","American School  for Deaf","90","d0434 - Verizon builds stealth cupola to replace original that was demolished","Verizon @ 62'","AT&T @ 44.5",,,,,,,
"Hartford","** Asylum Street","rooftop",,"83'",,"Verizon @ 83'",,,,,,,,
"New London","Montauk Avenue","utility pole","Verizon","37","small cell; adjacent to 467 Montauk Avenue","Verizon @ 37'",,,,,,,,
"Darien","**** Post Rd.","rooftop",,"37",,"verizon @ 37'",,,,,,,,
"Waterbury","*** Cherry Street","smokestack",,,,"Sprint @ 127'",,,,,,,,
"Norwich","* Chestnut Street","ssl/bm","AT&T","93",,"T-Mobile @ 83'",,,,,,,,
"Suffield","** Betty Lane","water tower","Nextel","190'",,"Sprint @ 188'",,,,,,,,
"South Windsor","**** Ellington Road","water tank",,"100'","carriers: Town of South Windsor, AT&T, t-mobile, metropcs","T-Mobile @ 105'","Sprint @80'",,,,,,,
"Waterford","*** Vauxhall Street Ext.","water tower","Town of Waterford","117'","cingular and T-Mobile antennas","T-Mobile @ 110'",,,,,,,,
"Stamford","*** Harvard Avenue","rooftop","GTP Towers",,,"Sprint @ 84, 93', 93''","MetroPCS @ 91'","AT&T @ 90'/105'/90'",,,,,,
"Brookfield","* Obtuse Hill Road",,,"20'","Center School",,,,,,,,,
"Danbury","Boxwood Lane Ext","self-supporting lattice","WCSU","100","d0176","WCSU @ 67'","AT&T @ 98'","Sprint @ 89'",,,,,,
"New Haven","** Fountain Street","rooftop",,,"Spacenet Inc.",,,,,,,,,
