"agency","housing_type","address","city","phone_number","clientele","population_served","additional_information","website","location"
"La Nola Hotel","Single Room Occupancy
Hotels","148 W. San Ysidro Blvd","San Diego","(619) 428-3322","Low Income",,,,"148 W. San Ysidro Blvd
San Diego, CA 92173
(32.553033, -117.046297)"
"La Pensione","Single Room Occupancy
Hotels","606 West Date Street","San Diego","(800) 232-4683","Low Income",,,,"606 West Date Street
San Diego, CA 92101
(32.722995, -117.1686)"
"La Posada","Affordable Housing","135 Averil Avenue","San Ysidro","(619) 662-7589","Low Income","Special Needs","Units: 25
Bedrooms: 2-3",,"135 Averil Avenue
San Ysidro, CA 92173
(32.557148, -117.054315)"
"Las Flores Gaslamp LLC","Single Room Occupancy
Hotels","725 4th Avenue","San Diego","(619) 235-6820","Low Income",,,,"725 4th Avenue
San Diego, CA 92101
(32.713012, -117.161059)"
"Las Flores Village","Affordable Housing","1411 N. Las Flores Drive","San Marcos","(760) 598-0559","Families",,"Units: 100
Bedrooms: 2-3","www.lasfloresvillage.com","1411 N. Las Flores Drive
San Marcos, CA 92069
(33.158361, -117.198628)"
"Las Serenas","Affordable Housing","4316 Delta Street","San Diego","(619) 262-2847","Low Income",,"Units: 108
Bedrooms: 2-3",,"4316 Delta Street
San Diego, CA 92113
(32.688954, -117.101561)"
"Las Ventanas Village Apts.","Affordable Housing","250 W. 15th Avenue","Escondido","(760) 489-0178","Low Income",,"Units: 80
Bedrooms: 3",,"250 W. 15th Avenue
Escondido, CA 92025
(33.108023, -117.074731)"
"Laurel Park Senior Apts.","Affordable Housing","10122 Buena Vista Avenue","Santee","(619) 448-8282","Elderly","Seniors 55+","Units: 132
Bedrooms: 1-2",,"10122 Buena Vista Avenue
Santee, CA 92071
(32.834931, -116.976784)"
"Laurel Tree Apts.","Affordable Housing","1307 Laurel Tree Lane","Carlsbad","(760) 918-1780","Low Income",,"Units: 138
Bedrooms: 2-4","www.maacproject.org","1307 Laurel Tree Lane
Carlsbad, CA 92011
(33.121722, -117.301071)"
"Laurel Village Apts.","Affordable Housing","909 Leslie Road","El Cajon","(619) 441-8307","Low Income",,"Units: 7
Bedrooms: 2-4",,"909 Leslie Road
El Cajon, CA 92020
(32.783649, -116.961124)"
"Lazzell Residence","Affordable Housing","5626 Imperial Avenue","San Diego","(619) 264-1997","Elderly","Seniors 62+","Units: 59
Bedrooms: 1",,"5626 Imperial Avenue
San Diego, CA 92114
(32.708438, -117.0739)"
"Lexington Green Apts.","Affordable Housing","1415 E. Lexington Avenue","El Cajon","(619) 442-8849","Low Income",,"Units: 144
Bedrooms: 1-3",,"1415 E. Lexington Avenue
El Cajon, CA 92019
(32.792722, -116.930308)"
"Lil Jackson Senior Community","Affordable Housing","3512 Lake Blvd","Oceanside","(760) 726-2961","Elderly","Seniors 62+","Units: 
Bedrooms: 1","www.thebeagroup.org","3512 Lake Blvd
Oceanside, CA 92054
(33.179077, -117.29178)"
"Lillian Place","Affordable Housing","1401 J Street","San Diego","(619) 231-7585","Low Income",,"Units: 74
Bedrooms: 1-3",,"1401 J Street
San Diego, CA 92101
(32.709407, -117.151604)"
"Lincoln Hotel ","Single Room Occupancy
Hotels","536 5th Avenue","San Diego","(619) 702-2720","Low Income",,,,"536 5th Avenue
San Diego, CA 92101
(32.710908, -117.160136)"
"Lions Community Manor","Affordable Housing","310 Market Street","San Diego","(619) 235-4433","Elderly","Seniors 62+","Units: 131
Bedrooms: 1",,"310 Market Street
San Diego, CA 92101
(32.711535, -117.161517)"
"Little Italy Family Housing","Affordable Housing","1528 India Street","San Diego","(619) 236-9353","Families",,"Units: 15
Bedrooms: ",,"1528 India Street
San Diego, CA 92101
(32.721558, -117.168284)"
"Logan Square Garden","Affordable Housing","4742 Solola Avenue","San Diego","(619) 260-5562","Families",,"Units: 
Bedrooms: 1-3",,"4742 Solola Avenue
San Diego, CA 92113
(32.693611, -117.092608)"
"Los Arcos Senior Apts.","Affordable Housing","12740 Gateway Park Road","Poway","(858) 385-9123","Elderly","Seniors 55+","Units: 83
Bedrooms: 1","www.rhs.org","12740 Gateway Park Road
Poway, CA 92064
(32.99946, -117.0566)"
"Los Robles de Cortez Apts.","Affordable Housing","1475 Oak Drive","Vista","(760) 414 -1994","Low Income",,"Units: 75
Bedrooms: 1-3",,"1475 Oak Drive
Vista, CA 92084
(33.220451, -117.221826)"
"Los Vecinos Apts.","Affordable Housing","1501 Broadway","Chula Vista","(619) 426-2490","Low Income",,"Units: 41
Bedrooms: 1-3",,"1501 Broadway
Chula Vista, CA 91910
(32.599762, -117.077193)"
"Los Vientos","Affordable Housing","1629 National Avenue","San Diego","(619) 795-2950","Low Income",,"Units: 89
Bedrooms: 2-3",,"1629 National Avenue
San Diego, CA 92113
(32.703761, -117.149562)"
"Luther View Apartments","Affordable Housing","4810 Cass Street","San Diego","(858) 483-2300","Elderly","Seniors 62+","Units: 48
Bedrooms: 1","www.christpb.org","4810 Cass Street
San Diego, CA 92109
(32.802708, -117.253473)"
"MAAC Project
Casa de Milagros","Transitional Shelter","1127 S. 38th Street","San Diego","(619) 262-4002","Adult Women","Substance Abuse Treatment","Beds: 17
Max Stay: 6-12 Months",,"1127 S. 38th Street
San Diego, CA 92113
(32.694261, -117.112442)"
"MAAC Project
Nosotros","Transitional Shelter","73 N. Second Avenue","Chula Vista","(619) 426-4801","Adult Men","Substance Abuse Treatment","Beds: 13
Max Stay: 12 Months",,"73 N. Second Avenue
Chula Vista, CA 91910
(32.655199, -117.082165)"
"Maplewood Apts.","Affordable Housing","12709 Mapleview Street","Lakeside","(619) 561-8732","Low Income",,"Units: 79
Bedrooms: 2-3",,"12709 Mapleview Street
Lakeside, CA 92040
(32.863695, -116.917063)"
"Marbella Apts.","Affordable Housing","2504 Marron Road","Carlsbad","(760) 434-7368","Low Income",,"Units: 29
Bedrooms: 1-3",,"2504 Marron Road
Carlsbad, CA 92010
(33.178264, -117.321972)"
"Mariners Cove","Affordable Housing","4392 W. Point Loma Blvd","San Diego","(619) 225-1473","Low Income",,"Units: 100
Bedrooms: 1-3","www.marinerscoveapartmenthomes.com","4392 W. Point Loma Blvd
San Diego, CA 92107
(32.752399, -117.231561)"
"Mariposa Apts.","Affordable Housing","604 Richmar Avenue","San Marcos","(760) 744-3758","Families",,"Units: 70
Bedrooms: 1-3","www.affirmedhousing.org/projects/mariposa","604 Richmar Avenue
San Marcos, CA 92069
(33.14596, -117.174808)"
"Mariposa Apts.","Affordable Housing","4651 Red Bluff Place","Carlsbad","(760) 729-9300","Low Income",,"Units: 106
Bedrooms: 1-3",,"4651 Red Bluff Place
Carlsbad, CA 92010
(33.162794, -117.294473)"
"Marisol Apts.","Affordable Housing","1119 S. Tremont Street","Oceanside","(760) 433-4419","Low Income","Disabled ;
Special Needs","Units: 21
Bedrooms: Studio-1",,"1119 S. Tremont Street
Oceanside, CA 92054
(33.184147, -117.370831)"
"Market Square Manor","Affordable Housing","525 14th Street","San Diego","(619) 237-8004","Elderly","Seniors 62+","Units: 200
Bedrooms: Studio"," ","525 14th Street
San Diego, CA 92101
(32.7109, -117.151925)"
"Market St. Square","Affordable Housing","606 Third Avenue","San Diego","(619) 696-0949","Low Income",,"Units: 40
Bedrooms: Studio-2 ","www.marketstreetsquareapts.com","606 Third Avenue
San Diego, CA 92101
(32.712024, -117.161947)"
"Martin House","Affordable Housing","1262 Via Encinos Drive","Fallbrook","(760) 721-1706","Low Income","Disabled","Units: 
Bedrooms: 1",,"1262 Via Encinos Drive
Fallbrook, CA 92028
(33.327243, -117.231426)"
"Mar Vista El Dorado Retirement","Affordable Housing","802 Topeka Street","Oceanside","(760) 722-1164","Elderly","Seniors 62+","Units: 73
Bedrooms: 1","www.edldoradomarvista.org","802 Topeka Street
Oceanside, CA 92054
(33.195601, -117.375668)"
"McKee Asset Management Apts.","Affordable Housing","445 Orange Avenue","Coronado","(619) 435-7780","Low Income",,"Units: 3
Bedrooms: 1-2",,"445 Orange Avenue
Coronado, CA 92118
(32.69362, -117.175207)"
"McKee Asset Management Apts.","Affordable Housing","560 G Avenue","Coronado","(619) 435-7780","Low Income",,"Units: 4
Bedrooms: 2",,"560 G Avenue
Coronado, CA 92118
(32.693812, -117.180837)"
"McKee Asset Management Apts.","Affordable Housing","406 Orange Avenue","Coronado","(619) 435-7780","Low Income",,"Units: 17
Bedrooms: 1-2 ",,"406 Orange Avenue
Coronado, CA 92118
(32.694148, -117.175127)"
"McKinney Manor","Affordable Housing","5641 Imperial Avenue","San Diego","(619) 266-0285","Elderly","Seniors 55+","Units: 50
Bedrooms: "," ","5641 Imperial Avenue
San Diego, CA 92114
(32.708152, -117.074452)"
"Meadowbrook Park Apts. I","Affordable Housing","7844 Paradise Valley Road","San Diego","(619) 479-6565","Low Income",,"Units: 151
Bedrooms: 2-3","www.meadowbrookapts.com","7844 Paradise Valley Road
San Diego, CA 92139
(32.696096, -117.028197)"
"Meadowbrook Park Apts. II","Affordable Housing","7844 Paradise Valley Road","San Diego","(619) 479-6565","Low Income",,"Units: 215
Bedrooms: 2-3",,"7844 Paradise Valley Road
San Diego, CA 92139
(32.696096, -117.028197)"
"Melrose Villas","Affordable Housing","1820 Melrose Drive","San Marcos","(760) 798-7500","Families",,"Units: 113
Bedrooms: 1-3 ","www.nationalcore.org/property-details/melrose-villas","1820 Melrose Drive
San Marcos, CA 92078
(33.10417, -117.214599)"
"Mental Health Services :
East County Mental Health Center","Emergency Shelter","1000 Broadway, #210","El Cajon","(619) 401-5500","Adult Men/ Women","Homeless ;
Severely Mentally Ill","Out-Patient Clinic",,"1000 Broadway
El Cajon, CA 92021
(32.807749, -116.9477)"
"Mental Health Services :
 Mental Health Clinic","Emergency Shelter","1250 Morena Blvd","El Cajon","(619) 692-8750","Adult Men/ Women","Mentally Ill","Out-Patient Clinic",,"1250 Morena Blvd
El Cajon, CA 92110
(32.773018, -117.203449)"
"Mental Health Services :
Southeast County Mental Health Center","Emergency Shelter","3177 Oceanview Blvd","El Cajon","(619) 595-4400","Adult Men/ Women","Homeless ;
Severely Mentally Ill","Out-Patient Clinic",,"3177 Oceanview Blvd
El Cajon, CA 92113
(32.701187, -117.125855)"
"Mercado Apts.","Affordable Housing","2001 Newton Avenue","San Diego","(619) 233-7990","Low Income",,"Units: 144
Bedrooms: 1-3","www.maacproject.org","2001 Newton Avenue
San Diego, CA 92113
(32.69832, -117.14365)"
"Mercy Gardens","Affordable Housing","540 Lewis Street","San Diego","(619) 255-8891","Low Income","Disabled ;
Special Needs","Units: 22
Bedrooms: Studio-1",,"540 Lewis Street
San Diego, CA 92103
(32.751883, -117.159739)"
"Mesa Family Villas","Affordable Housing","2065 Avenida del Mexico","San Diego","(619) 423-3663","Low Income",,"Units: 41
Bedrooms: 3",,"2065 Avenida del Mexico
San Diego, CA 92154
(32.583147, -117.089202)"
"Metro Apartments","Single Room Occupancy
Hotels","435 13th Street","San Diego","(619) 696-6500","Low Income",,,,"435 13th Street
San Diego, CA 92101
(32.709866, -117.152822)"
"Metro Villas","Affordable Housing","4071 39th Street","San Diego","(619) 546-7552","Families",,"Units: 120
Bedrooms: 1-4",,"4071 39th Street
San Diego, CA 92105
(32.750816, -117.110629)"
"MHS
Family Recovery Center","Transitional Shelter","1100 Sportfishers Drive","Oceanside","(760) 439-6702","Women and Children","Substance Abuse Treatment","Beds: 80
Max Stay: 6-9 Months",,"1100 Sportfishers Drive
Oceanside, CA 92054
(33.201081, -117.377324)"
"Mirada at La Jolla Colony","Affordable Housing","7568 Charmant Drive","San Diego","(858) 450-6400","Low Income",,"Units: 89
Bedrooms: 1-2","www.mirada-apartments.com","7568 Charmant Drive
San Diego, CA 92122
(32.86549, -117.226605)"
"Mission Terrace Apts.","Affordable Housing","10210 San Diego Mission Road","San Diego","(619) 283-6323","Low Income",,"Units: 76
Bedrooms: 1-3",,"10210 San Diego Mission Road
San Diego, CA 92108
(32.785808, -117.112899)"
"M.I.T.E. 
East County Detox","Emergency Shelter","2049 Skyline Drive","El Cajon","(619) 465-2005","Adult Men/ Women","Substance Abuse","Beds: 10
Max Stay: 14 Days",,"2049 Skyline Drive
El Cajon, CA 91945
(32.727533, -117.026824)"
"M.I.T.E. 
North Coastal Regional Recovery Center","Emergency Shelter","2821 Oceanside Blvd","Oceanside","(760) 721-2781","Adult Men","Substance Abuse","Beds: 
Max Stay: ",,"2821 Oceanside Blvd
Oceanside, CA 92054
(33.201738, -117.340162)"
"M.I.T.E
Options South Bay Women's Recovery Center","Transitional Shelter","251 Palomar Street, Suite A","Chula Vista","(619) 498 0908
(619) 442-0277","Women and Children","Substance Abuse Treatment","Outpatient",,"251 Palomar Street
Chula Vista, CA 91911
(32.607262, -117.06468)"
"Monarch at Shadowridge Apts.","Affordable Housing","1850 Thibodo Road","Vista","(877) 592-8315","Low Income",,"Units: 314
Bedrooms: 1-3",,"1850 Thibodo Road
Vista, CA 92081
(33.170646, -117.225511)"
"Montecito Village Apts.","Affordable Housing","1464 Montecito Road","Ramona","(760) 789-6666","Low Income",,"Units: 70
Bedrooms: 1-4",,"1464 Montecito Road
Ramona, CA 92065
(33.038713, -116.877338)"
"Morgan Towers","Affordable Housing","1415 D Avenue","National City","(619) 477-4716","Elderly","Seniors 62+","Units: 150
Bedrooms: 1",,"1415 D Avenue
National City, CA 91950
(32.67201, -117.100903)"
"Motel 6 (formerly La Pacifica)","Single Room Occupancy
Hotels","1546 2nd Avenue","San Diego","(619) 236-9292","Low Income",,,,"1546 2nd Avenue
San Diego, CA 92101
(32.721454, -117.162928)"
"Murray Manor Apts.","Affordable Housing","5700 Cowles Mtn. Blvd","La Mesa","(619) 460-9600","Low Income",,"Units: 198
Bedrooms: 1-2",,"5700 Cowles Mtn. Blvd
La Mesa, CA 91942
(32.784016, -117.031065)"
"National City Park Apts. I & II","Affordable Housing","2323 D Avenue","National City","(619) 477-3114","Low Income",,"Units: 456
Bedrooms: 2",,"2323 D Avenue
National City, CA 91950
(32.663524, -117.097568)"
"Navajo Lodge","Single Room Occupancy
Hotels","5721 El Cajon Blvd","San Diego","(619) 583-1221","Low Income",,,,"5721 El Cajon Blvd
San Diego, CA 92115
(32.758612, -117.073616)"
"New Connections","Transitional Shelter","2049 Skyline Drive","Lemon Grove","(619) 465-0733
ext. 110","Adult Men/ Women","Substance Abuse Treatment","Beds: 12
Max Stay: 3 Months",,"2049 Skyline Drive
Lemon Grove, CA 91945
(32.727533, -117.026824)"
"New Palace Hotel ","Single Room Occupancy
Hotels","1814 5th Avenue","San Diego","(619) 235-2323","Elderly","Seniors 55+",,,"1814 5th Avenue
San Diego, CA 92101
(32.724405, -117.160229)"
"North Central Mental Health Services","Emergency Shelter","1250 Marina Blvd","San Diego","(619) 692-8750","Adult Men/ Women","Severely Mentally Ill","Beds: 
Max Stay: 1 Month",,"1250 Marina Blvd
San Diego, CA 92138
(32.772977, -117.203383)"
"
North Coastal Mental Health","Emergency Shelter","1701 Mission Avenue , Suite A","Oceanside","(760) 967-4475","Adult Men/ Women","Homeless ;
Severely Mentally Ill","Out-Patient Clinic",,"1701 Mission Avenue
Oceanside, CA 92054
(33.202953, -117.366556)"
"North County Lifeline
North Coastal","Hotel / Motel
Voucher Program","200 Jefferson Street","Oceanside","(760) 757-0118","Families","Homeless ;
Disabled ",,,"200 Jefferson Street
Oceanside, CA 92084
(33.20214, -117.242449)"
"North County Lifeline
North Inland","Hotel / Motel
Voucher Program","200 Michigan Avenue","Vista","(760) 726-4900","Families ","Homeless ;
Disabled ",,,"200 Michigan Avenue
Vista, CA 92084
(33.204273, -117.242428)"
"North County Serenity House
Serenity Center / Residential","Transitional Shelter","1341 N. Escondido Blvd","Escondido","(760) 747-1015","Women and Children","Substance Abuse Treatment","Beds: 140
Max Stay: 12 Months",,"1341 N. Escondido Blvd
Escondido, CA 92027
(33.140431, -117.092391)"
"North County Serenity House
Serenity Village","Transitional Shelter","130 S Fig Street","Escondido","(760) 741-5098","Women and Children","Homeless","Beds: 48
Max Stay: 24 Months",,"130 S Fig Street
Escondido, CA 92025
(33.124224, -117.072586)"
"North County Solutions for Change
Intake & Assessment Transitional Housing","Permanent Supportive Housing","890  E. Vista Way","Vista","(760) 941-6545","Families","Homeless","Beds: 32
Max Stay: 12 Months",,"890 E. Vista Way
Vista, CA 92084
(33.210889, -117.232951)"
"North County Solutions for Change
Solutions Family Center","Permanent Supportive Housing","722 West California Avenue","Vista","(760) 941-6545","Families","Homeless","Beds: 40
Max Stay: 3-6 Months",,"722 West California Avenue
Vista, CA 92083
(33.211994, -117.251623)"
"North County Solutions for Change
Solutions Family Center","Transitional Shelter","890 E. Vista Way","Vista","(760) 941-6545","Families","Homeless","Beds: 40
Max Stay: 3-6 Months",,"890 E. Vista Way
Vista, CA 92084
(33.210889, -117.232951)"
"North County Solutions for Change
Solutions Family Center","Transitional Shelter","722 W. California Avenue","Vista","(760) 941-6545","Families","Homeless","Beds: 155
Max Stay: 500 Days",,"722 W. California Avenue
Vista, CA 92083
(33.211994, -117.251623)"
"North Inland Mental Health Services
Hidden Valley House Shelter","Emergency Shelter","125 W Mission Avenue, Suite 103","Escondido","(760) 747–3424","Adult Men/ Women","Severely Mentally Ill","Beds: 
Max Stay: ",,"125 W Mission Avenue
Escondido, CA 92025
(33.130071, -117.086306)"
"North River Club Apts.","Affordable Housing","4520 N. River Rd., #29","Oceanside","(760) 439-5612","Low Income",,"Units: 55
Bedrooms: 1-3",,"4520 N. River Rd
Oceanside, CA 92057
(33.245358, -117.315728)"
"North Santa Fe Apts.","Affordable Housing","301 N. Santa Fe Avenue","Vista","(760) 295-5203","Low Income",,"Units: 67
Bedrooms: 1-3",,"301 N. Santa Fe Avenue
Vista, CA 92083
(33.203368, -117.244411)"
"Oak Knoll Villas","Affordable Housing","12509 Oak Knoll Road","Poway","(888) 728-4635","Low Income",,"Units: 51
Bedrooms: ",,"12509 Oak Knoll Road
Poway, CA 92064
(32.950258, -117.06013)"
"Oakmont of Escondido Hills Apts.","Affordable Housing","3012 Bear Valley Parkway","Escondido","(760) 735-8084","Elderly","Seniors 55+","Units: 119
Bedrooms: Studio-2","www.oakmontofescondidohills.com","3012 Bear Valley Parkway
Escondido, CA 92025
(33.083174, -117.056193)"
"Old Grove Apts.","Affordable Housing","235 Via Pelicano","Oceanside","(760) 433-4854","Low Income",,"Units: 56
Bedrooms: 1-3",,"235 Via Pelicano
Oceanside, CA 92057
(33.22716, -117.306815)"
"Operation HOPE","Winter Shelter","859 E Vista Way","Vista","(760) 536-3880","Families","Homeless","Beds: 46
Max Stay: 3 Months",,"859 E Vista Way
Vista, CA 92085
(33.210367, -117.233883)"
"Orange Place Townhomes","Affordable Housing","1500 S. Orange Place","Escondido","(760) 745-1500","Low Income",,"Units: 15
Bedrooms: 2",,"1500 S. Orange Place
Escondido, CA 92025
(33.106185, -117.076673)"
"Orange Place Village Apts.","Affordable Housing","1611 S. Orange Place","Escondido","(760) 432- 9212","Low Income",,"Units: 15
Bedrooms: 2",,"1611 S. Orange Place
Escondido, CA 92025
(33.105244, -117.076042)"
"Orchard I","Affordable Housing","4040 Hancock Street","San Diego","(619) 224-7775","Elderly","Seniors 55+","Units: 288
Bedrooms: 1","www.theorchardapts.com","4040 Hancock Street
San Diego, CA 92028
(32.756419, -117.216668)"
"Orchard II","Affordable Housing","4080 Hancock Street","San Diego","(619) 244-7775","Elderly","Seniors 55+","Units: 288
Bedrooms: 1",,"4080 Hancock Street
San Diego, CA 92028
(32.756419, -117.216668)"
"Otay Park Apts.","Affordable Housing","1170 30th Street","San Diego","(619) 429-7903","Low Income",,"Units: 71
Bedrooms: 1-3",,"1170 30th Street
San Diego, CA 92154
(32.574975, -117.068949)"
"Oxford Terrace Apts.","Affordable Housing","555 Oxford Street","Chula Vista","(619) 420-1182","Low Income",,"Units: 132
Bedrooms: 1-3",,"555 Oxford Street
Chula Vista, CA 91911
(32.607526, -117.077484)"
"Pacifica Hotel","Single Room Occupancy
Hotels","551 4th Avenue","San Diego","(619) 235-9240","Low Income",,,,"551 4th Avenue
San Diego, CA 92101
(32.711079, -117.161055)"
"Pacific Pines","Affordable Housing","1650 S. El Camino Real","Encinitas","(760) 436-5700","Low Income",,"Units: 16
Bedrooms: 1-2",,"1650 S. El Camino Real
Encinitas, CA 92024
(33.02641, -117.255576)"
"Pacific Station","Affordable Housing","687 S. Coast Hwy 101","Encinitas","(760) 633-4476","Low Income",,"Units: 4
Bedrooms: 1","www.pacificstation.com","687 S. Coast Hwy 101
Encinitas, CA 92024
(33.043802, -117.293543)"
"Pacific Village","Affordable Housing","1551 Saturn Blvd","San Diego","(619) 429-3111","Low Income",,"Units: 248
Bedrooms: 2-3",,"1551 Saturn Blvd
San Diego, CA 92154
(32.569637, -117.09277)"
"Palms Hotel","Single Room Occupancy
Hotels","509 Park Boulevard","San Diego","(619) 232-7256","Low Income",,,,"509 Park Boulevard
San Diego, CA 92101
(32.710754, -117.153747)"
"Palm Terrace Apts.","Affordable Housing","2885 Palm Avenue","San Diego","(619) 575-8373","Low Income",,"Units: 60
Bedrooms: 2",,"2885 Palm Avenue
San Diego, CA 92154
(32.583811, -117.072284)"
"Palomar Apts.","Affordable Housing","171 Palomar Street","Chula Vista","(619) 426-6303","Low Income",,"Units: 168
Bedrooms: 1-3",,"171 Palomar Street
Chula Vista, CA 91911
(32.608451, -117.060396)"
"Palomar Station","Affordable Housing","1257 Armorlite Drive","San Marcos","(760) 203-4450","Families",,"Units: 33
Bedrooms: 1-2","www.lyonliving.com/palomar-station","1257 Armorlite Drive
San Marcos, CA 92078
(33.147066, -117.18997)"
"Paris Hotel","Single Room Occupancy
Hotels","759  4th Street","San Diego","(619) 238-1833","Low Income",,,,"759 4th Street
San Diego, CA 92101
(32.695877, -117.178149)"
"Park Crest","Affordable Housing","5330 Orange Avenue","San Diego","(619) 229-9171","Elderly","Seniors","Units: 71
Bedrooms: 1","www.parkcrest.biz","5330 Orange Avenue
San Diego, CA 92115
(32.753166, -117.080079)"
"Park Fifth Avenue Apts.","Affordable Housing","364 Fifth Avenue","Chula Vista","(619) 420-9452","Elderly","Seniors 60+","Units: 47
Bedrooms: 1 ",,"364 Fifth Avenue
Chula Vista, CA 91910
(32.636981, -117.087269)"
"Park Place Apts.","Affordable Housing","4033 33rd Street","San Diego","(619) 281-0021","Elderly","Seniors 62+ ;
Disabled","Units: 
Bedrooms: ","www.parkplacesandiego.org","4033 33rd Street
San Diego, CA 92104
(32.750992, -117.122771)"
"Parkside Court","Affordable Housing","4010 Park Haven Court","San Diego","(619) 264-5692","Low Income",,"Units: 40
Bedrooms: 1-3",,"4010 Park Haven Court
San Diego, CA 92113
(32.703359, -117.107175)"
"Parkside Terrace","Affordable Housing","505 13th Street","San Diego","(619) 531-7480","Low Income",,"Units: 76
Bedrooms: ",,"505 13th Street
San Diego, CA 92101
(32.710708, -117.152832)"
"Parkview Apts.","Affordable Housing","363 Autumn Drive","San Marcos","(760) 670-3333","Families",,"Units: 82
Bedrooms: 1-3","www.facebook.com/Parkviewsanmarcos","363 Autumn Drive
San Marcos, CA 92069
(33.143753, -117.169244)"
"Park View Terrace","Affordable Housing","13250 Civic Center Drive","Poway","(858) 748-3523","Low Income",,"Units: 92
Bedrooms: 1-4",,"13250 Civic Center Drive
Poway, CA 92064
(32.954677, -117.044187)"
"Park Village Apts.","Affordable Housing","1246 Third Avenue","Chula Vista","(619) 409-1465","Families",,"Units: 
Bedrooms: ",,"1246 Third Avenue
Chula Vista, CA 91911
(32.608985, -117.067276)"
"Park Villas","Affordable Housing","817 Eta Street","National City","(619) 264-3461","Low Income",,"Units: 268
Bedrooms: 2-3",,"817 Eta Street
National City, CA 91950
(32.686817, -117.101807)"
"Parkway Manor","Affordable Housing","3766 35th Street","San Diego","(619) 584-0432","Low Income",,"Units: 20
Bedrooms: 1-2 ",,"3766 35th Street
San Diego, CA 92104
(32.747313, -117.118094)"
"Paseo Del Oro","Affordable Housing","432 West Mission Road","San Marcos","(760) 471-4867","Families",,"Units: 96
Bedrooms: 1-3","www.nationalcore.org/communities/paseo-del-oro","432 West Mission Road
San Marcos, CA 92069
(33.144325, -117.169423)"
"Paseo Pointe Apts.","Affordable Housing","325 S. Santa Fe Avenue","Vista","(760) 295-5232","Low Income",,"Units: 69
Bedrooms: Studio-3",,"325 S. Santa Fe Avenue
Vista, CA 92083
(33.198669, -117.241015)"
"Pathfinders of San Diego Housing Inc. 
Residential Recovery Home","Permanent Supportive Housing","2625 University Avenue","San Diego","(619) 795-6218","Adult Men ","Homeless ;
Mentally Ill ;
Substance Abuse","Beds: 37
Max Stay: Unlimited",,"2625 University Avenue
San Diego, CA 92104
(32.748454, -117.135094)"
"Pathfinders of San Diego Housing Inc. 
Shelter Plus Care","Permanent Supportive Housing","2980 Cedar Street","San Diego","(619) 239-7371","Adult Men ","Substance Abuse 
Rehabilitation","Beds:
Max Stay: ",,"2980 Cedar Street
San Diego, CA 92102
(32.722358, -117.130683)"
"Pathfinders of San Diego Housing Inc. 
Shelter Plus Care- Stream","Permanent Supportive Housing","3806 Grim Avenue","San Diego","(619) 260-1605","Adult Men ","Severely Mentally Ill ;
Substance Abuse","Beds: 18
Max Stay: Unlimited",,"3806 Grim Avenue
San Diego, CA 92104
(32.74758, -117.128267)"
"Pathfinders of San Diego, Inc.
Pathfinders Recovery Home","Transitional Shelter","2980 Cedar Street","San Diego","(619) 239-7370","Adult Men","Substance Abuse Treatment","Beds: 39
Max Stay: 9 Months",,"2980 Cedar Street
San Diego, CA 92102
(32.722358, -117.130683)"
"Patio Laguna Apts.","Affordable Housing","415 F Avenue","Coronado","(619) 435-6918","Low Income",,"Units: 23
Bedrooms: Studio-2",,"415 F Avenue
Coronado, CA 92118
(32.695651, -117.17839)"
"Peachtree Inn","Single Room Occupancy
Hotels","901 F Street","San Diego","(619) 233-1100","Low Income",,,,"901 F Street
San Diego, CA 92101
(32.713628, -117.15606)"
"Penasquitos Village","Affordable Housing","10955 Carmel Mtn. Road","San Diego","(858) 672-0300","Low Income",,"Units: 332
Bedrooms: 1-2",,"10955 Carmel Mtn. Road
San Diego, CA 92129
(32.973394, -117.092603)"
"Pepper Tree Apts.","Affordable Housing","130 N. 14th Street","Ramona","(760) 789-5110","Low Income",,"Units: 32
Bedrooms: 2",,"130 N. 14th Street
Ramona, CA 92065
(33.040684, -116.87659)"
"Persimmon Terrace Apts.","Affordable Housing","1231 Persimmon Avenue","El Cajon","(619) 440-5921","Elderly","Seniors 55+","Units: 37
Bedrooms: 1",,"1231 Persimmon Avenue
El Cajon, CA 92021
(32.811525, -116.938571)"
"Pinecrest Apts.","Affordable Housing","234 W. Clemmens Lane","Fallbrook","(760) 723-8654","Low Income",,"Units: 8
Bedrooms: 1-3",,"234 W. Clemmens Lane
Fallbrook, CA 92028
(33.369345, -117.253205)"
"Pine View Apts.","Affordable Housing","1101 Alturas Road","Fallbrook","(760) 728-0162","Veterans","Disabled","Units: 25
Bedrooms: 1-2",,"1101 Alturas Road
Fallbrook, CA 92028
(33.372669, -117.257991)"
"Pinewood Apts.","Affordable Housing","273 Wisconsin Avenue","El Cajon","(619) 440-5258","Low Income",,"Units: 56
Bedrooms: 1-2",,"273 Wisconsin Avenue
El Cajon, CA 92020
(32.799367, -116.964602)"
"Plaza City Apartments","Affordable Housing","1535 E. Plaza Blvd","National City","(619) 477-9311","Elderly","Seniors 55+","Units: 132
Bedrooms: 1, 3",,"1535 E. Plaza Blvd
National City, CA 91950
(32.67682, -117.090376)"
"Plaza Hotel","Single Room Occupancy
Hotels","1037 4th Avenue","San Diego","(619) 233-8165","Low Income",,,,"1037 4th Avenue
San Diego, CA 92101
(32.716155, -117.161085)"
