"title","address","location_description","classification","marker_condition","year","marker_size","marker_text","geocoded_column"
"Rylie Cemetery","on Rylie between Tufts and Mulberry",,"Cemetery",,"1994.0","18 x 28","In 1878, John Armstrong Rylie donated land at this site for use as a school by settlers of this part of southeast Dallas County. The property came into service as a cemetery with the burial of Redden Allumbaugh in 1889. Since that time, more than 400 persons, including a number of Rylie Prairie community's earliest settlers and their descendants, have been interred here. The cemetery contains the burial of at least one Civil War veteran, Hartwell Bolin Cox. The Rylie Cemetery Association was founded in 1962 to maintain the graveyard.",
"Trinity Farms / Rancho Grande Cemetery","Lee Hall and Prairie View","at the end of Lee Hall up alleyway, behind houses, facing Arlington Park Rd.","Cemetery",,"1995.0","27 x 42","This cemetery represents the last remaining physical reminder of the community of people who worked and lived on a vast commercial farm here known as the Dallas County Trinity Farms from about 1915 to 1946. The farm covered about 3,000 acres of land which had been farmed for many years. Dallas County Trinity Farms was one of several large farms owned by E. P. Harwell of Tulsa, Oklahoma, C. H. Clark of Wichita Falls, Texas, and T. H. Harbin of Waxahachie, Texas.The Trinity Farms Company provided housing, schools, and a general store/commissary for use by the farm laborers and their families. Farm laborers consisted mostly of Mexican citizens, many of whom arrived during the Mexican Revolution, and a sizable number of African Americans. Harbin lived in a large white ranch house and operated the farm which was also known as Rancho grande. The earliest recorded burials occurred in the early 1920s.The children of Hispanics and African Americans who worked on the farm attended separate schools. Similarly, the cemetery contains separate sections for Hispanics and African Americans. The last burial occurred in the early 1940s. The cemetery is maintained by descendants of the families interred here.Sesquicentennial of Texas Statehood 1845 - 1995","POINT (-96.84776 32.815682)"
"Munger Avenue Baptist Church","3919 Munger Avenue",,"Church",,"1989.0","27 x 42","Located near the railroad tracks on Central avenue, Galilee Baptist Church was organized in 1894 by the Rev. A. H. Smith and a small group of charter members. In an attempt to block out noise and distractions from nearby taverns, members hung large rags in the church windows. Neighbors soon nicknamed it ""Rag Doll Church.""In 1911, under the direction of the Rev. A. D. Hindon, the church relocated to 3407 Munger Avenue. Led by the Rev. Abraham Lincoln King from 1912 to 1917, the congregation built its first permanent church structure and changed its name to Munger Avenue Baptist Church. Between 1919 and 1932 the church expanded under the leadership of the Rev. William Lofton.A new sanctuary was completed at the present site in 1940-41 during the pastorate (1932 - 1946) of the Rev. Bernard Byrd. The Rev. Brooks Ellis Joshua came to Dallas in 1946, and continued growth under his leadership included an educational building. Following his death in 1968 a chapel was dedicated in his honor.This church has served the community with Sunday School, nursery school, worship, and outreach programs. Its members have played an active role in improving race relations in the city.","POINT (-96.78662 32.800453)"
"Barton Warren Stone","Pioneer Cemetery","north side of Dallas Convention Center on Ceremonial Drive","Grave","Faded; Refinish","1986.0","Grave Marker","(1817 - 1881)Kentucky native Barton Warren Stone came to Dallas from Tennessee in 1851. He prospered at farming and the practice of law. In 1852 he helped lead a rebellion against Peters Colony agent H. O. Hedgecoxe. Though initially opposed to Texas' secession, Stone organized and commanded two Confederate Cavalry regiments during the Civil War. He later moved his family to a farm in Missouri, but returned to Dallas in 1879 to practice law.Texas Sesquicentennial 1836 - 1986",
"Daniel Family Cemetery","6700 Blk. of Airline Rd.","6700 Blk. of Airline Rd., University Park, Dallas","Cemetery",,"1988.0","18 x 28","Daniel Family CemeteryFrances Sims Daniel (1796 - 1853) moved to Dallas County with her family in 1849 and purchased land in what is now University Park. An orchard planted near the Daniel home became the site of a family cemetery in 1850 when ""Old Frank,"" a family slave for over forty years, was buried there. The gravestone of Isabella Harwood (1836 - 1851), daughter of Frances Sims Daniel, is believed to be one of the oldest in Dallas County. Interred here are Daniel family members, family slaves, and Daniel descendants, including veterans of four wars.1988","POINT (-96.782826 32.848205)"
"F.A. Brown Farm Home","4611 Kelton","4611 Kelton, Dallas","Home","Good","1976.0","Plate & Medallion","F. A. Brown Farm HomeSituated on the Peters Colony headright granted to Calvin G. Cole in 1854, this frame Victorian farmhouse was built before 1885, when Francis Asbury Brown (1836 - 1922) purchased it along with 200 acres of farmland. His son Ernest (1868 - 1943) later occupied the residence and operated a dairy farm. Preserved by Ernest Brown's daughter and son-in-law, Anna and William T. Baker, this structure survived the urban growth that absorbed many rural homes around Dallas.RTHL 1976","POINT (-96.830969 32.850199)"
"Warren Angus Ferris Cemetery","St. Francis Ave. and San Leandro St.",,"Cemetery",,"1988.0","27 x 42","New York native Warren Angus Ferris (1810 - 1873) spent six years as a trapper and chronicler of the American West before moving to the Republic of Texas in late 1836. As official surveyor for Nacogdoches County he surveyed the Three Forks of the Trinity area and helped set the boundaries for Dallas and other nearby counties. He wrote many articles for early Dallas newspapers.In 1847, upon the death of his son Warren Ferris, Jr., this cemetery was established on the family farm. Five Ferris children are buried in this family plot, as well as Warren Angus and his second wife, Frances Moore (d.1869). Other early Dallas County settlers interred in this cemetery are Benjamin Dye (d. 1852) and his wife Sarah (d. 1879); Wesley Chenault (d. 1886) and two of his wives, Elizabeth (d. 1858) and Lucy Sage (d. 1863). Many other members of the Sage family as well as the Atwood, Bell, Boyette, Chendull, Grace, Herndon, Kirby, Pemberton, Ryan, Tabor, and Tucker families are also buried here.One of the last interments was that of the Rev. r. T. Taylor in 1906. Due to vandalism, his gravestone was the only remaining marker by 1970. It is estimated that the cemetery contains over one hundred graves.","POINT (-96.710802 32.813437)"
"Rylie Prairie","corner of Cade Rd. and Haymarket",,"Railroad",,"1994.0","18 x 28","Named for the family of James and Mary Rylie, who came to Texas from Illinois about 1846, Rylie Prairie was a thriving community in the late 19th and early 20th centuries. A post office opened in 1883, and in 1884 streets were platted near the route of the Texas Trunk Railroad. At its height, the community included homes, churches, a school, and businesses including a cotton gin, grist mill, and general stores. The town began to decline in the 1930s and 1940s after the railroad discontinued service and people moved closer to dallas and the new highway system.",
"City of East Dallas","3202 Gaston Ave.",,"City",,"1984.0","27 x 42","The first permanent settlement in this area began in the years before the Civil War. Principal among the pioneers were farmer Jefferson Peak, banker and rancher W. H. Gaston, and brothers-in-law Henry Boll and Jacob Nussbaumer, who were natives of Switzerland. The arrival of the railroads in the 1870s brought an influx of settlers to the area. As European immigrants and others attracted to the City of Dallas moved eastward to find housing, the community that deveoped here, two miles east of the Dallas County Courthouse, was incorporated in 1882.East Dallas accomplished much in its short life as an independent entity. It was the home of many leading citizens, such as prominent rancher and Baptist leader Christopher C. Slaughter. George Crutcher, mayor of East Dallas for four years, led the city to establish a safe water supply, build a good road system, and organize an independent school district. The combination schoolhouse and city hall, which was located at this site, was completed during his tenure.East Dallas was annexed by the City of Dallas in 1889. Its history, while short, remains an important part of the area's heritage.1984","POINT (-96.783524 32.788255)"
"Pike Park","2807 Harry Jines Blvd.",,"Park",,"1981.0","27 x 42","The city of Dallas purchased this site in 1912-13 for a neighborhood park. Developed as Summit Play Park, it served a predominately Mexican-American community for the 1920s. The park name was changed in 1927 to honor a former park board member, Edgar L. Pike. During World War II Pike Park was an important gathering place for Mexican-American servicemen, both residents of ""Little Mexico"" and those visiting the city. It has become the focal point of the community's cultural, recreational, and political interests. Annual festivities, including Cinco de Mayo and Diez y Seis de Septiembre, reflect a proud heritage.La Ciudad de Dallas Adquirio Este Sitio en 1912-13 para un parque vecinal. Construido como Summit Play Park. Sirvio a la comunidad Mexico-Americana en los anos 1920. El nombre del parque se cambio en 1927 en honor a un ex-miembro de la mesa directiva de parques, Edgar L. Pike. Durante la segunda guerra mundial el parque fue un importante lugar para reuniones de soldados Mexico-Americanos, tanto residentes de ""Little Mexico"" como visitantes a la ciudad. Hoy, el parque se ha convertido en un centro de actividades culturales, recreativas, y politicas. Celebraciones annuales, como El 5 de Mayo y El 16 de Septiembre, reflejan una orgullosa herencia.","POINT (-96.809182 32.79369)"
"Dallas Scottish Rite Temple","Young at Harwood",,"Government Building",,"1978.0","Plate and Medallion","Dallas Scottish Rite TempleSamuel P. Cochran (1855 - 1936), a prominent Mason and community leader, headed the committee that initiated plans for this building in 1902. Masonic officials assembled for the cornerstone laying in March 1907 and for the dedication ceremony in April 1913. Herb Miller Greene and J. B. Hubble, both Lodge members, designed the Neo-classical structure. A Dallas landmark, it is a showcase of fine materials and craftsmanship.RTHH - 1978",
"Turtle Creek Pump Station","3630 Harry Hines Blvd.",,"Pump Station",,"1983.0","Medallion & Plate","Constructed in 1909 as a 15 million gallons per day primary pumping station for the city water supply, this brick industrial building was designed by Dallas architect C. A. Gill. Its location on high ground afforded protection from floods that had damaged earlier stations. The building features ornate masonry detailing in the Italianate style. Last used as a pump station in 1930, the structure is a symbol of Dallas' growth at the turn of the century.RTHL - 1983","POINT (-96.816648 32.799934)"
"Horton Cemetery","1500 S. Walton Walker Blvd.","off Loop 12 Blvd. (Ledbetter Dr.)","Cemetery",,"1994.0","18 x 28","Enoch and Martha Horton left Virginia with their ten children and settled here as members of the Peters Colony in 1844. Family history recounts that their son, James Horton, set aside this site as a family cemetery in 1848. Enoch (d. 1851) and Martha (d. 1850) are believed to be buried here in unmarked graves. James and his sister, Sarah Horton Cockrell, operated one of the first grist mills in this area, and James donated land for a school and railroad right-of-way. Many Horton family members and other early settlers are buried here. The last interment was in 1951.Incise on reverse:Gift of Screna Horton Campbell, Barney C. Jones","POINT (-96.918644 32.729887)"
"Maple Avenue","2516 Maple Avenue",,"Neighborhood",,"1996.0","18 x 28","One of twelve subdivisions of the North Dallas Improvement Company. Maple Avenue was developed after a streetcar line was extended to this area north of the growing city of Dallas in 1884. Many leading citizens built elegant Victorian mansions along this avenue. Among these were the manager of the ""Dallas Morning News."" The land agent for the Texas and Pacific Railroad, the owner of Briggs-Weaver Machinery, and two Dallas mayors. The house on this site, built in 1907 by pioneer realtor John P. Murphy, remained in his family for nearly 50 years.","POINT (-96.804082 32.795237)"
"Old Red Courthouse","Main, Houston and commerce Sts.",,"Unclassified","Faded; Refinish","1977.0","27 x 42","Designated as public land in John Neely Bryan's 1844 city plat, this was the site of a log courthouse built after Dallas County was created in 1846. When Dallas won election as permanent county seat in 1850, Bryan deeded the property to the county, and a larger log structure was erected. In 1856 county offices occupied a 2-story brick edifice, rebuilt in 1860 after a fire that almost destroyed the city. The fourth courthouse, a 2-story granite structure erected in 1871, survived one fire in 1880 before it burned again in 1890.The Old Red Courthouse, the fifth seat of county government, was begun in 1890 and completed in 1892. Designed by Architect M. A. Orlopp, it exemplifies the Romanesque Revival style with its massive scale and rounded arches. The blue granite of the lower floor and window trim contrasts with the red sandstone of the upper stories. Eight circular turrets dominate the design. A clock tower with a 4500-pound bell originally topped the building, but it was removed in 1919. Two of the four clay figures perched on the roof have also been removed.To house the expanding county government, a new courthouse was built in 1965. Some offices remained in the 1890 structure, which was renovated in 1968.RTHL - 1977",
"Highland Park Methodist Church Building","3300 Mockingbird",,"Church",,"1994.0","16 x 12 Plate and Medallion","This splendid example of Gothic Revival architecture was designed by architects Roscoe DeWitt and Mark Lemmon and built in 1926. It features a majestic bell tower that houses a 48-bell carillon, elegant stone tracery on pointed arch stained glass windows, and slender buttresses. Large Harmonious additions to the original structure were built between 1950 and 1961. The property was annexed by the town of Highland Park in 1923.RTHL - 1994","POINT (-96.786098 32.836544)"
"Continental Gin Company Showroom Building","232 N. Trunk Ave.",,"Unclassified","marker has beenplaced inside building","1984.0","18 x 28","Before moving to Dallas in 1885, farmer and inventor Robert Sylvester Munger (b. 1854) had received several patents for improvements on the cotton ginning procedure. In 1885, he and his brother, Stephen, began the Munger Improved Cotton Machine & Manufacturing Co. and used this building as their showroom. In 1900, they merged with the Continental Gin Co., which became a major Dallas business that supplied cotton gin equipment to all parts of the country. A reminder of Dallas' early commercial growth, this building continued to serve Continental Gin until the company closed in 1962.1984","POINT (-96.778702 32.78668)"
"Dallas County Criminal Courts Bldg.","500 Main St.",,"Unclassified",,"1986.0","18 x 28","Dallas County Criminal Courts BuildingThis site was purchased by Dallas County in 1913 for a new jail and courts building, designed by local architect H. A. Overbeck (1861 - 1942). The steel-framed building, finished in 1915 at a cost of $585,982, is clad with granite, terra cotta, and brick, exhibiting Renaissance Revival styling. The upper six floors housed the jail, designed for 200 prisoners. Two large district courtrooms on the second floor suspended jury trials during summer months until air conditioning was installed in 1951. In 1964 Jack Ruby (1911 - 1967) was tried in the east courtroom for killing assassination suspect Lee Harvey Oswald (1939 - 1963).RTHL 1986","POINT (-75.949097 41.328917)"
"First United Methodist Church of Dallas","1928 Ross Avenue",,"Church",,"2000.0","27 x 42","Methodism in Dallas traces its roots to as early as 1846, when the small village was a stopping point for Methodist circuit riders. The first organized group of Methodists met in November 1850, and continued for almost 20 years without a building of their own. Land was donated and funds raised, but construction was delayed by the Civil War, after which the money had been lost. Through the determination of church members, the Lamar Street Methodist Church was nevertheless dedicated in November 1868. The structure burned in 1879, and the congregation used the facilities at nearby Temple Emanuel until a new building was completed in 1889 and dedicated in 1894; the name was changed to First Methodist Episcopal Church, South, in 1916, the First Methodist and Trinity Methodist churches, both about one thousand members strong, were united. Money from the sale of the Trinity Methodist Church site went toward the construction of Highland Park Methodist Church. A new building was dedicated for the enlarged First Methodist Episcopal Church, South, in 1926. By 1927, the membership was 3,440, and the congregation continued to grow. During the church's 1946 centennial celebration, five bishops who had been pastors at the church returned to dedicate the 1926 building.   During denomination-wide changes, First Methodist Episcopal Church, South, became First Methodist Church in 1939 and First United Methodist Church in 1968. It has long been instrumental in the formation of Methodist churches throughout North Texas and beyond. The First United Methodist Church of Dallas remains active in mission work, service and worship, observing the traditions of its founders. (2000)","POINT (-96.79957 32.786652)"
"Adolphus Hotel","1321 Commerce","1321 Commerce in Dallas","Hotel","good","1981.0","Medallion and Plate","Dallas businessmen persuaded Adlophus Busch (1839-1913), co-founder of the Anheuser Busch Brewing Co., to build the original section of this Hotel in 1911-1912.  Constructed on the site of the 1880s Dallas City Hall and designed by the St. Louis firm of Barnett, Hanyes and Barnett, it features Beaux Arts styling with elaborate French Renaissance detailing .  For years Dallas' skyline was dominated by the Adlophus, the scene of many important business and social events.Recorded Texas Historical Landmark -- 1981","POINT (-96.799795 32.779748)"
"Caruth Pioneer Cemetery","7405 NW Hwy.",,"Cemetery","Faded; redo - locally","1967.0","24 x 20","Established early 1860s by William and Mattie Worthington Caruth, pioneer settlers.Across road was old Caruth Chapel where circuit-riding preachers officiated at baptisms, marriages and funerals for Caruth Plantation tenants and other local people.Gravesites donated by Caruth family.1967","POINT (-96.77997300000001 32.865579)"
"Miller Log Cabin","1717 Gano St.","in Old City Park","Cabin","Good; plate missing","1965.0","Medallion & Plate","Built 1847 of cedar logs hewn by hand adzes, pegged in place and caulked with clay. Floored with hand-hewn cedar boards. Chimney stones were quarried near Mountain Creek. First Texas home of Wm. B. Miller (1807 - 1899), who built ante-bellum mansion ""Millermore."" His 5 daughters, and 7 other local girls went to one of the first schools in Dallas, held in this cabin. They and the teacher slept in left.Placed on present site 1964.RTHL - 1965","POINT (-96.788645 32.77186)"
"Oak Cliff United Methodist Church","549 E. Jefferson",,"Church",,"1999.0","27 x 42","This congregation was formed in 1887 when the Shelton and Oliver families began meeting with circuit rider C. G. Shutt in the Shelton home under the name St. Mark's Methodist Church. The Olivers began Sunday School meetings in 1888. The first Methodist church building on this site, largely funded by the efforts of church women, was erected in 1894 and dedicated in 1901. In 1903, when Oak Cliff was annexed to the city of Dallas, the church had 317 members; by 1911 there were 856 congregants. The architectural firm of Sanguinet and Staats, designers of the 1903 Wilson Building in Dallas, the 1907 Flatiron Building in Fort Worth and the 1910 Scarborough Building in Austin, drew up plans for the Oak Cliff Methodist Episcopal Church, South.   The ambitious project was delayed for a time because of a lack of funds, but was resumed in 1915 and completed that year. The first wedding was performed in the building in January 1916. The edifice was dedicated in 1926 after the debt had been retired. By that time the membership was 1,649 and an educational building was erected. The church complex has been enlarged and renovated as needed. Though the sanctuary was damaged by fire in 1958, it was soon restored and back in use.   The Oak Cliff United Methodist church building consists of two stories and a full basement. The brick-clad edifice, designed on a cruciform plan, features a front facade dominated by a full height pedimented entry portico supported on cast concrete Tuscan columns. Other classical revival details, including cast stone coping, decorative brick frieze and palladian doors, make this structure distinctive.   Recorded Texas Historic Landmark - 1999","POINT (-96.81593 32.747091)"
"John Henry Brown","Greenwood Cemetery",,"Unclassified","letter in file indicated marker was never placed","1963.0","pink Centennial grave marker","Star and WreathJohn Henry Brown1820 - 1895Frontier Indian fighter in Somervell Expedition 1842-43. Editor, author, Texas legislator 1855-57, 1873. Prominent seccessionist. Major Confederate Army in Indian Territory, Missouri. Adjutant General in Texas. Commander Texas Third Frontier District 1863 created to protect frontier from Indian attack, renegades, deserters. Member of 1875 Texas Constitutional Convention to end Texas reconstruction era.Erected by the State of Texas 1963",
"Cliff Temple Baptist Church","125 Sunset",,"Church",,"1999.0","27 x 42","In the early spring of 1898, twenty-six members of the First Baptist Church of Oak Cliff left the church to form the Oak Cliff Baptist Church to remain with the Baptist General Convention of Texas. Walter B. Hillsman led the new congregation until he returned to finish his studies at Baylor University in the fall of 1898. The congregation then chose the Rev. Joe W. English as its next pastor.   Pastor English led the church for more than two years and guided the construction of the congregation's first chapel at Jefferson and Lancaster streets in Oak Cliff. The church had three more pastors from 1901 until 1904 when Pastor English returned. During his second tenure he helped with the building of a second church in 1908 and led the congregation to change its name to Memorial Baptist Church.   In 1912, under the guidance of Dr. J. B. Gambrell and Dr. George W. Truett, members of First Baptist Church of Oak Cliff and Memorial Baptist Church joined to form a new congregation. The unified church became the Central Baptist Church of Oak Cliff and was led by Dr. W. A. Hewitt until 1918.   In 1918 Dr.Wallace Bassett was called as pastor and remained for 48 years until his retirement in 1966 at the age of 81. During his tenure he led the church to change its name to Cliff Temple Baptist Church, oversaw the church's growth to 5,000 members and served in many denominational leadership roles with Baylor University, the Southern Baptist Annuity Board and the Baptist General Convention of Texas. Under Dr. Bassett's leadership and that of his successors the church laid a strong foundation for ministry and social work in Dallas' inner city. (1999)","POINT (-84.764925 33.980609)"
"Dallas Zoo","621 E.Clarendon","inside Dallas Zoo in front of Gift Shop, 621 E. Clarendon, Dallas","Animals",,"1988.0","27 x 42","The Dallas Zoo traces its history to 1888, when the city purchased two deer and two mountain lions and placed them in pens in the City Park. In the 1890s, with the support of Dallas citizens, the City Council provided funds for the zoo, and additional animals were bought for the collection.The zoo was located in the City Park (now Old City Park) until 1910, when the animals were moved to the newly acquired Fair Park. Under the leadership of Zoo Commissioner William H. Atwell, the zoo's collection was enlarged and improved, and a new site was purchased in Marsalis Park in Oak Cliff.In the 1920s a special Zoo Commission was created by the city, and the collection was further developed with the acquisition of numerous specimens from famed game hunter and trapper Frank Buck. During the depression years of the 1930s the zoo facilities were upgraded with the help of the Federal Works Progress Administration Program.The Dallas Zoo Society was organized in 1955. By the 1960s the zoo had become a popular local attraction, and more improvements were made. Still popular with both Dallas citizens and tourists, the zoo continued to entertain and educate the public.1988","POINT (-96.815651 32.738795)"
"Hockaday School","11600 Welch Rd.",,"School",,"1988.0","27 x 42","Ela Hockaday (1875 - 1956) received her early education in the public schools of Bonham, Texas. After graduating from the Denton Normal School (now University of North Texas), she pursued graduate studies at both Columbia University and the University of Chicago. An experienced teacher, she was contacted in 1913 by a group of Dallas residents with an offer to head a new preparatory school for girls and was thus able to realize a long-held dream of promoting quality education for girls in Texas.Opened on September 25, 1913, in a large house on Haskell Avenue, the school became known as the Miss Hockaday School for Girls. With an initial enrollment of ten students and four part-time teachers, the school began a tradition of excellence in education following Hockaday's cornerstones of ""character, scholarship, courtesy, and athletics.""Experiencing steady growth in enrollment of resident and day students, the school expanded its primary and secondary curriculum in later years to establish a junior college, in operation from 1931 to 1951.Moved in 1919 to a campus on Greenville Avenue, the Hockaday School was relocated to a 100-acre site on Welch Road in 1961.(Incise on Base)Virginia Maxson Buchanan-Smith '60Mary Maxson Thompson '67","POINT (-96.829635 32.907792)"
"Western Heights Cemetery","1600 Blk. Ft. Worth Ave.","(Ft. Worth & Neal)","Cemetery",,"1988.0","18 x 28","Located on part of the original William Coombes survey, burials in this cemetery date to the 1850s. Originally known as Troth, it was formally dedicated in 1881, when land was set aside for a ""graveyard forever"" by Z. E. Coombes and W. R. Fisher. Pioneers interred here include W. R. Fisher, Z. E. Coombes, John and Rosina Loupot, Mary Ellen Cole Tuggle, and Heinrich and Anna Struck. Also buried here are verterans of the Civil War and World Wars I and II, and Clyde and Buck Barrow. Trinity Oaks Church of Christ maintains the historic cemetery.","POINT (-96.845261 32.765378)"
"Cox House","11210 Cox Lane",,"Home",,"1994.0","Medallion and Plate","Farmers Howard (1837 - 1916) and Mary Jane (Webb) Cox (1843 - 1913) bought 189 acres here in 1878. They built a house at this site prior to 1884 that Cox family tradition claims was partially incorporated into this home built by the Coxes about 1900. Exhibiting Queen Anne style influences, it is an unusual blend of vertically emphasized windows and dormers with a dominant hipped roof. Two of the Coxes' sons operated the Cox Brothers Dairy here from 1931 to about 1951.RTHL 1994","POINT (-96.851442 32.900915)"
"John H. Brown, Maj.","Greenwood Cemetery","gravesite is in Greenwood Cemetery (3020 Oak Grove) at the corner of Love and Gracy Ave., Dallas","Unclassified","letter in file indicates marker was never placed","1963.0","pink Centennial grave marker","Maj. John H. BrownStar and WreathFamed Indian fighter, Confederate officer, commanded Texas' 3rd Frontier District, member 1875 Constitutional Convention.Erected by the State of Texas 1963",
"Oak Cliff Cemetery","1300 Blk. of e. 8th",,"Cemetery","Faded; Redo (locally)","1985.0","27 x 42","Kentucky native William S. Beaty came to Texas during its early days as a Republic and received a grant of 640 acres of land. He and his brother, Josiah, who arrived in 1836, settled along the Trinity River in what is now Dallas County. The settlement that developed around their property first was called Hord's Ridge and became known as Oak Cliff in 1887.In 1846, William Beaty deeded 10 acres of his land for a public burial ground and indicated in the deed that his brother, Josiah, already had been interred on the site. The deed also specified that the cemetery should be subject to no one sect but should forever remain open to all. The oldest marked grave in the cemetery, that of Martha A. Wright, is dated 1844.Many prominent Dallas County pioneers and citizens have been buried here, including Judge William Hord, for whom Hord's Ridge was named. Two former Dallas mayors, George Sergeant and George Sprague, and a son of Gen. Sam Houston, Col. William Rogers Houston, are buried here.Oak Cliff Cemetery remains a valuable and historic lind to the early settlement of Dallas.",
"John Neely Bryan Cabin","Dallas Historical Plaza","Dallas Historical Plaza at Elm, Market & Main, Dallas","Cabin","missing","1962.0","Medallion","no text - log cabin - first house in Dallas",
"Oak Cliff Presbyterian Church","6000 S. Hampton Rd.",,"Church",,"1990.0","18 x 28","Founded in 1890 with seventeen charter members, this church has served the community with a variety of worship, educational outreach, and missionary programs. Meeting in facilities first at Ninth and Patton streets and later at Tenth and Madison streets, the church experienced steady growth. Land at this site was acquired and construction of new facilities began on July 19, 1970. Oak cliff Presbyterian Church has played an active role in creating new congregations in the Dallas area and maintains a commitment to both foreign and domestic missionary endeavors.","POINT (-96.857004 32.674626)"
"Neiman - Marcus","Main and Ervay Sts.",,"Unclassified",,"1982.0","18 x 28","In 1907 Herbert Marcus, Sr., his sister Carrie Marcus Neiman and her husband A. L. Neiman founded the prestigious Neiman - Marcus retail establishment. After the firm's first store at Elm and Murphy streets burned in 1913, a new store was constructed at this site. Many of the retail innovations instituted here have had a dramatic effect on stores and manufacturers throughout the country. Under the direction of Herbert Marcus, Sr., the store also became a leader in the support of philanthropic projects, civic activities and Dallas' early commercial development.","POINT (-96.797111 32.781078)"
"Cochran Chapel Cemetery","9027 Midway","same","Cemetery","Good","1995.0","24 x 18","This cemetery began in 1853 with the burials of Sarah Jane and William M. Cochran, the infant daughter and husband of Nancy Jane Hughes Cochran. Among the many Dallas County pioneers buried here are four of Nancy Jane's sisters and their husbands who came from Tennessee in the 1840s and 1850s: Thomas C. and Sarah Williams, Obadiah and Serena Knight, George and Amanda Record, and John B. and Margaret Bachman.","POINT (-96.836045 32.862035)"
"James Martin Patterson",,"Pioneer Cemetery, Marilla at Young St.","Unclassified",,"1996.0","Grave Marker","(1812-1906) Kentucky native James Martin Patterson arrived in Dallas in 1846. Patterson and John W. Smith opened one of the first stores in Dallas using their pooled resources of $700. They built a flatboat and attempted to ship cotton down the Trinity River to the Gulf Coast in 1851. Patterson served as chief justice (county judge) from 1854-66. He  retired in 1875 and managed his extensive property holdings until his death. (1996)","POINT (-96.796215 32.777977)"
"Texas School Book Depository Building, Formerly The","411 Elm St.",,"Commmercial Building","Faded; Redo (local effort)","1980.0","27 x 42","This site was originally owned by John Neely Bryan, the founder of Dallas. During the 1880s French native Maxime Guillot operated a wagon shop here. In 1894 the land was purchased by Phil L. Mitchell, president and director of the Rock Island Plow Company of Illinois. An office building for the firm's Texas division, known as the Southern Rock Island Plow Company, was completed here four years later. In 1901 the five-story structure was destroyed by fire. That same year, under supervision of the company vice president and general manager F. B. Jones, work was completed on this structure. Built to resemble the earlier edifice, it features characteristics of the commercial Romanesque Revival style.In 1937 the Carraway Byrd Corporation purchased the property. Later, under the direction of D. H. Byrd, the building was leased to a variety of businesses, including the Texas School Book Depository.On November 22, 1963, the building gained national notoriety when Lee Harvey Oswald allegedly shot and killed President John F. Kennedy from a sixth floor window as the presidential motorcade passed the site.RTHL - 1980","POINT (-96.808122 32.779503)"
"Trezevant Calhoun Hawpe",,"Pioneer Cemetery, Marilla & Young","Grave",,"1999.0","Grave Marker","(September 16, 1820 - August 12, 1863)   Georgia native, a widower, moved from Tennessee to Dallas County with his son. He married Electa Underwood Bethurum in 1848. Elected Dallas County sheriff in 1850, he served two terms. He later was justice of the peace and county coroner, and an officer of Tannehill Masonic Lodge. A leader in the secession movement in Dallas County, he organized and was first colonel of the 31st Texas Cavalry in 1862, and was instrumental in the Confederate victory at Newtonia, Missouri. Hawpe was stabbed to death by a friend after a quarrel on the steps of the county courthouse. (1999)","POINT (-96.796215 32.777977)"
"La Prada Drive Church of Christ","2724 La Prada Drive",,"Church",,"1998.0","27 x 42","This congregation first met in members' homes at the end of the 19th century. In 1907 three trustees of the church -- Chester Williams, G. M. Purcell, and Claude Hocker -- purchased property near what would become Fair Park. An existing white frame building was used for 47 years, with the name of the church changing in accordance with street name changes. Members helped form the Ewing Avenue Church of Christ in Oak Cliff in 1949. Moving to a new site on Bruton Road in 1954, the congregation contributed their money, time, and talents to construct a red brick sanctuary, which served for many years.   By the 1970s many members had moved to the northeast Dallas suburbs. In 1976 elders purchased more than four acres of land on La Prada Drive. Due to the rapid sale of the Bruton Road facility, services were held in a Mesquite school until a new church building was completed in December 1979.   In keeping with the traditions of its founders, the church is guided by elders and deacons; male members do all speaking and teaching. There is no Sunday School. Singing without instruments is practiced. The congregation is active in foreign and domestic missionary service and community outreach.  (1998)","POINT (-96.640507 32.839099)"
"Interstate Forwarding Company Warehouse","3200 Main St.",,"Unclassified","Stolen","1991.0","Plate and Medallion","Designed and built as a fireproof warehouse in 1913, this building was erected by businessmen B. D. Milam and E. C. Connor. Dallas was an official U.S. Port of Entry in 1913. This structure initially served as the first bonded customs warehouse in Dallas. Exhibiting Chicago School-style influences, the reinforced concrete structure features metal casement window walls with brick infill. A rear bay served as an entry for rail cars.RTHL - 1991","POINT (-96.77758 32.785092)"
"Pleasant Grove Christian Church","1324 Pleasant Dr.",,"Church","Faded; Redo (locally)","1986.0","18 x 28","This congregation evolved from a rural Union Church which met as early as 1875 in a nearby cabin. The Ladies Aid Society was formed in 1906 and began raising funds for a separate church facility. Built in 1908 on this site, the one-room structure was struck by lightning and burned in 1913. At the completion of a second building, an annual Thanksgiving dinner tradition was begun. A third sanctuary, built in 1950, was damaged by fire the same year. It was rebuilt and, despite another fire in 1965, continued to serve its congregation, including descendants of pioneer families.Texas Sesquicentennial 1836 - 1986","POINT (-96.67859 32.735361)"
