"treatment_number","animal_id","condition_type","treatment_date","treatment_time","treatment_by","treatment_type","treatment_subtype","number_of_days","weight","temperature","visit_number","visit_type","visit_reason","month","year"
"T19-931065","A1046046","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-03-06T00:00:00.000","22:59:00","MM1748",,,,"45",,"T19-931065","INTAKE EXAM",,"MAR.2019","FY2019"
"T19-985632","A1066280",,"2019-05-02T00:00:00.000","13:38:29.910000",,,,"1",,,"T19-985623",,,"MAY.2019","FY2019"
"T18-793068","A1046046",,"2018-10-13T00:00:00.000","10:20:34.033000",,,,"1",,,"T18-793067",,,"OCT.2018","FY2019"
"T18-861383","A1052654",,"2018-12-19T00:00:00.000","23:51:30.387000",,,,"1",,,"T18-861380",,,"DEC.2018","FY2019"
"T19-984550","A1066280",,"2019-05-01T00:00:00.000","18:31:18.997000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-984549",,,"MAY.2019","FY2019"
"T19-976970","A1064923",,"2019-04-24T00:00:00.000","19:05:11.243000",,,,"1",,,"T19-976961",,,"APR.2019","FY2019"
"T19-974862","A1060825",,"2019-04-23T00:00:00.000","11:36:20.350000",,,,"1",,,"T19-974859",,,"APR.2019","FY2019"
"T19-335270","A1080725","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-29T00:00:00.000","12:37:00","LV",,,,"61.6",,"T19-335270","EXAM - ADOPTION",,"AUG.2019","FY2019"
"T19-203731","A1067348",,"2019-05-18T00:00:00.000","08:15:21.687000",,,,"1",,,"T19-203730",,,"MAY.2019","FY2019"
"T19-346057","A1081639","UNKNOWN","2019-09-08T00:00:00.000","16:12:00",,,,,,,"T19-346057","NURSERY",,"SEP.2019","FY2019"
"T18-791021","A1046046",,"2018-10-11T00:00:00.000","14:55:50.720000",,"MICROCHIP (24HR PET WATCH)",,,,,"T18-791019",,,"OCT.2018","FY2019"
"T19-302665","A1077088",,"2019-07-31T00:00:00.000","19:42:56.327000",,"HEARTWORM TEST","NEGATIVE",,,,"T19-302478",,,"JUL.2019","FY2019"
"T19-286223","A0938907",,"2019-07-17T00:00:00.000","16:37:23.743000",,,,"1",,,"T19-286222",,,"JUL.2019","FY2019"
"T19-204934","A1064923",,"2019-05-19T00:00:00.000","12:07:57.907000",,,,"1",,,"T19-204933",,,"MAY.2019","FY2019"
"T19-311057","A1076329","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-24T00:00:00.000","16:56:00","CBM",,,,"1.5",,"T19-311057","M-EVAL REQ",,"JUL.2019","FY2019"
"T19-309564","A1046046","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-06T00:00:00.000","16:39:00","DT",,,,"59",,"T19-309564","EXAM",,"AUG.2019","FY2019"
"T19-272358","A1074457","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-06T00:00:00.000","18:04:00","DT/CBM",,,,"32",,"T19-272358","INTAKE EXAM",,"JUL.2019","FY2019"
"T19-309576","A1046046",,"2019-08-06T00:00:00.000","16:43:55.047000",,"HEARTWORM TEST","NEGATIVE",,,,"T19-309564",,,"AUG.2019","FY2019"
"T19-278768","A1074457",,"2019-07-11T00:00:00.000","13:22:43.123000",,,,"1",,,"T19-278764",,,"JUL.2019","FY2019"
"T19-973436","A1064923",,"2019-04-21T00:00:00.000","16:36:05.507000",,,,"1",,,"T19-973428",,,"APR.2019","FY2019"
"T19-872342","A1052654","TREATABLE REHABILITABLE CONTAGIOUS","2019-01-03T00:00:00.000","10:40:00","AG",,,,"56",,"T19-872342","VET CHECK",,"JAN.2019","FY2019"
"T19-976968","A1064923",,"2019-04-24T00:00:00.000","19:04:55.743000",,,,"1",,,"T19-976961",,,"APR.2019","FY2019"
"T19-954721","A1062858","UNKNOWN","2019-04-01T00:00:00.000","16:58:00","OB",,,,"56.8",,"T19-954721","VET CHECK",,"APR.2019","FY2019"
"T18-862681","A1052654",,"2018-12-21T00:00:00.000","13:43:46.550000",,,,"1",,,"T18-862680",,,"DEC.2018","FY2019"
"T19-345577","A1081635",,"2019-09-07T00:00:00.000","18:14:34.237000",,,,"1",,,"T19-345576",,,"SEP.2019","FY2019"
"T19-871217","A1052654","TREATABLE REHABILITABLE CONTAGIOUS","2019-01-01T00:00:00.000","16:42:00","AG",,,,"56",,"T19-871217","VET CHECK",,"JAN.2019","FY2019"
"T19-954716","A1062858",,"2019-04-01T00:00:00.000","17:00:07.030000",,,,"1",,,"T19-954713",,,"APR.2019","FY2019"
"T19-974764","A1064923",,"2019-04-23T00:00:00.000","10:51:51.640000",,,,"1",,,"T19-974757",,,"APR.2019","FY2019"
"T19-974861","A1060825",,"2019-04-23T00:00:00.000","11:36:11.080000",,,,"1",,,"T19-974859",,,"APR.2019","FY2019"
"T19-278769","A1074457",,"2019-07-11T00:00:00.000","13:22:50.023000",,,,"3",,,"T19-278764",,,"JUL.2019","FY2019"
"T19-319730","A1073415","UNKNOWN","2019-08-15T00:00:00.000","14:03:00",,,,,,,"T19-319730","M-EVAL REQ",,"AUG.2019","FY2019"
"T19-335279","A1080725",,"2019-08-29T00:00:00.000","12:41:29.490000",,,,"1",,,"T19-335270",,,"AUG.2019","FY2019"
"T19-293982","A1076329",,"2019-07-24T00:00:00.000","16:48:33.153000",,"WOODS LIGHT","POSITIVE",,,,"T19-293973",,,"JUL.2019","FY2019"
"T19-316781","A1076323",,"2019-08-13T00:00:00.000","11:17:03.680000",,,,"1",,,"T19-316780",,,"AUG.2019","FY2019"
"T19-975588","A1065048",,"2019-04-23T00:00:00.000","16:41:32.500000",,,,"1",,,"T19-975582",,,"APR.2019","FY2019"
"T19-282302","A1075270","TREATABLE REHABILITABLE CONTAGIOUS","2019-07-14T00:00:00.000","13:23:00","AG",,,,,,"T19-282302","EXAM",,"JUL.2019","FY2019"
"T19-984554","A1066280",,"2019-05-01T00:00:00.000","18:31:36.730000",,,,"1",,,"T19-984549",,,"MAY.2019","FY2019"
"T19-272545","A1070190",,"2019-07-07T00:00:00.000","11:05:17.037000",,"HEARTWORM TEST","LOW POSITIVE",,,,"T19-272541",,,"JUL.2019","FY2019"
"T19-980932","A1064923",,"2019-04-29T00:00:00.000","11:24:34.320000",,,,"1",,,"T19-980931",,,"APR.2019","FY2019"
"T19-272541","A1070190","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-07T00:00:00.000","11:03:00","CBM",,,,"47.8",,"T19-272541","EXAM - ADOPTION",,"JUL.2019","FY2019"
"T19-200817","A1064923","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-05-16T00:00:00.000","09:01:00","NG",,,,,,"T19-200817","EXAM-VISUAL",,"MAY.2019","FY2019"
"T19-996180","A1067348",,"2019-05-11T00:00:00.000","11:31:06.073000",,"HEARTWORM TEST","NEGATIVE",,,,"T19-996166",,,"MAY.2019","FY2019"
"T19-342717","A1080725",,"2019-09-05T00:00:00.000","10:08:27.833000",,,,"1",,,"T19-342710",,,"SEP.2019","FY2019"
"T19-267463","A1070190",,"2019-07-03T00:00:00.000","05:49:29.243000",,,,"1",,,"T19-267462",,,"JUL.2019","FY2019"
"T19-305266","A1077088",,"2019-08-03T00:00:00.000","10:31:09.580000",,,,"1",,,"T19-305261",,,"AUG.2019","FY2019"
"T19-309427","A1073415","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-06T00:00:00.000","14:41:00","AG",,,,,,"T19-309427","EXAM",,"AUG.2019","FY2019"
"T19-329157","A1076323","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-24T00:00:00.000","11:49:00","AG",,,,,,"T19-329157","EXAM-VET",,"AUG.2019","FY2019"
"T19-341153","A1073415",,"2019-09-04T00:00:00.000","07:57:49.053000",,,,"1",,,"T19-341152",,,"SEP.2019","FY2019"
"T19-289292","A1074457",,"2019-07-20T00:00:00.000","12:23:09.410000",,,,"14",,,"T19-289288",,,"JUL.2019","FY2019"
"T19-246039","A1072193",,"2019-06-18T00:00:00.000","11:08:03.700000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-246036",,,"JUN.2019","FY2019"
"T19-261056","A1073415","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-06-28T00:00:00.000","10:58:00","LV/LL",,,,"64.6",,"T19-261056","EXAM - ADOPTION",,"JUN.2019","FY2019"
"T19-302481","A1077088",,"2019-07-31T00:00:00.000","18:50:25.653000",,,,"1",,,"T19-302478",,,"JUL.2019","FY2019"
"T19-278765","A1074457",,"2019-07-11T00:00:00.000","13:22:24.793000",,,,"1",,,"T19-278764",,,"JUL.2019","FY2019"
"T19-267649","A1073891",,"2019-07-03T00:00:00.000","09:40:26.473000",,,,"1",,,"T19-267642",,,"JUL.2019","FY2019"
"T19-996174","A1067348",,"2019-05-11T00:00:00.000","11:30:42.663000",,,,"1",,,"T19-996166",,,"MAY.2019","FY2019"
"T19-984549","A1066280","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-05-01T00:00:00.000","18:27:00","NG",,,,"67.6",,"T19-984549","INTAKE EXAM",,"MAY.2019","FY2019"
"T19-319836","A1073415",,"2019-08-15T00:00:00.000","14:47:21.013000",,,,"5",,,"T19-319730",,,"AUG.2019","FY2019"
"T19-936982","A1060825","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-03-13T00:00:00.000","16:31:00","SR",,,,"63.2",,"T19-936982","INTAKE EXAM",,"MAR.2019","FY2019"
"T19-303279","A1076329",,"2019-08-01T00:00:00.000","13:02:57.947000",,,,"1",,,"T19-303277",,,"AUG.2019","FY2019"
"T18-862462","A1052654",,"2018-12-21T00:00:00.000","11:04:08.140000",,,,"1",,,"T18-862458",,,"DEC.2018","FY2019"
"T19-316780","A1076323","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-13T00:00:00.000","11:15:00","LV",,,,"1.6",,"T19-316780","EXAM-VET",,"AUG.2019","FY2019"
"T19-954801","A1062859",,"2019-04-01T00:00:00.000","18:34:43.753000",,,,"1",,,"T19-954799",,,"APR.2019","FY2019"
"T19-303856","A1077088",,"2019-07-31T00:00:00.000","08:15:26.690000",,,,"1",,,"T19-302478",,,"JUL.2019","FY2019"
"T19-976972","A1064923",,"2019-04-24T00:00:00.000","19:06:18.727000",,,,"21",,,"T19-976961",,,"APR.2019","FY2019"
"T19-299776","A1076329","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-30T00:00:00.000","10:40:00","CBM",,,,"1.9",,"T19-299776","EXAM",,"JUL.2019","FY2019"
"T19-321410","A1079079","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-17T00:00:00.000","07:46:00","VL/OB/PA",,,,"65",,"T19-321410","SURGERY-CANINE NEUTER",,"AUG.2019","FY2019"
"T19-940170","A1060825",,"2019-03-18T00:00:00.000","08:10:17.237000",,,,"3",,,"T19-940164",,,"MAR.2019","FY2019"
"T19-247106","A1060825",,"2019-06-18T00:00:00.000","18:42:59.840000",,"HEARTWORM TEST","HIGH POSITIVE",,,,"T19-247103",,,"JUN.2019","FY2019"
"T19-285620","A1075270",,"2019-07-17T00:00:00.000","12:45:31.183000",,,,"1",,,"T19-285619",,,"JUL.2019","FY2019"
"T19-958836","A1063176","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-07T00:00:00.000","19:24:00","LS/NG",,,,"77",,"T19-958836","EXAM-VET","OBESE","APR.2019","FY2019"
"T19-293973","A1076329","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-24T00:00:00.000","16:26:00","CBM",,,,"1.8",,"T19-293973","INTAKE EXAM",,"JUL.2019","FY2019"
"T19-249229","A1060825","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-06-20T00:00:00.000","10:17:00","SR",,,,,,"T19-249229","EXAM",,"JUN.2019","FY2019"
"T19-306008","A1077173","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-03T00:00:00.000","17:38:00","DT",,,,,,"T19-306008","EXAM",,"AUG.2019","FY2019"
"T19-954720","A1062858",,"2019-04-01T00:00:00.000","17:00:40.487000",,"HEARTWORM TEST","LOW POSITIVE",,,,"T19-954713",,,"APR.2019","FY2019"
"T19-293978","A1076329",,"2019-07-24T00:00:00.000","16:48:21.713000",,,,"1",,,"T19-293973",,,"JUL.2019","FY2019"
"T18-861381","A1052654",,"2018-12-19T00:00:00.000","23:51:20.610000",,,,"1",,,"T18-861380",,,"DEC.2018","FY2019"
"T19-267644","A1073891",,"2019-07-03T00:00:00.000","09:40:08.803000",,,,"1",,,"T19-267642",,,"JUL.2019","FY2019"
"T19-940165","A1060825",,"2019-03-18T00:00:00.000","08:09:44.917000",,,,"1",,,"T19-940164",,,"MAR.2019","FY2019"
"T19-936988","A1060825",,"2019-03-13T00:00:00.000","16:32:40.877000",,,,"1",,,"T19-936982",,,"MAR.2019","FY2019"
"T19-272360","A1074457",,"2019-07-06T00:00:00.000","18:06:03.483000",,,,"1",,,"T19-272358",,,"JUL.2019","FY2019"
"T19-302483","A1077088",,"2019-07-31T00:00:00.000","18:50:32.600000",,,,"1",,,"T19-302478",,,"JUL.2019","FY2019"
"T19-272544","A1070190",,"2019-07-07T00:00:00.000","11:05:05.907000",,,,"1",,,"T19-272541",,,"JUL.2019","FY2019"
"T19-976975","A1064923","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-24T00:00:00.000","18:54:00","DT",,,,"64.4",,"T19-976975","MEDICAL REVIEW",,"APR.2019","FY2019"
"T19-278764","A1074457","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-11T00:00:00.000","13:21:00","VL/PA",,,,"32",,"T19-278764","SURGERY-",,"JUL.2019","FY2019"
"T19-319544","A1072193",,"2019-08-15T00:00:00.000","12:48:15.477000",,,,"1",,,"T19-319541",,,"AUG.2019","FY2019"
"T19-306011","A1077173",,"2019-08-03T00:00:00.000","17:39:14.057000",,,,"1",,,"T19-306008",,,"AUG.2019","FY2019"
"T19-322371","A1073415",,"2019-08-18T00:00:00.000","11:24:58.370000",,,,"1",,,"T19-322370",,,"AUG.2019","FY2019"
"T18-793452","A1043486",,"2018-10-13T00:00:00.000","14:59:08.683000",,,,"1",,,"T18-793118",,,"OCT.2018","FY2019"
"T19-304241","A1077173",,"2019-08-02T00:00:00.000","11:50:09.163000",,,,"1",,,"T19-304233",,,"AUG.2019","FY2019"
"T18-861380","A1052654","TREATABLE REHABILITABLE NON-CONTAGIOUS","2018-12-19T00:00:00.000","23:51:00","TM1736",,,,"55",,"T18-861380","INTAKE EXAM",,"DEC.2018","FY2019"
"T19-321414","A1079079",,"2019-08-17T00:00:00.000","07:47:40.720000",,,,"1",,,"T19-321410",,,"AUG.2019","FY2019"
"T19-345590","A1081639",,"2019-09-07T00:00:00.000","18:15:45.117000",,,,"1",,,"T19-345589",,,"SEP.2019","FY2019"
"T19-305267","A1077088",,"2019-08-03T00:00:00.000","10:31:15.953000",,,,"1",,,"T19-305261",,,"AUG.2019","FY2019"
"T19-975584","A1065048",,"2019-04-23T00:00:00.000","16:39:45.980000",,"HEARTWORM TEST","NEGATIVE",,,,"T19-975582",,,"APR.2019","FY2019"
"T19-996179","A1067348",,"2019-05-11T00:00:00.000","11:30:58.280000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-996166",,,"MAY.2019","FY2019"
"T19-209931","A1064923",,"2019-05-23T00:00:00.000","09:44:17.327000",,,,"1",,,"T19-209930",,,"MAY.2019","FY2019"
"T19-201154","A1064923",,"2019-05-15T00:00:00.000","10:30:22.133000",,,,"14",,,"T19-201148",,,"MAY.2019","FY2019"
"T19-319835","A1073415",,"2019-08-15T00:00:00.000","14:47:11.167000",,,,"15",,,"T19-319730",,,"AUG.2019","FY2019"
"T19-269074","A1064923","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-03T00:00:00.000","18:17:00","CBM",,,,"57",,"T19-269074","INTAKE EXAM",,"JUL.2019","FY2019"
"T19-986886","A1066280",,"2019-05-03T00:00:00.000","13:49:59.637000",,,,"1",,,"T19-986878",,,"MAY.2019","FY2019"
"T19-293975","A1076329",,"2019-07-24T00:00:00.000","16:48:06.903000",,,,"1",,,"T19-293973",,,"JUL.2019","FY2019"
"T19-954804","A1062859",,"2019-04-01T00:00:00.000","18:34:59.280000",,,,"1",,,"T19-954799",,,"APR.2019","FY2019"
"T19-245478","A1072193",,"2019-06-17T00:00:00.000","22:46:49.470000",,,,"1",,,"T19-245476",,,"JUN.2019","FY2019"
"T19-204933","A1064923","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-05-19T00:00:00.000","12:07:00","NG",,,,,,"T19-204933","EXAM-VISUAL",,"MAY.2019","FY2019"
"T19-302482","A1077088",,"2019-07-31T00:00:00.000","18:50:28.293000",,,,"1",,,"T19-302478",,,"JUL.2019","FY2019"
"T19-247413","A1072193",,"2019-06-19T00:00:00.000","09:57:16.580000",,,,"1",,,"T19-247409",,,"JUN.2019","FY2019"
"T19-343867","A1076323",,"2019-09-04T00:00:00.000","12:21:02.420000",,"WOODS LIGHT","POSITIVE",,,,"T19-342049",,,"SEP.2019","FY2019"
"T19-247421","A1072193",,"2019-06-19T00:00:00.000","10:02:12.220000",,,,"3",,,"T19-247409",,,"JUN.2019","FY2019"
"T19-985624","A1066280",,"2019-05-02T00:00:00.000","13:38:03.687000",,,,"1",,,"T19-985623",,,"MAY.2019","FY2019"
"T19-201148","A1064923","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-05-15T00:00:00.000","09:01:00","DT",,,,"57",,"T19-201148","EXAM-VET","SKIN","MAY.2019","FY2019"
"T19-973431","A1064923",,"2019-04-21T00:00:00.000","16:35:48.570000",,"HEARTWORM TEST","HIGH POSITIVE",,,,"T19-973428",,,"APR.2019","FY2019"
"T19-316454","A1079079","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-12T00:00:00.000","18:53:00","OB/LL",,,,"55",,"T19-316454","EXAM - ADOPTION",,"AUG.2019","FY2019"
"T19-996172","A1067348",,"2019-05-11T00:00:00.000","11:30:37.487000",,,,"1",,,"T19-996166",,,"MAY.2019","FY2019"
"T19-247409","A1072193","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-06-19T00:00:00.000","09:56:00","AR/PA",,,,"37",,"T19-247409","SURGERY-",,"JUN.2019","FY2019"
"T19-985623","A1066280","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-05-02T00:00:00.000","13:37:00","AR/PA",,,,"70",,"T19-985623","SURGERY-",,"MAY.2019","FY2019"
"T19-304235","A1077173",,"2019-08-02T00:00:00.000","11:49:49.840000",,"HEARTWORM TEST","HIGH POSITIVE",,,,"T19-304233",,,"AUG.2019","FY2019"
"T19-275172","A1070190",,"2019-07-09T00:00:00.000","11:48:59.797000",,,,"1",,,"T19-275167",,,"JUL.2019","FY2019"
"T19-342710","A1080725","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-09-05T00:00:00.000","10:06:00","OB/PA",,,,"59",,"T19-342710","SURGERY-CANINE SPAY",,"SEP.2019","FY2019"
"T19-267651","A1073891",,"2019-07-03T00:00:00.000","09:40:32.587000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-267642",,,"JUL.2019","FY2019"
"T19-973435","A1064923",,"2019-04-21T00:00:00.000","16:36:02.440000",,,,"1",,,"T19-973428",,,"APR.2019","FY2019"
"T19-936987","A1060825",,"2019-03-13T00:00:00.000","16:32:36.350000",,,,"1",,,"T19-936982",,,"MAR.2019","FY2019"
"T19-246038","A1072193",,"2019-06-18T00:00:00.000","11:08:01.017000",,,,"1",,,"T19-246036",,,"JUN.2019","FY2019"
"T19-342050","A1076329","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-09-06T00:00:00.000","12:26:00","NG",,,,"2.6",,"T19-342050","M-EVAL REQ",,"SEP.2019","FY2019"
"T19-267462","A1070190","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-03T00:00:00.000","05:49:00","TM1736",,,,,,"T19-267462","INTAKE EXAM",,"JUL.2019","FY2019"
"T19-261059","A1073415",,"2019-06-28T00:00:00.000","11:00:19.787000",,"HEARTWORM TEST","LOW POSITIVE",,,,"T19-261056",,,"JUN.2019","FY2019"
"T19-329160","A1076329",,"2019-08-24T00:00:00.000","11:50:52.110000",,,,"1",,,"T19-329159",,,"AUG.2019","FY2019"
"T19-316471","A1079079",,"2019-08-12T00:00:00.000","18:56:38.053000",,,,"1",,,"T19-316454",,,"AUG.2019","FY2019"
"T19-316459","A1079079",,"2019-08-12T00:00:00.000","18:54:40.583000",,,,"1",,,"T19-316454",,,"AUG.2019","FY2019"
"T19-965025","A1063176","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-13T00:00:00.000","07:57:00","MB",,,,"77",,"T19-965025","EXAM-VISUAL","OBESE","APR.2019","FY2019"
"T19-261057","A1073415",,"2019-06-28T00:00:00.000","10:59:56.150000",,,,"1",,,"T19-261056",,,"JUN.2019","FY2019"
"T19-272365","A1074457",,"2019-07-06T00:00:00.000","18:06:25.820000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-272358",,,"JUL.2019","FY2019"
"T19-303293","A1076323","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-01T00:00:00.000","13:06:00",,,,,,,"T19-303293","M-EVAL REQ",,"AUG.2019","FY2019"
"T19-322370","A1073415","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-18T00:00:00.000","11:24:00","BP",,,,,,"T19-322370","EXAM",,"AUG.2019","FY2019"
"T19-308434","A1076323","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-06T00:00:00.000","09:45:00","AG",,,,"1.8",,"T19-308434","EXAM",,"AUG.2019","FY2019"
"T19-272362","A1074457",,"2019-07-06T00:00:00.000","18:06:12.897000",,,,"1",,,"T19-272358",,,"JUL.2019","FY2019"
"T19-976967","A1064923",,"2019-04-24T00:00:00.000","19:04:43.157000",,,,"1",,,"T19-976961",,,"APR.2019","FY2019"
"T19-281961","A1075270",,"2019-07-13T00:00:00.000","18:17:22.267000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-281954",,,"JUL.2019","FY2019"
"T19-274801","A1070190","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-09T00:00:00.000","08:27:00","AG",,,,,,"T19-274801","EXAM",,"JUL.2019","FY2019"
"T19-293945","A1076323",,"2019-07-24T00:00:00.000","16:45:46.260000",,,,"1",,,"T19-293941",,,"JUL.2019","FY2019"
"T19-303281","A1076329",,"2019-08-01T00:00:00.000","13:03:11.580000",,,,"1",,,"T19-303277",,,"AUG.2019","FY2019"
"T19-319543","A1072193",,"2019-08-15T00:00:00.000","12:48:08.300000",,,,"1",,,"T19-319541",,,"AUG.2019","FY2019"
"T19-305263","A1077088",,"2019-08-03T00:00:00.000","10:31:02.150000",,,,"1",,,"T19-305261",,,"AUG.2019","FY2019"
"T19-955972","A1062859",,"2019-04-03T00:00:00.000","10:10:51.903000",,,,"1",,,"T19-955971",,,"APR.2019","FY2019"
"T19-303291","A1076323",,"2019-08-01T00:00:00.000","13:06:52.920000",,,,"1",,,"T19-303288",,,"AUG.2019","FY2019"
"T19-303290","A1076323",,"2019-08-01T00:00:00.000","13:06:47.240000",,,,"1",,,"T19-303288",,,"AUG.2019","FY2019"
"T19-954805","A1062859",,"2019-04-01T00:00:00.000","18:35:09.427000",,,,"1",,,"T19-954799",,,"APR.2019","FY2019"
"T19-985553","A1066280","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-05-02T00:00:00.000","13:20:00","NG",,,,,,"T19-985553","EXAM-VISUAL",,"MAY.2019","FY2019"
"T19-278767","A1074457",,"2019-07-11T00:00:00.000","13:22:36.587000",,,,"1",,,"T19-278764",,,"JUL.2019","FY2019"
"T18-862682","A1052654",,"2018-12-21T00:00:00.000","13:43:59.933000",,,,"1",,,"T18-862680",,,"DEC.2018","FY2019"
"T19-940164","A1060825","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-03-18T00:00:00.000","08:09:00","VL/PA",,,,"63.2",,"T19-940164","SURGERY-",,"MAR.2019","FY2019"
"T19-283938","A0938907",,"2019-07-15T00:00:00.000","08:55:01.683000",,,,"1",,,"T19-283934",,,"JUL.2019","FY2019"
"T19-208612","A1064923","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-05-22T00:00:00.000","10:12:00","NG",,,,,,"T19-208612","EXAM-VISUAL",,"MAY.2019","FY2019"
"T19-327723","A1076329",,"2019-08-23T00:00:00.000","10:25:22.377000",,,,"1",,,"T19-327721",,,"AUG.2019","FY2019"
"T19-302478","A1077088","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-31T00:00:00.000","18:49:00","CBM",,,,"44.6",,"T19-302478","INTAKE EXAM",,"JUL.2019","FY2019"
"T19-984555","A1066280",,"2019-05-01T00:00:00.000","18:31:50.627000",,,,"1",,,"T19-984549",,,"MAY.2019","FY2019"
"T19-293943","A1076323",,"2019-07-24T00:00:00.000","16:45:32.130000",,,,"1",,,"T19-293941",,,"JUL.2019","FY2019"
"T19-285624","A1075270",,"2019-07-17T00:00:00.000","12:45:57.563000",,,,"3",,,"T19-285619",,,"JUL.2019","FY2019"
"T19-246037","A1072193",,"2019-06-18T00:00:00.000","11:07:57.260000",,,,"1",,,"T19-246036",,,"JUN.2019","FY2019"
"T19-329158","A1076323",,"2019-08-24T00:00:00.000","11:50:28.777000",,,,"1",,,"T19-329157",,,"AUG.2019","FY2019"
"T19-249230","A1060825",,"2019-06-20T00:00:00.000","10:18:08.290000",,,,"1",,,"T19-249229",,,"JUN.2019","FY2019"
"T19-285623","A1075270",,"2019-07-17T00:00:00.000","12:45:48.410000",,,,"1",,,"T19-285619",,,"JUL.2019","FY2019"
"T19-871947","A1052654","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-01-02T00:00:00.000","15:25:00","LS",,,,,,"T19-871947","EXAM",,"JAN.2019","FY2019"
"T19-996170","A1067348",,"2019-05-11T00:00:00.000","11:30:32.463000",,,,"1",,,"T19-996166",,,"MAY.2019","FY2019"
"T18-862685","A1052654",,"2018-12-21T00:00:00.000","13:44:44.207000",,,,"1",,,"T18-862680",,,"DEC.2018","FY2019"
"T19-346049","A1081635","UNKNOWN","2019-09-08T00:00:00.000","16:03:00",,,,,,,"T19-346049","NURSERY",,"SEP.2019","FY2019"
"T19-975583","A1065048",,"2019-04-23T00:00:00.000","16:39:43.237000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-975582",,,"APR.2019","FY2019"
"T19-272359","A1074457",,"2019-07-06T00:00:00.000","18:06:00.620000",,,,"1",,,"T19-272358",,,"JUL.2019","FY2019"
"T19-327721","A1076329","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-23T00:00:00.000","10:22:00","AG",,,,"2",,"T19-327721","EXAM-VET",,"AUG.2019","FY2019"
"T19-975585","A1065048",,"2019-04-23T00:00:00.000","16:39:48.710000",,,,"1",,,"T19-975582",,,"APR.2019","FY2019"
"T19-345589","A1081639","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-09-07T00:00:00.000","18:13:00","CBM",,,,"0.3",,"T19-345589","EXAM - ADOPTION",,"SEP.2019","FY2019"
"T19-936985","A1060825",,"2019-03-13T00:00:00.000","16:32:24.830000",,,,"1",,,"T19-936982",,,"MAR.2019","FY2019"
"T19-293996","A1076323","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-24T00:00:00.000","16:56:00","CBM",,,,"1.5",,"T19-293996","M-EVAL REQ",,"JUL.2019","FY2019"
"T19-247412","A1072193",,"2019-06-19T00:00:00.000","09:57:08.487000",,,,"1",,,"T19-247409",,,"JUN.2019","FY2019"
