Organization Name,Location,Category,Tax Identification Number,City Kc Area,Zip Codes,2017 Census Tracts WA State
Union of Concerned Scientists,"2 Brattle Square
Cambridge, MA 2138
(42.375652, -71.141489)",Environment,04-2535767,,10648,
National Center for Transgender Equality,"1032 15th St NW #199
Washington, DC 20005
(38.903352, -77.034649)",Human & Civil Rights,41-2090291,,25078,
GEM,"827 Central Ave N Ste B109
Kent, WA 98032
(47.389215, -122.231093)",Education & Literacy,47-1242835,76,17365,1375
Pike Market Senior Center     Pike Market Food Bank,"85 Pike St Ste 200
Seattle, WA 98101
(47.608774, -122.340668)",Food & Hunger,91-1034838,101,18081,399
Delta Research and Educational Foundation,"1703 New Hampshire Ave NW
Washington, DC 20009
(38.913103, -77.040213)","Disease, Disorders, & Medical Research",52-1338072,,25084,
Seattle Theatre Group,"911 Pine St
Seattle, WA 98101
(47.613652, -122.331643)","Arts, Culture, & Humanities",94-3130227,101,18081,1113
Somali Youth and Family Club,"3250 Airport Way S #212
Seattle, WA 98134
(47.574249, -122.321442)",Education & Literacy,27-0377330,101,19584,401
Community Alliance for Global Justice,"1322 S Bayview St Ste 300
Seattle, WA 98144
(47.581016, -122.315358)",Social & Economic Justice,20-3770707,101,17919,1412
Centro Cultural Mexicano,"7945 Gilman St
Redmond, WA 98052
(47.674159, -122.121942)",Social & Economic Justice,83-3001688,97,17806,514
Three Dollar Bill Cinema,"1122 E Pike St #1313
Seattle, WA 98122
(47.6141, -122.317243)","Arts, Culture, & Humanities",91-1708195,101,19578,781
HOPE Animal-Assisted Crisis Response,"1292 High St #182
Eugene, OR 97401
(44.045833, -123.088157)",Emergency & Disaster Services,93-1330180,,30452,
North Beach Progressive Animal Welfare Society,"2222 SR 109
Hoquiam, WA 98550
(47.044435, -124.147523)",Animals,33-1019474,,25682,736
Keiro Northwest/Nikkei Manor,"700 Sixth Ave S
Seattle, WA 98104
(47.596692, -122.326405)",Housing & Employment,51-0172382,101,18379,15
Museum of Pop Culture (MoPOP),"325 5th Ave N
Seattle, WA 98109
(47.62154, -122.347603)","Arts, Culture, & Humanities",91-1626784,101,18390,779
"The NRA Foundation, Inc.","11250 Waples Mill Rd
Fairfax, VA 22030
(38.863248, -77.336362)",Legal Advocacy,52-1710886,,18488,
World Relief,"7 E Baltimore St
Baltimore, MD 21202
(39.289556, -76.614479)",International Relief & Development,23-6393344,,13645,
Puget Sound Rescue,"17206 SE 338th St
Auburn, WA 98092
(47.298588, -122.112072)",Animals,27-0950705,61,18080,866
Unloop,"900 E Pine St Ste 202
Seattle, WA 98122
(47.615253, -122.32038)",Social & Economic Justice,47-5302622,101,19578,781
# KCEGP General Fund #,"401 5th Ave
Seattle, WA 98104
(47.602634, -122.328229)",KCEGP,91-6001327,101,18379,399
DAHLIA Living,"15111 8th Ave SW Ste 303
Burien, WA 98166
(47.467244, -122.344529)",Housing & Employment,51-0152982,8,18226,29
Mansfield School District #207,"491 Road 14 NE
Mansfield, WA 98830
(47.815643, -119.64505)",Youth Development,91-1127063,,27178,1448
Seattle Children's Theatre (SCT),"201 Thomas St
Seattle, WA 98109
(47.620929, -122.353308)","Arts, Culture, & Humanities",51-0172421,101,18390,1450
Sound Generations,"2208 2nd Ave Ste 100
Seattle, WA 98121
(47.61348, -122.344747)",Health (General),91-0823767,101,19576,782
Boys & Girls Clubs of Bellevue,"209 100th Ave NE
Bellevue, WA 98004
(47.612457, -122.206913)",Youth Development,91-0776451,6,31848,1443
LANGSTON,"104 17th Ave S
Seattle, WA 98144
(47.60166, -122.310267)","Arts, Culture, & Humanities",81-2515412,101,19578,13
Tusubira,"4616 25th Ave NE PMB 374
Seattle, WA 98105
(47.662826, -122.300899)",Community Development,20-5870148,101,18383,235
TeamChild,"1225 S Weller St Ste 420
Seattle, WA 98144
(47.597502, -122.315994)",Legal Advocacy,91-1930194,101,17919,13
Totem Star,"4408 Delridge Way SW Ste 118
Seattle, WA 98106
(47.563912, -122.363362)",Youth Development,82-3271788,101,18385,772
Women's Earth Alliance,"2150 Allston Way Ste 460
Berkeley, CA 94704
(37.86958, -122.266573)",Environment,94-2889684,,1496,
Natural Resources Defense Council,"40 W 20th St
New York, NY 10011
(40.740646, -73.993227)",Environment,13-2654926,,12074,
SEE International,"175 Cremona Dr Ste 100
Goleta, CA 93117
(34.431308, -119.856412)",International Relief & Development,31-1682275,,5119,
FairVote Washington Foundation,"4314 193rd Ave SE
Issaquah, WA 98027
(47.567176, -122.083321)",Human & Civil Rights,85-0733961,21,17354,431
Accion,"10 Fawcett St Ste 204
Cambridge, MA 2138
(42.389833, -71.146032)",International Relief & Development,13-2535763,,10648,
The Tor Project,"217 First Ave S #4903
Seattle, WA 98194
(47.600757, -122.334269)",Social & Economic Justice,20-8096820,101,18379,786
"Cancer Care, Inc.","275 Seventh Ave 22nd Fl
New York, NY 10001
(40.745644, -73.994496)",Health (General),13-1825919,,11722,
EOD Warrior Foundation,,"Disease, Disorders, & Medical Research",20-8618412,,,
American Diabetes Association,"2451 Crystal Dr Ste 900
Arlington, VA 22202
(38.852223, -77.049813)","Disease, Disorders, & Medical Research",13-1623888,,23403,
UNIVERSITY BEYOND BARS,"929 N 130th St Ste 15
Seattle, WA 98133
(47.723256, -122.3462)",Education & Literacy,20-3469787,101,19582,759
East African Community Services,"7050 32nd Ave S
Seattle, WA 98118
(47.539629, -122.2904)",Youth Development,91-2138852,101,18800,1334
King County Parks Foundation,"201 S Jackson St Ste 700
Seattle, WA 98027
(47.599201, -122.330843)",Environment,91-6013536,101,18379,786
Beyond Pesticides,"701 E St SE Ste 200
Washington, DC 20003
(38.882732, -76.995897)",Environment,52-1360541,,24708,
PROVAIL,"12550 Aurora Ave N
Seattle, WA 98133
(47.720069, -122.344936)","Mental Health, Disabilities, & Substance Abuse",91-0593488,101,19582,234
Lake Washington Schools Foundation (LWSF),,Education & Literacy,55-0891792,,,
FOB Hope,"875 S 85th St
Tacoma, WA 98444
(47.180099, -122.44585)",Social & Economic Justice,81-3325838,,4847,72
Trout Unlimited,"2000 NW Sammamish Rd
Issaquah, WA 98027
(47.553672, -122.073502)",Environment,74-2047393,21,17354,431
Helping Hands Ministries International,"19213 Bothell Everett Hwy
Bothell, WA 98012
(47.822896, -122.207419)",Community Development,91-1569204,,32445,1010
Prevent Cancer Foundation,"1600 Duke St Ste 500
Alexandria, VA 22314
(38.804112, -77.058374)","Disease, Disorders, & Medical Research",52-1429544,,12448,
Attain Housing,"125 State St S
Kirkland, WA 98033
(47.674274, -122.202325)",Housing & Employment,91-1481848,77,17373,424
Depression and Bipolar Support Alliance,"55 E Jackson Blvd Ste 490
Chicago, IL 60604
(41.878258, -87.625585)","Mental Health, Disabilities, & Substance Abuse",36-3379124,,14912,
Golden Bond Rescue,,Animals,93-1112566,,,
CHOOSE 180,"1416 SW 151st St
Burien, WA 98166
(47.4676, -122.354147)",Youth Development,46-4242313,8,18226,29
Rabbit Haven,,Animals,91-2032325,,,
Veteran Tickets Foundation,"1255 W Rio Salado Parkway Ste 209
Tempe, AZ 85281
(33.430767, -111.956651)","Recreation, Sports, Leisure, & Athletics",26-2291955,,3706,
Southeast Youth and Family Services,"3722 S Hudson St
Seattle, WA 98118
(47.557047, -122.285072)","Mental Health, Disabilities, & Substance Abuse",91-1036750,101,18800,124
The Hope Heart Institute,"4455 148th Ave NE
Bellevue, WA 98007
(47.650869, -122.143285)","Disease, Disorders, & Medical Research",91-1138000,6,17806,134
Habitat for Humanity Seattle-King County,"560 Naches Ave SW Ste 110
Renton, WA 98057
(47.474596, -122.234134)",Housing & Employment,91-1342397,100,17811,453
Bailey-Boushay House,"2720 E Madison St
Seattle, WA 98112
(47.623126, -122.296725)",Health (General),91-0565539,101,18789,398
Unbound,"1 Elmwood Ave
Kansas City, KS 66103
(39.07065, -94.608289)",Community Development,43-1243999,,26378,
Cerebral Palsy Foundation,"3 Columbus Cir 15th Fl
New York, NY 10019
(40.76771, -73.982175)","Disease, Disorders, & Medical Research",13-6093337,,12081,
Dogs & Cats Stranded On The Streets,"14173 Fern Rd
Guerneville, CA 95446
(38.502523, -123.005813)",Animals,27-2063483,,23755,
School's Out Washington,"801 23rd Ave S Ste A
Seattle, WA 98144
(47.595417, -122.302226)",Youth Development,46-0809713,101,17919,1442
"Amigos de las Americas, Seattle Chapter",,Community Development,23-7209800,,,
Islamic Relief USA-IRUSA,"3655 Wheeler Ave
Alexandria, VA 22304
(38.807512, -77.094349)",International Relief & Development,95-4453134,,30806,
Northwest Animal Rights Network,,Animals,91-1341059,,,
Washington Federation of Animal Care and Control Agencies,,Animals,91-6056105,,,
Cancer Research Institute,"29 Broadway 4th Fl
New York, NY 10006
(40.705953, -74.01319)","Disease, Disorders, & Medical Research",13-1837442,,11725,
Imagine Children's Museum,"1502 Wall St
Everett, WA 98201
(47.977829, -122.209568)",Education & Literacy,94-3153591,,18238,1152
MEOW Cat Rescue (Mercer Island Eastside Orphans and Waifs),"10600 NE 68th St Ste F
Kirkland, WA 98033
(47.666755, -122.19836)",Animals,91-1743911,77,17373,913
MOHAI (Museum of History and Industry),"860 Terry Ave N
Seattle, WA 98109
(47.626098, -122.337125)","Arts, Culture, & Humanities",91-0513034,101,18390,778
Refugee Women's Alliance (ReWA),"4008 Martin Luther King Jr Way S
Seattle, WA 98108
(47.567848, -122.296805)",Housing & Employment,91-1296964,101,18388,405
Mt Baker Housing,"2916 S McClellan St
Seattle, WA 98144
(47.57835, -122.294614)",Housing & Employment,91-1402983,101,17919,771
The DOVE Project,,Human & Civil Rights,46-1307359,,,
Greater Maple Valley Community Center,"22010 SE 248th St
Maple Valley, WA 98038
(47.37969, -122.040302)","Mental Health, Disabilities, & Substance Abuse",51-0181410,86,17790,870
Low Income Housing Institute (LIHI),"2407 1st Ave Ste 200
Seattle, WA 98121
(47.61441, -122.348294)",Housing & Employment,94-3155150,101,19576,783
Housing Hope,"5830 Evergreen Way
Everett, WA 98203
(47.944871, -122.216527)",Housing & Employment,94-3060709,,18239,190
Little Bit Therapeutic Riding Center,"18675 NE 106th St
Redmond, WA 98052
(47.694208, -122.090329)","Mental Health, Disabilities, & Substance Abuse",91-1012131,61,17806,1387
Habitat For Humanity Spokane,,Housing & Employment,94-3066722,,,
Whale Scout,,Environment,35-2476238,,,
Sound Discipline,"3250 Airport Way S Ste 224
Seattle, WA 98134
(47.574249, -122.321442)",Education & Literacy,26-0779977,101,19584,401
Water1st International,"1904 3rd Ave Ste 1012
Seattle, WA 98101
(47.61179, -122.339876)",International Relief & Development,20-2601035,101,18081,783
King County HOPE (Helping Our People in Emergencies),,Emergency & Disaster Services,45-4547368,,,
Seattle ReCreative,"8408 Greenwood Ave N
Seattle, WA 98103
(47.690177, -122.355307)","Arts, Culture, & Humanities",46-4879570,101,18377,376
Vashon Senior Center,,Health (General),80-0340771,,,
International Orthodox Christian Charities,"110 West Rd Ste 360
Baltimore, MD 21204
(39.410678, -76.615443)",International Relief & Development,25-1679348,,13647,
Cedar Valley PSO,"19200 56th Ave W
Lynnwood, WA 98036
(47.823676, -122.307896)",Education & Literacy,23-7447916,,17787,472
NAMI Eastside,"16307 NE 83rd St Ste 203
Redmond, WA 98052
(47.676674, -122.122922)","Mental Health, Disabilities, & Substance Abuse",91-2106510,97,17806,514
ArtsEd Washington,"500 Yale Ave N
Seattle, WA 98109
(47.623109, -122.330443)","Arts, Culture, & Humanities",91-1189441,101,18390,397
Legal Counsel for Youth and Children (LCYC),,Legal Advocacy,27-3006526,,,
"PetSmart Charities, Inc.","19601 N 27th Ave
Phoenix, AZ 85027
(33.663385, -112.117223)",Animals,93-1140967,,2214,
Equity in Education Coalition,"1200 12th Ave S Ste 830
Seattle, WA 98144
(47.593092, -122.317306)",Education & Literacy,81-4447635,101,17919,1229
Toys for Tots,"18251 Quantico Gateway Dr
Triangle, VA 22172
(38.553438, -77.33465)",Poverty Relief,20-3021444,,23012,
Mainstay,"1701 Broadway 2BE 3210
Seattle, WA 98122
(47.616525, -122.320834)","Mental Health, Disabilities, & Substance Abuse",83-0551671,101,19578,784
Skate Like a Girl,"305 Harrison St
Seattle, WA 98109
(47.622051, -122.348453)","Recreation, Sports, Leisure, & Athletics",26-2500555,101,18390,1450
the V Foundation,"14600 Weston Pkwy
Cary, NC 27513
(35.817521, -78.810962)",Community Development,13-3705951,,1111,
Seva Foundation,"1786 5th St
Berkeley, CA 94710
(37.870575, -122.299735)",Health (General),38-2231279,,1502,
Home School Legal Defense Association,"1 Patrick Henry Cir
Purcellville, VA 20132
(39.140365, -77.690539)",Education & Literacy,52-1354365,,1205,
Vadis,"16000 Christensen Rd Ste 240
Tukwila, WA 98188
(47.459034, -122.24861)",Housing & Employment,91-1083309,93,18231,453
Your Money Matters,"12110 SE 312th St H206
Auburn, WA 98092
(47.322521, -122.181047)",Education & Literacy,82-3618832,2,18080,335
New Horizons Ministries,"2709 Third St
Seattle, WA 98121
(47.61735, -122.349284)",Youth Development,91-1250114,101,19576,782
World Bicycle Relief,"1000 W Fulton Market 4th Fl
Chicago, IL 60607
(41.886727, -87.652326)",International Relief & Development,20-5080679,,14917,
United Indians of All Tribes Foundation,,"Arts, Culture, & Humanities",91-0889016,,,
"March of Dimes, Seattle and Western Washington","1904 3rd Ave Ste 230
Seattle, WA 98101
(47.61179, -122.339876)",Health (General),13-1846366,101,18081,783
Washington State Parks Foundation,"5306 Ballard Ave NW Ste 213
Seattle, WA 98107
(47.666505, -122.383249)",Environment,36-4473679,101,18386,344
TAF (Technology Access Foundation),"605 SW 108th St
Seattle, WA 98146
(47.506626, -122.342821)",Education & Literacy,91-1731833,40,17920,456
Summit Assistance Dogs,,Animals,91-2048706,,,
Northwest Organization for Animal Help (NOAH),,Animals,91-1362069,,,
George Pocock Rowing Foundation,"3320 Fuhrman Ave E
Seattle, WA 98102
(47.651809, -122.321925)",Health (General),91-1276445,101,18376,115
Serenity Equine Rescue and Rehabilitation,"28818 SE 216th Way
Maple Valley, WA 98038
(47.409513, -121.960025)",Animals,26-1817306,61,17790,1126
Buffalo Soldiers Museum,"1117 Minor Ave
Seattle, WA 98101
(47.611019, -122.325175)",Youth Development,37-1660458,101,18081,1113
Roanoke Park Counseling,"2601 Broadway E
Seattle, WA 98102
(47.643362, -122.320866)","Mental Health, Disabilities, & Substance Abuse",94-3061441,101,18376,115
National Park Foundation,"1110 Vermont Ave NW Ste 200
Washington, DC 20005
(38.904094, -77.032864)",Environment,52-1086761,,25078,
ADEFUA,"6716 Rainier Ave S
Seattle, WA 98118
(47.541921, -122.272431)",Community Development,91-1641230,101,18800,407
Beacon Business Alliance,"2821 Beacon Ave S
Seattle, WA 98144
(47.578163, -122.311177)",Community Development,45-0844084,101,17919,1412
Snohomish County Council of the Society of St. Vincent de Paul,"6424 Broadway
Everett, WA 98203
(47.939338, -122.199453)",Health (General),91-1022003,,18239,501
Jewish Federation of Greater Seattle,"Seattle, WA 98121
(47.615293, -122.34619)",Community Development,91-0575950,101,19576,782
YDEKC,"801 23rd Ave S Ste A
Seattle, WA 98144
(47.595417, -122.302226)",Youth Development,46-0809713,101,17919,1442
Alzheimer's Research and Prevention Foundation,,Health (General),86-0735832,,,
Nutrition First,,Food & Hunger,91-1387596,,,
El Centro de la Raza,"2524 16th Ave S
Seattle, WA 98144
(47.580229, -122.312129)",Social & Economic Justice,91-0899927,101,17919,1412
Hepatitis Education Project,"1621 S Jackson St Ste 201
Seattle, WA 98144
(47.599232, -122.31058)","Mental Health, Disabilities, & Substance Abuse",91-1658691,101,17919,13
KUOW Puget Sound Public Radio,"4518 University Way NE Ste 310
Seattle, WA 98105
(47.661857, -122.313123)","Arts, Culture, & Humanities",91-2079402,101,18383,1193
Bellevue Botanical Garden Society,"12001 Main St
Bellevue, WA 98005
(47.609983, -122.17907)",Environment,91-1333659,6,31850,432
Americans Helping Americans,"8301 Richmond Highway Ste 100
Alexandria, VA 22309
(38.73289, -77.100633)",Food & Hunger,54-1594577,,12443,
Be The Match Foundation,"500 N 5th St
Minneapolis, MN 55401
(44.98381, -93.278425)",Health (General),41-1704734,,10208,
Domestic Violence and Sexual Assault Services of Whatcom County,"1407 Commercial St
Bellingham, WA 98225
(48.751602, -122.478484)",Social & Economic Justice,91-1066325,,18644,1095
Childhaven,"316 Broadway
Seattle, WA 98122
(47.604959, -122.320756)",Youth Development,91-0402430,101,19578,785
Associated Recreation Council,"8061 Densmore Ave N
Seattle, WA 98103
(47.688019, -122.33775)",Community Development,51-0170717,101,18377,1432
Children's Food Fund / World Emergency Relief,"425 W Allen Ave Ste 111
San Dimas, CA 91773
(34.117532, -117.814445)",Food & Hunger,95-4014743,,10134,
Washington's National Park Fund,"1904 3rd Ave Ste 400
Seattle, WA 98101
(47.61179, -122.339876)",Environment,01-0869799,101,18081,783
OneAmerica,"1225 S Weller St Ste 430
Seattle, WA 98144
(47.597502, -122.315994)",Social & Economic Justice,20-0384893,101,17919,13
501 Commons,,Community Development,94-3089631,,,
The Museum of Flight,"9404 East Marginal Way S
Seattle, WA 98108
(47.517854, -122.297421)","Arts, Culture, & Humanities",91-0785826,93,18388,454
Seattle Against Slavery,,Social & Economic Justice,27-2026973,,,
"Wounded Warrior Project, Inc.","4899 Belfort Rd Ste 300
Jacksonville, FL 32256
(30.249151, -81.584507)",Health (General),20-2370934,,14764,
Clarion West Writers Workshop,,"Arts, Culture, & Humanities",91-1352168,,,
"Lighthouse for the Blind, Inc.","2501 S Plum St
Seattle, WA 98114
(47.585476, -122.299225)","Disease, Disorders, & Medical Research",91-0295070,101,17919,771
"Easterseals Washington, Yakima","1101 S 13th Ave
Yakima, WA 98902
(46.585234, -120.526404)",Health (General),91-0575956,,29512,333
Oxfam America,"226 Causeway St 5th Fl
Boston, MA 2114
(42.366521, -71.059302)",International Relief & Development,23-7069110,,9662,
Cascade Public Media dba KCTS Television,"401 Mercer St
Seattle, WA 98109
(47.624568, -122.348226)","Arts, Culture, & Humanities",91-1221895,101,18390,779
Hilltop Artists,,"Arts, Culture, & Humanities",91-1667476,,,
Crooked Trails,"2115 E Mercer St
Seattle, WA 98112
(47.624402, -122.303946)",Education & Literacy,73-1669742,101,18789,117
SafeFutures Youth Center,"6337 35th Ave SW
Seattle, WA 98126
(47.545255, -122.376478)",Youth Development,91-1949779,101,19581,790
Innovations Human Trafficking Collaborative,"3545 7th Ave SW Ste #305
Olympia, WA 98502
(47.041873, -122.956598)",Housing & Employment,81-4680515,,5278,239
Marine Mammal Center,,Animals,51-0144434,,,
Northwest Hope and Healing,"600 Stewart St Ste 400
Seattle, WA 98101
(47.613823, -122.336772)",Health (General),20-0799737,101,18081,397
Sustainable Seattle,"7511 Greenwood Ave N #121
Seattle, WA 98103
(47.683712, -122.355299)",Environment,31-1580932,101,18377,305
Volleyball Beyond Borders; Athletes Beyond Borders; Moving Beyond 12,,"Recreation, Sports, Leisure, & Athletics",46-5283802,,,
Evergreen Mountain Bike Alliance,"249 Main Ave S Ste 107-188
North Bend, WA 98045
(47.493733, -121.786958)",Environment,91-1553023,87,17798,1381
Ivory Coast Medical Relief Team,"16521 Densmore Ave N
Shoreline, WA 98133
(47.749381, -122.338752)",International Relief & Development,02-0657700,102,19582,127
The Arc of King County,"233 6th Ave N
Seattle, WA 98109
(47.620647, -122.345007)","Mental Health, Disabilities, & Substance Abuse",91-0594684,101,18390,779
Washington State Bar Foundation,"1325 Fourth Ave Ste 600
Seattle, WA 98101
(47.608856, -122.335452)",Legal Advocacy,91-1098324,101,18081,399
Movimiento Afrolatino Seattle,"803 S King St
Seattle, WA 98104
(47.598372, -122.3224)","Arts, Culture, & Humanities",47-1416753,101,18379,15
Military Community Youth Ministries,"540 N Cascade Ste 300
Colorado Springs, CO 80903
(38.841838, -104.825025)",Youth Development,74-2238462,,10809,
South Sound Critter Care/Puget Sound WildCare,"28727 216th Ave SE
Kent, WA 98042
(47.343763, -122.053837)",Environment,80-0514486,61,17790,165
Vision House,,Housing & Employment,91-1493474,,,
Humane Society for Tacoma & Pierce County,"2608 Center St
Tacoma, WA 98409
(47.234233, -122.471413)",Animals,91-0577128,,13241,1210
Seattle Counseling Service,"2033 Sixth Ave Ste 400
Seattle, WA 98121
(47.614879, -122.339163)","Mental Health, Disabilities, & Substance Abuse",23-7258439,101,19576,779
Washington Recovery Alliance,,"Mental Health, Disabilities, & Substance Abuse",81-2962568,,,
Northwest Parkinson's Foundation,"3010 77th Ave SE #101
Mercer Island, WA 98040
(47.583281, -122.235048)",Health (General),91-1923159,84,17793,1342
Open Arms Perinatal Services,"2524 16th Ave S #207
Seattle, WA 98144
(47.580229, -122.312129)",Health (General),91-1868021,101,17919,1412
KiloWatts for Humanity,,International Relief & Development,47-2813911,,,
MAZON: A Jewish Response to Hunger,"10850 Wilshire Blvd Ste 400
Los Angeles, CA 90024
(34.059448, -118.441308)",Food & Hunger,22-2624532,,23442,
National Multiple Sclerosis Society,"733 Third Ave 3rd Fl
New York, NY 10017
(40.753089, -73.972758)","Disease, Disorders, & Medical Research",13-5661935,,12079,
Community for Youth,"1225 S Weller St Ste 320
Seattle, WA 98144
(47.597502, -122.315994)",Youth Development,52-1494505,101,17919,13
Rainbow City Performing Arts,,"Arts, Culture, & Humanities",91-2018261,,,
Save the Children,"501 Kings Highway E Ste 400
Fairfield, CT 6825
(41.172042, -73.229271)",International Relief & Development,06-0726487,,5445,
Conservation International,"2011 Crystal Dr Ste 500
Arlington, VA 22202
(38.855585, -77.049354)",Environment,52-1497470,,23403,
United Way of Kitsap County,"645 4th St Ste 101
Bremerton, WA 98337
(47.565841, -122.629408)",Community Development,91-0623990,,11466,533
Feet First,"314 1st Ave S
Seattle, WA 98104
(47.599577, -122.334137)",Community Development,91-1848887,101,18379,786
Seattle Opera,"363 Mercer St
Seattle, WA 98109
(47.624573, -122.349878)","Arts, Culture, & Humanities",91-0760426,101,18390,779
Northwest Access Fund,"1437 S Jackson St Ste 302
Seattle, WA 98144
(47.599224, -122.312018)","Mental Health, Disabilities, & Substance Abuse",91-2094889,101,17919,13
Youth in Focus,"2100 24th Ave S Ste 310
Seattle, WA 98144
(47.58408, -122.301654)","Arts, Culture, & Humanities",91-1821137,101,17919,771
Lavender Rights Project,"1004 Martin Luther King Jr Way
Tacoma, WA 98405
(47.252987, -122.45195)",Legal Advocacy,81-0969007,,12604,940
Food Lifeline,"815 S 96th St
Seattle, WA 98108
(47.51707, -122.322377)",Food & Hunger,91-1090450,40,18388,1272
Holt International,,International Relief & Development,23-7257390,,,
Hopelink,,Food & Hunger,91-0982116,,,
USO Northwest,,Health (General),13-1610451,,,
Fred Hutchinson Cancer Research Center,"1100 Fairview Ave N J5-200
Seattle, WA 98109
(47.627835, -122.332062)","Disease, Disorders, & Medical Research",23-7156071,101,18390,778
The Zoo Society at Point Defiance Zoo & Aquarium,"5400 N Pearl St
Tacoma, WA 98407
(47.301585, -122.515693)",Animals,91-6066667,,13238,935
Wilderness Awareness School,,Environment,22-3190778,,,
PAWS of Bainbridge Island and North Kitsap,,Animals,91-0952064,,,
"Breast Cancer Research Foundation, Inc","28 W 44th St Ste 609
New York, NY 10036
(40.755417, -73.981487)","Disease, Disorders, & Medical Research",13-3727250,,13094,
Alpha One Foundation,"3300 Ponce de Leon Blvd
Coral Gables, FL 33134
(25.741076, -80.258436)","Disease, Disorders, & Medical Research",65-0585415,,24462,
ALS Association,"1300 Wilson Blvd Ste 600
Arlington, VA 22209
(38.894784, -77.072775)","Disease, Disorders, & Medical Research",13-3271855,,30391,
Blind Vietnamese Children Foundation,,Health (General),91-2055728,,,
City Fruit,"3417 Evanston Ave N Ste 210
Seattle, WA 98103
(47.650515, -122.35132)",Food & Hunger,80-0579830,101,18377,1110
American Bible Society,"101 N Independence Mall E 8th Fl
Philadelphia, PA 19106
(39.952581, -75.148487)",Spiritual Development,13-1623885,,2182,
Pratt Fine Arts Center,"1902 S Main St
Seattle, WA 98144
(47.59997, -122.30763)","Arts, Culture, & Humanities",91-1186639,101,17919,13
"Bread and Water for Africa, Inc.","8301 Richmond Highway Ste 300
Alexandria, VA 22309
(38.73289, -77.100633)",Food & Hunger,54-1884520,,12443,
North Olympic Land Trust,"602 E Front St
Port Angeles, WA 98362
(48.116019, -123.42319)",Environment,91-1500378,,11833,688
Colorectal Cancer Alliance,"1025 Vermont Ave NW Ste 1066
Washington, DC 20005
(38.903398, -77.033271)",Health (General),86-0947831,,25078,
American Indian Youth Running Strong,"8301 Richmond Highway Ste 200
Alexandria, VA 22309
(38.73289, -77.100633)",Youth Development,54-1594578,,12443,
Justice and Soul Foundation,"19240 Aurora Ave N Ste A
Shoreline, WA 98133
(47.768382, -122.345851)",Education & Literacy,45-2595615,102,19582,1194
Camano Animal Shelter Association,,Animals,91-1913293,,,
MultiCare Behavioral Health Foundation,,"Mental Health, Disabilities, & Substance Abuse",91-1514257,,,
Conquering CHD Washington,,Health (General),46-3576700,,,
African Wildlife Foundation,"1400 16th St NW Ste 120
Washington, DC 20036
(38.909145, -77.036526)",Environment,52-0781390,,4499,
Blood Cancer Research Foundation,"180 N Michigan Ave Ste 1870
Chicago, IL 60601
(41.885151, -87.624569)",Health (General),36-4330967,,14309,
Eluna,,Health (General),91-2065051,,,
New Beginnings,,Health (General),91-1005916,,,
Kitsap Mental Health Services,"5455 Almira Dr NE
Bremerton, WA 98311
(47.61191, -122.623477)","Mental Health, Disabilities, & Substance Abuse",91-1020106,,10799,582
Khmer Community of Seattle King County,,Community Development,91-1577475,,,
Vashon Partners in Education,"17317 107th Ave SW
Vashon, WA 98070
(47.449471, -122.471133)",Education & Literacy,94-3069862,48,18068,461
Partners In Health,"800 Boylston St Ste 300
Boston, MA 2199
(42.348899, -71.081821)",International Relief & Development,04-3567502,,17236,
"Jane Goodall Institute for Wildlife Research, Education, and Conservation","1595 Spring Hill Rd Ste 550
Vienna, VA 22182
(38.926531, -77.245845)",Environment,94-2474731,,23028,
Renton Regional Community Foundation,,Social & Economic Justice,23-7069988,,,
Seattle University,"901 12th Ave PO Box 222000
Seattle, WA 98122
(47.60821, -122.316795)",Education & Literacy,91-0565006,101,19578,400
Burke Museum of Natural History and Culture,,"Arts, Culture, & Humanities",91-2151686,,,
Food Empowerment Education Sustainability Team (FEEST),"605 SW 108th St
Seattle, WA 98146
(47.506626, -122.342821)",Health (General),46-2268038,40,17920,456
Snow Leopard Trust,"4649 Sunnyside Ave N
Seattle, WA 98103
(47.663831, -122.330171)",Animals,91-1144119,101,18377,379
Muscular Dystrophy Association,"161 N Clark St Ste 3550
Chicago, IL 60601
(41.884708, -87.630937)",Health (General),13-1665552,,14309,
Cancer Research And Biostatistics,"1505 Westlake Ave N Ste 750
Seattle, WA 98109
(47.632526, -122.340886)","Disease, Disorders, & Medical Research",91-1828539,101,18390,1401
Facing Homelessness,"4001 9th Ave NE
Seattle, WA 98105
(47.656167, -122.318813)",Housing & Employment,46-2376967,101,18383,270
Neurological Vocational Services,"325 9th Ave/Box 359744
Seattle, WA 98104
(47.604084, -122.323372)","Disease, Disorders, & Medical Research",91-1412467,101,18379,785
AIDS Research Foundation (amfAR),"120 Wall St 13th Fl
New York, NY 10005
(40.704382, -74.00645)","Disease, Disorders, & Medical Research",13-3163817,,11726,
American Battlefield Trust,"1156 15th St NW Ste 900
Washington, DC 20005
(38.905335, -77.03458)",Education & Literacy,54-1426643,,25078,
Pike Place Market Foundation,"93 Pike St Rm 310
Seattle, WA 98101
(47.608736, -122.340698)",Community Development,91-1197625,101,18081,399
North Cascades Institute,"810 State Route 20
Sedro-Woolley, WA 98284
(48.510451, -122.22718)",Environment,91-1327775,,19909,481
Puget Sound Sage,"414 Maynard Ave S
Seattle, WA 98104
(47.59903, -122.325069)",Environment,20-8974030,101,18379,15
