"organization_name","location","tax_identification_number","kcegp_code","website","short_description","category","category_3","category_2","link_1","link_2","link_3","link_4","status","community_of_opportunity","current_pledges","link_1_description","link_2_description","link_3_description","link_4_description","communities_served_1","communities_served_2","communities_served_3"
"Volleyball Beyond Borders; Athletes Beyond Borders; Moving Beyond 12",,"46-5283802","9849","https://www.baseballbeyond.org","A sports-based community development organization using sports as a vehicle to advance academic outcomes within communities of color.","Recreation, Sports, Leisure, & Athletics",,"Community Development","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=465283802","https://www.guidestar.org/profile/46-5283802",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=465283802","https://www.guidestar.org/profile/46-5283802",,,"Black, African American, African","Economically Disadvantaged People","Women & Girls"
"Evergreen Mountain Bike Alliance","249 Main Ave S Ste 107-188
North Bend, WA 98045
(47.493733, -121.786958)","91-1553023","9152","https://www.evergreenmtb.org","Our mission is to create, maintain, and protect sustainable mountain biking opportunities in Washington. We have over 6,000 members across the state working with us!","Environment","Community Development","Health (General)","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911553023","https://www.guidestar.org/profile/91-1553023",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911553023","https://www.guidestar.org/profile/91-1553023",,,,,
"Ivory Coast Medical Relief Team","16521 Densmore Ave N
Shoreline, WA 98133
(47.749381, -122.338752)","02-0657700","9106","https://www.icmrt-team.org","Provide malaria prevention, education, treatment. Partner with villages to establish a sustainable program: long lasting nets, field test kits, and medication.","International Relief & Development","Disease, Disorders, & Medical Research","Health (General)",,"https://www.guidestar.org/profile/02-0657700",,,"Returning","No",,,"https://www.guidestar.org/profile/02-0657700",,,"Black, African American, African","Immigrants, Migrants, Refugees","Women & Girls"
"The Arc of King County","233 6th Ave N
Seattle, WA 98109
(47.620647, -122.345007)","91-0594684","9233","https://www.arcofkingcounty.org","Serving individuals & families with intellectual & developmental disabilities through case management, peer support, leadership training, & advocacy.","Mental Health, Disabilities, & Substance Abuse",,"Social & Economic Justice","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910594684","https://www.guidestar.org/profile/91-0594684","https://give.org/search/?term=the%20arc%20of%20king%20county",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910594684","https://www.guidestar.org/profile/91-0594684","https://give.org/search/?term=the%20arc%20of%20king%20county",,"Children & Youth",,
"Washington State Bar Foundation","1325 Fourth Ave Ste 600
Seattle, WA 98101
(47.608856, -122.335452)","91-1098324","9335","https://www.wsba.org/foundation","We support the Washington State Bar Association’s Powerful Communities Project and Moderate Means Program, ensuring that everyone who needs it can access legal assistance.","Legal Advocacy",,"Social & Economic Justice",,"https://www.guidestar.org/profile/91-1098324",,,"Returning","No",,,"https://www.guidestar.org/profile/91-1098324",,,,,
"Movimiento Afrolatino Seattle","803 S King St
Seattle, WA 98104
(47.598372, -122.3224)","47-1416753","10026","https://movimientoafrolatino.org/","Afrolatino communities & artists working to ensure the sustainability of cultural and education arts centering Afrolatinos; open to all who are interested.","Arts, Culture, & Humanities",,,,,,,"New","No",,,,,,,,
"Military Community Youth Ministries","540 N Cascade Ste 300
Colorado Springs, CO 80903
(38.841838, -104.825025)","74-2238462","4183","https://www.mcym.org","Caring for military families through relational ministry to military teens worldwide. Partnering with Young Life and the local chapel. Where friends, fun and faith connect.","Youth Development",,"Spiritual Development",,"https://www.guidestar.org/profile/74-2238462",,,"Number change","No",,,"https://www.guidestar.org/profile/74-2238462",,,"Children & Youth","Veterans & Military","Women & Girls"
"South Sound Critter Care/Puget Sound WildCare","28727 216th Ave SE
Kent, WA 98042
(47.343763, -122.053837)","80-0514486","9578","https://www.pugetsoundwildcare.org","We provide assistance to the public for wildlife problems, and placement of orphaned or injured felines. We also have an active education program for both children and adults.","Environment",,"Animals",,"https://www.guidestar.org/profile/80-0514486",,,"Returning","No",,,"https://www.guidestar.org/profile/80-0514486",,,"Children & Youth","Women & Girls",
"Vision House",,"91-1493474","9315","https://www.visionhouse.org","Our mission is to work with marginalized families experiencing homelessness with programs designed to promote positive transformation in the lives of each family member.","Housing & Employment",,"Community Development","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14979","https://www.guidestar.org/profile/91-1493474","https://www.bbb.org/charity-reviews/greatwestpacific/vision-house-in-renton-wa-22213633",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14979","https://www.guidestar.org/profile/91-1493474","https://www.bbb.org/charity-reviews/greatwestpacific/vision-house-in-renton-wa-22213633",,"Economically Disadvantaged People","Children & Youth",
"Humane Society for Tacoma & Pierce County","2608 Center St
Tacoma, WA 98409
(47.234233, -122.471413)","91-0577128","9643","https://www.thehumanesociety.org","Cares for nearly 10,000 animals every year, reunites lost pets with owners, finds loving homes for shelter pets, offers low-cost spay/neuter & other programs to support pets.","Animals",,,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5760#.UznIQPldVvA","https://www.guidestar.org/organizations/91-0577128/tacoma-pierce-county-humane-society-scty-prevention-cruelty.aspx","https://www.bbb.org/western-washington/business-reviews/charity-animal-protection/humane-society-for-tacoma-and-pierce-county-in-tacoma-wa-34000160",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5760#.UznIQPldVvA","https://www.guidestar.org/organizations/91-0577128/tacoma-pierce-county-humane-society-scty-prevention-cruelty.aspx","https://www.bbb.org/western-washington/business-reviews/charity-animal-protection/humane-society-for-tacoma-and-pierce-county-in-tacoma-wa-34000160",,,,
"Seattle Counseling Service","2033 Sixth Ave Ste 400
Seattle, WA 98121
(47.614879, -122.339163)","23-7258439","9291","https://www.seattlecounseling.org","Provides a broad range of mental health, addiction recovery, HIV prevention, & harm reduction services; serving the lesbian, gay, bisexual, transgender, & queer (LGBTQ) community.","Mental Health, Disabilities, & Substance Abuse","Social & Economic Justice","Health (General)","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=237258439","https://www.guidestar.org/profile/23-7258439","https://www.bbb.org/charity-reviews/greatwestpacific/seattle-counseling-service-in-seattle-wa-22229895",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=237258439","https://www.guidestar.org/profile/23-7258439","https://www.bbb.org/charity-reviews/greatwestpacific/seattle-counseling-service-in-seattle-wa-22229895",,"LGBTQIA","Immigrants, Migrants, Refugees","Economically Disadvantaged People"
"Washington Recovery Alliance",,"81-2962568","10060","https://www.recoverywa.org","WRA envisions a world where recovery is a reality for all. We are creating a statewide community that celebrates and advocates for recovery.","Mental Health, Disabilities, & Substance Abuse",,,,"https://www.guidestar.org/profile/81-2962568",,,"New","No",,,"https://www.guidestar.org/profile/81-2962568",,,,,
"Northwest Parkinson's Foundation","3010 77th Ave SE #101
Mercer Island, WA 98040
(47.583281, -122.235048)","91-1923159","10857","https://nwpf.org","Local, independent organization providing education, advocacy & services for people with Parkinson's in the NW. Serving the whole family so no one walks their journey alone.","Health (General)","Social & Economic Justice","Disease, Disorders, & Medical Research",,,,,"Number Change","No",,,,,,,,
"Open Arms Perinatal Services","2524 16th Ave S #207
Seattle, WA 98144
(47.580229, -122.312129)","91-1868021","9468","https://www.openarmsps.org","We provide community-based support to low-income parents during pregnancy, birth, and early parenting to nurture strong foundations that last a lifetime.","Health (General)",,,"https://www.charitynavigator.org/ein/911868021","https://www.guidestar.org/profile/91-1868021",,,"Returning","Yes",,"https://www.charitynavigator.org/ein/911868021","https://www.guidestar.org/profile/91-1868021",,,"Women & Girls","Children & Youth",
"KiloWatts for Humanity",,"47-2813911","10935","https://www.kilowattsforhumanity.org","KWH fights energy poverty in Africa through solar power and sustainable business opportunities.","International Relief & Development","Social & Economic Justice","Community Development","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=472813911","https://www.guidestar.org/profile/47-2813911",,,"Number Change","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=472813911","https://www.guidestar.org/profile/47-2813911",,,,,
"MAZON: A Jewish Response to Hunger","10850 Wilshire Blvd Ste 400
Los Angeles, CA 90024
(34.059448, -118.441308)","22-2624532","4181","https://mazon.org","Founded in 1985, we are a national nonprofit organization working to end hunger among people of all faiths and backgrounds in the US and Israel.","Food & Hunger","International Relief & Development","Social & Economic Justice",,"https://www.guidestar.org/profile/22-2624532",,,"Number change","No",,,"https://www.guidestar.org/profile/22-2624532",,,"Economically Disadvantaged People","Immigrants, Migrants, Refugees","Children & Youth"
"National Multiple Sclerosis Society","733 Third Ave 3rd Fl
New York, NY 10017
(40.753089, -73.972758)","13-5661935","4115","https://www.nationalmssociety.org","People affected by MS can live their best lives as we stop MS in its tracks, restore what has been lost and end MS forever.","Disease, Disorders, & Medical Research","Community Development","Health (General)",,"https://www.guidestar.org/profile/13-5661935",,,"Returning","No",,,"https://www.guidestar.org/profile/13-5661935",,,"Women & Girls","People With Disabilities","Seniors"
"Community for Youth","1225 S Weller St Ste 320
Seattle, WA 98144
(47.597502, -122.315994)","52-1494505","9078","https://www.communityforyouth.org","We inspire and support the social, emotional, and academic development of students through mentoring, learning experiences, and a powerful community.","Youth Development","Social & Economic Justice","Community Development",,"https://www.guidestar.org/profile/52-1494505",,,"Returning","Yes",,,"https://www.guidestar.org/profile/52-1494505",,,"Children & Youth",,
"Rainbow City Performing Arts",,"91-2018261","9212","https://www.rainbowcityband.com","Organization of performance ensembles creating a diverse & inclusive environment for musical expression that promotes the equity & visibility of people in the LGBTQIA+ community.","Arts, Culture, & Humanities","Social & Economic Justice","Community Development","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912018261","https://www.guidestar.org/profile/91-2018261",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912018261","https://www.guidestar.org/profile/91-2018261",,,"LGBTQIA",,
"Save the Children","501 Kings Highway E Ste 400
Fairfield, CT 6825
(41.172042, -73.229271)","06-0726487","3534","https://www.savethechildren.org","We do whatever it takes – every day and in times of crisis – transforming children’s lives and the future we share.","International Relief & Development","Community Development","Youth Development","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4438","https://www.guidestar.org/profile/06-0726487","https://www.give.org/charity-reviews/national/relief-and-development/save-the-children-federation-in-fairfield-ct-893",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4438","https://www.guidestar.org/profile/06-0726487","https://www.give.org/charity-reviews/national/relief-and-development/save-the-children-federation-in-fairfield-ct-893",,"Economically Disadvantaged People","Immigrants, Migrants, Refugees","Children & Youth"
"Conservation International","2011 Crystal Dr Ste 500
Arlington, VA 22202
(38.855585, -77.049354)","52-1497470","2588","https://www.conservation.org","Using a foundation of science, partnership and field demonstration, CI empowers societies to responsibly and sustainably care for nature for humanity's long-term well being.","Environment",,,,,,,"Returning","No",,,,,,,,
"United Way of Kitsap County","645 4th St Ste 101
Bremerton, WA 98337
(47.565841, -122.629408)","91-0623990","9846","https://www.unitedwaykitsap.org","Helping families access services to improve graduation rates, employability, access to housing; building a stronger community by breaking the cycle of intergenerational poverty.","Community Development",,"Housing & Employment","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13692",,,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13692",,,,"Children & Youth","Economically Disadvantaged People","Seniors"
"Feet First","314 1st Ave S
Seattle, WA 98104
(47.599577, -122.334137)","91-1848887","9006","https://www.feetfirst.org","Pedestrian Advocacy, Education, and Encouragement. Walking Audits, Safe Routes to School, Walkable Washington Symposium, Neighborhood Walking Ambassador Program.","Community Development","Health (General)","Environment",,,,,"Returning","No",,,,,,,,
"Seattle Opera","363 Mercer St
Seattle, WA 98109
(47.624573, -122.349878)","91-0760426","9752","https://seattleopera.org","By drawing our community together and by offering opera’s unique fusion of music and drama, we create life-enhancing experiences that speak deeply to people’s hearts and minds.","Arts, Culture, & Humanities",,,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4451","https://www.guidestar.org/profile/91-0760426",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4451","https://www.guidestar.org/profile/91-0760426",,,"Children & Youth",,
"Northwest Access Fund","1437 S Jackson St Ste 302
Seattle, WA 98144
(47.599224, -122.312018)","91-2094889","9587","https://www.nwaccessfund.org","We offer people with disabilities customized loans, financial coaching, and other resources to promote access to AT, independence, financial resilience, and life opportunities.","Mental Health, Disabilities, & Substance Abuse","Social & Economic Justice","Education & Literacy","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912094889","https://www.guidestar.org/profile/91-2094889",,,"Returning","Yes",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912094889","https://www.guidestar.org/profile/91-2094889",,,"People With Disabilities","Seniors","Economically Disadvantaged People"
"Youth in Focus","2100 24th Ave S Ste 310
Seattle, WA 98144
(47.58408, -122.301654)","91-1821137","9024","https://www.youthinfocus.org","Our mission is to amplify teen voice through photography and equitable access to arts education.","Arts, Culture, & Humanities",,"Youth Development",,"https://www.guidestar.org/profile/91-1821137",,,"Returning","Yes",,,"https://www.guidestar.org/profile/91-1821137",,,"Children & Youth",,
"Lavender Rights Project","1004 Martin Luther King Jr Way
Tacoma, WA 98405
(47.252987, -122.45195)","81-0969007","10947","https://www.lavenderrightsproject.org","Sliding-scale legal services and community-based direct aid work rooted in social justice for trans and queer low-income people and other marginalized communities.","Legal Advocacy","Community Development","Human & Civil Rights","https://www.charitynavigator.org/ein/810969007","https://www.guidestar.org/profile/81-0969007",,,"Number Change","No",,"https://www.charitynavigator.org/ein/810969007","https://www.guidestar.org/profile/81-0969007",,,"LGBTQIA","Black, African American, African","Economically Disadvantaged People"
"Food Lifeline","815 S 96th St
Seattle, WA 98108
(47.51707, -122.322377)","91-1090450","9302","https://www.FoodLifeline.org","We rescue millions of pounds of surplus food from farmers, manufacturers, grocery stores, and restaurants. We then deliver this healthy and nutritious food to over 400 food banks.","Food & Hunger","Community Development","Health (General)","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3715","https://www.guidestar.org/profile/91-1090450","https://www.bbb.org/western-washington/Charity-Reviews/charity-human-services-ie-assistance-to-individuals-and-families/food-lifeline-in-seattle-wa-87000902",,"Returning","Yes",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3715","https://www.guidestar.org/profile/91-1090450","https://www.bbb.org/western-washington/Charity-Reviews/charity-human-services-ie-assistance-to-individuals-and-families/food-lifeline-in-seattle-wa-87000902",,,,
"Holt International",,"23-7257390","9499","https://www.holtinternational.org","We support vulnerable children and families in 15 countries through family strengthening services, orphan care, foster care, intercountry and international adoption.","International Relief & Development",,,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5914","https://www.guidestar.org/profile/23-7257390","https://give.org/charity-reviews/national/Human-Services/Holt-International-Childrens-Services-in-Eugene-or-41959",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5914","https://www.guidestar.org/profile/23-7257390","https://give.org/charity-reviews/national/Human-Services/Holt-International-Childrens-Services-in-Eugene-or-41959",,"Women & Girls","Children & Youth","People With Disabilities"
"Hopelink",,"91-0982116","2777","https://www.hope-link.org","People seek services when they have no food, they face homelessness or their power will be turned off - they are unable to support their families.","Food & Hunger",,,,,,,"Returning","No",,,,,,,,
"USO Northwest",,"13-1610451","9585","https://www.usonw.org","The mission of the USO is to strengthen America's military service members by keeping them connected to family, home and country, throughout their service to the nation.","Health (General)",,,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910573116","https://www.guidestar.org/profile/91-0573116","https://www.bbb.org/charity-reviews/greatwestpacific/uso-northwest-in-seatac-wa-22941918",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910573116","https://www.guidestar.org/profile/91-0573116","https://www.bbb.org/charity-reviews/greatwestpacific/uso-northwest-in-seatac-wa-22941918",,"Veterans & Military",,
"Fred Hutchinson Cancer Research Center","1100 Fairview Ave N J5-200
Seattle, WA 98109
(47.627835, -122.332062)","23-7156071","2712","https://www.fredhutch.org","Our pioneering cancer research has dramatically increased survival rates, saving hundreds of thousands of lives. Help us find the next big breakthrough - be a lifesaver.","Disease, Disorders, & Medical Research",,"Health (General)",,,,,"Returning","No",,,,,,,,
"The Zoo Society at Point Defiance Zoo & Aquarium","5400 N Pearl St
Tacoma, WA 98407
(47.301585, -122.515693)","91-6066667","9473","https://www.thezoosociety.org","Fosters the relationship between Point Defiance Zoo & Aquarium and the community by raising funds and generating support for animal care, education and conservation efforts.","Animals","Education & Literacy","Environment","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8725#.VT_QEpOnH6c","https://www.guidestar.org/organizations/91-6066667/point-defiance-zoological-society.aspx",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8725#.VT_QEpOnH6c","https://www.guidestar.org/organizations/91-6066667/point-defiance-zoological-society.aspx",,,,,
"Wilderness Awareness School",,"22-3190778","9518","https://www.wildernessawareness.org","Our mission is to help youth and adults cultivate healthy relationships with nature, community and self. We offer a variety of programs for youth ages 4 to 18 and adults.","Environment",,"Health (General)",,"https://www.guidestar.org/profile/22-3190778",,,"Returning","No",,,"https://www.guidestar.org/profile/22-3190778",,,"Children & Youth",,
"PAWS of Bainbridge Island and North Kitsap",,"91-0952064","9287","https://www.pawsbink.org/index.php","Helping local pets and their people build lasting, loving relationships through adoption, vet assistance, and other pet retention and education programs.","Animals","Community Development","Environment","https://www.charitynavigator.org/index.cfm?keyword_list=91-0952064&bay=search.results","https://www.guidestar.org/profile/910952064","https://www.give.org/search/?term=Progressive+Animal+Welfare+Society+PAWS+of+Bainbridge+Island&tobid=",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?keyword_list=91-0952064&bay=search.results","https://www.guidestar.org/profile/910952064","https://www.give.org/search/?term=Progressive+Animal+Welfare+Society+PAWS+of+Bainbridge+Island&tobid=",,"Economically Disadvantaged People",,
"Breast Cancer Research Foundation, Inc","28 W 44th St Ste 609
New York, NY 10036
(40.755417, -73.981487)","13-3727250","4158","https://www.bcrf.org","The mission of the Breast Cancer Research Foundation is to prevent and cure breast cancer by advancing the world's most promising research.","Disease, Disorders, & Medical Research",,"Health (General)",,"https://www.guidestar.org/profile/13-3727250",,,"Returning","No",,,"https://www.guidestar.org/profile/13-3727250",,,"Women & Girls",,
"Alpha One Foundation","3300 Ponce de Leon Blvd
Coral Gables, FL 33134
(25.741076, -80.258436)","65-0585415","4156","https://www.alpha1.org","The Alpha-1 Foundation is committed to finding a cure for Alpha-1 Antitrypsin Deficiency and to improving the lives of people affected by Alpha-1 worldwide.","Disease, Disorders, & Medical Research","Community Development","Health (General)",,"https://www.guidestar.org/profile/65-0585415",,,"Returning","No",,,"https://www.guidestar.org/profile/65-0585415",,,"Children & Youth","Women & Girls","People With Disabilities"
"ALS Association","1300 Wilson Blvd Ste 600
Arlington, VA 22209
(38.894784, -77.072775)","13-3271855","4086","https://www.alsa.org","The ALS Association leads the fight against Lou Gehrig's Disease through research, advocacy and compassionate care and support of people with ALS and their families.","Disease, Disorders, & Medical Research","Community Development","Health (General)",,"https://www.guidestar.org/profile/13-3271855",,,"Returning","No",,,"https://www.guidestar.org/profile/13-3271855",,,"People With Disabilities","Economically Disadvantaged People","Women & Girls"
"Blind Vietnamese Children Foundation",,"91-2055728","2744","https://www.bvcf.net","For over a decade, we have pioneered support for homes providing healthcare, education, and career development to once-neglected visually impaired children in Vietnam.","Health (General)",,"Youth Development",,,,,"Returning","No",,,,,,,,
"City Fruit","3417 Evanston Ave N Ste 210
Seattle, WA 98103
(47.650515, -122.35132)","80-0579830","9855","https://www.cityfruit.org","We protect & promote Seattle's incredible urban fruit tree canopy. Each year we harvest tens of thousands of pounds of fruit, sharing it with community partners.","Food & Hunger","Community Development","Environment","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=800579830","https://www.guidestar.org/profile/80-0579830","https://www.bbb.org/charity-reviews/greatwestpacific/city-fruit-in-seattle-wa-1000051263",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=800579830","https://www.guidestar.org/profile/80-0579830","https://www.bbb.org/charity-reviews/greatwestpacific/city-fruit-in-seattle-wa-1000051263",,"Economically Disadvantaged People","Children & Youth",
"American Bible Society","101 N Independence Mall E 8th Fl
Philadelphia, PA 19106
(39.952581, -75.148487)","13-1623885","4087","https://www.americanbible.org","Making the Bible available to everyone in a language and format they can understand and afford, so they may experience its life-changing message.","Spiritual Development","Youth Development","International Relief & Development",,"https://www.guidestar.org/profile/13-1623885",,,"Number change","No",,,"https://www.guidestar.org/profile/13-1623885",,,"Children & Youth","Immigrants, Migrants, Refugees","Women & Girls"
"Pratt Fine Arts Center","1902 S Main St
Seattle, WA 98144
(47.59997, -122.30763)","91-1186639","9677","https://www.pratt.org/","Pratt creates opportunities for everyone to learn, make, and experience the visual arts through classes, studio access, and free public programs.","Arts, Culture, & Humanities",,"Education & Literacy",,"https://www.guidestar.org/profile/91-1186639",,,"Returning","Yes",,,"https://www.guidestar.org/profile/91-1186639",,,"Children & Youth",,
"Bread and Water for Africa, Inc.","8301 Richmond Highway Ste 300
Alexandria, VA 22309
(38.73289, -77.100633)","54-1884520","2789","https://www.african-relief.org","Grassroots health, clean water, education, orphanages, vocational training, agriculture, and micro-credit programs focusing on women and children.","Food & Hunger",,,,,,,"Returning","No",,,,,,,,
"North Olympic Land Trust","602 E Front St
Port Angeles, WA 98362
(48.116019, -123.42319)","91-1500378","10970","https://www.northolympiclandtrust.org","An accredited land trust conserving economically and ecologically vital lands that sustain the communities of the Olympic Peninsula in Washington State.","Environment",,,"https://www.charitynavigator.org/ein/911500378","https://www.guidestar.org/profile/91-1500378",,,"Number Change","No",,"https://www.charitynavigator.org/ein/911500378","https://www.guidestar.org/profile/91-1500378",,,,,
"Colorectal Cancer Alliance","1025 Vermont Ave NW Ste 1066
Washington, DC 20005
(38.903398, -77.033271)","86-0947831","4068","https://www.ccalliance.org","Our mission is to knock colon cancer out of the top three cancer killers. We do this by championing prevention, funding research & providing support.","Health (General)","Community Development","Disease, Disorders, & Medical Research",,"https://www.guidestar.org/profile/86-0947831",,,"Returning","No",,,"https://www.guidestar.org/profile/86-0947831",,,"Seniors","Women & Girls",
"American Indian Youth Running Strong","8301 Richmond Highway Ste 200
Alexandria, VA 22309
(38.73289, -77.100633)","54-1594578","2786","https://www.indian-youth.org","Providing relief, development to Indian Reservations. Teaching traditional life skills, healthy lifestyles, respect for Mother Earth.","Youth Development",,,,,,,"Returning","No",,,,,,,,
"Justice and Soul Foundation","19240 Aurora Ave N Ste A
Shoreline, WA 98133
(47.768382, -122.345851)","45-2595615","9942","https://www.justiceandsoul.org","Justice and Soul empowers sex-trafficked and at-risk young people to become confident and self-sufficient individuals through professional training in cosmetology.","Education & Literacy",,"International Relief & Development","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=452595615","https://www.guidestar.org/profile/45-2595615",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=452595615","https://www.guidestar.org/profile/45-2595615",,,"Economically Disadvantaged People","Women & Girls",
"Camano Animal Shelter Association",,"91-1913293","9914","https://www.camanoanimalshelter.org","We are a no-kill animal shelter caring for over 600 lost, abandoned & surrendered cats and dogs per year. We strive to provide quality care & service to animals and people.","Animals","Education & Literacy","Community Development",,"https://www.guidestar.org/profile/91-1913293",,,"Returning","No",,,"https://www.guidestar.org/profile/91-1913293",,,,,
"MultiCare Behavioral Health Foundation",,"91-1514257","8504","https://give.multicare.org/our-foundations/multicare-behavioral-health-foundation/","Community mental health agency providing support services to help low-income children, teens and adults with emotional and mental health issues.","Mental Health, Disabilities, & Substance Abuse","Mental Health, Disabilities, & Substance Abuse","Health (General)","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910848698","https://www.guidestar.org/profile/91-0848698","https://www.bbb.org/western-washington/charity-reviews/charity-health/navos-in-seattle-wa-22212563",,"Number change","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910848698","https://www.guidestar.org/profile/91-0848698","https://www.bbb.org/western-washington/charity-reviews/charity-health/navos-in-seattle-wa-22212563",,"Children & Youth","Economically Disadvantaged People","Seniors"
"Conquering CHD Washington",,"46-3576700","10003","https://www.conqueringchd.org/washington/","We exist to conquer the most common birth defect. We create visibility and empower all impacted by CHD. We accomplish this through awareness, knowledge, community, and research.","Health (General)","Mental Health, Disabilities, & Substance Abuse","Disease, Disorders, & Medical Research",,,,,"New","No",,,,,,"Children & Youth","People With Disabilities","Women & Girls"
"African Wildlife Foundation","1400 16th St NW Ste 120
Washington, DC 20036
(38.909145, -77.036526)","52-0781390","2506","https://www.awf.org","Protects imperiled species through habitat conservation, science, leadership training and wildlife-friendly community-beneficial business development.","Environment",,"Animals",,,,,"Returning","No",,,,,,,,
"Blood Cancer Research Foundation","180 N Michigan Ave Ste 1870
Chicago, IL 60601
(41.885151, -87.624569)","36-4330967","2753","https://www.mpnresearchfoundation.org","Blood cancers strike people from all walks of life. Fighting blood cancer requires focused scientific research. Founded by patients for patients looking for a cure.","Health (General)",,,,,,,"Returning","No",,,,,,,,
"Eluna",,"91-2065051","9693","https://www.elunanetwork.org","Our mission is to support children and families impacted by grief or addiction through our innovative programs: Camp Erin, Camp Mariposa and the Eluna Resource Center.","Health (General)","Youth Development","Mental Health, Disabilities, & Substance Abuse","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9204","https://www.guidestar.org/profile/91-2065051",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9204","https://www.guidestar.org/profile/91-2065051",,,"Children & Youth","Economically Disadvantaged People",
"New Beginnings",,"91-1005916","9365","https://www.newbegin.org","Founded in 1976, we work to end domestic violence and offer a full range of services for survivors and their families, as well as outreach and training to the community.","Health (General)",,,,"https://www.guidestar.org/profile/91-1005916",,,"Returning","No",,,"https://www.guidestar.org/profile/91-1005916",,,"Women & Girls","Children & Youth",
"Kitsap Mental Health Services","5455 Almira Dr NE
Bremerton, WA 98311
(47.61191, -122.623477)","91-1020106","10907","https://www.kitsapmentalhealth.org","Kitsap Mental Health Services provides recovery-based behavioral healthcare for people of all ages. Services are each designed to best support an individual's recovery.","Mental Health, Disabilities, & Substance Abuse",,,,,,,"Number Change","No",,,,,,,,
"Khmer Community of Seattle King County",,"91-1577475","10853","https://kcskc.org","The mission of KCSKC is to nurture the Khmer community by bridging the intergenerational gap between elders and youth, through cultural preservation and promoting well-being.","Community Development",,,"https://www.charitynavigator.org/ein/911577475","https://www.guidestar.org/profile/91-1577475",,,"Number Change","Yes",,"https://www.charitynavigator.org/ein/911577475","https://www.guidestar.org/profile/91-1577475",,,"Asian, Asian American","Children & Youth","Seniors"
"Vashon Partners in Education","17317 107th Ave SW
Vashon, WA 98070
(47.449471, -122.471133)","94-3069862","9136","https://www.vashonpie.org","Funding of creative and innovative grants for the Vashon Island Public Schools that provide activities and materials not addressed by the existing school budget.","Education & Literacy",,"Arts, Culture, & Humanities",,,,,"Returning","No",,,,,,"Children & Youth",,
"Partners In Health","800 Boylston St Ste 300
Boston, MA 2199
(42.348899, -71.081821)","04-3567502","3530","https://www.pih.org","Our mission is to provide a preferential option for the poor in health care.","International Relief & Development","Community Development","Health (General)","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4884","https://www.guidestar.org/profile/04-3567502",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4884","https://www.guidestar.org/profile/04-3567502",,,"Economically Disadvantaged People","Immigrants, Migrants, Refugees","Women & Girls"
