Organization Name,Location,Category,Tax Identification Number,Short Description,Category 2,Category 3,City Kc Area,Zip Codes,2017 Census Tracts WA State
Good Samaritan Foundation,,Health (General),91-1514257,"We help those in need from birth to the end of life. Supporting programs, life-saving treatments and equipment creating an environment of healing.","Mental Health, Disabilities, & Substance Abuse","Disease, Disorders, & Medical Research",,,
Goodwin Connections,"1631 15th Ave W Ste 116
Seattle, WA 98119
(47.634851, -122.376194)",Education & Literacy,91-0619698,Connecting families to educational opportunities that build financial stability and create generational change. #childcare #preK #studentparents #highereducation #brighterfutures,,,101,19575,383
Grameen Foundation,"1400 K St NW Ste 550
Washington, DC 20005
(38.90241, -77.03241)",International Relief & Development,73-1502797,We leverage people plus technology to create and deliver tools for self-empowerment.,Food & Hunger,Community Development,,25078,
Greater Maple Valley Community Center,"22010 SE 248th St
Maple Valley, WA 98038
(47.37969, -122.040302)","Mental Health, Disabilities, & Substance Abuse",51-0181410,"Our multigenerational programming focuses on our ""Four Pillars of Service:"" Prevention, Health & Wellness, Community, and our Cold Weather Emergency Warming Center.",,,86,17790,870
Great Peninsula Conservancy,"421 Pacific Ave Ste 401
Bremerton, WA 98337
(47.566155, -122.626907)",Environment,91-1110978,"Create parks and trails, voluntarily protect habitat and open space: a member-supported land trust serving Kitsap, west Pierce, north Mason Counties.",,,,11466,533
"Green Corps, Inc.","44 Winter St 4th Fl
Boston, MA 02108
(42.356067, -71.061857)",Environment,23-2687791,"Training a new generation of environmental leaders by working in communities with local groups to preserve forests, clean up our air and promote cleaner energy.",,,,9660,
Greenpeace Fund,"702 H St NW
Washington, DC 20001
(38.899821, -77.022149)",Environment,95-3313195,Independent campaigning organization using research and public education to expose global environmental problems and promotes solutions essential to a green and peaceful future.,,,,24704,
"Greyhound Pets, Inc.",,Animals,82-0434711,"GPI is dedicated to the welfare of greyhounds & sighthound mixes, serving the Pacific Northwest and Southwestern Canada. We find responsible, loving homes for the dogs in our care.",,,,,
Groundswell NW,,Environment,91-1593135,"Groundswell NW is an all volunteer organization with the mission to “Empower NW Seattle to create, activate and care for parks, open space and habitat.”",,,,,
"GROW, formerly P-Patch Trust",,Community Development,91-1091819,"We help manage and fund community gardens, urban farms and green spaces for growing, sharing and preparing food. We donate food to area food banks.",Environment,Social & Economic Justice,,,
GSBA Scholarship Fund,"400 E Pine St Ste 322
Seattle, WA 98122
(47.615229, -122.326455)",Education & Literacy,94-3138514,To invest in the education of a diverse group of LGBTQA students who have the capacity and vision to be the next generation of leaders working to create a better world for all.,Social & Economic Justice,,101,19578,784
"Guide Dogs for the Blind, Inc.",,Animals,94-1196195,"Providing safety, independence and companionship to the blind and visually impaired by partnering them with exceptional guide dogs throughout their lifetime.","Mental Health, Disabilities, & Substance Abuse",,,,
Gurlz on the Move & All the Kingz Men,"7100 Fort Dent Way #100
Tukwila, WA 98188
(47.46783, -122.245955)",Education & Literacy,39-2068784,"Our programs focus to enhance underserved youth’s literacy by increasing computer access, social & life-skills, and heighten self-esteem through mentoring and real-world workshops.",Community Development,"Arts, Culture, & Humanities",93,18231,453
Habitat for Humanity,"270 Peachtree St
Atlanta, GA 30303
(33.761885, -84.387524)",Housing & Employment,46-0781264,"Help achieve our vision: a world where everyone has a decent place to live. God's love in action: bringing people together, building homes, communities, hope.",,,,5420,
Habitat for Humanity of Kitsap County,"3581 Wheaton Way
Bremerton, WA 98310
(47.597731, -122.629454)",Housing & Employment,91-1981992,"Our mission is to eliminate poverty housing in Kitsap County. We help low-income families build simple, energy efficient, affordable homes. Will you join us in this mission?",Social & Economic Justice,,,10798,55
Habitat for Humanity Seattle-King County,"560 Naches Ave SW Ste 110
Renton, WA 98057
(47.474596, -122.234134)",Housing & Employment,91-1342397,"We are a community based low-income housing developer that builds houses affordably, using primarily volunteer labor, and sells them at cost to working families in King County.",Community Development,Environment,100,17811,453
Habitat For Humanity Spokane,,Housing & Employment,94-3066722,"More hardworking families have less to turn to. We provide hope, stability, and homeownership of simple affordable homes to those in need.",,,,,
Hagar USA Inc.,"1609 E 5th St
Charlotte, NC 28204
(35.214352, -80.824672)","Mental Health, Disabilities, & Substance Abuse",20-1507669,"Hagar is dedicated to the recovery of women & children who have endured extreme human rights abuses; human trafficking, gender-based violence, & sexual exploitation.",Social & Economic Justice,Community Development,,14245,
Hamlin Robinson School,,Education & Literacy,91-1344121,Our mission is to ignite the academic and creative potential of students with dyslexia and other language-based learning differences.,Youth Development,,,,
Hawk Watch International,"2240 S 900 East
Salt Lake City, UT 84106
(40.722456, -111.865373)",Environment,85-0358519,"Conserve our environment through education, long-term monitoring, and scientific research on raptors.",Animals,,,11577,
Health Volunteers Overseas,"1900 L St NW Ste 310
Washington, DC 20036
(38.903724, -77.043904)",International Relief & Development,52-1485477,"We envision a world where all people have access to quality health care, working to achieve health for all by educating & supporting health workers.",Health (General),"Disease, Disorders, & Medical Research",,25079,
"Hearing, Speech & Deaf Center (HSDC)","1625 19th Ave
Seattle, WA 98122
(47.615617, -122.307456)","Mental Health, Disabilities, & Substance Abuse",91-0681207,"We empower people who are deaf, hard of hearing, or have speech differences through advocacy, early education, audiology, speech therapy, and ASL interpreting.",Education & Literacy,Health (General),101,19578,12
Heartbeat Serving Wounded Warriors,,Emergency & Disaster Services,03-0547294,"Our mission is to provide emergency assistance, morale building programs and innovative therapeutic services for Wounded Warriors and their families.","Mental Health, Disabilities, & Substance Abuse",,,,
Heifer International,"1 World Ave
Little Rock, AR 72202
(34.743463, -92.256613)",International Relief & Development,35-1019477,Working alongside communities providing livestock and training in sustainable agricultural practices to create favorable opportunity for families.,Food & Hunger,Community Development,,16368,
Helen Keller International,,International Relief & Development,13-5562162,"Saves the sight and lives of the vulnerable and disadvantaged; combats the causes and consequences of blindness, poor health and malnutrition.","Disease, Disorders, & Medical Research",Health (General),,,
Helping Hand House,"4321 2nd St SW
Puyallup, WA 98373
(47.150451, -122.294283)",Housing & Employment,91-1275046,"Helping Hand House provides emergency shelter & housing solutions for families in our community, ending their crisis of homelessness.",,,,12219,973
Helping Hands Ministries International,"19213 Bothell Everett Hwy
Bothell, WA 98012
(47.822896, -122.207419)",Community Development,91-1569204,"We at Helping Hands strive to help underserved people locally, in Peru, and worldwide. Our goal is to provide opportunities and services for those in need.",International Relief & Development,Poverty Relief,,32445,1010
Helping Link/Một Dấu Nối,"1032 S Jackson St #C
Seattle, WA 98104
(47.599204, -122.318161)",Education & Literacy,20-1988027,"To empower refugees, immigrants, and Vietnamese American families to achieve personal and family acculturation and self-sufficiency.",Social & Economic Justice,Community Development,101,18379,15
Helpline House,"282 Knechtel Way NE
Bainbridge Island, WA 98110
(47.630321, -122.519073)","Mental Health, Disabilities, & Substance Abuse",91-0902503,"Umbrella of social services: professional crisis intervention, assessment, case management, resource referral, advocacy, counseling, food bank, medical equipment loans.",Food & Hunger,Emergency & Disaster Services,,18788,558
Henry M. Jackson Foundation,"1200 5th Ave Ste 1450
Seattle, WA 98101
(47.608286, -122.333389)",Environment,52-1313011,The Henry M. Jackson Foundation seeks to make a lasting impact and perpetuate the Jackson legacy for the benefit of future generations.,Legal Advocacy,Social & Economic Justice,101,18081,399
Hepatitis Education Project,"1621 S Jackson St Ste 201
Seattle, WA 98144
(47.599232, -122.31058)","Mental Health, Disabilities, & Substance Abuse",91-1658691,The Hepatitis Education Project is committed to improving health of underserved communities disproportionately impacted by viral hepatitis.,Health (General),,101,17919,13
HERO House NW,"12838 SE 40th Pl
Bellevue, WA 98006
(47.573283, -122.167731)","Mental Health, Disabilities, & Substance Abuse",01-0925282,"We offer people living with mental illness opportunities for friendship, employment, housing, education and access to needed services in a single caring and safe environment.",Housing & Employment,Health (General),6,31852,427
HIAS,"1300 Spring St Ste 500
Silver Spring, MD 20910
(38.998982, -77.032488)",International Relief & Development,13-5633307,"For almost 140 years, this organization has been helping refugees rebuild their lives in safety and freedom.",Social & Economic Justice,Community Development,,2324,
Highland Park Improvement Club,"1116 SW Holden St
Seattle, WA 98106
(47.534041, -122.350168)","Arts, Culture, & Humanities",91-6061434,"Our mission: to enhance the quality of life in the neighborhood by providing a gathering place, hosting neighborhood programs and sustaining a platform for community engagement.",Community Development,Social & Economic Justice,101,18385,799
Highline Schools Foundation,"15675 Ambaum Blvd SW
Burien, WA 98166
(47.462765, -122.337299)",Education & Literacy,91-2020506,We unite community support for innovative and equitable learning across Highline Public Schools.,Food & Hunger,,8,18226,29
Hilltop Artists,,"Arts, Culture, & Humanities",91-1667476,"We use glass art to connect young people from diverse cultural and economic backgrounds to better futures through art instruction, wraparound services, and mentoring to 650 youth.",Social & Economic Justice,,,,
Historic Seattle Preservation Foundation,"1117 Minor Ave
Seattle, WA 98101
(47.611019, -122.325175)",Community Development,91-1729777,Saving meaningful places to foster lively communities.,"Arts, Culture, & Humanities",Social & Economic Justice,101,18081,1113
Hitching Rail Wellness Center & Retreat,"10334 151st Ave SE
Renton, WA 98059
(47.509673, -122.139758)","Mental Health, Disabilities, & Substance Abuse",81-1749620,Our goal is to provide a center which utilizes horses as a curative tool for helping the recovery of military veterans and first responders who are suffering from P.T.S.D.,Health (General),Animals,61,18063,837
Holly Ridge Center,"5112 NW Taylor Rd
Bremerton, WA 98312
(47.587445, -122.718704)","Mental Health, Disabilities, & Substance Abuse",91-0757541,"0 to 3 Early Intervention Neurodevelopmental Center and Adult Employment Services Program, ensures all people live to their fullest potential.",Education & Literacy,,,10803,895
Holocaust Center for Humanity,"2045 Second Ave
Seattle, WA 98121
(47.61206, -122.342377)",Education & Literacy,91-1464233,"We teach the lessons of the Holocaust, inspiring students of all ages to confront bigotry and indifference, promote human dignity, and take action.","Arts, Culture, & Humanities",,101,19576,783
Holt International,,International Relief & Development,23-7257390,"We support vulnerable children and families in 15 countries through family strengthening services, orphan care, foster care, intercountry and international adoption.",,,,,
Homage Senior Services (formerly Senior Services of Snohomish County),"5026 196th St SW
Lynnwood, WA 98036
(47.821064, -122.30143)",Food & Hunger,91-0910680,"Dedicated to serving our most vulnerable neighbors by promoting independence, preserving dignity, and enhancing the quality of life for older adults and people with disabilities.",Health (General),,,17787,449
Home School Legal Defense Association,"1 Patrick Henry Cir
Purcellville, VA 20132
(39.140365, -77.690539)",Education & Literacy,52-1354365,"Financial assistance and curriculum relief to struggling home school families. We invest in widows, single parents, special needs children, and military families.",Community Development,Spiritual Development,,1205,
HomeSight,"5117 Rainier Ave S
Seattle, WA 98118
(47.555964, -122.283568)",Housing & Employment,94-3117253,"Revitalizes communities through housing development, homebuyer education, down payment assistance, and community building and organizing.",Community Development,,101,18800,124
Homestead Community Land Trust,"412 Maynard Ave S Ste 201
Seattle, WA 98104
(47.598789, -122.325085)",Housing & Employment,91-1565651,"Homestead Community Land Trust creates stability, equity and opportunity for low-income people through the opportunity to buy their own home.",Social & Economic Justice,Community Development,101,18379,15
Homeward Pet Adoption Center,"13132 NE 177th Pl
Woodinville, WA 98072
(47.755969, -122.163733)",Animals,91-1526803,"Our mission is to transform lives of cats & dogs in need through compassionate medical care, positive behavior training & successful adoption & building a more humane community.",,,94,18071,1278
HOPE Animal-Assisted Crisis Response,"1292 High St #182
Eugene, OR 97401
(44.045833, -123.088157)",Emergency & Disaster Services,93-1330180,Our mission is to provide comfort and encouragement through animal-assisted support to individuals affected by crises and disasters.,Animals,"Mental Health, Disabilities, & Substance Abuse",,30452,
H.O.P.E. Center Resources,,Human & Civil Rights,83-4693739,"We Inspire Hope, by providing the necessary resources to homeless, low-income and youth without an address.",Community Development,Emergency & Disaster Services,,,
Hope for Haiti,"1021 5th Ave N
Naples, FL 34012
(26.153108, -81.794142)",International Relief & Development,59-3564329,"Programs since 1989, the organization works to improve the quality of life for the Haitian people, particularly children.",Education & Literacy,Community Development,,4427,
Hopelink,,Food & Hunger,91-0982116,"People seek services when they have no food, they face homelessness or their power will be turned off - they are unable to support their families.",,,,,
HopeSparks Family Services,"6424 N 9th St
Tacoma, WA 98406
(47.257953, -122.523792)","Mental Health, Disabilities, & Substance Abuse",91-0598103,"We envision a world where all children & families are safe, secure, & stable. Our mission is to strengthen families by inspiring courage & confidence to make a lasting change.",Education & Literacy,,,12605,358
Hospice Foundation of America,"1707 L St NW
Washington, DC 20036
(38.90374, -77.03908)",Health (General),59-2219888,Supporting individuals through life-ending illness & assisting caregivers with grief & loss. We emphasize hospice & palliative care while providing public & professional education.,,,,4499,
Hospitality House,"1419 SW 150 St
Burien, WA 98121
(47.46852, -122.354285)",Housing & Employment,91-2006859,"Hospitality House, a shelter for homeless women now in its sixteenth year, seeks to help homeless women find home, health and hope.",Food & Hunger,,8,18226,29
Housing Development Consortium of Seattle-King County (HDC),"1326 Fifth Ave Ste 230
Seattle, WA 98101
(47.609323, -122.334326)",Housing & Employment,94-3073588,"Through education, advocacy and leadership, HDC supports and inspires its members as they work collaboratively to meet housing needs of limited-income people in King County.",Social & Economic Justice,Community Development,101,18081,399
Housing Hope,"5830 Evergreen Way
Everett, WA 98203
(47.944871, -122.216527)",Housing & Employment,94-3060709,Offers homeless/low-income families housing with services assisting families to escape poverty. Our education/employment and childcare support families to achieve self-sufficiency.,,,,18239,190
Hugo House,"1634 11th Ave
Seattle, WA 98122
(47.616112, -122.318169)","Arts, Culture, & Humanities",91-1718383,"Hugo House is a place to read words, hear words, and make your own words better by opening the literary world to everyone who loves books or has a drive to write.",Education & Literacy,Community Development,101,19578,781
Humane Society for Tacoma & Pierce County,"2608 Center St
Tacoma, WA 98409
(47.234233, -122.471413)",Animals,91-0577128,"Cares for nearly 10,000 animals every year, reunites lost pets with owners, finds loving homes for shelter pets, offers low-cost spay/neuter & other programs to support pets.",,,,13241,1210
Humane Society International,"1255 23rd St NW Ste 450
Washington, DC 20037
(38.906272, -77.050108)",Animals,52-1769464,"Global animal welfare organization working to end animal abuse from dog meat farms, wildlife threats, street dog welfare programs, factory farming and more.",Emergency & Disaster Services,,,4500,
Humanities Washington,"130 Nickerson St Ste 304
Seattle, WA 98109
(47.648909, -122.355838)","Arts, Culture, & Humanities",51-0191115,Opening minds and bridging divides by creating spaces for people to come together to explore and consider what it means to be human.,Education & Literacy,Community Development,101,18390,1263
Humanity & Inclusion,"8757 Georgia Ave Ste 420
Silver Spring, MD 20910
(38.998509, -77.030684)",International Relief & Development,55-0914744,"Support persons with disabilities and vulnerable groups in situations of conflict, natural disaster, and poverty in 60 countries.",Human & Civil Rights,Health (General),,2324,
Human Rights Campaign Foundation,"1640 Rhode Island Ave NW
Washington, DC 20036
(38.906603, -77.038349)",Human & Civil Rights,52-1481896,"Provides resources to educate & foster sound public policy to end discrimination against lesbian, gay, bisexual, transgender and queer Americans.",Community Development,,,4499,
Human Rights Watch,"350 Fifth Ave 34th Fl
New York, NY 10118
(40.748082, -73.984819)",International Relief & Development,13-2875808,"Defend the rights of people by investigating abuses, expose the facts widely, and pressure those with power to respect rights and secure justice.",Social & Economic Justice,Community Development,,12078,
Hunger Intervention Program,"3841 NE 123rd St
Seattle, WA 98125
(47.717343, -122.286133)",Food & Hunger,26-3716527,"Increase food security for underserved populations in north King County through nutritious meals, educational programs, and advocacy.",,,101,19579,322
Huntington’s Disease Society of America,"505 Eighth Ave Ste 902
New York, NY 10018
(40.753009, -73.992878)",Education & Literacy,13-3349872,"HDSA is dedicated to improving the lives of people with Huntington's disease & their families through support of research, providing information and resources and education.",Health (General),"Disease, Disorders, & Medical Research",,12080,
IDIC Filipino Senior & Family Services,"7301 Beacon Ave S
Seattle, WA 98108
(47.536597, -122.292988)",Food & Hunger,91-0902978,"We are a Filipino nonprofit organization that provides advocacy in healthcare and social services to elderly, immigrant and vulnerable families.",,,101,18388,797
Imagine Children's Museum,"1502 Wall St
Everett, WA 98201
(47.977829, -122.209568)",Education & Literacy,94-3153591,"A leader in playful learning, helping children (ages 1 - 12) and families to thrive. We strengthen the community through exhibits and programs.","Arts, Culture, & Humanities",,,18238,1152
Imagine Housing,"10604 NE 38th Pl Ste 215
Kirkland, WA 98033
(47.644646, -122.199351)",Housing & Employment,94-3110312,"We empower individuals and families, support diversity and strengthen communities by developing permanent affordable rental housing and providing supportive services.",Community Development,,77,17373,237
Immanuel Community Services Food Bank,"1215 Thomas St
Seattle, WA 98109
(47.620821, -122.33255)",Food & Hunger,26-0881300,"Provides healthy food via weekly food bank & home delivery; hot meals at emergency shelter, hygiene center & community lunch program; other services for homeless & hungry.",Emergency & Disaster Services,Housing & Employment,101,18390,397
Ingersoll Gender Center,"911 E Pike St 333
Seattle, WA 98122
(47.614084, -122.320028)",Social & Economic Justice,91-1262502,"Founded in 1977, Ingersoll is an organization by & for transgender & gender nonconforming people building community, connecting folks to resources & advocating for our communities.",Housing & Employment,Health (General),101,19578,781
Innovations Human Trafficking Collaborative,"3545 7th Ave SW Ste #305
Olympia, WA 98502
(47.041873, -122.956598)",Housing & Employment,81-4680515,"Indigenous survivor-led org engaging stakeholders in innovative solutions to eliminate human trafficking & empowering survivors to heal & build self-sufficient, affirming lives.",Health (General),Food & Hunger,,5278,239
Interfaith Association of NW Washington,,Housing & Employment,91-1340220,Uniting in service to assist families with children who are experiencing homelessness.,Emergency & Disaster Services,,,,
InterIm CDA,"310 Maynard Ave S
Seattle, WA 98104
(47.599686, -122.325072)",Community Development,91-1071277,"We promote resiliency in Asian, Pacific Islander, immigrant, and refugee communities through culturally and linguistically responsive community building programs.",Housing & Employment,Social & Economic Justice,101,18379,786
International Center for Research on Women (ICRW),"1120 20th St NW Ste 500N
Washington, DC 20036
(38.904501, -77.044901)",International Relief & Development,52-1081455,"Anchored in the principle of human dignity, ICRW advances gender equity, social inclusion and shared prosperity.",Human & Civil Rights,Community Development,,4499,
International Community Health Services,"720 8th Ave S
Seattle, WA 98104
(47.596498, -122.322481)",Health (General),91-0947084,Provides culturally and linguistically appropriate health services to improve the health of Asian Pacific Islanders and the broader community.,,,101,18379,15
International Medical Corps,"12400 Wilshire Blvd Ste 1500
Los Angeles, CA 90025
(34.041973, -118.47014)",International Relief & Development,95-3949646,Building self-reliance by providing vital medical care; training healthcare providers; rebuilding clinics; and improving water & sanitation.,Community Development,Health (General),,23680,
International Orthodox Christian Charities,"110 West Rd Ste 360
Baltimore, MD 21204
(39.410678, -76.615443)",International Relief & Development,25-1679348,Provides humanitarian/development assistance to people who have been devastated by manmade and natural disasters.,Community Development,Emergency & Disaster Services,,13647,
"International Planned Parenthood Federation, Western Hemisphere Region","125 Maiden Ln Fl 9
New York, NY 10038
(40.706465, -74.006436)",Health (General),13-1845455,"Providing access to sexual and reproductive health information and services for all, especially the poor and marginalized.",Human & Civil Rights,,,13096,
International Relief Teams,"4560 Alvarado Canyon Rd Ste 1H
San Diego, CA 92120
(32.780255, -117.096113)",International Relief & Development,33-0412751,"Alleviates human suffering by providing health services and other assistance to victims of disaster, poverty and neglect.",Housing & Employment,Health (General),,30726,
"International Rescue Committee, Inc.","122 E 42nd St 12th Fl
New York, NY 10168
(40.75157, -73.976348)",International Relief & Development,13-5660870,"Responding to the world’s worst humanitarian crises, helping people to survive, recover and gain control of their future.",Health (General),Community Development,,10355,
International Rescue Committee - Seattle,"1200 S 192nd St Ste 101
SeaTac, WA 98148
(47.431178, -122.31939)",International Relief & Development,13-5660870,"We empower individuals and families, support diversity and strengthen communities by developing permanent affordable rental housing and providing supportive services.",Emergency & Disaster Services,Housing & Employment,92,17922,309
"Iraq and Afghanistan Veterans of America, Inc.","114 W 41 St 19th Fl
New York, NY 10036
(40.754414, -73.985197)","Mental Health, Disabilities, & Substance Abuse",20-1664531,We improve the lives of Iraq and Afghanistan veterans and their families from their first day home and every day after.,,,,12080,
Islamic Center of Kent,,Spiritual Development,91-1876641,"Organize religious, educational, and social awareness events based on Islamic teachings and traditions. Civil engagement. Food and financial assistance for needy families.",Community Development,Food & Hunger,,,
Islamic Relief USA-IRUSA,"3655 Wheeler Ave
Alexandria, VA 22304
(38.807512, -77.094349)",International Relief & Development,95-4453134,"Provides relief and development regardless of gender, race, or religion, and works to empower individuals in their communities.",Community Development,Poverty Relief,,30806,
Islandwood,"4450 Blakely Ave NE
Bainbridge Island, WA 98110
(47.603857, -122.536107)",Environment,31-1654076,"Immersive programs across the Seattle region to help children, educators, & community members deepen their understanding of the world around them & explore environmental issues.",,,,18788,559
Issaquah Alps Trails Club,,Environment,91-1081852,"The Issaquah Alps Trails Club aims to engage the public to preserve, protect, and promote the land, wildlife, and trails of the Issaquah Alps for present and future generations.",Community Development,Education & Literacy,,,
Issaquah Philharmonic Orchestra,,"Arts, Culture, & Humanities",90-0869589,"Volunteer musicians who give 3 free community concerts yearly, an annual concert in support of the Issaquah Food and Clothing Bank, and sponsor a Young Composer Competition.",,,,,
Ivory Coast Medical Relief Team,"16521 Densmore Ave N
Shoreline, WA 98133
(47.749381, -122.338752)",International Relief & Development,02-0657700,"Provide malaria prevention, education, treatment. Partner with villages to establish a sustainable program: long lasting nets, field test kits, and medication.",Health (General),"Disease, Disorders, & Medical Research",102,19582,127
Izaak Walton League of America,"707 Conservation Ln
Gaithersburg, MD 20878
(39.121213, -77.219744)",Environment,36-1930035,"Our members protect America's outdoors through community-based conservation, education, commonsense public policy, and a commitment to strong outdoor ethics.",,,,32695,
JAARS,,Spiritual Development,56-0818833,500 million people—most in remote and difficult locations—have no Scripture in a language they fully comprehend. We’re here to do something about that.,Community Development,,,,
Jack Straw Cultural Center,"4261 Roosevelt Way NE
Seattle, WA 98105
(47.659301, -122.317759)","Arts, Culture, & Humanities",91-0776606,"The Northwest's only nonprofit multidisciplinary audio arts center, existing to create and preserve culture through sound.",Education & Literacy,,101,18383,270
"Jane Goodall Institute for Wildlife Research, Education, and Conservation","1595 Spring Hill Rd Ste 550
Vienna, VA 22182
(38.926531, -77.245845)",Environment,94-2474731,"Works to create healthy ecosystems, promote sustainable livelihoods and nurture new generations of committed, active citizens around the world.",Animals,,,23028,
JazzClubsNW,"228 W North Bend Way Ste A
North Bend, WA 98045
(47.495741, -121.787468)","Arts, Culture, & Humanities",27-3580808,JazzClubsNW is dedicated to supporting live jazz performance and education in the communities in which we live.,Youth Development,,87,17798,1381
JDRF International,,"Disease, Disorders, & Medical Research",23-1907729,"JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.",Health (General),,,,
"JDRF International, Northwest Chapter, Washington","1215 Fourth Ave Ste 1100
Seattle, WA 98161
(47.607847, -122.334539)","Disease, Disorders, & Medical Research",23-1907729,"JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.",Health (General),,101,18081,399
"JDRF International, Oregon/Southwest Washington Chapter","7000 SW Hampton Rd Ste 101
Portland, OR 97223
(45.427515, -122.74883)","Disease, Disorders, & Medical Research",23-1907729,"JDRF is the leading global organization funding type 1 diabetes (T1D) research. Our mission is to cure, prevent and treat T1D and its complications.",Health (General),,,29645,
Jefferson Land Trust,"1033 Lawrence St
Port Townsend, WA 98368
(48.117103, -122.76138)",Environment,91-1465078,"Helping the community preserve open space, working lands and habitat forever in Jefferson County, Washington.",Animals,Youth Development,,12209,757
Jewish Family Service,"1601 16th Ave
Seattle, WA 98122
(47.615611, -122.311443)",Food & Hunger,91-0565537,"Provides food, housing assistance and other resources to low-income families, individuals, seniors, people with disabilities, and others of all religions and backgrounds.","Mental Health, Disabilities, & Substance Abuse",,101,19578,12
Jewish Federation of Greater Seattle,"Seattle, WA 98121
(47.615293, -122.34619)",Community Development,91-0575950,"Ensuring a vibrant and thriving Jewish community today and far into the future through fostering connections, caring for Jews in need globally, and advocating for Jewish values.",Social & Economic Justice,,101,19576,782
Jojo's Sanctuary,"340 W Wickenburg Way Ste A-67
Wickenburg, AZ 85390
(33.965652, -112.734349)",Community Development,45-3813499,"Educating, Protecting and Empowering vulnerable communities in Thailand to strengthen families and prevent separation and exploitation.","Recreation, Sports, Leisure, & Athletics",Social & Economic Justice,,9726,
Jubilee Women's Center,"620 18th Ave E
Seattle, WA 98112
(47.624603, -122.308686)",Housing & Employment,91-1539920,"Founded in 1983, Jubilee supports women experiencing poverty in Seattle with housing and services to build stable and fulfilling futures, one extraordinary woman at a time.",Social & Economic Justice,,101,18789,117
Juma Ventures,"900 1st Ave S Ste 307
Seattle, WA 98134
(47.594822, -122.334164)",Housing & Employment,94-3203203,"Provides employment, job training and a suite of financial and career supportive services to low-income youth, putting them on a pathway to career and educational success.",,,101,19584,401
Justice and Soul Foundation,"19240 Aurora Ave N Ste A
Shoreline, WA 98133
(47.768382, -122.345851)",Education & Literacy,45-2595615,Justice and Soul empowers sex-trafficked and at-risk young people to become confident and self-sufficient individuals through professional training in cosmetology.,International Relief & Development,,102,19582,1194
JustLead Washington,"101 Yesler Way Ste 300
Seattle, WA 98104
(47.601746, -122.334114)",Social & Economic Justice,81-4817081,JustLead Washington is growing a sustainable network of legal and community leaders who can effectively and collaboratively work toward equity and justice in Washington State.,Legal Advocacy,Education & Literacy,101,18379,399
Kay Yow Cancer Fund,,"Disease, Disorders, & Medical Research",26-1789695,"Kay Yow Cancer Fund is dedicated to supporting innovative ways of fighting ALL cancers affecting women and providing support through giving strength, courage, and hope.",Health (General),Health (General),,,
# KCEGP General Fund #,"401 5th Ave
Seattle, WA 98104
(47.602634, -122.328229)",KCEGP,91-6001327,Money designated to the program general fund is distributed out to all nonprofit organizations that receive donations on a pro-rated basis.,,,101,18379,399
KD Hall Foundation,,Education & Literacy,47-5658785,"Provides opportunities to women and girls for economic advancement, as well as personal and professional development and educational advancement.",Community Development,,,,
Keep A Child Alive,"17 State St Ste 2100
New York, NY 10004
(40.702703, -74.014173)","Disease, Disorders, & Medical Research",73-1682844,"KCA is committed to helping children and young people around the world reach their potential, and live healthier, happier lives.",Food & Hunger,Human & Civil Rights,,11725,
Keiro Northwest/Nikkei Manor,"700 Sixth Ave S
Seattle, WA 98104
(47.596692, -122.326405)",Housing & Employment,51-0172382,We offer assisted living services in the International District with deep cultural overlays of Japanese food and culture.,,,101,18379,15
Kennedy Catholic High School,"140 S 140th St
Burien, WA 98168
(47.477752, -122.330864)",Education & Literacy,91-0815228,"Four-year Archdiocesan co-ed Catholic high school with a mission to graduate leaders following Christ in a school community that is accessible, diverse and committed to students.",Youth Development,Spiritual Development,8,18227,458
Kent Food Bank and Emergency Services,"515 W Harrison St Ste 107
Kent, WA 98032
(47.382145, -122.238694)",Food & Hunger,91-0881434,"Offer basic needs including food, clothing and emergency financial assistance to all individuals and families living within the Kent School District Boundaries.",Emergency & Disaster Services,,76,17370,1375
Kentwood Community PTSA 9.7.120,"25800 164th Ave SE
Covington, WA 98042
(47.370541, -122.122973)",Education & Literacy,91-1504643,"In partnership with Covington Rotary and the Kent School District, KW PTSA assists in providing a weekend food backpack program for Kentwood High School students.",Food & Hunger,,24,17794,874
Kent Youth and Family Services,"232 Second Ave S Ste 201
Kent, WA 98032
(47.380019, -122.234861)",Youth Development,23-7090029,"Mental health, substance abuse treatment for youth; CSEC case management; homelessness prevention; transitional housing for young mothers; ECEAP & Head Start; after school program.","Mental Health, Disabilities, & Substance Abuse",Education & Literacy,76,17370,479
KEXP,"472 1st Ave N
Seattle, WA 98109
(47.623054, -122.355422)","Arts, Culture, & Humanities",91-2061474,"Enriches people's lives by championing music discovery on-air, in the community, and online for listeners worldwide, and provides a connection between artists and music fans.",Youth Development,,101,18390,1450
Khmer Community of Seattle King County,,Community Development,91-1577475,"The mission of KCSKC is to nurture the Khmer community by bridging the intergenerational gap between elders and youth, through cultural preservation and promoting well-being.",,,,,
Kids Co.,"2208 NW Market St Ste 510
Seattle, WA 98107
(47.668702, -122.38532)",Education & Literacy,91-1450148,"This year Kids Co. celebrates 25 years as quality childcare providers. In that time, we have never turned a family away who couldn't afford tuition.",Youth Development,,101,18386,344
