Facility Name,Address,County,City,Zip,Phone,Fax,Facility ID,Operator,Certificate Number,Number of Beds,Assisted Living Program Beds,Assisted Living Residence (ALR) Beds,Enhanced ALR Beds,Special Needs ALR Beds,Type,Classification,Regional Office,Location
"The Eliot at Troy, LLC",2902 Upper Tibbits Avenue,Rensselaer,Troy,12180,5182732040,5182731542,14966,"The Eliot At Troy, Llc",600-F-252,155,95,,,,Adult Home,LLC,Capital District Regional Office,"2902 Upper Tibbits Avenue
Troy, NY 12180
(42.73024, -73.663734)"
The Regency at Glen Cove,94 School Street,Nassau,Glen Cove,11542,5166743007,5166744144,14811,"National Healthplex, Inc.",400-E-290,143,,143,25,35,Adult Home,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,"94 School Street
Glen Cove, NY 11542
(40.867134, -73.630766)"
The Fountains at RiverVue,1 Rivervue Place,Westchester,Tuckahoe,10707,9147686000,9147686020,15125,"The Fountains Operating Company (NY), Inc.",800-F-981,141,,141,141,24,Adult Home,Business Corporation,Metropolitan Area Regional Office - New York City,"1 Rivervue Place
Tuckahoe, NY 10707
(40.95218, -73.827927)"
St. Nicholas Home,437 Ovington Avenue,Kings,Brooklyn,11209,7182388141,7186802035,14739,St. Nicholas Home Inc.,331-E-125,75,,,,,Adult Home,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"437 Ovington Avenue
Brooklyn, NY 11209
(40.633281, -74.022905)"
Shire Senior Living Assisted Living Program,2515 Culver Road,Monroe,Rochester,14609,5854674544,5853382877,14780,Shire Senior Living LLC,370-F-240,200,48,,,,Adult Home,LLC,Western Regional Office - Buffalo,
Palisade Gardens,185 Palisade Avenue,Westchester,Yonkers,10703,9149661300,9144232264,15123,Israel Orzel,800-F-971,106,,,,,Adult Home,Individual,Metropolitan Area Regional Office - New York City,"185 Palisade Avenue
Yonkers, NY 10703
(40.940349, -73.893304)"
Lutheran Home of Central New York,108 Utica Road,Oneida,Clinton,13323,3158535515,3158531977,14874,Lutheran Home of Central NY,510-E-007,68,,,,,Adult Home,Not for Profit Corporation,Central New York Regional Office,"108 Utica Road
Clinton, NY 13323
(43.056798, -75.364774)"
Missionary Sisters of St. Benedict,350 Cuba Hill Road,Suffolk,Huntington,11743,6313689528,6312661015,15023,Missionary Sisters Of St. Benedict,700-E-054,60,,,,,Adult Home,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,"350 Cuba Hill Road
Huntington, NY 11743
(40.846295, -73.336111)"
Judson Meadows,39 Swaggertown Road,Schenectady,Glenville,12302,5188312400,5188312405,15010,"Baptist Health Enriched Housing Program, Inc.",650-S-009,80,10,70,70,,Enriched Housing Program,Not for Profit Corporation,Capital District Regional Office,"39 Swaggertown Road
Glenville, NY 12302
(42.845715, -73.948664)"
The Pavilion at Robinson Terrace,One Buntline Drive,Delaware,Stamford,12167,6076522960,6076522962,14669,"RTACF, LLC",220-F-032,60,39,,,,Adult Home,LLC,Capital District Regional Office,
New Broadview Home for Adults,70 Father Capodanno Boulevard,Richmond,Staten Island,10305,7182738900,7187202415,14973,"The W Group At New Broadview, Llc",610-F-067,200,125,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"70 Father Capodanno Boulevard
Staten Island, NY 10305
(40.594185, -74.062877)"
The Mansion at South Union,11 South Union Street,Washington,Cambridge,12816,5186773711,5186770869,15103,"Icc Management & Consulting, Inc.",760-F-012,44,40,10,,10,Adult Home,Business Corporation,Capital District Regional Office,"11 South Union Street
Cambridge, NY 12816
(43.026405, -73.387127)"
Woodlawn Commons,156 Lawrence Street,Saratoga,Saratoga Springs,12866,5185874100,5185871773,15004,"Woodlawn Apartments, Inc.",640-S-001,42,,42,15,,Enriched Housing Program,Business Corporation,Capital District Regional Office,"156 Lawrence Street
Saratoga Springs, NY 12866
(43.089679, -73.789692)"
Yorktown Assisted Living Residence,2276 Catherine Street,Westchester,Cortlandt Manor,10567,9147372255,9147378822,15122,"Yalr Operating, Llc",800-F-134,85,45,40,,40,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"2276 Catherine Street
Cortlandt Manor, NY 10567
(41.281497, -73.849794)"
Jeffersonville Senior Living,4806 Route 52,Sullivan,Jeffersonville,12748,8454824375,8456275405,15082,"The W Group at Jeffersonville, LLC",710-F-068,49,,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"4806 Route 52
Jeffersonville, NY 12748
(41.78022, -74.92961)"
Fox Run at Orchard Park,One Fox Run Lane,Erie,Orchard Park,14127,7166625001,7166626985,14707,"Orchard Park CCRC, Inc.",240-S-111,52,,52,,18,Enriched Housing Program,Not for Profit Corporation,Western Regional Office - Buffalo,
Rochester Presbyterian Home,256 Thurston Road,Monroe,Rochester,14619,5852359100,5852351315,14764,"Rochester Presbyterian Home, Inc.",370-E-022,102,,102,22,65,Adult Home,Not for Profit Corporation,Western Regional Office - Buffalo,"256 Thurston Road
Rochester, NY 14619
(43.139952, -77.650986)"
Clinton Crest Manor,411 Clinton Street,Yates,Penn Yan,14527,3155368800,3155319088,15149,"Harpending Housing, Inc.",910-E-004,42,,,,,Adult Home,Not for Profit Corporation,Western Regional Office - Buffalo,"411 Clinton Street
Penn Yan, NY 14527
(42.668957, -77.041582)"
The Hearth on James,830 James Street,Onondaga,Syracuse,13203,3154222173,3154267583,14908,"Hearth Management, L.L.C.",520-S-135,60,,,,,Enriched Housing Program,LLC,Central New York Regional Office,"830 James Street
Syracuse, NY 13203
(43.056782, -76.139464)"
White Plains Guest Home for Adults,32 Ridgeview Avenue,Westchester,White Plains,10606,9149498984,9149490802,15112,"Family Services Of Westchester, Inc.",800-E-134,15,,,,,Adult Home,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,
L'Dor,156 West Clarkstown Road,Rockland,New City,10956,8453564108,8453560167,14983,Elliot Markowitz,620-F-076,44,,,,,Adult Home,Individual,Metropolitan Area Regional Office - New York City,
Kendal at Ithaca,2230 North Triphammer Road,Tompkins,Ithaca,14850,6072665300,6072665353,15087,"Kendal at Ithaca, Inc.",730-E-005,36,,36,36,,Adult Home,Not for Profit Corporation,Central New York Regional Office,"2230 North Triphammer Road
Ithaca, NY 14850
(42.475533, -76.481764)"
Heritage Home for Women,1519 Union Street,Schenectady,Schenectady,12309,5183746921,5183701873,15005,Heritage Home For Women,650-E-003,36,,,,,Adult Home,Not for Profit Corporation,Capital District Regional Office,"1519 Union Street
Schenectady, NY 12309
(42.807422, -73.911406)"
Kendal on Hudson,1010 Kendal Way,Westchester,Sleepy Hollow,10591,9149221000,9143329585,15138,Kendal On Hudson,800-S-134,47,,47,47,13,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"1010 Kendal Way
Sleepy Hollow, NY 10591
(41.108947, -73.866585)"
Oceanview Manor Home for Adults,3010 West 33rd Street,Kings,Brooklyn,11224,7189961500,7189469102,14742,"Oceanview Manor Home for Adults, Inc.",331-F-270,176,176,,,,Adult Home,Business Corporation,Metropolitan Area Regional Office - New York City,"3010 West 33rd Street
Brooklyn, NY 11224
(40.572429, -73.999092)"
"Evergreen Place, Enhanced, Assisted Living & Memory Care",90 West Avenue,Monroe,Brockport,14420,5856373140,5856373145,14798,Wegman Family (Brockport) LLC II,370-S-849,114,,114,80,34,Enriched Housing Program,LLC,Western Regional Office - Buffalo,"90 West Avenue
Brockport, NY 14420
(43.22008, -77.941979)"
The Bristal at Massapequa,400 County Line Road,Nassau,Massapequa,11758,5166910706,5166917204,14819,"EB CARE at Massapequa, LLC",400-F-315,84,,,,,Adult Home,LLC,Metropolitan Area Regional Office - Long Island,"400 County Line Road
Massapequa, NY 11758
(40.686036, -73.425797)"
Village Walk A Carlisle Assisted Living Community,131 East Main Street,Suffolk,Patchogue,11772,6315039000,6313174870,15063,"Carlisle Patchogue Operator, Inc",700-F-941,146,,146,146,46,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"131 East Main Street
Patchogue, NY 11772
(40.765771, -73.012009)"
Queens Adult Care Center,80-08 45th Avenue,Queens,Elmhurst,11373,7186391800,7188991917,14947,"Hofgur, LLC",590-F-309,352,200,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"80-08 45th Avenue
Elmhurst, NY 11373
(40.741456, -73.88431)"
The Athenaeum of Skaneateles,150 Genesee Street,Onondaga,Skaneateles,13152,3156851400,3156851407,14894,Peregrine Properties of Skaneateles LLC,520-F-159,16,,,,,Adult Home,LLC,Central New York Regional Office,"150 Genesee Street
Skaneateles, NY 13152
(42.944542, -76.418916)"
Parkview Home for Adults,3200 Bronx Boulevard,Bronx,Bronx,10467,7185479300,7185198378,14615,"Parkview Hfa, Inc.",020-F-131,134,,,,,Adult Home,Business Corporation,Metropolitan Area Regional Office - New York City,"3200 Bronx Boulevard
Bronx, NY 10467
(40.871821, -73.870523)"
Orchard Grove Residences,2000 Southwestern Drive W. E.,Chautauqua,Jamestown,14701,7163381600,7169856690,14650,The Gerry Homes,060-E-040,36,30,,,,Adult Home,Not for Profit Corporation,Western Regional Office - Buffalo,
Kings Adult Care Center,2255 Cropsey Avenue,Kings,Brooklyn,11214,7182665858,7182666406,14747,"Kings Adult Care Center, Llc",331-F-281,200,200,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"2255 Cropsey Avenue
Brooklyn, NY 11214
(40.59579, -73.996888)"
Crimson Ridge Meadows,3 Treeline Drive,Monroe,Rochester,14612,5857209330,5857209331,14776,"Peregrine Properties of Upstate, LLC",370-F-227,52,,,,,Adult Home,LLC,Western Regional Office - Buffalo,"3 Treeline Drive
Rochester, NY 14612
(43.251394, -77.67454)"
The Eliot at New Rochelle,41 Lockwood Ave.,Westchester,New Rochelle,10801,9143039710,9143039715,15117,"The Eliot at New Rochelle, LLC",800-F-011,200,200,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"41 Lockwood Ave.
New Rochelle, NY 10801
(40.914233, -73.786373)"
Grande'Vie Senior Living,2140 Five Mile Line Road,Monroe,Penfield,14526,5207974000,5207977757,14784,"Rochester Operating Company, LLC",370-F-250,178,,178,47,47,Adult Home,LLC,Western Regional Office - Buffalo,"2140 Five Mile Line Road
Penfield, NY 14526
(43.128733, -77.475909)"
The Terraces at Brookmeade,54 Brookmeade Drive,Dutchess,Rhinebeck,12572,8458765522,8458711391,14679,"Brookview, Inc.",230-S-001,29,,29,29,,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,
Keene Valley Neighborhood House,1782 Route 73,Essex,Keene Valley,12943,5185764474,5185762012,14718,"Keene Valley Neighborhood Services, Inc.",260-E-006,50,,50,,,Adult Home,Not for Profit Corporation,Capital District Regional Office,"1782 Route 73
Keene Valley, NY 12943
(44.189592, -73.786474)"
Atria West 86,333 West 86th Street,New York,New York,10024,2127120200,2127120690,14861,"ATR New York LH, Inc.",420-S-389,189,,,,,Enriched Housing Program,Business Corporation,Metropolitan Area Regional Office - New York City,"333 West 86th Street
New York, NY 10024
(40.789507, -73.979341)"
Sedgwick Heights,1100 James Street,Onondaga,Syracuse,13203,3154754388,3154751911,14886,"Loretto Adult Community, Inc.",520-E-091,154,149,,,,Adult Home,Not for Profit Corporation,Central New York Regional Office,"1100 James Street
Syracuse, NY 13203
(43.06103, -76.130797)"
Elderwood Assisted Living at West Seneca,580 Orchard Park Road,Erie,West Seneca,14224,7166774242,7166770883,14711,"580 Orchard Park Road Operating Company, Llc",240-S-119,128,24,128,19,,Enriched Housing Program,LLC,Western Regional Office - Buffalo,"580 Orchard Park Road
West Seneca, NY 14224
(42.831525, -78.777818)"
Kenwood Manor,141 Rockefeller Road,Albany,Delmar,12054,5184398899,5184751690,14598,"Delmar AH Operations Associates, LLC",000-F-317,67,,,,,Adult Home,LLC,Capital District Regional Office,"141 Rockefeller Road
Delmar, NY 12054
(42.625193, -73.802946)"
The Terrace at Glen Eddy,1 Ascot Lane,Schenectady,Niskayuna,12309,5182808361,5182808396,15011,Glen Eddy Inc.,650-S-067,53,,,,,Enriched Housing Program,Not for Profit Corporation,Capital District Regional Office,"1 Ascot Lane
Niskayuna, NY 12309
(42.776027, -73.878175)"
Brookdale Hospital Medical Center ALP,558-578 Rockaway Parkway,Kings,Brooklyn,11212,7182406225,7182406851,14752,Brookdale Hospital Medical Center,331-S-001,43,43,,,,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"558-578 Rockaway Parkway
Brooklyn, NY 11212
(40.655163, -73.913488)"
Green Hills Estate,1 South Route 9W,Rockland,Haverstraw,10927,8454298411,8459472668,14981,"Green Hills Estate, L.L.C",620-F-038,164,51,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"1 South Route 9W
Haverstraw, NY 10927
(41.20973, -73.985544)"
Gables Home for Adults,127 Rider Avenue,Suffolk,Patchogue,11772,6314753857,6314753857,15044,"Gables Holding Company, Inc.",700-F-909,24,,,,,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"127 Rider Avenue
Patchogue, NY 11772
(40.760676, -73.008719)"
Elderwood Village at Vestal,505 Clubhouse Road,Broome,Vestal,13850,6077223422,6077225841,14632,"505 Clubhouse Road Operating Company, LLC",030-F-060,116,,,,,Adult Home,LLC,Central New York Regional Office,
Westchester Center for Independent and Assisted Living,75 Stratton Street South,Westchester,Yonkers,10701,9147877400,.,15128,"Westchester ALP Management, LLC",800-F-990,195,195,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"75 Stratton Street South
Yonkers, NY 10701
(40.943006, -73.876041)"
Sunrise of North Lynbrook,53 Franklin Avenue,Nassau,Lynbrook,11563,5165962377,5165962378,14826,"SZR New York LH, Inc.",400-F-328,138,,138,138,29,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"53 Franklin Avenue
Lynbrook, NY 11563
(40.670366, -73.673069)"
The New Village View SP LLC,1 Grove Street,Ulster,Highland,12528,8456918399,8456912390,15097,The New Village View SP LLC,740-F-084,80,46,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,
Elderwood Village at Colonie,626 Watervliet-Shaker Road,Albany,Latham,12110,5187838695,5187835459,14604,"626 Watervliet Shaker Road Operating Company, LLC",000-F-314,94,,,,,Adult Home,LLC,Capital District Regional Office,"626 Watervliet-Shaker Road
Latham, NY 12110
(42.737274, -73.767909)"
NY Found-Sr Citizens EHP#3,1850 Second Avenue,New York,New York,10128,2123695523,2123487451,14855,"New York Foundation for Senior Citizens, Inc.",420-S-370,39,,,,,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"1850 Second Avenue
New York, NY 10128
(40.78401, -73.947259)"
Pounder Hall EHP,1400 Utica Street,Oneida,Oriskany,13424,3157361759,3157684751,14883,"Pounder Hall, Inc.",510-S-062,10,,,,,Enriched Housing Program,Not for Profit Corporation,Central New York Regional Office,"1400 Utica Street
Oriskany, NY 13424
(43.161788, -75.341174)"
Sunrise of East Setauket,1 Sunrise Drive,Suffolk,East Setauket,11733,6319414455,6319414455,15055,"GWC - East Setauket, Inc.",700-F-926,109,,109,109,40,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"1 Sunrise Drive
East Setauket, NY 11733
(40.93503, -73.109849)"
Brookdale Liverpool,4055 Long Branch Road,Onondaga,Liverpool,13090,3154513221,3154570305,14898,"Painted Post, LLC",520-F-165,80,,,,,Adult Home,LLC,Central New York Regional Office,"4055 Long Branch Road
Liverpool, NY 13090
(43.125056, -76.233055)"
Atria Park of Lynbrook,100 Peninsula Boulevard,Nassau,Lynbrook,11563,5165962700,5165961408,14824,"ATR New York LH, Inc.",400-F-326,140,,40,40,40,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"100 Peninsula Boulevard
Lynbrook, NY 11563
(40.654902, -73.678811)"
Juniper Glen Alzheimer's Special Care Center,8820 Transit Road,Erie,East Amherst,14051,7165682099,7165682089,14698,"Amherst Care Group, LLC",240-F-894,66,,66,66,66,Adult Home,LLC,Western Regional Office - Buffalo,"8820 Transit Road
East Amherst, NY 14051
(43.00872, -78.696935)"
The Club at Briarcliff Manor,25 Scarborough Road,Westchester,Briarcliff Manor,10510,9146185496,9148014953,15147,"SL Briarcliff Manor Operator, Inc.",800-S-157,145,,145,108,37,Enriched Housing Program,Business Corporation,Metropolitan Area Regional Office - New York City,"25 Scarborough Road
Briarcliff Manor, NY 10510
(41.144247, -73.840734)"
Promenade at University Place,1228 Western Avenue,Albany,Albany,12203,5185149500,5185149400,14605,Promenade Albany LLC,000-F-315,200,169,200,31,32,Adult Home,LLC,Capital District Regional Office,"1228 Western Avenue
Albany, NY 12203
(42.678062, -73.828164)"
"Rebekah Rehab Assisted Living Program, Inc.",1050 Havemeyer Avenue,Bronx,Bronx,10462,7188636200,9145302170,14623,"Rebekah Rehab Assisted Living Program, Inc.",020-S-005,56,56,,,,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"1050 Havemeyer Avenue
Bronx, NY 10462
(40.829896, -73.847396)"
Oyster Bay Manor,150 South Street,Nassau,Oyster Bay,11771,5166240600,5166247764,14818,"Oyster Bay Manor, Inc.",400-F-313,72,,72,,,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"150 South Street
Oyster Bay, NY 11771
(40.87053, -73.531225)"
Robynwood Assisted Living,43 Walnut Street,Otsego,Oneonta,13820,6074326387,6076430195,14937,Robynwood ALP LLC,570-F-053,49,48,,,,Adult Home,LLC,Capital District Regional Office,"43 Walnut Street
Oneonta, NY 13820
(42.457588, -75.058852)"
Manlius Home for Adults,215 East Pleasant Street,Onondaga,Manlius,13104,3156826725,3156823320,14899,215 East Pleasant Street LLC,520-F-167,39,32,,,,Adult Home,LLC,Central New York Regional Office,"215 East Pleasant Street
Manlius, NY 13104
(43.003205, -75.977053)"
Artis Senior Living of Chestnut Ridge,801 Chestnut Ridge Road,Rockland,Chestnut Ridge,10977,8459208341,8459208345,14993,"Artis Senior Living Operator of Chestnut Ridge, LLC",620-F-099,64,,64,64,64,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"801 Chestnut Ridge Road
Chestnut Ridge, NY 10977
(41.083736, -74.05725)"
Glenwell,2248 Old Union Road,Erie,Cheektowaga,14227,7166087000,7166080151,14683,"DePaul Adult Care Communities, Inc.",240-E-146,120,25,95,,24,Adult Home,Not for Profit Corporation,Western Regional Office - Buffalo,"2248 Old Union Road
Cheektowaga, NY 14227
(42.871495, -78.755777)"
Brookdale Clinton,115 Brookside Drive,Oneida,Clinton,13323,3158591947,3158591949,14880,"Clinton Sterling Cottage Operator, Inc.",510-F-057,40,,,,,Adult Home,Business Corporation,Central New York Regional Office,"115 Brookside Drive
Clinton, NY 13323
(43.038172, -75.359817)"
St. Louise Manor,861 Front Street,Broome,Binghamton,13905,6077244000,6077248300,14628,UMH NY Corp.,030-E-052,52,29,,,,Adult Home,Not for Profit Corporation,Central New York Regional Office,"861 Front Street
Binghamton, NY 13905
(42.130683, -75.905919)"
Apple Gate Adult Home,400 Ohio Street,Orleans,Medina,14103,5857983420,5857985662,14928,"Alan R. Johnson, II  Alan R. Johnson",550-F-004,28,,,,,Adult Home,Individual,Western Regional Office - Buffalo,"400 Ohio Street
Medina, NY 14103
(43.221681, -78.397016)"
Amber Court  of Smithtown,130-132 Lake Avenue,Suffolk,Nesconset,11767,6317681000,6316568822,15065,Amber Court @ Suffolk County LLC,700-F-945,186,168,,,,Adult Home,LLC,Metropolitan Area Regional Office - Long Island,"130-132 Lake Avenue
Nesconset, NY 11767
(40.854219, -73.153844)"
Family Srvs/Rochester EHP3 Hudson-Ridge Towers,401 Seneca Manor Drive,Monroe,Rochester,14621,5852665610,5852323062,14789,"Family Service Of Rochester, Inc.",370-S-191,47,,,,,Enriched Housing Program,Not for Profit Corporation,Western Regional Office - Buffalo,"401 Seneca Manor Drive
Rochester, NY 14621
(43.193662, -77.603585)"
Promenade at Middletown,70 Fulton Street,Orange,Middletown,10940,8453411888,8453445577,14921,Promenade Middletown LLC,540-F-032,200,131,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"70 Fulton Street
Middletown, NY 10940
(41.441508, -74.420579)"
Presbyterian Residential Community,4300 Middle Settlement Road,Oneida,New Hartford,13413,3157249300,3157929503,14877,"Presbyterian Residential Community, Inc.",510-E-065,96,78,,,,Adult Home,Not for Profit Corporation,Central New York Regional Office,"4300 Middle Settlement Road
New Hartford, NY 13413
(43.073771, -75.34243)"
"Cedarbrook Village, Incorporated",101 Sitrin Lane,Oneida,New Hartford,13413,3157372227,3157976955,14884,"Cedarbrook Village, Inc.",510-S-064,65,21,,,,Enriched Housing Program,Not for Profit Corporation,Central New York Regional Office,"101 Sitrin Lane
New Hartford, NY 13413
(43.055599, -75.237715)"
The Bristal at Westbury,117 Post Ave.,Nassau,Westbury,11590,5163339828,5169184002,14836,Westbury Senior Living Inc.,400-S-300,180,,,,,Enriched Housing Program,Business Corporation,Metropolitan Area Regional Office - Long Island,"117 Post Ave.
Westbury, NY 11590
(40.752375, -73.587785)"
The Landing at Queensbury,27 Woodvale Road,Warren,Queensbury,12804,5187935556,5187939863,15102,Wegman Family (Glens Falls) LLC V,750-S-003,88,,,,,Enriched Housing Program,LLC,Capital District Regional Office,"27 Woodvale Road
Queensbury, NY 12804
(43.334371, -73.662157)"
Woodhaven Home for Adults,1350 Route 112,Suffolk,Port Jefferson Sta.,11776,6314733304,6314730048,15042,"Woodhaven A.H., LLC",700-F-905,181,175,,,,Adult Home,LLC,Metropolitan Area Regional Office - Long Island,"1350 Route 112
Port Jefferson Sta., NY 11776
(40.917038, -73.036199)"
Chenango Valley Home,24 Canasawacta Street,Chenango,Norwich,13815,6073346598,6073366625,14658,"The Chenango Valley Home, Inc.",080-E-002,32,,,,,Adult Home,Not for Profit Corporation,Central New York Regional Office,
VillageCare at 46 and Ten,510 West 46th Street,New York,New York,10036,2129774600,2129774848,14858,Village Housing Development Fund Corporation,420-S-379,89,89,,,,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"510 West 46th Street
New York, NY 10036
(40.762415, -73.994175)"
Brightview Sayville,455 Broadway Avenue,Suffolk,Sayville,11782,6315460302,6313199770,15066,"BV Sayville Operator, LLC",700-F-947,92,,92,92,28,Adult Home,LLC,Metropolitan Area Regional Office - Long Island,"455 Broadway Avenue
Sayville, NY 11782
(40.766721, -73.066231)"
Bridges Cornell Heights - The Colonial,403 Wyckoff Avenue,Tompkins,Ithaca,14850,6072575777,6072573565,15089,"Ambrose, Elizabeth Classen",730-F-002,9,,9,9,,Adult Home,Individual,Central New York Regional Office,"403 Wyckoff Avenue
Ithaca, NY 14850
(42.455505, -76.484194)"
The Arbors at Bohemia,1065 Smithtown Avenue,Suffolk,Bohemia,11716,6315673113,6315673116,15046,"Arcadia Management, Inc.",700-F-913,200,,200,,,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"1065 Smithtown Avenue
Bohemia, NY 11716
(40.76801, -73.108536)"
Peregrine's Landing at Orchard Park,101 Sterling Drive,Erie,Orchard Park,14127,7166751022,7166751007,14686,"Peregrine Properties of Upstate, LLC",240-F-827,52,,,,,Adult Home,LLC,Western Regional Office - Buffalo,
Meadowview at the Wartburg,2 Wartburg Place,Westchester,Mount Vernon,10552,9146990800,9146992512,15135,"Wartburg Senior Housing, Inc.",800-S-125,105,,105,15,15,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"2 Wartburg Place
Mount Vernon, NY 10552
(40.917669, -73.813138)"
Madison York Home for Adults,61-80 Woodhaven Boulevard,Queens,Rego Park,11374,7184464300,7188998126,14953,"Madison York Rego Park, LLC",590-F-321,202,200,,,,Adult Home,LLC,Metropolitan Area Regional Office - New York City,"61-80 Woodhaven Boulevard
Rego Park, NY 11374
(40.727066, -73.870752)"
Brookdale Niskayuna,1786 Union Street,Schenectady,Niskayuna,12309,5183466935,5183813945,15012,"WW Niskayuna Operator, Inc.",650-S-071,110,,110,110,,Enriched Housing Program,Business Corporation,Capital District Regional Office,"1786 Union Street
Niskayuna, NY 12309
(42.801437, -73.897492)"
NY Found-Sr Citizens EHP#4 Ridge Street Gardens,80-92 Ridge Street,New York,New York,10002,2125984148,2125984092,14856,"New York Foundation for Senior Citizens, Inc.",420-S-375,47,,,,,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,"80-92 Ridge Street
New York, NY 10002
(40.717972, -73.983693)"
The Amsterdam at Harborside,300 East Overlook,Nassau,Port Washington,11050,5164726626,5164726698,14843,"Amsterdam House Continuing Care Retirement Community, Inc.",400-S-320,55,,55,18,18,Enriched Housing Program,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,"300 East Overlook
Port Washington, NY 11050
(40.827119, -73.664992)"
The Arbors at Westbury,45 Jericho Turnpike,Nassau,Jericho,11753,5163336400,5168760473,14816,"Arcadia Management, Inc.",400-F-307,200,,200,,,Adult Home,Business Corporation,Metropolitan Area Regional Office - Long Island,"45 Jericho Turnpike
Jericho, NY 11753
(40.777931, -73.564291)"
Focus Senior Living at Utica,1445 Kemble Street,Oneida,Utica,13501,3157320100,3157322342,14882,"Utica AH Operations Associates, LLC",510-S-061,110,96,,,,Enriched Housing Program,LLC,Central New York Regional Office,"1445 Kemble Street
Utica, NY 13501
(43.093115, -75.242471)"
The Willows,459 East Oak Orchard Street,Orleans,Medina,14103,5857985233,5857985827,14929,"Blue Heron Enterprises,  LLC",550-F-005,24,,,,,Adult Home,LLC,Western Regional Office - Buffalo,"459 East Oak Orchard Street
Medina, NY 14103
(43.215692, -78.372765)"
The Village at Mill Landing,45 Mill Road,Monroe,Rochester,14626,5857203033,5857203031,14802,WRP Operating Greece LLC,370-S-859,150,,150,75,55,Enriched Housing Program,LLC,Western Regional Office - Buffalo,"45 Mill Road
Rochester, NY 14626
(43.231208, -77.701255)"
Chelsea at Greenburgh,715 Dobbs Ferry Road,Westchester,Greenburgh,10607,9142750010,9145920859,15115,"CRP/CSH Greenburgh Operator, Inc.",800-F-004,137,,137,106,31,Adult Home,Business Corporation,Metropolitan Area Regional Office - New York City,"715 Dobbs Ferry Road
Greenburgh, NY 10607
(41.035028, -73.822776)"
Metro Interfaith Housing,21 New Street,Broome,Binghamton,13903,6077726766,6077239602,14636,Metro Interfaith Housing Management Corporation,030-S-046,11,,,,,Enriched Housing Program,Not for Profit Corporation,Central New York Regional Office,"21 New Street
Binghamton, NY 13903
(42.090241, -75.911192)"
Home Sweet Home on the Hudson,38 Prospect Avenue,Greene,Catskill,12414,5189435701,5189435033,14729,"The W Group At Catskill, Llc",300-F-032,60,48,,,,Adult Home,LLC,Capital District Regional Office,"38 Prospect Avenue
Catskill, NY 12414
(42.21696, -73.859314)"
Brookdale Painted Post,120 Creekside Drive,Steuben,Painted Post,14870,6079625096,6079373130,15022,"Painted Post, LLC",690-F-044,110,,,,,Adult Home,LLC,Western Regional Office - Buffalo,"120 Creekside Drive
Painted Post, NY 14870
(42.14304, -77.123571)"
Seabury Woods,110 Dalaker Drive,Monroe,Rochester,14624,5854264950,5854294625,14795,"CH Services, Inc.",370-S-841,85,,85,8,24,Enriched Housing Program,Not for Profit Corporation,Western Regional Office - Buffalo,"110 Dalaker Drive
Rochester, NY 14624
(43.14005, -77.741231)"
Boulevard ALP,71-61 159th Street,Queens,Flushing,11365,7189698102,7189698128,14963,Queens Boulevard ALP LLC,590-S-317,239,200,,,,Enriched Housing Program,LLC,Metropolitan Area Regional Office - New York City,
Park Creek Senior Living Community,410 Mill Street,Erie,Amherst,14221,7166323000,7166323003,14692,Mill Street Assisted Living LLC,240-F-876,94,,,,,Adult Home,LLC,Western Regional Office - Buffalo,"410 Mill Street
Amherst, NY 14221
(42.975422, -78.744416)"
