"year","approving_state_agency","training_agency_site_name","operational_status","certificate_type","methodology","language","number_of_classes","enrolled_student_count","approved_student_count","certified_student_count","withdrawn_student_count","street_address","city","state","zip_code","county_name","county_code","region","geocoded_column"
"2018","Department of Health","Home Health Care & Companion Agency, Inc.","CLOSED","Personal Care Aide","Alternative Competency Demonstration","English","2","2","1","1","1","366 Albany Avenue","Kingston","NY","12401","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                           ","366 Albany Avenue
Kingston, NY 12401
(41.938845, -74.002625)"
"2010","Department of Health","Adept Health Care Service","OPEN","Personal Care Aide","Basic Training","English","1","20","19","19","1","406 Fulton Street","Troy","NY","12180","Rensselaer","83","Capital District                                                                                                                                                                                                                                                                                                                                      ","406 Fulton Street
Troy, NY 12180
(42.732363, -73.688419)"
"2013","Department of Health","Best Choice Home Health Care Inc.","OPEN","Home Health Aide","Competency Evaluation","English","1","1","0","0","0","2275 Olinville Avenue","Bronx ","NY","10467","Bronx","5","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                          ","2275 Olinville Avenue
Bronx, NY 10467
(40.859951, -73.868551)"
"2017","Department of Health","HHA","OPEN","Home Health Aide","Nurse Aide Transition","English","7","8","7","7","1","222 Elmira Road","Ithaca","NY","14850","Tompkins","109","Central New York                                                                                                                                                                                                                                                                                                                                                           ","222 Elmira Road
Ithaca, NY 14850
(42.429183, -76.506136)"
"2015","Department of Health","Interim HealthCare","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","1","1","0","0","0","38 Front Street, Suite D","Binghamton","NY","13905","Broome","7","Central New York                                                                                                                                                                                                                                                                                                                ","38 Front Street
Suite D Binghamton, NY 13905
(42.094607, -75.918935)"
"2010","Department of Health","A & T Healthcare, LLC - Newburgh","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","6","6","9","9","0","20 Route 17K","Newburgh","NY","12550","Orange","71","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                              ","20 Route
Newburgh, NY 12550"
"2010","Department of Health","PRIORITY HOME CARE","CLOSED","Home Health Aide","Core Training","English","3","42","41","41","0","494 8TH AVE, 4TH FLOOR","NEW YORK","NY","10001","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                   ","494 8TH AVE
NEW YORK, NY 10001
(40.75273, -73.993078)"
"2015","Department of Health","First Care of New York, Inc.","OPEN","Personal Care Aide","Basic Training","English","1","16","15","15","1","91-31 Queens Blvd. Suite 409","Elmhurst","NY","11373","Queens","81","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                    ","91 31 Queens Blvd
Elmhurst, NY 11373"
"2013","Department of Health","Best Care, Inc. - Brooklyn","OPEN","Personal Care Aide","Basic Training","English","16","209","200","177","9","1781 Flatbush Avenue","Brooklyn","NY","11210","Kings","47","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                           ","1781 Flatbush Avenue
Brooklyn, NY 11210
(40.626497, -73.940967)"
"2019","Department of Health","Stafkings Healthcare","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","3","3","4","4","0","417 Electronics Parkway","Liverpool","NY","13088","Onondaga","67","Central New York                                                                                                                                                                                                                                                                                                               ","417 Electronics Parkway
Liverpool, NY 13088
(43.09985, -76.189572)"
"2012","Department of Health","A & T HEALTHCARE LLC","OPEN","Home Health Aide","Competency Evaluation","English","0","0","0","0","1","339 NORTH MAIN STREET,BLDG B, SUITE 5 & 6","NEW CITY","NY","10956","Rockland","87","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                            ",
"2014","Department of Health","Accent Health Care Services - Lansingburgh Boys and Girls Club","OPEN","Personal Care Aide","Basic Training","English","3","6","6","6","0","505 4th Avenue","Troy","NY","12182","Rensselaer","83","Capital District                                                                                                                                                                                                                                                                                                       ","505 4th Avenue
Troy, NY 12182
(42.771851, -73.67591)"
"2021","Department of Health","Caregivers","OPEN","Personal Care Aide","Basic Training","English","3","6","6","6","0","110 N. Geneva St,Suite #1","Ithaca","NY","14850","Tompkins","109","Central New York                                                                                                                                                                                                                                                                                                                                             ","110 N Geneva St
Ithaca, NY 14850
(42.439974, -76.500774)"
"2014","Department of Health","ALL METRO HEALTH CARE PATCHOGUE","OPEN","Home Health Aide","Competency Evaluation","English","1","1","1","1","0","22 WEST MAIN STREET  SUITE #2","PATCHOGUE","NY","11772","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                               ","22 WEST MAIN STREET
PATCHOGUE, NY 11772
(40.765722, -73.015789)"
"2012","Department of Health","Health Services Of Northern New York","OPEN","Home Health Aide","Core Training","English","1","2","2","2","0","56 Market Street","Potsdam","NY","13676","Saint Lawrence","89","Central New York                                                                                                                                                                                                                                                                                                                           ","56 Market Street
Potsdam, NY 13676
(44.671035, -74.986858)"
"2015","Department of Health","BETTER HOME HEALTH CARE AGENCY INC - ROCKVILLE CTR","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","9","80","73","73","4","310 MERRICK RD","ROCKVILLE CENTRE","NY","11570","Nassau","59","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                              ","310 MERRICK RD ROCKVILLE CENTRE
NY,  11570
(40.67359, -73.556236)"
"2010","Department of Health","RECCO HOME CARE EAST QUOQUE","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","1","3","2","2","1","472 MONTAUK HIGHWAY","EAST QUOGUE","NY","11942","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                      ","472 MONTAUK HIGHWAY EAST
QUOGUE, NY 11942
(40.88512, -72.483001)"
"2013","Department of Health","Health Association of Niagara County, Inc. (HANCI)","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","3","3","3","3","0","1302 Main Street","Niagara Falls","NY","14301","Niagara","63","Western  - Buffalo                                                                                                                                                                                                                                                                                 ","1302 Main Street Niagara Falls
NY,  14301"
"2012","Department of Health","Recco Home Care Service, Inc.- Islandia","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","3","3","3","3","0","1787 Veterans Hwy","Islandia","NY","11749","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                 ","1787 Veterans Hwy
Islandia, NY 11749
(40.804633, -73.179123)"
"2011","Department of Health","UNLIMITED CARE INC HAUPPAUGE","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","1","1","1","1","0","1373 VETERANS HIGHWAY (#42)","HAUPPAUGE","NY","11788","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                               ","1373 VETERANS HIGHWAY
HAUPPAUGE, NY 11788
(40.814667, -73.191882)"
"2011","Department of Health","Independent Home Care, Inc.","OPEN","Personal Care Aide","Basic Training","English","1","10","10","10","0","727 Ulster Avenue","Kingston","NY","12401","Ulster","111","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                                ","727 Ulster Avenue
Kingston, NY 12401
(41.949794, -73.994399)"
"2013","Department of Health","Attentive Care - Hicksville","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","2","6","6","6","0","76 North Broadway","Hicksville","NY","11081","Unknown","0","(unknown)                                                                                                                                                                                                                                                                                                                      ","76 North Broadway
Hicksville, NY 11081
(40.770314, -73.526551)"
"2013","Department of Health","Personal Touch Home Care, Inc.","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","0","0","2","3","0","640 Montauk Highway","Shirley","NY","11967","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                         ","640 Montauk Highway
Shirley, NY 11967
(40.800508, -72.87512)"
"2016","Department of Health","Companion Care of Rochester, Inc.","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","13","35","32","32","0","556 South Clinton Ave.","Rochester","NY","14620","Monroe","55","Western  - Rochester                                                                                                                                                                                                                                                                                           ","556 South Clinton Ave
Rochester, NY 14620
(43.146384, -77.602342)"
"2013","Department of Health","PERSONAL TOUCH HOME CARE OF LONG ISLAND","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","1","10","10","10","0","300 WHEELER ROAD   SUITE 301","HAUPPAUGE","NY","11788","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                ","300 WHEELER ROAD
HAUPPAUGE, NY 11788
(40.805866, -73.215273)"
"2011","Department of Health","COMMUNITY HOME CARE REFERRAL SERVICES INC","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","0","0","1","1","1","3920 13TH AVENUE","BROOKLYN","NY","11218","Kings","47","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                               ","3920 13TH AVENUE
BROOKLYN, NY 11218
(40.640233, -73.986695)"
"2020","Department of Health","Angels In Your Home","OPEN","Personal Care Aide","Basic Training","English","2","12","9","9","3","1495 Lake Avenue","Rochester","NY","14615","Monroe","55","Western  - Rochester                                                                                                                                                                                                                                                                                                                                          ","1495 Lake Avenue
Rochester, NY 14615
(43.193917, -77.628981)"
"2011","Department of Health","Community Care of WNY, Inc. dba Home Care & Hospice","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","9","13","10","10","0","450 North Main Street","Warsaw","NY","14569","Wyoming","121","Western  - Buffalo                                                                                                                                                                                                                                                                              ","450 North Main Street
Warsaw, NY 14569
(42.759181, -78.130608)"
"2009","Department of Health","HOME AIDES OF CENTRAL NEW YORK INC","OPEN","Home Health Aide","Nurse Aide Transition","English","3","3","3","3","0","723 JAMES ST","SYRACUSE","NY","13203","Onondaga","67","Central New York                                                                                                                                                                                                                                                                                                                              ","723 JAMES ST
SYRACUSE, NY 13203
(43.055285, -76.14251)"
"2012","Department of Health","PEOPLE CARE INC - PATCHOGUE","OPEN","Home Health Aide","Core Training","English","5","38","27","27","9","1 SOUTH OCEAN AVENUE","PATCHOGUE","NY","11772","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                                 ","1 SOUTH OCEAN AVENUE
PATCHOGUE, NY 11772
(40.765689, -73.015139)"
"2020","Department of Health","Any-Time Home Care, Inc.","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","2","4","4","4","0","10 Little Britain Rd,Suite 102","Newburgh","NY","12550","Orange","71","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                  ","10 Little Britain Rd
Newburgh, NY 12550
(41.500252, -74.032432)"
"2012","Department of Health","BESTCARE, INC BRONX","OPEN","Home Health Aide","Competency Evaluation","English","7","80","67","67","13","4119 WHITE PLAINS ROAD","BRONX","NY","10466","Bronx","5","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                  ","4119 WHITE PLAINS ROAD
BRONX, NY 10466
(40.891161, -73.858627)"
"2013","Department of Health","St. Joseph's Healthcare Network","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","3","4","2","2","2","7246 Janus Park Drive","Liverpool","NY","13088","Onondaga","67","Central New York                                                                                                                                                                                                                                                                                                      ","7246 Janus Park Drive
Liverpool, NY 13088
(43.120546, -76.165424)"
"2012","Department of Health","PEOPLE CARE INC NEW YORK","OPEN","Home Health Aide","Core Training","Spanish; Castilian","4","77","61","61","28","1411 FIFTH AVENUE, GROUND FLOOR","NEW YORK","NY","10029","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                          ","1411 FIFTH AVENUE
GROUND FLOOR NEW YORK, NY 10029
(40.800405, -73.946639)"
"2016","Department of Health","Aides At Home, Inc","OPEN","Home Health Aide","Core Training","English","2","15","14","14","1","25 East Main Street","Bayshore","NY","11706","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                                          ","25 East Main Street
Bayshore, NY 11706
(40.72211, -73.2471)"
"2017","Department of Health","Community Health Aide Services","CLOSED","Personal Care Aide","Basic Training","English","3","28","26","26","2","10 Saint John Street","Monticello","NY","12701","Sullivan","105","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                      ","10 Saint John Street
Monticello, NY 12701
(41.653759, -74.685365)"
"2009","Department of Health","Accent Health Care Services, Inc.","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","1","3","3","3","0","820 5th Avenue, PO Box 249","Troy","NY","12182","Rensselaer","83","Capital District                                                                                                                                                                                                                                                                                              ","820 5th Avenue
Troy, NY 12182
(42.783211, -73.66939)"
"2015","Department of Health","PERSONAL TOUCH HOME CARE INC STATEN ISLAND","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","0","0","0","2","0","150 Bay Street","STATEN ISLAND","NY","10301","Richmond","85","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                        ","150 Bay Street STATEN ISLAND
NY,  10301"
"2009","Department of Health","PREMIER HOME HEALTH CARE SERVICES NEW YORK","OPEN","Home Health Aide","Core Training","English","2","37","16","16","2","42 BROADWAY 21ST FLOOR","NEW YORK","NY","10004","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                               ","42 BROADWAY
NEW YORK, NY 10004
(40.706163, -74.013014)"
"2020","Department of Health","Selfhelp Community Services- Brooklyn/Coney Island","OPEN","Home Health Aide","Core Training","English","1","8","0","0","0","626 Sheepshead Bay Road","Brooklyn","NY","11224","Kings","47","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                            ","626 Sheepshead Bay Road
Brooklyn, NY 11224
(40.578975, -73.975234)"
"2017","Department of Health","ABLE HEALTH CARE SERVICES INC HEMPSTEAD","OPEN","Home Health Aide","Nurse Aide Transition","English","6","7","7","7","0","50 CLINTON STREET","HEMPSTEAD","NY","11550","Nassau","59","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                     ","50 CLINTON STREET
HEMPSTEAD, NY 11550
(40.707933, -73.619023)"
"2014","Department of Health","INDEPENDENT NURSING CARE","OPEN","Home Health Aide","Competency Evaluation","English","2","2","2","2","0","1038 DAVIS ROAD PO BOX 489","WEST FALLS","NY","14170","Erie","29","Western  - Buffalo                                                                                                                                                                                                                                                                                                                          ","1038 DAVIS ROAD PO BOX 489 WEST FALLS
NY,  14170"
"2016","Department of Health","Caregivers","OPEN","Personal Care Aide","Basic Training","English","2","13","4","4","2","19 Hodskin Street","Canton","NY","13617","Saint Lawrence","89","Central New York                                                                                                                                                                                                                                                                                                                                                 ","19 Hodskin Street
Canton, NY 13617
(44.596689, -75.171214)"
"2020","Department of Health","Westchester Family Care HHA Training","OPEN","Home Health Aide","Core Training","English","2","10","5","5","0","200 Katonah Avenue,3rd Floor","Katonah","NY","10536","Westchester","119","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                             ","200 Katonah Avenue
Katonah, NY 10536
(41.256626, -73.683961)"
"2012","Department of Health","Utopia Home Care - Kings Park","OPEN","Personal Care Aide","Basic Training","English","2","22","16","16","6","1 Village Plaza,Suite 101","Kings Park","NY","11754","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                    ","1 Village Plaza
Kings Park, NY 11754
(40.884373, -73.255559)"
"2011","Department of Health","ALLEN HEALTH CARE SERVICES - NEW YORK","OPEN","Home Health Aide","Nurse Aide Transition","English","1","1","0","0","1","151 WEST 25TH STREET, 6TH FLOOR","NEW YORK","NY","10001","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                    ","151 WEST 25TH STREET
NEW YORK, NY 10001
(40.744985, -73.99378)"
"2017","Department of Health","UTOPIA HOME CARE INC WESTBURY","OPEN","Home Health Aide","Nurse Aide Transition","English","10","12","11","11","1","95 POST AVENUE","WESTBURY","NY","11590","Nassau","59","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                               ","95 POST AVENUE
WESTBURY, NY 11590
(40.751526, -73.587752)"
"2016","Department of Health","Caregivers","OPEN","Personal Care Aide","Basic Training","English","1","5","5","5","0","210 Court Street","Watertown","NY","13601","Jefferson","45","Central New York                                                                                                                                                                                                                                                                                                                                                     ","210 Court Street
Watertown, NY 13601
(43.97676, -75.912526)"
"2013","Department of Health","Home Aides of Central New York","OPEN","Home Health Aide","Competency Evaluation","English","1","1","1","1","0","1050 W Genesee St","Syracuse","NY","13204","Onondaga","67","Central New York                                                                                                                                                                                                                                                                                                                             ","1050 W Genesee St
Syracuse, NY 13204
(43.053719, -76.172626)"
"2009","Department of Health","ST FRANCIS HOME CARE SERVICES INC","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","3","10","10","10","0","241 NORTH ROAD","POUGHKEEPSIE","NY","12601","Dutchess","27","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                ","241 NORTH ROAD
POUGHKEEPSIE, NY 12601
(41.717405, -73.929503)"
"2021","Department of Health","Stafkings Healthcare Systems, Inc","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","5","9","9","9","0","66 Hawley Street,PO Box 1015","Binghamton","NY","13902","Broome","7","Central New York                                                                                                                                                                                                                                                                                           ","66 Hawley Street
Binghamton, NY 13902
(42.09719, -75.910258)"
"2021","Department of Health","Family Home Health Care, Inc.","OPEN","Home Health Aide","Core Training","English","1","5","5","5","0","120 East 16th Street","New York ","NY","10003","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                              ","120 East 16th Street
New York, NY 10003
(40.7354, -73.988086)"
"2020","Department of Health","Top Quality Home Care Agency","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","2","4","4","4","0","523 North Perry Street","Johnstown","NY","12095","Fulton","35","Capital District                                                                                                                                                                                                                                                                                                          ","523 North Perry Street
Johnstown, NY 12095
(43.031472, -74.363544)"
"2021","Department of Health","Any-Time Home Care, Inc. - Albany","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","2","2","2","2","0","1272 Central Avenue, 2nd Floor","Albany","NY","12205","Albany","1","Capital District                                                                                                                                                                                                                                                                                             ","1272 Central Avenue
Albany, NY 12205
(42.698868, -73.811447)"
"2019","Department of Health","I & Y SENIOR CARE","OPEN","Home Health Aide","Core Training","English","8","59","56","59","3","1991 FLATBUSH AVE","BROOKLYN","NY","11234","Kings","47","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                                ","1991 FLATBUSH AVE
BROOKLYN, NY 11234
(40.621108, -73.935257)"
"2018","Department of Health","Presbyterian Residential Community","OPEN","Home Health Aide","Nurse Aide Transition","English","3","4","3","3","1","4300 Middle Settlement Road","New Hartford","NY","13413","Oneida","65","Central New York                                                                                                                                                                                                                                                                                                             ","4300 Middle Settlement Road
New Hartford, NY 13413
(43.073771, -75.34243)"
"2013","Department of Health","Progressive Home Health Services, Inc.","OPEN","Personal Care Aide","Basic Training","English","8","170","125","113","55","2488 Grand Concourse Room 427","Bronx","NY","10458","Bronx","5","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                          ","2488 Grand
Bronx, NY 10458
(40.864248, -73.902186)"
"2017","Department of Health","Franciscan Health Support, Inc.","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","10","23","22","22","1","7246 Janus Park Drive","Liverpool","NY","13088","Onondaga","67","Central New York                                                                                                                                                                                                                                                                                                            ","7246 Janus Park Drive
Liverpool, NY 13088
(43.120546, -76.165424)"
"2012","Department of Health","Alternate Staffing","OPEN","Personal Care Aide","Basic Training","Spanish; Castilian","2","19","18","18","1","4918 Fort Hamilton Parkway","Brooklyn","NY","11219","Kings","47","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                        ","4918 Fort Hamilton Parkway
Brooklyn, NY 11219
(40.638026, -73.998188)"
"2013","Department of Health","PREMIER HOME HEALTH CARE SERVICE, INC BROOKLYN","OPEN","Home Health Aide","Core Training","English","1","18","10","10","5","9202 5TH AVENUE","BROOKLYN","NY","11209","Kings","47","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                   ","9202 5TH AVENUE
BROOKLYN, NY 11209
(40.617904, -74.029305)"
"2011","Department of Health","G E M HEALTH CARE AGENCY","OPEN","Home Health Aide","Personal Care Aide Upgrade","English","4","7","4","4","0","49 WEST MERRICK RD, SUITE 201","FREEPORT","NY","11520","Nassau","59","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                  ","49 WEST MERRICK RD
FREEPORT, NY 11520
(40.653931, -73.582417)"
"2009","Department of Health","TRADITIONS IN CARING","OPEN","Home Health Aide","Core Training","English","1","4","3","3","0","1580 ELMWOOD AVENUE","ROCHESTER","NY","14620","Monroe","55","Western  - Rochester                                                                                                                                                                                                                                                                                                                                          ","1580 ELMWOOD AVENUE
ROCHESTER, NY 14620
(43.125523, -77.595556)"
"2013","Department of Health","Hilltop Retirement Community","OPEN","Home Health Aide","Competency Evaluation","English","1","1","1","1","0","286 Deyo Hill Road","Johnson city","NY","13790","Broome","7","Central New York                                                                                                                                                                                                                                                                                                                             ","286 Deyo Hill Road
Johnson city, NY 13790
(42.144802, -75.959459)"
"2015","Department of Health","UNLIMITED CARE INC","OPEN","Home Health Aide","Nurse Aide Transition","English","2","2","3","3","0","138 PINE STREET","KINGSTON","NY","12401","Ulster","111","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                                           ","138 PINE STREET
KINGSTON, NY 12401
(41.92913, -74.014117)"
"2018","Department of Health","Personal Touch Home Care, Inc.","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","6","31","30","30","1","640 Montauk Highway","Shirley","NY","11967","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                      ","640 Montauk Highway
Shirley, NY 11967
(40.800508, -72.87512)"
"2011","Department of Health","G E M HEALTH CARE AGENCY","OPEN","Home Health Aide","Nurse Aide Transition","English","5","4","2","2","0","49 WEST MERRICK RD, SUITE 201","FREEPORT","NY","11520","Nassau","59","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                       ","49 WEST MERRICK RD
FREEPORT, NY 11520
(40.653931, -73.582417)"
"2015","Department of Health","Willcare, Inc. - Middletown","OPEN","Personal Care Aide","Basic Training","English","6","56","54","54","2","726 East Main Street,Suite 501","Middletown","NY","10940","Orange","71","Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                ","726 East Main Street
Middletown, NY 10940
(41.439983, -74.367103)"
"2012","Department of Health","CAREGIVERS CANANDAIGUA","OPEN","Home Health Aide","Nurse Aide Transition","English","13","15","15","15","0","5297 PARKSIDE DRIVE BUILDING 300","CANANDAIGUA","NY","14424","Ontario","69","Western  - Rochester                                                                                                                                                                                                                                                                                                            ","5297 PARKSIDE DRIVE
CANANDAIGUA, NY 14424
(42.910151, -77.297231)"
"2020","Department of Health","All Metro Health Care","OPEN","Personal Care Aide","Basic Training","English","1","3","3","3","0","170 Earle Avenue","Lynbrook","NY","11563","Nassau","59","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                                              ","170 Earle Avenue
Lynbrook, NY 11563
(40.656165, -73.6683)"
"2017","Department of Health","Kris Agency & Home Care Inc.","OPEN","Personal Care Aide","Basic Training","English","1","1","0","0","0","169-14 Hillside Avenue","Jamaica","NY","11432","Queens","81","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                ","169 14 Hillside Avenue
Jamaica, NY 11432"
"2019","Department of Health","CCOR-Batavia","OPEN","Personal Care Aide","Basic Training","English","1","2","2","2","0","219 East Main St.,Suite 20","Batavia","NY","14020","Genesee","37","Western  - Buffalo                                                                                                                                                                                                                                                                                                                                         ","219 East Main St
Batavia, NY 14020
(42.997062, -78.179685)"
"2013","Department of Health","25 Newbridge Road, suite 304","OPEN","Home Health Aide","Core Training","English","7","101","44","44","31","25 Newbridge Road, suite 304","Hicksville","NY","11801","Nassau","59","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                   ","25 Newbridge Road
Hicksville, NY 11801
(40.768019, -73.527598)"
"2014","Department of Health","Premier Home Health Care Inc","OPEN","Home Health Aide","Core Training","English","1","6","4","4","2","1285 route 9 corporate park suite 1","wappinger falls","NY","12590","New York","61","Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                            ","1285 route 9 corporate park suite 1 wappinger falls
NY,  12590"
"2018","Department of Health","Health Force","OPEN","Personal Care Aide","Alternative Competency Demonstration","English","1","3","3","3","0","3409 Genesee Street","Cheektowaga","NY","14225","Erie","29","Western  - Buffalo                                                                                                                                                                                                                                                                                                                           ","3409 Genesee Street
Cheektowaga, NY 14225
(42.926258, -78.758272)"
"2017","Department of Health","Health Services of Northern New York, Inc.","OPEN","Personal Care Aide","Basic Training","English","6","14","13","13","1","56 Market Street","Potsdam","NY","13676","Saint Lawrence","89","Central New York                                                                                                                                                                                                                                                                                                             ","56 Market Street
Potsdam, NY 13676
(44.671035, -74.986858)"
"2021","Department of Health","ABR Homecare of NY, INC.","CLOSED","Personal Care Aide","Alternative Competency Demonstration","English","1","2","2","2","0","74365 Main Rd,Suite 1","Greenport","NY","11944","Suffolk","103","Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                       ","74365 Main Rd
Greenport, NY 11944
(41.098795, -72.375323)"
