"year","sex","age_group","race_or_ethnicity","selected_cause_of_death","deaths"
"2018","F","25-34","Not Stated","Malignant Neoplasms","8"
"2018","F","10-19","Hispanic","Diabetes Mellitus","1"
"2018","F","20-24","Black Non Hispanic","Total","44"
"2018","F","1-9","White Non Hispanic","All Other Causes","28"
"2018","F","1-9","White Non Hispanic","Accidents","15"
"2018","F","1-9","White Non Hispanic","Total","60"
"2018","F","1-9","White Non Hispanic","Diseases of the Heart","2"
"2018","F","1-9","White Non Hispanic","CLRD","1"
"2018","F","25-34","White Non Hispanic","CLRD","1"
"2018","F","1-9","White Non Hispanic","Malignant Neoplasms","14"
"2018","F","10-19","Black Non Hispanic","Diseases of the Heart","1"
"2018","F","1-9","Other Non Hispanic","Cerebrovascular Disease","1"
"2018","F","1-9","Not Stated","Total","7"
"2018","F","1-9","Other Non Hispanic","All Other Causes","3"
"2018","F","1-9","Not Stated","Diseases of the Heart","1"
"2018","F","1-9","Hispanic","Total","29"
"2018","F","25-34","White Non Hispanic","Accidents","196"
"2018","F","1-9","Not Stated","All Other Causes","6"
"2018","F","1-9","Other Non Hispanic","Total","4"
"2018","F","10-19","Black Non Hispanic","Pneumonia","1"
"2018","F","1-9","Hispanic","Diseases of the Heart","2"
"2018","F","1-9","Hispanic","CLRD","1"
"2018","F","1-9","Hispanic","Malignant Neoplasms","3"
"2018","F","1-9","Black Non Hispanic","All Other Causes","16"
"2018","F","35-44","Black Non Hispanic","Diseases of the Heart","53"
"2018","F","1-9","Black Non Hispanic","Accidents","6"
"2018","F","1-9","Black Non Hispanic","Total","32"
