"funding_program","eligible_funding_recipients","eligible_projects","website","administrative_organization","current_status","primary_contact","alternate_contact","grant_or_loan","program_description","eligible_projects_description","administrative_sub_organization","percent_match","match_requirement_description","funding_limitation","funding_limitation_description","application_open","application_closed","additional_application_dates","supplemental_information","last_updated"
"Puget Sound Acquisition and Restoration Large Capital Grant Program","Counties, Cities, Towns","Restoration","http://www.rco.wa.gov/documents/manuals&forms/Manual_18.pdf ","Washington State Recreation and Conservation Office","Active","Tara Galuska; 360-902-2953; tara.galuska@rco.wa.gov","Suzanna Stoike; 360-701-4604; suzanna.stoike@psp.wa.gov","Grant","This fund is specific to salmon projects in Puget Sound that implement the Puget Sound Chinook Recovery Plan.  Salmon recovery grants are awarded by the Salmon Recovery Funding Board to protect and restore salmon habitat.  The board funds projects that protect existing, high quality habitats for salmon, and that restore degraded habitat to increase overall habitat health and biological productivity.  The board also awards grants for feasibility assessments to determine future projects and for other salmon related activities.  Projects may include the actual habitat used by salmon and the land and water that support ecosystem functions and processes important to salmon.  The board believes that projects must be developed using science-based information and local citizen review.  Projects must demonstrate, through an evaluation and monitoring process, the capacity to be implemented and sustained effectively to benefit fish.  Applicants must submit their proposals to their local lead entity rather than directly to the Salmon Recovery Funding Board.  The lead entity is responsible for assembling a ranked list of projects from its area and submitting them to the Salmon Recovery Funding Board for consideration.","Each project must:
1. Address a high priority need identified in a watershed recovery plan chapter or a regional recovery plan for Puget Sound Chinook salmon or Hood Canal Summer Chum salmon or any other strategy submitted as part of the Four Year Workplan (4YWP) update to benefit Treaty rights populations or (other ESA-listed species populations). 
2. Demonstrate significant benefit to one or more listed salmon populations and/or salmon populations that benefit Treaty rights.
3. Require only funding for implementation (i.e. no other barriers with respect to authorizing environment, land ownership or project implementation exist) and be consistent with lead entity priorities and/or the 4YWP.
4. Begin implementation during the 2017-2019 biennium.  Implementation is defined as beginning work on one of the eligible project types above.
5. Be approved through the lead entity SRFB review process in 2016.

Additional prerequisites for specific project types include the following:
1. Restoration projects: conceptual and preliminary design must be complete, final design must be complete or anticipated to be complete within the first six months of the award, and permit applications must be started. Project construction must commence within one year of contract award or the next available fish window. 
2. Engineering and design projects: at a minimum, a conceptual design as described in SRFB Manual 18 (Appendix D) must be complete and meet all appropriate requirements as identified in the SRFB process.
","Puget Sound Partnership","15","Up to 15%.  Match should be documented and broken out as to what funds are currently secured and those that are pending.  Higher match amounts (up to 15%) score more favorably.","$1,000,000","Projects must be at least $1M to be considered for the PSAR Large Capital program","2018-01-01T00:00:00.000","2018-08-01T00:00:00.000","Grant round begins Jan-Feb through local Lead Entity processes.  Projects must be on a Lead Entity's Four-Year Work Plan submitted in April of each year.  February to July = Pre-application; February to July 15 = Site Visits; August = Applications Due; November = Final Submittals; December = Grants Funded.","http://www.rco.wa.gov/grants/salmon.shtml","2017-10-10T00:00:00.000"
"Puget Sound Acquisition and Restoration Large Capital Grant Program","Counties, Cities, Towns","Acquisition","http://www.rco.wa.gov/documents/manuals&forms/Manual_18.pdf ","Washington State Recreation and Conservation Office","Active","Tara Galuska; 360-902-2953; tara.galuska@rco.wa.gov","Suzanna Stoike; 360-701-4604; suzanna.stoike@psp.wa.gov","Grant","This fund is specific to salmon projects in Puget Sound that implement the Puget Sound Chinook Recovery Plan.  Salmon recovery grants are awarded by the Salmon Recovery Funding Board to protect and restore salmon habitat.  The board funds projects that protect existing, high quality habitats for salmon, and that restore degraded habitat to increase overall habitat health and biological productivity.  The board also awards grants for feasibility assessments to determine future projects and for other salmon related activities.  Projects may include the actual habitat used by salmon and the land and water that support ecosystem functions and processes important to salmon.  The board believes that projects must be developed using science-based information and local citizen review.  Projects must demonstrate, through an evaluation and monitoring process, the capacity to be implemented and sustained effectively to benefit fish.  Applicants must submit their proposals to their local lead entity rather than directly to the Salmon Recovery Funding Board.  The lead entity is responsible for assembling a ranked list of projects from its area and submitting them to the Salmon Recovery Funding Board for consideration.","Each project must:
1. Address a high priority need identified in a watershed recovery plan chapter or a regional recovery plan for Puget Sound Chinook salmon or Hood Canal Summer Chum salmon or any other strategy submitted as part of the Four Year Workplan (4YWP) update to benefit Treaty rights populations or (other ESA-listed species populations). 
2. Demonstrate significant benefit to one or more listed salmon populations and/or salmon populations that benefit Treaty rights.
3. Require only funding for implementation (i.e. no other barriers with respect to authorizing environment, land ownership or project implementation exist) and be consistent with lead entity priorities and/or the 4YWP.
4. Begin implementation during the 2017-2019 biennium.  Implementation is defined as beginning work on one of the eligible project types above.
5. Be approved through the lead entity SRFB review process in 2016.

Additional prerequisites for specific project types include the following:
1. Restoration projects: conceptual and preliminary design must be complete, final design must be complete or anticipated to be complete within the first six months of the award, and permit applications must be started. Project construction must commence within one year of contract award or the next available fish window. 
2. Engineering and design projects: at a minimum, a conceptual design as described in SRFB Manual 18 (Appendix D) must be complete and meet all appropriate requirements as identified in the SRFB process.
","Puget Sound Partnership","15","Up to 15%.  Match should be documented and broken out as to what funds are currently secured and those that are pending.  Higher match amounts (up to 15%) score more favorably.","$1,000,000","Projects must be at least $1M to be considered for the PSAR Large Capital program","2018-01-01T00:00:00.000","2018-08-01T00:00:00.000","Grant round begins Jan-Feb through local Lead Entity processes.  Projects must be on a Lead Entity's Four-Year Work Plan submitted in April of each year.  February to July = Pre-application; February to July 15 = Site Visits; August = Applications Due; November = Final Submittals; December = Grants Funded.","http://www.rco.wa.gov/grants/salmon.shtml","2017-10-10T00:00:00.000"
"Puget Sound Acquisition and Restoration Large Capital Grant Program","Counties, Cities, Towns","Planning","http://www.rco.wa.gov/documents/manuals&forms/Manual_18.pdf ","Washington State Recreation and Conservation Office","Active","Tara Galuska; 360-902-2953; tara.galuska@rco.wa.gov","Suzanna Stoike; 360-701-4604; suzanna.stoike@psp.wa.gov","Grant","This fund is specific to salmon projects in Puget Sound that implement the Puget Sound Chinook Recovery Plan.  Salmon recovery grants are awarded by the Salmon Recovery Funding Board to protect and restore salmon habitat.  The board funds projects that protect existing, high quality habitats for salmon, and that restore degraded habitat to increase overall habitat health and biological productivity.  The board also awards grants for feasibility assessments to determine future projects and for other salmon related activities.  Projects may include the actual habitat used by salmon and the land and water that support ecosystem functions and processes important to salmon.  The board believes that projects must be developed using science-based information and local citizen review.  Projects must demonstrate, through an evaluation and monitoring process, the capacity to be implemented and sustained effectively to benefit fish.  Applicants must submit their proposals to their local lead entity rather than directly to the Salmon Recovery Funding Board.  The lead entity is responsible for assembling a ranked list of projects from its area and submitting them to the Salmon Recovery Funding Board for consideration.","Each project must:
1. Address a high priority need identified in a watershed recovery plan chapter or a regional recovery plan for Puget Sound Chinook salmon or Hood Canal Summer Chum salmon or any other strategy submitted as part of the Four Year Workplan (4YWP) update to benefit Treaty rights populations or (other ESA-listed species populations). 
2. Demonstrate significant benefit to one or more listed salmon populations and/or salmon populations that benefit Treaty rights.
3. Require only funding for implementation (i.e. no other barriers with respect to authorizing environment, land ownership or project implementation exist) and be consistent with lead entity priorities and/or the 4YWP.
4. Begin implementation during the 2017-2019 biennium.  Implementation is defined as beginning work on one of the eligible project types above.
5. Be approved through the lead entity SRFB review process in 2016.

Additional prerequisites for specific project types include the following:
1. Restoration projects: conceptual and preliminary design must be complete, final design must be complete or anticipated to be complete within the first six months of the award, and permit applications must be started. Project construction must commence within one year of contract award or the next available fish window. 
2. Engineering and design projects: at a minimum, a conceptual design as described in SRFB Manual 18 (Appendix D) must be complete and meet all appropriate requirements as identified in the SRFB process.
","Puget Sound Partnership","15","Up to 15%.  Match should be documented and broken out as to what funds are currently secured and those that are pending.  Higher match amounts (up to 15%) score more favorably.","$1,000,000","Projects must be at least $1M to be considered for the PSAR Large Capital program","2018-01-01T00:00:00.000","2018-08-01T00:00:00.000","Grant round begins Jan-Feb through local Lead Entity processes.  Projects must be on a Lead Entity's Four-Year Work Plan submitted in April of each year.  February to July = Pre-application; February to July 15 = Site Visits; August = Applications Due; November = Final Submittals; December = Grants Funded.","http://www.rco.wa.gov/grants/salmon.shtml","2017-10-10T00:00:00.000"
"Puget Sound Acquisition and Restoration Large Capital Grant Program","Nonprofit Organizations","Acquisition","http://www.rco.wa.gov/documents/manuals&forms/Manual_18.pdf ","Washington State Recreation and Conservation Office","Active","Tara Galuska; 360-902-2953; tara.galuska@rco.wa.gov","Suzanna Stoike; 360-701-4604; suzanna.stoike@psp.wa.gov","Grant","This fund is specific to salmon projects in Puget Sound that implement the Puget Sound Chinook Recovery Plan.  Salmon recovery grants are awarded by the Salmon Recovery Funding Board to protect and restore salmon habitat.  The board funds projects that protect existing, high quality habitats for salmon, and that restore degraded habitat to increase overall habitat health and biological productivity.  The board also awards grants for feasibility assessments to determine future projects and for other salmon related activities.  Projects may include the actual habitat used by salmon and the land and water that support ecosystem functions and processes important to salmon.  The board believes that projects must be developed using science-based information and local citizen review.  Projects must demonstrate, through an evaluation and monitoring process, the capacity to be implemented and sustained effectively to benefit fish.  Applicants must submit their proposals to their local lead entity rather than directly to the Salmon Recovery Funding Board.  The lead entity is responsible for assembling a ranked list of projects from its area and submitting them to the Salmon Recovery Funding Board for consideration.","Each project must:
1. Address a high priority need identified in a watershed recovery plan chapter or a regional recovery plan for Puget Sound Chinook salmon or Hood Canal Summer Chum salmon or any other strategy submitted as part of the Four Year Workplan (4YWP) update to benefit Treaty rights populations or (other ESA-listed species populations). 
2. Demonstrate significant benefit to one or more listed salmon populations and/or salmon populations that benefit Treaty rights.
3. Require only funding for implementation (i.e. no other barriers with respect to authorizing environment, land ownership or project implementation exist) and be consistent with lead entity priorities and/or the 4YWP.
4. Begin implementation during the 2017-2019 biennium.  Implementation is defined as beginning work on one of the eligible project types above.
5. Be approved through the lead entity SRFB review process in 2016.

Additional prerequisites for specific project types include the following:
1. Restoration projects: conceptual and preliminary design must be complete, final design must be complete or anticipated to be complete within the first six months of the award, and permit applications must be started. Project construction must commence within one year of contract award or the next available fish window. 
2. Engineering and design projects: at a minimum, a conceptual design as described in SRFB Manual 18 (Appendix D) must be complete and meet all appropriate requirements as identified in the SRFB process.
","Puget Sound Partnership","15","Up to 15%.  Match should be documented and broken out as to what funds are currently secured and those that are pending.  Higher match amounts (up to 15%) score more favorably.","$1,000,000","Projects must be at least $1M to be considered for the PSAR Large Capital program","2018-01-01T00:00:00.000","2018-08-01T00:00:00.000","Grant round begins Jan-Feb through local Lead Entity processes.  Projects must be on a Lead Entity's Four-Year Work Plan submitted in April of each year.  February to July = Pre-application; February to July 15 = Site Visits; August = Applications Due; November = Final Submittals; December = Grants Funded.","http://www.rco.wa.gov/grants/salmon.shtml","2017-10-10T00:00:00.000"
"Puget Sound Acquisition and Restoration Large Capital Grant Program","Nonprofit Organizations","Planning","http://www.rco.wa.gov/documents/manuals&forms/Manual_18.pdf ","Washington State Recreation and Conservation Office","Active","Tara Galuska; 360-902-2953; tara.galuska@rco.wa.gov","Suzanna Stoike; 360-701-4604; suzanna.stoike@psp.wa.gov","Grant","This fund is specific to salmon projects in Puget Sound that implement the Puget Sound Chinook Recovery Plan.  Salmon recovery grants are awarded by the Salmon Recovery Funding Board to protect and restore salmon habitat.  The board funds projects that protect existing, high quality habitats for salmon, and that restore degraded habitat to increase overall habitat health and biological productivity.  The board also awards grants for feasibility assessments to determine future projects and for other salmon related activities.  Projects may include the actual habitat used by salmon and the land and water that support ecosystem functions and processes important to salmon.  The board believes that projects must be developed using science-based information and local citizen review.  Projects must demonstrate, through an evaluation and monitoring process, the capacity to be implemented and sustained effectively to benefit fish.  Applicants must submit their proposals to their local lead entity rather than directly to the Salmon Recovery Funding Board.  The lead entity is responsible for assembling a ranked list of projects from its area and submitting them to the Salmon Recovery Funding Board for consideration.","Each project must:
1. Address a high priority need identified in a watershed recovery plan chapter or a regional recovery plan for Puget Sound Chinook salmon or Hood Canal Summer Chum salmon or any other strategy submitted as part of the Four Year Workplan (4YWP) update to benefit Treaty rights populations or (other ESA-listed species populations). 
2. Demonstrate significant benefit to one or more listed salmon populations and/or salmon populations that benefit Treaty rights.
3. Require only funding for implementation (i.e. no other barriers with respect to authorizing environment, land ownership or project implementation exist) and be consistent with lead entity priorities and/or the 4YWP.
4. Begin implementation during the 2017-2019 biennium.  Implementation is defined as beginning work on one of the eligible project types above.
5. Be approved through the lead entity SRFB review process in 2016.

Additional prerequisites for specific project types include the following:
1. Restoration projects: conceptual and preliminary design must be complete, final design must be complete or anticipated to be complete within the first six months of the award, and permit applications must be started. Project construction must commence within one year of contract award or the next available fish window. 
2. Engineering and design projects: at a minimum, a conceptual design as described in SRFB Manual 18 (Appendix D) must be complete and meet all appropriate requirements as identified in the SRFB process.
","Puget Sound Partnership","15","Up to 15%.  Match should be documented and broken out as to what funds are currently secured and those that are pending.  Higher match amounts (up to 15%) score more favorably.","$1,000,000","Projects must be at least $1M to be considered for the PSAR Large Capital program","2018-01-01T00:00:00.000","2018-08-01T00:00:00.000","Grant round begins Jan-Feb through local Lead Entity processes.  Projects must be on a Lead Entity's Four-Year Work Plan submitted in April of each year.  February to July = Pre-application; February to July 15 = Site Visits; August = Applications Due; November = Final Submittals; December = Grants Funded.","http://www.rco.wa.gov/grants/salmon.shtml","2017-10-10T00:00:00.000"
"Puget Sound Acquisition and Restoration Large Capital Grant Program","Nonprofit Organizations","Combination (multiple project types)","http://www.rco.wa.gov/documents/manuals&forms/Manual_18.pdf ","Washington State Recreation and Conservation Office","Active","Tara Galuska; 360-902-2953; tara.galuska@rco.wa.gov","Suzanna Stoike; 360-701-4604; suzanna.stoike@psp.wa.gov","Grant","This fund is specific to salmon projects in Puget Sound that implement the Puget Sound Chinook Recovery Plan.  Salmon recovery grants are awarded by the Salmon Recovery Funding Board to protect and restore salmon habitat.  The board funds projects that protect existing, high quality habitats for salmon, and that restore degraded habitat to increase overall habitat health and biological productivity.  The board also awards grants for feasibility assessments to determine future projects and for other salmon related activities.  Projects may include the actual habitat used by salmon and the land and water that support ecosystem functions and processes important to salmon.  The board believes that projects must be developed using science-based information and local citizen review.  Projects must demonstrate, through an evaluation and monitoring process, the capacity to be implemented and sustained effectively to benefit fish.  Applicants must submit their proposals to their local lead entity rather than directly to the Salmon Recovery Funding Board.  The lead entity is responsible for assembling a ranked list of projects from its area and submitting them to the Salmon Recovery Funding Board for consideration.","Each project must:
1. Address a high priority need identified in a watershed recovery plan chapter or a regional recovery plan for Puget Sound Chinook salmon or Hood Canal Summer Chum salmon or any other strategy submitted as part of the Four Year Workplan (4YWP) update to benefit Treaty rights populations or (other ESA-listed species populations). 
2. Demonstrate significant benefit to one or more listed salmon populations and/or salmon populations that benefit Treaty rights.
3. Require only funding for implementation (i.e. no other barriers with respect to authorizing environment, land ownership or project implementation exist) and be consistent with lead entity priorities and/or the 4YWP.
4. Begin implementation during the 2017-2019 biennium.  Implementation is defined as beginning work on one of the eligible project types above.
5. Be approved through the lead entity SRFB review process in 2016.

Additional prerequisites for specific project types include the following:
1. Restoration projects: conceptual and preliminary design must be complete, final design must be complete or anticipated to be complete within the first six months of the award, and permit applications must be started. Project construction must commence within one year of contract award or the next available fish window. 
2. Engineering and design projects: at a minimum, a conceptual design as described in SRFB Manual 18 (Appendix D) must be complete and meet all appropriate requirements as identified in the SRFB process.
","Puget Sound Partnership","15","Up to 15%.  Match should be documented and broken out as to what funds are currently secured and those that are pending.  Higher match amounts (up to 15%) score more favorably.","$1,000,000","Projects must be at least $1M to be considered for the PSAR Large Capital program","2018-01-01T00:00:00.000","2018-08-01T00:00:00.000","Grant round begins Jan-Feb through local Lead Entity processes.  Projects must be on a Lead Entity's Four-Year Work Plan submitted in April of each year.  February to July = Pre-application; February to July 15 = Site Visits; August = Applications Due; November = Final Submittals; December = Grants Funded.","http://www.rco.wa.gov/grants/salmon.shtml","2017-10-10T00:00:00.000"
"Puget Sound Acquisition and Restoration Large Capital Grant Program","Tribes","Other","http://www.rco.wa.gov/documents/manuals&forms/Manual_18.pdf ","Washington State Recreation and Conservation Office","Active","Tara Galuska; 360-902-2953; tara.galuska@rco.wa.gov","Suzanna Stoike; 360-701-4604; suzanna.stoike@psp.wa.gov","Grant","This fund is specific to salmon projects in Puget Sound that implement the Puget Sound Chinook Recovery Plan.  Salmon recovery grants are awarded by the Salmon Recovery Funding Board to protect and restore salmon habitat.  The board funds projects that protect existing, high quality habitats for salmon, and that restore degraded habitat to increase overall habitat health and biological productivity.  The board also awards grants for feasibility assessments to determine future projects and for other salmon related activities.  Projects may include the actual habitat used by salmon and the land and water that support ecosystem functions and processes important to salmon.  The board believes that projects must be developed using science-based information and local citizen review.  Projects must demonstrate, through an evaluation and monitoring process, the capacity to be implemented and sustained effectively to benefit fish.  Applicants must submit their proposals to their local lead entity rather than directly to the Salmon Recovery Funding Board.  The lead entity is responsible for assembling a ranked list of projects from its area and submitting them to the Salmon Recovery Funding Board for consideration.","Each project must:
1. Address a high priority need identified in a watershed recovery plan chapter or a regional recovery plan for Puget Sound Chinook salmon or Hood Canal Summer Chum salmon or any other strategy submitted as part of the Four Year Workplan (4YWP) update to benefit Treaty rights populations or (other ESA-listed species populations). 
2. Demonstrate significant benefit to one or more listed salmon populations and/or salmon populations that benefit Treaty rights.
3. Require only funding for implementation (i.e. no other barriers with respect to authorizing environment, land ownership or project implementation exist) and be consistent with lead entity priorities and/or the 4YWP.
4. Begin implementation during the 2017-2019 biennium.  Implementation is defined as beginning work on one of the eligible project types above.
5. Be approved through the lead entity SRFB review process in 2016.

Additional prerequisites for specific project types include the following:
1. Restoration projects: conceptual and preliminary design must be complete, final design must be complete or anticipated to be complete within the first six months of the award, and permit applications must be started. Project construction must commence within one year of contract award or the next available fish window. 
2. Engineering and design projects: at a minimum, a conceptual design as described in SRFB Manual 18 (Appendix D) must be complete and meet all appropriate requirements as identified in the SRFB process.
","Puget Sound Partnership","15","Up to 15%.  Match should be documented and broken out as to what funds are currently secured and those that are pending.  Higher match amounts (up to 15%) score more favorably.","$1,000,000","Projects must be at least $1M to be considered for the PSAR Large Capital program","2018-01-01T00:00:00.000","2018-08-01T00:00:00.000","Grant round begins Jan-Feb through local Lead Entity processes.  Projects must be on a Lead Entity's Four-Year Work Plan submitted in April of each year.  February to July = Pre-application; February to July 15 = Site Visits; August = Applications Due; November = Final Submittals; December = Grants Funded.","http://www.rco.wa.gov/grants/salmon.shtml","2017-10-10T00:00:00.000"
"Puget Sound Acquisition and Restoration Large Capital Grant Program","Nonprofit Organizations","Other","http://www.rco.wa.gov/documents/manuals&forms/Manual_18.pdf ","Washington State Recreation and Conservation Office","Active","Tara Galuska; 360-902-2953; tara.galuska@rco.wa.gov","Suzanna Stoike; 360-701-4604; suzanna.stoike@psp.wa.gov","Grant","This fund is specific to salmon projects in Puget Sound that implement the Puget Sound Chinook Recovery Plan.  Salmon recovery grants are awarded by the Salmon Recovery Funding Board to protect and restore salmon habitat.  The board funds projects that protect existing, high quality habitats for salmon, and that restore degraded habitat to increase overall habitat health and biological productivity.  The board also awards grants for feasibility assessments to determine future projects and for other salmon related activities.  Projects may include the actual habitat used by salmon and the land and water that support ecosystem functions and processes important to salmon.  The board believes that projects must be developed using science-based information and local citizen review.  Projects must demonstrate, through an evaluation and monitoring process, the capacity to be implemented and sustained effectively to benefit fish.  Applicants must submit their proposals to their local lead entity rather than directly to the Salmon Recovery Funding Board.  The lead entity is responsible for assembling a ranked list of projects from its area and submitting them to the Salmon Recovery Funding Board for consideration.","Each project must:
1. Address a high priority need identified in a watershed recovery plan chapter or a regional recovery plan for Puget Sound Chinook salmon or Hood Canal Summer Chum salmon or any other strategy submitted as part of the Four Year Workplan (4YWP) update to benefit Treaty rights populations or (other ESA-listed species populations). 
2. Demonstrate significant benefit to one or more listed salmon populations and/or salmon populations that benefit Treaty rights.
3. Require only funding for implementation (i.e. no other barriers with respect to authorizing environment, land ownership or project implementation exist) and be consistent with lead entity priorities and/or the 4YWP.
4. Begin implementation during the 2017-2019 biennium.  Implementation is defined as beginning work on one of the eligible project types above.
5. Be approved through the lead entity SRFB review process in 2016.

Additional prerequisites for specific project types include the following:
1. Restoration projects: conceptual and preliminary design must be complete, final design must be complete or anticipated to be complete within the first six months of the award, and permit applications must be started. Project construction must commence within one year of contract award or the next available fish window. 
2. Engineering and design projects: at a minimum, a conceptual design as described in SRFB Manual 18 (Appendix D) must be complete and meet all appropriate requirements as identified in the SRFB process.
","Puget Sound Partnership","15","Up to 15%.  Match should be documented and broken out as to what funds are currently secured and those that are pending.  Higher match amounts (up to 15%) score more favorably.","$1,000,000","Projects must be at least $1M to be considered for the PSAR Large Capital program","2018-01-01T00:00:00.000","2018-08-01T00:00:00.000","Grant round begins Jan-Feb through local Lead Entity processes.  Projects must be on a Lead Entity's Four-Year Work Plan submitted in April of each year.  February to July = Pre-application; February to July 15 = Site Visits; August = Applications Due; November = Final Submittals; December = Grants Funded.","http://www.rco.wa.gov/grants/salmon.shtml","2017-10-10T00:00:00.000"
"Puget Sound Acquisition and Restoration Large Capital Grant Program","Tribes","Restoration","http://www.rco.wa.gov/documents/manuals&forms/Manual_18.pdf ","Washington State Recreation and Conservation Office","Active","Tara Galuska; 360-902-2953; tara.galuska@rco.wa.gov","Suzanna Stoike; 360-701-4604; suzanna.stoike@psp.wa.gov","Grant","This fund is specific to salmon projects in Puget Sound that implement the Puget Sound Chinook Recovery Plan.  Salmon recovery grants are awarded by the Salmon Recovery Funding Board to protect and restore salmon habitat.  The board funds projects that protect existing, high quality habitats for salmon, and that restore degraded habitat to increase overall habitat health and biological productivity.  The board also awards grants for feasibility assessments to determine future projects and for other salmon related activities.  Projects may include the actual habitat used by salmon and the land and water that support ecosystem functions and processes important to salmon.  The board believes that projects must be developed using science-based information and local citizen review.  Projects must demonstrate, through an evaluation and monitoring process, the capacity to be implemented and sustained effectively to benefit fish.  Applicants must submit their proposals to their local lead entity rather than directly to the Salmon Recovery Funding Board.  The lead entity is responsible for assembling a ranked list of projects from its area and submitting them to the Salmon Recovery Funding Board for consideration.","Each project must:
1. Address a high priority need identified in a watershed recovery plan chapter or a regional recovery plan for Puget Sound Chinook salmon or Hood Canal Summer Chum salmon or any other strategy submitted as part of the Four Year Workplan (4YWP) update to benefit Treaty rights populations or (other ESA-listed species populations). 
2. Demonstrate significant benefit to one or more listed salmon populations and/or salmon populations that benefit Treaty rights.
3. Require only funding for implementation (i.e. no other barriers with respect to authorizing environment, land ownership or project implementation exist) and be consistent with lead entity priorities and/or the 4YWP.
4. Begin implementation during the 2017-2019 biennium.  Implementation is defined as beginning work on one of the eligible project types above.
5. Be approved through the lead entity SRFB review process in 2016.

Additional prerequisites for specific project types include the following:
1. Restoration projects: conceptual and preliminary design must be complete, final design must be complete or anticipated to be complete within the first six months of the award, and permit applications must be started. Project construction must commence within one year of contract award or the next available fish window. 
2. Engineering and design projects: at a minimum, a conceptual design as described in SRFB Manual 18 (Appendix D) must be complete and meet all appropriate requirements as identified in the SRFB process.
","Puget Sound Partnership","15","Up to 15%.  Match should be documented and broken out as to what funds are currently secured and those that are pending.  Higher match amounts (up to 15%) score more favorably.","$1,000,000","Projects must be at least $1M to be considered for the PSAR Large Capital program","2018-01-01T00:00:00.000","2018-08-01T00:00:00.000","Grant round begins Jan-Feb through local Lead Entity processes.  Projects must be on a Lead Entity's Four-Year Work Plan submitted in April of each year.  February to July = Pre-application; February to July 15 = Site Visits; August = Applications Due; November = Final Submittals; December = Grants Funded.","http://www.rco.wa.gov/grants/salmon.shtml","2017-10-10T00:00:00.000"
"Puget Sound Acquisition and Restoration Large Capital Grant Program","Tribes","Acquisition","http://www.rco.wa.gov/documents/manuals&forms/Manual_18.pdf ","Washington State Recreation and Conservation Office","Active","Tara Galuska; 360-902-2953; tara.galuska@rco.wa.gov","Suzanna Stoike; 360-701-4604; suzanna.stoike@psp.wa.gov","Grant","This fund is specific to salmon projects in Puget Sound that implement the Puget Sound Chinook Recovery Plan.  Salmon recovery grants are awarded by the Salmon Recovery Funding Board to protect and restore salmon habitat.  The board funds projects that protect existing, high quality habitats for salmon, and that restore degraded habitat to increase overall habitat health and biological productivity.  The board also awards grants for feasibility assessments to determine future projects and for other salmon related activities.  Projects may include the actual habitat used by salmon and the land and water that support ecosystem functions and processes important to salmon.  The board believes that projects must be developed using science-based information and local citizen review.  Projects must demonstrate, through an evaluation and monitoring process, the capacity to be implemented and sustained effectively to benefit fish.  Applicants must submit their proposals to their local lead entity rather than directly to the Salmon Recovery Funding Board.  The lead entity is responsible for assembling a ranked list of projects from its area and submitting them to the Salmon Recovery Funding Board for consideration.","Each project must:
1. Address a high priority need identified in a watershed recovery plan chapter or a regional recovery plan for Puget Sound Chinook salmon or Hood Canal Summer Chum salmon or any other strategy submitted as part of the Four Year Workplan (4YWP) update to benefit Treaty rights populations or (other ESA-listed species populations). 
2. Demonstrate significant benefit to one or more listed salmon populations and/or salmon populations that benefit Treaty rights.
3. Require only funding for implementation (i.e. no other barriers with respect to authorizing environment, land ownership or project implementation exist) and be consistent with lead entity priorities and/or the 4YWP.
4. Begin implementation during the 2017-2019 biennium.  Implementation is defined as beginning work on one of the eligible project types above.
5. Be approved through the lead entity SRFB review process in 2016.

Additional prerequisites for specific project types include the following:
1. Restoration projects: conceptual and preliminary design must be complete, final design must be complete or anticipated to be complete within the first six months of the award, and permit applications must be started. Project construction must commence within one year of contract award or the next available fish window. 
2. Engineering and design projects: at a minimum, a conceptual design as described in SRFB Manual 18 (Appendix D) must be complete and meet all appropriate requirements as identified in the SRFB process.
","Puget Sound Partnership","15","Up to 15%.  Match should be documented and broken out as to what funds are currently secured and those that are pending.  Higher match amounts (up to 15%) score more favorably.","$1,000,000","Projects must be at least $1M to be considered for the PSAR Large Capital program","2018-01-01T00:00:00.000","2018-08-01T00:00:00.000","Grant round begins Jan-Feb through local Lead Entity processes.  Projects must be on a Lead Entity's Four-Year Work Plan submitted in April of each year.  February to July = Pre-application; February to July 15 = Site Visits; August = Applications Due; November = Final Submittals; December = Grants Funded.","http://www.rco.wa.gov/grants/salmon.shtml","2017-10-10T00:00:00.000"
