"community_served_billing_entity","districts","treatment_facility_discharge_permit","median_household_income_est_2014","population_2015","population_range","county","permit","permit_type","base_rate_mo","cf_included_in_base","rate_per_100cf","rate_1000cf","low_income_rate_1000cf","outside_city_rate","rate_per_100cf_outside","low_fixed_income_senior_discount","discount_off","discount_rate","sw_fee","user_classes","year_rates_updated","_2017_base_rate_mo","_2017_outside","_2017_low_income_rate","_2018_base_rate_mo","_2018_low_income_rate","_2019_base_rate_mo","_2019_low_income_rate","_2006_rate_1000cf","website"
"Reardan Town",,"Reardan STP","42981.00","548","Up to 1000","Lincoln","Y","NPDES","60.05","Flat",,"60.05",,"No sewer",,"No",,,"None","None","2016","65.05",,,,,,,"39.79",
"Redmond City",,,"99586.00","59285","25000+","King","N",,"56.28","Flat","1.75","56.28","28.14",,,"Yes","0.5","28.14","$16.56","Many","2016",,,,,,,,"44.31","http://www.redmond.gov/Government/FinancesandBudget/UtilityBilling/GeneralRates/"
"Renton City",,,"65223.00","98404","25000+","King","N",,"70.26","Flat",,"70.26",,"$105.39","Flat","Yes",,,"$13.73","Many","2016",,,,,,,,"39.03","http://rentonwa.gov/uploadedFiles/Living/PBPW/UTILITIES/2016%20Rate%20Brochure%20FINAL.pdf"
"Republic City",,"Republic STP","24250.00","1083","1,001- 2,500","Ferry","Y","SWDP","26.00","Flat",,"26.00","24.96","No sewer",,"Yes","0.04","25.00","None","Many","Annually",,,,,,,,"16.59","https://www.municode.com/library/wa/republic/codes/code_of_ordinances?nodeId=TIT13PUSE"
"Richland City",,"Richland POTW","69372.00","53019","25000+","Benton","Y","NPDES","25.60","Flat",,"25.60","15.36",,,"Yes","0.4","16.63","$3.85",,"2004",,,,,,,,"24.13","https://www.ci.richland.wa.us/departments/administrative-services/finance/utility-billing/rates"
"Ridgefield city (Clark Regional Wastewater District)",,,"91205.00","6123","5,001- 10,000","Clark",,,"62.15","Flat",,"62.15",,,,,,,,,,,,,,,,,"38.14","http://www.crwwd.com/rates.html"
"Ritzville City",,"Ritzville WWTP","38476.00","1671","1,001- 2,500","Adams","Y","SWDP","58.00","Flat",,"58.00",,"no sewer",,"none",,,,"Few","2016",,,,,,,,"36.00","http://www.co.adams.wa.us/departments/public_works/index.php"
"Riverside Town",,,"32227.00","272","Up to 1000","Okanogan","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,
"Rochester…",,"Grand Mound STP",,,,"Thurston","Y","NPDES",,,,,,,,,,,,,,,,,,,,,,
"Rockford Town",,"Rockford Town of STP","56042.00","469","Up to 1000","Spokane","Y","NPDES","75.89","Flat",,"75.89",,"$75.89","Flat","No",,,"None","Many","2016",,,,,,,,"26.00","https://www.rockfordwa.com/home.html"
"Rock Island City",,"Rock Island City POTW NPDES","42500.00","792","Up to 1000","Douglas",,"NPDES","67.00","Flat",,"67.00","60.30","$87.10","Flat","Yes","0.1",,"None","Few","2016",,,,,,,,,
"Rosalia Town",,"Rosalia STP","34830.00","549","Up to 1000","Whitman","Y","NPDES","37.99","Flat",,"37.99",,"$37.99","Flat","No",,,"None","Few","2012","47.49",,,,,,,"23.25",
"Roslyn City",,,"56932.00","896","Up to 1000","Kittitas","Y",,"56.26","Flat",,"56.26","20.00","Flat","$56.26","Yes","0.6445076430856737","20.00","$10.90","Many","2016","45.74",,,"$47.10",,"$48.51",,"41.06","http://www.ci.roslyn.wa.us/departments/Utility-Rates.pdf"
"Royal City City",,"Royal City Water Reclamation Facility","30670.00","2217","1,001- 2,500","Grant","Y","SWDP","45.75","Flat",,"45.75","36.60",,,"Yes","0.2","36.60","None","Few",,,,,,,,,"39.25","http://royalcitywa.org/util.html"
"Roy City",,,"61477.00","805","Up to 1000","Pierce","N","No Sewer",,"No Sewer",,,,,,,,,,,,,,,,,,,,
"Rustlewood (STP)",,"Rustlewood STP",,,,"Mason","Y","NPDES","88.00","Flat",,"88.00",,,,,,,"None",,"2009",,,,,,,,"65.00",
"Ruston Town",,,"81300.00","791","Up to 1000","Pierce","N",,"61.50","Flat",,"61.50",,,,,,,"$4.00",,"2016","67.67",,,,,,,"21.45",
"Ryderwood? ",,"Ryderwood",,,,"Cowlitz","Y","NPDES",,,,,,,,,,,,,,,,,,,,,,
"Sacheen Lake Sewer District","District",,,,,,,,"178.41",,,,,,,,,,,,,,,,,,,,,
"Sammamish City ( Sammamish Plateau Water & Sewer District)",,,"144775.00","51229","25000+","King","N",,"75.19","Flat",,"75.19",,,,,,,"$8.72","Many","2016",,,,,,,,"47.39","http://spwater.org/165/Single-Family-Residential-Water-and-Sewe"
"Sammamish Plateau Water & Sewer District","District",,,,,"King","N",,"33.16","Flat",,"33.16",,,,,,,,"Many","2016",,,,,,,,"47.39","http://spwater.org/165/Single-Family-Residential-Water-and-Sewe"
"SeaTac City",,,"45573.00","28126","25000+","King","N",,"49.00","Flat",,"49.00",,,,,,,,,"2016",,,,,,,,,"http://www.midwaysewer.org/rates-increase-august-1-2012"
"Seattle City",,,"67365.00","668342","25000+","King","N",,"12.27","0","12.27","122.70","61.35",,,"Yes","0.5","61.35","$10.32","None","2016",,,,,,,,"67.60","http://www.seattle.gov/util/MyServices/Rates/index.htm"
"Sedro-Woolley City",,"Sedro Woolley WWTP","44014.00","10764","10,000- 25,000","Skagit","Y","NPDES","57.46","Flat",,"57.46","39.65","$86.19","Flat","Yes","0.31","39.78","$5.67","Many","2016",,,,,,,,"41.75","http://www.ci.sedro-woolley.wa.us/Finance/main.htm?tab=1#UtilityRates"
"Selah City",,"Selah POTW","50333.00","7444","5,001- 10,000","Yakima","Y","NPDES","38.20","Flat",,"38.20","26.74","$57.30","Flat","Yes","0.3","23.41","None","Many","2016",,,,,,,,"31.00","https://selahwa.gov/utility-services/"
"Sequim City",,"Sequim Water Reclamation Facility","38739.00","6737","5,001- 10,000","Clallam","Y","NPDES","60.59","600",,"70.31",,"$121.18",,"Yes",,"30.30","None","Many","2016",,,,,,,,"41.09","http://www.sequimwa.gov/FAQ.aspx?TID=15"
"Shelton City",,"Shelton STP, Shelton Water Reclamation Facility","40833.00","9777","5,001- 10,000","Mason","Y","NPDES/ SWDP","44.50","0","8.91","133.60","110.89","$66.75","$13.37","Yes","0.17","110.89","$8.50","Many","Annually","46.73",,"$38.79","$49.06","40.72","$51.51","42.75","57.45","http://www.codepublishing.com/WA/Shelton/#!/Shelton14/Shelton1428.html#14.28"
"Shoreline City",,,"64096.00","55174","25000+","King","N",,"53.50","Flat",,"53.50",,,,,,,"$9.25",,"2015",,,,,,,,,"http://www.ronaldwastewater.org/customer.html"
"Skykomish Town",,,"38906.00","204","Up to 1000","King","N",,"41.00","Flat",,"41.00",,,,,,,,"Many","2012",,,,,,,,,"http://www.codepublishing.com/WA/Skykomish/html/Skykomish13/Skykomish1325.html"
"Snohomish City",,"Snohomish STP","52250.00","9544","5,001- 10,000","Snohomish","Y","NPDES","69.99","400","5.90","105.39","52.70","$104.99","$158.09","Yes","0.5","35.00","$14.39","Many","Annually",,,,,,,,"58.35","http://snohomishwa.gov/495/Utility-Rates"
"Snoqualmie City",,,"130060.00","12630","10,000- 25,000","King","Y",,"48.51","Flat",,"48.51","26.85","$72.77",,"Yes","0.44650587507730355","26.85","$19.36","Many","2016",,,,,,,,"30.00","http://www.ci.snoqualmie.wa.us/Residents/Utilities/WaterUtilityServicesRates.aspx"
"Soap Lake City",,"Soap Lake STP","26250.00","1585","1,001- 2,500","Grant","Y","SWDP","44.76","Flat",,"44.76",,"No sewer",,"No",,,"None","Many","Annually","45.34",,,,,,,"25.18","http://www.cityofsoaplake.org/public-works"
"Soos Creek Water & Sewer District","District",,,,,"King","N",,"59.88","Flat",,"59.88",,,,,,,,"Many","2013",,,,,,,,"40.40","http://www.sooscreek.com/utility-rates"
"South Bend City",,,"30699.00","1594","1,001- 2,500","Pacific","Y",,"109.83","Flat",,"109.83",,"$129.68","Flat","Yes",,,"$6.63","Many","2015",,,,,,,,"38.30",
"South Cle Elum Town",,,"44792.00","532","Up to 1000","Kittitas","N",,,"Flat",,,,"#REF!",,"No",,,,"Many","Annually","37.07","$37.07",,"$38.18",,"$39.33",,"27.00",
"South Prairie Town",,"South Prairie STP","70568.00","435","Up to 1000","Pierce","Y","NPDES","74.25","Flat",,"74.25",,"No sewer",,"No",,,"None","Many","Annually","77.96",,,,,,,"39.82","http://www.townofsouthprairie.com/UserFiles/ords/Water-Sewer%20Utilities/Ord%20550%20-%20Utility%20Ord%20-%20Amend%20Ord%20542%20-%20Change%20Late%20Fee%20-%20for%20Web%20Posting.pdf"
"Southwest Suburban Sewer District","District",,,,,"King","N",,"31.50","Flat",,"31.50","26.15","N/A",,"Yes","0.17","26.00","None","Many","2016",,,,,,,,"19.50","http://www.swssd.com/fees--charges.html"
"Spangle Town",,,"31667.00","288","Up to 1000","Spokane","Y",,"50.00","Flat",,"50.00",,"No sewer",,"No",,,"None",,"2006",,,,,,,,"50.00",
"Spokane City",,"SPOKANE RIVERSIDE PARK AWTF AND CSOs","42814.00","212052","25000+","Spokane","Y","NPDES","57.60","Flat",,"57.60",,"$91.39","Flat","No",,,"$4.18","Many","Annually",,,,,,,,"27.22","https://my.spokanecity.org/publicworks/utility-billing/rates/"
"Spokane Valley City (Spokane County Environmental Services)",,"Spokane County Regional Water Reclamation Facility (SCRWRF)","48274.00","91729","25000+","Spokane","Y","NPDES","47.51","Flat",,"47.51","38.01","$46.41","Flat","Yes","0.2","38.01",,,,,,,,,,,,"http://www.spokanecounty.org/FAQ.aspx?TID=40"
"Sprague City",,"Sprague STP","29375.00","423","Up to 1000","Lincoln","Y","SWDP","45.15","Flat",,"45.15",,"$45.15","Flat","No",,,"None","None","2016","47.40",,,,,,,"34.25","http://www.sprague-wa.us/contact-us.html"
"Springdale Town",,"Springdale WWTP","19323.00","276","Up to 1000","Stevens","Y","SWDP","65.89","Flat",,"65.89",,"No sewer",,"No",,,"None",,"Annually","72.06",,,,,,,,"http://townofspringdalewa.org/departments/town-clerk/"
"Stanwood City",,"Stanwood STP","53600.00","6739","5,001- 10,000","Snohomish","Y","NPDES","39.79","1220","5.55","39.79","27.85","$57.70","$8.05","Yes","0.3","27.85","$12.25","Many","2006","41.18",,,"$42.63",,,,"68.10","http://www.ci.stanwood.wa.us/finance/page/water-sewer-drainage-utility-rates"
"Starbuck Town",,,"33846.00","127","Up to 1000","Columbia","Y",,"16.00","0","1.50","31.00",,,,,,,,,"2006",,,,,,,,"23.48","N/A"
"Steilacoom Town",,,"57434.00","6179","5,001- 10,000","Pierce","N",,"49.96","Flat",,"49.96",,"$60.15",,,,,"$16.48","Many","Annually",,,,,,,,"37.21","http://www.townofsteilacoom.com/239/UTILITY-RATES"
"Steptoe?",,"Steptoe Sewer District",,,,"Whitman","Y","SWDP",,"Flat",,,,,,,,,,,,,,,,,,,,
"Stevens County PUD?","District","Addy Blue Creek Sewer System, Waitts Lake/Valley Sewer System",,,,"Stevens","Y","SWDP",,,,,,,,,,,,,,,,,,,,,,
"Stevenson City",,"Stevenson STP","43281.00","1499","1,001- 2,500","Skamania","Y","NPDES","29.95","Flat",,"29.95","14.98","No sewer",,"Yes","0.5","14.98","None","Many","2012",,,,,,,,"20.50","http://ci.stevenson.wa.us/government/public-works-department/waste-water/"
"St. John Town",,"St. John WWTP","26136.00","545","Up to 1000","Whitman","Y","NPDES","35.00","Flat",,"35.00",,"$35.00","Flat","No",,,"None","Few","2016",,,,,,,,"15.00","http://www.stjohnwa.com/contact"
"Sultan City",,"Sultan WWTP","55128.00","4769","2,501- 5,000","Snohomish","Y","NPDES","74.47","Flat",,"74.47","37.24","$74.47","Flat","Yes","0.5","37.24","$10.11","Many","2013",,,,,,,,"49.00",
"Sumas City",,,"55526.00","1348","1,001- 2,500","Whatcom","N",,"11.85","0","5.95","71.31",,,,,,,"$1.50","Many","2014",,,,,,,,"35.00","http://www.cityofsumas.info/utility-rates-and-fees/"
"Sumner City",,"Sumner","52275.00","9677","5,001- 10,000","Pierce","Y","NPDES","49.09","500","7.23","85.24",,"61.36","9.04","No",,,"$14.58","Many","Annually","50.69","63.36",,"52.33",,,,"34.48","http://sumnerwa.gov/living/utilities/monthly-utility-rates/"
"Sunland Water District","District","Sunland Water Reclamation Facility",,,,"Clallam","Y","SWDP","63.00","Flat",,"63.00",,,,"No",,,"None","Few","Annually",,,,,,,,"31.00","http://sunlandwater.com/"
"Sunnyside City",,"Sunnyside POTW","32641.00","16140","10,000- 25,000","Yakima","Y","NPDES","40.65","2184","3.61","40.65","28.50","$50.81","$4.51","Yes","0.29889298892988925","28.50","$3.75","Many","2015",,,,,,,,"39.82",
"Tacoma City",,"Tacoma North NO 3, Tacoma Central NO 1","51269.00","205159","25000+","Pierce","Y","NPDES","22.79","0","4.30","65.79","46.05",,,"Yes","0.3","15.95","$6.73 + $1.1085/500sf","Many","Biennial","23.88",,"$4.47","$24.96","4.68",,,"38.24",
"Tamoshan & Beverly Beach",,"Tamoshan WWTP",,,,"Thurston","Y","NPDES","117.78","Flat",,"117.78",,,,"No",,,,,,"121.49",,,"127.56",,,,,"http://www.co.thurston.wa.us/publicworks/Docs/WSU/RateIncreaseNoticeWeb2017.pdf"
"Tehaleh (formerly Cascadia)",,"Teheleh (formerly Cascadia) WWTP",,,,"Pierce","N",,"45.64","Flat",,"45.64","36.51",,,"Yes","0.2","36.51",,,,"55.00",,,,,,,,"http://www.co.pierce.wa.us/1646/Sewer-Rates"
"Tekoa City",," Tekoa STP","45179.00","784","Up to 1000","Whitman","Y","NPDES","46.00","Flat",,"46.00",,"$51.00","Flat","No",,,"None","None","Annually",,,,,,,,"29.00","http://tekoawa.com/resolutions/99161feeresolution.html"
"Tenino City",,"Tenino Water Reclamation Facility","52865.00","1729","1,001- 2,500","Thurston","Y","SWDP","115.00","Flat",,"115.00",,"No",,"No",,,"None","Per ERU","2015",,,,,,,,,
"Terrace Heights Sewer District","District","Yakima POTW",,,,"Yakima",,,"50.00","Flat",,"50.00",,"None",,"None",,,"None","Few","2014",,,,,,,,,
"Tieton Town",,"Cowiche Regional POTW","39063.00","1247","1,001- 2,500","Yakima","N",,"47.00","1000","4.79","47.00",,,,,,,,,,"47.94",,,,,,,,
"Toledo City",,"Cowlitz Indian Tribal Housing Wastewater Treatment Plant?","29728.00","721","Up to 1000","Lewis","Y","NPDES","73.30","535","0.30","74.69",,"$99.90","$0.45","No",,,"None","Few","2014",,,,,,,,"29.98","http://www.toledowa.us/assets/w-s-fact-sheet.pdf"
"Tonasket City",,"Tonasket POTW","19722.00","1018","1,001- 2,500","Okanogan","Y","NPDES","30.74","Flat",,"30.74",,"$46.12",,"No",,,"None","Many","Annually",,,,,,,,"30.16",
"Toppenish City",,"City of Toppenish POTW","29135.00","8996","5,001- 10,000","Yakima","Y","NPDES","60.23","Flat",,"60.23",,"$75.29","Flat","Yes",,,"$1.00",,"2006",,,,,,,,"29.87",
"Touchet?",,"Walla Walla Water District 2",,,,"Walla Walla","Y","SWDP",,,,,,,,,,,,,,,,,,,,,,
"Tukwila City",,,"44820.00","19920","10,000- 25,000","King","N",,"71.03","Flat",,"71.03","35.52",,,"Yes","0.5","35.52","$13.58","Many","2016",,,,,,,,"33.60","http://www.tukwilawa.gov/departments/finance/finance-department-utilities/"
"Tumwater City",,"LOTT Budd Inlet Water Reclamation Facility, MWRWP","62258.00","18820","10,000- 25,000","Thurston","Y","NPDES","53.02","Flat",,"53.02",,"$74.23","Flat","Yes",,,"$6.00","Many","Annually",,,,,,,,"37.55","http://lottcleanwater.org/wp-content/uploads/2016/06/rates.pdf"
"Twisp Town",,"Twisp POTW","30929.00","937","Up to 1000","Okanogan","Y","NPDES","50.76","Flat",,"50.76",,"No sewer",,"No",,,"None","Many","Annually","52.28",,,,,,,"29.00",
"Union Gap City",,"Yakima POTW","34624.00","6030","5,001- 10,000","Yakima","N",,"42.36","Flat",,"42.36",,"No Sewer","Flat","No",,,,"Many","2016","43.21",,,"$44.07",,,,"30.13","https://uniongapwa.gov/public-works/sewer/"
"UnionTown Town",,"Uniontown STP","63438.00","322","Up to 1000","Whitman","Y","SWDP",,"Flat",,,,"No sewer",,"No",,,"None","Many","2005",,,,,,,,"28.12",
"University Place City",,"Chambers Creek STP NPDES?","59164.00","32282","25000+","Pierce","N",,"45.64","Flat",,"45.64","36.51","$45.64",,"Yes","0.2","36.51","$12.35",,"Annually","47.14",,,,,,,,"http://www.co.pierce.wa.us/index.aspx?NID=1646"
"Vader City",,"Vader STP","45125.00","614","Up to 1000","Lewis","Y","NPDES","59.00","1203","3.74","59.00","44.74","No sewer",,"Yes","0.24169491525423725","44.74","None","Many","2015","68.00",,,,,,,"33.46","http://www.hometowndebate.com/vader-passes-rate-increase-to-match-2015-sewer-budget-cms-5006"
"Val Vue Sewer District","District",,,,,"King","N",,"54.05","Flat",,"54.05",,,,,,,,"Many","2016",,,,,,,,,"http://www.valleyviewsewer.org/customers/rates/"
"Vancouver City",,"Salmon Creek STP ? Vancouver West STP?","50379.00","169294","25000+","Clark","Y","NPDES","46.70","Flat OR rate of","4.67","46.70",,"$70.10","Flat","Yes",,,"$8.79","Many",,,,,,,,,"30.27","http://www.cityofvancouver.us/publicworks/page/current-utility-rates"
"Waitsburg City",,"Waitsburg STP","44554.00","1196","1,001- 2,500","Walla Walla","Y","NPDES","42.75","Flat",,"42.75",,"$72.10","Flat","No",,,"None","Many","2005",,,,,,,,"39.80","http://www.cityofwaitsburg.com/services.html"
"Walla Walla City",,"Walla Walla Water Reclamation Facility","42348.00","31910","25000+","Walla Walla","Y","NPDES","52.10","Flat",,"52.10","41.68","$78.15","Flat","Yes","0.2",,"$10.70","Many","2015","53.30",,"$42.64","$53.40","42.72",,,"32.90","http://epay.ci.walla-walla.wa.us:8800/lfportal/0/doc/929885/Page1.aspx"
"Wapato City",,"(EPA permitted)","32803.00","5051","5,001- 10,000","Yakima","Y","NPDES","42.00","Flat",,"42.00",,"No sewer",,"Yes",,,"None",,"2016",,,,,,,,,"http://www.wapato-city.org/public-works/"
"Warden City",,"Warden Water Reclamation Facility","37661.00","2749","2,501- 5,000","Grant","Y","SWDP","53.16","Flat",,"53.16",,"No sewer",,"No",,,"None","Many","2015",,,,,,,,"28.18","http://cityofwarden.org/index.php?option=com_content&view=article&id=36&Itemid=214"
"Washougal City",,"Washougal STP","60353.00","14999","10,000- 25,000","Clark","Y","NPDES","55.42","Flat",,"55.42","27.71","$83.13","Flat","Yes","0.5","27.70","$15.74","Many","2016",,,,,,,,"23.30","http://www.cityofwashougal.us/utilitybilling/page/utility-rates"
"Washtucna Town",,"Washtucna WWTP","48750.00","204","Up to 1000","Adams","Y","SWDP","40.00","Flat",,"40.00",,"No sewer",,"No",,,"None","Few","2016","45.00","$40.50",,,,,,"22.00","https://fortress.wa.gov/ecy/publications/documents/1010027.pdf  http://www.washtucnawa.com/"
"Waterville Town",,"Waterville POTW","42061.00","1161","1,001- 2,500","Douglas","Y","SWDP","31.33","Flat",,"31.33",,"No sewer",,"No",,,"None","None","2015","32.26",,,,,,,"16.00","http://ci.waterville.wa.us/customer_services/water_sewer_garbage.php"
"Waverly Town",,,"50357.00","107","Up to 1000","Spokane","N","No Sewer",,,,,,,,,,,,,,,,,,,,,,
"Wenatchee City",,"Wenatchee POTW","47168.00","33261","25000+","Chelan","Y","NPDES","24.64","Flat",,"24.64",,"$36.98","Flat","Yes",,,"$7.48","Many","2016",,,,,,,,"17.28","http://www.wenatcheewa.gov/government/public-works/water"
"Westport City",,"Westport STP","32538.00","2018","1,001- 2,500","Grays Harbor","Y","NPDES","57.71","Flat",,"57.71","46.17","$92.34","Flat","Yes","0.2","46.17","None","Many","2015",,,,,,,,"43.00",
"West Richland City",,"West Richland POTW","81778.00","13351","10,000- 25,000","Benton","Y","NPDES","40.00","Flat",,"40.00","28.00",,,"Yes","0.3","28.00","$5.50","Many","2013","40.00",,,"$40.00",,"$40.00",,"39.08","http://www.westrichland.org/master-fee-schedule/"
"White Salmon City",,,"50213.00","2314","1,001- 2,500","Klickitat","N",,"53.05","Flat",,"53.05",,"$58.35",,,,,,"Many","2016",,,,,,,,,"http://white-salmon.net/content/current-utility-rates"
"Wilbur Town",,"Wilbur STP","36385.00","846","Up to 1000","Lincoln","Y","NPDES","55.64","Flat",,"55.64",,"No sewer","Flat","No",,,"None","Many","2015",,,,,,,,"21.90","http://www.codepublishing.com/WA/Wilbur/#!/Wilbur13/Wilbur1316.html#13.16.080"
"Wilkeson Town",,"Wilkeson STP","61607.00","486","Up to 1000","Pierce","Y","NPDES","79.00","Flat",,"79.00",,"No sewer",,"No",,,"$2.00","Few",,,,,,,,,"73.00",
"Williams Lake",,"Williams Lake Sewer District",,,,"Spokane","Y","SWDP",,,,,,,,,,,,,,,,,,,,,,
"Wilson Creek Town",,,"46023.00","212","Up to 1000","Grant","N","No Sewer",,,,,,,,,,,,,,,,,,,,,,
"Winlock City",,"Winlock STP","39702.00","1308","1,001- 2,500","Lewis","Y","NPDES","122.61","Flat",,"122.61","61.31","No sewer ",,"Yes","0.5","18.50","$3.50","Many","2015",,,,,,,,"36.50","http://www.cityofwinlock.com/index.html"
"Winthrop Town",,"POTW","53750.00","412","Up to 1000","Okanogan","Y","NPDES","21.64","Flat",,"21.64",,"$32.46",,"No",,,"None","Few","2011","22.29",,,,,,,,"http://www.codepublishing.com/WA/Winthrop/"
"Wishram Town (STP)",,"Wishram POTW",,,,"Klickitat","Y","NPDES","54.94","Flat",,"54.94",,"N/A",,"Yes",,,"None",,"2015",,,,,,,,"42.35","http://www.klickitatpud.com/ratesAndPolicies/waterWasteWaterRates.aspx"
"Woodinville City",,,"97604.00","11372","10,000- 25,000","King","N",,"69.18","Flat",,"69.18","64.34",,,"Yes","0.07","64.18",,"Many","2016",,,,,,,,"44.45","http://www.woodinvillewater.com/2012-09-18-17-46-05/rates-charges.html"
"Woodinville Water District","District",,,,,"King","N",,"69.18","Flat",,"69.18","64.34",,,"Yes","0.07","64.18",,"Many","2016",,,,,,,,"44.45","http://www.woodinvillewater.com/images/PDF%20Files/Rates/2016%20Rate%20Schedule.pdf"
"Woodland City",,"Woodland STP","65065.00","5708","5,001- 10,000","Clark/Cowlitz","Y","NPDES","49.87","0","4.48","94.67",,"$74.81","Flat","Yes",,,"None","Many","2016",,,,,,,,"34.00","http://www.ci.woodland.wa.us/departments/clerk/utilities/billing.php"
"Woodway City",,,"132417.00","1351","1,001- 2,500","Snohomish","N",,,,,,,,,,,,"$12.81",,,,,,,,,,,"http://www.townofwoodway.com/"
"Yacolt Town",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yakima City",,"Yakima POTW","40189.00","93357","25000+","Yakima","Y","NPDES","20.62","0","3.01","50.72",,"$29.11","$4.57",,,,"$3.58","Many",,,,,,,,,"13.01","https://www.yakimawa.gov/services/utility-services/"
"Yarrow Point Town (City of Bellevue)",,"(City of Bellevue)","187500.00","1063","1,001- 2,500","King","N",,"55.53","0","5.06","106.13",,,,,,,,,,,,,,,,,,"https://utilities.bellevuewa.gov/UserFiles/Servers/Server_4779004/File/pdf/Utilities/Utility_Rates_2016.pdf"
"Yelm City",,"Yelm Water Reclamation Facility","49658.00","8223","5,001- 10,000","Thurston","Y","NPDES","55.16","Flat",,"55.16","30.34",,,"Yes","0.45","30.34","$2.50","Many","2006",,,,,,,,"40.45",
"Zillah City",,"Zillah POTW","58718.00","3118","2,501- 5,000","Yakima","Y","NPDES","28.75","Flat",,"28.75",,,,,,,"None",,,,,,,,,,"22.55",
