"businessname","contractorlicensenumber","contractorlicensetypecode","contractorlicensetypecodedesc","businesstypecode","businesstypecodedesc","ubi","authorizedsigner","signerrole"
"AIRLOOP LLC","AIRLOL*822K9","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604264156",,
"AIR MANAGEMENT SOLUTIONS LLC","AIRMAMS954Q2","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602548114","Hanson, Dale","Permits"
"AIR MANAGEMENT SOLUTIONS LLC","AIRMAMS954Q2","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602548114","Hawkins, Nick","Permits"
"AIR MANAGEMENT SOLUTIONS LLC","AIRMAMS954Q2","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602548114","Murphy, Patty","Permits"
"AIR MANAGEMENT SOLUTIONS LLC","AIRMAMS954Q2","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602548114","Stimmel, Chris","Permits"
"AIR MASTERS INC","AIRMAMI888L8","EC","ELECTRICAL CONTRACTOR","C","Corporation","601679358","Price, Lena","Permits"
"AIR MASTERS INC","AIRMAMI888L8","EC","ELECTRICAL CONTRACTOR","C","Corporation","601679358","Timmerman, Rosemarie","Permits"
"AIR MASTERS INC","AIRMAMI888L8","EC","ELECTRICAL CONTRACTOR","C","Corporation","601679358","Tinner, Teresa","Permits"
"AIR MASTERS INC","AIRMAMI888L8","EC","ELECTRICAL CONTRACTOR","C","Corporation","601679358","Pomerinke, Walter","Permits"
"AIR MASTERS INC","AIRMAMI888L8","EC","ELECTRICAL CONTRACTOR","C","Corporation","601679358","Randall, Ken","Permits"
"AIR MASTERS INC","AIRMAMI888L8","EC","ELECTRICAL CONTRACTOR","C","Corporation","601679358","Goodwin, Lynae","Permits"
"AIR MASTERS INC","AIRMAMI888L8","EC","ELECTRICAL CONTRACTOR","C","Corporation","601679358","Timmerman, Vincent","Permits"
"AIR MASTERS INC","AIRMAMI888L8","EC","ELECTRICAL CONTRACTOR","C","Corporation","601679358","Barnum, Dan","Permits"
"AIR MASTERS INC","AIRMAMI888L8","EC","ELECTRICAL CONTRACTOR","C","Corporation","601679358","Nottingham, Mike","Permits"
"AIR MASTERS INC","AIRMAMI888L8","EC","ELECTRICAL CONTRACTOR","C","Corporation","601679358","Made, Kyle","Permits"
"AIR MASTERS INC","AIRMAMI888L8","EC","ELECTRICAL CONTRACTOR","C","Corporation","601679358","Quenga, Kyle","Permits"
"AIR MASTERS INC","AIRMAMI888L8","EC","ELECTRICAL CONTRACTOR","C","Corporation","601679358","Crain, Anthony","Permits"
"AIR PROS ELECTRICAL WASHINGTON","AIRPRPE801J7","EC","ELECTRICAL CONTRACTOR","M","Limited Liability Partnership","604593317",,
"AIR SYSTEMS ENGINEERING INC","AIRSYEI009KS","EC","ELECTRICAL CONTRACTOR","C","Corporation","600099211","BRUCE, JESSICA","Permits"
"AIR SYSTEMS ENGINEERING INC","AIRSYEI009KS","EC","ELECTRICAL CONTRACTOR","C","Corporation","600099211","HODGES, JOHN","Permits"
"AIR SYSTEMS ENGINEERING INC","AIRSYEI009KS","EC","ELECTRICAL CONTRACTOR","C","Corporation","600099211","CRAWFORD, DAVID","Permits"
"AIR SYSTEMS ENGINEERING INC","AIRSYEI009KS","EC","ELECTRICAL CONTRACTOR","C","Corporation","600099211","WILEY, RYAN","Permits"
"AIR SYSTEMS ENGINEERING INC","AIRSYEI009KS","EC","ELECTRICAL CONTRACTOR","C","Corporation","600099211","COLYER, SANDRA K","Affidavits and Permits"
"AIR SYSTEMS ENGINEERING INC","AIRSYEI009KS","EC","ELECTRICAL CONTRACTOR","C","Corporation","600099211","STEINBRECHER, LUKE","Permits"
"AIR SYSTEMS ENGINEERING INC","AIRSYEI009KS","EC","ELECTRICAL CONTRACTOR","C","Corporation","600099211","Riggins, Mike","Permits"
"AIR-TECH SRVCS AND FILTERS LLC","AIRTESF883QM","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603127072","PORTER, CHRISSY JO","Affidavits and Permits"
"AIR-TECH SRVCS AND FILTERS LLC","AIRTESF795JG","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603127072","Porter, Chrissy Jo","Affidavits and Permits"
"AIR-TECH SRVCS AND FILTERS LLC","AIRTESF795JG","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603127072","Reed, Zach","Permits"
"AIR TREATMENT","AIRTRT*963MW","EC","ELECTRICAL CONTRACTOR","I","Individual","601639648",,
"AIRWAVE LLC","AIRWAL*926JZ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602797177","Marshall, Sue","Permits"
"AIRWEST INC","AIRWEI*943LM","EC","ELECTRICAL CONTRACTOR","C","Corporation","602614753",,
"AIRX LLC","AIRXLL*780J6","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604815419","Kemppainen, Sofia","Permits"
"A & J Electric","JELECJE881BS","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602416287",,
"A & J ELECTRIC","JELECJE825QH","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602416287",,
"AJ Refrigeration and A/C LLC","AJREFRC911N8","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602942205",,
"A K ELECTRIC INC","AKELEI*071B8","EC","ELECTRICAL CONTRACTOR","C","Corporation","601433971","Kirby, Colin","Permits"
"AKER CONSTRUCTION","AKERCC*7815Q","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604751454",,
"AKLAND PUMP & IRRIGATION INC","AKLANPI898RH","EC","ELECTRICAL CONTRACTOR","C","Corporation","602922060",,
"AKW Electric LLC","AKWELEL833K3","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604128920",,
"ALAMON, INC.","ALAMOI*807QG","EC","ELECTRICAL CONTRACTOR","C","Corporation","600207063",,
"ALAMON TELCO INC","ALAMOTI998DM","EC","ELECTRICAL CONTRACTOR","C","Corporation","600207063",,
"ALARM ACE","ALARMA*099BQ","EC","ELECTRICAL CONTRACTOR","I","Individual","600541396",,
"ALARM ACE INC","ALARMAI824M4","EC","ELECTRICAL CONTRACTOR","C","Corporation","604284584",,
"Alarm Center","ALARMC*820JO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602404981","Hubbell, Shari","Permits"
"Alarm Center","ALARMC*820JO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602404981","Monroe, Rose","Permits"
"Alarm Center","ALARMC*820JO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602404981","Buntin, John","Permits"
"Alarm Center","ALARMC*820JO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602404981","Bennett, Mark","Permits"
"Alarm Center","ALARMC*820JO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602404981","Fisher, Stephen","Permits"
"Alarm Center","ALARMC*820JO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602404981","Buntin, Matt","Permits"
"Alarm Center","ALARMC*820JO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602404981","Downing, Steven","Permits"
"Alarm Center","ALARMC*820JO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602404981","Swidecki, BJ","Permits"
"ALARM MASTERS","ALARMM*008MK","EC","ELECTRICAL CONTRACTOR","I","Individual","600514864",,
"Alarm Masters LLC","ALARMML821RJ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604347530",,
"Alarmpro LLC","ALARML*891DJ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603087297","Herrera, Hugo Jon","Affidavits and Permits"
"ALARMTECH INC","ALARMI*964NR","EC","ELECTRICAL CONTRACTOR","C","Corporation","602410146",,
"ALARM TRACKS INC","ALARMTI935OG","EC","ELECTRICAL CONTRACTOR","C","Corporation","602750398",,
"AlarmWorks NW LLC","ALARMNL874KP","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603264599",,
"ALASKAN ELECTRICAL SVCS LLC","ALASKES947DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602587670","BLACKBURN, MITCHELL IAN","Affidavits and Permits"
"ALBATROSS HVAC INC","ALBATHI902BF","EC","ELECTRICAL CONTRACTOR","C","Corporation","602973683",,
"ALBERT LEE INC","ALBERLI912RZ","EC","ELECTRICAL CONTRACTOR","C","Corporation","600153531",,
"ALBIN ELECTRICAL SERVICE","ALBINES796DC","EC","ELECTRICAL CONTRACTOR","I","Individual","604706493","Albin, Darren","Permits"
"ALBIN ELECTRICAL SERVICES LLC","ALBINES783KE","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604889126","Albin, Darren","Permits"
"ALCHEMY POWER SOLUTIONS LLC","ALCHEPS803BM","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604481564",,
"ALCO ELECTRIC LLC","ALCOEEL800P7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604535489",,
"ALCORN PUMP AND FILTRATION LLC","ALCORPF784D4","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604365438",,
"ALCORN PUMP AND FILTRATION LLC","ALCORPF784U4","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604365438","VanHouten, Gerri","Permits"
"Alden Plumbing LLC","ALDENPL791MT","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","603002388",,
"ALDRICH ELECTRIC LLC","ALDRIEL861M5","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603419842",,
"Aldridge Electric Inc","ALDRIEI833BU","EC","ELECTRICAL CONTRACTOR","C","Corporation","603024631",,
"Alert 360","ALERT3*781NZ","EC","ELECTRICAL CONTRACTOR","C","Corporation","604891476",,
"ALEXANDER GOW FIRE EQUIP CO","ALEXAGF097NW","EC","ELECTRICAL CONTRACTOR","C","Corporation","601291837",,
"ALEXANDER'S ELECTRIC INC","ALEXAEI964L9","EC","ELECTRICAL CONTRACTOR","C","Corporation","602343709",,
"ALEXANNY CONTRACTORS LLC","ALEXACL818L5","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604162730","Soung, Tommy","Permits"
"ALEXANNY CONTRACTORS LLC","ALEXACL818L5","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604162730","Reise, Crystal","Permits"
"ALEX RAMSEY","ALEXRR*790O8","EC","ELECTRICAL CONTRACTOR","I","Individual","604792005",,
"Alfa Electric Inc","ALFAEEI917D7","EC","ELECTRICAL CONTRACTOR","C","Corporation","602797575",,
"ALFY'S ELECTRIC LLC","ALFYSEL801QZ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604553135",,
"A LIGHT IN THE ATTIC LLC","LIGHTL*784JL","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603220169",,
"ALIGN ELECTRIC INC","ALIGNEI784MQ","EC","ELECTRICAL CONTRACTOR","C","Corporation","604942435",,
"ALIMAK GROUP USA INC","ALIMAGU813N8","LC","ELEVATOR CONTRACTOR","C","Corporation","601105548",,
"A - LIST PLUMBING","LISTPLP783DB","PC","PLUMBING CONTRACTOR","I","Individual","604531746",,
"ALIVE ELECTRIC LLC","ALIVEEL799NP","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604729638",,
"ALL ABOUT CABLING LLC","ALLABAC784D3","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604619431",,
"ALL ABOUT PLUMBING LLC","ALLABAP793MG","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604265992",,
"All Access Production Co Inc","ALLACAP851KG","EC","ELECTRICAL CONTRACTOR","C","Corporation","603453867",,
"ALL AMERICAN ELECTRIC LLC","ALLAMAE890C4","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603083769",,
"ALLAN ELECTRIC INC","ALLANEI911NC","EC","ELECTRICAL CONTRACTOR","C","Corporation","602896076",,
"ALL AROUND MECHANICAL LLC","ALLARAM900BR","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602977394","DEWITT, ADRIENNE","Affidavits and Permits"
"ALL AROUND MECHANICAL LLC","ALLARAM900BR","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602977394","KREIER, JANICE","Permits"
"ALL AROUND THE SOUND PLMB LLC","ALLARAS780DC","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604849754",,
"ALL ASPECTS PLMBNG & DRAIN LLC","ALLASAP792NG","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604740431",,
"ALL ASSURED ELECTRIC INC","ALLASEI013LA","EC","ELECTRICAL CONTRACTOR","C","Corporation","601953272",,
"ALL ASSURED HTG CLG A/C & ELEC","ALLASAH789DC","PC","PLUMBING CONTRACTOR","C","Corporation","601953272",,
"ALL BRIGHT ELECTRIC INC","ALLBRBE948OQ","EC","ELECTRICAL CONTRACTOR","C","Corporation","602613259",,
"ALLCITIES SOLAR & ELECTRIC CO","ALLCISE822LJ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602977152",,
"ALL CITY ELECTRIC","ALLCICE800P6","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604661854",,
"ALL CITY ELECTRIC INC","ALLCIEI297BA","EC","ELECTRICAL CONTRACTOR","C","Corporation","600506025",,
"ALLCITY TELCOM INC","ALLCITI997CZ","EC","ELECTRICAL CONTRACTOR","C","Corporation","601876459",,
"ALL CODE ELECTRIC LLC","ALLCOCE788N6","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604962635",,
"ALLCOM ELECTRIC INC","ALLCOEI801B3","EC","ELECTRICAL CONTRACTOR","C","Corporation","604531821",,
"ALL COMMERCIAL ELECTRIC LLC","ALLCOCE872NB","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603120894",,
"ALL COUNTY ELECTRIC LLC","ALLCOCE940ON","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602645504",,
"ALL COUNTY PLUMBING LLC","ALLCOCP795PK","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","601832520",,
"All Current Electric LLC","ALLCUCE798D6","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604679867",,
"ALL ELECTRIC & DESIGN LLC","ALLELED848QW","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604053781",,
"ALLENCRAFT ENTERPRISE","ALLENE*975KF","EC","ELECTRICAL CONTRACTOR","I","Individual","600490777",,
"Alley Cat Electric Inc","ALLEYCE872RS","EC","ELECTRICAL CONTRACTOR","C","Corporation","603349122",,
"ALLEY PLUMBING COMPANY","ALLEYPC793RM","PC","PLUMBING CONTRACTOR","I","Individual","601951079",,
"ALL-FATHER ELECTRIC LLP","ALLFAEL791R2","EC","ELECTRICAL CONTRACTOR","M","Limited Liability Partnership","604831989",,
"ALL FIELDS ELECTRIC LLC","ALLFIFE943J6","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602596307",,
"ALL HITECH HEATING & A/C LLC","ALLHIHH873MW","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603004182",,
"Alliant","ALLIA**854JG","EC","ELECTRICAL CONTRACTOR","C","Corporation","602626219",,
"ALLIANT COMMUNICATIONS INC","ALLIACI942PJ","EC","ELECTRICAL CONTRACTOR","C","Corporation","602626219","Johnson, Robin","Permits"
"ALLIANT COMMUNICATIONS INC","ALLIACI942PJ","EC","ELECTRICAL CONTRACTOR","C","Corporation","602626219","Peterson, JoDee","Permits"
"Alliant Security, Inc.","ALLIASI825BL","EC","ELECTRICAL CONTRACTOR","C","Corporation","602797359",,
"ALLIANT SYSTEMS LLC","ALLIASL961NL","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602254015","Fisher, Ryan","Permits"
"ALLIANT SYSTEMS LLC","ALLIASL961NL","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602254015","Fogli, Kristi","Permits"
"ALLIANT SYSTEMS LLC","ALLIASL961NL","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602254015","Liedkie, Rod","Permits"
"ALLIANT SYSTEMS LLC","ALLIASL961NL","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602254015","Fisher, Jesse","Permits"
"ALLIANT SYSTEMS LLC","ALLIASL787NT","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","602254015",,
"ALLIED ELECTRIC INC","ALLIEEI963CQ","EC","ELECTRICAL CONTRACTOR","C","Corporation","602332518",,
"ALLIED ELECTRIC SERVICE INC","ALLIEES145BC","EC","ELECTRICAL CONTRACTOR","C","Corporation","600599707",,
"Allied Fire & Security","ALLIEFS821DO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602411764","DURGAN, JOHN E","Permits"
"Allied Fire & Security","ALLIEFS821DO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602411764","Spear, Brook","Permits"
"Allied Fire & Security","ALLIEFS821DO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602411764","Gartland, Brian","Affidavits and Permits"
"Allied Fire & Security","ALLIEFS821DO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602411764","Wilcox, Brandi","Permits"
"Allied Fire & Security","ALLIEFS821DO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602411764","Cosmo, Kathy","Permits"
"Allied Fire & Security","ALLIEFS821DO","EC","ELECTRICAL CONTRACTOR","C","Corporation","602411764","MacArthur, Lela","Permits"
"ALLIED PLUMBING INC","ALLIEPI792QN","PC","PLUMBING CONTRACTOR","C","Corporation","604811698",,
"ALLIED PLUMBING & PUMPS LLC","ALLIEPP791MO","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","602903890",,
"Allied Residential Inc","ALLIERI862C6","EC","ELECTRICAL CONTRACTOR","C","Corporation","601043141",,
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","Graves, David","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","KUDELA, TIM","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","Cota, Valerie","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","COSMO, KATHY","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","Sadler, Stephen Lane","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","Glazner, Megan","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","Gropp, Tad","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","Lofgren, Matt","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","Rampage, Tim","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","Blevins, Linda","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","SPEAR, BROOKE","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","Cegon, Tony","Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","HUNT, JAY T","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","MACARTHUR, LELA","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","Gaskin, Jeff","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","Rose, Sheila","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","Martinez, Rick","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","DURGAN, JOHN","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","HOUSE, CHERYL","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","Amsbury, Eric","Affidavits and Permits"
"ALLIED SAFE & VAULT CO INC","ALLIESV275BB","EC","ELECTRICAL CONTRACTOR","C","Corporation","328031417","BARTLOW, DAVE","Affidavits and Permits"
"ALL IN ONE HEATING & AC LLC","ALLONOH784J2","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604892985",,
"ALL IN ONE MOBILITY INC","ALLONOM910LL","LC","ELEVATOR CONTRACTOR",,,"602729416",,
"ALLISON ELECTRICAL CONST INC","ALLISEC088OM","EC","ELECTRICAL CONTRACTOR","C","Corporation","601292169",,
"Allison Electric LLC","ALLISEL855RN","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603567583",,
"ALL PHASE","ALLPHP*852QD","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603513478",,
"ALL PHASE ELECTRIC INC","ALLPHPE923MQ","EC","ELECTRICAL CONTRACTOR","C","Corporation","602843478",,
"ALL-PHASE REF & HTG INC","ALLPHI*008C5","EC","ELECTRICAL CONTRACTOR","C","Corporation","601927055","Roberts, Stephanie","Permits"
"ALL-PHASE REF & HTG INC","ALLPHI*008C5","EC","ELECTRICAL CONTRACTOR","C","Corporation","601927055","Thompson, Shelly","Permits"
"ALL PHASE SERVICES LLC","ALLPHPS793PE","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","603394295",,
"ALLPHIN COMMUNICATIONS INC","ALLPHCI997LJ","EC","ELECTRICAL CONTRACTOR","C","Corporation","601663223",,
"ALL PRO ELECTRIC INC","ALLPREI044MA","EC","ELECTRICAL CONTRACTOR","C","Corporation","601712007",,
"ALL PRO PLUMBING NORTHWEST","ALLPRPP781JH","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","602680908",,
"ALL PURPOSE PLUMBING LLC","ALLPUPP791ON","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","602433975",,
"ALLRED HTG COOLING ELEC LLC","ALLREHC891QM","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603088992","Allred, Matthew S","Affidavits and Permits"
"ALLRED'S PLBG & RADIANT INC","ALLREPR793NG","PC","PLUMBING CONTRACTOR","C","Corporation","604208697",,
"ALL SEASONS HEATING & A/C INC","ALLSEHA153DM","EC","ELECTRICAL CONTRACTOR","C","Corporation","600142809","PUHRMANN, DOUG","Affidavits"
"ALL SEASONS HTG & COOLING INC","ALLSEHC001DC","EC","ELECTRICAL CONTRACTOR","C","Corporation","601716850","Hammes, Joseph","Permits"
"ALL SEASONS INC","ALLSEI*035N5","EC","ELECTRICAL CONTRACTOR","C","Corporation","601811007",,
"ALL SERVICE PLUMBING LLC","ALLSESP796RD","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","602887641",,
"ALL SIGNS","ALLSIS*953QC","EC","ELECTRICAL CONTRACTOR","I","Individual","602130621",,
"All Specialties Electric LLC","ALLSPSE884RU","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603259856",,
"ALL STAR ELECTRIC","ALLSTE*243B2","EC","ELECTRICAL CONTRACTOR","I","Individual","600254119",,
"ALL STAR ELECTRIC LLC","ALLSTSE830DM","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604096400",,
"ALL STAR HEATING & A/C INC","ALLSTSH933JB","EC","ELECTRICAL CONTRACTOR","C","Corporation","601703920","GWYN, MATT","Permits"
"ALL STAR HEATING & A/C INC","ALLSTSH933JB","EC","ELECTRICAL CONTRACTOR","C","Corporation","601703920","Abbott, Bryce","Permits"
"ALL STAR HEATING & A/C INC","ALLSTSH933JB","EC","ELECTRICAL CONTRACTOR","C","Corporation","601703920","Crabb, Travis","Permits"
"ALL STAR HEATING & A/C INC","ALLSTSH933JB","EC","ELECTRICAL CONTRACTOR","C","Corporation","601703920","Mitchell, J Mary","Permits"
"ALL STAR HEATING & A/C INC","ALLSTSH933JB","EC","ELECTRICAL CONTRACTOR","C","Corporation","601703920","Joanis, David","Permits"
"ALL STAR HEATING & A/C INC","ALLSTSH933JB","EC","ELECTRICAL CONTRACTOR","C","Corporation","601703920","Stine, Carson","Permits"
"ALL STAR HEATING & A/C INC","ALLSTSH933JB","EC","ELECTRICAL CONTRACTOR","C","Corporation","601703920","Wallace, Terry","Permits"
"ALL STAR HEATING & A/C INC","ALLSTSH933JB","EC","ELECTRICAL CONTRACTOR","C","Corporation","601703920","Sward, Georganne","Permits"
"ALL STAR HEATING & A/C INC","ALLSTSH933JB","EC","ELECTRICAL CONTRACTOR","C","Corporation","601703920","Heutmaker, Cameron","Permits"
"ALL STAR HEATING & A/C INC","ALLSTSH933JB","EC","ELECTRICAL CONTRACTOR","C","Corporation","601703920","REED-EDSTROM, JORDAN","Permits"
"ALL STAR HEATING & A/C INC","ALLSTSH780MN","EC","ELECTRICAL CONTRACTOR","C","Corporation","601703920",,
"ALLSTAR LIGHTING LLC","ALLSTLL831M8","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604150933",,
"ALLSTAR MECHANICAL USA LLC","ALLSTMU798NR","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604053800",,
"ALL STAR PLUMBING INC","ALLSTSP780DW","PC","PLUMBING CONTRACTOR","C","Corporation","602085785",,
"ALLSTAR SECURITY & COMM","ALLSTSC055LT","EC","ELECTRICAL CONTRACTOR","I","Individual","601312617",,
"ALLSTATE CABLING SOLUTIONS","ALLSTCS814DO","EC","ELECTRICAL CONTRACTOR","I","Individual","602768786",,
"All Systems Electrical Inc","ALLSYSE827L6","EC","ELECTRICAL CONTRACTOR","C","Corporation","603495263",,
"ALL SYSTEMS ELECTRIC INC","ALLSYSE922QP","EC","ELECTRICAL CONTRACTOR","C","Corporation","602876685",,
"ALL SYSTEMS INTEGRATED INC","ALLSYSI967J7","EC","ELECTRICAL CONTRACTOR","C","Corporation","602379387","Lindbo, Kyle","Permits"
"ALL SYSTEMS INTEGRATED INC","ALLSYSI967J7","EC","ELECTRICAL CONTRACTOR","C","Corporation","602379387","Lindbo, Heather","Permits"
"ALL SYSTEMS INTEGRATED INC","ALLSYSI967J7","EC","ELECTRICAL CONTRACTOR","C","Corporation","602379387","Linbo, Mike","Permits"
"ALL SYSTEMS INTEGRATED INC","ALLSYSI967J7","EC","ELECTRICAL CONTRACTOR","C","Corporation","602379387","Piranio, Jay","Permits"
"ALLTEC CONTROLS INC","ALLTECI986JP","EC","ELECTRICAL CONTRACTOR","C","Corporation","602143145",,
"ALLTECH ELECTRIC INC","ALLTEEI962PE","EC","ELECTRICAL CONTRACTOR","C","Corporation","602434771",,
"ALL TECH SYSTEMS INC","ALLTESI953DB","EC","ELECTRICAL CONTRACTOR","C","Corporation","602368501",,
"ALL TEMP MECHANICAL INC","ALLTETM906QP","EC","ELECTRICAL CONTRACTOR","C","Corporation","600557102",,
"ALL TRADES MECHANICAL INC","ALLTRTM891OH","EC","ELECTRICAL CONTRACTOR","C","Corporation","601527936","Correll, Rhonda","Permits"
