"project_name","preserve","vicinity","latitude","longitude","approx_size_in_acres","species_common_name","objectives","status","year","season","ipm_method_type","methods","crew","notes","upload_date","geo_location"
"Ring Mountain Tocalote Thistle Control","Ring Mountain","Ring Mountain Fire Road","37.91177","-122.49128","3.1","Tocalote","Invasive species control","Completed","2021","Spring","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.49128 37.91177)"
"Maintenance: Cascade Canyon Prune","Cascade Canyon","Toyon Fire Road","37.984009","-122.605084","4.49","Mixed woody vegetation","Emergency Access","Upcoming","2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.605084 37.984009)"
"Maintenance: Verissimo Hills Mow","Verissimo Hills","Oak Valley Dr at Concrete Ditch","38.106571","-122.62014","0.17","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.62014 38.106571)"
"Mount Burdell Grazing","Mount Burdell","Preserve-wide, excluding areas near Dwarf Oak Trail and southeast of Creekside Fire Road","38.135996","-122.593221","1270","Mixed vegetation","Fire fuel reduction","Completed","2013","Spring","Non-chemical","Grazing","Grazing",,"2022-01-04T00:00:00.000","POINT (-122.593221 38.135996)"
"Maintenance: Santa Venetia Marsh Mow","Santa Venetia Marsh","Descanso Way","38.017008","-122.513145","0.01","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.513145 38.017008)"
"Maintenance: Santa Venetia Marsh Mow","Santa Venetia Marsh","Rincon Way","38.01835","-122.513973","0.03","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.513973 38.01835)"
"Pinchpoint Emergency Access","Baltimore Canyon","Blithedale Ridge Fire Road","37.947609","-122.5595","3","Broom","Emergency access, Invasive species control","Completed","2018","Winter","Non-chemical","Hand pull","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5595 37.947609)"
"Maintenance: Rush Creek Mow","Rush Creek","Pinheiro Fire Road","38.126022","-122.554384","3.8","Mixed vegetation","Emergency Access","Upcoming","2022",,"Non-chemical","Mow","Ranger, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.554384 38.126022)"
"Camino Alto Fuelbreak: Phase II","Camino Alto","Around Del Casa Fire Road as well as near Val Vista Trail","37.90959083","-122.5320033","15","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2011","Fall","Non-chemical","Cut","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5320033 37.90959083)"
"Maintenance: Horse Hill Mow","Horse Hill","Horse Hill Fire Road entrance gate","37.907482","-122.519439","0.02","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.519439 37.907482)"
"Maintenance: Cascade Canyon Mow","Cascade Canyon","Cascade Drive Access Gate","37.978119","-122.613876","0.02","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.613876 37.978119)"
"Camino Alto Fuelbreak: Phase II","Camino Alto","Around Del Casa Fire Road as well as near Val Vista Trail","37.90959083","-122.5320033","15","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2017","Summer","Chemical","Triclopyr (Garlon)","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5320033 37.90959083)"
"Maintenance: French Ranch Mow","French Ranch","French Ranch Fire Road","38.016982","-122.67826","0.26","Mixed vegetation","Emergency Access","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.67826 38.016982)"
"Maintenance: French Ranch Mow","French Ranch","Top Flight","38.020246","-122.662565","0.26","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.662565 38.020246)"
"Maintenance: Gary Giacomini Mow","Gary Giacomini","Conifer Way Roadside Fuel Reduction","38.00845","-122.648532","0.78","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.648532 38.00845)"
"Oak Forest Road","Pacheco Valle","Oak Forest Road","38.05035527","-122.5428405","5.6","Mixed woody vegetation","Fire fuel reduction, defensible space","Completed","2020","Spring","Non-chemical","Thinning, Chipping","Tam Crew",,"2022-01-04T00:00:00.000","POINT (-122.5428405 38.05035527)"
"Maintenance: Bolinas Lagoon Mow","Bolinas Lagoon","Bob Stewart Trail","37.91989","-122.690065","2.36","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.690065 37.91989)"
"Ridgewood Fuelbreak","Terra Linda Sleepy Hollow","Ridgewood Fire Road","37.9919","-122.55341","8","Blue gum eucalyptus","Fire fuel reduction, Invasive species control, Emergency access","Completed","2016","Fall","Non-chemical, Chemical","Cut, Triclopyr (Garlon)","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.55341 37.9919)"
"Maintenance: Camino Alto Mow","Camino Alto","Camino Alto Rd to Overhill","37.913633","-122.526394","2.31","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.526394 37.913633)"
"Maintenance: Maurice Thorner Mow","Maurice Thorner","Maurice Thorner Trail, first 50 feet","38.016736","-122.664331","0.08","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.664331 38.016736)"
"Districtwide Purple Star Thistle Control","All preserves","All preserves","38.1","-122.45",,"Purple starthistle","Invasive species control","Upcoming","2022","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.45 38.1)"
"Corte Norte","Loma Verde","Corte Norte","38.06053986","-122.5489165","1.5","Mixed woody vegetation","Fire fuel reduction, defensible space","Completed","2020","Winter","Non-chemical","Burn piles","Tam Crew",,"2022-01-04T00:00:00.000","POINT (-122.5489165 38.06053986)"
"Maintenance: Loma Verde Mow","Loma Verde","Calle Arboleda","38.06267","-122.539478","1.09","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.539478 38.06267)"
"Maintenance: Mt Burdell Mow","Mt Burdell","Myrtle Court (easement)","38.123883","-122.606459","0.13","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.606459 38.123883)"
"Corte Madera Ridge Access and Fuelbreak","Blithedale Summit","East end Corte Madera Ridge Fire Road","37.923088","-122.541672","13","Broom","Fire fuel reduction","Completed","2018","Winter","Non-chemical","Weed whip, Hand pull","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.541672 37.923088)"
"Districtwide Stinkwort Control","All preserves","All preserves","38.08","-122.45","7.7","Stinkwort","Invasive species control","Completed","2020","Fall","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.45 38.08)"
"Maintenance: Camino Alto Prune","Camino Alto","Camino Alto Fire Road","37.914398","-122.528349","2.33","Mixed woody vegetation","Emergency Access",,"2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.528349 37.914398)"
"Mount Burdell Grazing","Mount Burdell","Preserve-wide, excluding areas near Dwarf Oak Trail and southeast of Creekside Fire Road","38.135996","-122.593221","1270","Mixed vegetation","Fire fuel reduction","Completed","2020","Spring","Non-chemical","Grazing","Grazing",,"2022-01-04T00:00:00.000","POINT (-122.593221 38.135996)"
"Alto Bowl Fuelbreak","Alto Bowl","Bob Middagh Trail, Horse Hill Trail","37.916609","-122.52044","18","Broom","Fire fuel reduction, Invasive species control","Upcoming","2022","Spring","Non-chemical","Hand pull","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.52044 37.916609)"
"Ring Mountain Mayten Control","Ring Mountain","Taylor Road, Ring Mountain Fire Road","37.91152","-122.48642","1.4","Mayten","Invasive species control, Fire fuel reduction","Completed","2020","Fall","Chemical","Imazapyr (Habitat)","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.48642 37.91152)"
"Horse Hill Fuels Management","Horse Hill","Preserve-wide","37.909654","-122.518352","54.176896","Mixed vegetation","Fire fuel reduction","Completed","2019","Spring, Summer, Fall, Winter","Non-chemical","Grazing","Grazing","As Needed","2022-01-04T00:00:00.000","POINT (-122.518352 37.909654)"
"Ring Mountain Mayten Control","Ring Mountain","Taylor Road, Ring Mountain Fire Road","37.91152","-122.48642","0.4","Mayten","Invasive species control, Fire fuel reduction","Completed","2021","Fall","Chemical","Imazapyr (Habitat)","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.48642 37.91152)"
"Maintenance: Camino Alto Mow","Camino Alto","Lower Summit Fire Rd","37.917879","-122.529614","0.16","Mixed vegetation","Emergency Access",,"2022",,"Non-chemical","Mow","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.529614 37.917879)"
"Maintenance: Little Mountain Mow","Little Mountain","Doe Hill Fire Road- Kathleen Dr. to Center Rd.","38.112988","-122.621085","0.63","Mixed vegetation","Emergency Access","Upcoming","2022",,"Non-chemical","Mow","Ranger, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.621085 38.112988)"
"Toyon Fuelbreak","Cascade Canyon","Toyon Fire Road & Cul-de-sac Fire Road","37.9837505","-122.6044071","14","Broom","Fire fuel reduction, Invasive species control, Emergency access","Completed","2018","Fall","Non-chemical","Pruning, Chipping","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.6044071 37.9837505)"
"Maintenance: French Ranch Prune","French Ranch","Barnabe Mountain Fire Road","38.02807","-122.678173","5.03","Mixed woody vegetation","Emergency Access",,"2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.678173 38.02807)"
"Maintenance: French Ranch Mow","French Ranch","Top Flite","38.021093","-122.669604","2.76","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.669604 38.021093)"
"King Mountain Fuelbreak","King Mountain","Above and below Citron Fire Road","37.939359","-122.542514","20","Acacia, Broom, Eucalyptus","Fire fuel reduction, Invasive species control","Completed","2021","Spring","Non-chemical","Burn piles","Tam Crew",,"2022-01-04T00:00:00.000","POINT (-122.542514 37.939359)"
"Maintenance: Cascade Canyon Mow","Cascade Canyon","North side of road between 161 and 179 Toyon Drive","37.980908","-122.601266","0.04","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.601266 37.980908)"
"Maintenance: Point Reyes Playground Mow","Point Reyes Playground","Pt Reyes Playground","38.068573","-122.804945","0.36","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.804945 38.068573)"
"Horse Hill Fuels Management","Horse Hill","Above Vasco Ct","37.9105657","-122.5216775","4.5","Broom","Fire fuel reduction, Invasive species control","Completed","2018","Fall","Non-chemical","Cut","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5216775 37.9105657)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","Denning Avenue to Malone Lane","37.996866","-122.553967","2.49","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.553967 37.996866)"
"Big Rock Ridge Broom Control","Pacheco Valle","Chicken Shack Fire Road","38.054878","-122.551543","11","Broom","Fire fuel reduction, Invasive species control","Completed","2010","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.551543 38.054878)"
"Maintenance: Rush Creek Lighting & Landscape DIstrict Mow","Rush Creek Lighting & Landscape DIstrict","36"" strip along curb","38.120566","-122.548352","0.05","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.548352 38.120566)"
"Ring Mountain Broom Control","Ring Mountain","Phyllis Ellman Trail, Loop Trail, Taylor Fire Road, Ring Mountain Fire Road, Reed Ranch Fire Road, Shepherd Way Fire Road","37.91252","-122.49155",,"Broom","Invasive species control, Fire fuel reduction","Upcoming","2022","Spring","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.49155 37.91252)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","Cherry Hill to Cedar Hill","38.022232","-122.552058","1.78","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.552058 38.022232)"
"Big Rock Ridge Broom Control","Pacheco Valle","Chicken Shack Fire Road","38.054878","-122.551543","11","Broom","Fire fuel reduction, Invasive species control","Completed","2014","Summer","Chemical","Glyphosate (Aquamaster)","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.551543 38.054878)"
"Maintenance: Indian Valley Mow","Indian Valley","Garner Drive","38.0856","-122.581184","0.19","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.581184 38.0856)"
"Hillside Fuelbreak","Blithedale Summit","South end of Blithedale Ridge Fire Road above Hillside Ave.","37.91252962","-122.542517","14","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2019","Spring","Non-chemical","Hand pull","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.542517 37.91252962)"
"Maintenance: Santa Margarita Island Mow","Santa Margarita Island","Santa Margarita","38.010073","-122.523972","0.12","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.523972 38.010073)"
"Maintenance: Camino Alto Mow","Camino Alto","Corte Madera Ave","37.918227","-122.528703","0.04","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.528703 37.918227)"
"Maintenance: Loma Alta Mow","Loma Alta","Suyvesant Trail Easement","38.005404","-122.585404","0.23","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.585404 38.005404)"
"Camino Alto Fuelbreaks: Phases I-III","Camino Alto","Eastern portions of the preserve","37.91240262","-122.5293301","46","Broom","Fire fuel reduction, Invasive species control, Defensible space","Completed","2021","Spring","Non-chemical","Hand pull","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.5293301 37.91240262)"
"Maintenance: Alto Path Mow","Alto Path","Alto Multi-Use Path","37.910228","-122.513718","0.96","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.513718 37.910228)"
"Maintenance: Homestead Valley Mow","Homestead Valley",,"37.899744","-122.545809","0.22","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.545809 37.899744)"
"Maintenance: Stafford Lake Mow","Stafford Lake","along road edges: out 24 inches and around peeler cores","38.115107","-122.651665","0.24","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow",,"weed whips as needed","2022-01-04T00:00:00.000","POINT (-122.651665 38.115107)"
"Maintenance: Bayside Park Mow","Bayside Park",,"37.978158","-122.475001","0.03","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.475001 37.978158)"
"Maintenance: Redwood Blvd Mow","Redwood Blvd",,"38.156285","-122.569109","4.92","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.569109 38.156285)"
"Maintenance: French Ranch Mow","French Ranch","School Trail between Wild Iris Rd and Lagunitas School Rd","38.016765","-122.67772","0.26","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.67772 38.016765)"
"Maintenance: Stafford Lake Mow","Stafford Lake","along road edges: out 24 inches and around peeler cores","38.116231","-122.649062","0.05","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow",,"weed whips as needed","2022-01-04T00:00:00.000","POINT (-122.649062 38.116231)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","End of Canyon Oak Drive","38.021872","-122.555171","0.94","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.555171 38.021872)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","Coast Oak Access End of Cedar Hill","38.023871","-122.554058","1","Mixed vegetation","Defensible Space","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.554058 38.023871)"
"680 Trail Mitigation","Loma Alta","680 Trail","38.023484","-122.589233","0.5","Purple starthistle","Invasive species control","Completed","2019","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.589233 38.023484)"
"Maintenance: Ring Mountain Mow","Ring Mountain","Western Boundary Gate","37.908807","-122.502716","0.01","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.502716 37.908807)"
"Cascade Canyon Broom Control","Cascade Canyon","Western areas of the preserve; west of Toyon Fire Road","37.98092","-122.61523",,"Broom","Fire fuel reduction, Invasive species control, Emergency access","Upcoming","2022","Spring","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.61523 37.98092)"
"Maintenance: Lucas Valley Mow","Lucas Valley","Creekside","38.037562","-122.592429","0.51","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.592429 38.037562)"
"Black Point Evacuation Route","Vince Mulroy","Stonetree Country Club","38.0999444","-122.5016181","2.3","Mixed woody vegetation","Fire fuel reduction, defensible space","Completed","2020","Winter","Non-chemical","Thinning, Chipping","Tam Crew",,"2022-01-04T00:00:00.000","POINT (-122.5016181 38.0999444)"
"Old Saint Hilary's Pampas Grass Control","Old St. Hilary's","Vistazo Fire Road","37.88294","-122.45428","0.1","Pampas/jubata grass","Invasive species control","Completed","2021","Fall","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.45428 37.88294)"
"Maintenance: Mt Burdell Mow","Mt Burdell","San Ramon Fire Road Gate","38.122735","-122.612772","0.33","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.612772 38.122735)"
"Mount Burdell Grazing","Mount Burdell","Preserve-wide, excluding areas near Dwarf Oak Trail and southeast of Creekside Fire Road","38.135996","-122.593221","1270","Mixed vegetation","Fire fuel reduction","Completed","2018","Spring","Non-chemical","Grazing","Grazing",,"2022-01-04T00:00:00.000","POINT (-122.593221 38.135996)"
"Maintenance: White Hill Mow","White Hill","Bothin Fire Road Entry","38.007122","-122.619456","3.39","Mixed vegetation","Emergency Access","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.619456 38.007122)"
"Maintenance: Stafford Lake Mow","Stafford Lake","along road edges: out 24 inches and around peeler cores","38.114988","-122.65247","0.21","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow",,"weed whips as needed","2022-01-04T00:00:00.000","POINT (-122.65247 38.114988)"
"King Mountain Fuelbreak","King Mountain","Below Citron Fire Road","37.938714","-122.540694","10","Acacia, Broom","Fire fuel reduction, Invasive species control","Completed","2017","Summer","Non-chemical","Grazing, Thinning","Grazing",,"2022-01-04T00:00:00.000","POINT (-122.540694 37.938714)"
"Maintenance: Gary Giacomini Prune","Gary Giacomini","White Hill Fire Road","37.995453","-122.632197","8.95","Mixed woody vegetation","Emergency Access","Upcoming","2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.632197 37.995453)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","Las Raposas Road","38.019728","-122.562181","0.54","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.562181 38.019728)"
"Maintenance: Rush Creek Mow","Rush Creek","One Oh One","38.116813","-122.561568","0.88","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.561568 38.116813)"
"Middle Summit Access and Fuelbreak","Blithedale Summit","Middle Summit Fire Road","37.920314","-122.535311","4","Mixed woody vegetation","Fire fuel reduction, Emergency Access","Completed","2020","Spring","Non-chemical","Thinning, Chipping","Tam Crew",,"2022-01-04T00:00:00.000","POINT (-122.535311 37.920314)"
"Pacheco Creek Drive","Pacheco Valle","Pacheco Creek Drive","38.04948286","-122.5486142","2","Mixed woody vegetation","Fire fuel reduction, defensible space","Completed","2021","Spring","Non-chemical","Burn piles","Tam Crew",,"2022-01-04T00:00:00.000","POINT (-122.5486142 38.04948286)"
"Fox Lane","Terra Linda Sleepy Hollow","Fox Lane","38.00584417","-122.5685656","0.9","Mixed woody vegetation","Fire fuel reduction, defensible space","Completed","2019","Fall","Non-chemical","Thinning, Chipping","Tam Crew",,"2022-01-04T00:00:00.000","POINT (-122.5685656 38.00584417)"
"Maintenance: Black Point Mow","Black Point","Black Point trail - entrances at golf course","38.098651","-122.502812","2.01","Mixed vegetation","Other",,"2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.502812 38.098651)"
"Maintenance: Gary Giacomini Prune","Gary Giacomini","Manzanita Fire Road","38.005697","-122.676642","5.55","Mixed woody vegetation","Emergency Access",,"2022","Fall","Non-chemical","Prune","Ranger","As Needed","2022-01-04T00:00:00.000","POINT (-122.676642 38.005697)"
"Maintenance: Mt Burdell Mow","Mt Burdell","San Carlos","38.125514","-122.59317","0.52","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.59317 38.125514)"
"Distaff Thistle Control","Indian Tree, Lucas Valley, Loma Alta","Indian Tree Fire Road, Luiz Fire Road, 680 Trail","38.043536","-122.591063","0.14","Distaff thistle","Invasive species control","Completed","2020","Summer","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.591063 38.043536)"
"Maintenance: Rush Creek Lighting & Landscape DIstrict Mow","Rush Creek Lighting & Landscape DIstrict","36"" strip along curb","38.117999","-122.556545","0.01","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.556545 38.117999)"
"Maintenance: Old St. Hilary's Mow","Old St. Hilary's","Vistazo East","37.880181","-122.456068","0.02","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.456068 37.880181)"
"Maintenance: Horse Hill Mow","Horse Hill","Lomita Dr","37.907716","-122.518513","0.27","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger Seasonal",,"2022-01-04T00:00:00.000","POINT (-122.518513 37.907716)"
"Rush Creek Broom Control","Rush Creek","Bahia Trail, Bahia Road","38.12559","-122.53131","0.3","Broom","Invasive species control, Fire fuel reduction","Completed","2021","Spring","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.53131 38.12559)"
"Maintenance: Creekside Park Restoration site","Creekside Park","Bon Air across from Marin General","37.947592","-122.537985","2.59","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Restoration site","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.537985 37.947592)"
"Maintenance: Terra Linda/Sleepy Hollow Mow","Terra Linda Sleepy Hollow","Access to well","38.025762","-122.55733","1.65","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger",,"2022-01-04T00:00:00.000","POINT (-122.55733 38.025762)"
"Terra Linda/Sleepy Hollow Goatgrass Control","Terra Linda Sleepy Hollow","Cherry Hill Fire Road, Terra Linda Ridge Fire Road, Del Ganado Fire Road, Luiz Ranch Fire Road, Irving Fire Road, 680 Trail","38.01947","-122.58045",,"Goatgrass","Invasive species control","Upcoming","2022","Spring","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.58045 38.01947)"
"Loma Alta Broom Control","Loma Alta","Sunrise Fire Road, Smith Ridge Fire Road, Glen Fire Road","38.01318","-122.60958",,"French broom","Invasive species control, Fire fuel reduction","Completed","2020","Spring","Non-chemical","Survey/Mapping","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.60958 38.01318)"
"Maintenance: Rush Creek Mow","Rush Creek","Rush Creek Fire Road","38.129756","-122.544659","2.02","Mixed vegetation","Emergency Access","Upcoming","2022",,"Non-chemical","Mow",,,"2022-01-04T00:00:00.000","POINT (-122.544659 38.129756)"
"Maintenance: Mt Burdell Mow","Mt Burdell","FIeldstone / Buck Center Access","38.134829","-122.578681","0.01","Mixed vegetation","Emergency Access","Upcoming","2022",,"Non-chemical","Mow","Ranger Seasonal",,"2022-01-04T00:00:00.000","POINT (-122.578681 38.134829)"
"Terra Linda/Sleepy Hollow Grazing","Terra Linda Sleepy Hollow","Ridgetop fuel break/defensible space behind homes","38.01649232","-122.5716472","100","Mixed vegetation","Fire fuel reduction, defensible space","Completed","2021","Spring, Summer","Non-chemical","Grazing","Grazing",,"2022-01-04T00:00:00.000","POINT (-122.5716472 38.01649232)"
"Big Rock Ridge Broom Control","Pacheco Valle","Chicken Shack Fire Road","38.054878","-122.551543","11","Broom","Fire fuel reduction, Invasive species control","Completed","2009","Summer","Chemical","Glyphosate (Aquamaster)","Contracted Services",,"2022-01-04T00:00:00.000","POINT (-122.551543 38.054878)"
"Maintenance: Mt Burdell Mow","Mt Burdell","Sereno Way","38.125337","-122.586502","1.16","Mixed vegetation","Ignition Prevention","Upcoming","2022",,"Non-chemical","Mow","Ranger, Conservation Corps North Bay",,"2022-01-04T00:00:00.000","POINT (-122.586502 38.125337)"
"Bothin Marsh Invasive Sea Lavender Control","Bothin Marsh","Bothin Marsh","37.88527654","-122.5222092",,"Invasive sea lavender","Invasive species control","Upcoming","2022","Spring, Summer, Fall, Winter","Non-chemical","Hand pull","Parks Resources Team",,"2022-01-04T00:00:00.000","POINT (-122.5222092 37.88527654)"
"Maintenance: Black Point Mow","Black Point",,"38.114632","-122.506964","0.05","Mixed vegetation","Other","Upcoming","2022",,"Non-chemical","Mow","Ranger - Parks",,"2022-01-04T00:00:00.000","POINT (-122.506964 38.114632)"
