"uuid","region","country","proj_nm","st_date","end_date","awd_amount","awd_value","implementer","sector","intervention","intervention_type","proj_desc","proj_res","rfp_rftop","final_res","mind_eval","final_eval","audit","interim_rep","addl_docs","addl_info","corruption","stability"
"290","Sub-Saharan Africa (SSA)","Uganda","Strengthening Decentralization in Uganda Phase 2 (SDU II)","2004","2007","c) $5 M-$10 M","6123806","TetraTech ARD","Public Finance, Local Government","Budget, Procurement, Fiscal Management","Transparency, Accountability","The project was designed to build the capacity of government in the areas of planning and budgeting to effectively implement the Government of Uganda's Fiscal Decentralization Strategy (FDS) and to improve public procurement at the local level.","33 LGs built the capacity to effectively provide information to the central government, resulting in streamlined transfers to the local levels that respond more closely to communities' needs.  In December 2005, the government adopted the FDS tools developed by  the project, and it is currently rolling out the tools and processes to all LGs in Uganda. The project achieved transparent, needs-based and poverty sensitive allocation of sector funds among local governments.  Fiscal transfers from central to local governments have been streamlined while increasing transparency and efficiency at both the central and local government levels.  The percent of local governments expending all funds released from central government transfers within the fiscal year, increased dramatically from 36 percent to 76 percent. Local governments served by the project also achieved across the board compliance with Local Government Public Procurement reforms.  Another notable result supported by the project was a measurable increase in the percentage of central government revenue transferred to local governments",,"http://pdf.usaid.gov/pdf_docs/PDACL741.pdf",,,,,"http://www.tetratechintdev.com/intdev/index.php?option=com_k2&view=item&id=185%3Auganda-strengthening-decentralization-in-uganda-phase-2-sdu-ii&Itemid=60&lang=us",,"High Corruption","Unstable"
"291","Europe and Eurasia (E&E)","Ukraine","Fair, Accountable, Independent, and Responsible (FAIR) Judiciary Program","2011","2016","d) $10 M-$25 M","16991610","Chemonics","Rule of Law, Civil Society","Professional Legal Education/Training, Public Information","Enforcement, Accountability, Participation","The Fair, Accountable, Independent, and Responsible (FAIR) Judiciary Program supports legislative, regulatory and institutional reform of judicial institutions to build a foundation for a more accountable and independent judiciary. The FAIR program strengthens the accountability and transparency of key judicial institutions; promotes Ukrainian legislative and regulatory compliance with international and European standards; bolsters the professionalism and effectiveness of the Ukrainian judiciary; and supports civil society organizations in advocating for and monitoring judicial reform.","As of October 2012, the FAIR project provided assistance to 406 courts covering every region of Ukraine and to 15 key government justice sector institutions and engaged nine civil society organizations. The FAIR project also promoted four changes to Ukrainian Legislation to enhance judicial independence. Also, it trained 875 judges and judicial personnel: 59 trainers qualified under Training of Trainers program, 389 justice sector personnel engaged for the long-term strategic planning for the judiciary, and 160 judges trained in judicial self-governance mechanisms. FAIR also supported national testing of 3,476 judicial candidates.","https://www.fbo.gov/index?s=opportunity&mode=form&id=3e26f5dfb4149074dc67a29a15d51335&tab=core&_cview=1",,,,,,"http://www.fair.org.ua/index.php/en",,"High Corruption","Unstable"
"292","Europe and Eurasia (E&E)","Ukraine","Ukrainian Standardized External Testing Initiative Legacy Alliance ((USETI-Legacy)","2010","2013","b) $1 M-$5 M","3470000","American Councils for International Education","Education","Standardized Testing, Service Delivery, Public Information","Transparency, Accountability, Awareness","The Ukrainian Standardized External Testing Initiative Legacy Alliance (USETI-Legacy) project built on accomplishments of previous assistance pursuing objectives to build a sustainable strengthened Ukrainian Center for Educational Quality Assessment (UCEQA) capable of independently and transparently developing and implementing secure tests that meet international standards; secure a legislative basis for testing and higher education admission, and an institutionalized partnership between business, higher education, and policymakers; transform public support for testing into a proactive contemporary public expectation; and assist in the development of a basic, high-quality test-preparation industry driven by informed consumer demand.","USETI Legacy Alliance (USETI-Legacy) succeeded in consolidating, improving, and extending the quality and use of standardized external testing (SET) for university admission decisions and, thereby, eliminating the corruption and unjustified preferential treatment associated with the earlier admission processes. External testing gained a substantial growth of support among higher education administrators, educators, students and the general public. USETI-Legacy built the capacity of UCEQA sufficient to manage the annual testing administrations with a high degree of reliability and transparency and improve access to higher education.",,"http://pdf.usaid.gov/pdf_docs/PDACY429.pdf",,"http://pdf.usaid.gov/pdf_docs/PDACY081.pdf",,,,,"High Corruption","Unstable"
"293","Europe and Eurasia (E&E)","Ukraine","Combating Corruption and Strengthening the Rule of Law in Ukraine","2006","2011","d) $10 M-$25 M","14736753","Chemonics","Rule of Law, Civil Society","Court Administration, Public Information, Public Awareness","Accountability, Transparency","The project worked with the Ukrainian government to increase transparency, improve accountability, and prevent corruption in Ukraine by promoting judicial reforms and supporting their implementation.","The project promoted adoption of eight laws, regulations and procedures, including revised Law on the Judiciary and Status of Judges to provide a legal basis for objective judicial selection; facilitated development of Ukraine's first court staff code of conduct, applicable to all of Ukraine's 35,000 court staff; and provided assistance to enhance practical continuing education to more than 1,700 judges and 1,200 justice-sector personnel on judicial topics. The project also supported civil society organizations to monitor courts, collect court users' feedback through citizen report card surveys, conduct public awareness activities, and evaluate court performance that strengthened points of interaction between the courts and their communities and improved public awareness of judicial policies and procedures.",,,,,,"http://pdf.usaid.gov/pdf_docs/PDACK548.pdf","http://www.chemonics.com/OurWork/OurProjects/Pages/Combating-Corruption-and-Strengthening-Rule-of-Law.aspx",,"High Corruption","Unstable"
"294","Europe and Eurasia (E&E)","Ukraine","Promoting Citizen Engagement in Combating Corruption in Ukraine (ACTION)","2006","2009","c) $5 M-$10 M","9887473.28","Management Systems International (MSI)","Civil Society, Media","Public Awareness, Advocacy, Investigative Reporting","Awareness, Participation","The Promoting Citizen Engagement in Combating Corruption (ACTION) project in Ukraine worked with NGOs, journalists, and survey research groups to advance practical anticorruption goals by supporting public awareness campaigns, targeted advocacy efforts, watchdog and monitoring activities, direct dialogues and negotiations with public authorities, legal support for victims of corruption, investigative reporting in the media, and public opinion polling.  This ACTION project had three major components:  monitoring TCP implementation; promoting investigative journalism and media anti-corruption advocacy; and fostering civil society anti-corruption advocacy.","The project resulted in changes and reforms to Ukrainian anti-corruption institutions, laws, and procedures. The project monitored the results of the implementation of the overall Threshold Country Program by the government of Ukraine through a series of national household and sectoral surveys and focus groups. It disseminated the results among citizens.  The ACTION Project trained 586 CSOs in advocacy skills and provided 143 grants to promote public awareness and advocacy campaigns. A total of 114 advocacy campaigns against corruption conducted with the support of the project, 65.8% if which were successful in producing real reforms - they changed laws, regulations or procedures, reformed institutions, and improved delivery of quality public services. Investigative reporting on corruption issues resulted in official investigations either by law enforcement or internally within government agencies. 63.9% of reports produced further official investigations. The effectiveness of investigative media reports on corruption was further demonstrated by the fact that 27.2% of these reports resulted in a case being brought to court, 10.8% resulted in court sanctions, and 46.8% resulted in administrative sanctions.",,"http://pdf.usaid.gov/pdf_docs/PDACR665.pdf","http://pdf.usaid.gov/pdf_docs/PDACT344.pdf",,,,,,"High Corruption","Unstable"
"295","Europe and Eurasia (E&E)","Ukraine","The Ukrainian Standardized External Testing Initiative (USETI)","2007","2009","-",,"American Institutes for Research","Education","Standardized Testing, Service Delivery, Internal Controls","Accountability, Transparency","The Ukrainian Standardized External Testing Initiative (USETI) aimed to help the Government of Ukraine introduce external standardized testing as a mandatory criterion for university admissions, thus mitigating corrupt practices in higher education in Ukraine. The project supported one component of the GOU's Millennium Challenge Corporation (MCC) Threshold Country Plan (TCP).  The six components of this particular program included the following: supporting improved test development and administration, as well as technical assistance to university departments that teach education measurement and psychometrics; improving test security through the development of the necessary tools and procedures to prevent corruption at all levels, internally as well as externally; developing legal and normative bases necessary for creating and protecting testing materials; and developing sanctions for those violating testing security; increasing public awareness through the timely provision of information to students, parents and educators in order to better integrate the testing process into the education system; developing test preparation materials and supporting private industry expansion in that area; and providing evidence to universities about the benefits of using standardized external testing admissions processes.","USETI built the capacity of UCEQA (the National Testing Agency) and regional testing centers to develop, implement, and conduct standardized tests.  It established an effective security system for all testing processes and developed the legal and normative bases necessary for effective functioning of external testing and university admissions.  The initiative also increased public support for external standardized testing as a means of combating corruption associated with admissions to universities; ensured equitable access to test preparation; and began elaboration and laying the groundwork for establishing transparent and equitable university admission procedures.",,"http://pdf.usaid.gov/pdf_docs/PDACQ648.pdf",,,,,,,"High Corruption","Unstable"
"296","Europe and Eurasia (E&E)","Ukraine","Combating Corruption and Strengthening Rule of Law in Ukraine (UROL) under the MCC Threshold Country Program","2007","2009","c) $5 M-$10 M","5398936","Chemonics","Rule of Law","Court Administration, Case Management, Professional Legal Education/Training, Public Information","Transparency, Accountability","This UROL project addressed three judicial components of the Government of Ukraine's (GOU) MCC Threshold.  During the initial 24 months of the project, focus was on registry and case assignment, judicial testing and discipline, and assistance to administrative courts. During a subsequent five-month extension, the project focused on developing a national court automation strategy, strengthening the judicial testing mechanism, and expanding mechanisms for judicial discipline to expand the project's concrete results and further ensure sustainability.","The UROL project trained about 250 administrative court judges and personnel on administrative law, ECHR case law, and specialized topics related to tax law and social benefits. The project further published and disseminated a comprehensive body of resource materials to administrative courts, including 3,000 copies of the Administrative Law Resource Manual. These materials were used to create 36 reference libraries in the Supreme Court of Ukraine, the High Administrative Court, and all established administrative courts. One of the regional Court of Appeals supported by the project reported reduction of time required to register a case has been from 17 to 6 minutes, while the time needed to prepare statistical reports for the SJA has been decreased from two weeks to two hours. The automated random case assignment module saved the chief judge and his two deputies, who had previously assigned cases manually, two hours per day that they can now use for overall court management and completing their judicial functions. Cases processed in the court during the first half of 2009 rose 22% compared to the same period in 2008. In the first four months of 2009, the total number of cases handled by the Kharkiv Appellate Administrative Court increased by more than 480% as compared to the same period last year. Additionally, the average number of cases processed per judge per month increased by 420% and the time it takes to register a case decreased by more than half, from 15 to 7 minutes.",,"http://pdf.usaid.gov/pdf_docs/PDACN921.pdf",,,,,,,"High Corruption","Unstable"
"297","Europe and Eurasia (E&E)","Ukraine","Trade, Investment, and Business Acceleration (TIBA)","2006","2009","c) $5 M-$10 M","8198039","Booz Allen Hamilton","Economic Growth","Business Environment, Trade Reforms","Enforcement, Accountability","The project aimed to provide technical assistance to Ukraine's public and private sectors to increase trade in accordance with WTO rules, create a better business environment, and reduce corruption.","The project educated the public and private sector about benefits of joining the WTO.  Promoted ratification of WTO Accession Package by the Ukraine Parliament and provided training in implementation to governmental agencies and business associations at the national, regional and local levels. The project also helped create a database of regulatory acts and a Permit Information Window (PIW). Finally, the project helped the government implement its obligation under the Millennium Challenge Account's Threshold Country Plan to streamline and enforce regulations.",,"http://pdf.usaid.gov/pdf_docs/PDACQ085.pdf","http://pdf.usaid.gov/pdf_docs/PDACU418.pdf",,,,,,"High Corruption","Unstable"
"298","Europe and Eurasia (E&E)","Ukraine","Municipal Finance Strengthening Initiative (MFSI-II) Roll-Out","2011","2015","-",,"Institute for Budgetary and Socio-Economic Research","Local Government","Management Systems, Service Delivery, Citizen Participation","Transparency","The purpose of the Municipal Finance Strengthening Initiative (MFSI-II) Roll-Out activity is to promote the efficient and transparent implementation of local budgets to foster local social and economic development. MFSI-II is tasked  to provide legislative, methodological and organizational support to central and local government to expand Performance Program Budgeting (PPB) to all local budgets in Ukraine, as well as to ensure institutional sustainability of PPB training; build the capacity of 15 selected cities to develop and implement multi-year development strategies, including the introduction of financial practices that foster energy efficiency; and enhance public awareness and understanding of the public budgeting process, revenues and expenditures.  In addition, the project sought to improve the software used by the State Treasury Service of Ukraine - the ""budget program code"" to serve as the basis for the automation of formulation and execution of PPB-based local budgets, which would reduce the corruption risks in the budgetary sphere, improve the transparency of budget execution, and availability of budgets to the general public.","Since the inception of the MFSI-II project, it has assisted with simplifying Performance Program Budgeting (PPB) procedures for local budget formulation - these were reflected in seven new Ministry of Finance orders. As a result, finance reporting was streamlined and 35% of previously reported indicators have been eliminated from the reports.  The initiative also helped improve access to credit resources and greater autonomy for local governments by working with the Cabinet of Ministers on a resolution that simplified local borrowing procedures.  It has also extended the implementation of PPB to 346 municipal budgets across all of Ukraine's oblasts.  Finally, 2,590 local budget officers were trained and developed 16,000 budget programs.",,,,,,"http://pdf.usaid.gov/pdf_docs/PA00J295.pdf","http://www.ibser.org.ua/news/435/?lang=en",,"High Corruption","Unstable"
"299","East Asia and Pacific (EAP)","Vietnam","Vietnam Support for Trade Acceleration (STAR Plus)","2010","2013","d) $10 M-$25 M","11736866","Development Alternatives Incorporated","Economic Growth","Legal Drafting, Business Environment, Trade Reforms","Transparency","The purpose of this project is to support the Government of Vietnam's efforts to continue its high level of trade and investment reforms, including changes in economic governance and macroeconomic areas to ensure an environment attractive for investment, trade and private sector growth.","With the support of the project Vietnam moved from a hybrid legal to a contemporary, rule-based, international best practice system. STAR supported the major revision or drafting of 166 laws, 555 workshops to introduce new laws and procedures; and 81 publications and references pertaining to the new legal regime. The project's work on the Law on Laws which applied WTO transparency standards to rule and law making. It enhanced judicial transparency through the publication of selected court decisions from 2002 to 2010 and established an e-portal for the Supreme People's Court that is accessible to the public. The project reduced barriers to trade through targeted support in such key issues as sanitary and phytosanitary standards and technical barriers to trade, thus moving the Vietnamese regulatory system closer to international standards, which facilitates trade. STAR Plus contributed to the rapid growth in exports, foreign direct investment, and diversification of export production. It also supported development of laws and rules governing the financial sector, including banking laws, securities laws, securities regulations, and an early warning system at the State Bank.",,"http://pdf.usaid.gov/pdf_docs/PBAAA384.pdf",,,,,"http://dai.com/our-work/projects/vietnam%E2%80%94support-trade-acceleration-project-star-i-ii-plus",,"High Corruption","Unstable"
"301","Middle East and North Africa (MENA)","West Bank and Gaza","Palestinian Justice Enhancement Program (PJEP)","2010","2014","d) $10 M-$25 M","14994749","Chemonics","Rule of Law, Civil Society, Education","Court Administration, Public Information, Public Awareness, Service Delivery","Transparency, Participation","The Palestinian Justice Enhancement Program (PJEP) provides targeted assistance to justice-sector institutions, legal professionals, civil society, and the public to strengthen the performance of these actors while increasing public knowledge of the law and justice sector. The project's short-term gains in making the justice system more efficient, fair, and responsive create the foundation for more capable and credible institutions and increase the public's confidence in the justice system.","During its first year, PJEP facilitated a series of high level meetings between Palestinian justice sector leaders and conducted several coordination meetings with the High Judicial Council, the Ministry of Justice, the Palestinian Judicial Institute, other donors, universities and civil society organizations increasing justice sector transparency and accountability. PJEP also refurnished the Court of Appeals and helped the MOJ revitalize the Joint Legal Committee (JLC) as a forum for discussing of practical legal issues concerning both Israel and the Palestinian Authority. In the later stage, PJEP contributed to renovation of the Ramallah Conciliation Court making the public's access to the court more manageable and efficient. It also enabled legal education in schools by sponsoring the development of a teachers' Rule of Law manual and training teachers to use the manual in the classroom. PJEP also developed a Rule of Law Manual, Civil Law training course with case study exercises and court precedents and reviewed and edited the Judicial Ethics course.","https://www.fbo.gov/?s=opportunity&mode=form&id=ed90a71e16823e1e34a8a10cf3e028dd&tab=core&_cview=1",,,,,,"http://www.wbg-pjep.com/pjep/index.php/122-main/146-palestinian-justice-enhancement-program","http://pdf.usaid.gov/pdf_docs/PDACT146.pdf","High Corruption","Very Unstable"
"302","Middle East and North Africa (MENA)","West Bank and Gaza","Civic Participation Program (CPP)","2010","2013","d) $10 M-$25 M","17900000","Catholic Relief Services","Local Government, Civil Society","Service Delivery, Citizen Participation, Public Awareness","Participation","The Civic Participation Program (CPP) aimed to reinvigorate the involvement of Palestinian civil society in the Palestinian Authority (PA) decision-making process, in the monitoring and oversight of government institutions, and in the broader public sector discourse in order to ensure a more vibrant and robust democratic dialogue between the government and the citizens of the future Palestinian state. CPP aimed to award more than 160 grants to support more than 75 Palestinian civil society organizations (CSOs), and to provide technical assistance to CSOs through every step of the program to give them strategic opportunities to adopt and utilize internal democratic management practices, generate greater public value, and enhance networking between CSOs. More transparent decision-making and communication practices were to increase accountability of internal governance, quality of performance, and enhance the credibility of CSOs.","CPP made progress in supporting capacity development, increasing public awareness of the importance of participating in public sector decision-making, and developing partnerships among civil society organizations and key stakeholders. As of June 2012, CPP provided capacity development support to 28 civil society organizations that included training sessions on a variety of topics such as advocacy, coalition building and networking, governance, project management, fund-raising, and monitoring and evaluation. The program grantees completed 18 advocacy campaigns promoting participation in topics that were important to local communities. It also created 169 new partnerships among civil society organizations and key stakeholders, including local communities and universities.",,,,,"http://oig.usaid.gov/sites/default/files/audit-reports/6-294-13-003-p.pdf",,"http://map.usaid.gov/ProjectDetail?id=a0cd00000011XbKAAU","http://pdf.usaid.gov/pdf_docs/PDACT143.pdf","High Corruption","Very Unstable"
"303","Middle East and North Africa (MENA)","West Bank and Gaza","Local Government and Infrastructure (LGI)","2010","2015","f) $50 M-$100 M","100000000","Global Communities","Local Government, Public Finance","Service Delivery, Procurement","Transparency, Accountability, Awareness","The goal of the West Bank and Gaza Local Government and Infrastructure (LGI) program is to encourage good local governance and provide basic infrastructure necessary to improve the quality of life for Palestinians in the West Bank and Gaza. The project has 6 objectives: improve living conditions for Palestinians by providing sustainable multisector community infrastructure, such as schools, roads, and sidewalks; enhance the impact of other USAID programs by addressing their underlying infrastructure needs; strengthen local government's capacity to respond effectively and efficiently to community needs by promoting and institutionalizing good democratic governance practices; enhance the Ministry of Local Government's capacity to assume its regulatory, policy development, sector strategic planning, guidance, and monitoring roles; generate employment opportunities and build the capacity of the Palestinian construction sector through building infrastructure projects; and reserve 5 percent of program funds to address unforeseeable opportunities that could help achieve the program's overall goal.","As of 2012, strategic development and investment planning was completed in eight municipalities.  57 community infrastructure projects were completed and 45 communities provided access to new or rehabilitated infrastructure.  40 fellow engineers completed their fellowship in 2011 and another 58 were set to do so in 2013.",,,,,"http://oig.usaid.gov/sites/default/files/audit-reports/6-294-13-005-p.pdf",,"http://www.chf-pal.org/files/server/20132804025400.pdf",,"High Corruption","Very Unstable"
"304","Middle East and North Africa (MENA)","West Bank and Gaza","Investment Climate Improvement (ICI) Project","2010","2012","d) $10 M-$25 M","24939833","Chemonics","Economic Governance","Service Delivery, Business Environment, Trade Reforms","Transparency, Accountability, Awareness","The ICI project had an objective to assist the Palestinian Authority in adopting and implementing laws, regulations, policies, and procedures required to bring it into compliance with the multilateral trade framework of the World Trade Organization. The project had two components: policy reform and fiscal reform. The policy reform component is preparing the Palestinian Authority to achieve World Trade Organization observer status and improve the business enabling environment. The project also sought to support policy advocacy and institutional development of private sector organizations, universities, and non-governmental organizations; increase the role of women and women-owned/managed businesses in the Palestinian economy; increase public awareness and support for reforms; and increase knowledge and skills of public and private counterparts needed for effective policy analysis and advocacy.","During the first three years, the project assisted with the development of a Tax Procedures Law that are critical to the MoF's ability to reduce tax evasion and enforce compliance by taxpayers; made initial progress on building a new IT system, beginning with an integrated data base of tax information-to replace the weak and fragmented data bases that currently exist within the MoF; and, completed preparatory work for providing technical assistance and training of tax officials and taxpayers.",,,"http://pdf.usaid.gov/pdf_docs/PDACW291.pdf",,,"https://dec.usaid.gov/dec/content/GetDoc.axd?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MzMzNjIw&pID=NTYw&attchmnt=VHJ1ZQ==&rdp=ZmFsc2U=","http://www.chemonics.com/OurWork/OurProjects/Pages/Investment-Climate-Improvement-Project.aspx","http://www.globalcommunities.org/publications/2013-westbank-municipal-profiles.pdf","High Corruption","Very Unstable"
"305","Middle East and North Africa (MENA)","West Bank and Gaza","Palestinian Health Sector Reform and Development  (the Flagship Project)","2008","2014","f) $50 M-$100 M","85436964","Chemonics","Healthcare","Procurement, Service Delivery","Participation","The Palestinian Health Sector Reform and Development Project aimed to strengthen the institutional capacities and performance of the Palestinian Authority Ministry of Health (MoH), selected non-governmental organizations, and eligible educational and professional institutions to support a functional, democratic Palestinian health sector capable of meeting the priority public health needs of its people. Project activities were designed to support the Palestinian Authorities' reform and development agenda and help respond to priorities identified in the MoH's National Strategic Health Plan/Medium Term Development Plan for 2008 - 2010. The project had three main objectives: improving governance and management practices in the Palestinian health sector, improving the quality of essential clinical and community-based health services, and increasing the availability of essential commodities to achieve health and humanitarian assistance goals.","The project worked with the MOH to enhance its capacity as a service provider and regulator of the health sector by strengthening its institutional capacity, as well as that of partnering NGOs and academic institutions. In addition, the Project assisted NGO health service providers to provide Palestinians with rehabilitative services that are unavailable through the MOH. It assisted the MOH with developing the National Strategic Health Plan and improvement of a dozen laws, policies, regulations, or guidelines to enhance access to and use of health services.  With the help of the project, the MOH established a procurement committee to ensure a transparent and needs-based procurement process and initiated a financial management capacity strengthening program. The project worked closely with the MOH in developing a digital national-level information management system (HIS) that creates an electronic record for each patient, allowing doctors to track procedures and treatment plans. HIS also manages pharmaceutical orders and enables hospital administration to control medical supply inventory, human resources administration, and facility finances. In addition to building the system, the program trained members of the MOH to manage it and integrate it with new and existing community health programs. As of September 2013, the MOH was using the HIS to manage health care delivery at 13 facilities and planned to expand it to other government hospitals and clinics.  Digitizing the West Bank's health care system has improved hospital performance and accountability, decreased wait times for patients, and improved the MOH's ability to provide hospitals with necessary resources. To support primary healthcare, the project also worked in all 12 MOH health directorates through Community-based organizations (CBOs) enabling the MOH to ensure that its clinics respond to citizen needs.","https://www.fbo.gov/index?s=opportunity&mode=form&id=62c83fc6efe4323cbdb88058bea7e07d&tab=core&_cview=1",,,,,"http://pdf.usaid.gov/pdf_docs/PA00JVNB.pdf","http://www.flagshipproject.org/",,"High Corruption","Very Unstable"
"306","Middle East and North Africa (MENA)","West Bank and Gaza","Local Democratic Reform Program (LDR)","2005","2011","e) $25 M-$50 M","36999952","Global Communities","Civil Society, Local Government","Public Awareness, Management Systems, Service Delivery, Citizen Participation","Awareness, Participation","The overall objective of the three-year LGP project program was to enhance Palestinian local governance through a combination of technical assistance, capacity building, small-scale infrastructure construction and service-delivery improvement. The project sought to develop the capacity of local government units (LGUs) that have undergone democratic elections in 2004-2005 to operate in a responsive, accountable, participatory and more democratic manner and improve their service delivery. The LGP project was set to support the Palestinian Authority's efforts to recognize and reform an enabling environment for effective local governance and to strengthen local government institutions and leadership to more effectively, and in a transparent, democratic, and accountable manner, assess and prioritize needs, implement integrated strategic planning and performance monitoring processes, and deliver and manage infrastructure construction and basic service delivery.","The project assisted with implementing the Strategic Development Framework Process in 20 partner local councils. LDP developed a standard procurement manual and procedures and conducted training in 18 partner LGUs. The manual has been widely used, but not officially adopted because some of the procedures are inconsistent with existing laws. LDP also supported an effort to introduce a one-stop shop (OSS) for variety of administrative services, complemented by software to link the OSS to the administrative procedures of the services.  OSSs were being implemented in 13 LGUs in the West Bank as of the end of 2010. The objective of the OSS is to provide citizens with efficient and transparent services. Over 1,475 youth were trained in leadership and local governance, and 11 youth councils were worked with to help them build their own capacity.  Overall, the program increased the capacity of Palestinian Local Government Units to better serve their citizenry and to adopt democratic participatory approaches, on both local and national levels.",,,"http://www.lacs.ps/documentsShow.aspx?ATT_ID=3611",,,"http://pdf.usaid.gov/pdf_docs/PDACN753.pdf","http://www.globalcommunities.org/node/32876","http://www.chf-pal.org/files/server/20121101131218.pdf","High Corruption","Very Unstable"
"307","Middle East and North Africa (MENA)","West Bank and Gaza","Rule of Law, Justice and Enforcement Program","2005","2010","d) $10 M-$25 M","13746731","TetraTech DPK","Rule of Law","Court Administration","Transparency, Accountability, Participation","The Rule of Law, Justice and Enforcement Program (also known as Netham) aimed to strengthen the Palestinian Authority's capacity to promote and provide for rule of law, increase public confidence in the justice sector, and improve the enforcement of laws and courts orders, all in an effort to better serve the Palestinian public. The project was sought to increase the capacity of key justice sector institutions within the Palestinian Authority (PA) and to raise the public's overall confidence in the justice sector. The program was designed to address a broad range of judicial issues, such as systems and organization development, automation, training, public outreach, law school curriculum reform, facility renovations, and improving the civic education curriculum.","The program worked with key justice sector counterparts to produce the first-ever National Justice Sector Strategic Plan for 2008 - 2010 and the subsequent National Justice Sector Strategy for 2011 - 2013. It also assisted the judiciary in forming new court departments that are essential to effective court operations; built the skills of hundreds of court staff and judges, and trained over 300 court staff on financial and administrative systems, case management, and customer service. To help institutionalize judicial training, the program supported the establishment of the Palestinian Judicial Institute (PJI). The program helped develop a Document Management System at the Ministry of Justice to automate workflow between MOJ departments in order to reduce and eliminate unnecessary practices for storing, retrieving, and circulating information. In addition, the program supported civil society organizations to increase the knowledge of thousands of citizens about the justice system and assisted the Ministry of Education to develop a program enhancing civic education learning.",,"http://pdf.usaid.gov/pdf_docs/PDACS638.pdf",,,,,"http://www.tetratechintdev.com/index.php?option=com_k2&view=item&id=189%3Awest-bank-and-gaza-rule-of-law-justice-and-enforcement-program&Itemid=227&lang=us",,"High Corruption","Unstable"
"308","Middle East and North Africa (MENA)","West Bank and Gaza","Strengthening the Accountability and Transparency of the Legislative Process in the West Bank (BAYAN)","2005","2008","c) $5 M-$10 M","5998963","Development Alternatives Incorporated","Legislature, Civil Society","Internal Controls, Watchdog","Transparency, Accountability, Participation","The program intended to strengthen capacities of the Palestinian Legislative Council (PLC) and related nongovernmental actors. The project provided financial support, through its small-grants scheme, for a number of  CSOs in the West Bank and Gaza to implement critical projects.","The project trained about 190 staff member of the Parliament and civil society in various topics, including legislative oversight and legislative advocacy. Two regulatory impact assessment (RIA) trainings for members of PA Ministries and the Office of the President were conducted; and the project assisted with RIA implementation. The project supported the National Legislative Agenda Planning Commission. It also strengthened the PA's ability to research, analyze, draft, and implement effective legislation and supported civil society's efforts to participate in the legislative process and hold governmental institutions accountable for their performance. The project awarded six grants to CSOs providing the opportunity for CSOs and government to promote mutual partnerships and allowing CSOs to engage effectively in public policy process.","https://www.fbo.gov/?s=opportunity&mode=form&tab=core&id=c2574dcd1e8b4f94829f652663d6f81e&_cview=0","http://pdf.usaid.gov/pdf_docs/pdacm258.pdf",,,,,,,"High Corruption","Unstable"
"309","Middle East and North Africa (MENA)","West Bank and Gaza","Supporting Rule of Law Reform in West Bank and Gaza (Arkan)","2004","2007","b) $1 M-$5 M","3972168","Chemonics","Rule of Law, Civil Society","Professional Legal Education/Training, Public Awareness","Awareness, Participation","The Arkan project goal was to assist the legal education community and informal judicial sector stakeholders in becoming more actively involved in promotion, respect, and understanding of legal reform in the territories. Arkan worked along three tracks to achieve its goals of: enhancing law faculty contributions to legal reform, building public and professional constituencies for reform, and inculcating a culture of respect for the rule of law among citizens. The program worked to improve the quality of professional legal education, increase legal literacy among Palestinian society, and enhance the Palestinian Bar Association's effectiveness as an advocate for, voice of, and oversight body to the legal profession.","The project led to the integration of practical skills courses into law schools, which benefitted 350 students. Similarly, the first Palestinian bar exam was piloted in the West Bank with 61 people taking the exam; Palestinian Bar Association implemented the first continuing legal education program for Palestinian lawyers, which enhanced the skills of 248 legal professionals. In Gaza, through the Al Azhar Law School, the continuing legal education program reached 471 legal professionals; A cadre of 89 community legal educators and advocates - law students, practicing lawyers, and civil service organization representatives - serve as watchdogs of the judiciary and educate Palestinian communities on the rule of law and independence of the judiciary from the executive and the legislative branches of government. Approximately 4,000 schoolchildren studied rule-of-law concepts and the independence of the judiciary in education programs, mock trials, and theater shows. More than 900 Palestinians engaged in dialogue and debate with civic leaders on the importance of the rule of law and independence of the judiciary through widespread town hall-style meetings throughout the West Bank and Gaza.",,"http://pdf.usaid.gov/pdf_docs/PDACK507.pdf",,,,,,,"High Corruption","Unstable"
