"event_name","event_description","fee_required","type_of_event","subject_matter","age_groupings","event_by_service_area","event_sponsor","event_date_time_start","event_date_time_ends","location_common_name","location_address","contact_name","contact_number","contact_email","information_website","council_district","elected_officials","neighborhood_council","city_reference_id"
"HHPNC Agenda FYEComm 081516-645pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-15T18:45:00.000",,,,,,,"http://ens.lacity.org/ensnc/highlandpark/ensnchighlandpark801105364_08152016.pdf",,,,"105364"
"SONC Board Agenda Spcl 081516-630pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-15T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/shermanoaksnc/ensncshermanoaksnc825105405_08152016.pdf",,,,"105405"
"ECWANDC Board Agenda 081516-630pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-15T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/congresswest/ensnccongresswest786105403_08152016.pdf",,,,"105403"
"HUNC Board Agenda 081516-630pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-15T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/hollywoodunited/ensnchollywoodunited822105411_08152016.pdf",,,,"105411"
"SLNC Agenda GovAffairsComm 081516-630pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-15T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/silverlakenc/ensncsilverlakenc833105367_08152016.pdf",,,,"105367"
"NHENC FinComm-Board Joint Agenda 081516-630pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-15T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/n_hills_east_nc/ensncn_hills_east_nc3325105402_08152016.pdf",,,,"105402"
"CSPNC Board Agenda 081516-630pm final",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-15T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/sanpedronc/ensncsanpedronc768105361_08152016.pdf",,,,"105361"
"WANC Board Agenda 081516-630pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-15T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/westadamsnc/ensncwestadamsnc774105406_08152016.pdf",,,,"105406"
"	West Hills NC Subcommittee on Homeless Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-15T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/westhillsnc/ensncwesthillsnc770105152_08152016.pdf",,,,"105152"
"NHENC Agenda PubSafComm 081516-6pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-15T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/n_hills_east_nc/ensncn_hills_east_nc3325105371_08152016.pdf",,,,"105371"
"ECSWANDC Agenda Board 081516-6pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-15T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/congressswest/ensnccongressswest784105366_08152016.pdf",,,,"105366"
"EPNC PLUC Agenda 081516-6pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-15T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/echoparkelysian/ensncechoparkelysian791105404_08152016.pdf",,,,"105404"
"NHENC Outreach-Board Joint Agenda 081516-540pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-15T17:40:00.000",,,,,,,"http://ens.lacity.org/ensnc/n_hills_east_nc/ensncn_hills_east_nc3325105458_08152016.pdf",,,,"105458"
"NHENC Agenda EducComm 081516-530pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-15T17:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/n_hills_east_nc/ensncn_hills_east_nc3325105372_08152016.pdf",,,,"105372"
"Budget & Finance Committee Meeting",,"No ","Meeting - Council","Government",,,"ITA","2016-08-15T14:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend18105382_08152016.html",,,,"105382"
"Board of Neighborhood Commissioners Regular Meeting Agenda 8-15-2016 ",,"No ","Meeting - Board","Government",,,"ITA","2016-08-15T13:00:00.000",,,,,,,"http://ens.lacity.org/done/agendas/doneagendas197105380_08152016.pdf",,,,"105380"
"Claims Board Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-15T13:00:00.000",,,,,,,"http://ens.lacity.org/atty/claims_board/attyclaims_board3307105349_08152016.pdf",,,,"105349"
"Arts, Parks, and River Committee",,"No ","Meeting - Council","Government",,,"ITA","2016-08-15T11:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend16105355_08152016.html",,,,"105355"
"Board of Public Works Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-15T10:00:00.000",,,,,,,"http://ens.lacity.org/bpw/agendas/bpwagendas86105327_08152016.html",,,,"105327"
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-08-15T10:00:00.000","2016-08-15T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/08152016_bpwcal.htm",,,,
"Harbor City NC Special Mtg (Board Retreat)",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-14T10:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/harborcitync/ensncharborcitync788105359_08142016.pdf",,,,"105359"
"North Hollywood Northeast Board Retreat Special Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-14T08:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/nrthhollywoodne/ensncnrthhollywoodne815105379_08142016.pdf",,,,"105379"
"Zapata King NC Special Mtg (Retreat)",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-13T14:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/zapataking/ensnczapataking3371105358_08132016.pdf",,,,"105358"
"Park Mesa Heights CC Special Mtg. ",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-13T12:15:00.000",,,,,,,"http://ens.lacity.org/ensnc/parkmesaheights/ensncparkmesaheights787105357_08112016.pdf",,,,"105357"
"Park Mesa Heights CC Special Mtg. ",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-13T12:15:00.000",,,,,,,"http://ens.lacity.org/ensnc/parkmesaheights/ensncparkmesaheights787105357_08112016.pdf",,,,"105357"
"Park Mesa Heights CC General Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-13T10:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/parkmesaheights/ensncparkmesaheights787105269_08132016.pdf",,,,"105269"
"Office of Community Beautification: Mission Hills Community Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-08-13T09:00:00.000","2016-08-13T12:00:00.000",,"15530 San Fernando Mission Blvd.
Mission Hills, CA 91345
(34.271832, -118.470482)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7","Councilmember Fuentes",,
"Office of Community Beautification ~ Office of Councilmember Gil Cedillo ~ Esperanza Elementary School","Community Cleanup","None","Volunteerism ",,,,"BPW OCB ","2016-08-13T08:30:00.000","2016-08-13T12:00:00.000","Esperanza Elementary School","680 S. Little St. Los Angeles
California, 90017 
(34.8155, -106.7498)","Ana Huizar",,,,,,,
"Macarthur Park NC Special Meeting August 13, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-13T08:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/macarthurnc/ensncmacarthurnc841105422_08132016.pdf",,,,"105422"
"Macarthur Park NC Special Meeting August 13, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-13T08:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/macarthurnc/ensncmacarthurnc841105421_08132016.pdf",,,,"105421"
"Office of Community Beautification ~ Office of Councilmember Gil Cedillo ~ Esperanza Elementary School","Community Cleanup","None","Volunteerism ",,,,"BPW OCB ","2016-08-13T08:30:00.000","2016-08-13T12:00:00.000","Esperanza Elementary School","680 S. Little St. Los Angeles
California, 90017 
(34.8155, -106.7498)","Ana Huizar","213-978-0224","ana.huizar@lacity.org","http://bpw.lacity.org/ocb/","Council District 1","Councilmember Gil Cedillo ",,
"MPNC Agenda Spcl Board 081316-830am",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-13T08:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/macarthurnc/ensncmacarthurnc841105370_08132016.pdf",,,,"105370"
"Office of Community Beautification: Noble St. Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-08-13T08:00:00.000","2016-08-13T11:00:00.000","Rosa Parks Elementary","8855 Noble St.
,  91343
(34.231592, -118.461076)","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7","Councilmember Fuentes",,
"Office of Community Beautification ~ Office of Councilman Jose Huizar ~ LA-32 Neighborhood Council Beautification Committee","Community Clean-Up","NO","Volunteerism",,,,"BPW OCB","2016-08-13T08:00:00.000","2016-08-13T00:00:00.000","El Sereno Veterans Monument","Huntington Drive & Van Horne Avenue
Los Angeles, California 90032","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ Office of Councilman Curren Price ~ Total Restoration Church","Community Clean-Up","No","Volunteerism",,,,"BPW OCB","2016-08-13T08:00:00.000","2016-08-13T13:00:00.000","Total Restoration Church","5606 South Broadway Boulevard
Los Angeles, California 90037
(33.991195, -118.278301)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"LFNC Public Safety Agenda August 12, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-12T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/griffithparknc/ensncgriffithparknc803105308_08122016.pdf",,,,"105308"
"ECSEANDC Agenda Spcl Board 081216-6pm",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-12T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/congressseast/ensnccongressseast785105369_08122016.pdf",,,,"105369"
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-08-12T10:00:00.000","2016-08-12T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/08122016_bpwcal.htm",,,,
"Los Angeles City Council Agenda",,"No ","Meeting - Council","Government",,,"ITA","2016-08-12T10:00:00.000",,,,,,,"http://ens.lacity.org/clk/councilagendas/clkcouncilagendas3105289_08122016.html",,,,"105289"
"Board of Public Works Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-12T10:00:00.000",,,,,,,"http://ens.lacity.org/bpw/agendas/bpwagendas86105277_08122016.htm",,,,"105277"
"City of Los Angeles Employee Relations Board Agenda for 08-22-2016",,"No ","Meeting - Board","Government",,,"ITA","2016-08-12T09:30:00.000",,,,,,,"http://ens.lacity.org/erb/agendas/erbagendas216105392_08122016.pdf",,,,"105392"
"Foothill Trails NC Committee Agenda August 11, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-11T19:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/foothilltrails/ensncfoothilltrails836105307_08112016.pdf",,,,"105307"
"Del Rey August 2016 Board Agenda Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-11T19:15:00.000",,,,,,,"http://ens.lacity.org/ensnc/delreync/ensncdelreync849105284_08112016.pdf",,,,"105284"
"South Robertson NC Executive Committee Agenda August 11, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-11T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/southrobertson/ensncsouthrobertson809105293_08112016.pdf",,,,"105293"
"Arroyo Seco NC Committee Meeting August 11, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-11T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/arroyoseconc/ensncarroyoseconc817105296_08112016.pdf",,,,"105296"
"Atwater Village NC Agenda General Board Meeting 8-11-16",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-11T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/atwatervillage/ensncatwatervillage1021105267_08112016.pdf",,,,"105267"
"Canoga Park NC Joint Public Safety and Emergency Preparedness Committee Special Meeting Agenda 8-11-",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-11T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/canogaparknc/ensnccanogaparknc804105270_08112016.pdf",,,,"105270"
"MacArthur Park NC Safety Committee Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-11T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/macarthurnc/ensncmacarthurnc841105322_08112016.pdf",,,,"105322"
"Westside NC Board, stakeholder meeting August 11, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-11T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/westsidenc/ensncwestsidenc802105297_08112016.pdf",,,,"105297"
"Harbor City NC - Homelessness Committee Agenda Aug-11-2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-11T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/harborcitync/ensncharborcitync788105262_08112016.pdf",,,,"105262"
"North Hills West NC Special Budget and Finance Committee August 11, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-11T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/northhillswest/ensncnorthhillswest834105292_08112016.pdf",,,,"105292"
"Lincoln Heights NC Executive Committee Agenda - August 11, 2016.pdf",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-11T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/panoramacity/ensncpanoramacity3139105272_08112016.pdf",,,,"105272"
"Sylmar NC Emergency Prep Committee Special Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-11T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/sylmarnc/ensncsylmarnc839105362_08112016.pdf",,,,"105362"
"Lincoln Heights NC Committee agenda August 11, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-11T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/lincolnheights/ensnclincolnheights794105295_08112016.pdf",,,,"105295"
"Youth Committee Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-11T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/westadamsnc/ensncwestadamsnc774105255_08112016.pdf",,,,"105255"
"South Valley Area Planning Commission Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-11T16:30:00.000",,,,,,,"http://ens.lacity.org/pln/southvagenda/plnsouthvagenda300105196_08112016.pdf",,,,"105196"
"El Pueblo Commission Agenda ",,"No ","Meeting - Board","Government",,,"ITA","2016-08-11T16:00:00.000",,,,,,,"http://ens.lacity.org/elp/elp_commisson/elpelp_commisson3240105240_08112016.pdf",,,,"105240"
"BLC Agenda August 11, 2016",,"No ","Meeting - Board","Government",,,"ITA","2016-08-11T11:00:00.000",,,,,,,"http://ens.lacity.org/lapl/agendas/laplagendas266105239_08112016.pdf",,,,"105239"
"Board of Civil Service Commission Agenda Aug. 11, 2016",,"No ","Meeting - Board","Government",,,"ITA","2016-08-11T10:00:00.000",,,,,,,"http://ens.lacity.org/per/agendas/peragendas330105214_08112016.pdf",,,,"105214"
"Transportation  Board Agenda August (2016-08-11)",,"No ","Meeting - Board","Government",,,"ITA","2016-08-11T10:00:00.000",,,,,,,"http://ens.lacity.org/ladot/transagenda/ladottransagenda256105181_08112016.pdf",,,,"105181"
"Transportation Construction Traffic Management Committee",,"No ","Meeting - Board","Government",,,"ITA","2016-08-11T09:00:00.000",,,,,,,"http://ens.lacity.org/engr/tctmc/engrtctmc3159105203_08112016.pdf",,,,"105203"
"Transportation Construction Traffic Management Committee",,"No ","Meeting - Board","Government",,,"ITA","2016-08-11T09:00:00.000",,,,,,,"http://ens.lacity.org/engr/tctmc/engrtctmc3159105203_08112016.pdf",,,,"105203"
"Office of Community Beautification ~ United Healthcare ~ LA Dodgers ~ Clean & Green","Day of Service","No","Volunteerism",,,,"BPW OCB","2016-08-11T09:00:00.000","2016-08-11T13:00:00.000","Boys & Girls Club","1950 East 220th Street
Los Angeles, California ","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ United Healthcare ~ LA Dodgers ~ Clean & Green","Day of Service","No","Volunteerism",,,,"BPW OCB","2016-08-11T09:00:00.000","2016-08-11T13:00:00.000","Toland Way Elementary School","4545 Toland Way
Los Angeles, California 90041
(34.120762, -118.217806)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Office of Community Beautification ~ United Healthcare ~ LA Dodgers ~ Clean & Green","Day of Service","No","Volunteerism",,,,"BPW OCB","2016-08-11T09:00:00.000","2016-08-11T13:00:00.000","Downey Recreation Center","219 South Avenue 18
Los Angeles, California 90031
(34.071119, -118.222096)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"Transportation Construction Traffic Management Committee",,"No ","Meeting - Board","Government",,,"ITA","2016-08-11T09:00:00.000",,,,,,,"http://ens.lacity.org/engr/tctmc/engrtctmc3159105203_08112016.pdf",,,,"105203"
"City Planning Commission Meeting Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-11T08:30:00.000",,,,,,,"http://ens.lacity.org/pln/cityplnagenda/plncityplnagenda285105211_08112016.pdf",,,,"105211"
"Los Angeles Convention Center - Naturalization","Paid parking available. ","Yes","Business",,,,"Convention Center","2016-08-11T07:00:00.000","2016-08-11T15:00:00.000","Los Angeles Convention Center, West Hall AB","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com",,,,,
"NC Valley Village - Planning and Land-Use Committee",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-10T19:15:00.000",,,,,,,"http://ens.lacity.org/ensnc/valleyvillagenc/ensncvalleyvillagenc2409105257_08102016.pdf",,,,"105257"
"Westwood NC General Board Mtg.",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-10T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/westwood/ensncwestwood3135105275_08102016.pdf",,,,"105275"
"Glassell Park NC Joint Board and Grants and Funding Comte Mtg.",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-10T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/glassellparknc/ensncglassellparknc769105280_08102016.pdf",,,,"105280"
"Greater Wilshire NC General Board Mtg.",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-10T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/gwilshire/ensncgwilshire1024105266_08102016.pdf",,,,"105266"
"West Hills NC Environment Committee Agenda 8-10-16",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-10T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/westhillsnc/ensncwesthillsnc770105303_08102016.pdf",,,,"105303"
"Studio City Land Use Committee Mtg. ",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-10T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/studiocitync/ensncstudiocitync824105294_08102016.pdf",,,,"105294"
"PICO NC General Board Meeting August 10, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-10T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/pico_nc/ensncpico_nc781105300_08102016.pdf",,,,"105300"
"Sylmar NC Committee and Board Meeting August 10, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-10T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/sylmarnc/ensncsylmarnc839105285_08102016.pdf",,,,"105285"
"Silver Lake NC Urban Design and Preservation advisory committee August 10, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-10T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/silverlakenc/ensncsilverlakenc833105252_08102016.pdf",,,,"105252"
"Elysian Valley NC Board Meeting August 10, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-10T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/elysianvalleyr/ensncelysianvalleyr807105299_08102016.pdf",,,,"105299"
"Arleta NC Executive Board Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-10T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/arletanc/ensncarletanc823105281_08102016.pdf",,,,"105281"
"Mar Vista CC Great Streets Ad-Hoc Commitee",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-10T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/marvistanc/ensncmarvistanc810105259_08102016.pdf",,,,"105259"
"Sunland Tujunga NC General Meeting Agenda August 10, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-10T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/sunlandtujunga/ensncsunlandtujunga840105234_08102016.pdf",,,,"105234"
"Lincoln Heights NC Planning and Land Use Committee Meeting August 10, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-10T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/lincolnheights/ensnclincolnheights794105304_08102016.pdf",,,,"105304"
"East Los Angeles Area Planning Commission Agenda ",,"No ","Meeting - Board","Government",,,"ITA","2016-08-10T16:30:00.000",,,,,,,"http://ens.lacity.org/pln/eastlaagenda/plneastlaagenda288105206_08102016.pdf",,,,"105206"
"Homelessness and Poverty Committee Meeting",,"No ","Meeting - Council","Government",,,"ITA","2016-08-10T15:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend3405105216_08102016.html",,,,"105216"
"Echo Park NC Communications Committee Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-10T15:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/echoparkelysian/ensncechoparkelysian791105286_08102016.pdf",,,,"105286"
"Transportation Committee - SPECIAL MEETING",,"No ","Meeting - Council","Government",,,"ITA","2016-08-10T13:15:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend30105291_08102016.html",,,,"105291"
"Transportation Committee Meeting",,"No ","Meeting - Council","Government",,,"ITA","2016-08-10T13:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend30105215_08102016.html",,,,"105215"
"Human Relations Commission Meeting",,"No ","Meeting - Board","Government",,,"ITA","2016-08-10T12:00:00.000",,,,,,,"http://ens.lacity.org/hcid/hrcagenda/hcidhrcagenda3334105226_08102016.pdf",,,,"105226"
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-08-10T10:00:00.000","2016-08-10T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/08102016_bpwcal.htm",,,,
"Board of Public Works Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-10T10:00:00.000",,,,,,,"http://ens.lacity.org/bpw/agendas/bpwagendas86105224_08102016.html",,,,"105224"
"Los Angeles City Council Agenda",,"No ","Meeting - Council","Government",,,"ITA","2016-08-10T10:00:00.000",,,,,,,"http://ens.lacity.org/clk/councilagendas/clkcouncilagendas3105222_08102016.html",,,,"105222"
"Recreation and Parks: August 10, 2016 Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-10T09:30:00.000",,,,,,,"http://ens.lacity.org/rap/agenda/rapagenda311105225_08102016.pdf",,,,"105225"
"BBSC Meeting Agenda - ADDITIONS",,"No ","Meeting - Board","Government",,,"ITA","2016-08-10T09:30:00.000",,,,,,,"http://ens.lacity.org/ladbs/commagendas/ladbscommagendas253105321_08102016.pdf",,,,"105321"
"Recreation and Parks: August 10, 2016 - Commission Task Force on Concessions",,"No ","Meeting - Board","Government",,,"ITA","2016-08-10T09:00:00.000",,,,,,,"http://ens.lacity.org/rap/ctf_agendas/rapctf_agendas3241105177_08102016.pdf",,,,"105177"
"Recreation and Parks: August 10, 2016 Facility Repair & Maintenance Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-10T08:30:00.000",,,,,,,"http://ens.lacity.org/rap/frtf_agendas/rapfrtf_agendas3242105202_08102016.pdf",,,,"105202"
"Venice NC Joint Land Use and Planning Committee Agenda August 10 2016.pdf",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-10T06:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/venice/ensncvenice3141105273_08102016.pdf",,,,"105273"
"Sun Valley NC Special Board Meeting August 9, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T20:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/sunvalleyarea/ensncsunvalleyarea797105287_08092016.pdf",,,,"105287"
"NC Valley Village City Service Committee Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/valleyvillagenc/ensncvalleyvillagenc2409105256_08092016.pdf",,,,"105256"
"	Lake Balboa NC Joint Board and Park Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/wvannuysnc/ensncwvannuysnc2411105120_08092016.pdf",,,,"105120"
"Chatsworth NC August 9, 2016 Committee Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/chatsworthnc/ensncchatsworthnc838105306_08092016.pdf",,,,"105306"
"Bel-Air Beverly Crest NC General Board Mtg.",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/belairbc/ensncbelairbc1020105278_08092016.pdf",,,,"105278"
"GTLNC 2016-08-09 - Exec Agenda",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/tolucalakenc/ensnctolucalakenc813105283_08092016.pdf",,,,"105283"
"Studio City NC Cultural Affairs Committee",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/studiocitync/ensncstudiocitync824105001_08092016.pdf",,,,"105001"
"Atwater Village NC Government Relations Committee Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/atwatervillage/ensncatwatervillage1021105264_08092016.pdf",,,,"105264"
"Foothill Trails District NC Safety Comte Mtg.",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/foothilltrails/ensncfoothilltrails836105282_08092016.pdf",,,,"105282"
"Central San Pedro General Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/censanperdro/ensnccensanperdro851105261_08092016.pdf",,,,"105261"
"Sun Valley NC Regular Board Mtg. ",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/sunvalleyarea/ensncsunvalleyarea797105279_08092016.pdf",,,,"105279"
"	Sylmar NC Joint Special Board and Outreach Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/sylmarnc/ensncsylmarnc839105126_08092016.pdf",,,,"105126"
"Macarthur Park NC Committee meeting August 9, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/macarthurnc/ensncmacarthurnc841105301_08092016.pdf",,,,"105301"
"West Hills NC Zoning and Planning 08.09.16",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-09T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/westhillsnc/ensncwesthillsnc770105231_08092016.pdf",,,,"105231"
