"fiscal_year","service","department","project","project_id","fund_type","fund","thru_fy_actuals","fy_approved"
"2020","Public Works","Public Works","Building Energy Efficiency Upgrades","FY20-41","City Funds","Reserves",,"184465"
"2020","Public Works","Public Works","City Buildings & YFD Centers Major Maintenance","FY20-43","City Funds","Reserves",,"100503"
"2020","Public Works","Public Works","Electric Vehicle Infrastructure","FY20-46","City Funds","Reserves",,"50000"
"2020","Public Works","Public Works","Greenway Farm, 3008 Hamill Road, Chattanooga, TN (FEMA)","FY20-51","City Funds","Reserves",,"6250"
"2020","Public Works","Public Works","Heritage Park (FEMA)","FY20-52","City Funds","Reserves",,"1250"
"2020","Public Works","Public Works","Marina Floating Dock, 201 Riverfront Parkway, Chattanooga, TN (FEMA)","FY20-54","City Funds","Reserves",,"1250"
"2020","Public Works","Public Works","Old Hixson Pk @ Chickamauga Crk (FEMA)","FY20-55","City Funds","Reserves",,"3750"
"2020","Public Works","Public Works","Parks ADA Repairs","FY20-56","City Funds","Reserves",,"26410"
"2020","Public Works","Public Works","Project Management Software","FY20-59","City Funds","Reserves",,"50000"
"2020","Public Works","Public Works","Rivermont Park (FEMA)","FY20-60","City Funds","Reserves",,"3125"
"2020","Public Works","Public Works","Ross's Landing, 201 Riverfront Pkwy (FEMA)","FY20-61","City Funds","Reserves",,"31250"
"2020","Public Works","Public Works","Site Improvement Requirements for New Construction of YFD Facilities","FY20-62","City Funds","Reserves",,"77000"
"2020","Public Works","Public Works","TN Riverwalk at Cameron Harbor, 634 Mariner Way (FEMA)","FY20-65","City Funds","Reserves",,"3125"
"2020","Finance and Administration","Finance and Administration","Cloud Software as a Service (SaaS)","FY20-68","City Funds","Reserves",,"1738376"
"2020","Transportation","Transportation","5500 Lake Resort Drive (FEMA)","FY20-7","City Funds","Reserves",,"1125000"
"2020","Economic and Community Development","Economic and Community Development","Chattown Skate Park","FY20-72","City Funds","Reserves",,"49000"
"2020","Economic and Community Development","Economic and Community Development","Lynnbrook Park","FY20-75","City Funds","Reserves",,"137000"
"2020","Fire Department","Fire Department","Automatic External Defibrillators (AED) Replacement","FY20-79","City Funds","Reserves",,"100000"
"2020","Fire Department","Fire Department","Fire Station Capital Maintenance","FY20-80","City Funds","Reserves",,"75000"
"2020","General Government","General Government","CARTA Facilities Projects","FY20-84","City Funds","Reserves",,"40137"
"2020","General Government","General Government","CARTA Technology Projects","FY20-85","City Funds","Reserves",,"29712"
"2020","General Government","General Government","CARTA Vehicles & Equipment","FY20-86","City Funds","Reserves",,"360029"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Contingency MBWWTP Improvements","FY20-97","City Funds","Reserves",,"3498000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Critical Pump Station Improvements Master Plan","FY20-98","City Funds","Reserves",,"300000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","CSOTF Equipment Replacement Program","FY20-99","City Funds","Reserves",,"650000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Laboratory Equipment","FY20-104","City Funds","Operations",,"150000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Lupton Drive Chronic SSO Elimination Project","FY20-107","City Funds","Operations",,"4000000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","MBWWTP Renewable Solar","FY20-109","City Funds","Operations",,"2250000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","MBWWTP Unox Electrical Upgrades","FY20-111","City Funds","Operations",,"320000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Program Management For Consent Decree Implementation","FY20-115","City Funds","Operations",,"2400000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Riverview Park/CGCC Chronic SSO Elimination Project","FY20-121","City Funds","Operations",,"4000000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","South Chickamauga Creek 3 Rehabilitation","FY20-124","City Funds","Operations",,"6000000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Tiftonia PS#1 Safety Upgrade","FY20-125","City Funds","Operations",,"5000000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Tubman Site Sewer Replacement","FY20-128","City Funds","Operations",,"2000000"
"2020","Public Works - Enterprise Funds","Water Quality","Automated Flood warning system","FY20-139","City Funds","Operations",,"150000"
"2020","Public Works - Enterprise Funds","Water Quality","Central Avenue Ext Separation Project","FY20-141","City Funds","Operations",,"1300000"
"2020","Public Works - Enterprise Funds","Water Quality","Dartmouth/Five Points Watershed SIP - Phase I","FY20-143","City Funds","Operations",,"50000"
"2020","Public Works - Enterprise Funds","Water Quality","Davidson Road","FY20-144","City Funds","Operations",,"600000"
"2020","Public Works - Enterprise Funds","Water Quality","Flood Control Pump Station Upgrades","FY20-146","City Funds","Operations",,"500000"
"2020","Public Works - Enterprise Funds","Water Quality","Floodplain Modeling","FY20-147","City Funds","Operations",,"50000"
"2021","Public Works","Public Works","Lakeside Ballfields - FEMA","FY21-65","External","TEMA",,"738"
"2020","Public Works - Enterprise Funds","Water Quality","GI Prioritization Tool","FY20-148","City Funds","Operations",,"50000"
"2020","Public Works - Enterprise Funds","Water Quality","Glass Street Area / Taylor St, Dodson Ave, Crutchfield St","FY20-149","City Funds","Operations",,"350000"
"2020","Public Works - Enterprise Funds","Water Quality","Green Alley Program","FY20-151","City Funds","Operations",,"144000"
"2020","Public Works - Enterprise Funds","Water Quality","Heavy Equipment","FY20-153","City Funds","Operations",,"525000"
"2020","Public Works - Enterprise Funds","Water Quality","Operations Building","FY20-156","City Funds","Operations",,"50000"
"2020","Public Works - Enterprise Funds","Water Quality","Riverfront Parkway/MLK CSS Separation Project","FY20-159","City Funds","Operations",,"332349"
"2020","Public Works - Enterprise Funds","Water Quality","Stream Buffer Conservation","FY20-161","City Funds","Operations",,"99000"
"2020","Public Works - Enterprise Funds","Water Quality","Stream Restoration/Various Sites","FY20-162","City Funds","Operations",,"250000"
"2020","Public Works - Enterprise Funds","Solid Waste","Landfill Heavy Equipment Maintenance","FY20-167","City Funds","Operations",,"500000"
"2020","Public Works - Enterprise Funds","Solid Waste","New Solid Waste and Recycle Facility","FY20-168","City Funds","Operations",,"253195"
"2020","Transportation","Transportation","Street Improvements (paving) (P20201)","FY20-23","City Funds","Operations",,"2124850"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Citico Creek Sub Basin Combined Sewer Separation Project, 950 Riverside Dr, Chattanooga, TN 37403 (FEMA)","FY20-92","City Funds","Operations",,"28125"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Citico CSO 929 Riverside Drive (FEMA)","FY20-93","City Funds","Operations",,"13270"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Citico Pump Reliability Improvements (FEMA)","FY20-95","City Funds","Operations",,"31250"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Contingency - Plans and Studies","FY20-96","City Funds","Operations",,"200000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Contingency MBWWTP Improvements","FY20-97","City Funds","Operations",,"29355"
"2020","Transportation","Transportation","CHATT1 TIP Resurfacing Grouping (P20213)","FY20-14","City Funds","Economic Development",,"647855"
"2020","General Government","General Government","Public Realm Tactical Pilot Projects","FY20-169","City Funds","Economic Development",,"300000"
"2020","General Government","General Government","Erlanger Children's Hospital","FY20-170","City Funds","Economic Development",,"250000"
"2020","Transportation","Transportation","PCI Database Update","FY20-18","City Funds","Economic Development",,"400000"
"2020","Transportation","Transportation","Street Improvements (paving) (P20201)","FY20-23","City Funds","Economic Development",,"247000"
"2020","Transportation","Transportation","Wilcox Boulevard Tunnel, East Entrance (FEMA)","FY20-27","City Funds","Economic Development",,"58516"
"2020","Youth & Family","Youth & Family Development","Early Learning Center Capital Grants","FY20-34","City Funds","Economic Development",,"100000"
"2020","Youth & Family","Youth & Family Development","Head Start Facility Build Out and Repair","FY20-35","City Funds","Economic Development",,"200000"
"2020","Youth & Family","Youth & Family Development","Security Camera Replacement for Head Start","FY20-37","City Funds","Economic Development",,"100000"
"2020","Public Works","Public Works","54 Manufacturer's Road (FEMA)","FY20-38","City Funds","Economic Development",,"187500"
"2020","Transportation","Transportation","3rd Street at Palmetto Traffic Signal Installation","FY20-4","City Funds","Economic Development",,"250000"
"2020","Public Works","Public Works","Chattanooga African American Museum Repairs","FY20-42","City Funds","Economic Development",,"315000"
"2020","Public Works","Public Works","City Facilities Assessment","FY20-44","City Funds","Economic Development",,"300000"
"2020","Public Works","Public Works","City Facilities Capital Improvements and/or Campus Consolidation","FY20-45","City Funds","Economic Development",,"490008"
"2020","Public Works","Public Works","Fleet Capital Infusion","FY20-48","City Funds","Economic Development",,"2588680"
"2020","Transportation","Transportation","613 Broad Street Sidewalk Repair","FY20-5","City Funds","Economic Development",,"150000"
"2020","Public Works","Public Works","Parks ADA Repairs","FY20-56","City Funds","Economic Development",,"173590"
"2020","Public Works","Public Works","Parks, Playgrounds, Field Maintenance","FY20-57","City Funds","Economic Development",,"300000"
"2020","Public Works","Public Works","Plan of Services Obligations","FY20-58","City Funds","Economic Development",,"250000"
"2020","Transportation","Transportation","2850 Hamill Road (FEMA)","FY20-6","City Funds","Economic Development",,"625000"
"2020","Public Works","Public Works","Site Improvement Requirements for New Construction of YFD Facilities","FY20-62","City Funds","Economic Development",,"2500000"
"2020","Public Works","Public Works","Tivoli Foundation Annual Capital Appropriation","FY20-64","City Funds","Economic Development",,"450000"
"2020","General Government","General Government","City Network Rebuild","FY20-69","City Funds","Economic Development",,"200000"
"2020","General Government","General Government","Website Upgrade","FY20-70","City Funds","Economic Development",,"320000"
"2020","Economic and Community Development","Economic and Community Development","Affordable Housing Fund","FY20-71","City Funds","Economic Development",,"1000000"
"2020","Economic and Community Development","Economic and Community Development","Chattown Skate Park","FY20-72","City Funds","Economic Development",,"225000"
"2020","Economic and Community Development","Economic and Community Development","East Lake Park Improvements","FY20-73","City Funds","Economic Development",,"150000"
"2020","Economic and Community Development","Economic and Community Development","Environmental Protection Agency (EPA) Brownfield Cleanup Grant Cost Share","FY20-74","City Funds","Economic Development",,"100000"
"2020","Economic and Community Development","Economic and Community Development","Neighborhood Reinvestment Fund","FY20-76","City Funds","Economic Development",,"200000"
"2020","Economic and Community Development","Economic and Community Development","Public Art in New Capital Construction","FY20-77","City Funds","Economic Development",,"212700"
"2020","Economic and Community Development","Economic and Community Development","Volkswagen Matching-Incentive for Electric Vehicle Production Facility","FY20-78","City Funds","Economic Development",,"1479381"
"2020","Fire Department","Fire Department","Station 15 Replacement","FY20-82","City Funds","Economic Development",,"160000"
"2020","General Government","General Government","Charles H. Coolidge Medal of Honor Heritage Center","FY20-83","City Funds","Economic Development",,"250000"
"2020","General Government","General Government","Chattanooga Zoo: African Expansion","FY20-87","City Funds","Economic Development",,"250000"
"2020","General Government","General Government","Library HVAC/Electrical Phase 2","FY20-88","City Funds","Economic Development",,"2144770"
"2020","General Government","General Government","Stadium Digital Videoboard","FY20-89","City Funds","Economic Development",,"150000"
"2020","Transportation","Transportation","Area 3 Commercial District Streetscape Improvements","FY20-10","City Funds","General Obligation Bonds",,"225000"
"2020","Transportation","Transportation","Bridge Management & Maintenance (Bailey Ave) - Multiple Locations (Local Funds Capital Projects - Not tied to TIP)","FY20-11","City Funds","General Obligation Bonds",,"950000"
"2020","Transportation","Transportation","Central Avenue (REQ)","FY20-13","City Funds","General Obligation Bonds",,"274000"
"2020","Transportation","Transportation","Elder Mountain Road Slope Stabilization and Roadway Improvements (FEMA)","FY20-15","City Funds","General Obligation Bonds",,"408876"
"2020","Transportation","Transportation","Patten Parkway","FY20-16","City Funds","General Obligation Bonds",,"2000000"
"2020","Transportation","Transportation","Sidewalks (P20306)","FY20-20","City Funds","General Obligation Bonds",,"350000"
"2020","Transportation","Transportation","Somerville Connector","FY20-22","City Funds","General Obligation Bonds",,"250000"
"2020","Transportation","Transportation","Trans Stsc Sdwlk - Riverwalk Extension (Middle St to Incline) TIP Project Name: St. Elmo Riverwalk Extension","FY20-25","City Funds","General Obligation Bonds",,"1000000"
"2020","Transportation","Transportation","Wilcox Boulevard Tunnel, East Entrance (FEMA)","FY20-27","City Funds","General Obligation Bonds",,"216484"
"2020","Transportation","Transportation","Woodmore SRTS - Construction Phase & CEI (P20312)","FY20-28","City Funds","General Obligation Bonds",,"218000"
"2020","Transportation","Transportation","3rd / 4th Street (REQ)","FY20-3","City Funds","General Obligation Bonds",,"1700000"
"2020","Public Works","Public Works","City Facilities Capital Improvements and/or Campus Consolidation","FY20-45","City Funds","General Obligation Bonds",,"1126992"
"2020","Public Works","Public Works","ESIP - Ferdinand Piech Way modifications","FY20-47","City Funds","General Obligation Bonds",,"550000"
"2020","Public Works","Public Works","Greenway Farm Conference Center Replacement","FY20-50","City Funds","General Obligation Bonds",,"300000"
"2020","Transportation","Transportation","Airport Area Road Improvements - Traffic & Safety Improvements at E. Brainerd/Lee Highway Intersection","FY20-8","City Funds","General Obligation Bonds",,"300000"
"2020","Transportation","Transportation","Alton Park Riverwalk Connector","FY20-9","City Funds","General Obligation Bonds",,"150000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","MBWWTP Solids Process Optimization Implementation - Phase 4 (A-D) (Digester Upgrades)","FY20-110","City Funds","SRF",,"20000000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Wet Weather Storage Phase 5 - East Brainerd","FY20-131","City Funds","SRF",,"15000000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Wet Weather Storage Phase 6 - Hixson PS #1","FY20-132","City Funds","SRF",,"10000000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Wet Weather Storage Phase 7 - Lee Highway","FY20-133","City Funds","SRF",,"10000000"
"2020","Public Works - Enterprise Funds","Interceptor Sewer Fund","Citico PS Improvements","FY20-94","City Funds","SRF",,"4000000"
"2020","Public Works","Public Works","Walnut Plaza/Holmberg Bridge/Ed Johnson Site Prep","FY20-66","City Funds","Hotel/Motel",,"300000"
"2020","Public Works","Public Works","Walnut Street Bridge","FY20-67","City Funds","Hotel/Motel",,"369889"
"2020","Transportation","Transportation","Street Improvements (paving) (P20201)","FY20-23","City Funds","Other City Sources",,"1740359"
"2020","Police Department","Police Department","In Car Cameras","FY20-29","City Funds","Other City Sources",,"200000"
"2020","Police Department","Police Department","Police Laptops","FY20-30","City Funds","Other City Sources",,"51726"
"2020","Public Works","Public Works","City Buildings & YFD Centers Major Maintenance","FY20-43","City Funds","Other City Sources",,"899497"
"2020","Public Works","Public Works","Fleet Program Purchases","FY20-49","City Funds","Other City Sources",,"5000000"
"2020","Public Works","Public Works","Walnut Street Bridge","FY20-67","City Funds","Other City Sources",,"1590111"
"2020","Economic and Community Development","Economic and Community Development","Volkswagen Matching-Incentive for Electric Vehicle Production Facility","FY20-78","City Funds","Other City Sources",,"1020619"
"2020","Fire Department","Fire Department","Microwave Radio and Multiprotocol Label Switching (MPLS)","FY20-81","City Funds","Other City Sources",,"2000000"
"2020","General Government","General Government","Library HVAC/Electrical Phase 2","FY20-88","City Funds","Other City Sources",,"48777"
"2021","Transportation","Transportation","Central Avenue (REQ)","FY21-18","City Funds","Economic Development",,"400000"
"2021","Public Works","Public Works","Parks ADA Repairs","FY21-82","City Funds","Economic Development",,"200000"
"2021","Public Works - Enterprise Funds","Water Quality","Automated Flood Warning System","FY21-8","City Funds","Operations",,"350000"
"2021","Public Works","Public Works","Fleet Program Purchases","FY21-46","City Funds","Other City Sources",,"2720025"
"2021","Public Works","Public Works","Greenway Farm Conference Center Replacement","FY21-54","City Funds","Bonds",,"550000"
"2021","Public Works - Enterprise Funds","Solid Waste","Summit Landfill - FEMA","FY21-113","External","FEMA",,"138000"
"2021","Public Works - Enterprise Funds","Water Quality","Glass St Area/Taylor St., Dodson Ave, Crutchfield St","FY21-50","City Funds","Operations",,"1500000"
"2021","Public Works - Enterprise Funds","Water Quality","N Market St, Branch/Renaissance Park","FY21-78","City Funds","Operations",,"250000"
"2021","General Government","General Government","Library Children's Area Roof Replacement","FY21-68","City Funds","Bonds",,"180000"
"2021","Transportation","Transportation","Chattanooga Traffic Signals and Communications Upgrade - Amnicola Hwy.","FY21-20","City Funds","Economic Development",,"200000"
"2021","General Government","General Government","CARTA Vehicles & Equipment (A.O.)","FY21-17","City Funds","Reserves",,"750000"
"2021","Public Works","Public Works","Field Lighting","FY21-43","City Funds","Bonds",,"450000"
"2021","Public Works","Public Works","Walnut Plaza/Holmberg Bridge/Ed Johnson Site Prep","FY21-125","External","Other External",,"290095"
"2021","Public Works - Enterprise Funds","Solid Waste","Summit Landfill - FEMA","FY21-113","City Funds","Operations",,"23000"
"2021","Public Works","Public Works","Fleet Program Purchases","FY21-46","External","State LGS Grants",,"2279975"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","E2I2 SSO Abatement Program - East Ridge (WWS Ph. 5 - East Brainerd)","FY21-38","City Funds","Bonds",,"20000000"
"2021","Transportation","Transportation","Street Improvements (paving) (P20201)","FY21-112","External","State LGS Grants",,"1734641"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","E2I2 SSO Abatement Program - Lee Hwy (WWS Ph. 7 - Lee Highway)","FY21-39","City Funds","Bonds",,"5000000"
"2021","Transportation","Transportation","Street Improvements (paving) (P20201)","FY21-112","City Funds","Other City Sources",,"2000000"
"2021","Economic and Community Development","Economic and Community Development","Public Art in Capital","FY21-95","City Funds","Economic Development",,"260000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","E2I2 SSO Abatement Program - Red Bank (SPOI Ph. 4A)","FY21-40","City Funds","Bonds",,"5000000"
"2021","Transportation","Transportation","3rd / 4th Street (REQ)","FY21-2","City Funds","Bonds",,"1700000"
"2021","Public Works","Public Works","Lupton City","FY21-69","City Funds","Economic Development",,"200000"
"2021","Transportation","Transportation","Midtown Pathway","FY21-77","City Funds","Bonds",,"400000"
"2021","Transportation","Transportation","Hwy 58 Bicycle and Pedestrian Facilities Phase 2 (REQ)","FY21-58","City Funds","Economic Development",,"20000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","Tiftonia PS#3 Safety Upgrade","FY21-117","City Funds","Reserves",,"2000000"
"2021","Youth & Family","Youth & Family Development","YFD East Lake Renovation","FY21-130","City Funds","Bonds",,"725000"
"2021","General Government","General Government","CARTA Facilities Projects (A.O.)","FY21-15","City Funds","Economic Development",,"298116"
"2021","Transportation","Transportation","Transit Signal Prioritization","FY21-122","External","Other External",,"207000"
"2021","Transportation","Transportation","Bridge Management & Maintenance - Multiple Locations (Local Funds Capital Projects - Not tied to TIP)","FY21-12","City Funds","Economic Development",,"400000"
"2021","Public Works","Public Works","Golf Course Renovations and Maintenance","FY21-52","City Funds","Reserves",,"100000"
"2021","Transportation","Transportation","Pavement Flood Damage - FEMA","FY21-87","City Funds","Economic Development",,"50000"
"2021","Transportation","Transportation","Trans Stsc Sdwk - Riverwalk Extension (US 27 - Mocc Bend IC) (P20309) Man/Hamm Streetscape Project","FY21-121","External","TIP",,"1618477"
"2021","Transportation","Transportation","Lake Resort Drive","FY21-64","City Funds","Bonds",,"495000"
"2021","Public Works","Public Works","Summit of Softball Complex - FEMA","FY21-115","City Funds","Economic Development",,"89769"
"2021","Public Works","Public Works","Site Improvement Requirements for YFD Centers","FY21-107","City Funds","Economic Development",,"500000"
"2021","Public Works","Public Works","YFD/Head Start Building","FY21-131","City Funds","Economic Development",,"100000"
"2021","Public Works","Public Works","Fleet Capital Infusion","FY21-45","City Funds","Reserves",,"256289"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","Wet Weather Storage - Phase 3","FY21-127","City Funds","Operations",,"10000000"
"2021","Public Works - Enterprise Funds","Water Quality","WQ Vehicles","FY21-128","City Funds","Operations",,"150000"
"2021","Transportation","Transportation","Roadway Slope Failure (P20205)","FY21-102","City Funds","Reserves",,"750000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","MBWWTP Water Use and Re-use Implementation","FY21-74","City Funds","Operations",,"700000"
"2021","Transportation","Transportation","CMAQ 2 Protected Bike Lanee","FY21-31","External","Other External",,"301802"
"2021","Transportation","Transportation","Trans Stsc Sdwk - Riverwalk Extension (US 27 - Mocc Bend IC) (P20309) Man/Hamm Streetscape Project","FY21-121","City Funds","Economic Development",,"404619"
"2021","Transportation","Transportation","Transit Stop Accessibility (Section 5310)","FY21-123","City Funds","Reserves",,"75000"
"2021","Police Department","Police Department","Police Annex Renovation Phase I Completion and Phase II-III","FY21-89","City Funds","Reserves",,"120000"
"2021","Public Works","Public Works","Summit of Softball Complex - FEMA","FY21-115","External","TEMA",,"89769"
"2021","Youth & Family","Youth & Family Development","OEL Curriculum","FY21-80","City Funds","Reserves",,"50000"
"2021","Transportation","Transportation","Central Avenue (REQ)","FY21-18","External","TIP",,"1600000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","Program Management For Consent Decree Implementation","FY21-92","City Funds","Reserves",,"3485400"
"2021","Public Works","Public Works","Chattanooga Heritage House - FEMA","FY21-19","External","FEMA",,"106500"
"2021","Transportation","Transportation","Pavement and Traffic Infrastructure Debris Damage - FEMA","FY21-86","External","FEMA",,"1500000"
"2021","Public Works - Enterprise Funds","Water Quality","Floodplain Modeling","FY21-48","City Funds","Operations",,"200000"
"2021","Transportation","Transportation","Citywide Intersection Improvements","FY21-28","City Funds","Economic Development",,"300000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","Citico Creek Sub-basin Combined Sewer Separation","FY21-22","City Funds","Operations",,"6000000"
"2021","Public Works","Public Works","Chattanooga Heritage House - FEMA","FY21-19","City Funds","Economic Development",,"17750"
"2021","Public Works","Public Works","Batter's Place Tennis Courts - FEMA","FY21-9","City Funds","Economic Development",,"6250"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","MBWWTP Wet Weather Treatment Feasibility Study","FY21-75","City Funds","Operations",,"500000"
"2021","Public Works","Public Works","Plan of Services Obligations","FY21-88","City Funds","Reserves",,"150000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","Pump Station Improvements (IPS Screen Bypass Project)","FY21-98","City Funds","Reserves",,"1500000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","Focused SSES and Rehab - Phase II","FY21-49","City Funds","Bonds",,"8500000"
"2021","Public Works - Enterprise Funds","Water Quality","Riverfront Parkway/MLK CSS Separation Project","FY21-100","City Funds","Operations",,"700000"
"2021","Public Works","Public Works","City Yard Improvements","FY21-27","City Funds","Reserves",,"50000"
"2021","Public Works","Public Works","Increased Curbside Recycling","FY21-62","External","Other External",,"454000"
"2021","General Government","General Government","Ignite Discovery Capital Campaign (Creative Discovery Museum) (A.O.)","FY21-59","City Funds","Economic Development",,"100000"
"2021","Public Works","Public Works","Outdoor Chattanooga Office","FY21-81","City Funds","Reserves",,"95000"
"2021","Youth & Family","Youth & Family Development","Head Start Capital Improvements","FY21-56","City Funds","Reserves",,"287919"
"2021","Transportation","Transportation","Transit Signal Prioritization","FY21-122","City Funds","Economic Development",,"207000"
"2021","Public Works","Public Works","Brown Acres Golf Course - FEMA","FY21-13","External","FEMA",,"41250"
"2021","Public Works - Enterprise Funds","Solid Waste","Summit Landfill Storage Building - FEMA","FY21-114","External","FEMA",,"18750"
"2021","Transportation","Transportation","Sidewalks (P20306)","FY21-106","City Funds","Bonds",,"400000"
"2021","Public Works","Public Works","City Buildings & YFD Centers Major Maintenance","FY21-24","City Funds","Economic Development",,"1700000"
"2021","Public Works - Enterprise Funds","Water Quality","Granada Dr. System Relocation","FY21-53","City Funds","Operations",,"350000"
"2021","General Government","General Government","Lactation Room Compliance","FY21-63","City Funds","Economic Development",,"50000"
"2021","Finance and Administration","Finance and Administration","Cloud Software as a Service (SaaS) ERP","FY21-30","City Funds","Economic Development",,"2711513"
"2021","General Government","General Government","Security Mandated Network Switch Replacement","FY21-105","City Funds","Reserves",,"74202"
"2021","General Government","General Government","Security Mandated Network Switch Replacement","FY21-105","External","Other External",,"224805"
"2021","Fire Department","Fire Department","Fire Training Center Upgrade Planning and Design","FY21-44","City Funds","Reserves",,"150000"
"2021","Transportation","Transportation","Pavement and Traffic Infrastructure Debris Damage - FEMA","FY21-86","City Funds","Economic Development",,"250000"
"2021","General Government","General Government","Library ADA Accessibility Improvements","FY21-67","City Funds","Economic Development",,"288000"
"2021","Transportation","Transportation","Bridge Maintenance - Multiple Locations (P20402) Trans Bridge - Repairs to City Owned Bridges - Standifer Gap (REQ)","FY21-11","City Funds","Reserves",,"100000"
"2021","Youth & Family","Youth & Family Development","OEL Curriculum","FY21-80","City Funds","Economic Development",,"100000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","Implementation of CD Green Infra Projects in the CSS","FY21-60","City Funds","Operations",,"500000"
"2021","Police Department","Police Department","Police Service Center Roof Replacements","FY21-90","City Funds","Economic Development",,"348000"
"2021","Transportation","Transportation","South Chickamauga Creek Greenway - Caine Lane","FY21-108","External","TIP",,"310234"
"2021","Public Works","Public Works","Brown Acres Golf Course - FEMA","FY21-13","External","TEMA",,"6875"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","MBWWTP Solids Process Optimization Implementation - Phase 4 (A-D) (Digester Upgrades)","FY21-73","City Funds","Bonds",,"11500000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","23rd St PS Improvements","FY21-4","City Funds","Operations",,"1000000"
"2021","Public Works - Enterprise Funds","Water Quality","S Germantown Rd/Brainerd Rd - FEMA","FY21-104","External","FEMA",,"140205"
"2021","Public Works","Public Works","Brainerd Golf Course - FEMA","FY21-10","External","TEMA",,"625"
"2021","Finance and Administration","Finance and Administration","Property Tax System","FY21-93","City Funds","Economic Development",,"675072"
"2021","General Government","General Government","Quality Matters Capital Fund (United Way) (A.O.)","FY21-99","City Funds","Economic Development",,"200000"
"2021","Transportation","Transportation","CMAQ 2 Protected Bike Lanes","FY21-31","City Funds","Economic Development",,"4946"
"2021","Public Works - Enterprise Funds","Solid Waste","Summit Landfill - FEMA","FY21-113","External","TEMA",,"23000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","Implementation of Vulnerability Recommendations","FY21-61","City Funds","Operations",,"500000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","Riverview Park/CGCC Chronic SSO Elimination Project","FY21-101","City Funds","Operations",,"1000000"
"2021","Public Works - Enterprise Funds","Solid Waste","Summit Landfill Storage Building - FEMA","FY21-114","City Funds","Operations",,"3125"
"2021","Police Department","Police Department","RTIC","FY21-103","City Funds","Reserves",,"83600"
"2021","Public Works","Public Works","Brown Acres Golf Course - FEMA","FY21-13","City Funds","Economic Development",,"6875"
"2021","Transportation","Transportation","ADA Bus Stop Connections","FY21-5","External","Other External",,"67821"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","CSOTF Improvements - Phase 1","FY21-35","City Funds","Reserves",,"2000000"
"2021","Transportation","Transportation","Transit Stop Accessibility (Section 5310)","FY21-123","External","Other External",,"300000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","Contingency - Plans and Studies","FY21-32","City Funds","Operations",,"200000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","Contingency MBWWTP Improvements","FY21-33","City Funds","Reserves",,"914600"
"2021","Youth & Family","Youth & Family Development","Head Start Capital Improvements","FY21-56","City Funds","Economic Development",,"112081"
"2021","Transportation","Transportation","Chattanooga Traffic Signals and Communications Upgrade - Amnicola Hwy.","FY21-20","External","Other External",,"1000000"
"2021","Public Works - Enterprise Funds","Water Quality","Heavy Equipment","FY21-57","City Funds","Operations",,"200000"
"2021","Public Works - Enterprise Funds","Water Quality","Flood Control Pump Station Upgrades","FY21-47","City Funds","Operations",,"750000"
"2021","Public Works","Public Works","City Hall Boiler Replacement","FY21-25","City Funds","Reserves",,"70000"
