"zta_no","title","zta_file","ordinance_no","ordinance_file","analyst","sponsor_s","co_sponsor_s_","introduction_date","public_hearing_date","public_hearing_time","committee","worksession_date","worksession_date_2","worksession_date_3","worksession_date_4","worksession_date_5","worksession_date_6","worksession_date_7","worksession_date_8","action","adopted_date","disapproved_date","effective_date","amended_sections","comments"
"13-07","US 29 Overlay Zone - Land Use","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2013/zta_13-07.pdf","17-40","https://www.montgomerycountymd.gov/council/resources/files/zta/2013/20130924_17-40.pdf","Jeff Zyontz","Ervin, Floreen",,"07/30/2013","09/10/2013","1:30 pm","PHED","09/09/2013",,,,,,,,"Adopted as amended","09/24/2013",,"09/25/2013",,
"13-08","TMX - Land Uses","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2013/zta_13-08.pdf","17-41","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2013/20131029_17-41.pdf","Jeff Zyontz","Rice, Floreen",,"09/10/2013","10/15/2013","1:30 pm","PHED","10/21/2013",,,,,,,,"Adopted","10/29/2013",,"10/30/2013",,
"13-09","Noticing Signs - Local Map Amendments","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2013/zta_13-09.pdf","17-42","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2013/20131126_17-42.pdf","Jeff Zyontz","Floreen",,"10/01/2013","11/12/2013","1:30 pm","PHED","11/18/2013",,,,,,,,"Adopted","11/26/2013",,"11/27/2013",,
"14-01","Parking Design - Charging Stations","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2014/zta_14-01.pdf","17-44","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2014/20140422_17-44.pdf","Jeff Zyontz","Berliner, Navarro, Floreen, Riemer, Leventhal, Elrich, Andrews",,"01/28/2014","02/25/2014","1:30 p.m.","PHED","03/06/2014",,,,,,,,"Adopted as amended","04/22/2014",,"05/12/2014",,
"14-02","Exemptions - Solar Panels","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2014/zta_14-02.pdf","17-45","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2014/20140422_17-45.pdf","Jeff Zyontz","Berliner, Navarro, Floreen, Riemer, Leventhal, Rice, Andrews",,"01/28/2014","02/25/2014","1:30 p.m.","PHED","03/06/2014",,,,,,,,"Adopted as amended","04/22/2014",,"05/12/2014",,
"14-03","Overlay Zone - Clarksburg","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2014/zta_14-03.pdf","17-46","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/res/2014/20140715_17-46.pdf","Jeff Zyontz","Council President at request of District Council",,"04/08/2014","05/13/2014","1:30 pm","PHED","07/10/2014",,,,,,,,"Adopted as amended","07/15/2014",,"08/04/2014",,
"14-04","Accessory Commercial Uses - Antennas","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2014/zta_14-04.pdf","17-49","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2014/20140722_17-49.pdf","Jeff Zyontz","Floreen",,"04/22/2014","07/08/2014","11:00 am","PHED","07/14/2014",,,,,,,,"Adopted as amended","07/22/2014",,"10/30/2014",,
"14-05","Health Clubs - C1 Zone","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2014/zta_14-05.pdf","17-50","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2014/20140722_17-50.pdf","Jeff Zyontz","Navarro",,"04/22/2014","07/08/2014","11:00 am","PHED","07/14/2014",,,,,,,,"Adopted as amended","07/22/2014",,"08/11/2014",,
"14-06","Rural Village Overlay zones - site plan requirements - exceptions","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2014/zta_14-06.pdf","17-48","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2014/20140722_17-48.pdf","Jeff Zyontz","Rice, Floreen",,"05/22/2014","07/08/2014","11:00 am","PHED","07/14/2014",,,,,,,,"Adopted","07/22/2014",,"08/11/2014",,
"14-07","Accessory Commercial Kitchen - Standards","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2014/zta_14-07.pdf","17-51","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2014/20140722_17-51.pdf","Jeff Zyontz","Leventhal",,"06/10/2014","07/15/2014","1:30 pm","PHED","07/14/2014",,,,,,,,"Adopted as amended","07/22/2014",,"07/22/2014",,
"14-08","TS-R Zone ? Requirements","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2014/zta_14-08.pdf",,,"Jeff Zyontz","Berliner, Andrews",,"07/08/2014","09/09/2014","1:30 pm","PHED","09/22/2014",,,,,,,,"Expired",,,,,
"14-09","Zoning Ordinance Rewrite - Updates, Clarifications, and Corrections","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2014/zta_14-09.pdf","17-52","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2014/20140930_17-52.pdf","Jeff Zyontz","Floreen",,"07/29/2014","09/09/2014","7:30 pm","PHED","09/22/2014",,,,,,,,"Adopted as amended","09/30/2014",,"10/30/2014",,
"14-10","Upper Paint Branch Overlay Zone ? Exemptions","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2014/zta_14-10.pdf",,,"Jeff Zyontz","Leventhal",,"07/29/2014","09/16/2014","1:30 pm","PHED","09/22/2014",,,,,,,,"Expired",,,,,
"14-11","Upper Paint Branch Overlay Zone ? Waiver","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2014/zta_14-11.pdf",,,"Jeff Zyontz","Leventhal",,"09/23/2014","10/28/2014","1:30 pm",,,,,,,,,,"Expired",,,,,
"14-12","Rural Cluster Zone - Retail/Service and Exemptions","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2014/zta_14-12.pdf",,,"Jeff Zyontz","District Council at request of County Executive",,"09/23/2014",,,,,,,,,,,,"Expired",,,,,
"14-13","Overlay Zone - Design for Life","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2014/zta_14-13.pdf",,,"Jeff Zyontz","Council President Rice",,"09/30/2014",,,,,,,,,,,,"Expired",,,,,
"15-01","Residential Uses - Tenancy Duration","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/ZTA_15-01.pdf",,,"Jeff Zyontz","Riemer",,"01/13/2015","02/24/2015","1:30 pm",,,,,,,,,,"Expired",,,,,
"15-02","Townhouse Living - Design for Life","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2015/ZTA_15-02.pdf","18-02","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/20150414_18-02.pdf","Jeff Zyontz","Rice, Katz, Floreen, Berliner",,"01/20/2015","02/24/2015","1:30 pm","PHED","03/16/2015","04/13/2015",,,,,,,"Adopted as amended","04/21/2015",,"05/11/2015",,
"15-03","Uses and Use Standards - Licensing","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2015/ZTA_15-03.pdf","18-01","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/20150414_18-01.pdf","Jeff Zyontz","Council President at the request of the County Executive",,"02/10/2015","03/17/2015","1:30 pm","PHED","04/13/2015",,,,,,,,"Adopted as introduced","04/21/2015",,"05/11/2015",,
"15-04","Educational Institutions ? Exemptions and Standards","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/ZTA_15-04.pdf",,,"Jeff Zyontz","Floreen",,"03/03/2015","04/14/2015","1:30 pm",,,,,,,,,,"Expired",,,,,
"15-05","Commercial/Residential Zones - Site Plan Flexibility","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2015/ZTA_15-05.pdf","18-03","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/20150609_18-03.pdf","Jeff Zyontz","PHED Committee",,"03/24/2015","05/05/2015","1:30 pm","PHED","05/18/2015",,,,,,,,"Adopted as amended","06/09/2015",,"06/29/2015",,
"15-06","Rural Cluster Zone - Land Use and Setbacks","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2015/ZTA_15-06.pdf","18-09","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/20151208_18-09.pdf","Jeff Zyontz","District Council at request of County Executive",,"03/24/2015","05/05/2015","1:30 pm","PHED","11/30/2016",,,,,,,,"Adopted as amended","12/08/2015",,"10/30/2014",,"9/28/15 (closed session)"
"15-07","Filling Station - Use Standards","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2015/ZTA_15-07.pdf","18-07","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/20151201_18-07.pdf","Jeff Zyontz","Elrich, Riemer, Navarro, Katz, Rice, Hucker, Berliner",,"03/24/2015","05/12/2015","7:30 pm","PHED","07/20/2015","11/16/2015",,,,,,,"Adopted as introduced","12/01/2015",,"12/21/2015",,
"15-08","Charitable Institutions - Residential Support","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2015/ZTA_15-08.pdf","18-05","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/20150728_18-05.pdf","Jeff Zyontz","Leventhal, Floreen, Katz, Rice, Riemer, Navarro, Berliner, Elrich, Hucker",,"05/21/2015","07/14/2015","1:30 pm","PHED","07/20/2015",,,,,,,,"Adopted as amended","07/28/2015",,"08/17/2015",,
"15-09","Zoning Rewrite - Revisions, Clarifications, and Corrections","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2015/ZTA_15-09.pdf","18-08","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/20151201_18-08.pdf","Jeff Zyontz","Council President at request of Planning Board",,"05/21/2015","07/14/2015","1:30 pm","PHED","09/21/2015","11/09/2015","11/16/0015",,,,,,"Adopted as amended","12/01/2015",,"12/21/2015",,
"15-10","Combination Retail - Definition","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2015/ZTA_15-10.pdf","18-12","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/20160209_18-12.pdf","Jeff Zyontz","Leventhal, Elrich, Hucker, Navarro, Riemer",,"11/03/2015","01/12/2016","1:30 pm","PHED","02/01/2016",,,,,,,,"Adopted as introduced","02/09/2016",,"02/29/2016",,
"15-11","Employment Office (EOF) Zone - Limited Uses","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2015/ZTA_15-11.pdf","18-13","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/20160412_18-13.pdf","Jeff Zyontz","Floreen, Hucker",,"11/03/2015","01/12/2016","1:30 pm","PHED","04/04/2016",,,,,,,,"Adopted as amended","04/12/2016",,"05/02/2016",,
"15-12","Overlay Zone - Montgomery Village","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2015/ZTA_15-12.pdf","18-10","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/20160209_18-10.pdf","Jeff Zyontz","Council President at request of Planning Board",,"12/01/2015","01/12/2016","1:30 pm","PHED","01/19/2016",,,,,,,,"Adopted as amended","02/09/2016",,"02/29/2016",,"Council 2/2/16"
"15-13","Takoma Park Overlay - Cannabis Dispensing","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/ZTA_15-13.pdf",,,"Jeff Zyontz","Hucker",,"12/08/2015",,,,,,,,,,,,"Expired",,,,,
"15-14","Conditional Use Amendment - Business Vehicles","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2015/ZTA_15-14.pdf","18-11","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2015/20160209_18-11.pdf","Jeff Zyontz","Floreen, Riemer, Leventhal, Katz, Berliner, Navarro",,"12/08/2015","01/12/2016","1:30 pm","PHED","02/01/2016",,,,,,,,"Adopted as amended","02/09/2016",,"02/29/2016",,
"16-01","Ripley/Silver Spring South Overlay Zone - Standards","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2016/ZTA_16-01.pdf",,,"Jeff Zyontz","Berliner",,"01/19/2016","02/23/2016","1:30 pm",,,,,,,,,,"Expired",,,,,
"16-02","Agricultural Zone - Transfer of Development Rights Requirements","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2016/ZTA_16-02.pdf",,,,"Floreen",,"01/19/2016","02/23/2016","1:30 pm",,,,,,,,,,"Expired",,,,,
"16-03","Land Use - Bed and Breakfast","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2016/ZTA_16-03.pdf",,,"Jeff Zyontz","Riemer",,"02/02/2016","03/08/2016","7:30 pm",,,,,,,,,,"Expired",,,,,
"16-04","Agricultural Reserve Zone - Transitory Uses","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2016/ZTA_16-04.pdf","18-14","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2016/20160712_18-14.pdf","Jeff Zyontz","Riemer",,"04/26/2016","06/21/2016","1:30 pm","PHED","06/27/2016",,,,,,,,"Adopted","07/12/2016",,"08/01/2016",,
"16-05","Telecommunications Towers - Limited Use","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2016/ZTA_16-05.pdf",,,"Jeff Zyontz","Floreen",,"06/14/2016","07/19/2016","1:30 pm",,,,,,,,,,"Expired",,,,,
"16-06","Prohibited Signs - Public Rights-of-Way","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2016/ZTA_16-06.pdf",,,"Jeff Zyontz","Leventhal",,"06/21/2016","08/02/2016","1:30 pm",,,,,,,,,,"Expired",,,,,
"16-07","Exemptions ? Pre-1958 Lots","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2016/ZTA_16-07.pdf","18-16","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2016/20160920_18-16.pdf","Jeff Zyontz","Floreen",,"06/21/2016","08/02/2016","1:30 pm","PHED","09/12/2016",,,,,,,,"Adopted","09/20/2016",,,,
"16-08","Commercial/Residential ""T"" Zones - Workforce Housing","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2016/ZTA_16-08.pdf","18-17","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2016/20160927_18-17.pdf","Jeff Zyontz","Floreen",,"06/21/2016","08/02/2016","1:30 pm","PHED","09/12/2016",,,,,,,,"Adopted","09/27/2016",,"10/17/2016",,
"16-09","Commercial/Residential Zones - Location Signs","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2016/ZTA_16-09.pdf","18-18","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2016/20161108_18-18.pdf","Jeff Zyontz","Floreen",,"08/02/2016","09/20/2016","1:30 pm","PHED","10/24/2016",,,,,,,,"Adopted","11/08/2016",,"11/08/2016",,
"16-10","Transferable Development Rights Overlay Zone - Optional Method Standards","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2016/ZTA_16-10.pdf","18-21","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2016/20161129_18-21.pdf","Jeff Zyontz","Floreen",,"08/02/2016","09/20/2016","1:30 pm","PHED","11/21/2016",,,,,,,,"Adopted","11/29/2016",,"11/29/2016",,
"16-11","Rural and Residential Zones - Road Setback","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2016/ZTA_16-11.pdf",,,"Jeff Zyontz","PHED Committee",,"08/02/2016","09/13/2016","1:30 pm",,,,,,,,,,"Expired",,,,,
"16-12","Building Permits","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2016/ZTA_16-12.pdf","18-20","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2016/20161115_18-20.pdf","Jeff Zyontz","PHED Committee",,"08/02/2016","09/13/2016","1:30 pm","PHED","09/12/2016",,,,,,,,"Adopted as introduced","11/15/2016",,"02/13/2017",,
"16-13","Conditional Use - Screening","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2016/ZTA_16-13.pdf","18-15","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2016/20160920_18-15.pdf","Jeff Zyontz","CP at request of OZAH",,"08/02/2016","09/13/2016","1:30 pm","PHED","09/15/2016",,,,,,,,"Adopted","09/20/2016",,,,
"16-14","Special Exception - Amendments","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2016/ZTA_16-14.pdf","18-22","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20170124_18-22.pdf","Jeff Zyontz","Floreen",,"08/02/2016","09/20/2016","1:30 pm","PHED","10/24/2016","12/12/2016",,,,,,,"Adopted","01/24/2017",,"02/13/2017",,
"16-15","Facility for Senior and Disabled - Standards","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2016/ZTA_16-15.pdf","18-24","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20170207_18-24.pdf","Jeff Zyontz","CP at request of HOC",,"11/29/2016","01/17/2017","1:30 pm","PHED","01/30/2017",,,,,,,,"Adopted","02/07/2017",,"02/27/2017",,
"16-16","Conditional Use Decisions","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2016/ZTA_16-16.pdf","18-25","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20170207_18-25.pdf","Jeff Zyontz","CP at request of OZAH",,"11/29/2016","01/17/2017","1:30 pm","PHED","01/30/2017",,,,,,,,"Adopted","02/07/2017",,"02/27/2017",,
"16-17","Height Encroachments - Townhouses","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2016/ZTA_16-17.pdf",,,"Jeff Zyontz","Elrich",,"11/29/2016","01/17/2017","1:30 pm",,,,,,,,,,"Expired",,,,,
"16-18","Sandy Spring/Ashton Rural Village Overlay Zone - Standards","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2016/ZTA_16-18.pdf","18-26","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20170207_18-26.pdf","Jeff Zyontz","Navarro",,"11/29/2016","01/17/2017","1:30 pm","PHED","01/30/2017",,,,,,,,"Adopted as introduced","02/01/2017",,"02/27/2017",,
"16-19","Gross Floor Area - Mechanical Equipment","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2016/ZTA_16-19.pdf","18-27","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20170207_18-27.pdf","Jeff Zyontz","Floreen, Rice",,"12/06/2016","01/17/2017","1:30 pm","PHED","01/30/2017",,,,,,,,"Adopted as introduced","02/07/2017",,"02/27/2017",,
"16-20","Overlay Zone - Bethesda","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2016/ZTA_16-20.pdf","18-28","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20170718_18-28.pdf","Jeff Zyontz","Council President at request of Planning Board",,"12/06/2016","01/31/2017","7:30 pm","PHED","06/19/2017","06/26/2017",,,,,,,"Adopted","07/18/2017",,"08/07/2017",,
"16-21","Exemptions - Public Historic Buildings","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2016/ZTA_16-21.pdf","16-23","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20170131_18-23.pdf","Jeff Zyontz","CP at request of CE",,"12/13/2016","01/17/2017","1:30 pm","PHED","01/17/2017",,,,,,,,"Adopted","01/31/2017",,"02/20/2017",,
"17-01","ZTA Number Not Used",,,,,,,,,,,,,,,,,,,,,,,,
"17-02","Overlay Zone - Regional Shopping Center","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2017/ZTA_17-02.pdf","18-33","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20171114_18-33.pdf","Jeff Zyontz","CP at request of PB",,"05/16/2017","06/20/2017","7:30 pm","PHED","07/10/2017",,,,,,,,"Adopted","11/14/2017",,"12/04/2017",,
"17-03","Accessory Residential Uses - Short-Term Rental","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2017/ZTA_17-03.pdf","18-30","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20171010_18-30.pdf","Jeff Zyontz","CP at the request of the Planning Board",,"06/13/2017","09/12/2017","7:30 pm","PHED","09/18/2017","09/25/2017",,,,,,,"Adopted","10/10/2017",,"07/01/2018",,
"17-04","Country Inn - Standards","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2017/ZTA_17-04.pdf","18-32","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20171031_18-32.pdf","Jeff Zyontz","Elrich, Hucker, Berliner, Katz, Rice, Leventhal, Riemer",,"06/27/2017","09/12/2017","1:30 pm","PHED","10/16/2017",,,,,,,,"Adopted","10/31/2017",,"11/20/2017",,
"17-05","Ripley/Silver Spring South Overlay Zone - Standards","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2017/ZTA_17-05.pdf","18-29","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20171010_18-29.pdf","Jeff Zyontz","Hucker",,"07/18/2017","09/19/2017",,"PHED","09/25/2017",,,,,,,,"Adopted","10/10/2017",,"10/30/2017",,
"17-06","Agricultural Zone - Transfer of Development Rights Requirements","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2017/ZTA_17-06.pdf","18-39","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20170130_18-39.pdf","Jeff Zyontz","Floreen",,"07/25/2017","09/12/2017","1:30 pm","PHED","11/27/2017",,,,,,,,"Adopted","01/23/2018",,"02/12/2018",,
"17-07","Light Manufacturing and Production - Brewing and Distilling","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2017/ZTA_17-07.pdf","18-35","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20171212_18-35.pdf","Jeff Zyontz","Riemer, Leventhal, Hucker, Katz, Rice, Navarro, Berliner",,"09/26/2017","11/07/2017","1:30","PHED","11/27/2017",,,,,,,,"Adopted as amended","12/12/2017",,"01/01/2018",,
"17-08","Bed and Breakfast - Historic Buildings","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2017/ZTA_17-08.pdf","18-36","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20171212_18-36.pdf","Jeff Zyontz","Floreen, Leventhal, Riemer",,"10/10/2017","11/14/2017","1:30 pm","PHED","11/27/2017",,,,,,,,"Adopted as introduced","12/12/2017",,"01/01/2018",,
"17-09","ZTA Number Not Used",,,,,,,,,,,,,,,,,,,,,,,,
"17-10","White Flint 2-Parklawn - Overlay Zone","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2017/ZTA_17-10.pdf","18-41","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/20180206_18-41.pdf","Jeff Zyontz","CP at request of PB",,"10/10/2017","11/14/2017","1:30 pm","PHED","11/27/2017","12/04/2017","01/29/0018",,,,,,"Adopted as amended","02/06/2018",,"02/26/2018",,
"17-11","Antennas on Existing Structures","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2017/ZTA_17-11.pdf","18-34","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20171205_18-34.pdf","Jeff Zyontz","Floreen",,"10/10/2017","11/14/2017","1:30 pm","PHED","11/27/2017",,,,,,,,"Adopted","12/05/2017",,"12/25/2017",,
"17-12","Definitions - Rear Building Line","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2017/ZTA_17-12.pdf","18-38","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20170116_18-38.pdf","Jeff Zyontz","Leventhal",,"10/17/2017","11/28/2017","1:30 pm","PHED","12/04/2017",,,,,,,,"Adopted as introduced",,,"02/05/2018",,
"17-13","Exemptions - Public Taking","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2017/ZTA_17-13.pdf","18-40","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20170206_18-40.pdf","Jeff Zyontz","Floreen",,"10/31/2017","12/05/2017","1:30","PHED","12/11/2017","01/29/2018",,,,,,,"Adopted as amended",,,"02/26/2018",,
"17-14","Walls and Fences - Setback Exemption","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/ZTA_17-14.pdf","18-37","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2017/20170116_18-37.pdf","Jeff Zyontz","Leventhal",,"10/31/2017","12/05/2017","1:30","PHED","12/11/2017",,,,,,,,"Adopted as introduced",,,"02/05/2018",,
"18-01","Solar Collection System - Standards","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/ZTA_18-01.pdf","18-43","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/20180206_18-42.pdf","Jeff Zyontz","Hucker, Leventhal, Elrich, Berliner, Katz, Navarro, Riemer, Rice",,"02/13/2018","04/03/2018","1:30","PHED","04/30/2018",,,,,,,,"Adopted as introduced",,,"06/04/2018",,
"18-02","Telecommunications Towers - Limited Use","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/ZTA_18-02.pdf","18-44","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/20180524_18-46.pdf","Jeff Zyontz","CP at request of Executive",,"02/13/2018","04/03/2018","7:30","PHED","05/03/2018",,,,,,,,"Adopted","05/15/2018",,"06/04/2018",,
"18-03","Farm Alcohol Production - Standards","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/ZTA_18-03.pdf","18-51","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/20181002_18-51.pdf","Jeff Zyontz","CP Riemer, Rice, Leventhal, Katz, Floreen",,"04/10/2018","05/15/2018","1:30","PHED","07/09/2018","07/23/2018",,,,,,,"Adopted","10/02/2018",,"10/22/2018",,
"18-04","Exemptions - Agricultural Zone","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/ZTA_18-04.pdf","18-47","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/20180717_18-47.pdf","Jeff Zyontz","CP Riemer at the request of the County Executive",,"04/10/2018","05/15/2018","1:30","PHED","07/09/2018",,,,,,,,"Adopted","07/17/2018",,"08/06/2018",,
"18-05","Uses, Use Standards, and Regulatory Approvals - Signature Business Headquarters","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/ZTA_18-05.pdf","18-45","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/20180524_18-45.pdf","Marlene Michaelson","District Council at the request of the County Executive",,"04/10/2018","05/15/2018","7:00","PHED","05/17/2018",,,,,,,,"Adopted","05/24/2018",,"06/13/2018",,"Council 5/22/18"
"18-06","MPDU- Bonus Density","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/ZTA_18-06.pdf","18-52","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/20181009_18-52.pdf","Jeff Zyontz","Floreen",,"06/19/2018","07/24/2018","1:30","PHED","09/20/2018","09/24/2018",,,,,,,"Adopted","10/09/2018",,"10/29/2018",,
"18-07","Accessory Residential Uses - Accessory Apartments","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/ZTA_18-07.pdf","18-53","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/20181009_18-53.pdf","Jeff Zyontz","Floreen, Leventhal, Riemer, Berliner",,"07/17/2018","09/11/2018","1:30","PHED","09/24/2018",,,,,,,,"Adopted","10/09/2018",,"10/29/2018",,
