"company","fund","cost_center","grant","program_hierarchy_level_2","program_hierarchy_level_3","program_hierarchy_level_4","program_hierarchy_level_5","program","project","business_unit","ledger_account","spend_category_as_worktag","supplier_as_worktag","accounting_date","fiscal_year","ledger_budget_debit_minus"
"District Court","001-00 Current Expense Fund","DC Case processing - 1175",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51240P0 District Court","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","49.58"
"District Court","001-00 Current Expense Fund","DC Case processing - 1175",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51240P0 District Court","501100:Salaries & Wages",,,"2020-06-28T00:00:00.000","FY2020","790.05"
"District Court","001-00 Current Expense Fund","DC Case processing - 1175",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51240P0 District Court","502020:Benefits - Medical Insurance",,,"2020-06-28T00:00:00.000","FY2020","210.38"
"District Court","001-00 Current Expense Fund","DC Case processing - 1175",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51240P0 District Court","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","3.86"
"District Court","001-00 Current Expense Fund","DC Case processing - 1175",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51240P0 District Court","502180:Benefits - State Family Medical Leave",,,"2020-06-28T00:00:00.000","FY2020","1.21"
"District Court","001-00 Current Expense Fund","DC Case processing - 1175",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51240P0 District Court","502040:Benefits - Retirement",,,"2020-06-28T00:00:00.000","FY2020","106.02"
"District Court","001-00 Current Expense Fund","DC Case processing - 1175",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51240P0 District Court","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","47.52"
"District Court","001-00 Current Expense Fund","DC Case processing - 1175",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51240P0 District Court","502040:Benefits - Retirement",,,"2020-06-28T00:00:00.000","FY2020","101.60"
"District Court","001-00 Current Expense Fund","DC Case processing - 1175",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51240P0 District Court","502010:Benefits - Workers Compensation",,,"2020-06-28T00:00:00.000","FY2020","1.40"
"District Court","001-00 Current Expense Fund","DC Case processing - 1175",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51240P0 District Court","502060:Benefits - Life Insurance",,,"2020-06-28T00:00:00.000","FY2020","0.74"
"District Court","001-00 Current Expense Fund","DC Case processing - 1175",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51240P0 District Court","502060:Benefits - Life Insurance",,,"2020-06-28T00:00:00.000","FY2020","0.70"
"District Court","001-00 Current Expense Fund","DC Case processing - 1175",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51240P0 District Court","502020:Benefits - Medical Insurance",,,"2020-06-28T00:00:00.000","FY2020","201.62"
"District Court","001-00 Current Expense Fund","DC Case processing - 1175",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51240P0 District Court","501100:Salaries & Wages",,,"2020-06-28T00:00:00.000","FY2020","824.40"
"District Court","001-00 Current Expense Fund","DC Case processing - 1175",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51240P0 District Court","502180:Benefits - State Family Medical Leave",,,"2020-06-28T00:00:00.000","FY2020","1.16"
"District Court","001-00 Current Expense Fund","DC Case processing - 1175",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51240P0 District Court","502030:Benefits - Fica",,,"2020-06-28T00:00:00.000","FY2020","11.11"
"District Court","001-00 Current Expense Fund","DC Case processing - 1175",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51240P0 District Court","502070:Benefits - Dental Insurance",,,"2020-06-28T00:00:00.000","FY2020","19.83"
"District Court","001-00 Current Expense Fund","DC Case processing - 1175",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51240P0 District Court","502070:Benefits - Dental Insurance",,,"2020-06-28T00:00:00.000","FY2020","20.69"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","504830:Repairs/Maintenance - Vehicle","Vehicle Repair/Maintenance [48.004300]","PC Budget and Finance Direct Intercompany","2020-06-24T00:00:00.000","FY2020","318.97"
"Assigned Counsel","001-00 Current Expense Fund","Felony Defense",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51592P0 Adult Felony","503100:Supplies - Other","General Supplies [31.004100]","Law Office Of John J Meske","2020-06-10T00:00:00.000","FY2020","773.59"
"Assigned Counsel","001-00 Current Expense Fund","Dependency Defense",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51595P0 Juvenile Dependency and Termination of Parental Rights","503100:Supplies - Other","General Supplies [31.004100]","Law Office Of John J Meske","2020-06-10T00:00:00.000","FY2020","240.68"
"Assigned Counsel","001-00 Current Expense Fund","Delinquency Defense",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51594P0 Juvenile Offender","503100:Supplies - Other","General Supplies [31.004100]","Law Office Of John J Meske","2020-06-10T00:00:00.000","FY2020","85.96"
"Assigned Counsel","001-00 Current Expense Fund","Tacoma Municipal Defense",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51593P0 Adult Misdemeanor","503100:Supplies - Other","General Supplies [31.004100]","Law Office Of John J Meske","2020-06-10T00:00:00.000","FY2020","223.49"
"Assigned Counsel","001-00 Current Expense Fund","District Court Defense",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51593P0 Adult Misdemeanor","503100:Supplies - Other","General Supplies [31.004100]","Law Office Of John J Meske","2020-06-10T00:00:00.000","FY2020","275.06"
"Assigned Counsel","001-00 Current Expense Fund","WSH Defense",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51597P0 Civil Commitments-Mental Health/Alcohol","503100:Supplies - Other","General Supplies [31.004100]","Law Office Of John J Meske","2020-06-10T00:00:00.000","FY2020","120.34"
"Human Services","136-00 Homeless Document Recording Fee Fund","Rapid Rehousing",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-03 Emergency Homeless Sheltering / Rental Assistance","56540P0 Homeless Services","504100:Other Professional Services","Contracted Professional Services [41.200000]","Share And Care House","2020-06-01T00:00:00.000","FY2020","2482.77"
"Human Services","136-00 Homeless Document Recording Fee Fund","Rapid Rehousing",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-03 Emergency Homeless Sheltering / Rental Assistance","56540P0 Homeless Services","504100:Other Professional Services","Contracted Professional Services [41.200000]","Share And Care House","2020-06-01T00:00:00.000","FY2020","6658.81"
"Human Services","136-00 Homeless Document Recording Fee Fund","Rapid Rehousing",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-03 Emergency Homeless Sheltering / Rental Assistance","56540P0 Homeless Services","504100:Other Professional Services","Contracted Professional Services [41.200000]","Share And Care House","2020-06-01T00:00:00.000","FY2020","77360.27"
"Facilities Management","503-00 Facilities Management Fund","Project Management",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","51830P0 Maintenance/Security/Insurance/Janitorial Services","503100:Supplies - Other","General Supplies [31.004100]","PC Parks & Recreation Direct Intercompany","2020-06-26T00:00:00.000","FY2020","309.68"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]",,"2020-06-18T00:00:00.000","FY2020","1549.78"
"Human Services","136-00 Homeless Document Recording Fee Fund","Rapid Rehousing",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-07 Maintain Homeless Supports and Shelter Capacity","56540P0 Homeless Services","503100:Supplies - Other","Subscriptions/Services - Online [31.005300]","Cognito Llc","2020-06-19T00:00:00.000","FY2020","16.79"
"Facilities Management","503-00 Facilities Management Fund","Facilities Maintenance",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","52520P0 Disaster Response","503140:Supplies - Maintenance","Maintenance Supplies [31.003000]","Home Depot","2020-06-22T00:00:00.000","FY2020","132.17"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]",,"2020-06-23T00:00:00.000","FY2020","194.06"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]",,"2020-06-23T00:00:00.000","FY2020","22.09"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"51862P0 Jobbing and Contract Work","503100:Supplies - Other","General Supplies [31.004100]",,"2020-06-23T00:00:00.000","FY2020","420.21"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Relief Claims-Utilities [49.004700]","Tacoma Power Tacoma Public Utilities","2020-06-12T00:00:00.000","FY2020","321.65"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Relief Claims-Utilities [49.004700]","Tacoma Power Tacoma Public Utilities","2020-06-19T00:00:00.000","FY2020","1000.00"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Relief Claims-Rent [49.004500]",,"2020-06-17T00:00:00.000","FY2020","1529.88"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Relief Claims-Rent [49.004500]",,"2020-06-18T00:00:00.000","FY2020","2500.00"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Veterans Relief Programs [49.069600]",,"2020-06-22T00:00:00.000","FY2020","500.00"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Relief Claims-Rent [49.004500]",,"2020-06-17T00:00:00.000","FY2020","2500.00"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Relief Claims-Rent [49.004500]",,"2020-06-12T00:00:00.000","FY2020","1834.54"
"Human Services","101-00 Veterans Relief Fund","Veterans Relief Services",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Veterans Services","CARES-08 Veterans Emergency COVID Assistance","56520P0 Veterans Services","504990:Victim/Relief Client Services","Veterans Relief Programs [49.069600]",,"2020-06-01T00:00:00.000","FY2020","2500.00"
"Facilities Management","503-00 Facilities Management Fund","Project Management",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","51830P0 Maintenance/Security/Insurance/Janitorial Services","503100:Supplies - Other","Board-Care [31.000300]","Amazon com","2020-06-29T00:00:00.000","FY2020","82.65"
"Facilities Management","503-00 Facilities Management Fund","Project Management",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","51830P0 Maintenance/Security/Insurance/Janitorial Services","503100:Supplies - Other","Board-Care [31.000300]","Amazon com","2020-06-29T00:00:00.000","FY2020","65.82"
"Facilities Management","503-00 Facilities Management Fund","Project Management",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","51830P0 Maintenance/Security/Insurance/Janitorial Services","503100:Supplies - Other","Board-Care [31.000300]","Amazon com","2020-06-29T00:00:00.000","FY2020","39.65"
"Facilities Management","503-00 Facilities Management Fund","Project Management",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","51830P0 Maintenance/Security/Insurance/Janitorial Services","503100:Supplies - Other","Board-Care [31.000300]",,"2020-06-29T00:00:00.000","FY2020","33.05"
"Emergency Management","001-00 Current Expense Fund","DEM General Administration",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"51862P0 Jobbing and Contract Work","504510:Equipment Rental","Equipment Rental [45.000200]",,"2020-06-25T00:00:00.000","FY2020","262.42"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]","Heritage Distilling Co LLC","2020-06-26T00:00:00.000","FY2020","2706.63"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]",,"2020-06-26T00:00:00.000","FY2020","1303.59"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Proactive Testing and Disease Prevention",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]",,"2020-06-26T00:00:00.000","FY2020","6182.02"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]",,"2020-06-23T00:00:00.000","FY2020","647.46"
"Emergency Management","001-00 Current Expense Fund","Emergency Response & Recovery",,"Pierce County Programs","CARES Act Programs","Public Health Emergency Response",,"Access to and Training on Personal Protective Equipment",,"52520P0 Disaster Response","503100:Supplies - Other","General Supplies [31.004100]",,"2020-06-23T00:00:00.000","FY2020","6347.60"
"Facilities Management","503-00 Facilities Management Fund","Facilities Maintenance",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","52520P0 Disaster Response","503140:Supplies - Maintenance","Maintenance Supplies [31.003000]",,"2020-06-24T00:00:00.000","FY2020","192.72"
"Facilities Management","503-00 Facilities Management Fund","Facilities Maintenance",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","52520P0 Disaster Response","503140:Supplies - Maintenance","Freight on Maintenance Supplies - Taxable [31.003001]",,"2020-06-24T00:00:00.000","FY2020","42.57"
"Facilities Management","503-00 Facilities Management Fund","Facilities Maintenance",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","52520P0 Disaster Response","503140:Supplies - Maintenance","Freight on Maintenance Supplies - Taxable [31.003001]",,"2020-06-24T00:00:00.000","FY2020","417.40"
"Facilities Management","503-00 Facilities Management Fund","Facilities Maintenance",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","52520P0 Disaster Response","503140:Supplies - Maintenance","Maintenance Supplies [31.003000]",,"2020-06-24T00:00:00.000","FY2020","1889.46"
"Facilities Management","503-00 Facilities Management Fund","Facilities Maintenance",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","51830P0 Maintenance/Security/Insurance/Janitorial Services","503140:Supplies - Maintenance","Building Signage [31.001310]",,"2020-06-30T00:00:00.000","FY2020","235.74"
"Facilities Management","503-00 Facilities Management Fund","Facilities Maintenance",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","51830P0 Maintenance/Security/Insurance/Janitorial Services","503140:Supplies - Maintenance","Building Signage [31.001310]",,"2020-06-30T00:00:00.000","FY2020","2311.22"
"Facilities Management","503-00 Facilities Management Fund","Facilities Maintenance",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","51830P0 Maintenance/Security/Insurance/Janitorial Services","503140:Supplies - Maintenance","Building Signage [31.001310]","Amazon com","2020-06-30T00:00:00.000","FY2020","53.59"
"Facilities Management","503-00 Facilities Management Fund","Facilities Maintenance",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments","2020 CARES (FM) (Inactive)","51830P0 Maintenance/Security/Insurance/Janitorial Services","503140:Supplies - Maintenance","Building Signage [31.001310]","Amazon com","2020-06-30T00:00:00.000","FY2020","329.67"
"District Court","001-00 Current Expense Fund","District Court Work Crew - WKCR",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Minor Equipment [35.000000]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","810.30"
"District Court","001-00 Current Expense Fund","DC Probation Services - 0123",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Minor Equipment [35.000000]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","5199.41"
"District Court","001-00 Current Expense Fund","District Court Probation Day Reporting Center - 0124",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Minor Equipment [35.000000]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","577.71"
"District Court","001-00 Current Expense Fund","District Court Work Crew - WKCR",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Minor Equipment [35.000000]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","2475.91"
"District Court","001-00 Current Expense Fund","DC Probation Services - 0123",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Minor Equipment [35.000000]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","1071.96"
"District Court","001-00 Current Expense Fund","District Court Probation Day Reporting Center - 0124",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Minor Equipment [35.000000]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","119.10"
"District Court","001-00 Current Expense Fund","District Court Work Crew - WKCR",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Minor Equipment [35.000000]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","510.46"
"District Court","001-00 Current Expense Fund","DC Probation Services - 0123",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Furniture and Furnishings - Non-Capital [35.005200]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","173.56"
"District Court","001-00 Current Expense Fund","District Court Probation Day Reporting Center - 0124",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Furniture and Furnishings - Non-Capital [35.005200]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","19.29"
"District Court","001-00 Current Expense Fund","District Court Work Crew - WKCR",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Furniture and Furnishings - Non-Capital [35.005200]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","82.65"
"District Court","001-00 Current Expense Fund","DC Probation Services - 0123",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Freight on Minor Equipment - Taxable [35.000001]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","156.20"
"District Court","001-00 Current Expense Fund","District Court Probation Day Reporting Center - 0124",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Freight on Minor Equipment - Taxable [35.000001]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","17.36"
"District Court","001-00 Current Expense Fund","District Court Work Crew - WKCR",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Freight on Minor Equipment - Taxable [35.000001]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","74.39"
"District Court","001-00 Current Expense Fund","DC Probation Services - 0123",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Furniture and Furnishings - Non-Capital [35.005200]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","690.44"
"District Court","001-00 Current Expense Fund","District Court Probation Day Reporting Center - 0124",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Furniture and Furnishings - Non-Capital [35.005200]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","76.72"
"District Court","001-00 Current Expense Fund","District Court Work Crew - WKCR",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Furniture and Furnishings - Non-Capital [35.005200]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","328.78"
"District Court","001-00 Current Expense Fund","DC Probation Services - 0123",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Minor Equipment [35.000000]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","691.48"
"District Court","001-00 Current Expense Fund","District Court Probation Day Reporting Center - 0124",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Minor Equipment [35.000000]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","76.83"
"District Court","001-00 Current Expense Fund","District Court Work Crew - WKCR",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Minor Equipment [35.000000]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","329.28"
"District Court","001-00 Current Expense Fund","DC Probation Services - 0123",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Minor Equipment [35.000000]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","1701.63"
"District Court","001-00 Current Expense Fund","District Court Probation Day Reporting Center - 0124",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"52330P0 Probation and Parole Services","503500:Minor Equipment - Other","Minor Equipment [35.000000]","CXM Solutions","2020-06-29T00:00:00.000","FY2020","189.07"
"Finance and Performance Management","187-00 COVID-19 Relief Act Fund","COVID-19 Relief Act","Coronavirus Relief Fund 187","Pierce County Programs","CARES Act Programs","Economic Stabilization and Recovery Programs",,"COVID-19 Response Kits, including Personal Protective Devices",,"51420P0 Financial Services","597100:Transfers Out - Other Funds","Interfund Non-Capital Transfer Out to Fund 001-00 [5971001-00]",,"2020-07-01T00:00:00.000","FY2020","1548530.40"
"Finance and Performance Management","001-00 Current Expense Fund","FPM General Administration",,"Pierce County Programs","CARES Act Programs","Economic Stabilization and Recovery Programs",,"COVID-19 Response Kits, including Personal Protective Devices",,"51420P0 Financial Services","397100:Transfers In - Other Funds",,,"2020-07-01T00:00:00.000","FY2020","-1548530.40"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","58.11"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","6.55"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","2.75"
