"the_geom","objectid","propertyid","name","parktype","parkclass","address","postalcity","zipcode","owner","manager","parkhours","acresimproved","acresunimproved","parkweblink","altweblink","ispublicaccessible","maplabel","gisacres","restroom","adacomply","parking","paved_trail","unpaved_trail","trailhead","community_center","picnic","playground","dog_park","baseball","basketball","multipurpose","golf","beach","fishing","boat_launch","skate","tennis","bmx","climbing","equestrian","disc_golf","ice_rink","qtr_midget_track","parksize","description","visibleinapp","camping"
"POINT (-122.720251295171 47.170826166165)","302","2765","Montalvo Park","Park Under Construction","Undeveloped Sites","13616 94TH ST AI","Anderson Island","98303","Anderson Island Park District","Anderson Island Park District","7 am to 10:30 pm","0","5","http://www.andersonislandparks.org/Montalvo_Park.html",,"1","Montalvo Park","4.98940042",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.44887736747 47.25053698941)","148","252","Lot For Tots","Park","Local","1216 S I ST","Tacoma","98405","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","0.2417","0","http://www.metroparkstacoma.org/lots-for-tots",,"1","Lot For Tots","0.24210683",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.719730195626 47.148357465835)","299","2762","Deweyert/Claussen Trail","Trail","Linear Park","Claussen Rd AI","Anderson Island","98303","Anderson Island Park District","Anderson Island Park District","7 am to 10:30 pm","0","0",,,"1","Deweyert/Claussen Trail","1.95730863",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.348290451461 47.252050640218)","116","207","Hylebos Nature Area","Park","Resource Conservancy","6125 8th St E","Fife","98424","City of Fife","City of Fife","Dawn to Dusk (unless otherwise posted)","0","16.41",,,"1","Hylebos Nature Area","16.71020481",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.682496054259 47.166945430887)","300","2763","Tom's Park","Wildlife Habitat","TBD","109TH AV AI","Anderson Island","98303","Anderson Island Park District","Anderson Island Park District","7 am to 10:30 pm","0","10","http://www.andersonislandparks.org/Tom_s_Park__to_be_Named_.html",,"1","Tom's Park","11.42042985",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.534562328136 47.173923827472)","81","156","Edgewater Park","Park","Local","9102 Edgewater Drive SW","Lakewood","98499","City of Lakewood","City of Lakewood","7:30am - 9:00pm or sunset, whichever comes first","1","0","http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks",,"1","Edgewater Park","2.82766775",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.696203245575 47.187747157387)","311","152","Eagle Island State Park","Park","Regional","Between McNeil and Anderson Island","Anderson Island","98303","State of Washington","Washington State Parks","8 am to Dusk","0","10","http://www.parks.wa.gov/parks/?selectedpark=Eagle%20Island&subject=all",,"1","Eagle Island State Park","6.69771882",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.589217772224 47.179789364743)","210","333","Sunnyside Beach","Beach","Local","2509 Chambers Creek Road","Steilacoom","98388","Town of Steilacoom","Town of Steilacoom","Dawn to Dusk","12.475","0",,,"1","Sunnyside Beach","8.60733166",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.318934963645 47.180262254473)","248","385","Clarks Creek Park South","Park","Local","1700 12th Ave SW","Puyallup","98371","City of Puyallup","City of Puyallup","Dawn to Dusk (unless otherwise posted)","45.01","0","http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/clarks-creek-park/",,"1","Clarks Creek Park South","46.12878531",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.503458614815 47.285235868933)","121","213","Jane Clark Park","Park","Local","4825 N 39th St","Tacoma","98407","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","6.3593","0","http://www.metroparkstacoma.org/jane-clark-park",,"1","Jane Clark Park","6.42564622",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.263711552538 47.158792993659)","153","258","Manorwood Park","Park","Local","2310 Manorwood Dr","Puyallup","98374","City of Puyallup","City of Puyallup","8 am to Dusk","6.6","0","http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/manorwood-park/",,"1","Manorwood Park","6.38280055",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.456024811514 47.248385637392)","312","175","Ferry Park","Park","Local","1400 S Sheridan Ave","Tacoma","98405","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","0.64","0","http://www.metroparkstacoma.org/ferry-park",,"1","Ferry Park","0.71560537",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.535996070949 47.223064138929)","114","205","Homestead Park","Park","Local","3761 Bridgeport Way West","University Place","98466","City of University Place","City of University Place","Dawn to Dusk","4.88","0","http://cityofup.com/Media/file/ParksAndRec/Park%20location_descript%202011.pdf",,"1","Homestead Park","4.92039164",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.506996195621 47.232470287386)","155","262","Masko Park","Park","Local","719 San Juan Wy","Fircrest","98466","City of Fircrest","City of Fircrest","Dawn to Dusk (unless otherwise posted)","0.8635","0",,,"1","Masko Park","0.80979965",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.581877993524 47.345907789216)","106","193","City Park at Crescent Creek","Park","Local","3303 Vernhardson St","Gig Harbor","98332","City of Gig Harbor","City of Gig Harbor","Dawn to Dusk","5.84","0","http://www.cityofgigharbor.net/page.php?id=699",,"1","City Park at Crescent Creek","5.95209335",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.591956335964 47.17061913808)","283","1894","Community Center Park","Park","Special Use","2301 Worthington St","Steilacoom","98388","Town of Steilacoom","Town of Steilacoom","Dawn to Dusk","4.09","0","http://www.townofsteilacoom.com/activities/parks_recreation.htm#community_center",,"1","Community Center Park","4.09906423",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.284978801836 47.16103746073)","17","70","Bradley Lake Park","Park","Local","531 31st Avenue SE","Puyallup","98374","City of Puyallup","City of Puyallup","8 am to Dusk","59","0","http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/bradley-lake-park/",,"1","Bradley Lake Park","57.75888202",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.359162883366 47.231147467404)","250","799","Dacca Park","Park","Local","2820 54th Ave E","Fife","98424","City of Fife","City of Fife","8 am to Dusk","38.09","0","http://cityoffife.org/?p=city_departments&a=parks_and_recreation&b=city_parks&c=dacca_park",,"1","Dacca Park","9.35683598",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.428163112609 47.187887986379)","13","65","Charlotte's Blueberry Park","Park","Local","7402 East D ST, E 72th Street at East D Street","Tacoma","98404","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","0","51.31","http://www.metroparkstacoma.org/charlottes-blueberry-park",,"1","Charlotte's Blueberry Park","51.21469555",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.210918856811 47.089691676541)","129","221","Calistoga Place Park","Park","Local","702 Calistoga St W","Orting","98360","City of Orting","City of Orting","Dawn to Dusk (unless otherwise posted)","7.931607","0",,,"1","Calistoga Place Park","6.46910601",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.600296146576 47.239195477156)","361","805","Cedrona Bay Boat Launch","Park","Special Use","13th Ave & Leschi Dr","Fox Island","98333","Peninsula Metropolitan Park District","Peninsula Metropolitan Park District","dawn to dusk","0.3",,"https://penmetparks.org/parks/cedrona-bay-boat-launch/",,"1","Cedrona Bay Boat Launch","0.2961",,,,,,,,,,,,,,,"yes","yes","yes",,,,,,,,,"0.3",,"no",
"POINT (-122.308632180313 47.252300153646)","113","203","Hill Tower Park","Park","Local","600 19th Av","Milton","98354","City of Milton","City of Milton","Dawn to Dusk (unless otherwise posted)","1.8905","0","http://www.cityofmilton.net/page.php?id=95",,"1","Hill Tower Park","1.88126477",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.202466800876 47.096193181583)","174","283","Orting City Park","Trail Head","Local","Corner of Washington Ave N and Calistoga St W","Orting","98360","City of Orting","City of Orting","Dawn to Dusk (unless otherwise posted)","7.17","0","http://www.cityoforting.org/Parks___Recreation.php",,"1","Orting City Park","4.07192705",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.533623219386 47.242114774833)","211","334","Sunset Terrace","Park","Local","Seaview and South 19th St","University Place","98466","City of University Place","City of University Place","Dawn to Dusk","2","0","http://cityofup.com/Media/file/ParksAndRec/Park%20location_descript%202011.pdf",,"1","Sunset Terrace","2.04825797",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.315466661656 47.200376489829)","191","308","Sam Peach Park","Park","Local","1621 10th Ave NW","Puyallup","98371","City of Puyallup","City of Puyallup","8 am to Dusk","5.69","0","http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/sam-peach-park/",,"1","Sam Peach Park","5.59942387",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.595957576161 47.16186912868)","92","173","Farrells Marsh Park","Wildlife Habitat","Resource Conservancy","Chambers Street & Beech Street","Steilacoom","98388","Town of Steilacoom","Town of Steilacoom","Dawn to Dusk","0","64","http://www.townofsteilacoom.com/activities/parks_recreation.htm#farrells_marsh",,"1","Farrells Marsh Park","60.33764245",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.509256513051 47.234945401434)","7","59","Alice Peers Park","Park","Local","Regents Boulevard and Electron Way","Fircrest","98466","City of Fircrest","City of Fircrest","Dawn to Dusk","0.21","0",,,"1","Alice Peers Park","0.12303662",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.439728668746 47.302768284581)","22","75","Browns Point Playfield","Playfield","Local","4901 La-Ha-Da NE","Tacoma","98422","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","4","0","http://www.metroparkstacoma.org/browns-point-playfield",,"1","Browns Point Playfield","3.56789155",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.404522712193 47.308132876976)","71","137","Dash Point State Park","Park","Regional","5700 SW Dash Point Road","Federal Way","98023","State of Washington","Washington State Parks","8 am to Dusk","398","168.16","http://www.parks.wa.gov/parks/?selectedpark=Dash%20Point&subject=all","http://www.parks.wa.gov/plans/dash-saltwater/","1","Dash Point State Park","169.10322641",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.176814495744 47.184116521194)","275","1874","Viking Park","Park","Local","18902 82nd St E","Bonney Lake","98391","City of Bonney Lake","City of Bonney Lake","Dawn to Dusk","3.8","0","http://www.citybonneylake.org/section_community/parks_recreation/city_parks.shtml",,"1","Viking Park","3.67541316",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.767227133517 47.277549586637)","241","377","Home Park","Park","Local","17220 8th AVE CT NW","Lakebay","98349","Key Pen Parks","Key Pen Parks","8 am to Dusk","1.7413","0","http://www.keypenparks.com/home-park.htm",,"1","Home Park","1.63131802","YES",,"YES",,,,,"YES","YES",,,,,,,,,,,,,,,,,"1.74",,"no",
"POINT (-122.508628256344 47.161927803718)","3","55","Active Park","Park","Local","10506 Russell Rd SW","Lakewood","98499","City of Lakewood","City of Lakewood","7:30am - 9:00pm or sunset, whichever comes first","2","0","http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks",,"1","Active Park","2.35243351",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.75623196163 47.309091102737)","222","352","Volunteer Park","Park","Local","5514 Key Peninsula Hwy N","Lakebay","98349","Key Pen Parks","Key Pen Parks","8 am to Dusk","20.76","0","http://www.keypenparks.com/volunteer-park.htm",,"1","Volunteer Park","20.76","Yes",,"Yes","Yes",,,,"Yes","Yes",,"Yes","Yes",,,,,,"Yes",,,,,"Yes",,,"20.76",,"No",
"POINT (-122.509342952491 47.245276759935)","33","87","China Lake","Park","Resource Conservancy","1701 S Bennett","Tacoma","98465","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","27.23","0","http://www.metroparkstacoma.org/china-lake-park",,"1","China Lake","28.29368257",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.23297582568 47.160753811146)","341","374","Foothills Trail- Meeker to McMillin","Trail","Linear",,"Orting","98360","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk (unless otherwise posted)","129.42","0","https://www.piercecountywa.org/2339/East-Puyallup-to-McMillin",,"1","Foothills Trail- Meeker to McMillin Section","143.10030846","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","0","The East Puyallup to McMillin section of the Foothills Trail is four miles of trail that winds through trees and farms and runs alongside an active railway.","Yes",
"POINT (-122.491158325378 47.239104541861)","198","318","Tacoma Nature Center","Park","Regional","1919 S Tyler St","Tacoma","98405","City of Tacoma","Metro Parks Tacoma","Park: Dawn to Dusk | Tacoma Nature Center M-F(8am-5pm) Sat (10am-4pm)","67.5123","0","http://www.metroparkstacoma.org/tacomanaturecenter",,"1","Tacoma Nature Center","70.4368951",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.494184083169 47.292358783495)","188","305","Ruston Way","Park","Regional",,"Tacoma","98402","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","28.0153","0","http://www.metroparkstacoma.org/ruston-way",,"1","Ruston Way","11.22055216",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.572568833589 47.151856300415)","228","360","Washington Park","Park","Local","11603 Farwest Drive SW","Lakewood","98498","City of Lakewood","City of Lakewood","7:30am - 9:00pm or sunset, whichever comes first","3.4","0","http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks",,"1","Washington Park","3.71324504",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.520856689065 47.219408087311)","279","1889","Thelma Gilmur Park","Park","Resource Conservancy","1404 Evergreen Dr","Fircrest","98466","City of Fircrest","City of Fircrest","Dawn to Dusk","6.781","0",,,"1","Thelma Gilmur Park","6.44098055",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.511860078454 47.195599310903)","140","236","Meadow Park Golf Course","Golf","Special Use","7108 Lakewood Dr W","Tacoma","98467","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","143","0","http://www.metroparkstacoma.org/meadow-park-golf-course",,"1","Meadow Park Golf Course","145.54982043",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.445332401413 47.124093793553)","52","111","Bresemann Forest","Wildlife Habitat","Regional","801 Military Road","Spanaway","98387","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk","65","0","https://www.co.pierce.wa.us/1315/Bresemann-Forest",,"1","Bresemann Forest","61.69286512","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","65.85","Bresemann Forest is part of Spanaway Regional Park and located adjacent to Sprinker Recreation Center. This urban forest includes nature trails.","Yes",
"POINT (-122.438288808771 47.18498173162)","24","77","Ryan's Park","Park","Local","429 South 80TH ST","Tacoma","98408","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","5","0","http://www.metroparkstacoma.org/ryans-park-formerly-celebration-park",,"1","Ryan's Park","4.34052551",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.307869898481 47.138041448692)","335","202","Heritage Recreation Center","Rec Area","County","9010 128th Street E","Puyallup","98373","Puyallup School District","Pierce County Parks and Recreation Services","6:30 am until dusk (unless otherwise posted). The gates are closed at 4:30 pm for the month of January.","81.16","0","https://www.co.pierce.wa.us/1325/Heritage-Recreation-Center",,"1","Heritage Recreation Center","41.40566189","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","46.9","Heritage is a popular world class sports complex that boasts baseball, soccer and multi-purpose fields in addition to remarkable trails where nature thrives in the heart of South Hill, Puyallup. Additionally, Heritage Recreation Center is linked to the S","Yes",
"POINT (-122.59455129991 47.318493112132)","269","1865","Adam Tallman Park","Park","Local","6626 Wagner Way","Gig Harbor","98335","Private Owner","City of Gig Harbor","Dawn to Dusk","3","0","http://www.cityofgigharbor.net/page.php?id=699",,"1","Adam Tallman Park","3.00451689",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.639533337075 47.349293739962)","194","312","Sehmel Homestead Park","Park","Local","10123 78TH AVE NW","Gig Harbor","98332","Peninsula Metropolitan Park District","Peninsula Metropolitan Park District","7 am to dusk","98","0","https://penmetparks.org/parks/sehmel-homestead-park/",,"1","Sehmel Homestead Park","97.19946384","yes","yes","yes","yes","yes",,"yes","yes","yes",,"yes","yes","yes",,,,,,"yes",,,,,,,"98",,"No",
"POINT (-122.674379131172 47.101019892725)","325","1861","Tract ""I"" Park","Park","Local","Ridge View Dr","DuPont","98327","City of DuPont","City of DuPont","Dawn to Dusk","0.9","0","http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html",,"1","Tract ""I"" Park","0.97244122",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.511742252699 47.22921215301)","234","366","Whittier Park","Park","Local","Contra Costa and Elm Tree Lane","Fircrest","98466","City of Fircrest","City of Fircrest","Dawn to Dusk","10","0",,,"1","Whittier Park","9.99320263",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.743445094658 47.38407883722)","243","379","Rocky Creek Conservation Area","Park","Undeveloped Sites","State Route 302 & 150th Ave KPN","Gig Harbor","98329","Pierce County","Key Pen Parks","Daylight hours only","0","224","http://www.keypenparks.com/rocky-creek-park.htm",,"1","Rocky Creek Conservation Area","238.39861217",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.422280281847 47.235191738392)","138","234","McKinley Park","Park","Local","900 Upper Park St. E","Tacoma","98404","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","0","24.79","http://www.metroparkstacoma.org/mckinley-park",,"1","McKinley Park","24.6367473",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.451562974576 47.202921301422)","8","60","Alling Park","Park","Local","1134 S 60th St","Tacoma","98408","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","5","0","http://www.metroparkstacoma.org/alling-park",,"1","Alling Park","5.63042369",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.21438934464 47.097926062803)","293","2673","Whitehawk Park","Park","Local","Orting Av NW","Orting","98360","City of Orting","City of Orting","Dawn to Dusk (unless otherwise posted)","0","0",,,"1","Whitehawk Park","3.97606306",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.049700646146 47.108234441569)","324","1862","Wilkeson Park Property","Park",,"Railroad Av",,,"Town of Wilkeson","Town of Wilkeson",,"0.29","0",,,"1","Wilkeson Park Property","1.5699503",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.415313233444 47.228891371304)","79","153","Eastside Pool","Rec Center","Special Use","3537 E K St","Tacoma","98404","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","7.29","0","http://www.metroparkstacoma.org/eastside-pool",,"1","Eastside Pool","7.28402722",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.356032391682 47.237276485452)","25","78","Centennial Park","Park","Local","5411 23rd Street E","Fife","98424","City of Fife","City of Fife","Dawn to Dusk","0.36","0","http://cityoffife.org/?p=city_departments&a=parks_and_recreation&b=city_parks&c=centennial_park",,"1","Centennial Park","3.75542634",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.233627491207 47.209225610768)","195","313","Seibenthaler Park","Park","Local","1602 Bonney Ave","Sumner","98390","City of Sumner","City of Sumner","Per City Rules","2.3","0","http://www.ci.sumner.wa.us/Living/Seibenthaler.htm",,"1","Seibenthaler Park","2.33831089",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.309158839441 47.133524000563)","86","165","Nathan Chapman Trail","Trail","Linear","9201 136th St E","Puyallup","98373","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk (unless otherwise posted)","1.629","0","http://www.co.pierce.wa.us/pc/abtus/ourorg/parks/SHillPark.htm#Nathan Chapman Memorial Trail",,"1","Nathan Chapman Memorial Trail","1.62952069","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","1.56","The Nathan Chapman Memorial Trail cuts through woods and wetlands, joining South Hill Community Park with Heritage Recreation Center, a public athletic complex. The trail is a wide, paved route that connects to a loop trail at South Hill Community Park.","Yes",
"POINT (-122.590657521671 47.339532401575)","256","1847","Finholm View Climb","Park","Special Use","8917 Franklin St","Gig Harbor","98332","City of Gig Harbor","City of Gig Harbor","Dawn to Dusk","0.2","0","http://www.cityofgigharbor.net/page.php?id=699",,"1","Finholm View Climb","0.07775018",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.232448329359 47.244686009969)","209","332","Sumner Meadows Golf Links","Golf","Regional","14802 8th St. E.","Sumner","98390","City of Sumner","City of Sumner","Sun-Sat Daylight to Dark","141.12","0","http://www.golfsumnermeadows.com/index.php",,"1","Sumner Meadows Golf Links","158.15368845",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.747961212192 47.353716725384)","356","389","Key Central Forest","Undeveloped","Resource Conservancy","10527 Wright Bliss Rd NW","Gig Harbor","98329","WA DNR","Key Pen Parks","Dawn to Dusk",,"480","https://www.keypenparks.com/key-central-forest.html",,"1","Key Central Forest","480",,,,,"Yes",,,,,,,,,,,,,,,,,,,,,"480",,"no",
"POINT (-122.509278748428 47.292333667068)","12","64","Baltimore Park","Park","Local","4716 N Baltimore, N 47th St at N Baltimore St","Tacoma","98407","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","2","0","http://www.metroparkstacoma.org/baltimore-park",,"1","Baltimore Park","2.67861655",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.551419906192 47.194903820762)","246","382","Chambers Creek Canyon Park","Trail","Regional","6701 67th St Ct SW, Lakewood","Lakewood","98467","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk","2","193","http://www.co.pierce.wa.us/1369/Chambers-Creek-Canyon-Trail",,"1","Chambers Creek Canyon","199.75284537","No","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","204.63","There are two soft-surface nature trails located within the Chambers Creek Canyon. One trail begins at Kobayashi Park and the other begins at Chambers Creek Road or Zircon Drive.","Yes",
"POINT (-122.443938845377 47.138987979604)","40","98","Parkland Prairie Nature Preserve","Wildlife Habitat","Resource Conservancy","Tule Lake Rd S At Yakima Ave S","Tacoma","98444","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk","5","3","https://www.co.pierce.wa.us/4759/Parkland-Prairie",,"1","Parkland Prairie Nature Preserve","7.96","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","7.96","This 4.5 acre preserve of Garry Oak open space property is located in the Parkland area. This property includes a nature trail and educational kiosk.","Yes",
"POINT (-122.048124279136 47.109693526877)","54","113","City Park - Wilkeson","Park","Local","Brierhill Blvd & Roosevelt Rd","Wilkeson","98396","Town of Wilkeson","Town of Wilkeson","Dawn to Dusk","1.81","0",,,"1","City Park - Wilkeson","1.8216738",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.534893329386 47.262659690965)","173","282","Optimist Park","Park","Local","1330 N James St","Tacoma","98406","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","2.65","0","http://www.metroparkstacoma.org/optimist-park",,"1","Optimist Park","2.65414434",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.533694340476 47.202551835546)","61","120","Conservation Park","Park","Local","Bridgeport Way W and Chambers Lane West","University Place","98467","City of University Place","City of University Place","7 Days a week, daylight hours","0.56","0","http://cityofup.com/Media/file/ParksAndRec/Park%20location_descript%202011.pdf",,"1","Conservation Park","0.51884982",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.391759627634 47.226262848335)","213","336","Swan Creek Park - Pioneer Way (Pierce County)","Undeveloped","Special Use","2954 Pioneer Way East","Tacoma","98404","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk","0","40",,,"1","Swan Creek Park- Pioneer Way","40","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","40","This undeveloped park includes a gravel parking lot and soft surface nature trails along Swan Creek. Trails connect to Metro Parks Swan Creek Park nature trails.","Yes",
"POINT (-122.282068453942 47.234743778347)","80","155","Edgemont Park","Park","Local","11001 24th Street E","Edgewood","98372","City of Edgewood","City of Edgewood","Dawn to Dusk","4.72","0","http://www.cityofedgewood.org/depts/parks/parks.htm",,"1","Edgemont Park","4.33117719",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.585847444113 47.303432558772)","260","1853","Kenneth Leo Marvin Veterans Memorial Park","Park","Local","3580 50th St Ct","Gig Harbor","98335","City of Gig Harbor","City of Gig Harbor","Dawn to Dusk","6.4","0","http://www.cityofgigharbor.net/page.php?id=699",,"1","Kenneth Leo Marvin Veterans Memorial Park","6.40722841",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.749248446054 47.256244690536)","131","224","Penrose Point State Park","Park","Regional","321 158th Avenue KPS","Lakebay","98349","State of Washington","Washington State Parks","Summer: 8 a.m. to dusk. | Winter: Day-use area is open 8 a.m. to dusk","149.68504","0","http://www.parks.wa.gov/parks/?selectedpark=Penrose%20Point&subject=all",,"1","Penrose Point State Park","160.18117797",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.249050143722 47.1872534317)","357","800","Van Lierop Park","Park","Local","3401 8th Ave SE","Puyallup","98372","City of Puyallup","City of Puyallup",,"18",,"http://www.cityofpuyallup.org/1278/Van-Lierop-Park",,"1","Van Lierop Park","18.12",,,"Y","Y",,,,,,,,,,,,,,,,,,,,,,"18",,"no",
"POINT (-122.308263122699 47.175381359801)","19","72","Community Garden Plots","Park","Resource Conservancy","1111 19th Ave SW","Puyallup","98371","City of Puyallup","City of Puyallup",,"0","17","http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/community-garden-plots/",,"1","Community Garden Plots","15.00383064",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.629282854281 47.287497767513)","277","1876","Harbor Family Park","Park","Resource Conservancy","6620 32nd St NW","Gig Harbor","98335","Peninsula Metropolitan Park District","Peninsula Metropolitan Park District","7 am to dusk","0","18.7","https://penmetparks.org/parks/harbor-family-park/",,"1","Harbor Family Park","18.74254565",,,,,"yes",,,,,,,,,,,,,,,,,,,,,"19",,"No",
"POINT (-122.582867246277 47.322524130512)","105","192","Grandview Forest Park","Park","Undeveloped Sites","3488 Grandview St","Gig Harbor","98332","City of Gig Harbor","City of Gig Harbor","Dawn to Dusk","0","9.57","http://www.cityofgigharbor.net/page.php?id=699",,"1","Grandview Forest Park","9.61191904",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
