"fiscal_year","budget_unit","program","department","division","description","state_program","account","actual_amount","fund","project_id"
"2020","SIDEWALKS","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","SIDEWALKS","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","2852","COMMUNITY DEVELOPMENT",
"2020","HAM HOUSE - PAINT","CULTURE AND REC - CAP","PARK DIVISION","NONE","HAM HOUSE - PAINT","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","27042","SALES TAX CONSTRUCTION",
"2020","EXTERIOR DECORATIVE CONCR","GEN GOVERNMENT - CAP","CONF CENTER OPERATION","GRAND RIVER CENTER","EXTERIOR DECORATIVE CONCR","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","77048","STREET CONSTRUCTION",
"2021","AUGMENTED DATE SUPPORT SV","GEN GOVERNMENT - CAP","PUBLIC INFORMATION OFFICE","NONE","AUGMENTED DATE SUPPORT SV","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","24131.12","SALES TAX CONSTRUCTION",
"2020","SAN SEWER MANHOLE REPLACE","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SAN SEWER MANHOLE REPLACE","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","16500","SANITARY SEWER CONSTRUCTI",
"2020","STREET CONST-GENERAL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","STREET CONST-GENERAL","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","105932","STREET CONSTRUCTION",
"2021","PAVEMENT CONDITION INDEX","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","PAVEMENT CONDITION INDEX","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","50200","AIRPORT CONSTRUCTION",
"2020","TWIN RIDGE LIFT ST ABANDO","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","TWIN RIDGE LIFT ST ABANDO","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","16077.44","SANITARY SEWER CONSTRUCTI",
"2020","TRAFFIC CONTROLLER REPLAC","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","TRAFFIC CONTROLLER REPLAC","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","78303","STREET CONSTRUCTION",
"2020","SEWER CONN ASST-LOW/MOD","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SEWER CONN ASST-LOW/MOD","CAPITAL-ENTERPRISE","GRANTS","27456","SANITARY SEWER CONSTRUCTI",
"2020","KAUFMANN AVE STORM","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","KAUFMANN AVE STORM REL 02","CAPITAL-ENTERPRISE","LAND ACQUISITION","3000","STORM WATER CONSTRUCTION",
"2021","HWY 52 PHASE 4 CENTRAL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","HWY 52 PHASE 4 CENTRAL","CAPITAL-GOV FUNDS","POSTAGE AND SHIPPING","397.71","GENERAL CONSTRUCTION",
"2020","ELECTRIC RESTROOM LOCKS","CULTURE AND REC - CAP","PARK DIVISION","NONE","ELECTRIC RESTROOM LOCKS","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","15000","SALES TAX CONSTRUCTION",
"2020","MAUS PARK CULVERT","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","MAUS PARK CULVERT","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","45000","STORM WATER CONSTRUCTION",
"2021","SANITARY SEWER ROOT FOAM","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","SANITARY SEWER","SANITARY SEWER ROOT FOAM","CAPITAL-ENTERPRISE","CONSULTANT SERVICES","30000","SANITARY SEWER CONSTRUCTI",
"2020","COATES SANITARY SEWER","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","COATES SANITARY SEWER","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","41405","SANITARY SEWER CONSTRUCTI",
"2020","LASERFICHE FULL USER LICE","GEN GOVERNMENT - CAP","INFORMATION SERVICES","OPERATING","LASERFICHE FULL USER LICE","CAPITAL-GOV FUNDS","SOFTWARE","1293","DRA DISTRIBUTION",
"2020","WASH NEIGH BUSINESS INCEN","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","WASH NEIGH BUSINESS INCEN","CAPITAL-GOV FUNDS","GRANTS","214344","GENERAL CONSTRUCTION",
"2020","LANDFILL ACCESS ROAD","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","LANDFILL ACCESS ROAD","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","472000","STREET CONSTRUCTION",
"2021","INET FIBER BUILD OUT","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","INET FIBER BUILD OUT","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","5000","STREET CONSTRUCTION",
"2020","HVAC HANDLING UNITS","COM AND ECON DEV - CAP","LIBRARY","NONE","HVAC HANDLING UNITS","CAPITAL-GOV FUNDS","HVAC","22524","SALES TAX CONSTRUCTION",
"2020","GRANDVIEW/LORAS INTER IMP","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","GRANDVIEW/LORAS INTER IMP","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","7603","WATER CONSTRUCTION",
"2020","FOUR MOUNDS ECOLOGICAL","CULTURE AND REC - CAP","PARK DIVISION","NONE","FOUR MOUNDS ROAD IMPROV","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","200000","GENERAL",
"2020","GIS SYSTEM IMPLEMENTATION","GEN GOVERNMENT - CAP","PUBLIC INFORMATION OFFICE","OTHER","GIS SYSTEM IMPLEMENTATION","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","40801.89","SALES TAX CONSTRUCTION",
"2020","10 GBE NETWORK CARD CABLE","GEN GOVERNMENT - CAP","INFORMATION SERVICES","OTHER","10 GBE NETWORK CARD CABLE","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","17255","SALES TAX CONSTRUCTION",
"2020","TRAFFIC SIGNAL INTERCONNE","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","TRAFFIC SIGNAL INTERCONNE","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","51748.87","STREET CONSTRUCTION",
"2020","SW ARTERIAL MAIN EXT","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","SW ARTERIAL MAIN EXT","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","1584545.5","WATER CONSTRUCTION",
"2021","ABC SUPPLY BUILD DECON","PUBLIC WORKS-CAPITAL","ENGINEERING","OTHER","ABC SUPPLY BUILD DECON","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","25000","GENERAL CONSTRUCTION",
"2020","EAGLE PT PARK - STORM SW","BUSINESS TYPE - CAPITAL","PARK DIVISION","NONE","EAGLE PT PARK - STORM SW","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","79597","STORM WATER CONSTRUCTION",
"2020","GENERATOR","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","GENERATOR","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","101354.3","WATER CONSTRUCTION",
"2020","LDR TRK, PMPR, ABLCE REPL","PUBLIC SAFETY-CAPITAL","FIRE DEPARTMENT","NONE","LDR TRK, PMPR, ABLCE REPL","CAPITAL-GOV FUNDS","BOND PAYING AGENT FEE","205","SALES TAX CONSTRUCTION",
"2020","NOVELL FILE MGMT SUITE","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","NOVELL FILE MGMT SUITE","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","26475","SALES TAX CONSTRUCTION",
"2020","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO GENERAL CONSTRUCTION","568814","STREET CONSTRUCTION",
"2022","MINORITY BUS MICROLOAN","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","GRANTS","MINORITY BUS MICROLOAN","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","81688.22","GENERAL CONSTRUCTION",
"2020","SOUTHGATE WATER","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","SOUTHGATE SANITARY SEWER","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","6400","WATER CONSTRUCTION",
"2020","CHAVENELLE TRAIL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","CHAVENELLE TRAIL","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","1181145","GENERAL CONSTRUCTION",
"2020","OLD AIRLINE TERM ASSESS","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","OLD AIRLINE TERM ASSESS","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","314714.15","AIRPORT CONSTRUCTION",
"2020","CEDAR/TERM ASSESSMENTS","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","CEDAR/TERM ASSESSMENTS","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","650846.21","SANITARY SEWER CONSTRUCTI",
"2020","PORT AMENITIES MAINT","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","OTHER","PORT AMENITIES MAINT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","5000","STREET CONSTRUCTION",
"2020","LOAN POOL, DOWNTOWN TIF","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","LOAN POOL, DOWNTOWN TIF","CAPITAL-GOV FUNDS","LOANS","900000","TIF-DOWNTOWN LOAN POOL",
"2020","NORTHRIDGE STORM EXTENSIO","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","NORTHRIDGE STORM EXTENSIO","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","19000","STORM WATER CONSTRUCTION",
"2020","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO DRA DISTRIBUTION","200665","GENERAL CONSTRUCTION",
"2020","SKATE PARK","CULTURE AND REC - CAP","PARK DIVISION","NONE","SKATE PARK","CAPITAL-GOV FUNDS","BOND PAYING AGENT FEE","1427","SALES TAX CONSTRUCTION",
"2021","ST SWEEPER REPL PROJECT","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","STREETS","ST SWEEPER REPL PROJECT","CAPITAL-GOV FUNDS","STREET SWEEPER-REPL","210000","ROAD USE TAX",
"2020","CREEK CROSSING RESTORE","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","CREEK CROSSING RESTORE","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","9448","WATER CONSTRUCTION",
"2020","SNOW BROOM AND BLOWER","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","SNOW BROOM AND BLOWER","CAPITAL-GOV FUNDS","HEAVY EQUIP-REPLACEMENT","1302349","AIRPORT CONSTRUCTION",
"2020","WEST RURAL WATER PURCHASE","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","WEST RURAL WATER PURCHASE","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","1842215.54","WATER CONSTRUCTION",
"2020","ARENA LIGHT FIXTURES","CULTURE AND REC - CAP","CIVIC CENTER DIVISION","NONE","ARENA LIGHT FIXTURES","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","173359","SALES TAX CONSTRUCTION",
"2020","DRAIN TILE PROGRAM","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","DRAIN TILE PROGRAM","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","37310","STORM WATER CONSTRUCTION",
"2020","ARENA CHAIR PLATFORM SEC3","CULTURE AND REC - CAP","CIVIC CENTER DIVISION","NONE","ARENA CHAIR PLATFORM SEC3","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","47246","SALES TAX CONSTRUCTION",
"2021","PAVEMENT MARKING","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","PAVEMENT MARKING","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","20000","STREET CONSTRUCTION",
"2020","LATERALS-I&I REDUCTION","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","LATERALS-I&I REDUCTION","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","35442","SANITARY SEWER CONSTRUCTI",
"2020","PURCHASE/RESALE/REHAB","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","PURCHASE/RESALE/REHAB","CAPITAL-GOV FUNDS","LAND/ACQ-W/IMPROV","105693.5","COMMUNITY DEVELOPMENT",
"2021","PAVE REHAB CONCRETE ST","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","PAVE REHAB CONCRETE ST","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","450000","STREET CONSTRUCTION",
"2020","STREET LIGHT REPLACEMENT","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREET LIGHT REPLACEMENT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","20000","COMMUNITY DEVELOPMENT",
"2020","RADIO COMMUNICATION REPLA","CULTURE AND REC - CAP","PARK DIVISION","NONE","RADIO COMM/TELEMETRY REPL","CAPITAL-GOV FUNDS","PAGER/RADIO EQUIPMENT","7264","SALES TAX CONSTRUCTION",
"2020","HISTORIC PRES TECH ASSIST","COM AND ECON DEV - CAP","PLANNING SERVICES","NONE","HISTORIC PRES TECH ASSIST","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","5000","DRA DISTRIBUTION",
"2020","PAINT HANGAR EXTERIORS","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","PAINT HANGAR EXTERIORS","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","10319","AIRPORT CONSTRUCTION",
"2020","ITC GRANT TREE/PARK DEVEL","CULTURE AND REC - CAP","PARK DIVISION","NONE","ITC GRANT TREE/PARK DEVEL","CAPITAL-GOV FUNDS","PLAYGROUND EQUIPMENT","60746","GENERAL",
"2020","PURINA DRIVE FLOODWALL","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","NONE","PURINA DRIVE FLOODWALL","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","71240","SALES TAX CONSTRUCTION",
"2021","DICW","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","DICW","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","5655.39","GENERAL CONSTRUCTION",
"2020","US 52 CENTRAL STORMWATER","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","US 52 CENTRAL STORMWATER","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","80000","STORM WATER CONSTRUCTION",
"2020","DOWNTOWN SECURITY CAMERAS","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","DOWNTOWN SECURITY CAMERAS","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","10000","GENERAL CONSTRUCTION",
"2020","CENTRAL AVE COORIDOR INIT","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","GRANTS","CENTRAL AVE COORIDOR INIT","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","100858.35","GENERAL CONSTRUCTION",
"2020","STREET LIGHT REPLACEMENT","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREET LIGHT REPLACEMENT","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","5225","GENERAL CONSTRUCTION",
"2020","STREETS TRAFFIC CONTROL","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREETS TRAFFIC CONTROL","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","296624","STREET CONSTRUCTION",
"2020","LATERALS-I&I REDUCTION","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","LATERALS-I&I REDUCTION","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","10000","SANITARY SEWER CONSTRUCTI",
"2020","FLOODWALL POST FLOOD REPA","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","OTHER","FLOODWALL POST FLOOD REPA","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","133602.5","STREET CONSTRUCTION",
"2021","METHANE GAS SYSTEM WRRC","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","OPERATING","METHANE GAS SYSTEM WRRC","CAPITAL-ENTERPRISE","ELECTRICAL EQUIPMENT","56.55","SANITARY SEWER CONSTRUCTI",
"2020","GRC - REPLACE CARPET","GEN GOVERNMENT - CAP","CONF CENTER OPERATION","GRAND RIVER CENTER","GRC - REPLACE CARPET","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","203000","GENERAL CONSTRUCTION",
"2020","REPLC LED SIGNS BEACONS","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","REPLC LED SIGNS BEACONS","CAPITAL-GOV FUNDS","LIGHTING EQUIPMENT","15920","STREET CONSTRUCTION",
"2021","NORTH END NEIGH REINVEST","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","NORTH END NEIGH REINVEST","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","312482.45","GENERAL CONSTRUCTION",
"2020","PAVEMENT MARKING","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","PAVEMENT MARKING","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","28796","STREET CONSTRUCTION",
"2020","SPECIAL ASSESSMENT ASSIST","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","SPECIAL ASSESSMENT ASSIST","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","30714","STREET CONSTRUCTION",
"2021","RE-IMAGINE COMISKEY PARK","CULTURE AND REC - CAP","PARK DIVISION","NONE","RE-IMAGINE COMISKEY PARK","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","87700","COMMUNITY DEVELOPMENT",
"2020","PURINA DRIVE FLOODWALL","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","STORM WATER","PURINA DRIVE FLOODWALL","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","12400","STORM WATER CONSTRUCTION",
"2020","DILAPIDATED BDG ASSESS","PUBLIC SAFETY-CAPITAL","BUILDING SAFETY","NONE","DILAPIDATED BDG ASSESS","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","116335.5","SALES TAX CONSTRUCTION",
"2020","KAUFMANN AVE STORM","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","KAUFMANN AVE STORM REL 02","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","2000","STORM WATER CONSTRUCTION",
"2020","GEOEVENT PROCESSOR EXT","GEN GOVERNMENT - CAP","PUBLIC INFORMATION OFFICE","NONE","GEOEVENT PROCESSOR EXT","CAPITAL-GOV FUNDS","SERVERS","6425","SALES TAX CONSTRUCTION",
"2020","SHALLOW WELL REHAB","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","SHALLOW WELL REHAB","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","135000","WATER CONSTRUCTION",
"2020","STREET PROG/RELATED SANIT","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","STREET PROG/RELATED SANIT","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","10000","SANITARY SEWER CONSTRUCTI",
"2020","MIDTOWN TRANSFER RELOC","BUSINESS TYPE - CAPITAL","TRANSIT DIVISION","NONE","MIDTOWN TRANSFER RELOC","CAPITAL-ENTERPRISE","EQUIP ACQUISITION","12000","TRANSIT",
"2020","GRC - REPLACE CARPET","GEN GOVERNMENT - CAP","CONF CENTER OPERATION","GRAND RIVER CENTER","GRC - REPLACE CARPET","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","21382","GENERAL CONSTRUCTION",
"2020","COMISKEY PRK - NEW ENTRY","CULTURE AND REC - CAP","PARK DIVISION","NONE","COMISKEY PRK - NEW ENTRY","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","30497","COMMUNITY DEVELOPMENT",
"2020","HUD RESILIENCY ENGINEER","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","-0.4","SALES TAX INCREMENT",
"2020","F&S POOL ASSESSMENTS","CULTURE AND REC - CAP","RECREATION DIVISION","OPERATING","F&S POOL ASSESSMENTS","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","13974","DRA DISTRIBUTION",
"2020","CRESCENT HEALTH CENTER","HEALTH & SOC SERV - CAP","HEALTH SERVICES","NONE","CRESCENT HEALTH CENTER","CAPITAL-GOV FUNDS","PAY TO OTHER AGENCY","300000","COMMUNITY DEVELOPMENT",
"2020","HILLCREST ROSEMONT DET","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","HILLCREST ROSEMONT DET","CAPITAL-ENTERPRISE","EASEMENT ACQUISITION","15000","STORM WATER CONSTRUCTION",
"2020","CONCRETE SECTION REPAIR","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","STREETS","CONCRETE SECTION REPAIR","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","36177.82","STREET CONSTRUCTION",
"2020","STONE RETAINING WALLS","PUBLIC WORKS-CAPITAL","ENGINEERING","OTHER","STONE RETAINING WALLS","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","107081","STREET CONSTRUCTION",
"2021","ITS TRAFFIC CONTROL EQUIP","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","ITS TRAFFIC CONTROL EQUIP","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","2000","STREET CONSTRUCTION",
"2021","UV DISINFECTION WRRC","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","SANITARY SEWER","UV DISINFECTION WRRC","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","225000","SANITARY SEWER CONSTRUCTI",
"2020","AIRPORT FENCING/HAZARD ST","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","AIRPORT FENCING/HAZARD ST","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","20757.17","AIRPORT CONSTRUCTION",
"2021","KERPER BLVD FIBER AND CAM","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","KERPER BLVD FIBER AND CAM","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","17150","DRA DISTRIBUTION",
"2020","WASH ST RECON 8TH TO 9TH","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","WASH ST RECON 8TH TO 9TH","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","177.18","GENERAL CONSTRUCTION",
"2020","TRAFFIC CONTR BATTERY PCK","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","TRAFFIC CONTR BATTERY PCK","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","78823","STREET CONSTRUCTION",
"2020","SIDEWALK PROGRAM CITY OWN","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","SIDEWALK PROGRAM CITY OWN","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","49865","SALES TAX CONSTRUCTION",
"2021","CATHERINE ST STORM SEWER","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","CATHERINE ST STORM SEWER","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","5000","STORM WATER CONSTRUCTION",
"2020","ENRGY EFFICI REVOL FUND","GEN GOVERNMENT - CAP","CITY MANAGER'S OFFICE","GRANTS","ENRGY EFFICI REVOL FUND","CAPITAL-GOV FUNDS","LOANS","20000","SALES TAX CONSTRUCTION",
"2020","GIS SYSTEM IMPLEMENTATION","GEN GOVERNMENT - CAP","PUBLIC INFORMATION OFFICE","NONE","GIS SYSTEM IMPLEMENTATION","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","160500","DRA DISTRIBUTION",
"2020","PERV PAVE BB RR SPONSOR","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","PERV PAVE BB RR SPONSOR","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","1000000","STORM WATER CONSTRUCTION",
"2020","FIRST TIME HOMEBUYER PROG","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","FIRST TIME HOMEBUYER PROG","CAPITAL-GOV FUNDS","LOANS","55000","COMMUNITY DEVELOPMENT",
"2020","RESTROOM ELECTRIC LOCKS","CULTURE AND REC - CAP","PARK DIVISION","NONE","ELECTRIC RESTROOM LOCKS","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","10000","DRA DISTRIBUTION",
"2020","PURINA DRIVE FLOODWALL","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","NONE","PURINA DRIVE FLOODWALL","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","14248","SALES TAX CONSTRUCTION",
"2020","MICROENTERPRISE ASSIST","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","OTHER","MICROENTERPRISE ASSIST","CAPITAL-GOV FUNDS","LOANS","44870","COMMUNITY DEVELOPMENT",
"2021","FIRE HYDRNT ASSMBLY SW PG","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","FIRE HYDRNT ASSMBLY SW PG","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","20000","WATER CONSTRUCTION",
"2020","FLORA PK-REST ROOM","CULTURE AND REC - CAP","PARK DIVISION","NONE","FLORA PK-REST ROOM","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","53048","SALES TAX CONSTRUCTION",
"2020","DEPARTMENT REMODEL","GEN GOVERNMENT - CAP","FINANCE DEPARTMENT","NONE","DEPARTMENT REMODEL","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","199000","GENERAL",
"2020","16TH ST DET BASIN TRAIL","CULTURE AND REC - CAP","ENGINEERING","OTHER","16TH ST DET BASIN TRAIL","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","198","DRA DISTRIBUTION",
"2020","SIDEWALK FINANCIAL ASSIST","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","SIDEWALK FINANCIAL ASSIST","CAPITAL-GOV FUNDS","PAY TO OTHER AGENCY","12451","SALES TAX CONSTRUCTION",
"2020","BRIDGE REPAIRS/MAINT.","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","BRIDGE REPAIRS/MAINT.","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","21982","STREET CONSTRUCTION",
"2020","TRAILS/COMPLETE STREETS","COM AND ECON DEV - CAP","PLANNING SERVICES","NONE","TRAILS/COMPLETE STREETS","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","84898","SALES TAX CONSTRUCTION",
"2020","NORTH END NEIGH REINVEST","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","NORTH END NEIGH REINVEST","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","450000","GENERAL CONSTRUCTION",
"2020","ADMIRAL SHEEHY FLOOD GATE","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","ADMIRAL SHEEHY FLOOD GATE","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","8000","STORM WATER CONSTRUCTION",
"2020","ECON DEV SOFTWARE","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","OPERATING","ECON DEV SOFTWARE","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","20000","SALES TAX CONSTRUCTION",
"2021","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","COMPUTER","4400","GARAGE SERVICE",
