"fiscal_year","fiscal_period","service","department","program","expense_category","fund","vendor_name","vendor_id","vendor_zip","payment_number","payment_issue_date","invoice_number","invoice_line_number","invoice_date","amount","description","purchase_order_number"
"2014","6","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","O'TOOLE OFFICE SUPPLY COMPANY","3033","52001-4724","408378","2013-12-11T00:00:00.000",,"0",,"64.15",,"0"
"2014","3","ADMINISTRATION","POLICE DEPARTMENT","PUBLIC SAFETY-OPERATING","TRAVEL-CONFERENCES","GENERAL","UNIVERSITY OF WISCONSIN PLATTEVILLE","1961","53818-3099","404566","2013-09-06T00:00:00.000",,"0",,"375",,"0"
"2015","9","RESIDENTIAL REHAB PROGRAM","HOUSING & COMMUNITY DEV","COM AND ECON DEV - CAP","LAND/ACQ-W/IMPROV","STATE RENTAL REHAB","CENTRAL TRUE VALUE","9041","52001-3566","425935","2015-03-30T00:00:00.000",,"0",,"4.29",,"0"
"2014","4","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET141037","2013-10-15T00:00:00.000",,"0","2013-10-15T00:00:00.000","150417.83",,"0"
"2021","3","NO SERVICE","NON-DEPARTMENT",,"DEFERRED COMPENSATION","INTERNAL SERVICE FUND","CITY TREASURER","4278",,"490603","2020-09-25T00:00:00.000",,"0",,"35639",,"0"
"2014","9","CITY PLANNING/HISTORIC PR","PLANNING SERVICES","COM AND ECON DEV - OPER","TRAVEL-CITY BUSINESS","GENERAL","DUBUQUE AREA CHAMBER OF COMMERCE","1666","52001-6970","412593","2014-03-31T00:00:00.000",,"0",,"35",,"0"
"2015","11","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","MARRIOTT INTERNATIONAL","9693","30384-2642","428371","2015-05-29T00:00:00.000",,"0",,"5.75",,"0"
"2014","3","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","IOWA LEAGUE OF CITIES","2352","50309-4506","404566","2013-09-06T00:00:00.000",,"0",,"125",,"0"
"2014","11","CITY PLANNING/HISTORIC PR","PLANNING SERVICES","COM AND ECON DEV - OPER","DUES & MEMBERSHIPS","GENERAL","PAYPAL P-CARD PAYMENTS","1909",,"415052","2014-05-30T00:00:00.000",,"0",,"30",,"0"
"2016","2","CIRCLES","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","PROMOTION","GENERAL","37 SIGNALS","11118","60607-2184","431866","2015-08-31T00:00:00.000",,"0",,"30",,"0"
"2014","12","WEEKLY DISABILITY","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET140631","2014-06-10T00:00:00.000",,"0","2014-06-10T00:00:00.000","230.87",,"0"
"2015","7","CITY PLANNING/HISTORIC PR","PLANNING SERVICES","COM AND ECON DEV - OPER","TRAVEL-CITY BUSINESS","GENERAL","RESTAURANTS","2631",,"423977","2015-01-29T00:00:00.000",,"0",,"-2.28",,"0"
"2015","11","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","IDI LLC","9058","21811-1388","428371","2015-05-29T00:00:00.000",,"0",,"870",,"0"
"2014","3","CIRCLES","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","SPECIAL EVENTS","GENERAL","KENTUCKY FRIED CHICKEN","10673","52001-4805","404566","2013-09-06T00:00:00.000",,"0",,"57.75",,"0"
"2014","2","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","PLUMBING MATERIALS","WATER UTILITY OPERATION","CENTRAL TRUE VALUE","9041","52001-3566","403357","2013-08-08T00:00:00.000",,"0",,"15.78",,"0"
"2015","7","REHAB. PROGRAM","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","OFFICE SUPPLIES","COMMUNITY DEVELOPMENT","STAPLES ADVANTAGE","3543","60696-3689","423113","2015-01-06T00:00:00.000",,"0",,"114.85",,"0"
"2013","12","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","MISC. OPERATING SUPPLIES","WATER UTILITY OPERATION","CENTRAL TRUE VALUE","9041","52001-3566","401865","2013-06-28T00:00:00.000",,"0",,"5.99",,"0"
"2013","9","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET130320","2013-03-13T00:00:00.000",,"0","2013-03-13T00:00:00.000","83550.63",,"0"
"2014","9","ECONOMIC DEVELOPMENT","ECONOMIC DEVELOPMENT","COM AND ECON DEV - OPER","TRAVEL-CITY BUSINESS","GENERAL","AMERICAN AIRLINES GROUP INC","5289","76155","412593","2014-03-31T00:00:00.000",,"0",,"553",,"0"
"2014","5","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","HYVEE #1162","5220","50266-8290","407288","2013-11-07T00:00:00.000",,"0",,"145.8",,"0"
"2013","10","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET130445","2013-04-30T00:00:00.000",,"0","2013-04-30T00:00:00.000","127351.73",,"0"
"2015","4","CIRCLES","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","SPECIAL EVENTS","GENERAL","HYVEE #1162","5220","50266-8290","420841","2014-10-31T00:00:00.000",,"0",,"-8.54",,"0"
"2013","8","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","DUES & MEMBERSHIPS","GENERAL","PAYPAL P-CARD PAYMENTS","1909",,"395659","2013-02-08T00:00:00.000",,"0",,"140",,"0"
"2014","11","WEEKLY DISABILITY","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET140550","2014-05-20T00:00:00.000",,"0","2014-05-20T00:00:00.000","362.8",,"0"
"2013","10","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","HYVEE #1162","5220","50266-8290","397857","2013-04-05T00:00:00.000",,"0",,"8.97",,"0"
"2015","6","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","HYVEE #1162","5220","50266-8290","422145","2014-12-04T00:00:00.000",,"0",,"420",,"0"
"2013","11","CIRCLES","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","OFFICE SUPPLIES","GENERAL","STAPLES ADVANTAGE","3543","60696-3689","399254","2013-05-10T00:00:00.000",,"0",,"5.5",,"0"
"2014","10","PCARD CLEARING","HUMAN RIGHTS DEPARTMENT","NONE","MISC. OPERATING SUPPLIES","GENERAL","GAS STATIONS/TOWING","1031",,"413932","2014-04-30T00:00:00.000",,"0",,"50",,"0"
"2015","3","GENERAL HOUSING INSP.","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","EDUCATION & TRAINING","GENERAL","123 SIGNUP ASSOC MGMT SOLUTIONS INC","1694","95131-1014","419799","2014-09-30T00:00:00.000",,"0",,"20",,"0"
"2013","4","INSP. - FOOD ESTBLMNTS","HEALTH SERVICES","HEALTH & SOC SERV - OPER","FIELD OPERATIONS SUPPLIES","GENERAL","HARTIG DRUG COMPANY","2096","52001","391071","2012-10-10T00:00:00.000",,"0",,"3.29",,"0"
"2020","11","TERMINAL, BLDG MAINT.","AIRPORT","PUBLIC WORKS-OPERATING","UTILITY EXP-GAS","GENERAL","BLACK HILLS/IOWA GAS UTILITY CO","1154","57709-6001","V487497","2020-05-27T00:00:00.000",,"1","2020-05-15T00:00:00.000","64.02",,"20001019"
"2015","9","GENERAL HOUSING INSP.","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","OFFICE SUPPLIES","GENERAL","STAPLES ADVANTAGE","3543","60696-3689","424988","2015-03-02T00:00:00.000",,"0",,"17.99",,"0"
"2013","10","BUDGET","BUDGET","GEN GOVERNMENT - OPER","TRAVEL-CONFERENCES","GENERAL","BROWN PAPER TICKETS LLC","10185","98109","397857","2013-04-05T00:00:00.000",,"0",,"130.37",,"0"
"2015","2","MAINT OF VACANT/ABANDONED","HOUSING & COMMUNITY DEV","COM AND ECON DEV - CAP","PROPERTY MAINTENANCE","GENERAL","CENTRAL TRUE VALUE","9041","52001-3566","418560","2014-08-29T00:00:00.000",,"0",,"22.99",,"0"
"2013","6","INSP. - FOOD ESTBLMNTS","HEALTH SERVICES","HEALTH & SOC SERV - OPER","FIELD OPERATIONS SUPPLIES","GENERAL","HARTIG DRUG COMPANY","2096","52001","393340","2012-12-07T00:00:00.000",,"0",,"4.98",,"0"
"2015","4","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","EMBASSY SUITES ST PAUL","11805","55101-2352","420841","2014-10-31T00:00:00.000",,"0",,"344.47",,"0"
"2014","4","WEEKLY DISABILITY","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET141002","2013-10-01T00:00:00.000",,"0","2013-10-01T00:00:00.000","250",,"0"
"2014","8","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","NEIGHBOR WORKS AMERICA","8227","20005-3104","410968","2014-02-14T00:00:00.000",,"0",,"780",,"0"
"2013","3","WATER ADMINSTRATION","WATER","BUSINESS TYPE - OPERATING","TRAVEL-CONFERENCES","WATER UTILITY OPERATION","ATRIUM FINANCE IV LP","2398","50265-1063","389839","2012-09-14T00:00:00.000",,"0",,"201.59",,"0"
"2019","2","UTILITY BILL/PARKING TKTS","FINANCE DEPARTMENT","GEN GOVERNMENT - OPER","CREDIT CARD CHARGE","GENERAL","TRANSFIRST","5857","80021","ET190845","2018-08-10T00:00:00.000",,"1","2018-07-31T00:00:00.000","2279.71",,"19000354"
"2013","9","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET130303","2013-03-05T00:00:00.000",,"0","2013-03-05T00:00:00.000","131943.85",,"0"
"2019","10","AIRPORT OPERATIONS","AIRPORT","PUBLIC WORKS-OPERATING","UTILITY EXP-ELECTRICITY","GENERAL","MAQUOKETA VALLEY ELECTRIC COOP","2690","52205-1453","V476233","2019-04-24T00:00:00.000",,"1","2019-04-08T00:00:00.000","30.54",,"19001140"
"2014","4","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","406102","2013-10-14T00:00:00.000",,"0",,"6.21",,"0"
"2013","7","CABLE TV","CABLE TV DIVISION","GEN GOVERNMENT - OPER","LIBRARY VIDEO MATERIALS","CABLE TV","UNIQUETRACKS INC","4963","11215-3915","394603","2013-01-11T00:00:00.000",,"0",,"130",,"0"
"2014","3","WATER DISTR. SYSTEM","WATER","BUSINESS TYPE - OPERATING","EDUCATION & TRAINING","WATER UTILITY OPERATION","IOWA LEAGUE OF CITIES","2352","50309-4506","404566","2013-09-06T00:00:00.000",,"0",,"150",,"0"
"2015","6","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","STAPLES ADVANTAGE","3543","60696-3689","422145","2014-12-04T00:00:00.000",,"0",,"30.87",,"0"
"2013","8","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","OFFICE SUPPLIES","WATER UTILITY OPERATION","STAPLES ADVANTAGE","3543","60696-3689","395659","2013-02-08T00:00:00.000",,"0",,"154.34",,"0"
"2013","3","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","389839","2012-09-14T00:00:00.000",,"0",,"40.07",,"0"
"2013","12","ADMINISTRATION","PLANNING SERVICES","COM AND ECON DEV - OPER","TRAVEL-CITY BUSINESS","GENERAL","HOTEL/MOTEL VENDOR","2889",,"401865","2013-06-28T00:00:00.000",,"0",,"734.4",,"0"
"2014","9","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","HYVEE #1162","5220","50266-8290","412593","2014-03-31T00:00:00.000",,"0",,"9.59",,"0"
"2019","4","MANAGEMENT","CITY MANAGER'S OFFICE","GEN GOVERNMENT - OPER","OFFICE SUPPLIES","GENERAL","STAPLES ADVANTAGE","3543","60696-3689","V471351","2018-10-31T00:00:00.000",,"0",,"40.07",,"0"
"2014","2","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","MISC. OPERATING SUPPLIES","WATER UTILITY OPERATION","BEST BUY","9410","75373-1247","403357","2013-08-08T00:00:00.000",,"0",,"-119.99",,"0"
"2015","3","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","HYVEE #1160","2228","50266-8290","419799","2014-09-30T00:00:00.000",,"0",,"12.04",,"0"
"2013","1","WEEKLY DISABILITY","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET130702","2012-07-03T00:00:00.000",,"0","2012-07-03T00:00:00.000","640.22",,"0"
"2013","12","METERS","WATER","BUSINESS TYPE - OPERATING","OFFICE SUPPLIES","WATER UTILITY OPERATION","SHERWIN WILLIAMS COMPANY","3426","52001-4816","400813","2013-06-13T00:00:00.000",,"0",,"224.56",,"0"
"2014","3","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","REPAIR PARTS/SUPPLIES","WATER UTILITY OPERATION","CHAPIN INTL","9224","14020","404566","2013-09-06T00:00:00.000",,"0",,"27.66",,"0"
"2016","4","ACCTNG/PAYROLL/TREAS","FINANCE DEPARTMENT","GEN GOVERNMENT - OPER","OFFICE EQUIPMENT MAINT","GENERAL","RISO","12157","01803-5038","434100","2015-10-30T00:00:00.000",,"0",,"81.48",,"0"
"2013","6","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","393340","2012-12-07T00:00:00.000",,"0",,"40.66",,"0"
"2015","6","GENERAL HOUSING INSP.","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","OFFICE SUPPLIES","COMMUNITY DEVELOPMENT","STAPLES ADVANTAGE","3543","60696-3689","422145","2014-12-04T00:00:00.000",,"0",,"22.46",,"0"
"2013","12","METERS","WATER","BUSINESS TYPE - OPERATING","SAFETY EQUIPMENT","WATER UTILITY OPERATION","CENTRAL TRUE VALUE","9041","52001-3566","400813","2013-06-13T00:00:00.000",,"0",,"5.78",,"0"
"2014","12","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET140609","2014-06-03T00:00:00.000",,"0","2014-06-03T00:00:00.000","172411.04",,"0"
"2013","11","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET130537","2013-05-21T00:00:00.000",,"0","2013-05-21T00:00:00.000","196779.18",,"0"
"2014","9","METERS","WATER","BUSINESS TYPE - OPERATING","METER MAINTENANCE","WATER UTILITY OPERATION","THEISENS INC","3668","52003-5265","412593","2014-03-31T00:00:00.000",,"0",,"24.99",,"0"
"2015","1","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","UNITED AIRLINES","2583","60018","417389","2014-07-31T00:00:00.000",,"0",,"50",,"0"
"2015","10","SECTION 8 VOUCHER","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","OFFICE SUPPLIES","SECTION 8 HOUSING","STAPLES ADVANTAGE","3543","60696-3689","427256","2015-04-29T00:00:00.000",,"0",,"9.98",,"0"
"2013","12","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","HOTEL/MOTEL VENDOR","2889",,"400813","2013-06-13T00:00:00.000",,"0",,"148.4",,"0"
"2014","4","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","OFFICE SUPPLIES","GENERAL","DOLLAR TREE #773","9428","52002","406102","2013-10-14T00:00:00.000",,"0",,"5",,"0"
"2013","4","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","391071","2012-10-10T00:00:00.000",,"0",,"59.97",,"0"
"2014","3","WATER DISTR. SYSTEM","WATER","BUSINESS TYPE - OPERATING","SHOP EQUIPMENT","WATER UTILITY OPERATION","CENTRAL TRUE VALUE","9041","52001-3566","404566","2013-09-06T00:00:00.000",,"0",,"17.92",,"0"
"2015","12","CHILDREN SERVICES","LIBRARY","CULTURE AND REC - OPER","LIBRARY BOOKS","GENERAL","BOOKS A MILLION INC","4339","35219","429796","2015-06-30T00:00:00.000",,"0",,"265.77",,"0"
"2014","7","WEEKLY DISABILITY","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET140132","2014-01-21T00:00:00.000",,"0","2014-01-21T00:00:00.000","250",,"0"
"2014","8","WATER DISTR. SYSTEM","WATER","BUSINESS TYPE - OPERATING","SAFETY EQUIPMENT","WATER UTILITY OPERATION","NORTHERN SAFETY CO INC","4837","13504-4250","410968","2014-02-14T00:00:00.000",,"0",,"15",,"0"
"2013","12","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","AMERICAN AIRLINES GROUP INC","5289","76155","401865","2013-06-28T00:00:00.000",,"0",,"34",,"0"
"2013","11","BRIDGES OUT OF POVERTY","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","OFFICE SUPPLIES","GENERAL","STAPLES ADVANTAGE","3543","60696-3689","399254","2013-05-10T00:00:00.000",,"0",,"2.75",,"0"
"2014","2","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","ELECTRICAL SUPPLIES","WATER UTILITY OPERATION","MILLER ELECTRIC SUPPLY INC","2801","52404-3913","403357","2013-08-08T00:00:00.000",,"0",,"43.79",,"0"
"2014","11","MAINT OF VACANT/ABANDONED","HOUSING & COMMUNITY DEV","COM AND ECON DEV - CAP","PROPERTY MAINTENANCE","GENERAL","CENTRAL TRUE VALUE","9041","52001-3566","415052","2014-05-30T00:00:00.000",,"0",,"2.68",,"0"
"2019","2","MCALEECE CONCESSIONS","RECREATION DIVISION","CULTURE AND REC - OPER","BEER PRODUCTS","GENERAL","MATTHEWS DISTRIBUTING CO","5854","52001","ET190847","2018-08-10T00:00:00.000",,"1","2018-08-07T00:00:00.000","128.4",,"19000343"
"2015","4","REHAB. PROGRAM","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","PROPERTY MAINTENANCE","COMMUNITY DEVELOPMENT","CENTRAL TRUE VALUE","9041","52001-3566","420841","2014-10-31T00:00:00.000",,"0",,"25.12",,"0"
"2013","4","ANIMAL CONTROL","HEALTH SERVICES","PUBLIC SAFETY-OPERATING","OFFICE SUPPLIES","GENERAL","O'TOOLE OFFICE SUPPLY COMPANY","3033","52001-4724","391071","2012-10-10T00:00:00.000",,"0",,"12.85",,"0"
"2015","7","CIRCLES","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","PROMOTION","GENERAL","HYVEE #1162","5220","50266-8290","423977","2015-01-29T00:00:00.000",,"0",,"29.99",,"0"
"2013","9","WATER DISTR. SYSTEM","WATER","BUSINESS TYPE - OPERATING","SHOP EQUIPMENT","WATER UTILITY OPERATION","CENTRAL TRUE VALUE","9041","52001-3566","396770","2013-03-11T00:00:00.000",,"0",,"58.94",,"0"
"2014","5","CITY PLANNING/HISTORIC PR","PLANNING SERVICES","COM AND ECON DEV - OPER","TRAVEL-CONFERENCES","GENERAL","DOUBLETREE CEDAR RAPIDS CONVENTION","10826","52401","407288","2013-11-07T00:00:00.000",,"0",,"10",,"0"
"2014","4","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","406102","2013-10-14T00:00:00.000",,"0",,"27.96",,"0"
"2015","6","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","PARTY CITY","11434","60563-8720","422145","2014-12-04T00:00:00.000",,"0",,"41.88",,"0"
"2015","11","DEVELOPMENT SERVICES","PLANNING SERVICES","COM AND ECON DEV - OPER","OFFICE SUPPLIES","GENERAL","O'TOOLE OFFICE SUPPLY COMPANY","3033","52001-4724","428371","2015-05-29T00:00:00.000",,"0",,"25.26",,"0"
"2015","3","MULTICULTURAL FAMILY CTR","MULTICULTURAL FAMILY CTR","CULTURE AND REC - OPER","LEGAL NOTICES & ADS","GENERAL","LINKEDIN.COM","4234","94043","419799","2014-09-30T00:00:00.000",,"0",,"26.25",,"0"
"2014","12","LEAD PAINT ABATEMENT 2011","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","TRAVEL-CONFERENCES","LEAD PAINT GRANT","RENAISSANCE HOTEL","4816","85004-2329","416421","2014-06-30T00:00:00.000",,"0",,"668.41",,"0"
"2015","3","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","CITY OF CEDAR RAPIDS","4817","52406-2148","419799","2014-09-30T00:00:00.000",,"0",,"59",,"0"
"2013","12","OFFICES/CTRL RM/LAB REMOD","WATER","BUSINESS TYPE - CAPITAL","CONST CONTRACT-BLDG","WATER CONSTRUCTION","LOWES COMPANIES INC","2644","30353-0954","400813","2013-06-13T00:00:00.000",,"0",,"149",,"0"
"2014","7","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET140143","2014-01-28T00:00:00.000",,"0","2014-01-28T00:00:00.000","91888.23",,"0"
"2013","12","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","UDAG REPAYMENTS","HOTEL/MOTEL VENDOR","2889",,"400813","2013-06-13T00:00:00.000",,"0",,"148.4",,"0"
"2015","4","ADMINISTRATION","PLANNING SERVICES","COM AND ECON DEV - OPER","TRAVEL-CONFERENCES","GENERAL","CAR RENTALS","2891",,"420841","2014-10-31T00:00:00.000",,"0",,"552.43",,"0"
"2014","7","WEEKLY DISABILITY","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET14103","2014-01-02T00:00:00.000",,"0","2014-01-02T00:00:00.000","230.87",,"0"
"2016","4","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","SPEAKERS/PROGRAMS","GENERAL","HYVEE #1162","5220","50266-8290","434100","2015-10-30T00:00:00.000",,"0",,"-1.51",,"0"
"2016","4","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","LEGAL NOTICES & ADS","GENERAL","LINKEDIN.COM","4234","94043","434100","2015-10-30T00:00:00.000",,"0",,"299",,"0"
"2019","10","UTILITY BILL/PARKING TKTS","FINANCE DEPARTMENT","GEN GOVERNMENT - OPER","FINANCIAL SERVICE FEES","GENERAL","DUBUQUE BANK & TRUST COMPANY","1674","52001-5051","ET190437","2019-04-15T00:00:00.000",,"2","2019-04-15T00:00:00.000","50",,"19000085"
"2013","5","WORKFORCE DEVELOPMENT","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","TRAVEL-CONFERENCES","GENERAL","HYVEE #1162","5220","50266-8290","392203","2012-11-09T00:00:00.000",,"0",,"-21.38",,"0"
"2015","10","RESIDENTIAL REHAB PROGRAM","HOUSING & COMMUNITY DEV","COM AND ECON DEV - CAP","LAND/ACQ-W/IMPROV","STATE RENTAL REHAB","CENTRAL TRUE VALUE","9041","52001-3566","427256","2015-04-29T00:00:00.000",,"0",,"3.98",,"0"
"2013","6","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","PROPERTY MAINTENANCE","WATER UTILITY OPERATION","FASTENAL COMPANY","1835","55987","393340","2012-12-07T00:00:00.000",,"0",,"27.26",,"0"
"2016","4","GENERAL HOUSING INSP.","HOUSING & COMMUNITY DEV","COM AND ECON DEV - OPER","OFFICE SUPPLIES","COMMUNITY DEVELOPMENT","STAPLES ADVANTAGE","3543","60696-3689","434100","2015-10-30T00:00:00.000",,"0",,"54.63",,"0"
"2013","5","HEALTH INSURANCE","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET131109","2012-11-06T00:00:00.000",,"0","2012-11-06T00:00:00.000","102709.02",,"0"
"2015","1","HUMAN RELATIONS","HUMAN RIGHTS DEPARTMENT","HEALTH & SOC SERV - OPER","EDUCATION & TRAINING","GENERAL","RESTAURANTS","2631",,"417389","2014-07-31T00:00:00.000",,"0",,"5",,"0"
"2014","1","WEEKLY DISABILITY","NON-DEPARTMENT","NON-PROGRAM - OPERATING","ACTUAL EXPERIENCE","HEALTH INSURANCE RESERVE","HEALTH CHOICES-CITY TREASURER","1445",,"ET140701","2013-07-02T00:00:00.000",,"0","2013-07-02T00:00:00.000","230.87",,"0"
"2019","2","ANIMAL CONTROL","HEALTH SERVICES","PUBLIC SAFETY-OPERATING","PAY TO OTHER AGENCY","GENERAL","DUBUQUE HUMANE SOCIETY","1709","52002-2650","V468950","2018-08-15T00:00:00.000",,"1","2018-08-03T00:00:00.000","5260.96",,"19001488"
"2014","3","PLANT OPER. & MAINT","WATER","BUSINESS TYPE - OPERATING","ELECTRICAL SUPPLIES","WATER UTILITY OPERATION","CRESCENT ELECTRIC","1550","61025-4420","404566","2013-09-06T00:00:00.000",,"0",,"195.02",,"0"
