"work_program_group","work_program","unit","fiscal_year","bank_budget","all_funds","notes"
"Institutional, Governance and Administrative Services","Governance Services","Boards","2021","84.7","84.7","Includes Executive Directors and up to FY20 Board of Governors, Development Committee Secretariat, and Inspection Panel."
"Institutional, Governance and Administrative Services","Governance Services","Internal Justice Services","2021","4.7","6.3",
"Institutional, Governance and Administrative Services","Governance Services","Corporate Secretariat","2021","21.6","23","In FY21 Corporate Secretariat restated to include Board of Governors and DC Secretariat which are under management purview"
"Institutional, Governance and Administrative Services","Governance Services","Independent Evaluation Group","2021","28.6","37.4",
"Institutional, Governance and Administrative Services","Governance Services","Accountability Mechanism","2021","5","5","Inspection Panel previously captured under Boards"
"Institutional, Governance and Administrative Services","Governance Services","Integrity Vice Presidency","2021","21.7","21.9",
"Institutional, Governance and Administrative Services","Governance Services","Group Internal Audit","2021","9","12",
"Institutional, Governance and Administrative Services","Governance Services","Office of Ethics and Business Conduct","2021","6.5","8.8",
"Institutional, Governance and Administrative Services","Governance Services","Office of the President","2021","5.5","5.5",
"Institutional, Governance and Administrative Services","Governance Services","Office of Suspension & Debarment","2021","1.8","1.8",
"Institutional, Governance and Administrative Services","Governance Services","Managing Directors","2021","0","0","In FY17, Managing Directors line item was separated to show the Office of the CEO, MD and CAO, MD and CFO, and SVPMM separately."
"Institutional, Governance and Administrative Services","Governance Services","Office of the Managing Director, Operations","2021","5.3","5.3",
"Institutional, Governance and Administrative Services","Governance Services","Office of the Managing Director and WBG Chief Administrative Officer","2021","2.9","2.9",
"Institutional, Governance and Administrative Services","Governance Services","Office of the Managing Director and WBG Chief Financial Officer","2021","3.5","3.5",
"Institutional, Governance and Administrative Services","Governance Services","Office of Senior Vice President Mahmoud Mohieldin","2021","0","0","In FY21 Office of Senior Vice President Mahmoud Mohieldin funding has been transferred to ECR and the regional communications teams were transferred from the Regions to ECR."
"Institutional, Governance and Administrative Services","Governance Services","Office of Managing Director, Development Policy And Partnerships","2021","2.9","4.3","In FY21 the Office of Managing Director, Development Policy And Partnerships was created"
"Institutional, Governance and Administrative Services","Governance Services","Sanctions Board","2021","2","2",
"Institutional, Governance and Administrative Services","Governance Services","Strategic Initiatives Unit","2021","0","0","In FY19 the Strategic Initiatives Unit was created from Office of the Managing Director, Operations and FY22 it was integrated back."
"Institutional, Governance and Administrative Services","Administrative Services","Global Corporate Solutions","2021","148.8","193.6",
"Institutional, Governance and Administrative Services","Administrative Services","Human Resources","2021","56.8","87.2",
"Institutional, Governance and Administrative Services","Administrative Services","Health and Safety Development","2021","9.3","12.9","In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development"
"Institutional, Governance and Administrative Services","Administrative Services","Information & Technology Solutions","2021","252","313.5",
"Centrally Managed Accounts & Miscellaneous Programs","Centrally Managed Accounts & Miscellaneous Programs","Centrally Managed Accounts & Miscellaneous Programs","2021","119.2","119.7",
"Funded by External Funds - All Funds","Funded by External Funds - All Funds","Funded by External Funds - All Funds","2021","-191.8","-1723.10",
"Centrally Managed Accounts & Miscellaneous Programs","Centrally Managed Accounts & Miscellaneous Programs","Centrally Managed Accounts & Miscellaneous Programs","2022","91.6","92.1",
"Client Engagement","Country Engagement","Africa","2022",,,"Africa Country Engagement and Program and Practice Management budget has been split into Africa East and Africa West regions from FY21."
"Client Engagement","Country Engagement","Africa East","2022","181.3","333.3",
"Client Engagement","Country Engagement","Africa West","2022","181.9","260.1",
"Client Engagement","Country Engagement","East Asia & Pacific","2022","127","260.6",
"Client Engagement","Country Engagement","Europe & Central Asia","2022","100","211.3",
"Client Engagement","Country Engagement","Latin America & Caribbean","2022","115","181.5",
"Client Engagement","Country Engagement","Middle East & North Africa","2022","76.3","174.7",
"Client Engagement","Country Engagement","South Asia","2022","158.7","249.8",
"Client Engagement","Country Engagement","Other Operational Units' Allocations","2022","14.1","91",
"Client Engagement","Global Engagement","Global Engagement","2022","99.4","290.4",
"Program and Practice Management","Regions Program & Practice Management","Africa","2022",,,"Africa Country Engagement and Program and Practice Management budget has been split into Africa East and Africa West regions from FY21."
"Program and Practice Management","Regions Program & Practice Management","Africa East","2022","89.8","101.3",
"Program and Practice Management","Regions Program & Practice Management","Africa West","2022","79.4","81.7",
"Program and Practice Management","Regions Program & Practice Management","East Asia & Pacific","2022","79.5","91.8",
"Program and Practice Management","Regions Program & Practice Management","Europe & Central Asia","2022","68.4","73.4",
"Program and Practice Management","Regions Program & Practice Management","Latin America & Caribbean","2022","68.1","70.6",
"Program and Practice Management","Regions Program & Practice Management","Middle East & North Africa","2022","48.9","53.3",
"Program and Practice Management","Regions Program & Practice Management","South Asia","2022","73.6","76.8",
"Program and Practice Management","Practice Groups Program & Practice Management","Global Practice","2022","0","0","In FY17, Global Practice line items were separated into three separate Global Practice units: Sustainable Development, Equitable Growth, Finance and Institutions, and Human Development, plus one additional unit for Other Operational Support."
"Program and Practice Management","Practice Groups Program & Practice Management","Equitable Growth, Finance and Institutions","2022","33.7","48.3",
"Program and Practice Management","Practice Groups Program & Practice Management","Human Development","2022","15.5","29.8",
"Program and Practice Management","Practice Groups Program & Practice Management","Infrastructure","2022","18.3","35","In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development (the latter was part of Human Resources)."
"Program and Practice Management","Practice Groups Program & Practice Management","Sustainable Development","2022","26.5","91",
"Program and Practice Management","Practice Groups Program & Practice Management","Other Operational Support","2022","0","0","FY21 onwards the Program & Practice Management budgets in the Other Operations Support Unit are shared by both the Regions  and Practice Groups. Includes the FCV unit, funds for ESF/GBV and Global Mobility benefits for Operational staff. External funds includes the Global Partnership for Educations (GPE) Secretariat."
"Program and Practice Management","Practice Groups Program & Practice Management","Global Themes","2022","0","0","FY20 onwards, the Global Themes were integrated into the Practice Groups."
"Program and Practice Management","Other Operational Support Program & Practice Management","Other Operational Support Program & Practice Management","2022","125.4","164.1","FY21 onwards the Program & Practice Management budgets in the Other Operations Support Unit are shared by both the Regions  and Practice Groups. Includes the FCV unit, funds for ESF/GBV and Global Mobility benefits for Operational staff. External funds includes the Global Partnership for Educations (GPE) Secretariat."
"Operational Grant Making Facilities","Operational Grant Making Facilities","Consultative Group for International Agricultural Research","2022","30","30",
"Operational Grant Making Facilities","Operational Grant Making Facilities","Development Grant Facility","2022","0","0",
"Operational Grant Making Facilities","Operational Grant Making Facilities","Global Partnership for Social Accountability","2022","0","0",
"Operational Grant Making Facilities","Operational Grant Making Facilities","Institutional Development Fund","2022","0","0",
"Operational Grant Making Facilities","Operational Grant Making Facilities","State and Peace Building Fund","2022","5","5",
"Institutional, Governance and Administrative Services","Institutional Services","Budget, Performance & Strategy","2022","79.7","79.9",
"Institutional, Governance and Administrative Services","Institutional Services","Chief Risk Office","2022","21.4","22.4",
"Institutional, Governance and Administrative Services","Institutional Services","CMP-Data Privacy Office","2022","2.2","2.2",
"Institutional, Governance and Administrative Services","Institutional Services","Development Economics","2022","55.9","112.5",
"Institutional, Governance and Administrative Services","Institutional Services","Development Finance","2022","27.4","34.9",
"Institutional, Governance and Administrative Services","Institutional Services","External & Corporate Relations","2022","83.4","88.5","In FY21 Office of Senior Vice President Mahmoud Mohieldin funding has been transferred to ECR and the regional communications teams were transferred from the Regions to ECR."
"Institutional, Governance and Administrative Services","Institutional Services","Financing for Development","2022","0","0",
"Institutional, Governance and Administrative Services","Institutional Services","Global Environment Fund","2022","0","36",
"Institutional, Governance and Administrative Services","Institutional Services","International Centre for Settlement of Investment Disputes","2022","0","0","World Bank's contribution to the funding for the International Centre for Settlement of Investment Disputes."
"Institutional, Governance and Administrative Services","Institutional Services","Leadership, Learning & Innovation","2022","0","0","In FY17, the Learning, Leadership, & Innovation VPU was integrated into other Operational and IG&A units."
"Institutional, Governance and Administrative Services","Institutional Services","Legal Services","2022","42.1","44",
"Institutional, Governance and Administrative Services","Institutional Services","Operational Policy & Country Services","2022","47.3","47.3","Regional Safeguard Advisors transferred from OPCS to the Regions."
"Institutional, Governance and Administrative Services","Institutional Services","Strategy, Performance, and Adminstration","2022","11.3","15.4",
"Institutional, Governance and Administrative Services","Institutional Services","Treasury","2022","36","93.9","FY19 restated to reflect the new arrangements for Reserves Advisory and Management Partnership (RAMP) and other asset management services."
"Institutional, Governance and Administrative Services","Institutional Services","WBG Finance & Accounting","2022","48.6","55.4",
"Institutional, Governance and Administrative Services","Governance Services","Administrative Tribunal","2022","2","2.6",
"Institutional, Governance and Administrative Services","Governance Services","Boards","2022","85.6","85.6","Includes Executive Directors and up to FY20 Board of Governors, Development Committee Secretariat, and Inspection Panel."
"Institutional, Governance and Administrative Services","Governance Services","Internal Justice Services","2022","5.3","6.8",
"Institutional, Governance and Administrative Services","Governance Services","Corporate Secretariat","2022","21.2","22.3","In FY21 Corporate Secretariat restated to include Board of Governors and DC Secretariat which are under management purview."
"Institutional, Governance and Administrative Services","Governance Services","Group Internal Audit","2022","9.4","12.5",
"Institutional, Governance and Administrative Services","Governance Services","Independent Evaluation Group","2022","29","38.5",
"Institutional, Governance and Administrative Services","Governance Services","Accountability Mechanism","2022","5.9","5.9","Referred to as Inspection Panel in the FY21 Budget Document.  Comprises the Accountability Mechanism Secretariat, the Inspection Panel and the Dispute Resolution Service. Inspection Panel was previously captured under Boards."
"Institutional, Governance and Administrative Services","Governance Services","Integrity Vice Presidency","2022","21.6","21.8",
"Institutional, Governance and Administrative Services","Governance Services","Managing Directors","2022","0","0","In FY17, Managing Directors line item was separated to show the Office of the MD Operations, MD and CAO, MD and CFO, and SVPMM separately."
"Institutional, Governance and Administrative Services","Governance Services","Office of Ethics and Business Conduct","2022","6.3","8.9",
"Institutional, Governance and Administrative Services","Governance Services","Office of Managing Director, Development Policy And Partnerships","2022","3.8","6.3","In FY21 the Office of Managing Director, Development Policy And Partnerships was created."
"Institutional, Governance and Administrative Services","Governance Services","Office of Senior Vice President Mahmoud Mohieldin","2022","0","0","In FY21 Office of Senior Vice President Mahmoud Mohieldin funding has been transferred to ECR and the regional communications teams were transferred from the Regions to ECR."
"Institutional, Governance and Administrative Services","Governance Services","Office of Suspension & Debarment","2022","1.9","1.9",
"Institutional, Governance and Administrative Services","Governance Services","Office of the Managing Director and WBG Chief Administrative Officer","2022","3","3",
"Institutional, Governance and Administrative Services","Governance Services","Office of the Managing Director and WBG Chief Financial Officer","2022","3","3",
"Institutional, Governance and Administrative Services","Governance Services","Office of the Managing Director, Operations","2022","5.3","5.3","In FY19 the Strategic Initiatives Unit was created from Office of the Managing Director, Operations and FY22 it was integrated back."
"Institutional, Governance and Administrative Services","Governance Services","Office of the President","2022","5.3","5.3",
"Institutional, Governance and Administrative Services","Governance Services","Sanctions Board","2022","2","2",
"Institutional, Governance and Administrative Services","Governance Services","Strategic Initiatives Unit","2022","0","0","In FY19 the Strategic Initiatives Unit was created from Office of the Managing Director, Operations and FY22 it was integrated back."
"Institutional, Governance and Administrative Services","Administrative Services","Global Corporate Solutions","2022","150.9","187.7",
"Institutional, Governance and Administrative Services","Administrative Services","Health and Safety Development","2022","9.3","13","In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development (the latter was part of Human Resources)."
"Institutional, Governance and Administrative Services","Administrative Services","Human Resources","2022","58.3","90.6",
"Institutional, Governance and Administrative Services","Administrative Services","Information & Technology Solutions","2022","257.4","319.1",
"Funded by External Funds - All Funds","Funded by External Funds - All Funds","Funded by External Funds - All Funds","2022","-197.6","-1720.00",
