"loan_number","country","borrower","currency_of_commitment","project_name","original_principal_amount","disbursed_amount","repaid_to_ibrd","closed_date_most_recent_"
"IBRD89100","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"APIIATP","172200000.00","28430500.00","0.00","2025-10-31T00:00:00.000"
"IBRD89110","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Jharkhand Municipal Development Project","147000000.00","14381887.89","0.00","2025-10-31T00:00:00.000"
"IBRD89180","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"SHWSSP1","40000000.00","40000000.00","0.00","2020-10-31T00:00:00.000"
"IBRD89210","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Uttarakhand Disasater Recovery Project","96000000.00","67754395.56","0.00","2023-03-31T00:00:00.000"
"IBRD89230","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Chhattisgarh PFMA Program","25200000.00","5318000.00","0.00","2024-03-31T00:00:00.000"
"IBRD89260","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Program Towards Elimination of TB","400000000.00","267165663.00","23731930.67","2024-06-30T00:00:00.000"
"IBRD89280","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"UKPFMS","31580000.00","7730236.63","0.00","2024-06-30T00:00:00.000"
"IBRD89340","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"India TN Health System Reform Program","287000000.00","146457350.00","0.00","2024-05-31T00:00:00.000"
"IBRD89390","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RSHDP II","250000000.00","59745000.00","0.00","2024-03-29T00:00:00.000"
"IBRD89400","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"UP Core Road Network Development Project","400000000.00","121578077.75","0.00","2025-06-30T00:00:00.000"
"IBRD89440","India","Solar Energy Corporation of India Ltd",,"Innovation in Solar&Hybrid Technologies","150000000.00","0.00","0.00","2024-12-31T00:00:00.000"
"IBRD89450","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Andhra Pradesh HSSP","328000000.00","126590646.98","0.00","2024-09-30T00:00:00.000"
"IBRD90110","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Climate Resilient Agriculture Project","165000000.00","11281525.16","0.00","2025-12-31T00:00:00.000"
"IBRD90250","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"West Bengal Major Irrigation Project","145000000.00","38044814.68","0.00","2025-11-30T00:00:00.000"
"IBRD90260","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Assam Inland Water Transport Project","88000000.00","9037625.76","0.00","2024-12-31T00:00:00.000"
"IBRD90310","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"SMART Project","210000000.00","3243611.59","0.00","2027-03-31T00:00:00.000"
"IBRD90410","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"HP IPSS-CRRA","80000000.00","17287021.92","0.00","2025-03-31T00:00:00.000"
"IBRD90540","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"NPIQSI","0.00","0.00","0.00","2025-03-31T00:00:00.000"
"IBRD90620","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Green National Highways Corridor Project","500000000.00","1250000.00","0.00","2025-03-18T00:00:00.000"
"IBRD90660","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"HP State Roads Transformation Project","82000000.00","7277366.36","0.00","2026-06-30T00:00:00.000"
"IBRD90790","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"ENCORE","180000000.00","0.00","0.00","2025-12-31T00:00:00.000"
"IBRD90860","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"India COVID-19 ERHSP Project","1000000000.00","939894406.86","0.00","2024-12-31T00:00:00.000"
"IBRD90930","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Tamil Nadu Housing Sector Strengthening","200000000.00","200000000.00","0.00","2022-06-30T00:00:00.000"
"IBRD90940","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"TNHHDP","50000000.00","8924832.54","0.00","2025-06-30T00:00:00.000"
"IBRD91010","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"STARS","500000000.00","32250000.00","0.00","2025-12-31T00:00:00.000"
"IBRD91110","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"India COVID19 Response Social Protection","200000000.00","200000000.00","0.00","2021-12-01T00:00:00.000"
"IBRD91360","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"SNGRBP","381000000.00","25077095.98","0.00","2026-12-31T00:00:00.000"
"IBRD91530","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"MSME Emergency Response","750000000.00","750000000.00","0.00","2021-06-30T00:00:00.000"
"IBRD91690","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"MITP","120000000.00","14854773.75","0.00","2026-10-31T00:00:00.000"
"IBRD91760","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"WB Transport Logistics Spatial Develop","105000000.00","8354214.24","0.00","2026-03-31T00:00:00.000"
"IBRD91810","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"DRIP-2","250000000.00","19474533.05","0.00","2027-12-31T00:00:00.000"
"IBRD91850","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"NECTAR","68000000.00","1319981.04","0.00","2026-06-30T00:00:00.000"
"IBRD91900","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"CHIRAAG","100000000.00","335647.95","0.00","2026-07-31T00:00:00.000"
"IBRD92080","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"KSWMP","105000000.00","1960605.03","0.00","2027-06-30T00:00:00.000"
"IBRD92190","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"GOAL","500000000.00","25250000.00","0.00","2027-09-30T00:00:00.000"
"IBRD92260","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Punjab Municipal Services Improvement","105000000.00","262500.00","0.00","2026-09-30T00:00:00.000"
"IBRD92270","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Mizoram HSSP","32000000.00","1595475.76","0.00","2026-03-31T00:00:00.000"
"IBRD92410","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RAMP","500000000.00","0.00","0.00","2026-09-30T00:00:00.000"
"IBRD92470","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"CCP","150000000.00","375000.00","0.00","2026-12-31T00:00:00.000"
"IBRD92480","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Resilient Kerala PforR","125000000.00","6312500.00","0.00","2026-06-30T00:00:00.000"
"IBRD92590","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"SALT","250000000.00","51625000.00","0.00","2026-12-31T00:00:00.000"
"IBRD92800","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"India Responsive Social Protection","387500000.00","387500000.00","0.00","2022-12-31T00:00:00.000"
"IBRD92910","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"MEGHALAYA HSSP","40000000.00","1138072.17","0.00","2027-03-31T00:00:00.000"
"IBRD92950","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Shimla WASSIP","160000000.00","400000.00","0.00","2026-12-31T00:00:00.000"
"IBRD93010","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"West Bengal 24x7 Power for All","135000000.00","7625016.69","0.00","2026-11-30T00:00:00.000"
"IBRD93140","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"REWARD","115000000.00","13499800.00","0.00","2026-06-30T00:00:00.000"
"IBRD93240","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"hN: Karn Urb Wtr Modernization","150000000.00","0.00","0.00","2026-06-30T00:00:00.000"
"IBRD93290","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"State Capability for Social Protection","125000000.00","312500.00","0.00","2028-08-31T00:00:00.000"
"IBRD93650","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"PSCEP","47000000.00","0.00","0.00","2027-03-31T00:00:00.000"
"IBRD94000","India","Dedicated Freight Corridor Corporation",,"Rail Logistics Project","245000000.00","0.00","0.00","2027-06-30T00:00:00.000"
"IBRD94070","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"India PHSPP","500000000.00","0.00","0.00","2027-12-31T00:00:00.000"
"IBRD94090","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"RIGHTS: Tamil Nadu Disability Project","162000000.00","0.00","0.00","2028-06-30T00:00:00.000"
"IBRD94140","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Second Tamil Nadu Housing Sector DPL","190000000.00","0.00","0.00","2024-06-30T00:00:00.000"
"IBRD94180","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"India's EHSDP","500000000.00","0.00","0.00","2027-06-30T00:00:00.000"
"IBRD94190","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Fisheries Sector COVID-19 Recovery","150000000.00","0.00","0.00","2027-06-30T00:00:00.000"
"IBRD94220","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"GOAL","250000000.00","0.00","0.00","2027-09-30T00:00:00.000"
"IBRD94240","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"Catalyzing Private Financing in India","667000000.00","0.00","0.00","2023-06-30T00:00:00.000"
"IBRD94260","India","State Bank of India",,"Grid-Connected Rooftop Solar Program","150000000.00","0.00","0.00","2027-11-30T00:00:00.000"
"IBRD94270","India","CONTROLLER OF AID ACCOUNTS & AUDIT",,"State Support Program Road Safety","250000000.00","0.00","0.00","2028-06-30T00:00:00.000"
"IBRDG2580","India","Energy Efficiency Services Limited",,"India EESL Guarantee","80000000","0.00","0.00","2022-09-30T00:00:00.000"
"IBRDG3170","India","National Mission for Clean Ganga",,"SNGRB Guarantee","19000000","0.00","0.00","2026-12-31T00:00:00.000"
