"fiscal_year","major_sector","supplier_contract_amount_usd"
"2020","Social Protection;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","2844857.0"
"2020","Education;Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","2651626.0"
"2020","Information and Communications Technologies;Education;Agriculture, Fishing and Forestry;Public Administration","2538476.0"
"2020","Health;Education;Social Protection;Water, Sanitation and Waste Management","2444996.0"
"2020","Information and Communications Technologies;Health;Education;Public Administration","2304006.0"
"2020","Information and Communications Technologies;Social Protection;Industry, Trade and Services","2145592.0"
"2020","Financial Sector;Information and Communications Technologies;Public Administration","2101775.0"
"2020","Education;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Social Protection","1859763.0"
"2020","Financial Sector;Water, Sanitation and Waste Management","1841991.0"
"2020","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management;Industry, Trade and Services","1811880.0"
"2020","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1773447.0"
"2020","Information and Communications Technologies;Social Protection;Agriculture, Fishing and Forestry","1754889.0"
"2020","Information and Communications Technologies;Health;Social Protection","1702965.0"
"2020","Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","1687233.0"
"2020","Financial Sector;Agriculture, Fishing and Forestry;Industry, Trade and Services","1634495.0"
"2020","Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","1425657.0"
"2020","Financial Sector;Public Administration;Industry, Trade and Services","1375569.0"
"2020","Health;Transportation;Industry, Trade and Services","1367458.0"
"2020","Health;Education;Public Administration","1326082.0"
"2020","Financial Sector;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1280950.0"
"2020","Information and Communications Technologies;Energy and Extractives;Public Administration","1280056.0"
"2020","","1134095.0"
"2020","Information and Communications Technologies;Health;Education;Social Protection","1107593.0"
"2020","Information and Communications Technologies;Education;Social Protection","1096448.0"
"2020","Education;Public Administration","1031552.0"
"2020","Education;Energy and Extractives","1025715.0"
"2020","Education;Social Protection;Public Administration;Industry, Trade and Services","1020041.0"
"2020","Education;Social Protection;Public Administration","1016287.0"
"2020","Water, Sanitation and Waste Management;Social Protection;Industry, Trade and Services","1011771.0"
"2020","Information and Communications Technologies;Transportation;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","976609.0"
"2020","Education;Energy and Extractives;Public Administration","934417.0"
"2020","Financial Sector;Transportation;Energy and Extractives;Public Administration","858744.0"
"2020","Information and Communications Technologies;Education;Public Administration","849465.0"
"2020","Education;Transportation;Social Protection;Agriculture, Fishing and Forestry;Public Administration","842821.0"
"2020","Financial Sector;Information and Communications Technologies;Industry, Trade and Services","775399.0"
"2020","Education;Health;Agriculture, Fishing and Forestry;Public Administration","758490.0"
"2020","Transportation;Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","744203.0"
"2020","Energy and Extractives;Public Administration;Industry, Trade and Services","579538.0"
"2020","Financial Sector;Education;Industry, Trade and Services","514650.0"
"2020","Education;Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","506854.0"
"2020","Financial Sector;Transportation;Energy and Extractives;Industry, Trade and Services","493037.0"
"2020","Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","462542.0"
"2020","Information and Communications Technologies;Education;Industry, Trade and Services","390978.0"
"2020","Health;Water, Sanitation and Waste Management;Public Administration","367143.0"
"2020","Financial Sector;Transportation;Energy and Extractives;Water, Sanitation and Waste Management","349717.0"
"2020","Financial Sector;Information and Communications Technologies;Education;Transportation;Public Administration","329782.0"
"2020","Transportation;Water, Sanitation and Waste Management;Industry, Trade and Services","301332.0"
"2020","Water, Sanitation and Waste Management;Social Protection;Public Administration;Industry, Trade and Services","286008.0"
"2020","Energy and Extractives;Social Protection;Public Administration","255559.0"
"2020","Health;Water, Sanitation and Waste Management;Social Protection","250000.0"
"2020","Energy and Extractives;Industry, Trade and Services","249050.0"
"2020","Education;Health;Transportation;Water, Sanitation and Waste Management;Public Administration","244104.0"
"2020","Information and Communications Technologies;Education;Social Protection;Industry, Trade and Services","235726.0"
"2020","Health;Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","229076.0"
"2020","Transportation;Energy and Extractives;Water, Sanitation and Waste Management","227809.0"
"2020","Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","176852.0"
"2020","Education;Health;Social Protection;Agriculture, Fishing and Forestry","164643.0"
"2020","Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","157950.0"
"2020","Education;Social Protection;Agriculture, Fishing and Forestry","156270.0"
"2020","Financial Sector;Information and Communications Technologies;Social Protection","155890.0"
"2020","Health;Education;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","145243.0"
"2020","Education;Agriculture, Fishing and Forestry","125840.0"
"2020","Education;Energy and Extractives;Social Protection;Water, Sanitation and Waste Management","113986.0"
"2020","Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","112161.0"
"2020","Health;Education;Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry","101915.0"
"2020","Education;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","88600.0"
"2020","Information and Communications Technologies;Social Protection;Public Administration;Industry, Trade and Services","58164.0"
"2020","Education;Health;Agriculture, Fishing and Forestry","53618.0"
"2020","Financial Sector;Water, Sanitation and Waste Management;Public Administration","50094.0"
"2020","Energy and Extractives;Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","44219.0"
"2020","Information and Communications Technologies;Education;Agriculture, Fishing and Forestry","33220.0"
"2020","Transportation;Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry;Public Administration","30476.0"
"2021","Health","3339758575.0"
"2021","Energy and Extractives","2250446070.0"
"2021","Transportation","1994867397.0"
"2021","Education;Transportation;Public Administration","1047132669.0"
"2021","Water, Sanitation and Waste Management","955743613.0"
"2021","Transportation;Water, Sanitation and Waste Management;Public Administration","704347238.0"
"2021","Energy and Extractives;Social Protection;Public Administration","579061793.0"
"2021","Agriculture, Fishing and Forestry","573330366.0"
"2021","Education","477840192.0"
"2021","Agriculture, Fishing and Forestry;Industry, Trade and Services","433716707.0"
"2021","Social Protection","369032300.0"
"2021","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","368680498.0"
"2021","Information and Communications Technologies;Agriculture, Fishing and Forestry","362696892.0"
"2021","Health;Social Protection","327349982.0"
"2021","Transportation;Industry, Trade and Services","278640447.0"
"2021","Public Administration","247358907.0"
"2021","Water, Sanitation and Waste Management;Public Administration","215377566.0"
"2021","Transportation;Public Administration","194888967.0"
"2021","Health;Education;Social Protection","171956324.0"
"2021","Transportation;Water, Sanitation and Waste Management","168070802.0"
"2021","Industry, Trade and Services","155791987.0"
"2021","Transportation;Agriculture, Fishing and Forestry;Industry, Trade and Services","154057770.0"
"2021","Information and Communications Technologies;Public Administration","149676310.0"
"2021","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","147644583.0"
"2021","Information and Communications Technologies;Transportation","135301546.0"
"2021","Energy and Extractives;Social Protection;Agriculture, Fishing and Forestry;Public Administration","134975597.0"
"2021","Information and Communications Technologies;Transportation;Industry, Trade and Services","132361639.0"
"2021","Transportation;Public Administration;Industry, Trade and Services","125843855.0"
"2021","Information and Communications Technologies;Energy and Extractives","123985145.0"
"2021","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","95231606.0"
"2021","Health;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","91908126.0"
"2021","Education;Social Protection","81658141.0"
"2021","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","75817555.0"
"2021","Health;Transportation;Water, Sanitation and Waste Management","71613369.0"
"2021","Education;Health;Agriculture, Fishing and Forestry","64886330.0"
"2021","Health;Education;Transportation;Water, Sanitation and Waste Management;Public Administration","64495044.0"
"2021","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Social Protection;Public Administration","61791412.0"
"2021","Health;Transportation;Water, Sanitation and Waste Management;Public Administration","61459835.0"
"2021","Health;Social Protection;Agriculture, Fishing and Forestry;Public Administration","51473993.0"
"2021","Transportation;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","47610114.0"
"2021","Information and Communications Technologies;Agriculture, Fishing and Forestry;Industry, Trade and Services","47378924.0"
"2021","Financial Sector;Water, Sanitation and Waste Management","47291559.0"
"2021","Information and Communications Technologies;Energy and Extractives;Public Administration","46011434.0"
"2021","Transportation;Social Protection;Water, Sanitation and Waste Management","43000871.0"
"2021","Information and Communications Technologies","42889182.0"
"2021","Information and Communications Technologies;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","38617731.0"
"2021","Health;Water, Sanitation and Waste Management","38525237.0"
"2021","Information and Communications Technologies;Health;Social Protection","37819376.0"
"2021","Information and Communications Technologies;Agriculture, Fishing and Forestry;Public Administration","37676464.0"
"2021","Financial Sector;Information and Communications Technologies;Energy and Extractives","36360295.0"
"2021","Energy and Extractives;Public Administration","36253682.0"
"2021","Agriculture, Fishing and Forestry;Public Administration","36023966.0"
"2021","Social Protection;Public Administration;Industry, Trade and Services","35191988.0"
"2021","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","34604039.0"
"2021","Financial Sector;Energy and Extractives","34451178.0"
"2021","Water, Sanitation and Waste Management;Social Protection;Industry, Trade and Services","34306124.0"
"2021","Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","33706671.0"
"2021","Information and Communications Technologies;Education;Energy and Extractives","32587028.0"
"2021","Financial Sector;Social Protection;Public Administration","31463863.0"
"2021","Education;Transportation;Water, Sanitation and Waste Management;Public Administration","28370742.0"
"2021","Information and Communications Technologies;Water, Sanitation and Waste Management","28342056.0"
"2021","Energy and Extractives;Water, Sanitation and Waste Management","27047952.0"
"2021","Energy and Extractives;Agriculture, Fishing and Forestry","22927235.0"
"2021","Information and Communications Technologies;Health;Agriculture, Fishing and Forestry","22922021.0"
"2021","Financial Sector","22720526.0"
"2021","Water, Sanitation and Waste Management;Social Protection;Public Administration","22577156.0"
"2021","Education;Health;Public Administration","22303082.0"
"2021","Financial Sector;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","22273087.0"
"2021","Information and Communications Technologies;Social Protection","20388452.0"
"2021","Information and Communications Technologies;Health","19782140.0"
"2021","Financial Sector;Public Administration;Industry, Trade and Services","19514744.0"
"2021","Transportation;Agriculture, Fishing and Forestry","19442718.0"
"2021","Social Protection;Agriculture, Fishing and Forestry","18163870.0"
"2021","Transportation;Water, Sanitation and Waste Management;Social Protection;Public Administration;Industry, Trade and Services","17591297.0"
"2021","Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","17337325.0"
"2021","Transportation;Social Protection;Water, Sanitation and Waste Management;Industry, Trade and Services","17225023.0"
"2021","Social Protection;Public Administration","17101816.0"
"2021","Social Protection;Agriculture, Fishing and Forestry;Public Administration","17091518.0"
"2021","Energy and Extractives;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","16832467.0"
"2021","Education;Health","16721450.0"
"2021","Financial Sector;Information and Communications Technologies","16647911.0"
"2021","Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","16398767.0"
"2021","Education;Transportation;Energy and Extractives;Public Administration","16008915.0"
"2021","Health;Agriculture, Fishing and Forestry;Industry, Trade and Services","15839560.0"
"2021","Education;Health;Transportation;Public Administration","15757189.0"
"2021","Financial Sector;Public Administration","15755782.0"
"2021","Information and Communications Technologies;Education;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","15696781.0"
"2021","Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry;Public Administration","15346496.0"
"2021","Transportation;Social Protection;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","15346100.0"
"2021","Health;Education","14836380.0"
"2021","Health;Transportation;Industry, Trade and Services","14544285.0"
"2021","Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","13588140.0"
"2021","Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","13537825.0"
"2021","Public Administration;Industry, Trade and Services","13423478.0"
"2021","Education;Health;Transportation;Water, Sanitation and Waste Management;Public Administration","13208453.0"
"2021","Information and Communications Technologies;Health;Education;Public Administration","12285993.0"
"2021","Transportation;Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry","11928514.0"
"2021","Information and Communications Technologies;Social Protection;Public Administration","11645485.0"
"2021","Information and Communications Technologies;Education","11453882.0"
"2021","Financial Sector;Industry, Trade and Services","11068845.0"
"2021","Energy and Extractives;Agriculture, Fishing and Forestry;Public Administration","10792648.0"
"2021","Education;Health;Water, Sanitation and Waste Management;Social Protection;Public Administration","10522256.0"
"2021","Financial Sector;Transportation;Industry, Trade and Services","10073365.0"
"2021","Health;Agriculture, Fishing and Forestry","10011333.0"
"2021","Information and Communications Technologies;Public Administration;Industry, Trade and Services","9491327.0"
"2021","Health;Water, Sanitation and Waste Management;Social Protection","9311866.0"
"2021","Transportation;Agriculture, Fishing and Forestry;Public Administration","9151231.0"
"2021","Information and Communications Technologies;Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","9022898.0"
"2021","Health;Social Protection;Agriculture, Fishing and Forestry","8909373.0"
"2021","Education;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","8609370.0"
"2021","Information and Communications Technologies;Education;Health;Public Administration","8559969.0"
"2021","Health;Energy and Extractives","8025216.0"
"2021","Education;Industry, Trade and Services","7931898.0"
"2021","Education;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","7931617.0"
"2021","Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","7875349.0"
"2021","Information and Communications Technologies;Social Protection;Agriculture, Fishing and Forestry","7695458.0"
"2021","","7561627.0"
"2021","Energy and Extractives;Water, Sanitation and Waste Management;Public Administration","7476597.0"
"2021","Education;Public Administration","7102491.0"
"2021","Information and Communications Technologies;Education;Social Protection","6716253.0"
"2021","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","5942073.0"
"2021","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Industry, Trade and Services","5927131.0"
"2021","Education;Health;Water, Sanitation and Waste Management;Social Protection","5765911.0"
"2021","Energy and Extractives;Agriculture, Fishing and Forestry;Industry, Trade and Services","5462956.0"
"2021","Health;Transportation;Water, Sanitation and Waste Management;Social Protection;Public Administration","5188791.0"
"2021","Health;Social Protection;Public Administration","5153242.0"
"2021","Social Protection;Industry, Trade and Services","5034491.0"
"2021","Financial Sector;Social Protection;Water, Sanitation and Waste Management;Industry, Trade and Services","5029113.0"
"2021","Education;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Social Protection","4990789.0"
"2021","Health;Education;Public Administration","4840180.0"
"2021","Transportation;Energy and Extractives;Social Protection;Water, Sanitation and Waste Management;Public Administration","4780860.0"
"2021","Education;Health;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","4215376.0"
"2021","Financial Sector;Information and Communications Technologies;Public Administration","4156077.0"
"2021","Social Protection;Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","4109468.0"
"2021","Education;Energy and Extractives","3874377.0"
"2021","Education;Health;Social Protection","3801750.0"
"2021","Energy and Extractives;Industry, Trade and Services","3794017.0"
"2021","Transportation;Social Protection","3445618.0"
"2021","Financial Sector;Information and Communications Technologies;Education;Public Administration","3379327.0"
"2021","Financial Sector;Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","3308439.0"
"2021","Transportation;Social Protection;Water, Sanitation and Waste Management;Public Administration","3213019.0"
"2021","Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","3205839.0"
"2021","Financial Sector;Information and Communications Technologies;Education;Transportation;Public Administration","3163476.0"
"2021","Education;Public Administration;Industry, Trade and Services","3061657.0"
"2021","Information and Communications Technologies;Education;Agriculture, Fishing and Forestry;Public Administration","2960760.0"
"2021","Education;Health;Social Protection;Agriculture, Fishing and Forestry","2956049.0"
"2021","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","2783503.0"
"2021","Health;Education;Social Protection;Water, Sanitation and Waste Management","2722204.0"
"2021","Water, Sanitation and Waste Management;Social Protection;Public Administration;Industry, Trade and Services","2716154.0"
"2021","Transportation;Water, Sanitation and Waste Management;Social Protection;Public Administration","2676427.0"
"2021","Education;Transportation;Social Protection;Water, Sanitation and Waste Management","2456880.0"
"2021","Information and Communications Technologies;Transportation;Public Administration","2258717.0"
"2021","Financial Sector;Transportation;Energy and Extractives;Public Administration","2071347.0"
"2021","Information and Communications Technologies;Industry, Trade and Services","2057729.0"
"2021","Energy and Extractives;Public Administration;Industry, Trade and Services","1982924.0"
"2021","Financial Sector;Information and Communications Technologies;Industry, Trade and Services","1760721.0"
"2021","Social Protection;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1744416.0"
"2021","Health;Education;Water, Sanitation and Waste Management;Social Protection;Agriculture, Fishing and Forestry","1740571.0"
"2021","Transportation;Energy and Extractives","1731505.0"
"2021","Information and Communications Technologies;Health;Education;Social Protection","1700716.0"
"2021","Social Protection;Agriculture, Fishing and Forestry;Public Administration;Industry, Trade and Services","1596769.0"
"2021","Water, Sanitation and Waste Management;Public Administration;Industry, Trade and Services","1585087.0"
"2021","Information and Communications Technologies;Social Protection;Industry, Trade and Services","1556303.0"
"2021","Financial Sector;Transportation;Energy and Extractives;Industry, Trade and Services","1525146.0"
"2021","Education;Social Protection;Industry, Trade and Services","1459243.0"
"2021","Transportation;Social Protection;Public Administration","1436214.0"
"2021","Information and Communications Technologies;Education;Industry, Trade and Services","1419734.0"
"2021","Education;Health;Transportation;Agriculture, Fishing and Forestry;Public Administration","1380485.0"
"2021","Education;Social Protection;Public Administration;Industry, Trade and Services","1251002.0"
"2021","Education;Social Protection;Agriculture, Fishing and Forestry","1179660.0"
"2021","Health;Water, Sanitation and Waste Management;Public Administration","1164270.0"
"2021","Health;Public Administration","1129112.0"
"2021","Education;Health;Agriculture, Fishing and Forestry;Public Administration","1074397.0"
"2021","Financial Sector;Transportation;Energy and Extractives;Water, Sanitation and Waste Management","1034571.0"
"2021","Education;Agriculture, Fishing and Forestry;Public Administration","1021899.0"
"2021","Education;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","987624.0"
"2021","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management;Industry, Trade and Services","961226.0"
"2021","Information and Communications Technologies;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","954546.0"
"2021","Information and Communications Technologies;Social Protection;Public Administration;Industry, Trade and Services","897528.0"
"2021","Education;Agriculture, Fishing and Forestry","887934.0"
"2021","Education;Energy and Extractives;Public Administration","812786.0"
"2021","Energy and Extractives;Social Protection","700531.0"
"2021","Financial Sector;Education;Industry, Trade and Services","573982.0"
"2021","Education;Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","553156.0"
"2021","Transportation;Social Protection;Agriculture, Fishing and Forestry;Public Administration","532648.0"
"2021","Information and Communications Technologies;Water, Sanitation and Waste Management;Public Administration","480142.0"
