"year","region","category","topic","indicator","age","sex","result","unit","_95_ci_l","_95_ci_u","se","rse_25","notes","sex_indicator","year_sex","sex_year"
"2018","ACT","Weight","Self-described weight","2. Healthy weight","18+","Person","55.2","Per cent","51.7","58.5","1.7",,,"Person _ 2. Healthy weight","2018 Person","Person 2018"
"2019","ACT","Weight","Self-described weight","2. Healthy weight","18+","Person","56.8","Per cent","53.9","59.6","1.5",,,"Person _ 2. Healthy weight","2019 Person","Person 2019"
"2020","ACT","Weight","Self-described weight","2. Healthy weight","18+","Person","56.8","Per cent","53","60.5","1.9",,,"Person _ 2. Healthy weight","2020 Person","Person 2020"
"2018","ACT","Weight","Self-described weight","3. Overweight","18+","Person","37.1","Per cent","33.9","40.4","1.7",,,"Person _ 3. Overweight","2018 Person","Person 2018"
"2019","ACT","Weight","Self-described weight","3. Overweight","18+","Person","36.6","Per cent","33.9","39.4","1.4",,,"Person _ 3. Overweight","2019 Person","Person 2019"
"2020","ACT","Weight","Self-described weight","3. Overweight","18+","Person","37.6","Per cent","34","41.4","1.9",,,"Person _ 3. Overweight","2020 Person","Person 2020"
"2018","ACT","Weight","Self-described weight","4. Very overweight","18+","Person","4.5","Per cent","3.4","5.9","0.6",,,"Person _ 4. Very overweight","2018 Person","Person 2018"
"2019","ACT","Weight","Self-described weight","4. Very overweight","18+","Person","4","Per cent","3.1","5.1","0.5",,,"Person _ 4. Very overweight","2019 Person","Person 2019"
"2020","ACT","Weight","Self-described weight","4. Very overweight","18+","Person","3.9","Per cent","2.8","5.4","0.6",,,"Person _ 4. Very overweight","2020 Person","Person 2020"
"2018","ACT","Weight","Self-described weight","1. Underweight","18+","Male","2.9","Per cent","1.6","5.2","0.9","30.8",,"Male _ 1. Underweight","2018 Male","Male 2018"
"2019","ACT","Weight","Self-described weight","1. Underweight","18+","Male","2.8","Per cent","1.5","5","0.9","30.4",,"Male _ 1. Underweight","2019 Male","Male 2019"
"2020","ACT","Weight","Self-described weight","1. Underweight","18+","Male","2.1","Per cent","1.1","4","0.7","34.3",,"Male _ 1. Underweight","2020 Male","Male 2020"
"2018","ACT","Weight","Self-described weight","2. Healthy weight","18+","Male","53.8","Per cent","48.6","58.8","2.6",,,"Male _ 2. Healthy weight","2018 Male","Male 2018"
"2019","ACT","Weight","Self-described weight","2. Healthy weight","18+","Male","57.2","Per cent","52.8","61.4","2.2",,,"Male _ 2. Healthy weight","2019 Male","Male 2019"
"2020","ACT","Weight","Self-described weight","2. Healthy weight","18+","Male","61.5","Per cent","56","66.8","2.7",,,"Male _ 2. Healthy weight","2020 Male","Male 2020"
"2018","ACT","Weight","Self-described weight","3. Overweight","18+","Male","40.5","Per cent","35.6","45.5","2.5",,,"Male _ 3. Overweight","2018 Male","Male 2018"
"2019","ACT","Weight","Self-described weight","3. Overweight","18+","Male","37.1","Per cent","33","41.3","2.1",,,"Male _ 3. Overweight","2019 Male","Male 2019"
"2020","ACT","Weight","Self-described weight","3. Overweight","18+","Male","33.5","Per cent","28.4","38.9","2.7",,,"Male _ 3. Overweight","2020 Male","Male 2020"
"2018","ACT","Weight","Self-described weight","4. Very overweight","18+","Male","2.9","Per cent","1.7","4.9","0.8","26.8",,"Male _ 4. Very overweight","2018 Male","Male 2018"
"2019","ACT","Weight","Self-described weight","4. Very overweight","18+","Male","3","Per cent","1.9","4.7","0.7",,,"Male _ 4. Very overweight","2019 Male","Male 2019"
"2020","ACT","Weight","Self-described weight","4. Very overweight","18+","Male","3","Per cent","1.9","4.6","0.7",,,"Male _ 4. Very overweight","2020 Male","Male 2020"
"2018","ACT","Weight","Self-described weight","1. Underweight","18+","Female","3.8","Per cent","2.2","6.3","1","26.3",,"Female _ 1. Underweight","2018 Female","Female 2018"
"2019","ACT","Weight","Self-described weight","1. Underweight","18+","Female","2.6","Per cent","1.5","4.2","0.7","25.9",,"Female _ 1. Underweight","2019 Female","Female 2019"
"2020","ACT","Weight","Self-described weight","1. Underweight","18+","Female",,"Per cent",,,,,"Not published","Female _ 1. Underweight","2020 Female","Female 2020"
"2018","ACT","Weight","Self-described weight","2. Healthy weight","18+","Female","56.5","Per cent","51.9","61","2.3",,,"Female _ 2. Healthy weight","2018 Female","Female 2018"
"2019","ACT","Weight","Self-described weight","2. Healthy weight","18+","Female","56.4","Per cent","52.5","60.1","1.9",,,"Female _ 2. Healthy weight","2019 Female","Female 2019"
"2020","ACT","Weight","Self-described weight","2. Healthy weight","18+","Female","51.9","Per cent","46.6","57.1","2.7",,,"Female _ 2. Healthy weight","2020 Female","Female 2020"
"2018","ACT","Weight","Self-described weight","3. Overweight","18+","Female","33.7","Per cent","29.6","38.1","2.2",,,"Female _ 3. Overweight","2018 Female","Female 2018"
"2019","ACT","Weight","Self-described weight","3. Overweight","18+","Female","36.2","Per cent","32.6","39.9","1.9",,,"Female _ 3. Overweight","2019 Female","Female 2019"
"2020","ACT","Weight","Self-described weight","3. Overweight","18+","Female","42.1","Per cent","37","47.4","2.6",,,"Female _ 3. Overweight","2020 Female","Female 2020"
"2018","ACT","Weight","Self-described weight","4. Very overweight","18+","Female","6","Per cent","4.3","8.3","1",,,"Female _ 4. Very overweight","2018 Female","Female 2018"
"2019","ACT","Weight","Self-described weight","4. Very overweight","18+","Female","4.9","Per cent","3.6","6.7","0.8",,,"Female _ 4. Very overweight","2019 Female","Female 2019"
"2020","ACT","Weight","Self-described weight","4. Very overweight","18+","Female",,"Per cent",,,,,"Not published","Female _ 4. Very overweight","2020 Female","Female 2020"
"2011/12","ACT","Weight","BMI category","1. Underweight","05 to 17","Person","14.1","Per cent","11","18","1.8",,,"Person _ 1. Underweight","2011/12 Person","Person 2011/12"
"2013/14","ACT","Weight","BMI category","1. Underweight","05 to 17","Person","9.3","Per cent","7","12.2","1.3",,,"Person _ 1. Underweight","2013/14 Person","Person 2013/14"
"2015/16","ACT","Weight","BMI category","1. Underweight","05 to 17","Person","12.3","Per cent","10","15.1","1.3",,,"Person _ 1. Underweight","2015/16 Person","Person 2015/16"
"2018","ACT","Weight","BMI category","1. Underweight","05 to 17","Person","12.7","Per cent","9.1","17.3","2.1",,,"Person _ 1. Underweight","2018 Person","Person 2018"
"2020","ACT","Weight","BMI category","1. Underweight","05 to 17","Person","12.4","Per cent","10","15.4","1.4",,,"Person _ 1. Underweight","2020 Person","Person 2020"
"2011/12","ACT","Weight","BMI category","2. Healthy weight","05 to 17","Person","61.6","Per cent","56.8","66.1","2.4",,,"Person _ 2. Healthy weight","2011/12 Person","Person 2011/12"
"2013/14","ACT","Weight","BMI category","2. Healthy weight","05 to 17","Person","64.8","Per cent","59.7","69.5","2.5",,,"Person _ 2. Healthy weight","2013/14 Person","Person 2013/14"
"2015/16","ACT","Weight","BMI category","2. Healthy weight","05 to 17","Person","67.4","Per cent","62.8","71.8","2.3",,,"Person _ 2. Healthy weight","2015/16 Person","Person 2015/16"
"2018","ACT","Weight","BMI category","2. Healthy weight","05 to 17","Person","60.2","Per cent","52.9","67.1","3.6",,,"Person _ 2. Healthy weight","2018 Person","Person 2018"
"2020","ACT","Weight","BMI category","2. Healthy weight","05 to 17","Person","62.6","Per cent","58.3","66.7","2.2",,,"Person _ 2. Healthy weight","2020 Person","Person 2020"
"2011/12","ACT","Weight","BMI category","3. Overweight","05 to 17","Person","14.9","Per cent","11.8","18.5","1.7",,,"Person _ 3. Overweight","2011/12 Person","Person 2011/12"
"2013/14","ACT","Weight","BMI category","3. Overweight","05 to 17","Person","19.9","Per cent","15.8","24.7","2.3",,,"Person _ 3. Overweight","2013/14 Person","Person 2013/14"
"2015/16","ACT","Weight","BMI category","3. Overweight","05 to 17","Person","12.7","Per cent","9.8","16.2","1.6",,,"Person _ 3. Overweight","2015/16 Person","Person 2015/16"
"2018","ACT","Weight","BMI category","3. Overweight","05 to 17","Person","19.3","Per cent","14.2","25.7","2.9",,,"Person _ 3. Overweight","2018 Person","Person 2018"
"2020","ACT","Weight","BMI category","3. Overweight","05 to 17","Person","15.8","Per cent","13","19","1.5",,,"Person _ 3. Overweight","2020 Person","Person 2020"
"2011/12","ACT","Weight","BMI category","Obese","05 to 17","Person","9.4","Per cent","7.2","12.3","1.3",,,"Person _ Obese","2011/12 Person","Person 2011/12"
"2013/14","ACT","Weight","BMI category","Obese","05 to 17","Person","6.1","Per cent","4.1","8.9","1.2",,,"Person _ Obese","2013/14 Person","Person 2013/14"
"2015/16","ACT","Weight","BMI category","Obese","05 to 17","Person","7.6","Per cent","5.1","11.1","1.5",,,"Person _ Obese","2015/16 Person","Person 2015/16"
"2018","ACT","Weight","BMI category","Obese","05 to 17","Person","7.8","Per cent","4.9","12.4","1.9",,,"Person _ Obese","2018 Person","Person 2018"
"2020","ACT","Weight","BMI category","Obese","05 to 17","Person","9.2","Per cent","6.7","12.6","1.5",,,"Person _ Obese","2020 Person","Person 2020"
"2011/12","ACT","Weight","BMI category","1. Underweight","05 to 17","Male","12.8","Per cent","9.2","17.4","2.1",,,"Male _ 1. Underweight","2011/12 Male","Male 2011/12"
"2013/14","ACT","Weight","BMI category","1. Underweight","05 to 17","Male","8","Per cent","4.9","12.7","1.9",,,"Male _ 1. Underweight","2013/14 Male","Male 2013/14"
"2015/16","ACT","Weight","BMI category","1. Underweight","05 to 17","Male","13.2","Per cent","10.1","17.2","1.8",,,"Male _ 1. Underweight","2015/16 Male","Male 2015/16"
"2018","ACT","Weight","BMI category","1. Underweight","05 to 17","Male","15.7","Per cent","10.3","23.3","3.3",,,"Male _ 1. Underweight","2018 Male","Male 2018"
"2020","ACT","Weight","BMI category","1. Underweight","05 to 17","Male","11","Per cent","8","15","1.8",,,"Male _ 1. Underweight","2020 Male","Male 2020"
"2011/12","ACT","Weight","BMI category","2. Healthy weight","05 to 17","Male","59.9","Per cent","53.3","66.2","3.3",,,"Male _ 2. Healthy weight","2011/12 Male","Male 2011/12"
"2013/14","ACT","Weight","BMI category","2. Healthy weight","05 to 17","Male","64.1","Per cent","56.8","70.8","3.6",,,"Male _ 2. Healthy weight","2013/14 Male","Male 2013/14"
"2015/16","ACT","Weight","BMI category","2. Healthy weight","05 to 17","Male","66.5","Per cent","59.9","72.5","3.2",,,"Male _ 2. Healthy weight","2015/16 Male","Male 2015/16"
"2018","ACT","Weight","BMI category","2. Healthy weight","05 to 17","Male","63","Per cent","53.4","71.7","4.7",,,"Male _ 2. Healthy weight","2018 Male","Male 2018"
"2020","ACT","Weight","BMI category","2. Healthy weight","05 to 17","Male","63.7","Per cent","57.4","69.6","3.1",,,"Male _ 2. Healthy weight","2020 Male","Male 2020"
"2011/12","ACT","Weight","BMI category","3. Overweight","05 to 17","Male","16.6","Per cent","12.1","22.3","2.6",,,"Male _ 3. Overweight","2011/12 Male","Male 2011/12"
"2013/14","ACT","Weight","BMI category","3. Overweight","05 to 17","Male","18.5","Per cent","13.2","25.3","3.1",,,"Male _ 3. Overweight","2013/14 Male","Male 2013/14"
"2015/16","ACT","Weight","BMI category","3. Overweight","05 to 17","Male","9.5","Per cent","7","12.9","1.5",,,"Male _ 3. Overweight","2015/16 Male","Male 2015/16"
"2018","ACT","Weight","BMI category","3. Overweight","05 to 17","Male","14.9","Per cent","9.6","22.2","3.2",,,"Male _ 3. Overweight","2018 Male","Male 2018"
"2020","ACT","Weight","BMI category","3. Overweight","05 to 17","Male","14.2","Per cent","10.9","18.3","2.9",,,"Male _ 3. Overweight","2020 Male","Male 2020"
"2011/12","ACT","Weight","BMI category","Obese","05 to 17","Male","10.8","Per cent","7.5","15.4","2",,,"Male _ Obese","2011/12 Male","Male 2011/12"
"2013/14","ACT","Weight","BMI category","Obese","05 to 17","Male","9.4","Per cent","6","14.5","2.1",,,"Male _ Obese","2013/14 Male","Male 2013/14"
"2015/16","ACT","Weight","BMI category","Obese","05 to 17","Male","10.8","Per cent","6.5","17.4","2.7","25.3",,"Male _ Obese","2015/16 Male","Male 2015/16"
"2018","ACT","Weight","BMI category","Obese","05 to 17","Male","6.4","Per cent","3.2","12.2","2.2","34.1",,"Male _ Obese","2018 Male","Male 2018"
"2020","ACT","Weight","BMI category","Obese","05 to 17","Male","11.1","Per cent","7.2","16.8","2.4",,,"Male _ Obese","2020 Male","Male 2020"
"2011/12","ACT","Weight","BMI category","1. Underweight","05 to 17","Female","15.5","Per cent","10.7","22","2.9",,,"Female _ 1. Underweight","2011/12 Female","Female 2011/12"
"2013/14","ACT","Weight","BMI category","1. Underweight","05 to 17","Female","10.7","Per cent","7.6","14.8","1.8",,,"Female _ 1. Underweight","2013/14 Female","Female 2013/14"
"2015/16","ACT","Weight","BMI category","1. Underweight","05 to 17","Female","11.4","Per cent","8.2","15.7","1.9",,,"Female _ 1. Underweight","2015/16 Female","Female 2015/16"
"2018","ACT","Weight","BMI category","1. Underweight","05 to 17","Female","9.6","Per cent","5.7","15.8","2.5","26.2",,"Female _ 1. Underweight","2018 Female","Female 2018"
"2020","ACT","Weight","BMI category","1. Underweight","05 to 17","Female","13.8","Per cent","10.2","18.4","2.1",,,"Female _ 1. Underweight","2020 Female","Female 2020"
"2011/12","ACT","Weight","BMI category","2. Healthy weight","05 to 17","Female","63.2","Per cent","56.3","69.6","3.4",,,"Female _ 2. Healthy weight","2011/12 Female","Female 2011/12"
"2013/14","ACT","Weight","BMI category","2. Healthy weight","05 to 17","Female","65.5","Per cent","58.2","72.1","3.6",,,"Female _ 2. Healthy weight","2013/14 Female","Female 2013/14"
"2015/16","ACT","Weight","BMI category","2. Healthy weight","05 to 17","Female","68.4","Per cent","61.7","74.4","3.3",,,"Female _ 2. Healthy weight","2015/16 Female","Female 2015/16"
"2018","ACT","Weight","BMI category","2. Healthy weight","05 to 17","Female","57.4","Per cent","46.5","67.6","5.5",,,"Female _ 2. Healthy weight","2018 Female","Female 2018"
"2020","ACT","Weight","BMI category","2. Healthy weight","05 to 17","Female","61.5","Per cent","55.5","67.1","3",,,"Female _ 2. Healthy weight","2020 Female","Female 2020"
"2011/12","ACT","Weight","BMI category","3. Overweight","05 to 17","Female","13.2","Per cent","9.5","18.1","2.2",,,"Female _ 3. Overweight","2011/12 Female","Female 2011/12"
"2013/14","ACT","Weight","BMI category","3. Overweight","05 to 17","Female","21.4","Per cent","15.6","28.7","3.3",,,"Female _ 3. Overweight","2013/14 Female","Female 2013/14"
"2015/16","ACT","Weight","BMI category","3. Overweight","05 to 17","Female","15.8","Per cent","11","22.1","2.8",,,"Female _ 3. Overweight","2015/16 Female","Female 2015/16"
"2018","ACT","Weight","BMI category","3. Overweight","05 to 17","Female","23.7","Per cent","15.5","34.5","4.9",,,"Female _ 3. Overweight","2018 Female","Female 2018"
"2020","ACT","Weight","BMI category","3. Overweight","05 to 17","Female","17.4","Per cent","13.2","22.6","2.4",,,"Female _ 3. Overweight","2020 Female","Female 2020"
"2011/12","ACT","Weight","BMI category","Obese","05 to 17","Female","8.1","Per cent","5.4","12.2","1.7",,,"Female _ Obese","2011/12 Female","Female 2011/12"
"2013/14","ACT","Weight","BMI category","Obese","05 to 17","Female","2.5","Per cent","1.2","5.2","0.9","38.2",,"Female _ Obese","2013/14 Female","Female 2013/14"
"2015/16","ACT","Weight","BMI category","Obese","05 to 17","Female","4.4","Per cent","2.6","7.3","1.1","25.9",,"Female _ Obese","2015/16 Female","Female 2015/16"
"2018","ACT","Weight","BMI category","Obese","05 to 17","Female","9.3","Per cent","4.9","17.1","3","32.2",,"Female _ Obese","2018 Female","Female 2018"
"2020","ACT","Weight","BMI category","Obese","05 to 17","Female","7.3","Per cent","4.6","11.4","1.7",,,"Female _ Obese","2020 Female","Female 2020"
"2011/12","ACT","Weight","BMI category","1. Underweight","18+","Person","2.4","Per cent","1.6","3.7","0.5",,,"Person _ 1. Underweight","2011/12 Person","Person 2011/12"
"2013/14","ACT","Weight","BMI category","1. Underweight","18+","Person","2.2","Per cent","1.4","3.5","0.5",,,"Person _ 1. Underweight","2013/14 Person","Person 2013/14"
"2015/16","ACT","Weight","BMI category","1. Underweight","18+","Person","2.3","Per cent","1.4","3.7","0.6","24.7",,"Person _ 1. Underweight","2015/16 Person","Person 2015/16"
"2018","ACT","Weight","BMI category","1. Underweight","18+","Person","1","Per cent","0.6","1.9","0.3","30.9",,"Person _ 1. Underweight","2018 Person","Person 2018"
"2020","ACT","Weight","BMI category","1. Underweight","18+","Person","2","Per cent","1","3.9","0.7","35.6",,"Person _ 1. Underweight","2020 Person","Person 2020"
"2011/12","ACT","Weight","BMI category","2. Healthy weight","18+","Person","44","Per cent","40.9","47.1","1.6",,,"Person _ 2. Healthy weight","2011/12 Person","Person 2011/12"
"2013/14","ACT","Weight","BMI category","2. Healthy weight","18+","Person","44.1","Per cent","40.8","47.5","1.7",,,"Person _ 2. Healthy weight","2013/14 Person","Person 2013/14"
"2015/16","ACT","Weight","BMI category","2. Healthy weight","18+","Person","39.1","Per cent","35.7","42.6","1.8",,,"Person _ 2. Healthy weight","2015/16 Person","Person 2015/16"
"2018","ACT","Weight","BMI category","2. Healthy weight","18+","Person","41.7","Per cent","38.2","45.3","1.8",,,"Person _ 2. Healthy weight","2018 Person","Person 2018"
"2020","ACT","Weight","BMI category","2. Healthy weight","18+","Person","38.7","Per cent","34.9","42.6","2",,,"Person _ 2. Healthy weight","2020 Person","Person 2020"
"2011/12","ACT","Weight","BMI category","3. Overweight","18+","Person","33.4","Per cent","30.6","36.4","1.5",,,"Person _ 3. Overweight","2011/12 Person","Person 2011/12"
"2013/14","ACT","Weight","BMI category","3. Overweight","18+","Person","32.1","Per cent","29.1","35.3","1.6",,,"Person _ 3. Overweight","2013/14 Person","Person 2013/14"
"2015/16","ACT","Weight","BMI category","3. Overweight","18+","Person","39.8","Per cent","36.4","43.4","1.8",,,"Person _ 3. Overweight","2015/16 Person","Person 2015/16"
"2018","ACT","Weight","BMI category","3. Overweight","18+","Person","33.6","Per cent","30.3","36.9","1.7",,,"Person _ 3. Overweight","2018 Person","Person 2018"
"2020","ACT","Weight","BMI category","3. Overweight","18+","Person","36.2","Per cent","32.5","40.1","1.9",,,"Person _ 3. Overweight","2020 Person","Person 2020"
"2011/12","ACT","Weight","BMI category","4. Obese - Class 1","18+","Person","14.5","Per cent","12.5","16.9","1.1",,,"Person _ 4. Obese - Class 1","2011/12 Person","Person 2011/12"
"2013/14","ACT","Weight","BMI category","4. Obese - Class 1","18+","Person","12.7","Per cent","10.6","15","1.1",,,"Person _ 4. Obese - Class 1","2013/14 Person","Person 2013/14"
"2015/16","ACT","Weight","BMI category","4. Obese - Class 1","18+","Person","12.3","Per cent","10.3","14.7","1.1",,,"Person _ 4. Obese - Class 1","2015/16 Person","Person 2015/16"
"2018","ACT","Weight","BMI category","4. Obese - Class 1","18+","Person","14.7","Per cent","12.5","17.3","1.2",,,"Person _ 4. Obese - Class 1","2018 Person","Person 2018"
"2020","ACT","Weight","BMI category","4. Obese - Class 1","18+","Person","14.6","Per cent","12.1","17.5","1.4",,,"Person _ 4. Obese - Class 1","2020 Person","Person 2020"
"2011/12","ACT","Weight","BMI category","5. Obese - Class 2 and Class 3","18+","Person","5.7","Per cent","4.5","7.2","0.7",,,"Person _ 5. Obese - Class 2 and Class 3","2011/12 Person","Person 2011/12"
"2013/14","ACT","Weight","BMI category","5. Obese - Class 2 and Class 3","18+","Person","8.9","Per cent","7.2","11.1","1",,,"Person _ 5. Obese - Class 2 and Class 3","2013/14 Person","Person 2013/14"
"2015/16","ACT","Weight","BMI category","5. Obese - Class 2 and Class 3","18+","Person","6.5","Per cent","5","8.4","0.9",,,"Person _ 5. Obese - Class 2 and Class 3","2015/16 Person","Person 2015/16"
"2018","ACT","Weight","BMI category","5. Obese - Class 2 and Class 3","18+","Person","9","Per cent","7.3","11","0.9",,,"Person _ 5. Obese - Class 2 and Class 3","2018 Person","Person 2018"
"2020","ACT","Weight","BMI category","5. Obese - Class 2 and Class 3","18+","Person","8.5","Per cent","6.6","11","1.1",,,"Person _ 5. Obese - Class 2 and Class 3","2020 Person","Person 2020"
"2011/12","ACT","Weight","BMI category","1. Underweight","18+","Male","1.6","Per cent","0.8","3.2","0.6","36.5",,"Male _ 1. Underweight","2011/12 Male","Male 2011/12"
"2013/14","ACT","Weight","BMI category","1. Underweight","18+","Male","1","Per cent","0.4","2.4","0.4","43.9",,"Male _ 1. Underweight","2013/14 Male","Male 2013/14"
"2015/16","ACT","Weight","BMI category","1. Underweight","18+","Male",,"Per cent",,,,,"Not published","Male _ 1. Underweight","2015/16 Male","Male 2015/16"
"2018","ACT","Weight","BMI category","1. Underweight","18+","Male",,"Per cent",,,,,"Not published","Male _ 1. Underweight","2018 Male","Male 2018"
"2020","ACT","Weight","BMI category","1. Underweight","18+","Male",,"Per cent",,,,,"Not published","Male _ 1. Underweight","2020 Male","Male 2020"
"2011/12","ACT","Weight","BMI category","2. Healthy weight","18+","Male","40.9","Per cent","36.4","45.6","2.3",,,"Male _ 2. Healthy weight","2011/12 Male","Male 2011/12"
"2013/14","ACT","Weight","BMI category","2. Healthy weight","18+","Male","39.9","Per cent","35.2","44.9","2.5",,,"Male _ 2. Healthy weight","2013/14 Male","Male 2013/14"
"2015/16","ACT","Weight","BMI category","2. Healthy weight","18+","Male","34","Per cent","29.1","39.2","2.6",,,"Male _ 2. Healthy weight","2015/16 Male","Male 2015/16"
"2018","ACT","Weight","BMI category","2. Healthy weight","18+","Male","36.7","Per cent","31.8","42","2.6",,,"Male _ 2. Healthy weight","2018 Male","Male 2018"
"2020","ACT","Weight","BMI category","2. Healthy weight","18+","Male","35.7","Per cent","30.4","41.4","2.8",,,"Male _ 2. Healthy weight","2020 Male","Male 2020"
"2011/12","ACT","Weight","BMI category","3. Overweight","18+","Male","36.1","Per cent","31.9","40.6","2.2",,,"Male _ 3. Overweight","2011/12 Male","Male 2011/12"
"2013/14","ACT","Weight","BMI category","3. Overweight","18+","Male","39.6","Per cent","34.9","44.4","2.4",,,"Male _ 3. Overweight","2013/14 Male","Male 2013/14"
"2015/16","ACT","Weight","BMI category","3. Overweight","18+","Male","47","Per cent","41.7","52.3","2.7",,,"Male _ 3. Overweight","2015/16 Male","Male 2015/16"
"2018","ACT","Weight","BMI category","3. Overweight","18+","Male","40.4","Per cent","35.4","45.5","2.6",,,"Male _ 3. Overweight","2018 Male","Male 2018"
"2020","ACT","Weight","BMI category","3. Overweight","18+","Male","42","Per cent","36.5","47.7","2.9",,,"Male _ 3. Overweight","2020 Male","Male 2020"
"2011/12","ACT","Weight","BMI category","4. Obese - Class 1","18+","Male","16.9","Per cent","13.7","20.7","1.8",,,"Male _ 4. Obese - Class 1","2011/12 Male","Male 2011/12"
"2013/14","ACT","Weight","BMI category","4. Obese - Class 1","18+","Male","12.9","Per cent","10","16.4","1.6",,,"Male _ 4. Obese - Class 1","2013/14 Male","Male 2013/14"
"2015/16","ACT","Weight","BMI category","4. Obese - Class 1","18+","Male","13.3","Per cent","10.2","17.2","1.8",,,"Male _ 4. Obese - Class 1","2015/16 Male","Male 2015/16"
"2018","ACT","Weight","BMI category","4. Obese - Class 1","18+","Male","16.5","Per cent","13.3","20.3","1.8",,,"Male _ 4. Obese - Class 1","2018 Male","Male 2018"
"2020","ACT","Weight","BMI category","4. Obese - Class 1","18+","Male","15.2","Per cent","11.6","19.7","2.1",,,"Male _ 4. Obese - Class 1","2020 Male","Male 2020"
"2011/12","ACT","Weight","BMI category","5. Obese - Class 2 and Class 3","18+","Male","4.5","Per cent","3","6.6","0.9",,,"Male _ 5. Obese - Class 2 and Class 3","2011/12 Male","Male 2011/12"
"2013/14","ACT","Weight","BMI category","5. Obese - Class 2 and Class 3","18+","Male","6.6","Per cent","4.6","9.5","1.2",,,"Male _ 5. Obese - Class 2 and Class 3","2013/14 Male","Male 2013/14"
"2015/16","ACT","Weight","BMI category","5. Obese - Class 2 and Class 3","18+","Male",,"Per cent",,,,,"Not published","Male _ 5. Obese - Class 2 and Class 3","2015/16 Male","Male 2015/16"
"2018","ACT","Weight","BMI category","5. Obese - Class 2 and Class 3","18+","Male",,"Per cent",,,,,"Not published","Male _ 5. Obese - Class 2 and Class 3","2018 Male","Male 2018"
"2020","ACT","Weight","BMI category","5. Obese - Class 2 and Class 3","18+","Male",,"Per cent",,,,,"Not published","Male _ 5. Obese - Class 2 and Class 3","2020 Male","Male 2020"
"2011/12","ACT","Weight","BMI category","1. Underweight","18+","Female","3.2","Per cent","1.9","5.4","0.9","27",,"Female _ 1. Underweight","2011/12 Female","Female 2011/12"
"2013/14","ACT","Weight","BMI category","1. Underweight","18+","Female","3.2","Per cent","1.8","5.5","0.9","27.8",,"Female _ 1. Underweight","2013/14 Female","Female 2013/14"
"2015/16","ACT","Weight","BMI category","1. Underweight","18+","Female","3.7","Per cent","2.2","6.2","1","27",,"Female _ 1. Underweight","2015/16 Female","Female 2015/16"
"2018","ACT","Weight","BMI category","1. Underweight","18+","Female","1.9","Per cent","1","3.6","0.6","32.2",,"Female _ 1. Underweight","2018 Female","Female 2018"
"2020","ACT","Weight","BMI category","1. Underweight","18+","Female",,"Per cent",,,,,"Not published","Female _ 1. Underweight","2020 Female","Female 2020"
"2011/12","ACT","Weight","BMI category","2. Healthy weight","18+","Female","47","Per cent","42.8","51.2","2.2",,,"Female _ 2. Healthy weight","2011/12 Female","Female 2011/12"
"2013/14","ACT","Weight","BMI category","2. Healthy weight","18+","Female","47.8","Per cent","43.2","52.3","2.3",,,"Female _ 2. Healthy weight","2013/14 Female","Female 2013/14"
"2015/16","ACT","Weight","BMI category","2. Healthy weight","18+","Female","43.8","Per cent","39.1","48.6","2.4",,,"Female _ 2. Healthy weight","2015/16 Female","Female 2015/16"
"2018","ACT","Weight","BMI category","2. Healthy weight","18+","Female","46.8","Per cent","42.1","51.7","2.5",,,"Female _ 2. Healthy weight","2018 Female","Female 2018"
"2020","ACT","Weight","BMI category","2. Healthy weight","18+","Female","42.5","Per cent","37.2","48","2.8",,,"Female _ 2. Healthy weight","2020 Female","Female 2020"
"2011/12","ACT","Weight","BMI category","3. Overweight","18+","Female","30.7","Per cent","27","34.7","2",,,"Female _ 3. Overweight","2011/12 Female","Female 2011/12"
"2013/14","ACT","Weight","BMI category","3. Overweight","18+","Female","25.6","Per cent","22","29.7","2",,,"Female _ 3. Overweight","2013/14 Female","Female 2013/14"
"2015/16","ACT","Weight","BMI category","3. Overweight","18+","Female","33.3","Per cent","28.9","38","2.3",,,"Female _ 3. Overweight","2015/16 Female","Female 2015/16"
"2018","ACT","Weight","BMI category","3. Overweight","18+","Female","26.6","Per cent","22.8","30.7","2",,,"Female _ 3. Overweight","2018 Female","Female 2018"
"2020","ACT","Weight","BMI category","3. Overweight","18+","Female","29.8","Per cent","25.2","34.9","2.5",,,"Female _ 3. Overweight","2020 Female","Female 2020"
"2011/12","ACT","Weight","BMI category","4. Obese - Class 1","18+","Female","12.2","Per cent","9.8","15.2","1.4",,,"Female _ 4. Obese - Class 1","2011/12 Female","Female 2011/12"
"2013/14","ACT","Weight","BMI category","4. Obese - Class 1","18+","Female","12.4","Per cent","9.8","15.7","1.5",,,"Female _ 4. Obese - Class 1","2013/14 Female","Female 2013/14"
"2015/16","ACT","Weight","BMI category","4. Obese - Class 1","18+","Female","11.4","Per cent","8.9","14.5","1.4",,,"Female _ 4. Obese - Class 1","2015/16 Female","Female 2015/16"
"2018","ACT","Weight","BMI category","4. Obese - Class 1","18+","Female","13","Per cent","10.1","16.6","1.7",,,"Female _ 4. Obese - Class 1","2018 Female","Female 2018"
"2020","ACT","Weight","BMI category","4. Obese - Class 1","18+","Female","14.3","Per cent","11.1","18.2","1.8",,,"Female _ 4. Obese - Class 1","2020 Female","Female 2020"
